飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,内置武器,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/11/0d24ba74e35c712caf4bca8960252fac.jpg,意大利阿古斯塔公司,2人,阿古斯塔·韦斯特兰A129武装直升机是意大利陆军航空兵的主战直升机，绰号“猫鼬”（Mangusta）。这是欧洲自主设计的第一种武装直升机，也是第一种经历过实战考验的欧洲国家的武装直升机。在2001年北京航展和2004年珠海航展上，阿古斯塔公司都特意带来了猫鼬的模型，引起了国内军事爱好者浓厚的兴趣。,561千米,两台罗尔斯-罗伊斯Gem 1004(A 129机型)或LHTEC T800-LHT-800(A 129国际型）涡轮轴发动机,NULL,双发,飞行器,武装直升机,意大利,在国际机型的机头小塔上安置20毫米加农炮；挂载点,NULL,2350千克,NULL,294千米每小时,A129“猫鼬”,{'$oid': '5cc93160831b973d657f1417'},1983年9月11日,NULL,11.9米,3.35米,1990年,4600千克,单旋翼,14.3米
亚音速,http://images.huanqiu.com/sarons/2013/08/dc56d3dcd3e1ad5828cfd957340720c0.jpg,米里设计局,3人,"
米-24（Mi-24）武装直升机是前苏联米里直升机设计局设计的苏联第一代专用武装直升机。北约组织给予的绰号是“雌鹿”(Hind)。定位为大型直升机空中炮艇和低运量兵员运输用途，最初为苏联空军使用，成功后外销30国以上。北约命名规则把外销的米-25和米-35直接命为雌鹿D和雌鹿E，苏联飞行员昵称“飞行战车”或“Krokodil”（鳄鱼）因为外型轮廓和迷彩纹路相似鳄鱼。
",450千米,两台克里莫夫TV3-117MT涡轮轴发动机,NULL,双发,飞行器,武装直升机,苏/俄,NULL,NULL,8500千克,17.3米,335千米每小时,米-24/-25/-35“雌鹿” 攻击/突击直升机,{'$oid': '5cc93160831b973d657f1418'},1969年9月19日,NULL,17.1米,6.5米,1972年,12000千克,单旋翼,17.5米
亚音速,NULL,卡莫夫直升机公司,1人,卡-50是前苏联国内卡莫夫设计局和米里设计局的米-28竞争的结果。在直升机领域中，单座即仅有一名驾驶员的攻击直升机确是前所未闻。而只有一名驾驶员的卡-50的问世掀开了直升机历史新的一页。驾驶员不仅要驾驶操纵直升机飞行，还要搜索、跟踪目标，并发射反坦克导弹实施攻击。,1100千米,克里莫夫TV3-117VMA涡轮轴发动机,NULL,双发,飞行器,武装直升机,苏/俄,右舷的机身处有挺30毫米加农炮；挂载点,NULL,7500千克,NULL,390千米每小时,卡-50“噱头”,{'$oid': '5cc93161831b973d657f1419'},1982年,NULL,14.5米,4.9米,NULL,9800千克,共轴双旋翼,16米
亚音速,http://images.huanqiu.com/sarons/2013/11/693e813b8b80f1c6694a1f042b014348.jpg,哈尔滨飞机制造公司,14人,NULL,664千米,WZ-8A涡轴发动机,NULL,双发,飞行器,武装直升机,中国,NULL,NULL,1975千克,NULL,246千米每小时,直-9G ,{'$oid': '5cc93161831b973d657f141a'},1998年8月4日,NULL,11.9米,4.5米,1998年10月14日,4000千克,单旋翼,13.7米
亚音速,http://images.huanqiu.com/sarons/2013/11/d2b199f9264257e8b5b1dfdd9123f87a.jpg,哈尔滨飞机制造公司,3人,NULL,528千米,两台ARRIEL2C发动机,哈尔滨飞机制造公司,双发,飞行器,武装直升机,中国,NULL,NULL,1975千克,NULL,238千米每小时,Z9WE武装型直升机,{'$oid': '5cc93161831b973d657f141b'},NULL,NULL,12.01米,3.97米,NULL,NULL,单旋翼,13.72米
亚音速,http://images.huanqiu.com/sarons/2013/11/ddc752af28f36aab7fd97cd0d929c9e2.jpg,哈尔滨航空工业集团,14人,NULL,850千米,WZ-8A涡轴发动机,NULL,双发,飞行器,武装直升机,中国,NULL,NULL,1975千克,NULL,250千米每小时,直-9F武警专用型,{'$oid': '5cc93161831b973d657f141c'},2001年7月31日,NULL,11.93米,3.21米,NULL,4100千克,单旋翼,13.46米
亚音速,http://images.huanqiu.com/sarons/2014/01/10e0d35183c380db7ac90797a219b316.jpg,米里直升机公司,8人,"
米-28是苏联米里设计局研制的单旋翼带尾桨全天候专用武装直升机，北大西洋公约组织给绰号为“浩劫”(Havoc)。于1980年开始设计，原型机1982年11月首飞，90%的研制工作于1989年6月完成，后来第3架原型机参加了巴黎航展。1992年后少量生产，至2007年尚未批量生产或装备部队。米里设计局还曾提出一种伞兵/作战改型，编号米-40。
",435千米,TV3-117发动机,NULL,双发,飞行器,武装直升机,苏/俄,在机头下方的炮塔安装30毫米的加农炮；挂载点,NULL,7000千克,NULL,300千米每小时,米-28“浩劫”,{'$oid': '5cc93161831b973d657f141d'},1982年,NULL,17.2米,4.81米,NULL,NULL,单旋翼,16.85米
NULL,http://images.huanqiu.com/sarons/2014/01/984e8601a83f6d64df496f222230ff9d.jpg,哈尔滨飞机制造公司及602直升机研究所,2人,"
直-19是由中航工业哈尔滨飞机制造公司及602直升机研究所开发、研制、制造的武装直升机兼侦察直升机，基于直9 , H410A、H425以及H450民用直升机的军用衍生型，其命名为黑旋风（英文：Black Hurricane）名字取自《水浒传》中的重要人物“黑旋风”李逵，象征这种武装直升机也如同梁山好汉一般本领非凡。
",800千米,两台涡轴8C涡轮引擎,哈尔滨飞机制造公司,双发,飞行器,武装直升机,中国,NULL,NULL,2.35千克,NULL,305千米每小时,直-19,{'$oid': '5cc93161831b973d657f141e'},2010年7月,NULL,12.01米,4.01米,2011 年,4500千克,单旋翼,12米
亚音速,NULL,米里直升机公司,3人,"
米-24是俄罗斯米里莫斯科直升机厂（原米里实验设计局）研制的中型多用途武装直升机，是前苏联的第一种专用武装直升机。60年代末开始研制，1969年首飞，1973年装备部队，北约组织给予的绰号为“母鹿”（hind）。
",500千米,卡里莫夫tv3-117涡轴发动机,NULL,双发,飞行器,武装直升机,苏/俄,机头下部的吊塔上安装了一挺12.7毫米的四管加特林机枪；挂载点,NULL,8200千克,NULL,335千米每小时,米-24“母鹿”,{'$oid': '5cc93162831b973d657f141f'},1969年,NULL,17.3米,5.1米,NULL,1200千克,单旋翼,21.3米
亚音速,http://images.huanqiu.com/sarons/2013/11/7e56753301f8add983614328cc2859af.jpg,NULL,2人,"
SA341/342小羚羊是轻型多用途直升机，1964年由法国单独研制，1967年后由英、法两国共同研制，1967年4月首飞，80年代初开始逐步装备英法两国部队。除英、法合作生产“小羚羊”。至1991年6月30日，已向41个国家交付民用型和军用型“小羚羊”达1254架。
",260千米, 1 台“阿斯泰阻”XIVM 涡轮轴发动机,NULL,单发,飞行器,武装直升机,法国,NULL,NULL,NULL,NULL,280千米每小时,SA341/342 小羚羊,{'$oid': '5cc93162831b973d657f1420'},1967年4月,NULL,10.5米,3.19米,20世纪80年代,1800千克,单旋翼,11.97米
亚音速,NULL,NULL,10人,NULL,1030千米,2台透博梅卡公司的“阿赫耶”1C涡轴发动机，单台功率为522干瓦,NULL,NULL,飞行器,武装直升机,中国,NULL,NULL,1975千克,NULL,324千米每小时,直-9W,{'$oid': '5cc93162831b973d657f1421'},NULL,NULL,11.93米,3.21米,NULL,3850千克,单旋翼,13.46米
亚音速,http://images.huanqiu.com/sarons/2013/11/b3643914333dbcdfeeb10e515d23ab5d.jpg,NULL,NULL,NULL,860千米,未知,NULL,双发,飞行器,武装直升机,中国,NULL,NULL,4100千克,NULL,280千米每小时,直-9D海军增强反舰型,{'$oid': '5cc93162831b973d657f1422'},NULL,NULL,NULL,3.21米,NULL,NULL,单旋翼,13.46米
亚音速,NULL,NULL,8人,NULL,1000千米,Arriel 2C发动机,NULL,双发,飞行器,武装直升机,中国,NULL,NULL,2050千克,NULL,286千米每小时,直-9高温高原型,{'$oid': '5cc93162831b973d657f1423'},20世纪90年代,NULL,11.93米,3.21米,NULL,NULL,单旋翼,11.44米
亚音速,http://images.huanqiu.com/sarons/2013/11/5b926d54d7bad273d9e6d094a57f2414.jpg,哈尔滨飞机制造公司,4人,NULL,860千米,一台自由涡轴发动机,NULL,双发,飞行器,武装直升机,中国,NULL,NULL,1975千克,NULL,306千米每小时,直-9WA,{'$oid': '5cc93162831b973d657f1424'},20世纪90初,NULL,0.9米,3.47米,NULL,3850千克,单旋翼,11.45米
亚音速,http://images.huanqiu.com/sarons/2013/11/ebbadb6e42dd150cc3ef6bce7c238a3e.jpg,卡莫夫公司,NULL,NULL,NULL,TB3-117BMA型涡轮发动机×2,NULL,双发,飞行器,武装直升机,苏/俄,NULL,NULL,NULL,NULL,350千米每小时,卡-52直升机 ,{'$oid': '5cc93163831b973d657f1425'},NULL,NULL,14.43米,6.85米,NULL,NULL,共轴双旋翼,15.96米
亚音速,http://images.huanqiu.com/sarons/2014/01/fee5e414424f9b29302e0f423692a1b9.jpg,川崎,1人,NULL,550千米,NULL,NULL,双发,飞行器,武装直升机,日本,NULL,NULL,NULL,NULL,277千米每小时,川崎OH-1 侦察/观察直升机,{'$oid': '5cc93163831b973d657f1426'},1996年8月6日,NULL,11.6米,3.4米,2003年交付,NULL,单旋翼,12米
亚音速,http://images.huanqiu.com/sarons/2013/11/cdc12fc72ebd262013fbea681b8e87d2.jpg,波音公司,6人,"
MD500/530“防御者”是原美国休斯直升机公司(1985年8月27日并入麦克唐纳·道格拉斯公司，后又并入波音公司)在其MD500/530民用型系列直升机的基础上发展起来的军用型。除“陶”“防御者”外，其机体与民用500/530型相同。美陆军编号为AH-6、EH-6和MH-6。
",1900千米,一台T63-A-5A或t63-A-700涡轮轴发动机，630马力（485kW）,波音公司,单发,飞行器,武装直升机,美国,NULL,NULL,722千克,NULL,310千米每小时,AH-6“小鸟”直升机,{'$oid': '5cc93163831b973d657f1427'},1991年,NULL,8.3米,3米,1991年,1406千克,单旋翼,9.8米
