大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,研发单位,研制时间,关注度,弹长,简介,最大速度,弹径,弹重
导弹武器,地空导弹,NULL,“轻剑”防空导弹系统 ,NULL,6500千米,NULL,{'$oid': '5cc9337c831b973d657f2176'},NULL,英国,NULL,1963年,NULL,2.21米,NULL,NULL,0.13米,68千克
导弹武器,地空导弹,NULL,红旗-19(HQ-19)地空导弹,NULL,近程导弹,NULL,{'$oid': '5cc9337d831b973d657f2177'},NULL,中国,NULL,NULL,NULL,NULL,"
在研，具体情况不祥。该导弹射高达40000米，主要用于对付美曙光女神高超音速侦察机。中俄合作研制。
",NULL,NULL,NULL
导弹武器,地空导弹,NULL,前卫-18(QW-18)便携式防空导弹,NULL,NULL,NULL,{'$oid': '5cc9337d831b973d657f2178'},http://images.huanqiu.com/sarons/2013/11/9678136990ca7bdf78070043daebe9c0.jpg,中国,NULL,NULL,NULL,NULL,"
QW18型便携式防空导弹属于比较典型的第三代便携式防空导弹。该导弹采用了不少先进技术，具有极其强大的抗干扰能力。“前卫”18采用了双波段红外被动导引头，可感应目标尾焰和蒙皮两处热源，从而牢牢锁定目标。因此QW-18的抗干扰能力和灵敏度和精确度都得到增强，更加适合对抗反巡航导弹及超音速目标。
",NULL,NULL,NULL
导弹武器,地空导弹,NULL,红缨-6（FN-6）单兵便携式防空导弹,NULL,6千米,NULL,{'$oid': '5cc9337d831b973d657f2179'},NULL,中国,NULL,2000年,NULL,1.495米,FN-6单兵便携型防空导弹是中国第三代便携式防空导弹，为单兵肩扛式，可拦截低空和超低空的战斗机、轰炸机和直升机。有很强的抗干扰能力，可从红外背景（如发光的云朵、地面物体和红外诱饵）中识别目标，有敌我识别能力。导弹可安装在车辆、小艇和直升机上。,NULL,0.072米,16千克
导弹武器,地空导弹,NULL,“吹管”便携式防地空导弹 ,NULL,3.2千米,NULL,{'$oid': '5cc9337d831b973d657f217a'},http://images.huanqiu.com/sarons/2013/11/fbd0a30115158d3fcb7ddc0b3d338605.jpg,英国,NULL,1966年,NULL,NULL,此型导弹是英国研制的一种便携式单兵肩射的防空导弹武器系统，也可以车载发射。1966年开始研制，1972年装备部队。主要用来对付低空慢速飞行和直升机，承担野战防空任务，还可用来对付小型舰艇和地面战车。,NULL,NULL,21.5千克
导弹武器,地空导弹,NULL,星爆防空导弹,NULL,5.5千米,激光束,{'$oid': '5cc9337d831b973d657f217b'},NULL,英国,NULL,1985年,NULL,1.394米,"
“星爆”（Star BurstMissile）防空导弹系统自1985年开始以“标枪”防空导弹系统为基础，根据中东战争和英阿马岛海战的经验教训研制的新型防空导弹。目前，有车载、舰载和自行式多联装等型号。主要用于攻击高速固定翼飞机、直升机。
",NULL,0.076米,15.2千克
导弹武器,地空导弹,NULL,红缨-5甲(HN-5A)便携式防空导弹,NULL,4.4千米,红外被动寻导,{'$oid': '5cc9337d831b973d657f217c'},NULL,中国,NULL,NULL,NULL,1.46米,中国“红缨”-5甲便携式防空导弹是中国“红缨”-5便携式防空导弹的改进型。采用红外被动寻的制导，导引头使用常温硫化铅探测器，采用热电致冷技术，提高了探测距离。导弹具备迎头攻击高速飞机的能力。战斗部重量加大，杀伤力提高，抗背景干扰的能力也有所提高。,3千米/小时,0.072米,10.2千克
导弹武器,地空导弹,NULL,标枪（Javelin）近程防空导弹,NULL,4.5千米,红外线成像导引，射后不理,{'$oid': '5cc9337d831b973d657f217d'},NULL,英国,英国肖特兄弟有限公司,1979年,NULL,1.39米,"
“标枪”是英国肖特兄弟有限公司研制的一种单兵肩射近程防空导弹，它是在“吹管”导弹的基础上发展起来的。主要用于前沿战斗部队的低空近程防御，以对付飞机和武装直升飞机的袭击。“标枪”研制工作起始于1979年，1983年开始生产，1985年初装备部队。
",NULL,0.076米,11.1千克
导弹武器,地空导弹,NULL,箭-3式防空导弹,NULL,4.5千米,被动红外,{'$oid': '5cc9337e831b973d657f217e'},NULL,苏/俄,NULL,1978年,NULL,1.47米,"
箭-3 9K34 式地空导弹系统是一种便携式近程防空导弹系统，类似于美国的毒刺导弹系统，北约称之为 SA-14 小妖精。该导弹系统由前苏联的科洛姆纳机器制造设计局研制，1978 年开始装备前苏军，用于取代箭-2M9K32M(SA-7) 式导弹系统，主要对付低空、超低空飞机以及悬停的直升机。该导弹系统的舰载型为针 (SA-N-8) 舰空导弹系统，采用四联装发射架，作为舰艇的近程点防空武器。
",NULL,NULL,10.3千克
导弹武器,地空导弹,NULL,“耀星”导弹,NULL,NULL,NULL,{'$oid': '5cc9337e831b973d657f217f'},http://images.huanqiu.com/sarons/2014/01/2fd5e7d541576c1e9e13deaad509616b.jpg,英国,英国肖特公司,未知,NULL,NULL,NULL,NULL,NULL,NULL
导弹武器,地空导弹,NULL,前卫-1M(QW-1M)便携式防空导弹系统,NULL,5千米,NULL,{'$oid': '5cc9337e831b973d657f2180'},NULL,中国,NULL,NULL,NULL,1.447米,"
   “前卫”-1M便携式防空导弹系统是用于攻击低空和超低空飞行目标的全方位系统，具有极强的抗红外干扰能力。可用于步兵、装甲车辆及炮兵野外防空作战，或用于要地防空，也可以与其他武器配合形成更完善的防空系统。
",NULL,0.071米,10.68千克
导弹武器,地空导弹,NULL,LG天马导弹,NULL,11千米,NULL,{'$oid': '5cc9337e831b973d657f2181'},NULL,韩国,伊诺特公司,NULL,NULL,NULL,"
“天马”导弹属于野战防空型低层中高空防御系统，也是韩国现役唯一的为机动部队提供全方位防御的系统。“天马”导弹主要用于防御近程弹道导弹、巡航导弹、低空攻击机或直升机。整个系统由导弹和发射装置、雷达和电子设备及火控系统等组成。
",2927.6千米/小时,NULL,NULL
导弹武器,地空导弹,NULL,萨姆-6（SA-6）防空导弹,NULL,24千米,全程半主动雷达寻的制导,{'$oid': '5cc9337e831b973d657f2182'},http://images.huanqiu.com/sarons/2013/11/c40b0656ee4e98d9ca1a260f3539f3ca.jpg,苏/俄,Toporov OKB-134特种工程设计局,1959年,NULL,5.8米,“萨姆-6”防空导弹（SA-6）前苏联研制的机动式全天候近程防空导弹武器系统，苏军称为“立方”，用于师级野战防空，主要用于攻击中、低空亚音速和跨音速飞机，以及和巡航导弹。,NULL,0.335米,604千克
导弹武器,地空导弹,NULL,前卫-1(QW-1)便携式防空导弹,NULL,5千米,红外／紫外双模制导,{'$oid': '5cc9337f831b973d657f2183'},NULL,中国,NULL,NULL,NULL,1.532米,"
   “前卫”-1便携式防空导弹是我军第二代单兵防空导弹，也是后来久负盛名的“前卫”家族的老大。该导弹具有较强的灵活性和机动性，易于操作，“发射后不管”，具有全向攻击能力，其性能已超越大名鼎鼎的美军“毒刺”导弹的早期型。目前已列装我军一线部队(如西藏山地步兵旅，成都快反部队等)。
",NULL,0.071米,16.9千克
导弹武器,地空导弹,NULL,萨姆-16防空导弹,NULL,5千米,NULL,{'$oid': '5cc9337f831b973d657f2184'},NULL,苏/俄,依热夫斯基机械厂,70年代末,NULL,1.574米,萨姆-16防空导弹（SA-16“手钻”），俄罗斯命名为“针-1”（Igla-1），代号“9K310”。萨姆-16防空导弹由依热夫斯基机械厂研制，是一种便携式近程低空防空导弹系统，主要用于对付低空、超低空飞机和悬停的直升机，是SA-18的简化版本，是“针”系列便携式防空导弹的基本型。20世纪70 年代末研制，1981年装备前苏军，导弹型号9M313 。,NULL,NULL,17.9千克
导弹武器,地空导弹,NULL,前卫-2（QW-2）单兵便携式防空导弹,NULL,6千米,被动红外,{'$oid': '5cc9337f831b973d657f2185'},http://images.huanqiu.com/sarons/2013/11/332fd1628379f43703d1cbf293818079.jpg,中国,NULL,NULL,NULL,1.495米,“前卫”-2是新一代的便携式防空导弹武器系统，是“前卫”-1的改进型。其主要任务是打击低空和超低空战术目标，例如战斗机、攻击机及武装直升机及巡航导弹，它可以为军事基地、政治和工业中心及其他重要设施提供有效的防空保障。,NULL,0.072米,11.32千克
导弹武器,地空导弹,NULL,前卫-lA（QW-1A)全天候防空导弹武器 ,NULL,5千米,电子导航和定位,{'$oid': '5cc9337f831b973d657f2186'},NULL,中国,航天新乐有限公司和西安天伟电子系统工程有限公司联合研制,NULL,NULL,1.447米,"
   “前卫”-lA系统，其实就是为前卫-1配备了一部单兵便携雷达。由航天新乐有限公司和西安天伟电子系统工程有限公司联合研制。新型便携式地空导弹武器系统具有携带轻便、阵地选择方便、全天候对空作战，攻击能力强等特点，开创了单兵防空导弹战术作战的新模式。解决了长期以来制约我军单兵导弹使用的远程预警和全天候作战两大瓶颈问题，极大地提高了单兵作战武器的系统的作战效能。
",NULL,0.071米,10.68千克
导弹武器,地空导弹,NULL,“天弓”I 型地空导弹,NULL,60千米,半主动雷达导引,{'$oid': '5cc9337f831b973d657f2187'},NULL,中国,中山科学研究院,1984年4月,NULL,5.3米,该导弹是台湾中山科学技术研究院在1982年从美国生产爱国者系统的雷锡恩公司获得“爱国者”85%的设计技术后开始研制的。分天弓I型、天弓II型和天弓III型(正在研制当中)。其中天弓I型是中低空中近程地空导弹武器系统，天弓Ⅱ为中高空中远程地空导弹武器系统，而目前正在研制的III型则是高空远程地空导弹武器系统，类似于美国的爱国者系统。,NULL,0.41米,870千克
导弹武器,地空导弹,NULL,9K38 Igla 针式导弹(SA-18),NULL,5.2千米,NULL,{'$oid': '5cc9337f831b973d657f2188'},NULL,苏/俄,NULL,1971年,NULL,1.574米,"
   9K38Igla针式导弹（俄语：9К38 «Игла́»;英语：needle）是一种苏联制的便携式防空导弹（SAM），""9K38"" 是苏联命名系统，美国国防部称为SA-18，北约代号Grouse。
",NULL,0.072米,10.8千克
导弹武器,地空导弹,NULL,2C6M“通古斯卡”（SA-19）防空导弹,NULL,10千米,半主动雷达指令视线制导,{'$oid': '5cc9337f831b973d657f2189'},NULL,苏/俄,NULL,NULL,NULL,2.5米,萨姆-19防空导弹（2C6M，SA-19“通古斯卡”）是弹炮合一的防空武器系统。主要是针对武装直升机设计的，是一种全自动、全天候自行防空系统。于1988年开始在苏军服役。装有30毫米双管高射机关炮和9M311防空导弹，可以打击200-8000没的各种中低空目标，其跟踪雷达的最大跟踪距离可达13公里。,65千米/小时,NULL,40千克
导弹武器,地空导弹,NULL,91式“凯科”地空导弹,NULL,5千米,NULL,{'$oid': '5cc9337f831b973d657f218a'},http://images.huanqiu.com/sarons/2013/11/4b8737704fb8de77bc0f45e7c07cea73.jpg,日本,NULL,1977年,NULL,1.4米,91式“凯科”地空导弹是世界上第一种采用红外成像制导的地空导弹，具有全向攻击能力，抗干扰能力也比较强。当制导系统锁定目标后，成像导引头储存目标图像，这样可提高图像解析能力，制导精度也随之提高。日本自己认为，“凯科”导弹比美国“毒刺”导弹的精度更高。,NULL,0.8米,12千克
导弹武器,地空导弹,NULL,山毛榉-M1-2（萨姆-17/SA-17）防空导弹,NULL,45千米,NULL,{'$oid': '5cc93380831b973d657f218b'},NULL,苏/俄,NULL,NULL,NULL,5.5米,"
萨姆-17防空导弹（SA-17“灰熊”），俄代号为“山毛榉”-M1-2，是俄罗斯的一种新型防空导弹系统，用于替换早先的萨姆-11防空导弹，于1995年进入俄陆军服役。该系统的作战目标为战略和战术飞机、战术弹道导弹、巡航导弹、战术空射型导弹、直升机和无人驾驶飞机。SA-N-12“无风-1”是其舰载型（也被称为“施基利-1”）。
",NULL,0.4米,715千克
导弹武器,地空导弹,NULL,前卫-3（QW-3）防空导弹,NULL,8千米,激光半主动,{'$oid': '5cc93380831b973d657f218c'},NULL,中国,NULL,NULL,NULL,2.1米,“前卫”-3激光半主动制导防空导弹系统有标准型和轻便型两种，主要用于执行点防空任务，也可用于野战防空。它可以对付武装直升机、歼击机书轰炸机、巡道航导弹和空地导弹等多种目标，具有强大的超低空作战能力和全向攻击能力。,NULL,0.071米,23千克
导弹武器,地空导弹,NULL,红旗-17（HQ-17）地空导弹,NULL,12千米,NULL,{'$oid': '5cc93380831b973d657f218d'},NULL,中国,NULL,NULL,NULL,3.5米,"
我国于90中期年代从俄罗斯引进了二十多套道尔-M1型低空野战防空导弹，装备38集团军的防空旅。国产化后的型号即成为红旗－17。

道尔-M1型是一种全天候、机动式、垂直发射的单车自动化野战地空导弹武器系统。系统包括目标搜索雷达、制导站、导弹模块和底盘。目标搜索雷达和制导站的天线部分以及2个导弹模块（8枚导弹）、电视光学瞄准设备组成了一个转塔式整体位于底盘上，整个转塔可360度旋转，其他显示控制台等设备位于底盘里。
",NULL,NULL,165千克
导弹武器,地空导弹,NULL,前卫-11（QW-11）便携式防空导弹,NULL,NULL,激光制导,{'$oid': '5cc93380831b973d657f218e'},http://images.huanqiu.com/sarons/2013/11/843a7dc893785e5e1a737236b5d236d6.jpg,中国,NULL,NULL,NULL,1.477米,“前卫”11采用了数字化信息处理技术和“触发+激光近炸”复合引信，由于它利用激光制导技术提高了精度，反导能力在家族成员中独占鳌头，可以在对战斧之类的巡航导弹贴近爆炸形成很大威胁，过去老式单兵红外制导便携式防空导弹精度对飞机尚可，对体积较小的巡航导弹则精度较差。此外，前卫11一样还可打直升机、螺旋桨飞机、喷气式飞机。前卫11还用过QW-1G(前卫-1G)的编号。,NULL,NULL,10.68千克
导弹武器,地空导弹,NULL,红旗1号（HQ-1）中高空防空导弹 ,NULL,29千米,半主动雷达导引,{'$oid': '5cc93380831b973d657f218f'},http://images.huanqiu.com/sarons/2013/11/a16d4c9e4573a8e1833a7ea01a4b3031.jpg,中国,国防部五院,1960年,NULL,10.778米,红旗一号导弹系统的原型是苏联的“斯-75”型（北约命名为SA-2）地对空导弹。武器系统它由导弹、制导站、发射架和地面支援设备等组成。主要用于攻击高空、高速飞机和飞航式导弹。,NULL,0.7米,2160千克
导弹武器,地空导弹,NULL,RBS90防空导弹,NULL,6.5千米,NULL,{'$oid': '5cc93381831b973d657f2190'},http://images.huanqiu.com/sarons/2013/11/d2e81a504db9f419bc1db379d67bd8c7.jpg,瑞典,NULL,NULL,NULL,1.32米,RBS90从1992年开始进入瑞典陆军服役。1993年具备作战能力。,NULL,0.106米,21.5千克
导弹武器,地空导弹,NULL,C-125“小羚羊”（SA-3“果阿”）防空导弹,NULL,15千米,无线电指令,{'$oid': '5cc93381831b973d657f2191'},http://images.huanqiu.com/sarons/2013/11/e17c2499c7d7288c94ba6d70c38df41c.jpg,苏/俄,NULL,1956年,NULL,6.1米,萨姆-3防空导弹是一种用来对付中低空飞机的近程地空导弹，苏联编号С-125，是第二代中、低地空导弹，绰号“果阿”，又名“小羚羊”，在苏联的防空系统中，用来填补高空导弹的空白区域，任务是辅助性质的，适用于要地防空，也可用于野战防空。,NULL,0.37米,950千克
导弹武器,地空导弹,NULL,SAM-7“格雷尔”SA-7防空导弹,NULL,3.4千米,红外被动寻,{'$oid': '5cc93381831b973d657f2192'},NULL,苏/俄,俄罗斯机械制造设计局,60年代初,NULL,1.42米,SA-7防空导弹（SA-7“格雷尔”，SAM-7 Missile），俄罗斯机械制造设计局（KBM）制造，是一种便携式低空近程地对空导弹，用于杀伤低空和超低空慢速飞行目标。SA-7导弹除大量装备苏军摩托化步兵营、伞兵营和空降突击营外，还出口到20多个国家。,NULL,0.072米,9.2千克
导弹武器,地空导弹,NULL,“飞蠓”80地空导弹,1.166米,远程导弹,NULL,{'$oid': '5cc93381831b973d657f2193'},NULL,中国,NULL,20世纪80年代末,NULL,3米,NULL,2700千米/小时,0.156米,84.5千克
导弹武器,地空导弹,NULL,MIM-104“爱国者”（Patriot）地空导弹,NULL,70千米,指挥导引+半主动雷达制导,{'$oid': '5cc93381831b973d657f2194'},http://images.huanqiu.com/sarons/2013/11/57d991114fd33152c2cdc8a3ffed2138.jpg,美国,雷神公司,1967年,NULL,5.8米,爱国者导弹（MIM-104Patriot）是美国雷神公司制造的中程地对空导弹系统。它取代了胜利女神力士（NikeHercules）导弹，成为美军高及中高度防空武器。这个武器系统在波斯湾战争后广为人知，成为美国的代表性武器之一。正如很多昂贵的美国武器系统，爱国者导弹系统见证了很多有关其作战性能的争议。PAC-2和之前的导弹使用导弹跟踪与指挥导引作为中途导引方式。终端则是半主动雷达导引。PAC-3则是以中途惯性导引加上终端主动雷达导引。被销售到以色列、德国、荷兰、以及比利时等国家。2012年12月4日，北约批准土耳其部署爱国者导弹系统。,NULL,0.41米,700千克
导弹武器,地空导弹,NULL,前卫-4（QW-4）防空导弹,NULL,6千米,NULL,{'$oid': '5cc93381831b973d657f2195'},http://images.huanqiu.com/sarons/2013/11/a3f111090c802032209dfe8cefdfe1c9.jpg,中国,NULL,NULL,NULL,NULL,"
 前卫-4（QW-4）便携式防空导弹系统是我国在研的新型便携式防空导弹，他和以前的型号最大的不同在于采用了红外成像导引头，比普通的点元红外探测器有更好的性能。
",NULL,NULL,NULL
导弹武器,地空导弹,NULL,罗兰特防空导弹,NULL,8千米,跟踪雷达,{'$oid': '5cc93381831b973d657f2196'},NULL,德国,NULL,1964年,NULL,2.4米,全武器系统由导弹、制导与发射装置载车组成。,NULL,0.16米,67千克
导弹武器,地空导弹,NULL,捷羚式防空武器系统,NULL,9千米,NULL,{'$oid': '5cc93381831b973d657f2197'},http://images.huanqiu.com/sarons/2013/11/5b9a78df8d45dbdf57cc53bd866b5434.jpg,中国,中山科学研究院,1995年,NULL,3.084米,捷羚防空导弹系统（Antelope Air Defense System）为我国台湾中山科学研究院以天剑一型为基础自行研发的的陆射防空系统，1995年开始研发，1997年首次对外公开。,NULL,NULL,86.2千克
导弹武器,地空导弹,NULL,“天弓”Ⅱ型地空导弹,NULL,200千米,惯性制导和主动雷达终端导引,{'$oid': '5cc93382831b973d657f2198'},NULL,中国,NULL,1985年,NULL,5.678米,"天弓II是在天弓I的基础上发展起来的全天候、中高空、中远程地空导弹武器系统，用以攻击中高空高速机动目标。于80 年代中期开始研制 , 主要是在“天弓-Ⅰ”型导弹上加装了一级助推火箭，射程可增加70～80公里。该弹配备了台湾长白多功能相控阵雷达和照射雷达系统。长白相控阵雷达系统与美国海军现役“宙斯盾”系统上最先进的AN/SPY-1A 雷达相近，作用距离超过 500 公里，可同时跟踪锁定20组以上目标，并选择出6个最有威胁性的目标优先攻击，专门对付高空来袭的飞机和导弹。",NULL,0.4米,1135千克
导弹武器,地空导弹,NULL,箭-2（Arrow-2）防空导弹,NULL,148千米,被动红外导引和主动雷达导引,{'$oid': '5cc93382831b973d657f2199'},http://images.huanqiu.com/sarons/2013/11/cd1475112164941eed79977467280c60.jpg,以色列,NULL,1986年,NULL,7米,"
以色列箭-2（Arrow-2）导弹系统被称为世界上第一种实用型战区弹道导弹防卫系统，拦截导弹最高飞行速度达到9倍音速，是世界上飞行速度最快的防空导弹。
",NULL,0.8米,1300千克
导弹武器,地空导弹,NULL,前卫-19（QW-19）防空导弹,NULL,NULL,NULL,{'$oid': '5cc93382831b973d657f219a'},http://images.huanqiu.com/sarons/2013/11/5fc2c68722ad23c815cf89e2b69dd1b0.jpg,中国,NULL,NULL,NULL,NULL,QW-19型防空导弹是“前卫”导弹家族的最新成员，是专为打巡航导弹和树梢杀手武装直升机而研制的新型号，采用了激光主动制导（激光雷达照射）和双波段红外被动制导，对目标尾焰和其他的热源进行探测，从而牢牢锁定目标，且作战转换时间为十秒。,NULL,NULL,NULL
导弹武器,地空导弹,NULL,RBS 70（瑞典语,NULL,6千米,激光乘波导引,{'$oid': '5cc93382831b973d657f219b'},http://images.huanqiu.com/sarons/2013/11/a2ed643beffc16220e6901c9e2d0541d.jpg,瑞典,NULL,1967年,NULL,1.32米,瑞典陆军用以对付高速飞机及直升机的便携式近程地空导弹系统。,NULL,0.106米,87千克
导弹武器,地空导弹,NULL,M48“小槲树”导弹,NULL,9千米,光学跟踪、被动红外寻,{'$oid': '5cc93382831b973d657f219c'},NULL,美国,NULL,NULL,NULL,2.9米,M48“小槲树”导弹是美国陆军研制的第二代地空导弹武器系统，1969年开始装备部队，该导弹系统是美军师一级的主要防空武器。M48“小槲树”由导弹、发射架与M730履带车组成。,NULL,0.63米,86千克
导弹武器,地空导弹,NULL,“红眼睛” （FIM-43）便携式防空导弹 ,NULL,4.5千米,被动式红外线,{'$oid': '5cc93382831b973d657f219d'},NULL,美国,NULL,1959年,NULL,1.2米,"
“红眼睛”（FIM-43）是世界上最早出现的便携式防空导弹之一，也是美军第一代单兵肩射近距防空导弹。它所采用的光学瞄准和红外自导引，可以说是开创了使用冷却导引头的先河。该导弹于1959年开始研制，1966年装备部队，可对付低空飞行的各种飞机，主要用于前沿阵地和要地防空。
",NULL,0.7米,8.3千克
导弹武器,地空导弹,NULL,“杰里科”-1（Jericho-1）地空导弹 ,NULL,500千米,NULL,{'$oid': '5cc93382831b973d657f219e'},http://images.huanqiu.com/sarons/2013/11/dc3665a87663b258eedbe0c0362238bc.jpg,以色列,NULL,1960年,NULL,13.4米,以色列1960年代服役的单级 “杰里科”-1导弹来自法国。法国达索飞机制造公司与以色列签署合同向以色列交付一种射程在235-500公里的弹道导弹。,NULL,0.8米,6700千克
导弹武器,地空导弹,NULL,“绿箭”反坦克导弹,NULL,3千米,红外线制导,{'$oid': '5cc93383831b973d657f219f'},http://images.huanqiu.com/sarons/2013/11/a7c3a9c805564412dc288ec919a4090b.jpg,巴基斯坦,NULL,1990年,NULL,0.875米,"
2009年伊始，斯里兰卡政府军对泰米尔猛虎游击队的进攻取得了节节胜利，泰米尔猛虎游击队活动范围被压缩到贾夫纳半岛的一小块区域内。参战的斯里兰卡官兵都肯定斯的军事改革取得了成果，也对作战中使用的新武器大加赞赏，新武器中就有引自巴基斯坦的“绿箭”反坦克导弹。1994年，巴陆军批准“绿箭”反坦克导弹定型。“绿箭”反坦克导弹能对付泰米尔猛虎游击队的各种软硬目标，杀伤力惊人。
",NULL,0.12米,11.2千克
导弹武器,地空导弹,NULL,日本03式（SAM-4）中程地空导弹,NULL,50千米,NULL,{'$oid': '5cc93383831b973d657f21a0'},NULL,日本,NULL,2006年,NULL,4.9米,"
2006年11月30日,日本在美国新墨西哥州靶场成功试射了一枚新型地空防御导弹，这是日本自主研发的新型中程地空导弹———03式中程地空导弹，简称SAM-4，通称SAM。
",NULL,0.32米,570千克
导弹武器,地空导弹,NULL,霍克(hawk）地空导弹,NULL,40千米,半主动雷达制导,{'$oid': '5cc93383831b973d657f21a1'},NULL,美国,NULL,1967年,NULL,5.08米,霍克最初命名为“猛禽”，后来变成“全程寻的杀伤器”（HomingAlltheWayKiller）的缩写，即霍克。霍克地空导弹系统是美国最老的防空导弹系统之一，自60年代初以来，一直是美国海军陆战队的主要防空武器。40年来，雷声公司总共制造了37000枚霍克导弹，每枚导弹的单位研制费为25万美元，每个火力单元（发射排）的单位换装费是1500万美元。,NULL,0.37米,584千克
