图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,水雷,潜航深度,鱼雷,大类,类型,编制,武器装备,舰长,产国,活动范围,水下排水量,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间,武装
http://images.huanqiu.com/sarons/2013/07/25fe97d0a35a8c3213e33f6927468745.jpg,NULL,NULL,NULL,"
“天蝎座”级（或称“鲉鱼”级潜艇、“天蝎星”级潜艇）为法国DCNS公司与西班牙Navantia公司（IZAR）联合研发制造的常规动力潜艇。“天蝎座”级潜艇的设计是结合了西班牙的常规动力潜艇与法国“凯旋”级核潜艇的部分概念，共有三种型号，标准型、AIP型和缩小版型。
",法国DCNS公司与西班牙Navantia公司（IZAR）,8节水面航速航行时航程6 500英里；4节水下航速航行时航程550英里；4节水下航速航行时航程360英里(马来西亚),1668吨,50天,6.2米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,31人,NULL,66.4米,法国,NULL,1564吨,20节,NULL,“天蝎座”级常规攻击性潜艇,2003年10月23日,{'$oid': '5cc931eb831b973d657f17a2'},NULL,NULL,NULL,2005年9月9日,NULL
http://images.huanqiu.com/sarons/2014/01/4e033cfadaf3a1d82f52b398800ceec1.jpg,NULL,在役,NULL,NULL,Wilton-Fyenood造船厂,18520公里（水面）,2300吨,60天,8.4米,NULL,NULL,240米,NULL,舰船舰艇,常规潜艇,58人,NULL,66.92米,中国,NULL,2600吨,20节,海虎号,SS-793/海龙号,1982年,{'$oid': '5cc931eb831b973d657f17a3'},NULL,1986年10月4日,500-2000吨,1987年12月28日,NULL
http://images.huanqiu.com/sarons/2013/07/554488856b0c353500dd729d6d20fd64.jpg,NULL,现役,NULL,"
""海豚""级潜艇为以色列海军的常规动力潜艇，由哈德威造船厂（HDW）和蒂森北海工厂(TNSW)共同负责建造。海豚级潜艇的厂方编号为“Type 800”，为209型潜艇及212型潜艇的改良型，但不被视为是209型的家族成员，基本设计反而类似最新的212型。以色列海军用该艇来替代70年代购得的盖尔级潜艇。
",哈德威造船厂（HDW）,8节航速水面航行时航程8 000英里，8节航速水下航行时航程420英里,1640吨,60天,6.8米,NULL,NULL,350米,NULL,舰船舰艇,常规潜艇,35人,NULL,57.3米,德国,地中海印度洋,1900吨,20节,海豚号、黎凡塞号和泰库玛号,“海豚”级常规攻击型潜艇,1992年,{'$oid': '5cc931ec831b973d657f17a4'},NULL,NULL,NULL,1998年4月,NULL
http://images.huanqiu.com/sarons/2013/07/e0bdc9315ab0aced3fc1b30abd19624a.jpg,NULL,NULL,NULL,“桂树神”级常规潜艇，又称“女神”级，是法国由“林仙”级发展而来的一级反潜潜艇。该级潜艇建造于1964年-1969年，首艇于1964年服役，现役9艘。该级艇1971年改装了武备和电子探测装置。,NULL,5节航速水面航行时航程4500英里，7节航速水下通气管航行时航程3 000英里,869吨,30天,6.8米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,50人,NULL,57.8米,法国,NULL,1043吨,16节,NULL,“桂树神”（Daphné）级（“汉果”级，“青花鱼”级，“海豚”级）常规攻击型潜艇,1964年,{'$oid': '5cc931ec831b973d657f17a5'},NULL,NULL,NULL,1964年,NULL
http://images.huanqiu.com/sarons/2013/07/6c3b2d017e1f467c0e603fdf54275721.jpg,所罗门级（A-11型）海蛇级（A-12型）水怪级（A-14型）西约特兰级（A-17型）,服役中,NULL,NULL,瑞典考库姆公司,未知,1494吨,15天,6.2米,南曼兰级潜艇 A-26型潜艇,NULL,300米,NULL,舰船舰艇,常规潜艇,24人,NULL,60.4米,瑞典,NULL,1599吨,20节,3艘,“哥特兰” (Gotland)级(A 19)常规攻击型潜艇,1992年11月20日,{'$oid': '5cc931ec831b973d657f17a6'},NULL,1995年2月2日,500-2000吨,1996年,NULL
http://images.huanqiu.com/sarons/2013/07/d007d25cec7455fc56c854bae8e1cf0b.jpg,NULL,NULL,NULL,NULL,NULL,8节航速时航程5000英里,1040吨,40天,5.4米,NULL,NULL,200米,NULL,舰船舰艇,常规潜艇,21人,NULL,59米,挪威,NULL,1150吨,23节,NULL,乌拉(Ula)级常规攻击型潜艇,1989年,{'$oid': '5cc931ec831b973d657f17a7'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/dd2e674713fa6239d12f0fe238ec4dc9.jpg,“夕潮”级,退役，部分转为训练潜舰或测试平台,NULL,"
春潮级潜艇为日本海上自卫队的常规动力潜艇。1987年，由日本三菱重工业神户造船所和川崎造船神戸工场分别开工建造。春潮级的舰体比法国的红宝石级(Rubis class)核动力攻击潜舰还大一些，设计上延续前型“涡潮”级、“汐潮”级一脉相承的基本构型，但在舰体长度增长1米，直径略增，排水量增大，其他在人员适居性、舰体材料、潜航续航力、静音能力、水下侦测等方面都有许多改进。所以，春潮级基本上是汐潮级的改良型。
",日本三菱重工业神户造船所，川崎造船神户工场,未知,2450吨,45天,10米,“亲潮”级,NULL,300米,NULL,舰船舰艇,常规潜艇,65人,NULL,77米,日本,NULL,2750吨,20节,“春潮”号(SS583)，“夏潮”号(SS 584)，“早潮”号(SS 585)，“荒潮”号(SS586)，“若潮”号(SS 587)，“冬潮”号(SS588)，“朝潮”号(TSS3601，原SS 589),“春潮”(Harushio)级常规攻击型潜艇,1987年4月21日,{'$oid': '5cc931ec831b973d657f17a8'},NULL,NULL,NULL,1990年11月30日,NULL
http://images.huanqiu.com/sarons/2013/07/abce60603d4998eb24f33e746af18bcf.jpg,“春潮”级潜艇,现役,NULL,"
“亲潮”级潜艇为日本海上自卫队的常规动力潜艇之一。“亲潮”级潜艇是由日本三菱重工业神户造船所和川崎造船神户工场，分别在1998年3月至2008年3月完成11艘的舰造工程。较前一型“春潮”级潜艇有更良好的操控性能、潜航深度的增大、续航力增加、情报处理能力更优越，算是“春潮”级潜艇的改良加大版。
",日本三菱重工业神户造船所和川崎造船神戸工场,不详,2750吨,21天,8.9米,“苍龙”级潜艇,NULL,500米,NULL,舰船舰艇,常规潜艇,59人,NULL,81.7米,日本,NULL,3000吨,20节,NULL,“亲潮”（Oyashio）级常规攻击型潜艇,1994年1月26日,{'$oid': '5cc931ec831b973d657f17a9'},NULL,1996年10月15日,NULL,1998年3月16日,NULL
http://images.huanqiu.com/sarons/2013/07/693266549f036b23285e0cc7dbcbd0ce.jpg,荷兰旗鱼级潜舰剑鱼级潜艇,服役中,NULL,"
海象级潜舰是荷兰海军目前唯一现役潜舰群，从90年代开始服役，都以海洋哺乳动物命名，特殊之处在于接近十字形状的舰尾；其升降舵和方向舵是X型排列。这种船尾是60年代由美军USS Albacore (AGSS-569)号率先使用。
",鹿特丹干船坞公司,9节航速水下通气管航行时航程10 000英里,2465吨,NULL,8.4米,海鳗级潜艇,NULL,450米,NULL,舰船舰艇,常规潜艇,55人,NULL,67.7米,荷兰,NULL,2800吨,20节,“海象”“海豚”“布鲁因维斯”号“海狮”,“海象”(Walrus)级常规攻击型潜艇,1979年12月,{'$oid': '5cc931ec831b973d657f17aa'},NULL,NULL,NULL,1992年,NULL
http://images.huanqiu.com/sarons/2013/07/7855d88197090ba791f4b744c6b2ced8.jpg,“涡潮”级,退役,NULL,"
夕潮级(又称汐潮级)潜艇为日本海上自卫队的常规动力潜舰，由日本三菱重工业神户造船所和川崎重工神户造船厂建造。首舰于1976年开工，共建造同级型10艘分别在1980年至1989年服役，以每年一艘的速度成军。
",日本三菱重工业神户造船所，川崎重工神户造船厂,未知,2250吨,NULL,9.9米,“春潮”级,NULL,300米,NULL,舰船舰艇,常规潜艇,61人,NULL,76米,日本,太平洋,2450吨,20节,NULL,“夕潮”（Yuushio） 级常规动力潜艇,1976年12月21日,{'$oid': '5cc931ec831b973d657f17ab'},NULL,1979年3月29日,2000-5000吨,1980年2月26日,NULL
http://images.huanqiu.com/sarons/2013/07/a3a7baf96e5effc6f2b1863a3e1822ab.jpg,NULL,现役,NULL,NULL,英国考库姆公司,未知,1500吨,NULL,61米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,24人,NULL,60.5米,瑞典,NULL,1600吨,20节,NULL,“索德蒙兰”（Sǒdermanland）级常规攻击型潜艇,未知,{'$oid': '5cc931ec831b973d657f17ac'},NULL,1988年4月12日,NULL,1989年4月21日,NULL
http://images.huanqiu.com/sarons/2013/07/cd2b2cf579e91d4c0512b9c69380507a.jpg,NULL,在役4艘,NULL,"
“海蛇”级潜艇以反潜为主要任务。它是瑞典考库姆舰船公司于二战后研制的第一代采用单轴、单螺旋桨推进的现代化潜艇。瑞典海军原来共有5艘“海蛇”级潜艇，其中1艘早已退役，另4艘分别名为“海熊”、“海蛇”、“海狮”和“海狗”号，全部卖给了新加坡。新加坡将其更名为“挑战者”级，4艘艇分别更名为“挑战者”、“征服者”、“百人队长”和“酋长”号。“海蛇”级潜艇的指挥台围壳尺寸相对较大，是瑞典第一代采用围壳舵的潜艇。
",瑞典考库姆造船公司,未知,1130吨,21天,6.1米,NULL,NULL,250米,NULL,舰船舰艇,常规潜艇,18人,NULL,51米,瑞典,NULL,1210吨,20节,NULL,“海蛇”(Sjoormen)级(A 12)常规攻击型潜艇,1967年-1968年,{'$oid': '5cc931ed831b973d657f17ad'},NULL,1967年1月25日,NULL,1968年7月31日,NULL
http://images.huanqiu.com/sarons/2013/07/76cb8006ac9e9835aefd67d777dd3de7.jpg,“丘吉尔”级,退役,NULL,"
“敏捷”（Swiftsure）级是在20世纪70年代初至2010年为英国皇家海军服役的核动力攻击型潜艇。共有6艘建成并服役。到2010年“敏捷”级陆续退役，逐渐被“机敏”级潜艇取代。除了本身的鱼雷装备，水雷和反舰导弹，一些潜艇得以升级，新增了发射战斧式巡航导弹的能力。“敏捷”（Swiftsure）级核动力攻击型潜艇也是英国皇家海军第一批配备喷水式推进器的潜艇。
",维克斯造船与工程有限公司,不限,4400吨,NULL,9.8米,“特拉法加”级,NULL,500米,NULL,舰船舰艇,常规潜艇,98人,NULL,82.9米,英国,NULL,4900吨,30节,6艘,“敏捷”（Swiftsure）级核动力攻击型潜艇,1969年6月6日,{'$oid': '5cc931ed831b973d657f17ae'},NULL,1971年9月7日,NULL,1973年4月17日,NULL
http://images.huanqiu.com/sarons/2013/07/ebd2152ba9f2469657092a1e566d2a57.jpg,“托蒂”级潜艇,5艘升级服役中，3艘退役,NULL,NULL,意大利芬坎特里造船公司蒙法尔科内造船厂,11节航速水面航行时航程11000英里，4节航速水下航行时航程250英里,1456吨,NULL,6.8米,“托达罗”级潜艇,NULL,300米,NULL,舰船舰艇,常规潜艇,55人,NULL,63.9米,意大利,地中海，大西洋,1631吨,19节,NULL,“萨乌罗”级常规攻击型潜艇,1974年6月27日,{'$oid': '5cc931ed831b973d657f17af'},NULL,1976年10月1日,500-2000吨,1980年2月12日,NULL
http://images.huanqiu.com/sarons/2013/11/204a5c7adc26fc0b004a73f34f1451f4.jpg,NULL,NULL,NULL,NULL,Cosmos Spa(意大利，里窝那),50海里,2吨,NULL,0.8米,NULL,NULL,100米,NULL,舰船舰艇,常规潜艇,1人,NULL,7米,意大利,NULL,NULL,NULL,NULL,Chariot CE2F/X100T潜水员输送载具 ,NULL,{'$oid': '5cc931ed831b973d657f17b0'},NULL,NULL,NULL,NULL,NULL
NULL,SX 756型潜艇,NULL,NULL,"
在意大利Cosmos公司监管下，三艘MG 110型潜艇在巴基斯坦生产。这些潜艇是意大利Cosmos公司设计的SX 756型潜艇的扩大版潜水深度为150米，可乘载八名蛙人和两吨爆炸物以及两艘CF2 FX 60 SDV(潜水员输送载具)。
",Cosmos SpA(意大利，里窝那)(巴基斯坦特许生产),NULL,102吨,NULL,5.6米,NULL,NULL,150米,两个21英寸(533毫米)发射管；两枚AEG SUT鱼雷；线导；主动导航12公里(65英里)，35节；被动导航签公里(15英里)，23节；弹头250千克外加两枚短程主动/被动导航鱼雷或两艘潜水员输送载具(SDV)。水雷,舰船舰艇,常规潜艇,8人,NULL,27.8米,意大利,欧洲,110吨,9节,NULL,MG110小型潜水艇,未知,{'$oid': '5cc931ed831b973d657f17b1'},NULL,NULL,500吨以内,NULL,NULL
NULL,前苏联633型,部分在役,3200吨,"
033型常规动力潜艇，是原苏联633型,北约代号R级(ROEMO)的改进型，是根据“二四协定”，向中国有偿转让，由中国进行仿制的。是中国生产批量最大的一型潜艇，其中出口朝鲜7艘埃及4艘。1960年开始中国化修改和国产化工作，至1967年基本完成，并命名为033型，出口型号ES5A型。至1987年停产时，我国共建造了106艘。
",上海江南造船厂,NULL,1400吨,45天,6.7米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76.6米,中国,中国，朝鲜，埃及,1800吨,15节,NULL,033型（R级）常规攻击潜艇,1960年,{'$oid': '5cc931ed831b973d657f17b2'},NULL,1963年8月,2000-5000吨,1965年9月,NULL
NULL,NULL,NULL,70吨,"
两艘该艇被哥伦比亚海军列为“战术潜艇”。它可以运载八名蛙人和两吨的爆炸物以及两艘潜水员输送载具(SDV)。该艇的排水量最初设计为40吨，但后来于20世纪80年代初扩大了。
",Cosmcs SpA(意人利，里窝那),NULL,58吨,NULL,4米,NULL,6枚Mk 21水雷，弹头300千克；8枚Mk11，弹头50千克。,96560.64米,NULL,舰船舰艇,常规潜艇,4人,NULL,23米,意大利,北美洲,70吨,11节,NULL,小型潜艇,未知,{'$oid': '5cc931ed831b973d657f17b3'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/33910116ed0a4db2c5d34e31f37ba3ab.jpg,NULL,NULL,NULL,"
“卡克拉”(Cakra)209型是德国德意志船厂开发的一款专供出口开发的柴电攻击潜艇。其艇首部分较高，尾部略低，艇舵浮出。主要装备印度尼西亚海军。目前已成功出口到13个国家。
", 霍瓦特-德意志造船厂(德国),NULL,1285吨,50天,6.2米,NULL,NULL,500米,8-21英寸(533毫米)艇首鱼雷管道；14枚AEG SUTMod o型鱼雷；,舰船舰艇,常规潜艇,28人,NULL,59.5米,德国,NULL,1390吨,11节,NULL,“卡克拉”（209）级潜艇（SSK）,NULL,{'$oid': '5cc931ee831b973d657f17b4'},NULL,NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/98ffc385c8f6fce84309f5c5d05fc088.jpg,NULL,NULL,NULL,"
Orca潜水员输送载具是为了实现多种隐蔽性任务而设计的，它能够独自在海岸区域执行可视与感知的侦察行动，信息采集和探雷的战斗任务。该防水艇允许潜水员从艇体上部或底部的闸门装置进出该艇。因为没有气泡冒出而且在任何情况下也不会扰乱水的状态，所以保证了其保密性。
",NULL,150海里,NULL,NULL,2.1米,NULL,NULL,100米,NULL,舰船舰艇,常规潜艇,5人,NULL,13.27米,德国,欧洲,NULL,5节,NULL,Orca潜水员输送载具（SDV）,NULL,{'$oid': '5cc931ee831b973d657f17b5'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/0e2ce74334806f8f83bc3c8a82822adf.jpg,NULL,现役,5300吨,NULL,大连造船厂,水上（6000海里/15节）,2350吨,NULL,8.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,74人,NULL,98米,中国,NULL,2950吨,17节,NULL,031型（G级）常规动力导弹潜艇,1960年,{'$oid': '5cc931ee831b973d657f17b6'},NULL,1964年9月,5000-10000吨,1966年8月,NULL
http://images.huanqiu.com/sarons/2013/11/d5b298a38efe2ce41fdddf391fc400ec.jpg,NULL,NULL,277吨,"
“跤”(Sanger-O)级潜艇被大量用于执行侵入任务。该艇可潜入海底，报道称常规训练包括潜水员从潜望镜的深度处离艇登陆。“跤”在执行短期任务时，一些艇员可能被特种部队所取代。
",新浦(朝鲜),2700英里,256吨,NULL,3.8米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,23人,NULL,35.5米,朝鲜,亚洲,277吨,8.8节,NULL,“跤”(Sanger-O)级潜艇,未知,{'$oid': '5cc931ee831b973d657f17b7'},NULL,NULL,500吨以内,NULL,NULL
NULL,NULL,已退役,2540吨,NULL,上海江南造船厂,18.25节,1080吨,30天,7.6米,NULL,NULL,200米,NULL,舰船舰艇,常规潜艇,53人,NULL,76米,中国,中国海域,1320吨,17节,NULL,030型（W级）常规动力攻击潜艇,1954年4月,{'$oid': '5cc931ee831b973d657f17b8'},NULL,1956年3月,2000-5000吨,1957年10月,NULL
NULL,NULL,NULL,3697吨,"
该型艇是1967年由中央军委批准，自行研制的中国第一代常规动力鱼雷攻击潜艇。该艇第一次采用了尖尾线型，采用了航向自动操舵仪和深度自动操舵仪，在所有航速范围内潜艇保证有正常的操纵性。035型潜艇首制艇于1969年10月开工，1974年4月交付海军使用。
",武昌造船厂,NULL,1584吨,60天,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,中国,2113吨,18节,NULL,035改进型明级潜艇,1969年10月,{'$oid': '5cc931ee831b973d657f17b9'},NULL,1971年7月,2000-5000吨,1974年4月,NULL
NULL,NULL,NULL,NULL,"
MG 120/ER是为了能够在大型潜艇无法完全发挥潜能的浅水区执行攻击和防卫任务而设计的。该潜艇也可以通过沿着海底缓慢的潜航来进一步提升其行动的秘密性。MG 120/ER浅水攻击型潜艇的一个突出特性是它的航程，它的航程在海面上超过2000英里。
",Cosmos SpA(意大利，里窝那),2000余英里,120吨,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,21人,NULL,30米,意大利,欧洲,NULL,NULL,NULL,MG120/ER浅水攻击型潜艇（SWAT）,未知,{'$oid': '5cc931ee831b973d657f17ba'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,88吨,"
“尤纳”(Una)级潜艇带有离艇/再进入的能力并且可以布雷。它可携带六名蛙人和四具蛙人输送艇以及水下爆破弹。潜水深为120米(394英尺)。电池仅可在海岸或是靠补给舰充电。克罗地亚和前南斯拉夫拥有多款尚存的该艇，克罗地亚拥有两艘，前南斯拉夫拥有六艘。
",斯普利特造船厂(克罗地亚，斯普利特),NULL,76吨,NULL,2.5米,NULL,NULL,120米,NULL,舰船舰艇,常规潜艇,10人,NULL,18.8米,克罗地亚,欧洲,88吨,4节,NULL,“尤纳”级小型潜艇,未知,{'$oid': '5cc931ee831b973d657f17bb'},NULL,NULL,500吨以内,NULL,NULL
NULL,NULL,NULL,NULL,北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,武昌造船厂，江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,76米,中国,NULL,2113吨,18节,NULL,342号常规动力攻击潜艇,NULL,{'$oid': '5cc931ef831b973d657f17bc'},NULL,NULL,2000-5000吨,1987年,NULL
NULL,033型,NULL,NULL,"
035型，北约称为“明”级，为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。 
",武昌造船厂，江南造船厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,10人,NULL,76米,中国,NULL,2113吨,18节,NULL,352号常规动力攻击潜艇,1988年8月,{'$oid': '5cc931ef831b973d657f17bd'},NULL,NULL,2000-5000吨,1990年12月,NULL
NULL, 033型,NULL,NULL,"
310号潜艇，属于035B型。（中国海军提出继续对035型实施改进，以便形成高低搭配。该型号被命名为035B。主要改进之处是：进一步改进外形，包括指挥台围壳和部分艇体的重新设计，排水孔结构、布排方式大幅度改变，类似于039型潜艇上布置；艇艏水声设备改进为先进型号；武备方面则正式具有了潜射飞航导弹的能力。）
",武昌制造厂，江南制造厂,NULL,1584吨,NULL,7.6米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,47人,NULL,78米,中国,NULL,2113吨,18节,NULL,310号常规动力攻击潜艇,NULL,{'$oid': '5cc931ef831b973d657f17be'},NULL,NULL,2000-5000吨,2001年,NULL
NULL,NULL,NULL,110吨,"
“裕古”(Yugo)级潜艇存在多款设计。新款是1987年后采用前南斯拉夫设计生产，至少有一艘出口到了伊朗。部分型号带有两个外置的短的鱼雷发射管和排气管道。指挥塔对潜水员来说相当于进出潜艇的隔问。
",Yukdaesu-ri shipyard(朝鲜),NULL,90吨,NULL,3.1米,NULL,NULL,NULL,NULL,舰船舰艇,常规潜艇,7人,NULL,20米,朝鲜,NULL,110吨,8节,NULL,“裕古”和P-4级小型潜艇,1987年,{'$oid': '5cc931ef831b973d657f17bf'},NULL,NULL,500吨以内,NULL,NULL
