大类,类型,名称,动力装置,引信装置,制导系统,_id,图片,产国,研发单位,弹长,研制时间,全重,关注度,简介,最大速度,弹径,装药类型
爆炸物,鱼雷,鱼-2型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93444831b973d657f2589'},http://images.huanqiu.com/sarons/2013/11/efb94d40eaae0ec0ed3727401d99d486.jpg,中国,374厂，705所,4000毫米,1958年,627千克,NULL,"
作为中国海军第一钟自制空投反舰鱼雷，它是在1960年苏联撤走了全部在华专家，中国鱼雷工业面临严峻的考验背景下研制成功的。
",70千米/时,450毫米,NULL
爆炸物,鱼雷,鱼-7反潜鱼雷（美版MK46),NULL,NULL,NULL,{'$oid': '5cc93444831b973d657f258a'},NULL,中国,西安精密机械研究所，西北工业大学,2600毫米,1982年,235千克,NULL,NULL,NULL,NULL,NULL
爆炸物,鱼雷,DM2A3线导鱼雷,双转电机,触发引信和电磁引信,线导加主动、被动复合声自导,{'$oid': '5cc93444831b973d657f258b'},NULL,德国,德国STN阿特拉斯电子公司和意大利塞莱尼亚公司,6600毫米,20世纪80年代,1370千克,NULL,NULL,65千米/时,533毫米,常规炸药
爆炸物,鱼雷,Mk37-1线导鱼雷,电动机,触发引信,线导加主被动声自导,{'$oid': '5cc93444831b973d657f258c'},NULL,美国,NULL,4090毫米,1958年,767千克,NULL,NULL,44千米/时,482毫米,TNT、黑索今、铝粉混合炸药
爆炸物,鱼雷,NT37F-2线导鱼雷,活塞式凸轮机,触发引信和近炸引信,线导加主被动声自导,{'$oid': '5cc93445831b973d657f258d'},NULL,美国,美国联合技术系统公司,4500毫米,20世纪90年代初,750千克,NULL,NULL,60千米/时,485毫米,猛炸药
爆炸物,鱼雷,TEST-71反潜鱼雷,NULL,NULL,NULL,{'$oid': '5cc93445831b973d657f258e'},NULL,苏/俄,NULL,8.2毫米,NULL,1820千克,NULL,NULL,NULL,533毫米,205公斤炸药
爆炸物,鱼雷,TP617线导鱼雷,活塞式蒸汽发动机,触发引信和计算机控制的声引信,线导加声自导,{'$oid': '5cc93445831b973d657f258f'},NULL,瑞典,瑞典博福斯公司,6890毫米,20世纪70年代,1860千克,NULL,NULL,111千米/时,533毫米,TNT、黑索今、铝粉混合炸药
爆炸物,鱼雷,“矛鱼”线导鱼雷,涡轮发动机,触发引信,线导加主被动声自导,{'$oid': '5cc93445831b973d657f2590'},NULL,英国,英国马可尼水下系统有限公司,6000毫米,20世纪70年代末,1850千克,NULL,NULL,130千米/时,533毫米,高聚物粘结炸药
爆炸物,鱼雷,53-65KE反舰鱼雷,NULL,NULL,潜艇发射,{'$oid': '5cc93445831b973d657f2591'},http://images.huanqiu.com/sarons/2013/11/b2bb9a9b9f1dab13ae0c9e0bfc8a7a34.jpg,苏/俄,NULL,7945毫米,1965年,2100千克,NULL,NULL,1.2千米/时,533毫米,NULL
爆炸物,鱼雷,A184线导鱼雷,双转5对极直流串激式电动机,惯性触发引信和声引信,线导加主动声自导、被动声自导和主被动复合声自导,{'$oid': '5cc93446831b973d657f2592'},NULL,意大利,意大利白头公司,6000毫米,20世纪70年代,1265千克,NULL,NULL,67千米/时,533毫米,TNT、黑索今、铝粉混合炸药
爆炸物,鱼雷,89式线导鱼雷,活塞式蒸汽主机,NULL,线导加主动、被动声自导,{'$oid': '5cc93446831b973d657f2593'},NULL,日本,日本三菱重工业公司,7000毫米,20世纪70年代初,NULL,NULL,NULL,102千米/时,533毫米,NULL
爆炸物,鱼雷,“米拉斯”舰潜导弹,1台涡轮喷气主发动机和2台固体火箭助推器,NULL,捷联式惯导加指令修正制导,{'$oid': '5cc93446831b973d657f2594'},NULL,法国,意大利奥托·梅莱拉公司，法国马特拉公司,6000毫米,1986年,800千克,NULL,NULL,NULL,460毫米,NULL
爆炸物,鱼雷,ET-52鱼雷,NULL,NULL,NULL,{'$oid': '5cc93446831b973d657f2595'},NULL,中国,西安精密机械研究所,2600毫米,1987年,235千克,NULL,NULL,55.56千米/时,324毫米,NULL
爆炸物,鱼雷,“玛拉丰”舰潜导弹,2台“金星”“固体火箭发动机,NULL,无线电指令制导,{'$oid': '5cc93446831b973d657f2596'},NULL,法国,法国航空工业公司,650毫米,1956年,1500千克,NULL,"
法国航空工业公司研制的近程、亚音速巡航式舰潜导弹。亦称“玛拉丰”火箭助飞鱼雷。1956年开始研制，1965年交付使用。装备法国的“絮弗伦”级、“絮库夫”级和“图尔维尔”级驱逐舰和T-47型和T-56型护卫舰等大型水面舰艇。用以攻击水下航速小雨20节的潜艇，也由于攻击水面舰艇。
",833千米/时,6150毫米,NULL
爆炸物,鱼雷,Mk24线导鱼雷,串激双转直流电动机,触发引信和电磁引信,线导加声自导,{'$oid': '5cc93446831b973d657f2597'},NULL,英国,英国马可尼水下系统有限公司,6460毫米,1969年,1550千克,NULL,NULL,65千米/时,533毫米,托儿派克斯炸药
爆炸物,鱼雷, MK46反潜鱼雷,燃气发动机,NULL,主/被动声自导,{'$oid': '5cc93447831b973d657f2598'},http://images.huanqiu.com/sarons/2014/04/dee9364541e46ae9e5e1aa89f7bf4715.jpg,美国,航空喷气电子系统公司，霍尼韦尔防务系统公司,2590毫米,二战后,230千克,NULL,"
该鱼雷是美国在第二次世界大战后研制的第三代轻小型通用反潜鱼雷，是世界上第一种轻小型燃气动力。声自导反潜鱼雷，可供水面舰艇、固定翼飞机、直升飞机使用，也可作为火箭助飞鱼雷的有效载荷使用。
",40千米/时,324毫米,NULL
爆炸物,鱼雷,Mk-46鱼雷,NULL,NULL,NULL,{'$oid': '5cc93447831b973d657f2599'},NULL,美国,霍尼韦尔公司,2590毫米,50年代,235千克,NULL,NULL,NULL,342毫米,NULL
爆炸物,鱼雷,MK7/12/13/21/24/25/32航空鱼雷,电动机,NULL,被动声自导,{'$oid': '5cc93447831b973d657f259a'},NULL,美国,海军水中武器站，通用电气公司，西屋电气公司,NULL,NULL,272千克,NULL,"
MK7/12/13/21/24/25/32航空鱼雷，是美国海军纳入其装备系列，构成MKI-MK50完整鱼雷系列中的机载反舰鱼雷，是航空鱼雷系列中的早期型号。MK7/13/24各型鱼雷曾装备美国海军固定翼反舰/反潜飞机。
",14千米/时,482毫米,NULL
爆炸物,鱼雷,Mk48线导鱼雷,活塞式斜盘机,触发引信和近炸引信,线导加主动、被动声自导,{'$oid': '5cc93447831b973d657f259b'},NULL,美国,NULL,5850毫米,20世纪60年代,1582千克,NULL,NULL,111千米/时,533毫米,PBXN-102炸药
爆炸物,鱼雷,MK42/43反潜鱼雷,电动机,NULL,主/被动声自导,{'$oid': '5cc93447831b973d657f259c'},NULL,美国,通用电气公司,2450毫米,二战后,230千克,NULL,"
该鱼雷是美国在第二次世界大战之后研制的第一代小型通用反潜鱼雷，曾装备美国海军反潜飞机。50年代开始研制，50年代中期开始服役。
",30千米/时,324毫米,NULL
爆炸物,鱼雷,MK50反潜鱼雷,汽轮发动机,NULL,主/被动声自导,{'$oid': '5cc93448831b973d657f259d'},http://images.huanqiu.com/sarons/2014/04/647578ec085228f0a69ea4fd6fd7bafe.jpg,美国,霍尼韦尔防务系统公司，加雷特公司,2890毫米,二战后,360千克,NULL,"
该鱼雷是美国在第二次世界大战之后研制的第四代小型通用反潜鱼雷，既可空投、也可由水面舰艇投放，既可反潜又可攻击水面舰艇。装备美国海军反潜飞机。
",50千米/时,324毫米,NULL
爆炸物,鱼雷, MK34/41航空反潜鱼雷,电动机,NULL,被动声自导,{'$oid': '5cc93448831b973d657f259e'},NULL,美国,美国机械铸造公司，通用公司,3120毫米,二战后,524千克,NULL,"
MK34/41鱼雷是美国在第二次世界大战后研制的第一代重型航空反潜鱼雷，属于直径400mm为界分类的、重型反潜鱼雷之列。由于该重型鱼雷对载机弹量和弹舱容积有较高的要求，加上自身航速慢、潜深小，不能满足对战后新出现的高速潜艇的攻击要求，二战后研制的第一代小型反潜鱼雷—MK43通用反潜鱼雷所取代。
",12千米/时,482毫米,NULL
爆炸物,鱼雷,SST-4线导鱼雷,电动机,触发引信,线导加主动、被动声自导,{'$oid': '5cc93448831b973d657f259f'},NULL,德国,联邦德国STN阿特拉斯电子公司,6080毫米,20世纪70年代,1414千克,NULL,NULL,65千米/时,533毫米,常规装药
爆炸物,鱼雷,哈特托普操练鱼雷,无,NULL,无,{'$oid': '5cc93448831b973d657f25a0'},NULL,美国,霍尼韦尔防务系统公司,2600毫米,NULL,230千克,NULL,"
该操练鱼雷由霍尼韦尔防务系统公司、现阿里扬技术系统公司为美国海军海军研制的低成本、低风险的训练鱼雷。该鱼雷该操雷装备美国海军和其他国家海军。
",NULL,325毫米,NULL
爆炸物,鱼雷,A290线导鱼雷,单转直流电机,NULL,线导加主动、被动复合声自导,{'$oid': '5cc93449831b973d657f25a1'},NULL,意大利,意大利白头公司,2750毫米,1984年,296千克,NULL,NULL,105千米/时,324毫米,高聚物粘结炸药
爆炸物,鱼雷,“伊卡拉”M1舰潜导弹,1台“姆拉瓦”助推-巡航组合式固体火箭发动机,NULL,无线电指令制导,{'$oid': '5cc93449831b973d657f25a2'},NULL,澳大利亚,澳大利亚航空航天技术公司,3430毫米,1959年,550千克,NULL,NULL,NULL,NULL,NULL
爆炸物,鱼雷,NTL90自导鱼雷,永磁电机,NULL,主动、被动声自导,{'$oid': '5cc93449831b973d657f25a3'},NULL,法国,法国海军技术装备局,2960毫米,1982年,295千克,NULL,NULL,99千米/时,324毫米,聚能炸药
爆炸物,鱼雷,TP43反潜鱼雷,电动机,NULL,线导/被动声自导,{'$oid': '5cc93449831b973d657f25a4'},NULL,瑞典,法伦多纳公司,2850毫米,1984年,330千克,NULL,"
TP43反潜鱼雷系瑞典在第二次世界大战后研制的第三代通用反潜鱼雷，以取代其于1976年开始服役的、直径400mm级的TP42第二代通用反潜鱼雷，仍由瑞典原法伦多纳公司、现博福斯水下系统公司(Bofors Underwater Systems)于1984年开始研制，1987年开始进入瑞典皇家海军服役，装备瑞典海军的固定翼反潜飞机、反潜直升机、水面舰艇和潜艇。
",NULL,400毫米,NULL
爆炸物,鱼雷,虹鱼反潜鱼雷,带喷水式推进器的电动机,NULL,主/被动声自导,{'$oid': '5cc93449831b973d657f25a5'},NULL,英国,马可尼空间防务公司水下武器系统部,2600毫米,1977年,265千克,NULL,"
该鱼雷是为了替换MK46反潜鱼雷，由原马可尼空间防务公司水下武器系统部、现马可尼水下系统公司1977年研制的。1986年开始进入英国皇家海军/空军服役，装备水面舰艇、固定翼飞机和反潜直升机。
",45千米/时,324毫米,NULL
爆炸物,鱼雷,L-4反潜鱼雷,电动机,NULL,主/被动声自导,{'$oid': '5cc9344a831b973d657f25a6'},NULL,法国,法国国防部舰艇制造局，法国国防部舰艇武器制造局,3130毫米,20世纪50年代末,525千克,NULL,"
该鱼雷是法国在第二次世界大战后采用法西斯德国的鱼雷技术研制的一系列鱼雷武器中唯一幸存下来的航空反潜鱼雷。50年代末开始研制，1964年开始进入法国海军服役，装备固定翼反潜飞机和反潜直升机，同时还可用作舰载“马拉丰”反潜导弹的战斗部。
",30千米/时,533.4毫米,NULL
爆炸物,鱼雷,G-RX-4航空反潜鱼雷,NULL,NULL,NULL,{'$oid': '5cc9344a831b973d657f25a7'},NULL,日本,三菱重工业公司,NULL,1987年,NULL,NULL,"
该鱼雷是日本在第二次世界大战后研制的新一代航空反潜鱼雷，以取代G-RX-3航空反潜鱼雷。1987年三菱重工业公司开始为日本海上自卫队研制G-RX-4，1989年进行试验，目前该鱼雷仍在研制中。
",NULL,324毫米,NULL
爆炸物,鱼雷,A-244/A-290反潜鱼雷,电动机,NULL,主/被动声自导,{'$oid': '5cc9344a831b973d657f25a8'},NULL,意大利,白头公司,2700毫米,20世纪60年代,220千克,NULL,"
A-244鱼雷是意大利在第二次世界大战后研制的轻小型通用反潜鱼雷，拟取代引进美国的MK44鱼雷，该鱼雷由白头公司60年代开始研制的，1971年服役，1980年停产，装备意大利海军的反潜飞机和反潜直升机，以及水面舰艇，并向多个国家出口。A-290因未能投入生产而未能装备使用。
",NULL,324毫米,NULL
爆炸物,鱼雷,TP45反潜鱼雷,电动机,NULL,线导/被动声自导,{'$oid': '5cc9344a831b973d657f25a9'},NULL,瑞典,法伦多纳公司,2800毫米,1989年,330千克,NULL,"
TP45反潜鱼雷系瑞典在第二次世界大战后研制的第四代通用反潜鱼雷，以取代其于1987年开始服役的、直径400mm级的TP43第三代通用反潜鱼雷，由瑞典原法伦多纳公司、现博福斯水下系统公司(Bofors Underwater Systems)于1989年开始研制，装备瑞典海军的固定翼反潜飞机、反潜直升机、水面舰艇和潜艇。
",NULL,400毫米,NULL
爆炸物,鱼雷,“阿波尔”-2Э航空反潜鱼雷,1台固体火箭发动机,NULL,水声(带水声相位修正),{'$oid': '5cc9344a831b973d657f25aa'},NULL,苏/俄,全俄防务出口公司,3700毫米,1992年,575千克,NULL,"
АПР-2Э(APR-2E)是俄罗斯的新一代轻型航空反潜鱼雷，1992年首次在法国巴黎航展上露面，装备反潜飞机和直升机，攻击现代高速潜艇。
",62千米/时,350毫米,NULL
爆炸物,鱼雷,MU-90反潜鱼雷,电动机,NULL,惯性制导，主动声制导,{'$oid': '5cc9344b831b973d657f25ab'},http://images.huanqiu.com/sarons/2014/04/354f8a790720d187686ec68d64d43596.jpg,法国,欧洲鱼雷GIE公司,3000毫米,1992年,275千克,NULL,"
MU90是由法国和意大利两国联合组建的欧洲鱼雷公司研制的一种性能更长、能满足未来反潜战要求的、新一代轻小型通用反潜鱼雷。该雷可供水面舰艇、反潜直升机、固定翼飞机使用，用于对付能快速机动、有隐身能力、使用主/被动对抗器材的各种核动力潜艇和常规潜艇。目前还处于研制中。
",NULL,324毫米,聚能炸药
爆炸物,鱼雷,海鳝反潜鱼雷,电动机,NULL,主/被动声自导,{'$oid': '5cc9344b831b973d657f25ac'},NULL,法国,法国国防部舰艇制造局,2960毫米,二战后,310千克,NULL,"
该鱼雷是法国在第二次世界大战后研制的新一代轻小型通用反潜鱼雷，拟取代L-4/L-5/MK46，装备固定翼飞机、直升机、水面舰艇、潜艇，也可作为反潜导弹的战斗部，主要用来攻击新一代核潜艇，也能有效攻击其他所有各型常规潜艇。目前仍处于研制中。
",55千米/时,324毫米,NULL
爆炸物,鱼雷,TP42反潜鱼雷,电动机,NULL,线导/被动声自导,{'$oid': '5cc9344b831b973d657f25ad'},NULL,瑞典,法伦多纳公司,2600毫米,70年代初期,298千克,NULL,"
TP42反潜鱼雷系瑞典在第二次世界大战后研制的第二代通用反潜鱼雷，以取代其于1960年开始服役的、直径400mm级的TP41第一代通用反潜鱼雷，仍由瑞典原法伦多纳公司、现博福斯水下系统公司(Bofors Underwater Systems)于70年代初期开始研制，1976年开始进入瑞典皇家海军服役，装备瑞典海军的固定翼反潜飞机、反潜直升机、水面舰艇、和潜艇。
",30千米/时,400毫米,NULL
爆炸物,鱼雷,Э45/Э53/АПСЭТ-95反潜鱼雷,电动机,NULL,主/被动声自导,{'$oid': '5cc9344b831b973d657f25ae'},NULL,苏/俄,Э45/Э53/АПСЭТ-95,384毫米,二战后,720千克,NULL,"
Э45/Э53/АПСЭТ-95(E45/E53/APSET-95)反潜鱼雷是前苏联/俄罗斯在第二次世界大战后发展的新型通用反潜鱼雷，是在60年代研制的第一个轻型通用反潜鱼雷СЭТ-40(SET-40)及其改进型Э40-75А(E40-75A)的基础上发展的，目前仍在俄罗斯和原华约组织国家的海军服役，装备固定翼反潜飞机、反潜直升机、水面舰艇和潜艇。
",NULL,406毫米,NULL
爆炸物,鱼雷,A3自导鱼雷,火箭发动机,触发引信和近炸引信,双平面主被动联合声自导,{'$oid': '5cc9344c831b973d657f25af'},NULL,苏/俄,NULL,3700毫米,1992年,525千克,NULL,NULL,130千米/时,350毫米,常规炸药
爆炸物,鱼雷,“魟鱼”自导鱼雷,双转电机,触发引信,主动声自导、被动声自导和主被动声联合自导,{'$oid': '5cc9344c831b973d657f25b0'},http://images.huanqiu.com/sarons/2014/04/cd089b02e4b9ff0b56ee6164d389aa4c.jpg,英国,英国马可尼公司,2600毫米,20世纪70年代末,267千克,NULL,NULL,74千米/时,324毫米,常规炸药
爆炸物,鱼雷,65型自导鱼雷,半封闭式燃气轮机热动力系统,触发引信和近炸引信,尾流自导加主动声自导,{'$oid': '5cc9344c831b973d657f25b1'},NULL,苏/俄,苏联基德罗普里博中央科学研究所,1100毫米,20世纪70年代,4750千克,NULL,NULL,93千米/时,650毫米,常规炸药或核装药
爆炸物,鱼雷,Mk50自导鱼雷,兰金封闭式热循环汽轮机,触发引信,主被动声自导,{'$oid': '5cc9344c831b973d657f25b2'},http://images.huanqiu.com/sarons/2014/04/b40ff846cf4dd71a86932c829a53a22b.jpg,美国,美国霍尼韦尔公司,2800毫米,1981年,350千克,NULL,NULL,93千米/时,324毫米,聚能炸药
爆炸物,鱼雷,A244/S自导鱼雷,双转电机,触发引信,主动、被动或联合声自导,{'$oid': '5cc9344c831b973d657f25b3'},NULL,意大利,意大利白头公司,2750毫米,20世纪70年代末,216千克,NULL,NULL,59千米/时,324毫米,TNT、黑索今、铝粉混合炸药
爆炸物,鱼雷,回天鱼雷,93 式氧气鱼雷发动机,NULL,人力,{'$oid': '5cc9344c831b973d657f25b4'},NULL,日本,山口县大津岛基地,14750毫米,NULL,8300千克,NULL,NULL,55.56千米/时,1000毫米,炸药
爆炸物,鱼雷,Mk44自导鱼雷,电动机,触发引信,主动声自导,{'$oid': '5cc9344c831b973d657f25b5'},NULL,美国,美国联合技术系统公司,2540毫米,1952年,193千克,NULL,NULL,56千米/时,324毫米,常规炸药
爆炸物,鱼雷,Mk46自导鱼雷,活塞式凸轮机,触发引信和电磁引信,主被动联合声自导,{'$oid': '5cc9344c831b973d657f25b6'},http://images.huanqiu.com/sarons/2014/04/67d03fda4f53a559131ffd24a3aea790.jpg,美国,美国霍尼韦尔公司,2670毫米,20世纪60年代,231千克,NULL,NULL,81千米/时,324毫米,常规炸药
