图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,鱼雷,大类,类型,编制,武器装备,舰长,产国,活动范围,水下排水量,航速,同型,名称,建造时间,_id,下水时间,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/07/e999a02b474367d51a2ccd38a42eeb6e.jpg,S型,NULL,NULL,"
阿库拉级核动力攻击型潜艇，苏联型号为971型“白斑狗鱼-B”，是苏联研制生产使用的第三代攻击型核潜艇，是俄罗斯核潜艇有史以来设计的静音效果最好的核潜艇，也是目前俄罗斯海军的主力攻击型核潜艇。“阿库拉级”为北约命名，该词取自于俄文Akula，意为鲨鱼。
",NULL,NULL,7500吨,NULL,14米,亚森级,700米,NULL,舰船舰艇,核潜艇,100人,NULL,110米,苏/俄,NULL,9100吨,20节,NULL,“阿库拉”(Akula)I/Ⅱ级(“雪豹”级，971/971U型)核动力攻击型潜艇,1983年11月11日,{'$oid': '5cc931e5831b973d657f1776'},1984年7月22日,5000-10000吨,1984年12月30日
http://images.huanqiu.com/sarons/2013/07/c3378eff81018454b60f714e530f8836.jpg,NULL,NULL,NULL,NULL,圣彼得堡市海军部造船厂,NULL,4850吨,NULL,10.6米,NULL,400米,NULL,舰船舰艇,核潜艇,70人,NULL,107米,苏/俄,NULL,5300吨,30节,NULL,“维克托”(Victor)Ⅲ级(“梭子鱼”级，671RTM型)核动力攻击型潜艇,1976年,{'$oid': '5cc931e5831b973d657f1777'},NULL,2000-5000吨,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,4500吨,NULL,10米,NULL,200米,NULL,舰船舰艇,核潜艇,75人,NULL,106米,中国,NULL,5550吨,25节,NULL,汉级（091型）长征5号（405）核动力攻击潜艇,NULL,{'$oid': '5cc931e5831b973d657f1778'},NULL,5000-10000吨,1990年12月
http://images.huanqiu.com/sarons/2013/08/eb2b5a622ca8d234c678ddc922895932.jpg,洛杉矶级,在役,NULL,"
海狼级潜艇（英语：Seawolf-class submarine）是服务于美国海军的核动力快速攻击潜艇，设计任务是在各大洋与北冰洋冷水对抗任何苏联现有与未来核潜艇，并取得制海权的反潜猎杀核潜艇，在设计上堪称是潜艇进行反潜作战的极致产物。但由于建造期间苏联解体，冷战结束。美国军事预算缩水，国防工业普遍不景气，加之本级艇革新技术运用较多，技术经验匮乏，导致建造期间事故频发，预算超标，致使原本预计建造29艘的海狼级只建造了三艘便宣告停工。
",NULL,NULL,7568吨,NULL,12.9米,维吉尼亚级,610米,NULL,舰船舰艇,核潜艇,133人,NULL,107.6米,美国,北冰洋,9142吨,39节,3艘,“海狼”级,1989年10月25日（首艘）,{'$oid': '5cc931e5831b973d657f1779'},1995年6月24日（首艘）,5000-10000吨,1997年7月19日（首艘）
http://images.huanqiu.com/sarons/2013/11/45bb8b7d63cf62e76261e41b176afadb.jpg,091型核潜艇,现役,NULL,NULL,葫芦岛的渤海造船重工业公司,NULL,5000吨,NULL,11米,095型核潜艇,400米,NULL,舰船舰艇,核潜艇,140人,NULL,106米,中国,NULL,8000吨,30节,NULL,093型商级攻击型核潜艇,上世纪90年代中期,{'$oid': '5cc931e6831b973d657f177a'},2002年12月,5000-10000吨,2007年年底
NULL,NULL,已退役,NULL,"
长征2号潜艇(402)属于091型(汉级)核潜艇中的一员，1970年，中国第一艘核潜艇091型“长征1号”研制成功，是中国最早下水的一级核动力潜艇。长征2号潜艇(402)也随之研制出来并于1980年开始进入中国北海舰队服役。
",葫芦岛船厂,NULL,4500吨,NULL,10米,NULL,300米,NULL,舰船舰艇,核潜艇,75人,NULL,98米,中国,NULL,5550吨,25节,NULL,长征2号潜艇(402),NULL,{'$oid': '5cc931e6831b973d657f177b'},NULL,5000-10000吨,1980年
NULL,092型核潜艇,服役,NULL,NULL,渤海造船厂,NULL,8000吨,NULL,13米,NULL,300米,NULL,舰船舰艇,核潜艇,120人,NULL,133米,中国,中国,9000吨,26节,096型核潜艇,094级战略核潜艇,1999年,{'$oid': '5cc931e6831b973d657f177c'},2002年,5000-10000吨,2006年
NULL,NULL,NULL,NULL,"
“汉”级(091型)攻击型核潜艇是中国第一代攻击型核潜艇(SSN)，也是目前中国仅有的一级攻击型核潜艇。“汉”级核潜艇共五艘，均部署在北海舰队。404艇（长征4号），“汉”级(091型)攻击型核潜艇，1987年下水。
",NULL,NULL,4500吨,NULL,10米,NULL,200米,NULL,舰船舰艇,核潜艇,75人,NULL,106米,中国,NULL,5550吨,NULL,NULL,汉级（091型）长征4号（404）核潜艇,NULL,{'$oid': '5cc931e6831b973d657f177d'},NULL,5000-10000吨,1987年12月27日
NULL,091型核潜艇,一艘服役中,NULL,"
092型潜艇（北约代号：夏级，英文：Xia-class）是中华人民共和国海军的第一代弹道导弹核潜艇，该型艇由攻击潜艇091型核潜艇扩大船壳改进而来，在艇体上插入弹道导弹舱段。1970年设计方案完成，开始筹备建造，1981年4月30日下水，1983年8月正式交付海军服役，1988年9月该型潜艇水下发射潜射弹道导弹实验成功。092型核潜艇完成了中华人民共和国海基核力量“从无到有”的突破，成为继美、苏、英、法之后，第五个掌握海基核力量技术能力的国家。2009年4月23日，该型潜艇在中国海军60周年阅兵仪式上首次公开亮相。
",葫芦岛船厂,NULL,6500吨,NULL,10米,094型核潜艇,400米,NULL,舰船舰艇,核潜艇,100人,NULL,120米,中国,NULL,8000吨,22节,NULL,夏级（092型）长征6号（406）,1970年,{'$oid': '5cc931e6831b973d657f177e'},1981年4月30日,5000-10000吨,1983年8月
NULL,G级潜艇,NULL,NULL,NULL,葫芦岛船厂,NULL,4500吨,NULL,10米,094型核潜艇,300米,NULL,舰船舰艇,核潜艇,140人,NULL,120米,中国,西太平洋沿岸地区,5500吨,20节,官方数量1，但有推测为4,092夏级战略导弹核潜艇,1978年,{'$oid': '5cc931e6831b973d657f177f'},1981年4月,5000-10000吨,1983年8月
http://images.huanqiu.com/sarons/2013/07/a6dc8c8d4f7d203d0f0bf1c02f39a5c1.jpg,“鲟鱼”级攻击型核潜艇,42艘仍在服役,NULL,NULL,纽波特纽斯造船公司，通用动力电船公司,NULL,6082吨,NULL,10.1米,“海狼”级攻击型核潜艇,1600米,NULL,舰船舰艇,核潜艇,NULL,NULL,110.3米,美国,NULL,6927吨,32节,62艘,“洛杉矶”（LosAngeles）级核动力攻击型潜艇,1972年2月8日,{'$oid': '5cc931e7831b973d657f1780'},NULL,5000-10000吨,1976年11月13日
NULL,NULL,服役中,NULL,"
汉级（091型）长征3号（403）潜艇属091型攻击型核潜艇，北约代号“汉”级，是中国第一代攻击型核潜艇(SSN)。部署在北海舰队。2009年4月23日，该型潜艇在中国海军60周年阅兵仪式上公开亮相。
",渤海造船厂,NULL,4500吨,NULL,10米,NULL,300米,NULL,舰船舰艇,核潜艇,75人,NULL,98米,中国,北海,5500吨,25节,NULL,汉级（091型）长征3号（403）潜艇,1971年10月27日,{'$oid': '5cc931e7831b973d657f1781'},1983年10月31日,5000-10000吨,1984年12月25日
http://images.huanqiu.com/sarons/2013/08/e64101b5126396cf534c61c169faf63e.jpg,本杰明·富兰克林级核潜艇,在役,NULL,"
俄亥俄级核潜艇（Ohio-class submarine）是美国海军1976年开始建造的一个核动力潜艇等级。现今，共有18艘俄亥俄级潜艇在美国海军中服役，其中14艘为弹道导弹核潜艇（SSBN），4艘为巡航导弹核潜艇（SSGN）。每艘SSBN版的俄亥俄级潜艇均装备有24枚三叉戟（Trident）潜射弹道导弹，故这些潜艇也被称为“三叉戟”级潜艇，提供美国贯彻“核三位一体”思想的战略核武器库的海基力量。至于后期建造的SSGN版俄亥俄级则能够携带多达154枚、携带常规弹头的战斧巡航导弹。
",NULL,NULL,16600吨,NULL,12.8米,SSBN-X,240米,NULL,舰船舰艇,核潜艇,140人,NULL,170.7米,美国,NULL,18750吨,24节,18艘,“俄亥俄”级核潜艇,1976年-1997年,{'$oid': '5cc931e7831b973d657f1782'},1979年（首舰俄亥俄号）,10000-50000吨,1981年（首舰俄亥俄号）
http://images.huanqiu.com/sarons/2013/07/09525116702d818cab36857207b8d14e.jpg,“海浪”级,现役,NULL,“弗吉尼亚”级核动力攻击潜艇（Virginia class submarine），又称为774级或“百人队长”级，是美国海军第一艘同时针对大洋和近海两种功能设计的核子潜艇。作为取代冷战时代海狼级潜舰的便宜方案，计划建造30艘，均由纽波特纽斯造船公司、通用动力电船公司联合建造。“弗吉尼亚”级不属于战略核潜艇，在执行对地支援任务时，也就不易引起有核国家误判，这也成为其优势之一。“弗吉尼亚”级的先进设计理念使其成为了新世纪美国海军最可倚重的“水下特种兵”。,纽波特纽斯造船公司，通用动力电船公司,NULL,NULL,NULL,10.4米,NULL,450米,NULL,舰船舰艇,核潜艇,134人,NULL,114.9米,美国,太平洋大西洋,7800吨,34节,NULL,“弗吉尼亚”级核动力攻击型潜艇,NULL,{'$oid': '5cc931e7831b973d657f1783'},NULL,5000-10000吨,2004年10月24日
NULL,NULL,NULL,NULL,"
 “汉”级(091型)攻击型核潜艇是中国第一代攻击型核潜艇(SSN)，也是目前中国仅有的一级攻击型核潜艇。“汉”级核潜艇共五艘，均部署在北海舰队。
",渤海造船厂,NULL,4500吨,NULL,10米,NULL,200米,NULL,舰船舰艇,核潜艇,NULL,NULL,98米,中国,NULL,5550吨,25节,NULL,汉级（091型）长征1号（401）潜艇,1968年11月,{'$oid': '5cc931e7831b973d657f1784'},1970年4月,5000-10000吨,1974年8月1日
http://images.huanqiu.com/sarons/2013/12/700746eeef6ea2b9828c924138e352b3.jpg,V级核潜艇,NULL,NULL,"
阿尔法级核动力攻击潜艇(英文：Alfa class submarine，亦可翻译为A级潜艇，苏俄代号：705级“天琴座”(俄语：Лира)，是苏俄第二代攻击核潜艇，高自动化、快速、钛合金艇壳。该级潜艇自设计，建造到最后使用一直充满了争议。阿尔法级是苏俄迄今为止满编作战人数最少，水下航速最快的核潜艇。
",NULL,不限,2300吨,50天,9.5米,M级核潜艇,350米,NULL,舰船舰艇,核潜艇,40人,NULL,81.4米,苏/俄,NULL,NULL,41节,NULL,705型/阿尔法级(A级) ,1977年,{'$oid': '5cc931e7831b973d657f1785'},1977年,2000-5000吨,1977年
NULL,NULL,NULL,NULL,"
杨基级（Yankee class）核潜艇是一系列苏联第二代核动力弹道导弹潜艇的北约代号，此级潜艇包括了667A级（杨基I级）、667AУ级（杨基I级改进型）、667AM级（杨基II级）。该级潜艇自1968年服役，统一划归在代号为“627计划”的研究计划中，由红宝石设计局设计（当时名为第18中央设计局）。该级中24艘由北德文斯克造船厂建造，划归北方舰队，还有10艘为共青城建造，划归太平洋舰队。该级的北约代号为杨基（Yankee，在英文俚语中意指“美国佬”）是因为该级外形颇像美国潜艇乔治·华盛顿级。现在部分杨基级潜艇退役。
",北德文斯克造船厂,NULL,7760吨,NULL,11.7米,NULL,NULL,NULL,舰船舰艇,核潜艇,114人,NULL,128米,苏/俄,NULL,11500吨,28节,NULL,667型/杨基级（Y级）,NULL,{'$oid': '5cc931e7831b973d657f1786'},NULL,10000-50000吨,1968年
NULL,NULL,服役中,NULL,"
凯旋级弹道导弹核潜艇是法国海军现役的第三代弹道导弹核潜艇。共建造4艘，分别为凯旋号、鲁莽号、警醒号和猛烈号。四艘核潜艇取代原有的六艘可畏级核潜艇，成为法国核慑力的一部份。
",DCNS公司,NULL,12640吨,NULL,12.5米,NULL,500米,NULL,舰船舰艇,核潜艇,96人,NULL,138米,法国,NULL,14335吨,25节,NULL,凯旋级核潜艇,NULL,{'$oid': '5cc931e7831b973d657f1787'},NULL,10000-50000吨,1997年
NULL,NULL,建造中,NULL,"
梭鱼级核潜艇是法国的下一代核动力攻击型潜艇，它由DCN设计，用来替代红宝石级核潜艇（Rubis class submarine）潜艇的设计工作采用了凯旋级弹道导弹核潜艇（Triomphant class submarine）的技术，但螺旋桨推进器是全新的设计。该级潜艇可以装备巡航导弹，以实现远距离深入打击。执行的任务包括：反舰、反潜作战，对地攻击，情报收集，危机处理和特种作战。根据计划将建造6艘梭鱼级核潜艇，其中头两艘应该在2003年和2008年之间订购，并在2012年进行试航。
",DCN公司,NULL,4765吨,NULL,8.8米,NULL,350米,NULL,舰船舰艇,核潜艇,52人,NULL,99.5米,法国,NULL,5300吨,25节,NULL,梭鱼级潜艇,NULL,{'$oid': '5cc931e8831b973d657f1788'},NULL,5000-10000吨,NULL
http://images.huanqiu.com/sarons/2013/12/e0d413ef69b3737bd38bafe7a53f60a3.jpg,NULL,NULL,NULL,"
德尔塔级是苏联建造的德尔塔I至IV级常温液体燃料弹道导弹核潜艇中的总称。如果将德尔塔I~IV算作一个级别，那德尔塔级是苏俄建造数量最多的弹道导弹核潜艇。德尔塔级属于苏联第二代弹道导弹核潜艇，由红宝石设计局设计。德尔塔4个级别的苏俄代号分别是667B、667БA、667BAР以及667BAРМ。由于德尔塔出现了4种外形相似，但又各有不同的艇型，这让北约为德尔塔级命名上遇上困难。在为德尔塔级命名上，北约武器系统命名小组将四个艇型统称为德尔塔（Delta）四个艇型则分别命名为德尔塔I级~德尔塔IV级，而苏联则将这四个艇型分为2个级别：667Б与667BA为同级，属于原型与改进型的关系，而667BAP与667BAРМ化为一个等级。德尔塔III和德尔塔IV都曾经试验发射潜射近地卫星运载火箭。德尔塔III级发射失败，而德尔塔IV级却取得成功。
",NULL,NULL,7850吨,NULL,11.7米,NULL,390米,NULL,舰船舰艇,核潜艇,114人,NULL,139米,苏/俄,NULL,10100吨,15节,NULL,667型/德尔塔级(D级)核潜艇 ,NULL,{'$oid': '5cc931e8831b973d657f1789'},NULL,10000-50000吨, 1972年
http://images.huanqiu.com/sarons/2013/12/28b47246bf5060998e703fd540910f8f.jpg,NULL,NULL,NULL,"
苏联海军671“Ёрш”（“梅花鲈”）核动力攻击型潜艇，北约命名为“维克托”级（V-级）潜艇，是苏联第二代核潜艇，也是目前俄罗斯海军核动力攻击型潜艇部队的主力，共有47艘在役，分属于北方舰队和太平洋舰队。由于不断改进，V&127级潜艇共有V-Ⅰ、V—Ⅱ和V-Ⅲ三种型号。1967年入役。艇身为泪滴型，适合于水下高速航行。
",NULL,NULL,4300吨,NULL,10.5米,NULL,600米,NULL,舰船舰艇,核潜艇,76人,NULL,94米,苏/俄,NULL,5300吨,32节,NULL,671型/维克托级（V级）,NULL,{'$oid': '5cc931e8831b973d657f178a'},NULL,5000-10000吨,1967年
http://images.huanqiu.com/sarons/2013/12/9e3a2f76d916b9d6fc5128c24e0d5ceb.jpg,回声级,NULL,NULL,"661型“见血封喉树”(俄语：Анчар)巡航导弹核潜艇，北约命名为Papa级，根据苏联政府决定1959年起由第16中央设计局研究、试验、设计。型号总设计师为（俄语）Н. Н. Исанин, 不久（俄语）Н. Ф. Шульженко继任， 首艇也是唯一的一艘。",北德文斯克造船厂,NULL,5200吨,NULL,11.5米,奥斯卡级核潜艇,400米,NULL,舰船舰艇,核潜艇,55人,NULL,106.9米,苏/俄,NULL,8500吨,NULL,NULL,661型/帕帕级（P级） ,1963年12月28日,{'$oid': '5cc931e8831b973d657f178b'}, 1968年12月21日,5000-10000吨,1969年12月31日
http://images.huanqiu.com/sarons/2013/12/fde7e86e32d0e5a786eee7beeabeb086.jpg,NULL,退役,NULL,"
英国第一艘战略核潜艇“决心”号于1967年6月22日出海巡航。“骑士”弹头在1982～1988年替代了原来的“北极星”导弹装载弹头。自1969年初以来，该级艇至少有一艘可随时发射洲际弹道导弹。该级艇第一艘在1993年退役，继而有“前卫”级战略潜艇服役。
",NULL,NULL,7600吨,NULL,10.1米,NULL,300米,NULL,舰船舰艇,核潜艇,143人,NULL,129.5米,英国,NULL,8500吨,25节,NULL,决心级/Resolution核潜艇,NULL,{'$oid': '5cc931e8831b973d657f178c'},NULL,5000-10000吨,1967年6月22日
http://images.huanqiu.com/sarons/2013/12/4772d495ae437a9fefd4b5f643999f93.jpg,NULL,NULL,NULL,"
670型“鳐鱼”级巡航导弹核潜艇，北约命名为C级（查理级），是苏联海军第二代核潜艇。由苏联第112中央设计局设计，红色索尔莫沃造船厂制造。查理级是前苏联继回声级核潜艇之后发展的第二代巡航导弹核潜艇。同时，该艇又是第一级具有水下发射导弹能力的潜艇。该型K-43号在1988年1月到1991年1月租借给印度海军改名为“查卡拉”号，成为世界上第一艘租借国外的核潜艇。
",红色索尔莫沃造船厂,NULL,4000吨,NULL,NULL,NULL,NULL,NULL,舰船舰艇,核潜艇,100人,NULL,NULL,苏/俄,NULL,NULL,NULL,NULL,670型/查理级（C级）,NULL,{'$oid': '5cc931e8831b973d657f178d'},NULL,5000-10000吨,NULL
http://images.huanqiu.com/sarons/2013/12/60595ca44ba4311b4fe5d8b6a96b7301.jpg,NULL,NULL,NULL,"
它是前苏联海军继“O”级核潜艇之后建造的第四代攻击核潜艇，从1984年开始，苏联海军继“O”级之后建造了 阿库拉级（“鲨鱼”级）攻击核潜艇，它是前苏联第四代核潜艇。1985年服役。它是一级多用途攻击核潜艇。它不但是俄罗斯排水量最大的攻击核潜艇，就是在当今世界现役核攻击潜艇当中，也是数一数二的。目前有九艘在俄罗斯海军服役。主要用于消灭敌方潜艇和水面舰只，协同水面舰艇编队作战等。
",NULL,NULL,8140吨,NULL,13.5米,NULL,400米,NULL,舰船舰艇,核潜艇,110人,NULL,110米,苏/俄,NULL,12770吨,33节,NULL,971型/阿库拉级（AK级）核潜艇,NULL,{'$oid': '5cc931e9831b973d657f178e'},NULL,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2013/12/775700f7a9122ca3aa81c552cf22ece7.jpg,阿尔法级核潜艇,NULL,NULL,NULL,北德文斯克造船厂（K－278号潜艇）,NULL,5800吨,NULL,10.7米,亚森级核潜艇,1020米,NULL,舰船舰艇,核潜艇,36人,"鱼雷",117.5米,苏/俄,太平洋,8500吨,14.6节,1艘,685型/麦克级(M级),1978年4月22日（K－278号潜艇）,{'$oid': '5cc931e9831b973d657f178f'},1983年6月3日（K－278号潜艇）,5000-10000吨,1983年12月28日（K－278号潜艇）
http://images.huanqiu.com/sarons/2013/12/17ca29258ea5f86643a0f16d126050df.jpg,阿库拉级（狗鱼级） ,准备服役,NULL,"
亚森级核动力攻击潜艇（俄语：Проект 885 ""Ясень""，意为885号工程“梣树”，西方称为雅森级或“北德文斯克级”也有错误地称为葛莱尼级者（Graney）是俄罗斯海军的通用攻击型核动力潜艇，由阿库拉级和阿尔法级发展而来，计划用来取代目前俄罗斯海军中于苏联时期研制的潜艇，包括阿库拉级和奥斯卡级。
",NULL,NULL,8600吨,NULL,15米,NULL,600米,NULL,舰船舰艇,核潜艇,65人,NULL,120米,苏/俄,NULL,13800吨,35节,NULL,885型/亚森级 核潜艇,1993年12月21日,{'$oid': '5cc931e9831b973d657f1790'},2010年6月15日,10000-50000吨,NULL
NULL,NULL,沉没,13900吨,NULL,北德文斯克造船厂,NULL,14700吨,140天,18.2米,NULL,600米,NULL,舰船舰艇,核潜艇,107人,NULL,154米,苏/俄,NULL,19400吨,30节,NULL,库尔斯克号核潜艇,NULL,{'$oid': '5cc931e9831b973d657f1791'},1994年5月,10000-50000吨,1995年1月
NULL,阿尔法级核潜艇 ,在役,NULL,"
苏联攻击型核潜艇945型“梭鱼”(俄语：Барракуда)，北约命名为“塞拉I级”。“塞拉”(英语：Sierra)是北约音标字母中对字母“S”的读音。
",红色索尔莫沃造船厂,NULL,7200吨,NULL,12米,亚森级核潜艇 ,600米,NULL,舰船舰艇,核潜艇,61人,NULL,107米,苏/俄,NULL,8600吨,10节,NULL,945型/梭鱼/S级核潜艇,1979年,{'$oid': '5cc931e9831b973d657f1792'},NULL,5000-10000吨,NULL
http://images.huanqiu.com/sarons/2013/12/4fe9e23f3435669f33e029acf1f5efbc.jpg,NULL,NULL,NULL,"
快速级是英国第二代攻击核潜艇，首艇1973年服役，共建造6艘，分别是“快速”号、“君权”号、“刚强”号、“辉煌”号、“无上”号和“壮丽”号。
",NULL,NULL,4400吨,NULL,9.8米,NULL,NULL,NULL,舰船舰艇,核潜艇,116人,NULL,92.9米,英国,NULL,4900吨,30节,NULL,快速级攻击核潜艇,NULL,{'$oid': '5cc931e9831b973d657f1793'},NULL,2000-5000吨,1973年
NULL,C级（670级） ,949级全部退役，949A级前2艘退役,NULL,"
奥斯卡级核动力巡航导弹潜艇（苏俄海军949型“花岗岩”和949A型“安泰”核动力巡航导弹潜艇，北约代号分别为奥斯卡I级和奥斯卡II级，两级并称奥斯卡级，英文：Oscar class)。
",红宝石设计局,NULL,14700吨,NULL,18.2米,雅森级 ,600米,NULL,舰船舰艇,核潜艇,130人,NULL,155米,苏/俄,NULL,19400吨,NULL,949级2艘，949A级12艘 ,949型/花岗岩/奥斯卡级核潜艇,1978年,{'$oid': '5cc931e9831b973d657f1794'},1980年,10000-50000吨,NULL
NULL,NULL,根据START-II协议于1991年前全部退役,NULL,NULL,NULL,NULL,4060吨,NULL,7.2米,NULL,300米,首部4座533毫米以及2座鱼类发射管      尾部2座300毫米鱼雷发射管导弹,舰船舰艇,核潜艇,128人,NULL,114米,苏/俄,NULL,5300吨,21节,NULL,658型/旅馆级(H级),NULL,{'$oid': '5cc931ea831b973d657f1795'},NULL,5000-10000吨,NULL
