大类,类型,名称,引信装置,制导系统,_id,图片,产国,研发单位,研制时间,弹长,全重,简介,最大速度,弹径,装药类型,尾翼装置
爆炸物,水雷,MMI80型非触发锚雷,NULL,NULL,{'$oid': '5cc9340a831b973d657f245a'},NULL,瑞典,NULL,1974年,1125毫米,NULL,"
MMI80型非触发锚雷是一种舰用锚雷，用以打击中小型水面舰艇和潜艇。配有一个80型压力稳定器。通过在压力稳定器上预定布雷水深，即水雷雷体的定深度，就能使该雷在布放后，自动系留在设定的水深上。
",NULL,660毫米,NULL,NULL
爆炸物,水雷,TM/AS遥控上浮水雷,NULL,NULL,{'$oid': '5cc9340a831b973d657f245b'},NULL,瑞士,瑞士洛拉尔系统公司(Loral Systems),NULL,5000毫米,650千克,"
该水雷系瑞士在意大利海军曾广泛使用的“麦阿里”鱼雷的基础上改进而成，可供水面舰艇、水下潜艇或固定翼飞机和直升机布设于水底，然后由其遥控上浮并攻击过往舰艇目标。图为
",20千米/时,550毫米,140kgTNT或170kgHBX-3,NULL
爆炸物,水雷,沉-3型水雷,NULL,NULL,{'$oid': '5cc9340b831b973d657f245c'},NULL,中国,前卫仪表厂,1969年8月,2790毫米,500千克,"
H/MTC-03型非触发沉底声磁联合感应水雷(原名称为：沉三型水雷) 是沉二型水雷的基础上进行的改进，是中国舰船研究院701研究所设计，由上海前卫仪表厂生产。研制工作于1969年8月开始，1972年12月完成设计定型，1974年11月完成生产定型并装备部队服役，代号C-3。该型水雷是中国研制的首种具备抗扫雷和抗自然干扰能力的水雷，具有较高的抗扫和抗自然干扰等性能，且具有较大的灵活性。它既可采用声磁双通道联合引信，布放于6-50米水深，打击敌人的大、中型水面舰艇，也可采用单一引信，布放于100米以内的水深，打击敌人的潜艇。
",NULL,450毫米,NULL,NULL
爆炸物,水雷,“伊格德姆”-500沉底水雷,NULL,NULL,{'$oid': '5cc9340b831b973d657f245d'},NULL,苏/俄,NULL,20世纪40年代,1585毫米,525千克,NULL,NULL,450毫米,NULL,NULL
爆炸物,水雷,漂-2型水雷,NULL,人力、小艇、渔船或简易飘浮器材布放,{'$oid': '5cc9340b831b973d657f245e'},NULL,中国,中国船舶工业总公司710研究所,20世纪60年代后期,NULL,150千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,“快速打击”MK62/63/64/65水雷,NULL,NULL,{'$oid': '5cc9340b831b973d657f245f'},http://images.huanqiu.com/sarons/2013/11/ca618a9b78a38f46f94e75aaa6407575.jpg,美国,NULL,20世纪70年代中期,2200毫米,227千克,NULL,NULL,NULL,Tritonal或H6,NULL
爆炸物,水雷,沉-4型水雷,NULL,NULL,{'$oid': '5cc9340c831b973d657f2460'},NULL,中国,中国舰船研究院701研究所,1976年,1500毫米,270千克,"
沉雷是中国大量研制和装备的传统水雷，目前至少有6种现役型号，可攻击大中小各型水面舰船和水中潜艇，沉-4型由中国于1976年设计定型，代号C-4。该型水雷使用超声和水压联合引信，具有很强的抗清扫能力，布设水深20米左右，破坏半径20米，使用期限4年，可由舰艇，船舶和人工多种方式布设，主要用于攻击中、小犁水面舰船。
",NULL,NULL,NULL,NULL
爆炸物,水雷,“阿姆德”-500М/2М沉底水雷,NULL,NULL,{'$oid': '5cc9340c831b973d657f2461'},NULL,苏/俄,NULL,20世纪40年代末,2550毫米,600千克,NULL,NULL,450毫米,黑索金、阿马托,NULL
爆炸物,水雷,沉-2型水雷,NULL,NULL,{'$oid': '5cc9340c831b973d657f2462'},NULL,中国,中国舰艇研究院701研究所,1956年,NULL,1000千克,"
H/MTC-02型非触发沉底次声感应水雷(原名称为：沉二型水雷)由中国舰艇研究院701研究所设计，汾西机器厂生产的非触发性沉底感应次声水雷，是中国自行研制和制造的第一种非触发性沉底水雷，代号C-2。沉二型水雷也是中国首种采用晶体管技术的水雷，它以舰船二次声频物理场诱发，不仅解决了泥沙掩埋使水雷音信灵敏度降低的问题，而且提高了水雷的抗扫和抗水中爆炸的性能以及使用的效果。
",NULL,533毫米,TNT,NULL
爆炸物,水雷,新型沉底雷,NULL,NULL,{'$oid': '5cc9340c831b973d657f2463'},NULL,中国,舰船研究院701研究所,NULL,1870毫米,NULL,"
这是解放军最新研制的新一代高性能沉底水雷，代号不详。新型沉雷仍由舰船研究院701研究所为主，与巴基斯坦联合研制。
",NULL,533毫米,NULL,NULL
爆炸物,水雷,“谢尔别依”/“里拉”/“阿波姆”空投水雷,NULL,NULL,{'$oid': '5cc9340c831b973d657f2464'},NULL,苏/俄,NULL,20世纪40年代末,NULL,NULL,"
“谢尔别依”/“里拉”/“阿波姆”空投水雷系苏联在第二次世界大战后于40年代末研制的老式大型非触发水雷，
",900千米/时,630毫米,NULL,NULL
爆炸物,水雷,矩阵系列非触发锚雷,NULL,由飞机、潜艇和水面舰艇等不同的平台布放,{'$oid': '5cc9340d831b973d657f2465'},NULL,南非,北本德仪歌公司,20世纪80年代,NULL,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,“锚”（Mao）-4（M-4）声学系留水雷,NULL,NULL,{'$oid': '5cc9340d831b973d657f2466'},NULL,中国,汾西机器厂,1973年11月,NULL,600千克,"
“锚”（Mao）-4（M-4）声学系留水雷是中国的第一种自行发展的海洋水雷。它被设计攻击中型-尺寸水面舰艇和潜水艇。它的探测器据称对背景噪声有极强的抗干扰能力。“锚”-4型非触发水雷是由汾西机器厂研制的，为解放军第一种非触发性深水超声水雷。
",NULL,NULL,NULL,NULL
爆炸物,水雷,沉-5型水雷,NULL,水面舰艇投放,{'$oid': '5cc9340d831b973d657f2467'},NULL,中国,中国舰船研究院701研究所,1973年,NULL,210千克,NULL,NULL,710毫米,分装式，整装式,NULL
爆炸物,水雷,锚-3型水雷,NULL,水面舰艇或潜艇布防,{'$oid': '5cc9340d831b973d657f2468'},NULL,中国,汾西机器厂,1963年,NULL,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,Sigee1400型沉底雷,NULL,水面舰艇布防,{'$oid': '5cc9340d831b973d657f2469'},NULL,伊拉克,NULL,20世纪90年代,NULL,535千克,NULL,NULL,980毫米,NULL,NULL
爆炸物,水雷,锚-1型水雷,NULL,NULL,{'$oid': '5cc9340e831b973d657f246a'},http://images.huanqiu.com/sarons/2013/11/e77d3e254d641120b766702814e26851.jpg,中国,山西汾西机器厂,1962年,2160毫米,1075千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,海胆（Sea Urchin）沉底水雷,水声/磁感应/水压引信,NULL,{'$oid': '5cc9340e831b973d657f246b'},NULL,英国,英国宇航公司,1983年,2540毫米,1058千克,"
该水雷系英国80年代初开始研制的新型通用水雷，可由布雷艇、水面舰艇、潜艇布放，也可由飞机投布，主要用作沉底水雷，布放在水深5－200米的海底，攻击潜艇、水面舰船、登陆艇等，也可用作锚雷，布放在入水深度75－200米的海中，攻击潜艇、水面舰船、登陆艇等。该水雷由英国宇航公司所属的SEMA航海部，于1983年开始研制，1990年开始试验，现已投产并服役，但外销情况不详。
",NULL,533毫米,NULL,NULL
爆炸物,水雷,MK50/52/55/56/57沉底水雷,磁感应/水声/水压引信,NULL,{'$oid': '5cc9340e831b973d657f246c'},NULL,美国,美国海军,1948年,2890毫米,996千克,"
MK52/55/56/57水雷系美国海军在第二次世界大战后研制的第一代航空水雷，称之为MK50系列水雷，装备海/空军的作战飞机，如A－4、A－6、A－7、F－4、F－14、B－52、P－3等，曾广泛用于越南战争。
",NULL,1030毫米,NULL,箱型
爆炸物,水雷,伊格德姆（ИГДМ）- 500 沉底水雷,磁感应/水压引信,NULL,{'$oid': '5cc9340e831b973d657f246d'},NULL,苏/俄,苏联国家兵工厂,20世纪40年代末期,2850毫米,1150千克,"
该系列水雷系苏联在第二次世界大战后于40年代末研制的老式中型非触发沉底水雷，其作战目标为各种排水量的舰艇。已停产，为新研制的水雷所取代。从80年代中期开始，前苏联/俄罗斯在国际市场上销售АМД系列水雷。
",NULL,630毫米,NULL,NULL
爆炸物,水雷,MO-90型非触发锚雷,NULL,舰艇布防,{'$oid': '5cc9340e831b973d657f246e'},NULL,西班牙,安诺尼玛水下电子公司,1990年,NULL,425千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,快速打击（Quickstrike）MK62/63/64/65水雷,NULL,NULL,{'$oid': '5cc9340f831b973d657f246f'},NULL,美国,美国海军航空喷气公司,20世纪70年代中期,3250毫米,908千克,"
MK62/63/64水雷系美国海军于70年代中期，为取代“破坏者”MK36/40/41沉底水雷以及MK50系列MK52/55/56/57沉底水雷，而在MK80系列低阻炸弹基础上发展的新型沉底水雷，其功能仍然是用于浅水海区布雷；装备海军的布雷飞机，如A－4、A－6、A－7、F－4、F－14、B－52、P－3等。1982年航空喷气公司开始研制MK65水雷，1983年MK65开始服役。
",NULL,533毫米,NULL,4翼片固定尾翼
爆炸物,水雷,破坏者（Destructor）MK36/40/41 沉底水雷,磁感应/水声引信,NULL,{'$oid': '5cc9340f831b973d657f2470'},NULL,美国,美国海军,NULL,3840毫米,924千克,"
MK36/40/41水雷系美国海军在第二次世界大战后在MK80系列低阻炸弹基础上改进的航空沉底水雷，曾在越南战争中用于浅水海区布雷，现已为随后发展的、1993年服役的“快速打击”MK62/63/64/65系列水雷所取代。
",NULL,460毫米,NULL,同MK82/83/84
爆炸物,水雷,卡普托（Captor）MK60 锚泊水雷,水声引信,NULL,{'$oid': '5cc9340f831b973d657f2471'},NULL,美国,美国海军水上武器中心,1960年,3680毫米,1075千克,"
该水雷名称“卡普托”，系“封装鱼雷”(EnCAPsulated TORpedo)的英文缩写的音译，亦可将其意译为“捕手”。系美国海军从60年代开始研制的、突破传统水雷概念的、兼具鱼雷特性的一类新型水雷，即鱼水雷或制导水雷，实现了水雷的制导。要求其探测、识别、攻击敌潜艇目标，而在水面舰艇通过其雷区时不会启动发射鱼雷。1979年正式进入美国海军服役，1981年停产，共生产1810颗水雷，除作战用MK60外，还研制了操雷——MK66。
",NULL,533.4毫米,NULL,4翼片
爆炸物,水雷,阿姆德（AMД）- 500M/2M 沉底水雷,磁感应,NULL,{'$oid': '5cc9340f831b973d657f2472'},NULL,苏/俄,苏联国家兵工厂,20世纪40年代,2550毫米,600千克,"
该系列水雷系苏联在第二次世界大战后于40年代末研制的老式中型非触发沉底水雷，其作战目标为各种排水量的舰艇。
",NULL,450毫米,NULL,NULL
爆炸物,水雷,锚-2型水雷,NULL,NULL,{'$oid': '5cc9340f831b973d657f2473'},NULL,中国,山西汾西机器厂,1950年,NULL,500千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,MCC-23沉底雷,NULL,NULL,{'$oid': '5cc93410831b973d657f2474'},NULL,法国,法国海军水雷战研究所汤姆逊·幸特拉水下系统公司,NULL,2370毫米,850千克,"
法国汤姆逊·幸特拉水下系统公司与法国海军水雷战研究所联合研制的一种非触发沉底雷。亦称TSM3510沉底雷。由潜艇布放，用以毁伤水面舰船和潜艇。该雷1978年开始服役，除装备法国海军外，还向国外出口。西班牙已获准生产，并定名为MAE－10沉底雷。
",NULL,530毫米,NULL,NULL
爆炸物,水雷,法马伊（MS-L/C）沉底水雷,磁感应引信,NULL,{'$oid': '5cc93410831b973d657f2475'},NULL,智利,智利法马伊公司,NULL,2060毫米,NULL,"
“法马伊”(MS-L/C)沉底水雷是由智利法马伊公司根据智利海军反舰/反潜布雷要求而研制的新型通用水雷，已形成系列，其中的MS－L为重型水雷，可由水面舰艇和潜艇布放，采用533.4毫米口径鱼雷发射管发射；也可由飞机和直升机投布，但水雷需加装降落伞减速装置。MS-C是轻小型水雷，主要由飞机和直升机在预计受威胁浅水海域快速布雷，用于对付入侵的水面舰船和登陆艇等浅水目标。
",NULL,533.4毫米,NULL,NULL
爆炸物,水雷,江河水面漂雷,触发或定时引信,NULL,{'$oid': '5cc93410831b973d657f2476'},NULL,美国,NULL,NULL,1毫米,1000千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,曼塔（Manta）沉底水雷,磁感应/水声引信,NULL,{'$oid': '5cc93410831b973d657f2477'},NULL,意大利,意大利原米萨公司，现白头公司(Whitehead),20世纪80年代初期,470毫米,225千克,"
该水雷系根据意大利海军浅水布雷要求而研制的先进轻型通用水雷，通常由水面舰艇布放，也可由蛙人布放，还可由直升机投布，用来攻击各种小型和中型水面舰船、登陆艇、水陆两用战车等。该水雷由意大利原米萨公司、现白头公司(Whitehead)，于80年代初开始研制，80年代中后期开始服役，并向国外销。在1991年的海湾战争中，曾在科威特沿海水域布设雷阵。据悉海湾战争之后，其中一些水雷被伊拉克获得。除作战型“曼塔”(Manta)外，还发展了训练型“曼塔”/1(Manta/1)水雷。
",NULL,490毫米,NULL,NULL
爆炸物,水雷,石鱼（Stonefish）沉底水雷,水声/磁感应/水压引信,NULL,{'$oid': '5cc93410831b973d657f2478'},NULL,英国,英国马可尼水下系统公司,20世纪80年代末,2500毫米,990千克,"
该水雷是典型的具有预编程序、微机控制、多路传感器的现代沉底雷。系英国80年代末开始研制的先进新型通用水雷，可由布雷艇、水面舰艇、潜艇布放，也可由飞机投布，主要用作沉底水雷，布放在水深5～200m的海底，攻击潜艇、水面舰船、登陆艇等，也可用作锚雷，布放在入水深度75～200m的海中，攻击潜艇、水面舰船、登陆艇等。该水雷由英国原马可尼空间防务公司水下武器系统部(Underwater Weapons Division of Marconi Space and Defence )、现马可尼水下系统公司，于80年代末开始研制，90年代初开始试验，现已投产并服役，但外销情况不详。
",NULL,533毫米,NULL,NULL
爆炸物,水雷,MK25/26/39沉底水雷,磁感应/水声引信,NULL,{'$oid': '5cc93410831b973d657f2479'},NULL,美国,美国海军,二战期间,1700毫米,470千克,"
MK25/26/39沉底水雷是美国海军在第二次世界大战期间研制的老式航空沉底水雷，装备美国海军的布雷飞机，曾用于越南战争。现已退役。
",NULL,460毫米,NULL,无
爆炸物,水雷,TM/AS遥控上浮水雷,磁感应/水声引信,NULL,{'$oid': '5cc93411831b973d657f247a'},NULL,瑞士,瑞士洛拉尔系统公司(Loral Systems),NULL,5000毫米,650千克,"
该水雷系瑞士在意大利海军曾广泛使用的“麦阿里”鱼雷的基础上改进而成，可供水面舰艇、水下潜艇或固定翼飞机和直升机布设于水底，然后由其遥控上浮并攻击过往舰艇目标。
",NULL,550毫米,NULL,无
爆炸物,水雷,MK13Mod6沉底水雷,水声引信,NULL,{'$oid': '5cc93411831b973d657f247b'},NULL,美国,美国海军,二战期间,1930毫米,474千克,"
该水雷是美国在第二次世界大战期间研制的老式航空沉底水雷，曾装备美国海军的布雷飞机，用于越南战争。现已退役。
",NULL,508毫米,NULL,无
爆炸物,水雷,塞皮亚（Seppia）锚泊水雷,磁感应/水声引信,NULL,{'$oid': '5cc93411831b973d657f247c'},NULL,意大利,意大利原米萨公司、现白头公司(Whitehead),20世纪80年代初,1560毫米,870千克,"
“塞皮亚”(Seppia)锚泊水雷系根据意大利海军为辅助沉底水雷和浅水布雷要求而研制的先进通用锚泊水雷，可适用于任何类型的海底构造，并由多种水面舰艇、水下潜艇和飞机布放，攻击各种类型的水面舰艇和水下潜艇。该水雷由意大利原米萨公司、白头公司(Whitehead)，于80年代初开始研制，80年代中后期开始服役，外销情况不详。除作战型“塞皮亚”锚泊水雷外，还发展了训练型“塞皮亚”/1(Seppia/1)锚泊水雷。
",NULL,660毫米,NULL,NULL
爆炸物,水雷,PM漂雷 ,触发引信,NULL,{'$oid': '5cc93411831b973d657f247d'},NULL,苏/俄,NULL,20世纪50年代,2700毫米,825千克,"
PM漂雷是苏联于20世纪50年代研制的一种空投触发漂雷。主要由飞机布放，也可由水面舰艇布放。用以毁伤吃水超过2米的各型水面舰船。该雷于1955年装备于苏联海军部队。
",NULL,630毫米,NULL,NULL
爆炸物,水雷,KAM锚雷,战斗引信,NULL,{'$oid': '5cc93411831b973d657f247e'},NULL,苏/俄,NULL,20世纪50年代,1.8毫米,1250千克,"
KAM锚雷是苏联于20世纪50年代中期研制的一种非触发锚雷，是苏联首次采用主动超声引信的锚雷。由水面舰艇布放，主要用于毁伤水面舰船。该雷于1957年装备苏联海军。
",NULL,NULL,NULL,NULL
爆炸物,水雷,MR-80/MP-80/MRP-80沉底水雷,磁感应/水声/水压引信,NULL,{'$oid': '5cc93412831b973d657f247f'},NULL,意大利,意大利原米萨公司，现白头公司(Whitehead),20世纪80年代初期,2100毫米,780千克,"
该水雷系根据意大利海军反舰/反潜、沉底布雷要求而研制的先进新型通用水雷，可由布雷艇、水面舰艇、潜艇布放，也可由飞机投布，攻击潜艇、水面舰船、登陆艇等。该水雷由意大利原米萨公司、现白头公司(Whitehead)，于80年代初开始研制，90年代初开始服役，并外销出口。
",NULL,533毫米,NULL,NULL
爆炸物,水雷,M70沉底雷,声、磁联合引信,NULL,{'$oid': '5cc93412831b973d657f2480'},NULL,前南斯拉夫,NULL,20世纪70年代,282毫米,1000千克,NULL,NULL,534.4毫米,NULL,NULL
爆炸物,水雷,MCF-100锚雷,触发引信,NULL,{'$oid': '5cc93412831b973d657f2481'},NULL,巴西,巴西康克普设备和维修有限公司,20世纪80年代末,1400毫米,770千克,NULL,NULL,NULL,梯恩梯炸药,NULL
爆炸物,水雷,FG1沉底雷,NULL,NULL,{'$oid': '5cc93412831b973d657f2482'},NULL,德国,NULL,20世纪80年代初,2310毫米,770.5千克,"
德国和荷兰于20世纪80年代初开始联合研制的一种非触发沉底雷。亦称DM41水雷。由潜艇或水面舰艇布放，用以毁伤水面舰船和潜艇，破坏海上运输线。20世纪80年代前半期装备使用。
",NULL,534毫米,NULL,NULL
爆炸物,水雷,KPM火箭上浮水雷,声、静水压引信,NULL,{'$oid': '5cc93413831b973d657f2483'},NULL,苏/俄,NULL,20世纪50年代,2.8毫米,NULL,KPM火箭上浮水雷是苏联研制的首型火箭上浮水雷，是世界上最早具有主动攻击能力的深水短索锚雷。俄文代号为KⅡM，由水面舰艇布雷，用以攻击水面舰船。该雷于1957年装备于苏联海军。,NULL,600毫米,NULL,NULL
爆炸物,水雷,KSM锚雷,NULL,NULL,{'$oid': '5cc93413831b973d657f2484'},NULL,苏/俄,NULL,20世纪50年代,2.3毫米,1300千克,KSM锚雷是苏联研制的一种非触发锚雷，有水面舰艇布雷，用于毁伤潜艇，俄文型号为KCM锚雷。该雷于1957年装备于苏联海军。,NULL,NULL,NULL,NULL
爆炸物,水雷,“里拉”锚雷,触发引信,NULL,{'$oid': '5cc93413831b973d657f2485'},NULL,苏/俄,NULL,20世纪50年代,2.65毫米,5000千克,“里拉”锚雷是苏联于20世纪50年代初研制的空核锚雷。也可由水面舰艇布雷，有触发和非触发两种，用以打击水面舰艇。该雷于1956年装备与苏联海军。,NULL,630毫米,NULL,NULL
爆炸物,水雷,MTP-19沉底雷,NULL,NULL,{'$oid': '5cc93413831b973d657f2486'},NULL,丹麦,NULL,20世纪80年代,100毫米,800千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,“莫万”火箭上浮水雷,磁声、地震波联合引信,NULL,{'$oid': '5cc93413831b973d657f2487'},NULL,美国,NULL,1982年,800毫米,19.7千克,NULL,NULL,203毫米,NULL,NULL
爆炸物,水雷,65型防登陆水雷,NULL,NULL,{'$oid': '5cc93414831b973d657f2488'},NULL,中国,NULL,1965年,NULL,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,特-1火箭上浮水雷,超声引信,NULL,{'$oid': '5cc93414831b973d657f2489'},NULL,中国,NULL,1987年,3700毫米,620千克,NULL,NULL,NULL,NULL,NULL
爆炸物,水雷,Mk67自航水雷 ,NULL,NULL,{'$oid': '5cc93414831b973d657f248a'},NULL,美国,NULL,20世纪60年代,429毫米,754千克,"
Mk67自航水雷是美国于20世纪60年代研制的一种自航水雷。由MK37型鱼雷改装的，因此出管后可自动航行10～15千米。这种水雷有条件从远处发射，直达对方港口或主航道，作为沉底雷布放在对方水下，显然更具隐蔽性、突然性和危险性。
",NULL,485毫米,NULL,NULL
爆炸物,水雷,66型防登陆水雷,NULL,梯恩梯炸药,{'$oid': '5cc93414831b973d657f248b'},NULL,中国,NULL,1966年,NULL,43千克,"
中国于1966年研制的一种机械触发防登陆锚雷，适用于近岸登陆地投浅水水域。可用作各种舟船和水上运送工具布投，毁伤或退滞败中小型登陆制或水陆两栖登陆工具。
",NULL,NULL,NULL,NULL
爆炸物,水雷,MAS/22防登陆水雷,触发引信,NULL,{'$oid': '5cc93415831b973d657f248c'},NULL,意大利,NULL,20世纪80年代,NULL,22千克,"
意大利于20世纪80年代初研制的一种沉底水雷。适用于沿海近岸地带，由人工布设，构成水雷障碍。主要用于打击登陆艇和两栖车辆。
",NULL,380毫米,TNT,NULL
爆炸物,水雷,“邦尼”沉底雷,NULL,NULL,{'$oid': '5cc93415831b973d657f248d'},NULL,瑞典,瑞典博福斯公司,1990年,2000毫米,800千克,"
瑞典博福斯公司于1990年研制的智能化非触发沉底雷。代号为BGM601.可由潜艇外挂布雷装置携带和布放，也可由水面舰艇布放。用以毁伤水面舰船和潜艇。
",NULL,750毫米,NULL,NULL
爆炸物,水雷,Mk55沉底雷,声引信,NULL,{'$oid': '5cc93415831b973d657f248e'},NULL,美国,NULL,20世纪50年代初,594毫米,926千克,"
美国于20世纪50年代初开始研制的非触发沉底雷。主要由飞机布放，也可由水面舰艇和潜艇布放。用以打击水面舰船和潜艇。该雷于1961年装备美海军，部分型别的水雷已退役。
",NULL,2280毫米,TNT、黑索今、铝粉混合炸药,NULL
爆炸物,水雷,Mk52沉底雷,声引信,NULL,{'$oid': '5cc93415831b973d657f248f'},NULL,美国,NULL,20世纪50年代,2250毫米,270千克,"
美国于20世纪50年代研制的非触发沉底雷。由飞机布放。用以打击潜艇，也可毁伤水面舰船。该雷是第二次世界大战后美国主要的反潜水雷，曾在越南战争中使用过，也是美国库存较多的一种水雷，1957年装备部队，部分型别水雷已退役。
",NULL,478毫米,TNT、黑索今、铝粉混合炸药,NULL
爆炸物,水雷,MRP沉底雷,声、磁、水压组合引信,NULL,{'$oid': '5cc93415831b973d657f2490'},NULL,意大利,意大利米萨公司,20世纪80年代,2100毫米,780千克,"
意大利米萨公司于20世纪80年代研制的一种沉底雷。由水面舰艇、潜艇或飞机布放，用于毁伤水面舰船和潜艇。该雷是在MR80－B型沉底雷的基础上改进而成。该雷于1983年装备意大利海军。
",NULL,533毫米,TNT、黑索金、铝粉,NULL
爆炸物,水雷,“海胆”沉底雷,磁、声和水压组合引信,NULL,{'$oid': '5cc93415831b973d657f2491'},NULL,英国,英国宇航公司,20世纪80年代,NULL,NULL,"
英国宇航公司于20世纪80年代研制的智能化通用非触发沉底雷。可由水面舰艇、潜艇和飞机布放，用以毁伤潜艇和水面舰船。
",NULL,533毫米,TNT、黑索今、铝粉混合炸药,NULL
爆炸物,水雷,GMI100“罗肯”沉底雷,声、磁引信或声、磁联合引信,NULL,{'$oid': '5cc93416831b973d657f2492'},NULL,瑞典,瑞典博福斯公司,20世纪70年代,1020毫米,190千克,"
瑞典博福斯公司于20世纪70年代研制的一种非触发抗登陆沉底雷。亦称BGM100沉底雷或K－12水雷。由水面舰艇布放。主要布设在近岸水域，用于毁伤中、小型水面舰船。如布设在较深水域，也可打击潜艇。
",NULL,800毫米,NULL,NULL
爆炸物,水雷,SMG2沉底雷,NULL,NULL,{'$oid': '5cc93416831b973d657f2493'},NULL,德国,NULL,1990年,2000毫米,NULL,"
德国和丹麦联合研制的一种非触发沉底雷。亦称SGM80沉底雷。由水面舰艇布放，用以封锁海上航道和在沿岸海区布设防御水雷障碍，毁伤敌水面舰艇和高速攻击艇，保卫己方港口和锚地。该雷于1990年投产，装备德国和丹麦海军。
",NULL,600毫米,NULL,NULL
