大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,弹长,研制时间,研发单位,简介,最大速度,弹径,弹重
导弹武器,空地导弹,NULL,蓝箭-7(AKD10)机载反坦克导弹,NULL,7千米,NULL,{'$oid': '5cc93399831b973d657f222c'},NULL,中国,NULL,NULL,中国北方工业公司,"
“蓝箭-7”机载反坦克导弹采用激光半主动制导，有四种编码方式，最大射程可达7000米。“蓝箭-7”机载反坦克导弹静破甲能力大于等于1400毫米，几乎可击破现役所有主战坦克的前装甲。中国对外推销的“蓝箭-7”出口型空面战术导弹酷似美国AGM-114“地狱火”导弹。但性能却超过美国，价格也才是美国AGM-114的三分之二。该导弹曾在“第三届中国无人机大会暨展览会”上亮相。
",NULL,NULL,NULL
导弹武器,空地导弹,NULL,鹰击-63（YJ-63）型电视制导空地导弹,NULL,180千米,NULL,{'$oid': '5cc93399831b973d657f222d'},http://images.huanqiu.com/sarons/2013/11/1a562e373f3353a83ffd8de5695a9e30.jpg,中国,7米,NULL,西安飞机工业集团,"
鹰击-63（YJ-63）型电视制导空地导弹，又名“空地-63导弹”，是我国第一种实战化的空地导弹，也是目前我军比较先进的空对地攻击武器之一，导弹正式编号是K/AKD-63，挂载于空军的轰-6H轰炸机上面。K/AKD-63，分别代表：K（空军武器）/A（导弹）K（空）D（地）-63的意思。于2000年首次靶试成功，可能在2004年定型。2005年中俄“和平使命”演习时，空军的轰-6轰炸机曾经距离目标60公里外发射二枚YJ-63实弹，并准确命中。
",NULL,0.76米,2000千克
导弹武器,空地导弹,NULL,BGM－109A战斧（Tomahawk）对陆核攻击型,NULL,2500千米,地形匹配制导辅助惯性导航系统,{'$oid': '5cc93399831b973d657f222e'},NULL,美国,5.56米,1972年,通用动力公司,NULL,NULL,0.527米,NULL
导弹武器,空地导弹,触发或非触发引信,大黄蜂(Hornet)AGM－64A空地导弹,NULL,57千米,电视/激光/红外成像,{'$oid': '5cc9339a831b973d657f222f'},NULL,美国,2.31米,1963年,北美罗克韦尔航空公司,"
该弹是美国北美罗克韦尔国际公司为美国空军研制的小型战术空地导弹，用以攻击坦克、装甲车、机场飞机和野战指挥所等目标，1963年开始研制，1964年10月首次进行发射试验。鉴于美国空军欲研制电视和激光等新型导弹制导系统，1968年终止了该计划。
",NULL,0.15米,8千克
导弹武器,空地导弹,NULL,西北风（Mistral）便携式地空导弹,0.19米,6千米,NULL,{'$oid': '5cc9339a831b973d657f2230'},http://images.huanqiu.com/sarons/2013/11/2eac21a3d6294dd9b9072e68d1811820.jpg,法国,1.81米,1980年,NULL,NULL,NULL,NULL,21.4千克
导弹武器,空地导弹,NULL,增程型JASSM（JASSM-ER）导弹,NULL,1000千米,全球定位系统（GPS）辅助的惯性导航系统（INS）,{'$oid': '5cc9339a831b973d657f2231'},NULL,美国,4.72米,2006年,美国洛克希德·马丁公司,NULL,NULL,NULL,1021千克
导弹武器,空地导弹,水压引信,АПР-2Э航空反潜导弹,NULL,NULL,水声,{'$oid': '5cc9339a831b973d657f2232'},NULL,苏/俄,3.7米,NULL,全俄防务出口公司,"
АПР-2Э（APR-2E)是俄罗斯的新型航空反潜导弹，装备反潜飞机和直升机，攻击现代高速潜艇。
",115千米/小时,0.035米,NULL
导弹武器,空地导弹,触发引信,9M17反坦克导弹,0.066米,3千米,人工无线电指令,{'$oid': '5cc9339a831b973d657f2233'},NULL,苏/俄,NULL,50年代中期,努杰尔曼机械制造设计局,"
该弹是苏联自行研制并装部队使用的、拥有首批机载型号的第一代重型反坦克导弹，由努杰尔曼机械制造设计局于50年代中期研制的，1962年开始服役。装备苏联的装甲战车。目前该弹已经停产，但仍在服役，并出口亚非拉及东欧国家。
",NULL,0.013米,NULL
导弹武器,空地导弹,NULL,AR-1反坦克导弹,NULL,10千米,双重制导方式，惯性制导加GPS技术,{'$oid': '5cc9339a831b973d657f2234'},NULL,中国,NULL,NULL,中国航天科技集团,"
AR-1导弹是中国航天科技集团研制的新型无人机专用型空地导弹，伴随着CH-3无人攻击机首次露面。它属于一种多用途的空对面导弹，可以用于打击包括坦克、装甲车、地面工事及水面目标在内的很多东西，其功能与美制小牛空地导弹相似。
",NULL,NULL,45千克
导弹武器,空地导弹,NULL,AGM-86B/C空射巡航导弹,3.65米,1500千米,NULL,{'$oid': '5cc9339a831b973d657f2235'},NULL,美国,6.3米,1973年,NULL,"
美国波音公司为空军研制的空射巡航导弹。1973年研制，1982年装备美国空军。是一种全天候、多用途巡航导弹，主要由B-52H型战略轰炸机携带并发射。
",NULL,0.622米,NULL
导弹武器,空地导弹,NULL,AGM-158联合防区外空地导弹（JASSM）,NULL,320千米,惯性制导加GPS中制导与红外成像末制导,{'$oid': '5cc9339a831b973d657f2236'},http://images.huanqiu.com/sarons/2013/11/651fb0d859dfbf2e46bf1812fa0c0d3a.jpg,美国,4.26米,1996年,美国洛克希德·马丁公司,NULL,NULL,0.55米,1023千克
导弹武器,空地导弹,NULL,AGM-129 阿克姆 (Advanced Cruise Missile),NULL,3000千米,惯性导航加地形匹配加激光雷达(AGM-129A/B) ,{'$oid': '5cc9339a831b973d657f2237'},NULL,美国,6.35米,1983年,原美国通用动力公司（现休斯导弹系统公司）,NULL,NULL,7.05米,1680千克
导弹武器,空地导弹,NULL,斯腊姆(SRAM)AGM－69A/B近距攻击导弹 ,NULL,160千米,NULL,{'$oid': '5cc9339b831b973d657f2238'},NULL,美国,2.44米,1966年10月,美国波音公司,"
该弹是美国战略空军司令部拥有的第二个战略空地导弹，属于第二代战略空地导弹，用于在战略轰炸机突防时补充和取代“猎犬”导弹，压制地面雷达、地空导弹和其它重要目标，由于其射程比“猎犬”导 弹短得多，故命名为“近距攻击导弹”(Short Range Attack Missile)，音译为“斯腊姆”(SRAM)。

该弹由波音公司根据1964年美国空军提出的第212号作战要求，于1966年10月开始研制，1967年12月首次从B-52飞机弹舱内投放了模型弹，1968年2月完成导弹的制导系统试验，同年11月19日首次从FB-111飞机上投放了模型弹，1969年2月完成导 弹的模拟发射试验，同年7月29日首次试飞，到1971年7月从FB-111飞机上进行第16次试射，完成了全部飞行试验工作，在射程、高度、雷达截面积和可靠性等方面都超过了设计要求。
",NULL,0.44米,680千克
导弹武器,空地导弹,NULL,“大猎犬”战略空地巡航导弹 ,NULL,960千米,惯导＋被动雷达寻的制导,{'$oid': '5cc9339b831b973d657f2239'},NULL,美国,13米,NULL,北美航空公司,"
“大猎犬”是美国战略空军司令部委托北美航空公司研制的一种空地超音速战略巡航导弹，原编号GAM-77，武器系统编号WS-131A，后统一编号为AGM-28A。该弹1957年起研制，1959年飞行试验，1961年服役，属第一代战略空地导弹，装备美国战略空军29个B—52G/H轰炸机联队。
",NULL,0.71米,4500千克
导弹武器,空地导弹,NULL,哈塔夫-8“雷电”空基巡航导弹 ,NULL,350千米,NULL,{'$oid': '5cc9339b831b973d657f223a'},NULL,巴基斯坦,4.85米,NULL,NULL,"
2011年4月29日，巴基斯坦成功试射了一枚其自行研制的哈塔夫-8空射巡航导弹，此次试验的目的是对该型导弹进行性能上的持续改进。“雷电”是巴基斯坦针对印度的”布拉莫斯”超音速巡航导弹设计的。但“雷电”在多任务能力以及精度上要强于”布拉莫斯”，后者采用超音速突防，虽然速度快但弹头部分由于受到空气摩擦加热而很难采用高精度红外/光学制导系统，目前只能采用雷达末制导方式来对付舰艇。
",NULL,NULL,1100千克
导弹武器,空地导弹,NULL,硫磺石反坦克导弹 ,NULL,12千米,94GHzd的毫米波雷达INS自动驾驶仪，双模激光制导添加,{'$oid': '5cc9339b831b973d657f223b'},http://images.huanqiu.com/sarons/2013/11/424651cf45407235d85ef288d78e90e7.jpg,英国,1.8米,1996年,NULL,NULL,NULL,0.178米,48.5千克
导弹武器,空地导弹,NULL,鹌鹑 ADM-20 诱惑导弹,1.65米,640千米,自动驾驶仪程序控制,{'$oid': '5cc9339b831b973d657f223c'},http://images.huanqiu.com/sarons/2014/04/72a787d7eda24f3450ea832b69bde4ac.jpg,美国,3.93米,1955年,美国麦克唐纳公司,NULL,1101.6千米/小时,0.76米,558千克
导弹武器,空地导弹,NULL,“哈塔夫”-7巡航导弹,NULL,500千米,惯导+地形匹配+数字影像匹配末制导,{'$oid': '5cc9339c831b973d657f223d'},NULL,巴基斯坦,6.25米,2005年,NULL,NULL,NULL,0.52米,15000千克
导弹武器,空地导弹,NULL,ASMP巡航导弹,NULL,300千米,惯性和地面扫描飞行,{'$oid': '5cc9339c831b973d657f223e'},NULL,法国,5.38米,1978年,法国宇航,NULL,NULL,0.3米,860千克
导弹武器,空地导弹,NULL,捕食者反坦克导弹,NULL,0.6千米,NULL,{'$oid': '5cc9339c831b973d657f223f'},NULL,美国,0.7米,NULL,美国洛克希德·马丁公司,NULL,NULL,0.14米,9.7千克
导弹武器,空地导弹,NULL,海尔法反坦克导弹,NULL,8千米,半主动激光寻,{'$oid': '5cc9339c831b973d657f2240'},http://images.huanqiu.com/sarons/2013/11/76fe2afc61ea3d5b8a2b05b7e75c55f1.jpg,美国,1.63米,1970年,美国洛克希德·马丁公司,NULL,NULL,0.178米,49千克
导弹武器,空地导弹,主动激光引信,赛德阿姆(Side ARM)AGM－122A/B响尾蛇  反辐射导弹,0.63米,17.7千米,被动雷达,{'$oid': '5cc9339c831b973d657f2241'},http://images.huanqiu.com/sarons/2014/04/f094d93d0bf4f2c010451b8e6030c716.jpg,美国,2.9米,1981年,美国海军武器中心摩托罗拉公司,"
该弹是美国海军和海军陆战队使用的机载近距反辐射导弹，由攻击直升飞机和固定翼攻击机用来攻击敌高炮射击指挥雷达和近距地空导弹制导雷达，其名称“赛德阿姆”，为“响尾蛇反辐射导弹”(Sidewinder Anti-Radiation Missile,Side ARM)的英文缩写的音译。
",NULL,0.12米,90.8千克
导弹武器,空地导弹,NULL,“黛利拉”（Delilah）巡航导弹,NULL,250千米,GPS/INS制导,{'$oid': '5cc9339c831b973d657f2242'},http://images.huanqiu.com/sarons/2013/11/b4ac352d25fb243f91c8505ad97156dc.jpg,以色列,2.71米,20世纪70年代,以色列军事工业公司,"
“黛利拉”导弹最初是作为空中诱饵发展的，20世纪90年代以后，逐步发展成一种空中打击武器，部署在以色列空军F-16D多用途战斗机和升级后的F-4E-2000攻击机上。在增加了一个发动机后，以色列发展了地基“黛利拉”巡航导弹和海基“黛利拉”巡航导弹。这使得由原来的被动挨打转为主动出击。
",NULL,0.33米,187千克
导弹武器,空地导弹,触发引信,姆腊斯姆(MRASM)AGM－109中距空地导弹,2.61米,NULL,NULL,{'$oid': '5cc9339d831b973d657f2243'},http://images.huanqiu.com/sarons/2014/04/4b563f2d35b2d1fbed74ea4c3436224c.jpg,美国,5.9米,1980年4月,美国通用动力公司,"
该弹是美国通用动力公司于1980年4月，为美国海/空军发展改进的中距空地导弹，其名称“姆腊斯姆”为“中距空地导弹”的英文缩写的音译。
",NULL,0.54米,NULL
导弹武器,空地导弹,触发延时引信,AJ168/AS37空舰/反雷达导弹,0.012米,20千米,程序控制加电视指令,{'$oid': '5cc9339d831b973d657f2244'},http://images.huanqiu.com/sarons/2014/04/8d7044a02feb37e43adba1ebfa4e9f9e.jpg,英国,3.9米,60年代中期,英国宇航公司 CEC-马可尼公司 马拉特公司 达索电子公司,"
该弹英国和法国60年代中期联合研制的新型空地导弹，分为电视导引头的反舰型和被动雷达导引头的反辐射型两种不同的型号。该弹曾装备英国皇家海军的NA.39攻击机和法国空/海军的幻影III、大西洋等作战飞机。
",NULL,0.04米,520千克
导弹武器,空地导弹,NULL,毒蛇导弹,NULL,10千米,IIR,{'$oid': '5cc9339d831b973d657f2245'},http://images.huanqiu.com/sarons/2013/11/f475b5dac4afbdcb3534f11e7ae13acc.jpg,印度,1.9米,20世纪90年代,印度国防研究与发展组织,"
该导弹于2008年8月5日和6日进行了成功测试。测试充分验证了“毒蛇”新型反坦克导弹的作战效能。在试验过程中，所有预先设定的固定和移动靶标均被导弹在最大射程上直接命中摧毁。
",NULL,0.019米,42千克
导弹武器,空地导弹,NULL,“阿帕奇-C”巡航导弹 ,NULL,600千米,惯性加GPS加雷达图像相关,{'$oid': '5cc9339d831b973d657f2246'},http://images.huanqiu.com/sarons/2013/11/fbde68a99c94ce8cd092ecb96b4d2f3d.jpg,法国,5.1米,1991年6月,欧洲导弹集团,NULL,NULL,0.63米,1200千克
导弹武器,空地导弹,NULL,Kh-55(AS-15) 空射巡航导弹,NULL,3000千米,NULL,{'$oid': '5cc9339d831b973d657f2247'},http://images.huanqiu.com/sarons/2013/11/238f602abb17c1bf12a70d1ecab59395.jpg,苏/俄,6.04米,1968年,彩虹设计局,NULL,NULL,0.514米,1250千克
导弹武器,空地导弹,触发或非触发引信,哈姆(HARM)AGM－78高速反辐射导弹,1.13米,25千米,被动雷达,{'$oid': '5cc9339e831b973d657f2248'},NULL,美国,4.148米,1972年4月,美国德克萨斯仪器公司,"
该弹是美军海空军装备使用的第三代机载反辐射导弹，其名称“哈姆”为“高速反辐射导弹”。由德克萨斯仪器公司为主承包商于1972年4月开始研制，1975年8月开始飞行试验，1980年11月投产，1982年完成研制，1983年5月开始服役，1993年停产。
",NULL,0.25米,366千克
导弹武器,空地导弹,触发或非触发引信,百舌鸟(Shrike)AGM－45A/B反辐射导弹,0.91米,45千米,被动雷达,{'$oid': '5cc9339e831b973d657f2249'},NULL,美国,3.05米,1962年,美国德克萨斯仪器公司,"
该弹是美国海/空军装备使用的第一代空地反辐射导弹，主要用于摧毁地空导弹阵地、高炮指挥雷达和其他雷达设施。美国为了对付苏联设在古巴的防空体系，分别于50年代末和60年代初开始研制“乌鸦星座”(Corvus)和“百舌鸟”机载反辐射导弹，1961年发生古巴危机撤销了前项计划，而集中力量研制“百舌鸟”导弹。

该导弹由美海军武器中心在“麻雀”ⅢAIM-7空空导弹的基础上研制而成，由德克萨斯仪器公司为主承包商于1962年研制，同年6月开始试射，1963年开始投产，1964年1月完成基本型AGM-45A的研制，同年10月开始服役，1965年投入越南战场使用，随后用于中东战场，1986年美国海军用于利比亚冲突中，1981年停产。
",NULL,0.2米,189千克
导弹武器,空地导弹,NULL,“V-1”空地导弹 ,NULL,NULL,NULL,{'$oid': '5cc9339e831b973d657f224a'},NULL,德国,7.9米,1942年,NULL,"
德国V-1导弹（V-1 missile）是德国在第二次世界大战末研制的飞航式导弹。是世界上最早出现并在战争中使用的导弹，用于袭击英国、荷兰和比利时。V-1导弹用弹射器发射 ，也可从运载机上发射，然后依靠弹上的控制系统导向预定弹道作水平飞行，而后向目标俯冲。
",NULL,NULL,2152千克
导弹武器,空地导弹,NULL,蓝箭-7空地导弹,NULL,7千米,NULL,{'$oid': '5cc9339e831b973d657f224b'},http://images.huanqiu.com/sarons/2014/01/51d6e605e39f5b720b19df250e6bb631.jpg,中国,17.75米,NULL,中国兵器工业第203研究所,NULL,NULL,1.7米,46千克
导弹武器,空地导弹,NULL,X-101/102空射亚声速战略巡航导弹,NULL,5000千米,NULL,{'$oid': '5cc9339e831b973d657f224c'},http://images.huanqiu.com/sarons/2013/11/8d053239ebeb4958f29d7a8a8070ee68.jpg,苏/俄,7.5米,20世纪90年代,“拉杜加”设计局,NULL,NULL,0.51米,2400千克
导弹武器,空地导弹,NULL,3M25“陨石”超声速空射巡航导弹,NULL,5000千米,NULL,{'$oid': '5cc9339e831b973d657f224d'},http://images.huanqiu.com/sarons/2013/11/2a4c440c3bb397c67a670c2bf1bdd1eb.jpg,苏/俄,12.8米,NULL,俄罗斯切洛梅设计局,NULL,NULL,0.9米,NULL
导弹武器,空地导弹,NULL,“巴姆斯”RBS23全天候防空导弹,NULL,NULL,NULL,{'$oid': '5cc9339e831b973d657f224e'},NULL,瑞典,2.6米,1993年,NULL,NULL,NULL,0.108米,NULL
导弹武器,空地导弹,触发或非触发引信,标准(Standard)AGM－78反辐射导弹,1.07米,55千米,被动雷达,{'$oid': '5cc9339e831b973d657f224f'},http://images.huanqiu.com/sarons/2014/04/63e66349c5a301d28eabb8757a3723e0.jpg,美国,4.575米,1966年,美国通用动力公司,"
该弹是美国通用动力公司于1966年开始研制的第二代反辐射导弹。于1968年投入批量生产，前后有6种改型。与“百舌鸟”相比，“标准”反辐射导弹的射程更远、威力更大、抗干扰能力更强、 全导引头的频带更宽，并增加了目标位置和频率记忆功能。
",NULL,0.343米,626千克
导弹武器,空地导弹,NULL,Kh-59空地(舰)导弹,1.3米,115千米,电视制导,{'$oid': '5cc9339f831b973d657f2250'},http://images.huanqiu.com/sarons/2013/11/c9759fa6ca484480390d1a91ce9b4c60.jpg,苏/俄,5.7米,NULL,俄罗斯拉杜加（Raduga）设计局,NULL,NULL,0.38米,960千克
导弹武器,空地导弹,NULL,Condor II弹道导弹,NULL,1000千米,NULL,{'$oid': '5cc9339f831b973d657f2251'},NULL,埃及,NULL,1980年,CONSEN公司,"
 
",NULL,0.8米,NULL
导弹武器,空地导弹,触发延时引信,叩头虫2(Skipper)AGM－123A空地导弹,1.6米,25千米,半主动激光,{'$oid': '5cc9339f831b973d657f2252'},http://images.huanqiu.com/sarons/2014/04/0aa91500585adbf549272e5a2f21cc4a.jpg,美国,4.3米,1980年,埃默森公司、美国海军武器中心,"
该弹是在美国海军现役“宝石路”2系列激光制导炸弹基础上加装动力装置，构成一种载机能低空发射、具有更远防区外射程、且低成本的反舰导弹，故又称之为“动力推进激光制导炸弹”，以满足海军舰载攻击飞机对海上舰艇目标实施大规模防区外攻击的要求。
",NULL,0.35米,613千克
导弹武器,空地导弹,近炸引信/ 触发引信,AGM-65“小牛”空对地战术导弹,NULL,43.4千米,NULL,{'$oid': '5cc9339f831b973d657f2253'},http://images.huanqiu.com/sarons/2013/11/3d086345c7d5fd6a4cc8e20ea83bb258.jpg,美国,2.49米,1965年,休斯导弹系统公司，雷神公司,"
AGM-65“小牛”（英语：AGM-65 Maverick），也称“幼畜”导弹，是美国研制的一种为近距离空中支援而开发的空对地战术导弹（AGM），射程48公里。它能有效地打击各种战术目标，包括装甲单位、防空设备，舰艇，地面运输部队及燃料储存设施等。该弹有7种改型，分别为“小牛”A型、B型、C型、D型、E型、F型、和G型，其代号为AGM-65。
",NULL,0.305米,220千克
导弹武器,空地导弹,NULL,AT-12旋风反坦克导弹,NULL,8千米,NULL,{'$oid': '5cc9339f831b973d657f2254'},http://images.huanqiu.com/sarons/2013/11/a0756ffa75703c0fff5e834bd03086cc.jpg,苏/俄,2.4米,80年代初,希普诺夫（Шипунов）仪器制造设计局,NULL,NULL,0.125米,43千克
导弹武器,空地导弹,NULL,阿拉姆(ALARM)空射反辐射导弹,NULL,20千米,NULL,{'$oid': '5cc9339f831b973d657f2255'},http://images.huanqiu.com/sarons/2014/01/1637ff6d9b34788bc027b3baf00d44a8.jpg,英国,4.06米,1977年 ,英国宇航公司和马可尼公司,"
阿拉姆(ALARM)空射反辐射导弹是由英国宇航公司和马可尼公司于1977年开始研制的。1987年达到初始作战能力。该弹可挂载在大多数欧洲国家装备的战斗机上，如“狂风”、“鹞”式、F―16、“美洲虎”、“隼”、“阿尔法喷气”等。它的导引头的频率覆盖范围较大，可用于攻击各种地面警戒雷达、炮瞄雷达、地对空导弹的制导雷达等。
",NULL,0.23米,280千克
导弹武器,空地导弹,NULL,AJ168/AS37/玛特尔空舰反雷达导弹,NULL,60千米,NULL,{'$oid': '5cc9339f831b973d657f2256'},http://images.huanqiu.com/sarons/2014/01/78ef6bf4299220b4ad4e074d6d4312f4.jpg,英国,4.18米,1960年,英国宇航公司和法国玛特拉公司,"
该弹是英国和法国60年代中期联合研制的新型空地导弹，1960年开始方案论证，1964年9月，英、法两国签署联合研制协议，分为电视导引头的反舰型和被动雷达导引头的反辐射型两种不同的型号，前者代号为AJ168，由英国原霍克·西德利公司、现英国宇航公司负责研制，主要用来攻击水面舰艇，也可辅以攻击地面坚固目标，是英国海军舰载攻击机装备使用的第一个空舰导弹；后者代号为AS37，由法国玛特拉公司负责研制，主要用来攻击地/海面的雷达目标，是法国空军战斗机装备使用的第1个空地反辐射导弹。
",NULL,0.4米,550千克
导弹武器,空地导弹,触发或非触发引信,秃鹰(Condor)AGM－53A空地导弹 ,1.432米,111.2千米,中段程控加末端电视和双路数传制导,{'$oid': '5cc933a0831b973d657f2257'},NULL,美国,4.209米,1963年,北美航空公司、休斯飞机公司,"
该弹是美国北美航空公司和休斯飞机公司为美国海军研制的第二代战术空地导弹，用于攻击地面严密设防目标，如桥梁、导弹阵地、指挥中心和水面舰船等地面和水面目标。1962年提出方案设想，1963年开始研制，1970年3月首次进行飞行试验，1973年7月完成研制，共制造156枚样弾，同年10月投入批生产，1976~1977财年批准生产215枚，但由于该弹成本太高，国会暂停了1977~1978财年的生产费用，1967年9月停产。
",NULL,0.43米,967千克
导弹武器,空地导弹,NULL,猎犬 AGM-28A/B 战略空地导弹,3.66米,960千米,惯性导航（AGM-28A)，惯性导航加被动雷达制导（AGM-28B),{'$oid': '5cc933a0831b973d657f2258'},http://images.huanqiu.com/sarons/2014/04/cb0d40b8baf6d67d5050b478c1c30013.jpg,美国,13米,1957年,北美航空公司,NULL,2692.8千米/小时,0.71米,4500千克
导弹武器,空地导弹,NULL,AS-6“王鱼” 导弹,NULL,800千米,NULL,{'$oid': '5cc933a0831b973d657f2259'},NULL,苏/俄,10.7米,NULL,前苏联/俄罗斯“虹”(Радуга)机械制造设计局,"
北约代号“王鱼”，前苏联代号Kh-22HA或KSR-5空地导弹。AS-6由前苏联/俄罗斯“虹”(Радуга)机械制造设计局设计制造，该弹是苏联第二代空地导弹产品的第一个型号，于1970年服役。最大射程650千米。除射程增加外，其战斗部威力和命中精度也均较第一代空地导弹有明显提高，被西方媒体誉为“最令航母舰队忌惮的克星”。AS-6弹体尖，弹体笔直细长，与AS-4相似。
",NULL,0.9米,5000千克
导弹武器,空地导弹,近炸引信/触发引信,小斗犬(Bullpup)AGM-12 空地导弹,0.953米,14.8千米,无线电指令,{'$oid': '5cc933a0831b973d657f225a'},http://images.huanqiu.com/sarons/2014/04/1487621f6834c334ab4e99cd79f68c84.jpg,美国,3.2米,1954年,美国马丁.玛丽埃塔公司，马克逊电子公司,NULL,2448千米/小时,0.305米,259千克
