大类,翼展,引信,名称,类型,射程,制导系统,_id,图片,产国,研发单位,研制时间,弹长,关注度,简介,最大速度,弹径,弹重
导弹武器,0.609米,NULL,霹雳-2（PL-2）近程空对空导弹,空空导弹,7.6千米,被动红外,{'$oid': '5cc9338f831b973d657f21e8'},http://images.huanqiu.com/sarons/2013/11/077fff2c80851549fdcc505161e3644a.jpg,中国,航空工业部,1962年,2.83米,NULL,"
1958年我军在实战中缴获美蒋空军美制AIM-9B红外制导空空导弹两发，1961年苏联在此基础上仿制出了K-13空空导弹。我国于1970年成功仿制K-13导弹，命名为霹雳-2。
",3062.5千米/小时,0.127米,85千克
导弹武器,0.51米,近炸引信,R-73近程空对空导弹,空空导弹,40千米,红外线导引,{'$oid': '5cc9338f831b973d657f21e9'},http://images.huanqiu.com/sarons/2014/05/ddf086ab80ca6e1e485334577bd89cab.jpg,苏/俄,三角旗机械生产设计局,NULL,2.9米,(5分),NULL,2815千米/小时,0.17米,7.3千克
导弹武器,0.9米,主动雷达引信,R-33(AA-9)空空导弹,空空导弹,120千米,前几秒钟由程序控制，然后用无线电指令修正弹道，靠近目标后改用接收目标的雷达回波进行跟踪。,{'$oid': '5cc9338f831b973d657f21ea'},http://images.huanqiu.com/sarons/2013/11/450cb667fde2043c4f19ae406ec82918.jpg,苏/俄,三角旗导弹设计局,1980年,4.15米,NULL,"
80年代初，为进一步提高远程空-空导弹的机动能力，由“三角旗”导弹设计局研制出R-33(俄文P-33)(西方国家称之为AA-9“阿摩斯”)远程空-空导弹。是前苏联为米格－31截击机专门研制的远程空对空导弹，1982年开始服役。它是目前世界上已服役的质量最大、射程最远的空对空导弹。
",3500千米/小时,0.38米,490千克
导弹武器,0.58米,NULL,K-5(AA-1)空对空导弹,空空导弹,7千米,雷达波束,{'$oid': '5cc9338f831b973d657f21eb'},NULL,苏/俄,第293厂第2试验设计局,20世纪50年代初,1.88米,NULL,"
AA-1型空对空导弹，是苏联于上世纪五十年代自行研制并大量装备部队的第一种空空导弹，在世界范围内属于第一代空空导弹。

前苏联自行研制的第一种空对空导弹是1956年投入批量生产的K-5(军用型号PC-2y)。西方给这种雷达制导的导弹取名为AA-1，绰号“碱”。K-5之后的苏制空对空导弹被依次取名为AA-2、AA-3、AA-4等。
",2045千米/小时,0.178米,82千克
导弹武器,0.43米,主动雷达或光电引信,R-60(AA-8)空空导弹,空空导弹,12千米,被动红外,{'$oid': '5cc9338f831b973d657f21ec'},http://images.huanqiu.com/sarons/2013/11/84e3d1c0cca24d5f5ef0c4f4b3ab3083.jpg,苏/俄,三角旗导弹设计局,60年代后期,2.08米,NULL,"
R-60（俄文：Р-60）是苏联自行研制并装备前线战术空军歼击机的第一个真正的近距格斗空空导弹，属于第三代近距空空导 弹。该弹由位于莫斯科的“三角旗”(Вымпел)机械制造设计局于60年代末研制，系统代号和编号分别为К- 60(K-60)和Изд．62Izd.62)，1973年投产，1975年服役，空军使用代号为Р-60(R-60)。西方和北约集团按照自 行确定的对苏联武器装备的命名规则，给予该系列空空导弹的编号和命名为AA-8“蚜虫”(Aphid)。
",3063千米/小时,0.13米,65千克
导弹武器,0.61米,12公斤预制破片高爆战斗部,“米卡”双用途空空导弹 ,空空导弹,60千米,惯导+无线电指令修正+末段主动雷达或红外成像,{'$oid': '5cc9338f831b973d657f21ed'},NULL,法国,法国宇航-玛特拉公司,1981年,3.1米,NULL,"
这种导弹设计时已考虑既可超视距发射也可进行格斗，1997年服役。采用复合制导，即先用指令控制弹道，靠近目标15千米时或在更近距离上改用弹上雷达跟踪目标，抗干扰能力强。“米卡”空空导弹是法国媲美于美国先进中距空空导弹（AMRAAM）的型号，在精确性和可控性方面受到很高的好评。该型导弹已被法国达索公司“阵风”战斗机选用。主动搜索雷达和远红外寻的结合的改进系统，具有独一无二的锁定中、近距目标予以截击的功能。“米卡”导弹的性能足以对美国先进中程空空导弹构成竞争威胁。1998年5月，当一艘美国的“洛杉矶”级核攻击潜艇试图搜集台湾一次实弹发射的数据时，被台湾空军的一架S-2T反潜直升机察觉。台湾空军已经订购了460套“米卡”空空导弹，部分已配备了远红外寻的系统。
",3675千米/小时,0.165米,NULL
导弹武器,1.52米,NULL,K-9(AA-4)远距空空导弹,空空导弹,NULL,半主动雷达制导(К-9Р)，被动红外制导(К-9Т) ,{'$oid': '5cc9338f831b973d657f21ee'},http://images.huanqiu.com/sarons/2013/11/b7f297cf17178af6caf180246bec8617.jpg,苏/俄,NULL,50年代末,5米,NULL,"
该弹是米高扬和古列维奇两个飞机设计局为参予50年代中期苏联国土防空空军决定研制中/远距新型空空导弹系统的竞争而推出的一个空空导弹研制项目，设计局代号为K-9或K-155，拟装备其正在研制的米格-Е-152新一代防空截击机。当时，参加竞争的还有另外三家飞机设计局和两家导弹设计局。K-9是两级式远距空空导弹，曾在1961年土希诺机场举行的苏联航空节上由米格-Е-152截击机翼下各挂1枚模型弹参加飞行表演，西方和北约集团给予其编号和命名为AA-4“锥子”(Awl)，1962年随着米格-Е-152截击机计划被取消而停止发展。
",NULL,0.3米,NULL
导弹武器,1.45米,主动雷达引信和主动激光引信,R-40(AA-6)空空导弹,空空导弹,50千米,无线电指令修正加惯性中制导和半主动雷达末制导,{'$oid': '5cc93390831b973d657f21ef'},http://images.huanqiu.com/sarons/2013/11/82d3e593231eac3e4f7b8269651b34e6.jpg,苏/俄,“三角旗”导弹设计局和比斯诺瓦特总设计师共同研制,70年代初,6.3米,NULL,"
AA-6“毒辣”（苏联R-40）是前苏联在20世纪60年代为米格-25而开发的一款远程空空导弹。
",2.2千米/小时,0.31米,475千克
导弹武器,1.4米,主动雷达引信和主动激光引信,R-23(AA-7)空空导弹,空空导弹,35千米,无线电指令中制导和半主动雷达末制导,{'$oid': '5cc93390831b973d657f21f0'},http://images.huanqiu.com/sarons/2013/11/4a1fc7bb94ea0eb74c8b27ac2e1c646c.jpg,苏/俄,“三角旗”(Вымпел)机械制造设计局,60年代中期,4.16米,NULL,"
该弹是苏联自行研制并装备前线战术空军歼击机的第一种中距雷达型空空导弹，属于第二代中距空空导弹，载机为苏联的新一代歼击机－米格-23。该弹于60年代中期开始研制，系统代号和编号分别为К-23和Изд．340(Izd.340)，1969年进入苏联前线战术空军服役，空军使用代号为Р-23Р(R-23R)。西方和北约命名为AA-7“尖顶”(Apex)。该系列导弹曾大量出口，并在中东战场使用，至今仍在俄罗斯和各出口国家的空/海军服役。
",2000千米/小时,0.2米,223千克
导弹武器,1.3米,NULL,K-8(AA-3)空空导弹,空空导弹,19千米,红外制导(R-98T)，半主动雷达制导(R-98R),{'$oid': '5cc93390831b973d657f21f1'},NULL,苏/俄,NULL,60年代初,NULL,NULL,"
前苏联于60年代初研制成功的AA-3空空导弹是一种既可装半主动雷达导引头，也可以使用红外导引头的空对空导弹。AA-3在前苏联的编号为R-9和R-98，该弹于1963年开始装备前苏联空军，主要配备雅克-28、苏-ll、苏-15等战斗机。

该弹是苏联自行研制并装备国土防空截击机的第一种中距雷达型空空导弹，取代仍在服役的РС-1/2近距雷达型空空导弹，后者的主要问题是射程短、与机载雷达不匹配。由于50年代中期，在РС-1/2导弹基础上改进的К-6半主动雷达型空空导弹系统，最终未获准投入批生产，因此苏联国土防空空军决定研制中/远距新型空空导弹系统，装备新型防空截击机如雅克-28、米格-Е-152、苏-11等。当时，参加竞争研制的单位有四家飞机设计局和两家导弹设计局，从而造成研制工作大量重复。
",NULL,0.22米,NULL
导弹武器,NULL,主动微波近炸或红外近炸,霹雳-8(PL-8)空空导弹,空空导弹,15千米,NULL,{'$oid': '5cc93390831b973d657f21f2'},http://images.huanqiu.com/sarons/2013/11/5f04d8b3da2eee3ca69a375334bb4c8c.jpg,中国,NULL,1983年9月15日,2.9米,NULL,"
霹雳8近距空空导弹基本达到了第3代近距空空导弹的水平。不但为中国空军提供了有力的主战武器装备，并且通过该导弹的发展也让我国相关部门积累了现代空空导弹的发展经验，在中国近距空空导弹的发展中启到了承上启下的作用。
",NULL,0.157米,115千克
导弹武器,0.66米,NULL,霹雳-7(PL-7)空空导弹,空空导弹,14千米,被动红外引信，红外近炸引信,{'$oid': '5cc93390831b973d657f21f3'},http://images.huanqiu.com/sarons/2013/11/186c43cb6afc7ba46e5c33a0a39747c1.jpg,中国,航空工业部,1982年,2.75米,NULL,"
霹雳-7空空导弹是中国自行设计制造的新一代空空导弹，是具有大过载机动能力的格斗型空空导弹，以满足新一代战斗机的作战使用要求。
",2450千米/小时,0.157米,90千克
导弹武器,0.77米,NULL,R-27(AA-10)空空导弹,空空导弹,50千米,惯导/指令修正加半主动雷达末制导,{'$oid': '5cc93390831b973d657f21f4'},http://images.huanqiu.com/sarons/2013/11/f63a69bb1a20cf21c789e5cc9153c0cc.jpg,苏/俄,前苏联的威姆佩尔设计局,1975年,4米,NULL,"
R-27，北约代号AA-10""Alamo""（杨树），是苏-27系列战斗机的标准空对空武器，苏-27通常挂载6枚R-27执行任务，包括主翼最内侧挂架的2枚红外线导引型、进气道下挂架的2枚雷达导引型、机身中线纵列挂架的2枚雷达导引型。该弹是前苏联，俄罗斯自行研制并装备前线战术空军歼击机的新型中远距空空导弹，属于第三、四代空空导弹。
",NULL,0.23米,253千克
导弹武器,0.53米,NULL,R-3R/K-13(AA-2)空空导弹,空空导弹,7千米,被动红外(除Р-13Р外的其他К-13型号)，半主动雷达(Р-13Р) ,{'$oid': '5cc93390831b973d657f21f5'},http://images.huanqiu.com/sarons/2013/11/ce4938e2c9dc338ff9d2f8a38907e5b7.jpg,苏/俄,苏联第134试验设计局,1959年,2.83米,NULL,"
AA-2导弹是苏联第一种红外线导引空对空导弹。AA-2是北约赋予的代号，名称是环礁（Atoll），苏联军方给予的代号包括K13、R3或者是R13，是苏联早期外销很广，实战经验最多的空对空导弹。
",NULL,0.127米,NULL
导弹武器,0.28米,近炸引信,AAM-1空空导弹,空空导弹,7千米,NULL,{'$oid': '5cc93391831b973d657f21f6'},http://images.huanqiu.com/sarons/2013/11/2164e5a911e22cefdf4e2841299d0d4e.jpg,日本,日本保安厅技术研究所,1964年,2.6米,NULL,"
AAM-1空空导弹是日本自主研发的一款短程空对空导弹。由三菱重工开发和生产。
",NULL,0.15米,70千克
导弹武器,0.1米,无线电近炸引信,AIM-7“麻雀”空空导弹,空空导弹,24千米,半主动连续波雷达,{'$oid': '5cc93391831b973d657f21f7'},http://images.huanqiu.com/sarons/2013/11/4fb4e043b680af87ca2664307c030d06.jpg,美国,美国斯佩里公司和雷锡恩公司,1947年,3.66米,NULL,"
AIM-7麻雀空空导弹是美国研制的一种中程雷达半主动制导空空导弹，该型导弹曾经在美国空军、海军、海军陆战队航空兵中广泛装备，同时也作为外销武器被多个北约盟国空军/海军航空兵采用。RIM-7 海麻雀是以AIM-7为基础发展的舰载近距离防空导弹，美国海军现以海麻雀作船只防空之用。MIM-7则是AIM-7的陆上版。
",3675.132千米/小时,0.203米,173千克
导弹武器,0.6米,NULL,90式（AAM-3）空空导弹,空空导弹,5千米,NULL,{'$oid': '5cc93391831b973d657f21f8'},NULL,日本,日本保安厅技术研究所,1986年,3.1米,NULL,"
虽然AAM-2在制式化的最终阶段被无情终止，但它却坚定了日本国产化空空导弹的决心。日本航空自卫队参谋部就后续弹AAM-3的开发，向技术研究本部提出了新的性能要求：除原来的全向攻击能力外，根据中东战争中的空战经验，特别强调AAM-3要有较强的机动性以适应激烈的近距格斗作战。
",NULL,0.13米,90千克
导弹武器,1.3米,NULL,R-4R(AA-5)导弹空空导弹,空空导弹,20千米,半主动雷达制导,{'$oid': '5cc93391831b973d657f21f9'},NULL,苏/俄,NULL,1959年,5.18米,NULL,"
苏联AA-5空空导弹是前苏联研制的一种较大型的空对空导弹。该弹的苏联编号为R-4，它是在AA-3的基础上发展出的中远距拦射型导弹。该系列空空导弹分为半主动雷达型和被动红外型两大类，其使用代号为：半主动雷达型Р-80Р(R-80R)和Р-4Р(R-4R)；被动红外型Р-80(R-80T)和Р-4Т(R-4T)。西方和北约集团按照自行确定的对苏联武器装备的命名规则，给予该导弹的编号和命名为AA-5“灰”(Ash)。
",NULL,0.3米,NULL
导弹武器,NULL,NULL,IRIS-T空空导弹,空空导弹,18千米,NULL,{'$oid': '5cc93391831b973d657f21fa'},http://images.huanqiu.com/sarons/2013/11/8b2e3df75e282da44f949bbe31fbc47d.jpg,意大利,NULL,1996年,2.94米,NULL,"
IRIS-T导弹采用机械扫描的4×128元锑化铟红外成像导引头，该导引头工作在3~5μm波长，具有±90°的离轴角，装有先进的信号处理系统。BGT认为，他们之所以选择扫描成像导引头是因为当远目标像点落入探测元之间的死区时，凝视成像会产生不稳定信号，而且，扫描成像不容易被激光致盲。
",NULL,0.127米,88千克
导弹武器,0.75米,NULL,“天剑”Ⅱ型空空导弹,空空导弹,40千米,NULL,{'$oid': '5cc93391831b973d657f21fb'},NULL,中国,中山科学院,1989年,3.6米,NULL,"
1989年研制成功，并进行导控飞试和与IDF战斗机介面系统的研制，1995年投产并装备部队。“天剑一Ⅱ”型导弹性能较为先进，接近于美制AIM-7“麻雀”空空导弹，具有全天候、全方位攻击和抗电子干扰的能力。
",3062.7千米/小时,NULL,NULL
导弹武器,0.51米,无线电近炸引信,AIM-4 “猎鹰”（Falcon）空空导弹,空空导弹,100千米,半主动雷达,{'$oid': '5cc93392831b973d657f21fc'},http://images.huanqiu.com/sarons/2013/11/36f36132666e02374bf0081fccb9d0eb.jpg,美国,休斯公司,1946年,1.98米,NULL,"
   AIM-4“猎鹰”（Falcon）是美国空军第一种空对空飞弹，除了搭配F-102与F-106战斗机负责美国本土的防空任务以外，也曾经与F-4D一起使用于越战，可是效果并不理想。但是作为世界上第一种服役的空空导弹，猎鹰无疑具有划时代的意义。
",3675千米/小时,0.163米,55千克
导弹武器,0.86米,NULL,AIM－68“大Q”前空对空导弹,空空导弹,65千米,NULL,{'$oid': '5cc93392831b973d657f21fd'},NULL,美国,国家三角翼工程公司,1965年3月,2.92米,NULL,"
1963年美国空军武器实验室（AFWL）在科特兰（KIRTLAND）空军基地开始一个秘密计划，这个计划就是研制一款新的空对空导弹，它要求比AIR－2“妖怪”火箭弹重量轻，攻击更加有效。AIM－68“大Q”导弹计划就是通常所指的“AIM－X”计划。 AIM-68是AIM-X的系列。
",NULL,0.35米,225千克
导弹武器,0.63米,无线电近炸引信,AIM-9“响尾蛇”（Sidewinder）空空导弹,空空导弹,17.7千米,半主动雷达,{'$oid': '5cc93392831b973d657f21fe'},http://images.huanqiu.com/sarons/2013/11/cc358dc808888b97ae1951ec838db32d.jpg,美国,美国雷锡恩公司,1956年,2.87米,NULL,"
美国研制的一种超音速红外制导空对空导弹，配备高爆弹头和主动红外制导系统，也是世界上产量最大的空对空导弹，共有10多种改进型，也是实战中曾广泛使用和少数导弹之一，在越南战争、1982年马岛冲突和海湾战争战争中都使用过。
",3062千米/小时,0.13米,83.9千克
导弹武器,1.02米,NULL,AIR-2“妖怪”（Genie）,空空导弹,NULL,NULL,{'$oid': '5cc93392831b973d657f21ff'},http://images.huanqiu.com/sarons/2013/11/0f49ae1e579d8aa506a0012a9453aaf9.jpg,美国,NULL,1955年,2.95米,NULL,"
1962年MB-1正式生产并赋予了全新的编号：AIR-2A“妖怪”，1955年开始研制，1965年THIOKOL公司开始生产新型固体发动机，该发动机具有更长的使用寿命和更少的发射温度限制。AIR-2A与AIR－2B官方把这两个型号认定为一个型号。
",NULL,0.44米,NULL
导弹武器,NULL,近炸引信,AAM-2空空导弹,空空导弹,近程导弹,NULL,{'$oid': '5cc93392831b973d657f2200'},http://images.huanqiu.com/sarons/2013/11/afc5117847d5adf7cd2d95fe4ad7d43a.jpg,日本,日本保安厅技术研究所,1970年,NULL,NULL,"
1970年AAM-2开始试开发，主承包商仍是三菱重工。日本军方对这个新项目提出了更高的要求：在不对F-4EJ做较大改动的前提下，新导弹就能直接使用；整体性能要全面超越AIM-4D型空空导弹。
",NULL,NULL,NULL
导弹武器,1.1米,无线电近炸引信/触发引信,马特拉(MATRA)R530 空空导弹,空空导弹,12千米,半主动雷达,{'$oid': '5cc93392831b973d657f2201'},NULL,法国,法国马特拉公司,1957年,3.58米,NULL,"
该弹是法国马特拉公司在第一个作战型空空导弹——半主动雷达制导的R510基础上发展的近距空空导弹。除装备法国空/海军战斗机外，还大量外销出口，其中R530导弹曾由阿根廷空军的战斗机在1982年用于英、阿“马岛冲突”中。
",3672千米/小时,0.263米,192千克
导弹武器,0.86米,主动雷达引信/触发引信,怪蛇-3空空导弹,空空导弹,15千米,单元被动红外,{'$oid': '5cc93392831b973d657f2202'},NULL,以色列,拉斐尔公司,1975年,2.99米,NULL,"
怪蛇-3采用新设计的破片式高能炸药战斗部，重11公斤，怪蛇-3的红外导引头采用氮制冷的锑化锢探测元件，大大提高了导弹制导系统的灵敏度，实现了导弹的全向攻击。该弹于1982年开始服役于以色列空军。
",NULL,0.16米,120千克
导弹武器,NULL,NULL,AIM-9X近距空空导弹,空空导弹,NULL,NULL,{'$oid': '5cc93393831b973d657f2203'},http://images.huanqiu.com/sarons/2013/11/1eea0c27a69d2ccd9e068e25b1b1a244.jpg,美国,美国雷锡恩公司,1994年,NULL,NULL,"
美国空军和海军航空兵使用的空战武器包括先进中距空空导弹(AMRAAM/AM-120)和响尾蛇(AIM-9)系列空空导弹，其中响尾蛇导弹作为世界上第一种红外制导空空导弹不断发展，今天仍然是世界主流近距空空导弹之一。目前美军生产的响尾蛇导弹已经发展到AIM-9X型号。美国海空军对现有的AIM-9X导弹仍在进行持续的改进，综合美国媒体的报道和美军的预算报告，雷锡恩公司已经接到合同研制最新的AIM-9X Block III型响尾蛇导弹。
",NULL,0.127米,NULL
导弹武器,0.8米,NULL,99式/AAM-4空空导弹,空空导弹,100千米,主动雷达制导+数据链,{'$oid': '5cc93393831b973d657f2204'},http://images.huanqiu.com/sarons/2013/11/0a132bcd9594b1a40226d24241417382.jpg,日本,日本保安厅技术研究所,1989年,3.67米,NULL,"
AAM-4是日本仅有的国产中距主动雷达制导空空导弹。它的开发源于日本装备的美制AIM-7型中距空空导弹。上述3种“麻雀”空空导弹均采用半主动雷达导引头，发射后要求母机用雷达一直照射敌机，因此一次仅能攻击1个目标。
",NULL,0.2米,222千克
导弹武器,0.65米,NULL,04式/AAM-5空空导弹,空空导弹,35千米,NULL,{'$oid': '5cc93393831b973d657f2205'},http://images.huanqiu.com/sarons/2013/11/636755c0b04680dc8c3279b10a184ac3.jpg,日本,日本保安厅技术研究所,1998年,2.86米,NULL,"
由三菱重工公司所承包建造的AAM-5于2000年12月18日，在日本若狭湾上空进行了XAAM-5的首次空中发射试验。到2001年底，总共进行了3次空中射击试验，同时还作了载机适应性试验、导弹抛弃试验、航线捕获试验等一系列试验。2002年度，日本使用了22发导弹进行空中试射，到2003年2月18日完成了所有的技术实验工作。该导弹
",NULL,0.126米,83.8千克
导弹武器,0.45米,NULL,ASRAAM近距格斗空空导弹,空空导弹,20千米,红外成象引导头，捷联式挠性陀螺系统，燃气舵偏转执行结构,{'$oid': '5cc93393831b973d657f2206'},NULL,英国,马特拉-英国宇航公司,20世纪80年代末,2.5米,NULL,"
ASRAAM是英国研制的第四代近距格斗空空导弹。英国皇家空军计划到2018年以前用新型导弹完全替代目前服役的美国响尾蛇导弹。按照欧洲专家的看法，从用途、战术指标和技术服务来说，ASRAAM实际上和美国的AIM-9X是一样的。
",NULL,0.015米,65千克
导弹武器,0.42米,NULL,“弯刀”空空导弹,空空导弹,4千米,NULL,{'$oid': '5cc93393831b973d657f2207'},NULL,南非,阿姆斯科公司,1981年,2.944米,NULL,"
“弯刀”(V-3B)是由南非阿姆斯科公司研制的一种红外制导的近距格斗导弹。该弹是在法国R550“魔术”导弹的基础上研制的，但也采用和参考了以色列“蜻蜓”导弹的某些技术。
",NULL,0.127米,73.4千克
导弹武器,NULL,NULL,"""阿斯特拉""中程空对空导弹",空空导弹,80千米,NULL,{'$oid': '5cc93394831b973d657f2208'},http://images.huanqiu.com/sarons/2013/11/9ef5c33e6a168a5544fa239eb4e01785.jpg,印度,综合制导导弹发展项目,20世纪90年代初,NULL,NULL,"
该导弹是由综合制导导弹发展项目（IGMDP）承担的为印度空军研制一款主动雷达制导的空对空导弹的任务。这种在90年代末经常被印度用来宣传其自主国防能力的导弹就是赫赫有名的""阿斯特拉""（Astra）。
",NULL,NULL,NULL
导弹武器,0.4米,主动激光引信/触发引信,怪蛇-4空空导弹,空空导弹,18千米,焦平面阵列红外“准成像”,{'$oid': '5cc93394831b973d657f2209'},NULL,以色列,拉斐尔公司,1982年,3米,NULL,"
怪蛇-4和响尾蛇的个头差不多，而且在稍微改装内部电子元件之后，两者可以做到发射挂架通用兼容。此外，怪蛇-4还装备有一个DASH头盔瞄准具，以显示数字化的空战界面并支持导弹进行±90度离轴发射。
",NULL,0.16米,105千克
导弹武器,NULL,NULL,H-4超视距中程空空导弹,空空导弹,120千米,NULL,{'$oid': '5cc93394831b973d657f220a'},NULL,巴基斯坦,NULL,NULL,3.62米,NULL,"
在南非方面的帮助下，长年因资金和政治原因而饱受装备老化之苦的巴基斯坦空军终于第一次获得比潜在对手更强大的武器——H-4超视距空空导弹，该导弹射程达到120公里，战斗机在这样的距离上发起攻击，几乎可不用担心遭到报复，从而提高了飞机的生存能力。H-4还衍生出轻型H-2导弹，射程为60公里，也可超视距攻击目标。


",NULL,0.16米,125千克
导弹武器,0.063米,主动雷达引信,AIM-120中程空对空导弹,空空导弹,60千米,惯性+指令修正，主动雷达寻的,{'$oid': '5cc93394831b973d657f220b'},http://images.huanqiu.com/sarons/2013/11/b40fba9817f43e58659163f1adc151aa.jpg,美国,雷锡恩公司,20世纪90年代,3.65米,NULL,"
AIM-120是美国研制的第一款主动雷达制导视距外空对空导弹，十几年来衍生了A、B、C、D四种型号，是世界多国空军争相采购的武器。2003年售价为每枚38万6千美元。AIM-120是美国研制的一种""发射后不管""的先进中距空对空导弹，它首次使用便取得战果，揭开了世界空战史上新的一页。在此之前的超视距空战，由于大多采用半主动雷达制导的导弹,发射导弹后，载机必须保持对目标的跟踪和照射,直至击中目标。在这段时间里，载机须基本上不能有大动作，这对载机和飞行员的安全是极大的威胁，因为被敌方击中的机会很大。
",4900千米/小时,0.178米,152千克
导弹武器,0.53米,红外近炸引信,蜻蜓-2空空导弹,空空导弹,5.5千米,被动红外,{'$oid': '5cc93394831b973d657f220c'},http://images.huanqiu.com/sarons/2013/11/78fc2388008ac14a1238bc21a728276c.jpg,以色列,拉斐尔公司,1963年,2.6米,NULL,"
该弹于1963年起针对蜻蜓-1导弹存在的战斗部威力过小等问题开始研制，是以色列在引进美国“响尾蛇”AIM-9D的基础上研制的第一个近距红外型空空导弹，也是以色列空军的法制“幻影”Ⅲ战斗机的标准空空导弹。
",NULL,0.16米,93千克
