大类,类型,名称,引信装置,制导系统,_id,图片,产国,研发单位,研制时间,弹长,全重,简介,弹径,装药类型
爆炸物,手榴弹,73型小型钢珠手榴弹,NULL,NULL,{'$oid': '5cc93419831b973d657f24a4'},NULL,中国,NULL,1973年,88毫米,NULL,"
该弹除具有一般手榴弹的作用外，还适合攻击高处，水面，及机动目标。比77-1式更小巧更轻，且威力更大。
",42毫米,NULL
爆炸物,手榴弹,M39式小型卵形手榴弹,NULL,NULL,{'$oid': '5cc93419831b973d657f24a5'},NULL,德国,NULL,1939年,134.6毫米,NULL,NULL,NULL,TNT
爆炸物,手榴弹,541式进攻手榴弹 ,NULL,NULL,{'$oid': '5cc93419831b973d657f24a6'},NULL,中国,NULL,1954年,NULL,NULL,NULL,NULL,NULL
爆炸物,手榴弹,98式闪光手榴弹 ,NULL,NULL,{'$oid': '5cc93419831b973d657f24a7'},NULL,中国,中国兵器装备集团公司,二战前,NULL,NULL,"
98式闪光手榴弹, 可以利用其巨大的威慑效果驱散围观人群，控制局面，平息暴乱，尤其在平暴、反恐怖、反动乱、反劫持、缉毒等行动中，能最大限度地减少无辜群众的伤亡和保护国家财产不受损失。
",500毫米,闪光剂
爆炸物,手榴弹,M24式长柄手榴弹,NULL,手掷,{'$oid': '5cc93419831b973d657f24a8'},NULL,德国,NULL,20世纪初,365毫米,NULL,NULL,70毫米,三硝基甲苯（TNT）
爆炸物,手榴弹,反-43式反坦克手榴弹,NULL,NULL,{'$oid': '5cc93419831b973d657f24a9'},NULL,苏/俄,NULL,20世纪50年代,NULL,NULL,"
五十年代爆发的抗美援朝战争中，苏联曾经为志愿军提供过一批RPG-43式反坦克手榴弹，对于缺乏反坦克武器的志愿军可谓雪中送炭。虽然并没有太多使用反坦克手榴弹对付敌方坦克装甲车辆的战例，但志愿军战士却用这种武器去对付敌人的工事、坑道甚至有生力量，其巨大的威力颇受指战员欢迎。于是，仿制RPG-43式反坦克手榴弹的设想被提上了议事日程。定型后的国产RPG-43被称为“反-43式反坦克手榴弹”，作为反坦克火箭筒和无坐力炮等反坦克武器的补充。
",100毫米,NULL
爆炸物,手榴弹,67式木柄手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24aa'},NULL,中国,NULL,1967年,204毫米,NULL,NULL,48毫米,TNT
爆炸物,手榴弹,WY91式手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24ab'},NULL,中国,NULL,NULL,85毫米,NULL,"
WY91式无柄手榴弹是一种攻防两用手榴弹。
",50毫米,NULL
爆炸物,手榴弹,防-1（F-1）式手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24ac'},http://images.huanqiu.com/sarons/2013/11/16e81af8c3900d4c966eff283f7e1495.jpg,苏/俄,NULL,二战前夕,NULL,NULL,"
防-1式手榴弹的原型是苏制F-1防御手榴弹，我国342厂于1957年仿制成功。这是一种经历过二战战火考验的成熟装备，苏军将其称之为“柠檬手榴弹”。该弹结构简单，曾被多个国家装备和仿制，至今仍然能在世界各地的武装冲突中看到。
",55毫米,NULL
爆炸物,手榴弹,霍赛姆反坦克手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24ad'},NULL,埃及,埃及沙尔工厂,NULL,192毫米,NULL,"
霍赛姆反坦克手榴弹是由埃及沙尔工厂研制并生产的，主要用于近距离反坦克，必要时也可用于摧毁土木工事和混凝土工事等。现在埃及陆军中装备使用。
",63毫米,NULL
爆炸物,手榴弹,攻-59式手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24ae'},http://images.huanqiu.com/sarons/2013/11/965efafe2f53b32f929302e628868a2b.jpg,中国,NULL,1959年,NULL,NULL,"
我国仿制的苏式手榴弹中最为先进的则是攻-59式手榴弹，原型是苏制RGD-5，是用来取代设计上不尽如人意的RG42手榴弹，该弹同样也是一种进攻型手榴弹。
",58毫米,NULL
爆炸物,手榴弹,九七式手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24af'},NULL,日本,日本陆军技术局,1936年,98毫米,NULL,"
九七式手榴弹（九七式手榴弾，きゅうななしきてりゅうだん）是二战期间是日本陆军与日本海军海军特别陆战队使用的标准破片手榴弹。
",500毫米,黄色炸药
爆炸物,手榴弹,GME-FMK2-MO式手榴弹,NULL,NULL,{'$oid': '5cc9341a831b973d657f24b0'},NULL,阿根廷,阿根廷多明戈-马特轻武器工厂,NULL,120毫米,NULL,"
GME-FMK2-MO式手榴弹是阿根廷多明戈-马特轻武器工厂生产的一种防御型手榴弹，主要用于杀伤有生目标，也可用于摧毁轻型土木工事和杀伤水下蛙人等。
",55毫米,黑索金/梯恩梯
爆炸物,手榴弹,M-DN11式手榴弹,NULL,NULL,{'$oid': '5cc9341b831b973d657f24b1'},http://images.huanqiu.com/sarons/2014/01/b59ac48366633e99c260c8d02ba27e40.jpg,德国,迪尔有限公司,NULL,97毫米,NULL,"
M-DN11式手榴弹是德国迪尔有限公司军械分部研制和生产的一系列防御型手榴弹中的一种，也是其中尺寸最大、杀伤力最强的一种，可在0℃气温和泥泞等恶劣环境下使用。现已生产和装备部队使用。
",60毫米,太安炸药
爆炸物,手榴弹,HG86式小型杀伤手榴弹,NULL,NULL,{'$oid': '5cc9341b831b973d657f24b2'},http://images.huanqiu.com/sarons/2014/01/a1fc403c24f54abb78670dd47442baf2.jpg,奥地利,阿杰斯机电配件有限公司,NULL,76毫米,NULL,"
HG86式小型杀伤手榴弹是奥地利阿杰斯机电配件有限公司研制的最小型手榴弹，也是HG80式小型手榴弹的进一步发展。
",43毫米,NULL
爆炸物,手榴弹,MB-502式发烟手榴弹,NULL,NULL,{'$oid': '5cc9341b831b973d657f24b3'},NULL,巴西,巴西联邦共和国康多尔化学工业公司,NULL,146毫米,NULL,"
MB-502式发烟手榴弹是巴西联邦共和国康多尔化学工业公司研制和生产的。该公司同时还研制有MB-309/t1式发烟榴弹和MB-306/t式车载发烟榴弹，前者可用于遮蔽和施放烟雾信号，后者由车上电动发射，用于遮蔽车辆。
",61毫米,NULL
爆炸物,手榴弹,HG84式杀伤手榴弹,NULL,NULL,{'$oid': '5cc9341b831b973d657f24b4'},http://images.huanqiu.com/sarons/2014/01/cbc2b0580d42e2f27f3b041f4a240f2e.jpg,奥地利,阿杰斯机电配件有限公司,1984年,115毫米,NULL,"
HG84式手榴弹是奥地利阿杰斯机电配件有限公司于1984年研制成功的，是HG手榴弹系列中的一种最大号手榴弹，也是HG78式手榴弹的改进型。这种防御型手榴弹主要用于杀伤有生目标，必要时也可用于摧毁轻型土木工事。该弹自1985年开始在奥地利陆军中服役。
",60毫米,NULL
爆炸物,手榴弹,GL-303式小神鹰催泪手榴弹,NULL,NULL,{'$oid': '5cc9341b831b973d657f24b5'},NULL,巴西,巴西联邦共和国康多尔化学工业公司,NULL,115毫米,NULL,"
GL-303式小神鹰催泪手榴弹是巴西联邦共和国康多尔化学工业公司生产的一种较小型的催泪手榴弹，便于携带。
",38毫米,NULL
爆炸物,手榴弹,UbHG84式训练手榴弹,NULL,NULL,{'$oid': '5cc9341c831b973d657f24b6'},NULL,奥地利,阿杰斯机电配件有限公司,NULL,115毫米,NULL,"
UbHG84式手榴弹的外形与尺寸均与HG84式手榴弹相同。爆炸时只发出声响，供部队训练使用。
",60毫米,NULL
爆炸物,手榴弹,西玛催泪手榴弹,NULL,NULL,{'$oid': '5cc9341c831b973d657f24b7'},NULL,秘鲁,秘鲁共和国西玛瑟法尔公司,NULL,NULL,NULL,"
西玛催泪手榴弹是秘鲁共和国西玛瑟法尔公司生产的一种防暴手榴弹，现已停止生产。
",NULL,NULL
爆炸物,手榴弹,阿尔塞特克斯防御型手榴弹,NULL,NULL,{'$oid': '5cc9341c831b973d657f24b8'},NULL,法国,法国阿尔塞特克斯武器研究公司,NULL,100毫米,NULL,"
阿尔塞特克斯防御型手榴弹和进攻型手榴弹由法国阿尔塞特克斯武器 研究公司研制和生产。现仍在生产，并装备法国陆军。
",55毫米,TNT
爆炸物,手榴弹,M3式手榴弹,NULL,NULL,{'$oid': '5cc9341c831b973d657f24b9'},NULL,巴西,巴西联邦共和国瓦尔帕拉巴火炸药公司,NULL,96毫米,NULL,"
M3式手榴弹为巴西联邦共和国瓦尔帕拉巴火炸药公司研制并生产的杀伤手榴弹，既可用于防御，也可用于进攻。该弹现仍在装备使用。
",47毫米,NULL
爆炸物,手榴弹,HG69式杀伤手榴弹,NULL,NULL,{'$oid': '5cc9341c831b973d657f24ba'},NULL,奥地利,NULL,1969年,115毫米,NULL,"
HG69式杀伤手榴弹是奥地利阿杰斯机电配件有限公司于1969年研制成功的一种防御型手榴弹。该弹主要用于杀伤有生目标，必要时也可用于摧毁轻型土木工事或车辆。由于该弹结构性能较好，作为奥地利标准战斗手榴弹之一，至今仍然装备奥地利陆军。
",60毫米,NULL
爆炸物,手榴弹,DM51式进攻和防御型手榴弹,NULL,NULL,{'$oid': '5cc9341d831b973d657f24bb'},NULL,德国,迪尔有限公司,NULL,NULL,NULL,"
DM51式进攻和防御型手榴弹是德国迪尔有限公司军械分部研制的一种组合式两用手榴弹，配用预制破片套筒为防御用手榴弹，取下预制破片套筒即为进攻用手榴弹。必要时可将数个弹体连接构成集束手榴弹，或首尾相接构成串接式爆破筒。该弹现装备德国军队，并已成为制式手榴弹装备。
",57毫米,太安炸药
爆炸物,手榴弹,NR423式手榴弹,NULL,NULL,{'$oid': '5cc9341d831b973d657f24bc'},NULL,比利时,比利时PRB公司,NULL,85毫米,NULL,"
NR423式手榴弹是比利时PRB公司制造的攻、防两用手榴弹，主要用于杀伤有生目标，必要时也可用以摧毁轻型土木工事和车辆等。目前该手榴弹仍在装备使用。
",50毫米,B炸药
爆炸物,手榴弹,阿尔塞特克斯特种效应手榴弹,NULL,NULL,{'$oid': '5cc9341d831b973d657f24bd'},NULL,法国,法国阿尔塞特克斯武器研究公司,NULL,88毫米,NULL,"
法国阿尔塞特克斯武器研究公司生产的特种效应手榴弹有两个品种：一种是闪 光弹，另一种是不产生破片的爆炸弹，主要用于防暴任务。
",50毫米,NULL
爆炸物,手榴弹,M-DN21、M-DN31、M-DN61式手榴弹,NULL,NULL,{'$oid': '5cc9341d831b973d657f24be'},NULL,德国,德国迪尔有限公司,NULL,85毫米,NULL,"
M-DN21式、M-DN31式和M-DN61式是德国迪尔有限公司军械分部研制的另外三种防御型手榴弹，其中M-DN61式是最新的一种。
",50毫米,太安炸药
爆炸物,手榴弹,DM24式燃烧发烟手榴弹,NULL,NULL,{'$oid': '5cc9341d831b973d657f24bf'},NULL,德国,德国布克化学技术公司,NULL,133毫米,NULL,"
德国DM24式燃烧发烟手榴弹是德国布克化学技术公司研制的DM19式燃烧发烟手榴弹的改进型，主要用于施放烟幕和纵火燃烧等。主要由壳体、点火具和燃烧发烟剂三部分组成，不含炸药装药，操作使用安全可靠。其训练型为DM68式，没有引信，也不装燃烧剂，但装有惰性的能产生有限粉尘的材料。该燃烧发烟手榴弹除装备德国军队外，其他一些国家也装备。
",67毫米,红磷
爆炸物,手榴弹,NR423式训练手榴弹,NULL,NULL,{'$oid': '5cc9341e831b973d657f24c0'},NULL,比利时,比利时PRB公司,NULL,85毫米,NULL,"
PRBNR423式训练手榴弹是PRBNR423实弹使用的训练用弹，其质量和外形与NR423手榴弹相同，但所用材料和零部件不同，颜色也不一样且标志明显。它产生模拟爆炸的响声和少量烟雾，不会产生任何抛射物，因而可保证安全使用。
",50毫米,B炸药
爆炸物,手榴弹,M3-CEV式CN催泪榴弹,NULL,NULL,{'$oid': '5cc9341e831b973d657f24c1'},NULL,巴西,瓦尔帕拉巴火炸药公司,NULL,128毫米,NULL,"
M3-CEV式催泪榴弹是巴西联邦共和国瓦尔帕拉巴火炸药公司研制的防暴弹，既可手投，又可用M1发射筒从0．38in左轮手枪发射。由于体积较小，投掷距离较远。
",36毫米,CN毒剂，烟火剂
爆炸物,手榴弹,GL-304式、GL-305式和GL-307式手榴弹,NULL,NULL,{'$oid': '5cc9341e831b973d657f24c2'},NULL,巴西,巴西康多尔化学工业公司,NULL,98.5毫米,NULL,"
GL-304式、GL-305式和GL-307式手榴弹是康多尔化学工业公司生产的三种外形相同的爆炸型防暴手榴弹。三种手榴弹的尺寸和结构略有不同，防暴作用也不尽相同。
",52毫米,NULL
爆炸物,手榴弹,西玛震晕手榴弹  ,NULL,NULL,{'$oid': '5cc9341e831b973d657f24c3'},NULL,秘鲁,西玛瑟法尔公司,NULL,NULL,NULL,"
西玛震晕手榴弹是秘鲁共和国西玛瑟法尔公司生产的一种小型的塑料壳震晕手榴弹，现已停止生产。
",NULL,NULL
爆炸物,手榴弹,CITRON FOUG防御型手榴弹,NULL,NULL,{'$oid': '5cc9341e831b973d657f24c4'},http://images.huanqiu.com/sarons/2014/01/c9c5836c59a442e2f96087e9622171bf.jpg,法国,NULL,1916年,135毫米,NULL,"
法国制造，命名为CITRON（柠檬的意思）1916式，曾经在一次大战中大量装备法军，并延续到1925年，西班牙内战时期也有大量的仿制，并一度成为共和派武装的制式手榴弹。
",60毫米,NULL
爆炸物,手榴弹,法伊斯特尔瞬时型CS手榴弹,NULL,NULL,{'$oid': '5cc9341f831b973d657f24c5'},http://images.huanqiu.com/sarons/2014/01/7ec3aacadf04db29dfe3b67ac99bce5b.jpg,法国,德国法伊斯特尔公司,NULL,155毫米,NULL,"
法伊斯特尔瞬时型CS手榴弹是德国法伊斯特尔公司研制和生产的子母式手榴弹，用于防暴任务。
",50毫米,NULL
爆炸物,手榴弹,M4式手榴弹,NULL,NULL,{'$oid': '5cc9341f831b973d657f24c6'},NULL,巴西,瓦尔帕拉巴火炸药公司,NULL,87毫米,NULL,"
M4式手榴弹为巴西联邦共和国瓦尔帕拉巴火炸药公司研制并生产的杀伤手榴弹，可作进攻和防御使用。目前该弹装备巴西联邦共和国陆军。
",50.5毫米,NULL
爆炸物,手榴弹,CM6式子母榴弹,NULL,NULL,{'$oid': '5cc9341f831b973d657f24c7'},NULL,法国,法国阿尔塞特克斯武器研究公司 SAE AlsetexFR,NULL,199毫米,NULL,"
CM6式子母榴弹是法国阿尔塞特克斯武器研究公司制造的一种防暴弹，既有手投型也有枪发射型和训练型。CM6式子母榴弹圆柱形弹体用塑料制成。弹体由两部分连接而成，内装6个小发烟罐。
",56毫米,NULL
爆炸物,手榴弹,HG79式杀伤手榴弹,NULL,NULL,{'$oid': '5cc9341f831b973d657f24c8'},NULL,奥地利,阿杰斯机电配件有限公司,NULL,96毫米,NULL,"
HG79式杀伤手榴弹是奥地利阿杰斯机电配件有限公司研制的一种体积、质量、杀伤威力等适中的防御型手榴弹，适于丛林近距离作战，主要用于杀伤有生目标。该弹还有两种改型弹，一种是OFF HG79式进型攻手榴弹，另一种是UbHG79式教练手榴弹。
",57毫米,NULL
爆炸物,手榴弹,GL-301式催泪手榴弹,NULL,NULL,{'$oid': '5cc93420831b973d657f24c9'},NULL,巴西,巴西康多尔化学工业公司,NULL,128毫米,NULL,"
GL-301式和GL-302式两种手榴弹外形近似，内部结构相同。GL-301式较小而GL-302式较大，排放刺激性烟雾的时间较长，排出的CN 浓烟可覆盖较大的地域。
",50毫米,NULL
爆炸物,手榴弹,M进攻型手榴弹和MD防御型手榴弹,NULL,NULL,{'$oid': '5cc93420831b973d657f24ca'},NULL,法国,法国洛斯费尔德工业公司,NULL,150毫米,NULL,"
法国洛斯费尔德工业公司研制的M手榴弹是一种用于进攻战斗的进攻 型手榴弹，主要靠爆炸后产生的冲击波杀伤距炸点较近的有生目标或破坏工事 及建筑。在M手榴弹上增加一个预制破片套筒后即成为MD防御型手榴弹。MD防御型手榴弹主要用于防御作战，爆炸后可产生近千个0.4g左右的杀伤破 片，杀伤半径可达5m以上。两种手榴弹还可配装带尾翼的尾管组件，成为枪榴弹，用步枪发射。
",48毫米,NULL
爆炸物,手榴弹,法国F－1 M1915型手榴弹,NULL,NULL,{'$oid': '5cc93420831b973d657f24cb'},NULL,法国,NULL,NULL,90毫米,0.57千克,"
1915型的发火装置非常简单，将保险帽拔掉，头向下在硬物上敲一下活塞顶部，引然了雷管内的发火药，有3到4秒的延时给投手投抛。  这种击发式引信的缺点就像以上的意大利手榴弹一样很不保险，就算戴上保险帽也同样叫人不放心，剧烈碰撞时很可能引燃雷管内的迟缓性发火药造成事故。解决办法是在活塞中部打空，插上插销，这样就是不戴安全帽也不会击发引信。
",NULL,NULL
爆炸物,手榴弹,PRB NR446式进攻型手榴弹,NULL,NULL,{'$oid': '5cc93420831b973d657f24cc'},NULL,比利时,比利时PRB公司,NULL,85毫米,NULL,"
PRB NR446式进攻型手榴弹主要利用弹药爆炸后在一定范围内所形成的冲击波杀伤有生目标或破坏在进攻战斗中的其他障碍。该弹与PRBNR423 式攻防两用手榴弹外形尺寸完全一样，只是结构、质量和颜色、标志不同。
",50毫米,B炸药
爆炸物,手榴弹,MB-315式手榴弹,NULL,NULL,{'$oid': '5cc93420831b973d657f24cd'},NULL,巴西,巴西康多尔化学工业公司,NULL,97毫米,NULL,"
MB-315式手榴弹是由巴西康多尔化学工业公司研制和生产的，它是典型的双用途手榴弹，目前仍在装备使用。
",47毫米,NULL
爆炸物,手榴弹,HG80式小型杀伤手榴弹,NULL,NULL,{'$oid': '5cc93421831b973d657f24ce'},http://images.huanqiu.com/sarons/2014/01/f29b7a77631c5a974a3d7147b92d3071.jpg,奥地利,奥地利阿杰斯机电配件有限公司,1980年,76毫米,NULL,"
HG80式小型杀伤手榴弹是奥地利阿杰斯机电配件有限公司于1980年研制成功的一种防御型手榴弹，主要用于防御作战，杀伤有生目标，装备对 象主要是特种兵和参与巷战的部队。该弹现在出口。
",40毫米,NULL
爆炸物,手榴弹,GL-301式和GL-302式催泪手榴弹,NULL,NULL,{'$oid': '5cc93421831b973d657f24cf'},NULL,巴西,巴西联邦共和国康多尔化学工业公司,NULL,148毫米,NULL,"
GL-301式和GL-302式催泪手榴弹是由巴西联邦共和国康多尔化学工业公司生产的用于防暴的一种催泪手榴弹。GL-302式较GL-301式手榴弹外形近似，内部结构相同。但排放刺激性烟雾的时间较短，排出的CN浓烟可覆盖较小的地域。
",67毫米,NULL
爆炸物,手榴弹,吕歇尔LU213式和LU216式手榴弹,NULL,NULL,{'$oid': '5cc93421831b973d657f24d0'},NULL,法国,法国吕歇尔公司,NULL,94毫米,NULL,"
吕歇尔LU213式和LU216式手榴弹是法国吕歇尔公司研制的，现由 法国地面武器工业集团生产。除这两种手榴弹外，吕歇尔公司还研制了吕歇尔 LU213式演习手榴弹和LU219PRAC训练手榴弹。
",52毫米,B炸药
爆炸物,手榴弹,NR20C1式手榴弹,NULL,NULL,{'$oid': '5cc93422831b973d657f24d1'},NULL,荷兰,荷兰欧洲金属公司,NULL,104.5毫米,NULL,"
NR20C1式手榴弹是荷兰欧洲金属公司为荷兰皇家陆军研制的。 目前该弹仍在生产，并装备荷兰皇家陆军。
",61毫米,B炸药
爆炸物,手榴弹,NR14式催泪手榴弹,NULL,NULL,{'$oid': '5cc93422831b973d657f24d2'},NULL,荷兰,NULL,NULL,158毫米,NULL,"
NR14式催泪手榴弹是由荷兰生产，用于防爆的手榴弹。
",73毫米,NULL
爆炸物,手榴弹,NV-40式手榴弹,NULL,NULL,{'$oid': '5cc93423831b973d657f24d3'},NULL,荷兰,荷兰克鲁依索恩NWM公司,NULL,57毫米,NULL,"
NV-40式手榴弹于1965年研制成功，是当今世界上曾在战场上使用过的一种体积最小、质量最小的手榴弹，又把它称之为V40微型手榴弹。该手榴 弹可用于进攻战斗，也可用于防御战斗，主要依靠爆炸破片和冲击波杀伤有生目标。该弹除用手投掷外，还可装上尾管用步枪和空包弹发射。该手榴弹曾装备荷兰陆军使用，1981年停止生产。
",30毫米,B炸药
爆炸物,手榴弹,HG85式杀伤手榴弹,NULL,NULL,{'$oid': '5cc93423831b973d657f24d4'},NULL,奥地利,奥地利阿杰斯机电配件有限公司,NULL,96毫米,NULL,"
HG85式杀伤手榴弹由HG79式手榴弹进一步改进而来，是HG手榴弹系列中尺寸中等的手榴弹。该弹现已出口到远东一些国家。
",50毫米,喷脱立特
爆炸物,手榴弹,PO-1手榴弹,NULL,NULL,{'$oid': '5cc93423831b973d657f24d5'},NULL,西班牙,NULL,NULL,NULL,NULL,"
这种型号手榴弹在冷战时西班牙国民卫队仍在使用，当然现在早已淘汰掉了。可以算是一种很不安全的手榴弹。
",NULL,NULL
爆炸物,手榴弹,LAFFITE手榴弹,NULL,NULL,{'$oid': '5cc93423831b973d657f24d6'},NULL,意大利,NULL,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,手榴弹,82式手榴弹系列,NULL,NULL,{'$oid': '5cc93424831b973d657f24d7'},NULL,中国,NULL,NULL,100毫米,NULL,"
82式手榴弹系列由82－1、82－2、82－3和82－2式全塑无柄钢珠手榴弹组成，前3个弹种都是在1982年完成设计定型的，82－2式全塑无柄钢珠手榴弹是1986年设计定型的，因而又称为86式手榴弹，除两种82－2式手榴弹进行了批量生产外，其余几个弹种也是定型后便转入了技术储备。
",48毫米,TNT
爆炸物,手榴弹,4式陶制手榴弹,NULL,NULL,{'$oid': '5cc93424831b973d657f24d8'},NULL,日本,日本海军技术局,NULL,NULL,NULL,NULL,NULL,NULL
爆炸物,手榴弹,S.R.C.M(ROMA)手榴弹,NULL,NULL,{'$oid': '5cc93424831b973d657f24d9'},NULL,意大利,NULL,NULL,79毫米,0.2千克,"
s.r.c.m(ROMA)攻击型手榴弹；全名是Societa-Romana-Costruzione-Meccaniche，又称罗马手榴弹，全重200克，弹壳为铁制，高79mm，内装43克TNT炸药，是一种高杀伤攻击型手榴弹。西班牙内战时期，意大利支援法西斯多明哥政府军军火中一部份，意军也大量使用过。
",NULL,NULL
爆炸物,手榴弹,城堡手榴弹,NULL,NULL,{'$oid': '5cc93424831b973d657f24da'},NULL,意大利,NULL,NULL,100毫米,NULL,"
这种手榴弹不是正规兵工厂产品，但并非家庭作坊土制。使用最广泛的是二战时期意大利和西班牙游击队。由于弹体呈圆柱形，被当时西班牙游击队称为城堡形手榴弹。有两种形式，内装黑火药并混合沙子的是进攻型，装有TNT和铁钉的是防守型。弹壳为马口铁制，全重大概400克，顶部有9公分长的引信。
",NULL,NULL
爆炸物,手榴弹,OTO手榴弹,NULL,NULL,{'$oid': '5cc93424831b973d657f24db'},NULL,意大利,NULL,NULL,86毫米,NULL,"
意大利制，除提供西班牙法西斯军队外也大量装备本国军队。这个牌子的手榴弹在当时意军中臭名昭彰，因为安全性能不良，会走火爆炸。
",NULL,NULL
爆炸物,手榴弹,F-1手榴弹,碰炸式引信,NULL,{'$oid': '5cc93425831b973d657f24dc'},NULL,法国,NULL,1915年,130毫米,0.6千克,"
F-1手榴弹是法国在1915年设计成功并装备一次大战参战部队。手榴弹的外壳为铁制，内装200克的黄色混合炸药，但因为是攻击型，外壳薄而光滑弹壳厚并有深深的刻纹，象个小的凤梨。刻纹的作用除了方便持握外也使弹壳在爆炸时更容易地破裂成碎片，对进攻的敌人造成更大的杀伤。
",55毫米,NULL
爆炸物,手榴弹,波兰1931式手榴弹,NULL,NULL,{'$oid': '5cc93425831b973d657f24dd'},NULL,波兰,NULL,1931年,112毫米,NULL,"
二次大战中，欧洲沦陷区里活动的反纳粹游击队除了英美等盟国支持的以外，还有打量的共产党游击武装。这些游击队使用的手榴弹除缴获德军的外，另有使用大量的类似苏制F-1的手雷，但从它们的发火引信来看，却同正规的F-1手榴弹有所不同，这就是波兰制的1931式手榴弹。产品分攻击型和防守型，攻击型编号B-1。图为苏军F-1手榴弹。
",NULL,NULL
爆炸物,手榴弹,RW705式催泪手榴弹,NULL,NULL,{'$oid': '5cc93425831b973d657f24de'},NULL,德国,德国狄那米特-诺贝尔公司,NULL,118毫米,NULL,"
RW705式催泪手榴弹是德国狄那米特－诺贝尔公司研制和生产的， 作为防暴武器使用。
",60毫米,NULL
