大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,研制时间,关注度,弹长,研发单位,简介,最大速度,弹径,弹重
导弹武器,地地导弹,NULL,DF-41“东风-41”（CSS-X-10）洲际弹道导弹,NULL,14000千米,惯性制导，星光制导，北斗导航,{'$oid': '5cc93368831b973d657f2109'},NULL,中国,1984年,NULL,16.5米,NULL,"
东风-41（DF-41，北约代号：CSS-X-10），是目前中国军方对外公布的战略核导弹系统中的最先进系统之一。采用三级固体运载火箭作为动力，最大射程可达约14,000公里，其载车能在公路进行机动，同时具有一定的越野性能。另一方面，该型导弹采用了电脑控制的惯性制导系统，这使得导弹的命中精度得到大幅提高。
",NULL,2.78米,63500千克
导弹武器,地地导弹,NULL,SM-65/ CGM-16“阿特拉斯”（Atlas）洲际弹道导弹,NULL,14484.095千米,全惯导系统,{'$oid': '5cc93369831b973d657f210a'},http://images.huanqiu.com/sarons/2013/11/17b7ea7213b715daddb40340ee760ac2.jpg,美国,1951年,NULL,25.146米,NULL,阿特拉斯（Atlas）是美国第一种服役的洲际弹道导弹，美国第一代洲际战略导弹，空军一级液体燃料单弹头洲际弹道导弹。美军编号SM-65/CGM-16。１９５５年初始设计，1959年9月定型生产，装备美国空军。,NULL,3.048米,14484.096千克
导弹武器,地地导弹,NULL,红箭10(AFT-10)重型反坦克导弹,NULL,NULL,NULL,{'$oid': '5cc93369831b973d657f210b'},http://images.huanqiu.com/sarons/2013/11/196cf65db1b30fe992775bb55cf72e83.jpg,中国,NULL,NULL,NULL,NULL,"
红箭10（闪电2号/AFT-10），为重型半主动激光制导反坦克导弹，据称跟美国的“海尔法”同一档次的重型反坦克导弹，也是武直10的配套产品。今后将会开发出一个使用各种不同导引头，包括红外成像、毫米波等在内的大家族。
",NULL,NULL,NULL
导弹武器,地地导弹,NULL,SM-62“蛇鲨”远程核巡航导弹,NULL,10200千米,NULL,{'$oid': '5cc93369831b973d657f210c'},NULL,美国,1949年,NULL,20.7米,NULL,"
“蛇鲨”SM-62是美国诺思罗普公司早期研制的一种大型地对地洲际巡航导弹，其主要作战使命是在大规模空袭中，先期摧毁敌军的以防空雷达为首的具有严重威胁效应的防空系统，确保后续轰炸机的有效渗透。
",NULL,NULL,27200千克
导弹武器,地地导弹,NULL,“大力神” 洲际弹道导弹,NULL,10140千米,NULL,{'$oid': '5cc93369831b973d657f210d'},NULL,美国,1956年,NULL,31米,马丁飞机公司,"
美国第二代洲际战略弹道导弹，主要用于攻击地面目标，如大型硬目标、核武器库等，1963年装备美国部队。它是美国核武器库中保存最久的一种液体火箭战略导弹，1987年退役。
",NULL,3.05米,997.9千克
导弹武器,地地导弹,NULL,MGM-1斗牛士（Matador）地对地巡航导弹 ,NULL,1130千米,Shanicle(Short Range Navigation Vehicle)制导系统,{'$oid': '5cc93369831b973d657f210e'},http://images.huanqiu.com/sarons/2013/11/d02f0b6d17f36c2ea035f0088caac8f3.jpg,美国,NULL,NULL,12.1米,格伦·L·马丁公司,"
MGM-1导弹，昵称斗牛士（Matador），是美国第一种自行研制的地对地巡航导弹。它的设计类似纳粹德国的V-1飞弹，但增设了用于修正航线的无线电控制系统，斗牛士导弹上使用了体积更小的涡轮喷气发动机，取代了V-1飞弹上笨重低效率的脉冲式喷气发动机。
",NULL,1.37米,5440千克
导弹武器,地地导弹,NULL,青峰地对地导弹,NULL,130千米,惯性导引,{'$oid': '5cc93369831b973d657f210f'},NULL,中国,1970年,NULL,6.4米,中山科学院,"
该型导弹于1982年进入服役，作为常规的防御性平台。是中山科学研究院于1970年代研制，类似前苏联FROG-7炮兵导弹以及美国MGM-52 Lance长矛导弹的战区短程弹道导弹（SRBM），短翼的配置设计使它更像FROG-7导弹。
",NULL,0.6米,1500千克
导弹武器,地地导弹,NULL,TM-76“马斯”地地巡航导弹 ,7.24米,1300千米,NULL,{'$oid': '5cc93369831b973d657f2110'},http://images.huanqiu.com/sarons/2013/11/799adb30f5b748e6119b3b62cc506aa3.jpg,美国,NULL,NULL,13.42米,美国洛克希德·马丁公司,"
“马斯”是美国洛克希德·马丁公司以TM-61A“斗牛士”导弹为基础加以改进和发展的一种中程地地巡航导弹。早期编号TM-61B，1958年被重新编号为TM-76，与“斗牛士”、“蛇鲨”同属美国第一代飞航式巡航导弹。
",NULL,NULL,6623千克
导弹武器,地地导弹,NULL,SM-64A超音速洲际巡航导弹,13米,10千米,NULL,{'$oid': '5cc9336a831b973d657f2111'},NULL,美国,1957年2月,NULL,26.7米,NULL,SM-64A工程代号G-38，是SM-64的放大型号，预装爆炸当量在400万吨的W-39热核弹头，和SM-64最大的区别是采用了全动式单垂尾，并且采用了梯形接近椭圆形的中单翼，导弹的弹体采用了高强度的钛合金和不锈钢制造，而且为了减少弹体内空间的浪费，采用了自行车式起落架。,NULL,NULL,54600千克
导弹武器,地地导弹,NULL,东风-2号（DF-2)中程地地战略导弹,NULL,1500千米,NULL,{'$oid': '5cc9336a831b973d657f2112'},http://images.huanqiu.com/sarons/2013/11/3fc89c594281630949579e819ac0656d.jpg,中国,1960年,NULL,20.9米,国防部第五研究院,"
东风-2（北约代号：CSS-1）是一种单级、液体推进剂、道路-机动、中程弹道导弹。由中国国防部五院（现中国运载火箭技术研究院，CALT）设计开发。东风二号是我国自行研制的第一种弹道导弹。
",NULL,1.65米,29800千克
导弹武器,地地导弹,NULL,LGM-118A“和平卫士”（Peacekeeper）洲际弹道导弹,NULL,11000千米,NULL,{'$oid': '5cc9336a831b973d657f2113'},http://images.huanqiu.com/sarons/2013/11/38dc85062ecdb8978135d1bdbe505d1e.jpg,美国,未知,NULL,21.6米,NULL,NULL,NULL,2.34米,86400千克
导弹武器,地地导弹,NULL,MGM-134“侏儒” Midgetman战略弹道导弹 ,NULL,11000千米,惯性，GPS,{'$oid': '5cc9336a831b973d657f2114'},NULL,美国,1983年,NULL,14米,NULL,"
“侏儒”固体洲际导弹是美国在1983年开始研制的第五代战略弹道导弹，主要用于攻击对方导弹发射井等目标，1992年导弹试飞成功。导弹采用轻型高级惯性参考球加中段和末段修正制导，使用两级或三级固体火箭发动机，配备MK21单弹头。单弹头内装有先进的突防装置，可自行机动以避开反弹道导弹的拦截。导弹用全封闭式加固的机动发射车运输，以公路机动发射为主。
",NULL,1.17米,13600千克
导弹武器,地地导弹,NULL,Midgetman“侏儒”战略弹道导弹,NULL,12000千米,轻型高级惯性参考球加中段和末段修正制导,{'$oid': '5cc9336b831b973d657f2115'},NULL,美国,1987年,NULL,16.15米,NULL,NULL,NULL,1.17米,16800千克
导弹武器,地地导弹,NULL, “民兵” 洲际弹道导弹,NULL,13000千米,NULL,{'$oid': '5cc9336b831b973d657f2116'},http://images.huanqiu.com/sarons/2013/11/08986a239849cd4f7ac229b2fa2990b5.jpg,美国,1970年,NULL,18.26米,NULL,"
共有三型，其中民兵3型是当前美国陆基核力量的主力，并计划改进服役到2020年左右。“民兵3”是美国第一处装分导式多弹头的洲际弹道导弹，1970年开始装备美国空军，1975年完成550枚的部署任务，1978年11月结束生产。
",NULL,1.86米,35400千克
导弹武器,地地导弹,NULL,BGM-109G战斧陆射巡航导弹,NULL,2500千米,惯性制导,{'$oid': '5cc9336b831b973d657f2117'},NULL,美国,1977年10月,NULL,5.56米,NULL,"
美国空军地面机动式战略巡航导弹，代号BGM-109G，是战斧海基巡航导弹的陆基发展改进型。导弹成本价200万美元，计划总产量为560枚。
",NULL,0.527米,1200千克
导弹武器,地地导弹,NULL,J-201型反坦克导弹,NULL,2千米,NULL,{'$oid': '5cc9336b831b973d657f2118'},NULL,中国,1962年,NULL,NULL,北京工业大学（现北京理工大学）,"
J-201型反坦克导弹作为我国的第一代反坦克导弹，虽说没有投入大批量生产，但正是通过这型导弹的全面研制工作，为我国兵器科研人员积累了经验，锻炼了人才，为随后的”红箭-73“研制打下了坚实的基础。该型反坦克导弹在1978年全国科学技术大会上，忽的”全国科学大会奖”，参与研制人员获得国家的表彰奖励。
",NULL,NULL,NULL
导弹武器,地地导弹,NULL,特萨姆（TSSAM）AGM-137三军防区外攻击导弹,NULL,NULL,NULL,{'$oid': '5cc9336b831b973d657f2119'},NULL,美国,1986年,NULL,4米,诺斯罗普公司,"
特萨姆（TSSAM）AGM-137三军防区外攻击导弹是诺斯罗普公司作为主承包商于1986年开始为美国陆/海/空三军研制的新一代通用防区外攻击导弹，1991年6月首次披露以“宝石动力”(Pave Mover)、“哈夫旗”(Have Flag)和“高级锦旗”(Senior Pennant)命名的该密秘导弹关键技术项目的细节。1988年选定波音公司作为第2主承包商参予研制。1992年6月开始飞行试验，原计划1998年开始服役，生产总数6650枚。1994年被美国国防部取消，转而研制低成本的“贾斯姆”(JASSM)联合防区外空地导弹。
",NULL,NULL,1040千克
导弹武器,地地导弹,NULL,“猎豹”（Ingwe）反坦克导弹,NULL,5千米,NULL,{'$oid': '5cc9336b831b973d657f211a'},NULL,南非,2002年,NULL,1.75米,南非迪纳尔公司,"
“猎豹”反坦克导弹是一种多用途短程到远程反坦克导弹，迪纳尔公司2002年8月对10枚加装了新型先进抗电磁干扰软件的“猎豹”反坦克导弹实施了发射测试，导弹射程5000米，速度超过200千米/小时，测试论证了“猎豹”反坦克导弹在不同的海拔高度的机动性能。
",NULL,0.127米,28.5千克
导弹武器,地地导弹,NULL,米兰（MILAN）反坦克导弹,NULL,2千米,目视瞄准、红外半自动跟踪、导线传输指令,{'$oid': '5cc9336c831b973d657f211b'},http://images.huanqiu.com/sarons/2013/11/0188488dce3b7c803cbbe3bc5a6a87e9.jpg,英国,1963年,NULL,1.2米,NULL,"
米兰反坦克导弹是法德1963年研制的第二代轻型反坦克导弹，1972年服役，1974年装备部队。地面发射，采用目视瞄准、红外半自动跟踪、导线传输指令制导方式。1983年作了改又进，改进后的“米兰”-2称为“米兰”-2T。
",NULL,0.116米,27千克
导弹武器,地地导弹,NULL,杰里科-2（Jericho-2）远程弹道导弹,NULL,7800千米,NULL,{'$oid': '5cc9336c831b973d657f211c'},http://images.huanqiu.com/sarons/2013/11/4b244fe51b816a9adda5b14d610230bf.jpg,以色列,1977年,NULL,14米,NULL,"
杰里科-2导弹使用二级发动机的设计，因此它的射程有了很大提高，除了覆盖埃及和叙利亚全境，还覆盖了整个伊拉克和科威特，也可以打击到沙特阿拉伯的首都利雅得，从而具备了对主要阿拉伯国家的战略打击能力。
",NULL,1.56米,26000千克
导弹武器,地地导弹,NULL,杰里科-2B（Jericho-2B）弹道导弹,NULL,3500千米,惯性制导,{'$oid': '5cc9336c831b973d657f211d'},NULL,以色列,1979年,NULL,14米,NULL,"
其最大射程应该在3000千米以内，这个射程覆盖了沙特全境，足以对伊朗主要大城市进行核打击。
",NULL,1.56米,26000千克
导弹武器,地地导弹,NULL,ZT-3“雨燕”重型反坦克导弹,NULL,5千米,NULL,{'$oid': '5cc9336c831b973d657f211e'},NULL,南非,1970年,NULL,1.75米,南非丹尼尔公司,"
“雨燕”导弹是对付爆炸反应式装甲的高手，ZT-3“雨燕”导弹由南非丹尼尔公司研发。约旦皇家陆军在为本国研发的“猎豹”战车选配武器时放弃美国推荐的“陶”式重型反坦克导弹，转而选择名不见经传的南非ZT-3“雨燕”重型反坦克导弹。约旦军购的动向有可能影响到其他阿拉伯富国。南非“雨燕”导弹在约旦“成功登陆”，也是它进军阿拉伯国家军火市场的好兆头。南非雨燕反坦克导弹性能已超美国陶式。
",NULL,NULL,28.5千克
导弹武器,地地导弹,NULL,中程催格特反坦克导弹 ,NULL,2千米,激光驾束,{'$oid': '5cc9336c831b973d657f211f'},NULL,英国,1988年,NULL,1米,NULL,"
法、德、英三国联合研制的第三代反坦克导弹。1988年9月开始工程研制，有“中程催格特”和“远程催格特”两种型号，预计将先后在2002年和2005年服役，用于对付新型主战坦克及重型装甲车辆。“中程催格特”是一种兵组携带的反坦克导弹，也能装在多种车辆上发射。
",NULL,0.15米,11千克
导弹武器,地地导弹,NULL,KN-02近程弹道导弹,NULL,70千米,NULL,{'$oid': '5cc9336d831b973d657f2120'},NULL,朝鲜,1996年,NULL,6.4米,NULL,"
KN-02型导弹是俄罗斯SS-21的改进型号，主要是在原有型号的基础上提高了射程。由于使用固态燃料，该型号导弹更容易储存和运输，而且发射速度比液态燃料导弹更快。KN-02的名字的来源于金成一（KimSeong-il)，他是设在首尔的韩国参联会信息情报主管，这个名字就是在国会的一次闭门会议上取的。
",NULL,0.65米,2000千克
导弹武器,地地导弹,NULL,“大地”1 导弹,NULL,150千米,捷联式惯性,{'$oid': '5cc9336d831b973d657f2121'},NULL,印度,1983年,NULL,9米,NULL,"
“大地”导弹又叫“普里特维”导弹，是一种战场支援用的远程炮兵地地战术导弹。“大地”是印度80年代初开始研制的一种战术支援导弹系统，1995年装备部队，导弹有SS-150、SS-250和SS-450三种型号，采用捷联式惯性制导系统，推进装置为单级双室液体火箭发动机，可有效载荷和射程要求对发动机进行调节。可配用核、常规子母弹等5种弹头，发射车为捷克“太脱拉”（8×8）卡车底盘。可携带常规弹头和轻型核弹头。
",NULL,1.1米,4000千克
导弹武器,地地导弹,NULL,“哈塔夫”-4弹道导弹,NULL,750千米,捷联式惯性制导系统,{'$oid': '5cc9336e831b973d657f2122'},NULL,巴基斯坦,1999年,NULL,12米,NULL,"
导弹采用捷联式惯性制导系统，其火控计算机能在飞行末段快速修正，从而简化导弹发射前的风力修正等程序。据称该导弹在最大射程时的命中误差只有50米。美国认为该导弹能躲避”爱国者”PAC—2CEM反导弹系统的拦截。
",NULL,1米,95000千克
导弹武器,地地导弹,NULL,哈塔夫-1（Hatf-I ）地地导弹,NULL,70千米,NULL,{'$oid': '5cc9336e831b973d657f2123'},NULL,巴基斯坦,1989年,NULL,6米,NULL,"
作为巴基斯坦导弹工业的起步，“哈塔夫”-1做工粗糙、拙劣，性能低下。即使经过改进，作战能力仍然有限。而且“哈塔夫”-1也不能携带核弹头，极大影响到了其性能的发挥。但千里之行始于足下，“哈塔夫”-1给巴基斯坦的导弹工业开了一个好头，使它在日后有了飞快的发展。从这个角度上来讲，“哈塔夫”-1很好的完成了它的历史使命和技术使命。
",NULL,0.56米,1500千克
导弹武器,地地导弹,NULL,“哈塔夫”-6/“沙欣“-2弹道导弹,NULL,2500千米,惯性制导方式,{'$oid': '5cc9336e831b973d657f2124'},NULL,巴基斯坦,1998年,NULL,17米,NULL,"
“沙欣”-2是巴基斯坦陆军最具威慑力的“杀手锏”。该弹射程达2500千米，可覆盖印度大多数目标。据巴基斯坦国家发展联合体负责人萨马尔·穆巴拉克·穆拉德博士称，“沙欣”-2从1998年底开始研制，由于技术储备充分，2000年3月23日伊斯兰堡阅兵式上就展出了导弹样品。2002年1月印度连续试射“阿格尼”-1型和“普利特维”SS-250近程导弹。巴基斯坦随即在3月份试射了“沙欣”-2弹道导弹，2004年3月9日又进行了第二次发射。该导弹采用从乌克兰引进的MAZ-547V运输/发射车，为12轮驱动，车体明显比“沙欣”-1型发射车宽大，该车也曾作为苏联SS-20的发射平台。导弹点火前MAZ-547V发射车需先用6个液压千斤顶撑起车体，5-10分钟内完成起竖发射。
",NULL,1.4米,14000千克
导弹武器,地地导弹,NULL,玄武-3远程巡航导弹,NULL,1500千米,NULL,{'$oid': '5cc9336e831b973d657f2125'},NULL,韩国,2006年,NULL,12米,NULL,"
玄武-3型巡航导弹，是韩国2006年研发，2009年投入批量生产，射程1000公里，打击范围覆盖朝鲜全境，可达日本和中国部分地区。 韩国2009年频频升级导弹，此前才传出韩国为海军最先进的“宙斯盾”驱逐舰购买美国制造的“标准-2”导弹，如今，又已将射程1000公里的巡航导弹“玄武－3”部署好。
",NULL,0.8米,13000千克
导弹武器,地地导弹,NULL,“哈塔夫”-3弹道导弹,NULL,290千米,NULL,{'$oid': '5cc9336e831b973d657f2126'},NULL,巴基斯坦,1997年,NULL,9.64米,NULL,"
哈塔夫Hatf-3于1987年开始研制，采用中国的DF-11/M-11(北约称为CSS-7)技术。该导弹又名加纳维(Ghaznavi)，采用两级火箭发动机，是一种短程、固体推进剂、道路机动、单弹头弹道导弹，可携带包括核弹头在内的各种弹头。导弹长10米，发射重量6500公斤，其中有效载荷重500公斤，最大射程290公里。
",NULL,0.8米,500千克
导弹武器,地地导弹,NULL,“高里”-1弹道导弹,NULL,1700千米,惯性制导,{'$oid': '5cc9336f831b973d657f2127'},NULL,巴基斯坦,1998年,NULL,15.9米,NULL,NULL,NULL,1.35米,12000千克
导弹武器,地地导弹,NULL,“烈火”5（Agni-V ）远程弹道导弹,NULL,5000千米,NULL,{'$oid': '5cc9336f831b973d657f2128'},NULL,印度,NULL,NULL,17.5米,NULL,"
前国防研究与发展组织主任纳塔拉吉于2007年宣布烈火-3弹道导弹升级版本，即烈火-5弹道导弹，将于4年内完成，射程距离约5,000公里。相较于较早期的烈火系列弹道导弹，烈火-5采用储运发射箱，在运输及储存上更为便利。
",NULL,2米,50000千克
导弹武器,地地导弹,NULL,“烈火”4（Agni-IV）弹道导弹,NULL,4000千米,NULL,{'$oid': '5cc9336f831b973d657f2129'},NULL,印度,NULL,NULL,20米,NULL,"
这种型号的导弹是“烈火2型”改进型，射程可达3000公里，研发其的目的是弥补“烈火2型”和“烈火-3”之间的射程差距。“烈火-4”导弹应是印度所有导弹家族中射程最远的导弹。
",NULL,1.2米,17000千克
导弹武器,地地导弹,NULL,"""霍特""（HOT）反坦克导弹 ",NULL,4.3千米,有线制导或红外自动遥控,{'$oid': '5cc9336f831b973d657f212a'},NULL,德国,1964年,NULL,1.3米,NULL,"
1963年，法国和德国两政府签署双边合同，决定研制新型反坦克导弹“霍特”。1973年“霍特”反坦克导弹设计定型，于1977年装备部队。除法、德陆军装备外，先后向埃及、科威特、叙利亚和沙特阿拉伯等十几个国家出售。
",NULL,0.15米,24.5千克
导弹武器,地地导弹,NULL,“烈火”2弹道导弹,NULL,3000千米,惯性导航系统,{'$oid': '5cc9336f831b973d657f212b'},NULL,印度,20世纪90年代,NULL,21米,印度国防研发组织,“烈火”系列导弹是印度战略威慑主力之一。“烈火”-2是印度陆军“烈火”系列弹道导弹中的重要型号。“烈火”家族将拥有四种射程不同的型号：“烈火-1”、“烈火-2”、“烈火-3”和“烈火-4”。有效载荷重量为1000公斤，采用固体燃料。该导弹可以公路或者铁路机动发射。,NULL,1.3米,16000千克
导弹武器,地地导弹,NULL,FGM-148标枪导弹,NULL,2.5千米,红外线成像导引（IIR），射后不理,{'$oid': '5cc9336f831b973d657f212c'},NULL,美国,1989年,NULL,1.1米,美国洛克希德·马丁公司和雷锡恩公司,"
FGM-148标枪导弹（FGM-148 Javelin）是美国的一种单兵反坦克导弹，被视为世界上第一种“发射后不管”的中程反坦克导弹，此系统对装甲车辆采用顶部攻击的飞行模式，攻击一般而言较薄的顶部装甲，但也可也用直接攻击模式攻击建筑物或防御阵地，直接攻击模式时此导弹也可以用以接战直升机。由美国得克萨斯仪器公司和马丁公司合作研制的。
",NULL,0.127米,22.3千克
导弹武器,地地导弹,NULL,埃弗格姆反坦克导弹,NULL,15千米,NULL,{'$oid': '5cc9336f831b973d657f212d'},NULL,美国,未知,NULL,1.94米,雷锡恩公司,NULL,NULL,0.166米,53.3千克
导弹武器,地地导弹,NULL,陶式反坦克导弹,NULL,3.75千米,有线传输指令制导,{'$oid': '5cc93370831b973d657f212e'},http://images.huanqiu.com/sarons/2013/11/cb0db3b1892295cf31e38771897d2e4a.jpg,美国,NULL,NULL,1.164米,美国休斯公司,BGM-71陶式导弹（BGM-71 TOW）是美国的一种反坦克导弹。TOW是英文管射（Tube launched）、光学追踪（Optically tracked）和线控导引（Wire command link guided）的缩写。TOW的生产开始于1970年，是现在世界上最广泛使用的反坦克导引导弹，目前生产的TOW可以贯穿任何已知坦克的装甲。,NULL,0.152米,18.74千克
