制造商,生产年限,类型,名称,大类,数量,有效射程,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
Ceska Zbrojovka, 1995年,手枪,CZ 100/101手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a4c'},NULL,捷克,1.29千克,NULL,NULL,NULL,NULL,手动,9毫米,13发,177毫米
弥勒公司（Miroku）,1967年-1984年,手枪,弥勒 0.38英寸特警用转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a4d'},http://images.huanqiu.com/sarons/2013/08/300ce15c40693d535a32b57e94cf1f37.jpg,日本,0.97千克,(4.8分),NULL,NULL,该枪是为装备日本警察部队而研制的。1945年美国占领日本后，日本警察部队装备的是转轮手枪，后来又配备了自动手枪，因此这种转轮手枪几乎都以商标“FIG”和“Liberty Chief”出口到美国。这种转轮手枪价格低廉，操作方便，大约服役了20年。,转轮枪支,9.56毫米,5发,195毫米
西班牙阿斯特拉公司,1980年-1995年,手枪,阿斯特拉357警用转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a4e'},http://images.huanqiu.com/sarons/2013/08/4f8b423d20ad3f96b644a6a5c4261b39.jpg,西班牙,1千克,NULL,NULL,NULL,阿斯特拉357转轮手枪，是上世纪80年代，西班牙阿斯特拉公司生产的一款警用型转轮手枪。该型枪是早期型号的替代品，90年代停止生产。如今，该型枪的制造商已倒闭。,转轮枪支,9毫米,6发,212毫米
德国弗里德里希·皮克特公司,1895年-1945年,手枪,亚米纽斯M10转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a4f'},NULL,德国,0.92千克,NULL,NULL,NULL,"
亚米纽斯M10转轮手枪,是19世纪90年代至1945年期间德国弗里德里希·皮克特公司生产的诸多廉价转轮手枪中的一款。虽然价格低廉、构造简单，但用料讲究，曾大量生产并投入使用。
",转轮枪支,7.62毫米,5发,155毫米
西班牙阿斯特拉公司,1973年-1995年,手枪,阿斯特拉M960转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a50'},NULL,西班牙,1.15千克,NULL,NULL,NULL,阿斯特拉M960转轮手枪，是上世纪70年代由西班牙阿斯特拉公司生产的一款双动式转轮手枪。可以说世界手枪家族中的老字辈，西班牙阿斯特拉系列手枪中的一员。,转轮枪支,9.65毫米,6发,241毫米
德国亚米纽斯公司,1970年至今,手枪,魏劳奇 HW-9转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a51'},http://images.huanqiu.com/sarons/2013/08/ce6d6b14453ecc7f3b4e03bbe19a8ed3.jpg,德国,1.1千克,NULL,NULL,NULL,魏劳奇HW-9转轮手枪，由上世纪70年代德国亚米纽斯公司研制，使用0.38英寸枪身配以0.22英寸口径的枪管，因此质量较大，射击精确。加之价格较低，该枪及其变型（枪管长度、瞄具和握把各不相同）在西欧各国有一定的市场。,转轮枪支,5.58毫米,6发,295毫米
西班牙阿斯特拉公司,1958年至1973年,手枪,阿斯特拉-卡迪克斯转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a52'},http://images.huanqiu.com/sarons/2013/08/e67bc468a8ef5357ade0728e1121b744.jpg,西班牙,0.715千克,NULL,NULL,NULL,卡迪克斯，是上世纪五六十年代，西班牙阿斯特拉公司生产的一款双动型转轮手枪。该型枪有4种不同的口径，各型号的尺寸也略有不同。如今，该型枪早已停产，生产商也已经倒闭。,转轮枪支,5.58毫米,5发,229毫米
NULL,1939年-1985年,手枪,Lahti L-35 手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a53'},http://images.huanqiu.com/sarons/2013/07/df2d6a7652c3881c6fe1099b61cffd5a.jpg,芬兰,1.2千克,NULL,NULL,NULL,NULL,手动,9毫米,8发,245毫米
法国曼纽因公司,NULL,手枪,曼纽因MR73转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a54'},http://images.huanqiu.com/sarons/2013/08/c62be97db612c0c742377d0d967cfacc.jpg,法国,0.88千克,NULL,NULL,NULL,MR-73是由法国曼纽因公司生产的双动式左轮手枪。具有比赛级的射击精度，采用双动式板机的设计，并能够以单动式或双动式进行射击。每支MR-73在出厂前都必需经过超过12小时的手工装配，而在价格方面比起美国制造的品牌贵出50％。,转轮枪支,9毫米,6发,195毫米
巴西陶鲁斯公司,NULL,手枪,陶鲁斯76转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a55'},NULL,巴西,1.2千克,NULL,NULL,NULL,陶鲁斯76转轮手枪，是巴西陶鲁斯公司研制的一款双动式转轮手枪。该型枪有竞技型和勤务型两种型号，配用0.32英寸史密斯-韦森长枪弹。陶鲁斯76转轮式手枪已经停产。,转轮枪支,8.12毫米,6发,284毫米
前俄国图拉兵工厂、伊热夫斯克机械厂,1895年至1942年,手枪,俄罗斯M1895纳甘转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324c831b973d657f1a56'},http://images.huanqiu.com/sarons/2013/08/cd0f4ebd991f820aa6cddde7916572da.jpg,苏/俄,0.75千克,NULL,NULL,义和团运动日俄战争第一次世界大战1917年俄国革命俄国内战西班牙内战第二次世界大战苏联卫国战争国共内战朝鲜战争越南战争,纳甘M1895（俄语：Револьвер системы Нагана，意为：纳甘系统左轮手枪）是1895年，由比利时工业家莱昂·纳甘为俄罗斯所研发的7发双动式左轮手枪，发射7.62×38毫米弹药。与大部份左轮手枪的运作原理不同，此枪采用了特殊的气体密封式设计。在手枪的击锤被拉低后其弹巢会向前移动，同时亦封闭了弹巢与枪管之间的空隙，增加了子弹的初速，并容许武器能够被抑制（这种功能在一般的左轮手枪并不常见）。纳甘左轮手枪更获多国军警采用。,转轮枪支,7.62毫米,7发,230毫米
NULL,1968年,手枪,67式手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324d831b973d657f1a57'},http://images.huanqiu.com/sarons/2013/07/4498ef02394dafc25984c4b1251e5f12.jpg,中国,1.1千克,NULL,NULL,越南战争,"
该枪是64式的改进型，是一只中国制造的微声手枪。67式7.62毫米微声手枪作为一种特殊用途手枪，主要装备侦察人员及其他特工人员，用于执行特种战斗任务。该枪于1956年开始研制，1967年设计定型。该枪消声原理采用阻性消声和屏蔽消声，具有比较好的消声效果。实际使用表明：枪口噪音较小，且具有微烟、微光等特性。该枪结构紧凑、外形尺寸较小、携带方便、射击精度较好、操作简单，是侦察人员及其他特业人员不可多得的一支特种手枪。
",手动,7.62毫米,9发,226毫米
NULL,1970年至今,手枪,Liama Comanche转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324d831b973d657f1a58'},http://images.huanqiu.com/sarons/2013/08/bd9a07aaff0171d46e0036c77188f938.jpg,西班牙,1.035千克,NULL,NULL,NULL,"
该枪为典型的现代常规转轮手枪，完全采用史密斯-韦森设计风格，确实是一款卓越的手枪。用料考究，打磨精细，畅销欧洲，大量出口。其制造商已倒闭，但生产了多种型号，这些型号之间只是尺寸和口径稍有不同。
",转轮枪支,9毫米,6发,235毫米
NULL,1975年-1990年,手枪,MAB PA-15手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324d831b973d657f1a59'},http://images.huanqiu.com/sarons/2013/07/c4121fd113225cd80161b221200d05d7.jpg,法国,1.1千克,NULL,NULL,NULL,"
MAB PA-15手枪是20世纪60年代法国军方采用的一种军用手枪，同时也供商业出售。特别之处是采用旋转枪管来闭锁枪管和套筒以便发射，复进时枪管回转以松开套筒。还生产了一种长枪管型训练手枪。
",手动,9毫米,15发,203毫米
史密斯-韦森公司,1955年,手枪,史密斯-韦森M29/629转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324d831b973d657f1a5a'},http://images.huanqiu.com/sarons/2013/08/6ea149e4b3a528ed023e0fce88f1c5cc.jpg,美国,1.5千克,NULL,NULL,NULL,"
1955年，史密斯-韦森研制及生产了M29型转轮手枪、采用“N”型碳钢枪身，是第一款0.44英寸马格努姆转轮手枪，发射火力强大的.44 Remington Magnum 雷明顿马格南或火力相对较弱的.44 S&W Special这二种子弹。1972年，它被好莱坞发现，赢得了“世界上最大威力手枪”的称号。采用不锈钢枪身的M629于1979年首次生产。两种型号都有不同枪型和不同长度的枪管，但早期型号采用隐藏退壳杆，而后来生产的M629的退壳杆放在枪管下方的凹槽中。称做“山地”轻枪管型号使用长102毫米(4英寸)枪管。它直到现在仍然因为是克林·伊斯威特主演的肮脏哈利系列电影的虚构角色和主角“肮脏”哈利·卡拉汉的招牌武器关系而声名大噪。
",转轮,11.18毫米,6发,353毫米
史密斯-韦森公司,1987年,手枪,史密斯-韦森625转轮手枪,枪械与单兵,5000,NULL,{'$oid': '5cc9324d831b973d657f1a5b'},http://images.huanqiu.com/sarons/2013/08/3eda3152ef7e984d9f224d2c1b7e486a.jpg,美国,1.276千克,NULL,NULL,NULL,"
625型转轮手枪采用“N”型不锈钢枪身，是1987年生产的基于M1917碳钢转轮手枪的限量版，共生产5000支。该枪发射0.45英寸ACP转轮手枪弹，可使用3发半月形弹夹或6发全月形弹夹完成装弹过程，使用全月形弹可极大提高再装填速度。1987年生产的枪型火力强大、可靠的双动限量版转轮手枪获得了极大成功，这促使史密斯-韦森公司将其编号625改为M1988。
",转轮,11.43毫米,6发,264毫米
以色列军事工业,1983年至今,手枪,沙漠之鹰手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324d831b973d657f1a5c'},http://images.huanqiu.com/sarons/2013/08/dc2baa945d002bdeb294efaa57d56185.jpg,以色列,1.7千克,NULL,NULL,NULL,"
沙漠之鹰手枪（希伯来文：נשר המדבר；英文：IMI Desert Eagle）是一种由以色列军事工业为麦格农研究所（Magnum Research，Inc.）所生产的一种半自动、气动式手枪。接着，以色列又先后推出了一系列可使用0.357 Magnum、0.41 Magnum、0.44 Magnum、0.440 Cor-bon、0.50 AE (Action Express)等弹药的改进型沙漠之鹰。
",半自动枪支,8.89毫米,9发,260毫米
德国瓦尔特公司,1988年一1998年,手枪,瓦尔特P88手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a5d'},http://images.huanqiu.com/sarons/2013/08/f3d4492340326d912c300813830d9bcd.jpg,德国,0.9千克,NULL,NULL,NULL,"
瓦尔特P88是1988年由德国瓦尔特公司的研制的一款半自动手枪。其主要特点是为士兵和执法人员使用而设计的高容量的双叠弹匣。1996年，瓦尔特公司开始生产造价更低、更小的P88紧凑型。瓦尔特P88也因其高精度和高品质，在收藏家和体育的射击运动员中间享有盛誉。
",半自动,9毫米,15发,187毫米
史密斯-韦森公司,1899年,手枪,史密斯-韦森军警用转轮手枪(M 10),枪械与单兵,800000,NULL,{'$oid': '5cc9324e831b973d657f1a5e'},NULL,美国,0.865千克,NULL,NULL,第一次世界大战第二次世界大战印度支那战争朝鲜战争越南战争波斯湾战争,"
该枪于1899年开始生产，经过改进，一直使用到今天。1902年前，退壳杆没有固定在前端，1902年以后使用熟悉的套节将退壳杆固定在前端。到1942年停产时，共生产了800000支，二战后作为“M10”重新投入生产。枪管从51到165毫米(2到6.5英寸)不等，其中102毫米和127毫米(4英寸和5英寸)枪管最常见。1952年推出了采用合金枪身的M12型，而1970年推出了采用不锈钢枪身的M64型。
",转轮,11.43毫米,6发,235毫米
NULL,1983年,手枪,坦福利奥TA90手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a5f'},http://images.huanqiu.com/sarons/2013/08/d034da05214a747c0da2c8f81a5a1696.jpg,意大利,1千克,NULL,NULL,NULL,"
该枪基于CZ-75的设计理念，但经过改进和变型，现已成为独创设计。最早出现的是标准型，战斗型与标准型唯一的区别在于保险装置的设计，战斗型可在“待击和闭锁”状态下携带。还有紧凑型标准型和紧凑型战斗型，它们比原型枪短25毫米，采用9发弹匣。该枪除使用9×19毫米巴拉贝鲁姆手枪弹外，还可使用9毫米IMl手枪弹、0.40英寸史密斯-韦森手枪弹、0.41英寸快枪弹、10毫米自动手枪弹和0.45英寸ACP手枪弹。
",NULL,11.43毫米,15发,202毫米
德国瓦尔特公司,NULL,手枪,瓦尔特PPK手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a60'},http://images.huanqiu.com/sarons/2013/08/c7d2324bd77eca32ee5f85c45be68d63.jpg,德国,0.58千克,NULL,NULL,NULL,"
瓦尔特PPK手枪是由德国瓦尔特公司于20世纪初研制的一款半自动手枪。该枪主要装备德国的便衣警察。瓦尔特PPK手枪是PP手枪的缩小型，两者的套筒座有所不同，但工作原理相同。和PP一样，其二战后型号尺寸略有加长。
",半自动枪支,7.62毫米,7发,148毫米
史密斯-韦森公司,1917年-1945年,手枪,史密斯-韦森M 1917转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a61'},http://images.huanqiu.com/sarons/2013/08/3e3d254b9389d88bcd2753257d5b3b1d.jpg,美国,1千克,NULL,NULL,NULL,"
与类似的柯尔特产品一样，M1917为标准的史密斯-韦森产品，经过改进，可发射最常见的0.45英寸自动手枪枪弹。装弹时使用半圆形弹夹，每个弹夹3发，使用2个弹夹可完成装弹过程。也可不使用弹夹进行装弹，这样更容易将枪弹放入准确位置，但将无法退出枪弹。该枪于20世纪20年代投放商业市场，并制造了一种名为“.45 Auto Rim”的特殊枪弹，该枪弹的底缘较厚，可填满转轮和固定膛口之间的空隙，但这种枪弹很多年前已不再被使用。
",转轮,11.43毫米,6发,274毫米
史密斯-韦森公司,1896年-1942年,手枪,史密斯-韦森手动退壳型转轮手枪,枪械与单兵,300000,NULL,{'$oid': '5cc9324e831b973d657f1a62'},http://images.huanqiu.com/sarons/2013/08/94f1ec0832532840a8186d04e15fdfe3.jpg,美国,0.505千克,NULL,NULL,NULL,"
0.32英寸手动退壳型是史密斯-韦森公司首款采用侧旋式转轮的转轮手枪，有三种型号，它采纳了警方和军方的改进建议，如现在大家熟悉的转轮闩和前置退壳杆。第三种型号增加了安全击锤阻铁，并改进了扳机机构。该枪深受欢迎，广泛用于警察部队和家庭防卫，三种型号的总产量超过300000支。
",转轮,8.128毫米,5发,190毫米
史密斯-韦森公司,1965年,手枪,M60转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a63'},NULL,美国,0.694千克,NULL,NULL,NULL,"
1965年，史密斯-韦森公司的第一支不锈钢型特种要员转轮手枪诞生了，其被命名为“M60”。它基于颇受欢迎的M.36官员专用转轮手枪而设计，具有防腐蚀特点，可避免武器贴身携带对烤蓝碳钢的腐蚀。在今天看来，不锈钢是很平常的材料，但在当年，它的出现令人耳目一新。第一批制造的M60表面十分光亮、耀眼，以至于当时的执法部门一直抵制使用。转年，表面经过亚光处理的M60就被生产出来。直到现在，M60仍然是一支非常优秀的转轮手枪。在越战期间，参战的美国军人尤其珍爱M60，因为它有非常好的抗锈蚀能力。M60同时得到警察的广泛认可。
",转轮,9.652毫米,5发,191毫米
德国瓦尔特公司,1929年至今,手枪,瓦尔特PP手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a64'},http://images.huanqiu.com/sarons/2013/08/0a13c40851436addda384c6d4de6a91a.jpg,德国,0.71千克,NULL,NULL,NULL,"
瓦尔特PP系列手枪，是1929年德国瓦尔特公司研制的一种反吹式半自动手枪。二战期间用于装备当时的德国军队、警察及纳粹的党卫军。
",半自动枪支,7.62毫米,8发,162毫米
德国卡尔·瓦尔特公司,1999年至今,手枪,瓦尔特P99手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324e831b973d657f1a65'},http://images.huanqiu.com/sarons/2013/08/1d242dbc8e2dd94259050011ac0cfb26.jpg,德国,0.69千克,NULL,NULL,NULL,"
瓦尔特P99手枪是由德国卡尔·瓦尔特公司研制的一款面向执法部门、安全部队和平民的一种半自动手枪。
",自动枪支,9毫米,15发,181毫米
以色列军事工业公司,1990年,手枪,杰里科941式手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a66'},http://images.huanqiu.com/sarons/2013/08/a9224d2a2f88be293a79fc4768add212.jpg,以色列,1千克,NULL,NULL,NULL,"
杰里科941式9毫米手枪是以色列军事工业公司推出的一种新型手枪。1991年初在9毫米口径基础上，又推出了10毫米等口径型号，主要供治安部队使用。
",自动枪支,9毫米,15发,207毫米
NULL,1980年,手枪,波兰P-83式手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a67'},NULL,波兰,0.73千克,NULL,NULL,NULL,"
P-83式双动手枪，口径9毫米，用于杀伤近距离有生目标。该枪于20世纪70年代末开始研制，旨在替代当时在波兰军队中服役的P-64式手枪。为降低制造成本，该枪大量使用金属冲压、焊接和锻造部件，但仍采用固定枪管后坐系统。扳机可单动和双动，外置保险杆处于保险状态时将释放待发击锤，同时将击针尾部放下，使其无法撞击枪膛中的枪弹。套筒后部左侧有枪弹上膛指示器，可通过观察和触摸感知。
",NULL,9毫米,8发,165毫米
史密斯-韦森公司,1887年-1940年,手枪,史密斯-韦森安全无击锤转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a68'},http://images.huanqiu.com/sarons/2013/08/4b9c64c74063ae7be6f8a2bd1236b0b6.jpg,美国,0.51千克,NULL,NULL,NULL,"
该枪与同时代标准双动型转轮手枪基本相同，但采用隐藏击锤设计(并非没有击锤)，握把后缘有握把保险杆。该枪深受欢迎，经多次改进，最终于1907年定型，一直生产到1940年。因各种原因，该枪俗称“柠檬榨汁机”。
",转轮,11.43毫米,6发,190毫米
NULL,1936年-1945年,手枪,拉德姆手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a69'},NULL,波兰,1.1千克,NULL,NULL,二战,"
这是一款出色的战斗手枪，1939以前为波兰军队生产。波兰被德国占领后，开始为德军生产，但质量逐渐下降。20世纪90年代重新投入生产，但不是作为制式手枪，而供收藏者收藏。与二战期间生产的型号相比，这些型号的唯一差别是进行了完美的抛光处理。
",NULL,9毫米,8发,211毫米
Łucznik Arms Factory（Łucznik武器工厂）,1964年-1984年,手枪,P-64手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a6a'},http://images.huanqiu.com/sarons/2013/08/b9d9c1e8b900d0c97aa6f00f61ec428b.jpg,波兰,0.635千克,NULL,NULL,NULL,"
P-64式9毫米手枪是波兰军队的制式手枪。在此之前，波兰军队装备前苏联的TT-33式手枪。P-64式手枪结构类似前苏联的马卡洛夫手枪，但也吸取了德国瓦尔特PP式手枪的一些特点。P-64式9毫米手枪采用自由枪机式工作原理，可单、双动击发。击发后，火药气体压力推动套筒弹底窝平面，使得套筒后坐，完成抽壳、抛壳等动作。抛壳挺和挂机柄合二为一。P-64式9毫米手枪的手动保险机柄在套筒左后方，显示红点为发射位置，红点被手动保险机柄挡住为保险状态。为便于手枪握持，该枪弹匣底部向前伸出了一个凸角。该枪采用机械瞄准具。使用9毫米马卡洛夫手枪弹。
",NULL,9毫米,6发,155毫米
德国瓦尔特公司,1938年至今,手枪,瓦尔特P38手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a6b'},http://images.huanqiu.com/sarons/2013/08/dab0aec83326000fb09c3b53ac67684e.jpg,德国,1.68千克,NULL,NULL,NULL,"
瓦尔特P38手枪，是德国瓦尔特公司在第二次世界大战前夕为服务德军所研制的一款9毫米半自动手枪。它的目的是要取代昂贵的鲁格P08，该型枪的生产于1942年结束。
",半自动枪支,9毫米,8发,213毫米
意大利伯莱塔公司,1953年-1990年,手枪,伯莱塔M951手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a6c'},http://images.huanqiu.com/sarons/2013/08/26eed6a047ebb551074b6229b8bcbc92.jpg,意大利,0.87千克,NULL,NULL,NULL,"
伯莱塔M951型手枪，别名贝瑞塔M1951，是一种9×19毫米口径的大型半自动手枪。该型手枪是以1940年代末期的中型贝瑞塔M1934型手枪作为基体，加以大型化，并且附加上可以安全发射9x19毫米子弹的闭锁系统而完成的。
",自动手枪,9毫米,8发,203毫米
德国瓦尔特公司,1975年至今,手枪,瓦尔特P5手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a6d'},http://images.huanqiu.com/sarons/2013/08/4663a5f7b1673b8d8e6c3bf785b709ce.jpg,德国,0.79千克,NULL,NULL,NULL,"
瓦尔特P5，是在20世纪70年代中期，由德国的小型武器制造商瓦尔特公司生产的一种9毫米半自动手枪。该手枪的设计适应了德国警察部队的需求，使用9x19毫米手枪弹，同时增强其安全性能，最终取代了7.65毫米口径的前型枪支。
",半自动枪支,9毫米,8发,181毫米
意大利伯莱塔公司,1976年-1995年,手枪,伯莱塔M84手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324f831b973d657f1a6e'},http://images.huanqiu.com/sarons/2013/08/25bbb1ab446ccf24bfda294056c3c207.jpg,意大利,0.6千克,NULL,NULL,NULL,"
伯莱塔M84印度豹(CHEETAH)手枪系列，是专门应女性警务人员需求所发展，所以它拥有较低的后座力，以方便手劲较小的女性握持。这型枪直接由M1934型手枪衍生而来。
",NULL,9毫米,13发,172毫米
伊热夫斯克机械厂（苏联/俄罗斯），保加利亚兵工厂 （保加利亚），北方工业 （中国）,1952年,手枪,马卡洛夫手枪,枪械与单兵,20000,NULL,{'$oid': '5cc93250831b973d657f1a6f'},NULL,苏/俄,0.73千克,NULL,NULL,1956年匈牙利革命，越战，1979年阿富汗战争，车臣战争，2001年阿富汗战争，伊拉克战争，南奥塞梯战争，别斯兰人质危机，2011年利比亚内战，叙利亚内战,"
马卡洛夫手枪（Pistolet Makarova，俄语：Пистолет Макарова）是一种由俄罗斯研制的半自动手枪，又简称PM手枪，PM是其设计师马卡洛夫名字的英文缩写。该枪于1951年开始装备部队，用以替换ТТ-33式手枪，是前苏军和华约组织各国军队的制式手枪，后来还广泛装备警察。由于改枪体积小，重量轻，一般被中级以上军官佩带，所以又叫做“校官手枪”。该枪应用广泛，生产量大，是世界上一支名枪，也是当年同时代最好的紧凑型自卫手枪之一。
",半自动枪支,9毫米,8发,161毫米
德国西格-绍尔公司,1938年-1945年,手枪,绍尔M38H手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93250831b973d657f1a70'},http://images.huanqiu.com/sarons/2013/08/22c221e2b61071ae475c7ea16afb9e0c.jpg,德国,0.72千克,NULL,NULL,第二次世界大战,"
绍尔M38H手枪，是第二次世界大战期间由西格-绍尔公司为纳粹德国生产的一种小型半自动手枪。在型号中的“H”表示“无锤”，即该手枪使用内置击锤。
",半自动枪支,7.62毫米,8发,171毫米
