大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,主战坦克,T-64主战坦克,1960年,莫洛佐夫设计局,2.172米,{'$oid': '5cc932c3831b973d657f1d49'},http://images.huanqiu.com/sarons/2013/11/8ac3878dffca7224dbace30c7e07fb2b.jpg,苏/俄,履带式,3人,9.225米,500公里,NULL,3.415米,   T-64主战坦克是前苏联在1960年代研发的主战坦克，是前苏联标准下第一款第三代的主战坦克，仅在前苏联解体后的多个独联体国家中服役，并只装备在一些前线军区部队里。尽管T-64不像T-72主战坦克那样被多个国家装备和发展，但却是前苏联日后的现代化坦克的基础。,60公里/小时,39千克
坦克装甲车辆,主战坦克,斯泰尔SK105轻型坦克,1969年,绍勒尔-威克,2.529米,{'$oid': '5cc932c3831b973d657f1d4a'},http://images.huanqiu.com/sarons/2013/11/31bcf150c262783cc0461c67f61dca54.jpg,奥地利,履带式,3人,7.735米,500公里,NULL,2.5米,斯泰尔SK105轻型坦克，又名“龙骑兵”，由绍勒尔-威克公司于1965年开始研制。1970年由施泰尔-戴姆勒-普赫公司接手，以满足奥地利陆军对快速反坦克战车的需求。,70公里/小时,17700千克
坦克装甲车辆,主战坦克,M-84主战坦克,1982年,塞尔维亚国防设计局,2.19米,{'$oid': '5cc932c3831b973d657f1d4b'},http://images.huanqiu.com/sarons/2013/11/04d39340bfd06f879415d7d34cc95a52.jpg,前南斯拉夫,NULL,3人,9.53米,700公里,NULL,3.57米,M-84是南斯拉夫第二代主战坦克。目前在塞尔维亚，波斯尼亚和黑塞哥维那，科威特，斯洛文尼亚和克罗地亚均有服役。,65公里/小时,44000千克
坦克装甲车辆,主战坦克,TM-800中型坦克,1994年,罗马尼亚国家兵工厂,2.35米,{'$oid': '5cc932c3831b973d657f1d4c'},http://images.huanqiu.com/sarons/2013/11/12a870f01e1677898585e2888b5447ae.jpg,罗马尼亚,NULL,4人,9米,500公里,NULL,3.3米,"
1994年底，罗马尼亚公开了TM-8(X)主战坦克的详细资料,该车在许多方面都类似于T-550主战坦克,且是一种很好的外贸车型。罗马尼亚TM-800主战坦克与俄罗斯T-54、T-55主战坦克十分相似，车体与炮塔几乎完全相同。两者在外观上最大的区别是TM-800有六个较小的负重轮，而T-54、T-55则有五个更大的负重轮。此外，TM-800还装有与车体等长的侧裙板。与俄罗斯T-54/T-55/T-62/T-72不同的是，车体左侧无发动机排气口。驾驶员位于车体左前侧，其右侧储存部分弹药。炮塔居中，动力舱后置。车长与炮长位于炮塔左侧，装填手在右。
",64公里/小时,45000千克
坦克装甲车辆,主战坦克,Mk3主战坦克,1950年,英国维克斯公司(今BAE地面系统公司),3.01米,{'$oid': '5cc932c3831b973d657f1d4d'},NULL,英国,履带式,4人,9.8米,450公里,NULL,3.38米,"
维克斯是英国维克斯公司于20世纪50年代末专为出口而设计的坦克。1963年制成样车，1965年定型投产。它是维克斯公司在二战后研制的第一型出口型坦克。维克斯MK3是在MK1的基础上改进而成的，1972年推出，采用前半部分是铸钢件，后部尾舱为钢装甲焊接结构的炮塔。并将L-60发动机的最大功率提高到650马力。
",35公里/小时,52000千克
坦克装甲车辆,主战坦克,T-80B主战坦克,1976年,基洛夫工厂（T-80），莫洛佐夫设计局（T-80UD）,2.2米,{'$oid': '5cc932c3831b973d657f1d4e'},NULL,苏/俄,履带式,3人,9.9米,450公里,NULL,3.4米,"
T-80是前苏联研制的主战坦克，由T-64发展而来，自1976年服役至今，外号“飞行坦克”（俄语：""Летающий Танк""）。这是历史上第一款量产的全燃气涡轮动力主战坦克。由于T-80的研发生产单位分布在俄罗斯和乌克兰，因此苏联解体后两国独立继续发展T-80系列，并衍生出T-80U（俄罗斯）、T-84（乌克兰）等新型号。除了俄罗斯、乌克兰等前苏联国家，塞浦路斯、巴基斯坦、韩国等国也有T-80及各种衍生型号服役。

T-80投产后，基洛夫工厂开展了219R工程，目的是把最近研发完成的T-64B和T-80结合起来。这项工程最终成果就是T-80B。
",70公里/小时,42500千克
坦克装甲车辆,主战坦克,AMX-30主战坦克,1959年,伊西莱穆利诺制造厂,2.86米,{'$oid': '5cc932c3831b973d657f1d4f'},http://images.huanqiu.com/sarons/2013/11/90e5c2d30f721548ae9a41ef9d078493.jpg,法国,履带式,4人,9.48米,600公里,NULL,3.1米,"
二次世界大战前，法国坦克设计只重视防护而忽视火力和机动性；到50年代，重视火力和机动性而忽视防护。法国认为，本国经济实力比较薄弱，不可能大量生产和装备坦克，所以主张增强坦克远程火力，尤其是首发命中率，以抵消敌坦克数量优势。AMX-30坦克就是这个设计思想的产物。
",65公里/小时,36000千克
坦克装甲车辆,主战坦克,ZTZ-80主战坦克,1988年2月4日,中国北方工业(集团)总公司  ,2.874米,{'$oid': '5cc932c4831b973d657f1d50'},NULL,中国,履带式,4人,9.328米,430公里,NULL,3.372米,"
80式主战坦克，1988年2月4日，国务院、中央军委常规军工产品定型委员会正式批准该坦克设计定型，并命名为 ZTZ80式主战坦克。该坦克在总体结构和技术特点方面有较大创新和发展。是中国继59式、69式坦克以后的第二代新型主战坦克，其火力、机动、防护性能比第一代坦克有大幅度提高。
",65公里/小时,38000千克
坦克装甲车辆,主战坦克,T-90主战坦克,1994年,Kartsev-Venediktov,2.226米,{'$oid': '5cc932c4831b973d657f1d51'},http://images.huanqiu.com/sarons/2013/11/39cfad578f31d085e21ad325afdfb4fd.jpg,苏/俄,履带式,3人,9.53米,550公里,NULL,3.78米,"
T-90主战坦克是T-72主战坦克的改进车型，T-90坦克从1994年开始小批量生产装备俄陆军起，即在不断改进和提高，目前已有两种变型车，即T-90e和T-90c，估计未来几年还会有新的改进型出现。
",65公里/小时,46500千克
坦克装甲车辆,主战坦克,ZTZ-79式主战坦克,1982年,NULL,2.4米,{'$oid': '5cc932c4831b973d657f1d52'},NULL,中国,履带式,4人,9.22米,500公里,NULL,3.27米,"
ZTZ-79式主战坦克是在59-Ⅱ中型坦克和69-Ⅱ主战坦克基础上于1982年发展的一种新型主战坦克。
",50公里/小时,37500千克
坦克装甲车辆,主战坦克,85-Ⅱ式主战坦克,20世纪80年代末,中国北方工业公司,2.3米,{'$oid': '5cc932c4831b973d657f1d53'},NULL,中国,履带式,3人,10.28米,500公里,NULL,3.45米,"
85-Ⅱ式主战坦克是中国北方工业公司（China North Industries）在80式主战坦克基础上研制而成，进行了多项技术改进，包括采用了新式车体和显著提高炮塔的装甲防护能力。
",57.25公里/小时,41000千克
坦克装甲车辆,主战坦克,90式主战坦克,1974年,日本防卫厅,2.34米,{'$oid': '5cc932c4831b973d657f1d54'},http://images.huanqiu.com/sarons/2013/11/2a5d9882a2174a7a93effc5f75fd831e.jpg,日本,履带式,3人,9.755米,300公里,NULL,3.43米,"
20世纪70年代中期，日本防卫厅开始研制新型主战坦克以满足日本陆上自卫队的需求。起初被称为TK-X主战坦克，第一批样车于20世纪80年代中期完成研制，之后，定型为90式主战坦克，1992年生产出第一批定型坦克。
",70公里/小时,52000千克
坦克装甲车辆,主战坦克,“堕落者”主战坦克,20世纪80年代,杜洛·达克维奇特殊车辆制造厂,2.19米,{'$oid': '5cc932c4831b973d657f1d55'},http://images.huanqiu.com/sarons/2013/11/90444212d7fed37fd5b1704b1c9c62d6.jpg,克罗地亚,履带式,3人,10.14米,700公里,NULL,3.59米,“堕落者”主战坦克是南斯拉夫20世纪80年代生产的M-84A坦克的后续型号，但它上面安装了不少克罗地亚的国产装备。而M-84A又是苏联T-72M1坦克的改进型，与M-84A和T-72M1相比，“堕落者”的新型全焊接钢装甲炮塔更易于制造，此外，坦克的炮塔外还披挂了一种新型爆炸反应装甲(ERA)。这种爆炸反应装甲被称作RRAK，由以色列拉菲尔武器发展局研制并提供。爆炸发应装甲覆盖了从底盘前弧部到坦克前端的部分以及侧裙板，为坦克提供了极高的战场生存能力。,70公里/小时,44500千克
坦克装甲车辆,主战坦克,59式主战坦克,1958年12月,NULL,2.59米,{'$oid': '5cc932c4831b973d657f1d56'},NULL,中国,履带式,4人,9米,440公里,NULL,3.27米,"
59式坦克（工厂产品代号WZ120）是中国在1950年代以苏联的T-54A为基础仿制出的主战坦克，59式坦克亦是中国的第一代主战坦克。1950年代末开始装备中国人民解放军陆军，在1980年代以前，它一直是中国装甲兵的主要装备。59式坦克有大量的衍生版本。
",50公里/小时,36000千克
坦克装甲车辆,主战坦克,豹-II主战坦克,20世纪70年代,NULL,2.79米,{'$oid': '5cc932c5831b973d657f1d57'},http://images.huanqiu.com/sarons/2013/11/25a647e4fbbf67b30624c8871075f22b.jpg,德国,履带式,4人,7.69米,470公里,NULL,3.7米,"
豹-II主战坦克，是德国联邦国20世纪70年代研制的防军主战坦克，共有A1-A7等多个型号。被公认是当今是性能最优秀均衡的主战坦克之一。豹-II在同世代的西方主战坦克中拥有极为突出的外销成绩，这也使其至今仍不断的推出修改型以满足不同的需求。
",70公里/小时,55150千克
坦克装甲车辆,主战坦克,“挑战者”-1主战坦克,1974年,皇家兵工厂,2.5米,{'$oid': '5cc932c5831b973d657f1d58'},http://images.huanqiu.com/sarons/2013/11/6b7e9107c77f6de5c3fa3436afabbe8e.jpg,英国,履带式,4人,11.56米,450公里,NULL,3.518米,"
“挑战者”是英国维克斯防务系统公司生产的主战坦克，1983年列入英军装备，用以取代英军20世纪60年代装备的“酋长”坦克。它是较重的一种主战坦克，有“挑战者”I型、II型及最新的II E型。
",56公里/小时,62000千克
坦克装甲车辆,主战坦克,62式轻型坦克,1962年,中国北方工业(集团)总公司,2.25米,{'$oid': '5cc932c5831b973d657f1d59'},http://images.huanqiu.com/sarons/2013/11/4045276e6b02fca2c3dde23a32ce4106.jpg,中国,履带式,4人,7.9米,500公里,NULL,2.86米,"
中国62式坦克，于1958年研制，1962年设计定型，1963年投产并装备使用，是中国自行设计研制的第一代轻型坦克。它主要用于南方丘陵山地的装甲师团，遂行侦察、迂回、同敌方轻型装甲车辆作战等主要主要任务，具有良好的机动性能、一定的火力和防护能力。
",60公里/小时,21000千克
坦克装甲车辆,主战坦克,豹-I主战坦克,1965年,NULL,2.764米,{'$oid': '5cc932c5831b973d657f1d5a'},http://images.huanqiu.com/sarons/2013/11/92d6c5b6759cd00b82e20a1ef18157fb.jpg,德国,履带式,4人,9.543米,600公里,NULL,3.25米,"
“豹”-I坦克的研制始于20世纪50年代晚期，经过对多种坦克样车进行比较测试后，克劳斯-玛菲公司(今克劳斯-玛菲·韦格曼公司)于1963年被选为主承包商，而其中的一些特种车型由马克公司(今莱茵金属公司地面系统分部)负责生产。第一辆“豹”-I坦克于1965年交付德国陆军，生产一直延续到1984年。意大利陆军装备的“豹”-I坦克由奥托一梅莱拉公司生产。现在，德国前线部队已不再使用“豹”-I主战坦克。
",65公里/小时,42400千克
坦克装甲车辆,主战坦克,85式主战坦克,1985年,北方工业,2.3米,{'$oid': '5cc932c5831b973d657f1d5b'},NULL,中国,履带式,4人,6.325米,420公里,NULL,3.45米,"
85式坦克是由中国第二代的主战坦克—80式坦克升级改进而成，并未装备中国解放军，而主要用于出口。最初装备105毫米口径线膛炮，后来换成125mm口径滑膛炮，可发射尾翼稳定脱壳穿甲弹、破甲弹和榴弹三种不同类型的炮弹。
",60公里/小时,48千克
坦克装甲车辆,主战坦克,PT-91主战坦克,1992年,Kartsev-Venediktov设计局,2.19米,{'$oid': '5cc932c5831b973d657f1d5c'},http://images.huanqiu.com/sarons/2013/11/769bdfff269845135b2a7147e28b86dc.jpg,波兰,履带式,3人,9.67米,650公里,NULL,3.59米,"
世界上T-72坦克装备范围之广，数量之多，是其他任何一种坦克或装甲车辆所无法比拟的，由它所衍生出来的变型车和改进车型也是层出不穷。最近，由波兰生产，出售给马来西亚的T-72的最新改进型PT-91M坦克，以其先进的配置和不俗的性能引起了人们关注。
",60公里/小时,45300千克
坦克装甲车辆,主战坦克, K1主战坦克,1983年,美国通用陆地系统,2.25米,{'$oid': '5cc932c6831b973d657f1d5d'},http://images.huanqiu.com/sarons/2013/11/4164aa0476233169da81ecfa5db665dc.jpg,韩国,履带式,4人,9.672米,457公里,NULL,3.594米,"
K1主战坦克是韩国现代精密工业公司生产的主战坦克，是在美国M1系列主战坦克的基础上研制而成的，其总体布置与M1主战坦克基本相同，外形相似，1987年开始装备部队，改进型有K1A1坦克。
",65公里/小时,51000千克
坦克装甲车辆,主战坦克,99式主战坦克,1989年春,中国兵器工业集团第二零一研究所,2.37米,{'$oid': '5cc932c6831b973d657f1d5e'},http://images.huanqiu.com/sarons/2013/11/7aa38898bd5487140a6cda97698fdb52.jpg,中国,履带式,4人,7.3米,450公里,NULL,3.5米,"
ZTZ-99式主战坦克，又称99式，工程代号WZ-123，网络上流传的98式坦克实际就是99式坦克的样车9910型，99式坦克是中国人民解放军最新的主战坦克。与另一款较新的主战坦克96式相比，其制造成本与性能更高，是目前中国最先进的主战坦克。其具备优异的防弹外型，其炮塔和车体均采用复合装甲，是中国陆军装甲师和机步师的主要突击力量，被称为中国的陆战王牌的第三代主战坦克，99式主战坦克出现在2009年国庆60周年阅兵式上，是装甲方阵第一方队，体现了在解放军中的重要地位。
",70公里/小时,51000千克
坦克装甲车辆,主战坦克,98式主战坦克,1989年,中国北方工业公司,2.4米,{'$oid': '5cc932c6831b973d657f1d5f'},http://images.huanqiu.com/sarons/2013/11/17901f3a21243a68df06d69857ce90bc.jpg,中国,履带式,3人,11米,450公里,NULL,3.4米,"
ZTZ-98主战坦克是中国第三代主战坦克，综合性能达到世界先进水平。该坦克上世纪80年代研发，因种种原因试车几经延迟，1999年10月1日阅兵式上正式公开。
",70公里/小时,52千克
坦克装甲车辆,主战坦克,“逊邱伦”Mk13主战坦克,1943年,英国皇家兵工厂,3.009米,{'$oid': '5cc932c6831b973d657f1d60'},http://images.huanqiu.com/sarons/2013/11/1208e1912f2e476194bc1cfe126413f6.jpg,英国,履带式,4人,9.854米,190公里,NULL,3.39米,"
英国的逊邱伦主战坦克由英国皇家兵工厂研制，里兰德汽车公司、利兹皇家兵工厂和伍尔威奇皇家兵工厂、维克斯有限公司埃尔斯维克里兰德汽车公司、利兹皇家兵工厂和伍尔威奇皇家兵工厂、维克斯有限公司埃尔斯维克厂生产。英国陆军第一次使用逊邱伦坦克作战是在对朝战争期间。此后，埃及、以色列、伊拉克和约旦等国在中东战争和黎巴嫩战争中，印度在印巴战争中，澳大利亚在越南战场上均使用过。
",34.6公里/小时,51820千克
坦克装甲车辆,主战坦克,88式主战坦克,1988年,NULL,2.29米,{'$oid': '5cc932c6831b973d657f1d61'},NULL,中国,履带式,4人,6.325米,430公里,NULL,3.372米,"
88式主战坦克的主炮为一门83式105毫米线膛坦克炮，该炮全重1950公斤，身管采用自紧工艺，身管上装有轻合金刚热护套，采用了可由防盾口向前抽出的结构；在身管中部有抽烟装置。
",57公里/小时,39500千克
坦克装甲车辆,主战坦克,风暴-I型主战坦克,1980年,NULL,2.86米,{'$oid': '5cc932c6831b973d657f1d62'},http://images.huanqiu.com/sarons/2013/11/7704f1950ffbe4143ba41d65368e28df.jpg,中国,履带式,4人,6.325米,450公里,NULL,3.37米,"
1980年，中国某坦克制造厂为中东某国研制的坦克样车，当时研制生产了两种型号，即风暴I和风暴II型。这两种车型都曾到国外进行过表演和试验，后因故未能定型。
",40公里/小时,38000千克
坦克装甲车辆,主战坦克,T1/M6重型坦克,1940年,NULL,3.19米,{'$oid': '5cc932c6831b973d657f1d63'},NULL,美国,履带式,6人,8.81米,160公里,NULL,3.95米,"
上世纪三四十年代，经过研究美军认为重型坦克的吨位应该在50～80吨之间，但是在1940年时，无论是船舶还是运输车辆都无法载运80吨的重型坦克，因此美军决定设计50吨级的重型坦克。

1940年时，欧洲战场已经确定了单炮塔坦克的先进性，但美军重型坦克最初居然设计成多炮塔坦克，研制编号为TI/M6。
",35公里/小时,57400千克
坦克装甲车辆,主战坦克,T-72S主战坦克,1967年,NULL,2.23米,{'$oid': '5cc932c6831b973d657f1d64'},NULL,苏/俄,履带式,3人,9.53米,450公里,NULL,3.59米,T-72主战坦克是苏联在1967年开始研制的主战坦克，除了大量服役于红军之外也外销和授权华沙公约盟国波兰、捷克斯洛伐克生产，总产量达2万辆。于1977年11月苏联纪念十月革命60周年的红场阅兵式上首次亮相。由于原本设计目的是用于大规模快速突击，几次实战证实此坦克若不能以集群形式出现则使用效果不佳，少量使用仅适合低强度冲突作战。,60公里/小时,46500千克
坦克装甲车辆,主战坦克,萨菲尔”(Safari) -74/ T-72Z坦克,1988年,NULL,2.4米,{'$oid': '5cc932c6831b973d657f1d65'},NULL,伊朗,履带式,4人,6.45米,440公里,NULL,3.37米,NULL,65公里/小时,36000千克
坦克装甲车辆,主战坦克,T-28/T-95超重型坦克,1945年,美国太平洋汽车和铸造公司,2.84米,{'$oid': '5cc932c7831b973d657f1d66'},http://images.huanqiu.com/sarons/2013/11/568ccfb069bb27a2a7b50662efafa117.jpg,美国,履带式,8人,11.1米,160公里,NULL,4.39米,"
1945年，美国陆军要求设计发展一种超重型坦克，主要是用来对付德国陆军的鼠式“Maus”（Porsche 205，188吨）超重型坦克和E-100超重型坦克（140吨）以及抵御德军88毫米反坦克炮的正面攻击，未来可以对付苏联超重型坦克。原计划要求安装T5E1型67倍105毫米口径主炮和8英寸的前装甲。1945年春，美国太平洋汽车和铸造公司开始设计。开始要求制造5辆样车，总共生产25辆，不过到最后只生产了2辆。原称T-95自行火炮，1946年6月改称T-28超重型坦克。
",13公里/小时,95000千克
坦克装甲车辆,主战坦克,“梅卡瓦”坦克 ,1979年,NULL,2.66米,{'$oid': '5cc932c7831b973d657f1d67'},http://images.huanqiu.com/sarons/2013/11/e2c7d80590ab8f6e128cd6fa449f72a3.jpg,以色列,履带式,10人,9.04米,500公里,NULL,3.72米,"
梅卡瓦主战坦克（英语：Merkava，希伯来语：מרכבה‎‎，中文又译作驰车式）由以色列·塔尔少校提出和主持设计。根据他的前线作战经验，梅卡瓦主战坦克主要要特征是它对车组成员的防护放在第一位。为了达到这个目的，它的发动机前置于车体（瑞典的S型战车也采用类似的设计）。MK I至MK IV的各次改进都以防护能力的提高为优先考虑。在MK I的引擎前有两层钢装甲，在内外两层中则有燃油缓冲剂。MK III以后则改为中空间隔复合装甲。
",64公里/小时,65000千克
坦克装甲车辆,主战坦克,90主战坦克,1994年（样车）,中国北方公司,2米,{'$oid': '5cc932c7831b973d657f1d68'},NULL,中国,履带式,3人,7米,400公里,NULL,3.4米,"
90式主战坦克也被国际上称作90-II式（区别于日本的90式），是由中国北方工业以88式系列的后续改良型号，最初名为85-IIM，1990年正式定型，是中国的第一种第三代坦克，但没有被中国人民解放军装备，主要原因是其并未达到预先的设计要求，性能也不足以于1990年代的西方坦克相匹敌，但是90式对于中国之后大规模装备的96式和99式设计都产生了影响。

该型战车的后续发展型为MBT-2000并专用于对外出口，现为巴基斯坦和孟加拉的主战坦克之一，巴基斯坦特许生产的名为哈立德主战坦克。
",60公里/小时,48千克
