飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/12/334f69bda3e62441670ad5b9bde6d4c3.jpg,空中客车公司,442人,NULL,13150千米,CFM56-5或罗尔斯·罗伊斯公司遄达500涡轮风扇发动机,NULL,双发,飞行器,干线,英国,NULL,60.3米,912千米每小时,空中客车A340远程客机,{'$oid': '5cc93146831b973d657f138c'},1991年10月25日,NULL,16.8米,2002年8月5日,45915千克,后掠翼,63.6米
亚音速,http://images.huanqiu.com/sarons/2013/12/4ac21a8268b25c9b476451a1d3467ce3.jpg,伊留申设计局 ,389人,NULL,11482千米,NULL,NULL,四发,飞行器,干线,苏/俄,NULL,60.1米,912千米每小时,伊尔-96四发涡轮风扇远程客机,{'$oid': '5cc93146831b973d657f138d'},1988年9月28日,NULL,15.7米,1993年初,NULL,后掠翼,64.7米
亚音速,http://images.huanqiu.com/sarons/2013/12/655dd688701a0989fa2934fe8b861089.jpg,道格拉斯飞机公司(后来合并为麦克唐纳·道格拉斯公司),89人,NULL,3510千米,4台普-惠TwinWasp活塞发动机,NULL,四发,飞行器,干线,美国,NULL,35.8米,451千米每小时,道格拉斯DC-4四发活塞式中程客机,{'$oid': '5cc93146831b973d657f138e'},1942年2月14日,NULL,8.4米,NULL,NULL,平直翼,28.6米
亚音速,http://images.huanqiu.com/sarons/2013/12/c52e34ddd5b4a9f32402ed2176992fc0.jpg,空中客车公司,257人,NULL,14815千米,AllianceGP7200或罗尔斯·罗伊斯公司遄达900涡轮风扇发动机,NULL,四发,飞行器,干线,英国,NULL,79.7米,945千米每小时,空中客车A380远程宽体客机,{'$oid': '5cc93146831b973d657f138f'},2005年4月27日,NULL,24.1米,2007年,NULL,后掠翼,72.8米
亚音速,http://images.huanqiu.com/sarons/2013/12/a24a265155ef10a98f7867d38435f3db.jpg,NULL,353人,"
伊尔-86（Il-86/Ил-86）,北约代号称为“小船坞”（Camber）是前苏联伊留申设计局（Ilyushin，苏联解体后改为伊留申航空联合体股份公司）。是作为伊尔-62的后继机型设计的，是前苏联制造的第一架宽体客机，也是第一个将发动机安装在机翼上的前苏联机型。伊尔-86于1976年12月22日首飞，1980年12月26日开始进入前苏联民航部门服役。性能上的缺陷，使该机型生产运营时间缩短。共交付103架。
",3600千米,NULL,伊尔公司,四发,飞行器,干线,苏/俄,NULL,48.1米,950千米每小时,伊尔-86小船坞四发涡轮风扇中程客机,{'$oid': '5cc93146831b973d657f1390'},1976年12月22日,NULL,15.8米,1980年12月26日,NULL,后掠翼,59.5米
亚音速,http://images.huanqiu.com/sarons/2013/12/7c2fa9c3f731beb0e6d276db3c3c9f0e.jpg,NULL,383人,NULL,7413千米,NULL,NULL,三发,飞行器,干线,美国,NULL,50.4米,934千米每小时,麦道DC-10三发涡轮风扇中远程客机,{'$oid': '5cc93147831b973d657f1391'},1970年8月29日,NULL,17.7米,1971年8月5日,NULL,后掠翼,55.5米
亚音速,http://images.huanqiu.com/sarons/2013/12/96a68307fdda93c517c709596353581c.jpg,NULL,191人,"
伊尔-62（Ilyushin Il-62/Ил-62），北约代号“文豪”(Classic)是为前苏联民航部门生产的远程喷气式客机，于1962年9月24日亮相，其特征是机身后部装载的4台涡轮风扇发动机以及较高的垂直尾翼。1963年1月3日首飞，但直到1967年9月15日才开始服役。共交付289架。
",7800千米,NULL,NULL,四发,飞行器,干线,苏/俄,NULL,43.2米,900千米每小时,伊尔-62/文豪四发涡轮风扇远程客机,{'$oid': '5cc93147831b973d657f1392'},1963年1月3日,NULL,12.4米,1967年9月15日,NULL,平直翼,53.1米
亚音速,http://images.huanqiu.com/sarons/2013/12/5c53ddc319cf1a2a16f63eb342a1cfad.jpg,麦克唐纳-道格拉斯(McDonnell Douglas),262人,NULL,7400千米,NULL,NULL,四发,飞行器,干线,美国,NULL,45.2米,965千米每小时,麦道DC-8“SuperSixty” 四发涡轮风扇远程客机,{'$oid': '5cc93147831b973d657f1393'},1966年3月14日,NULL,12.9米,1967年2月25日,NULL,后掠翼,57.1米
亚音速,http://images.huanqiu.com/sarons/2013/12/24863a06b4c1e3e8185e010e583b75c3.jpg,洛克希德·马丁,333人,NULL,9815千米,NULL,NULL,三发,飞行器,干线,美国,NULL,47.3米,890千米每小时,洛克希德L1011“三星”三发涡轮风扇中程客机,{'$oid': '5cc93147831b973d657f1394'},1970年11月17日,NULL,16.9米,1972年4月26日,NULL,后掠翼,50.1米
亚音速,http://images.huanqiu.com/sarons/2013/12/bd34ed0d98c46b1f3862713568ad755c.jpg,道格拉斯公司,182人,NULL,11260千米,NULL,NULL,四发,飞行器,干线,美国,NULL,43.4米,934千米每小时,麦道DC-8(美国) 四发中远程客机,{'$oid': '5cc93147831b973d657f1395'},1958年5月30日,NULL,12.9米,1959年9月18日,NULL,后掠翼,45.9米
亚音速,http://images.huanqiu.com/sarons/2013/12/528b1c4091e1145f58cd7928221d1238.jpg,图波列夫设计局,214人,NULL,4800千米,NULL,NULL,双发,飞行器,干线,苏/俄,NULL,41.8米,850千米每小时,图-204/214双发涡轮风扇中程客机,{'$oid': '5cc93148831b973d657f1396'},1989年1月2日,NULL,13.9米,1996年2月23日,NULL,平直翼,46.1米
亚音速,http://images.huanqiu.com/sarons/2013/12/ff268e88d87638236cb5b3ee786322ee.jpg,伊留申设计局,127人,NULL,3700千米,AI-20四桨叶涡轮螺旋桨发动机,NULL,双发,飞行器,干线,苏/俄,NULL,37.4米,675千米每小时,伊尔-18“黑鸭”四发涡桨中程客机,{'$oid': '5cc93148831b973d657f1397'},1957年7月,NULL,10.2米,于1959年4月,NULL,NULL,35.9米
亚音速,http://images.huanqiu.com/sarons/2013/12/2b886ee733c04d65e94df4aa3c77de1f.jpg,美国波音公司,221人,NULL,9265千米,普-惠或罗尔斯·罗伊斯涡轮喷气发动机或者普-惠JT3D涡轮风扇发动机,NULL,四发,飞行器,干线,美国,NULL,44.4米,1000千米每小时,波音707中远程客机,{'$oid': '5cc93148831b973d657f1398'},1954年7月15日,NULL,12.9米,1958年10月26日,NULL,后掠翼,46.6米
亚音速,http://images.huanqiu.com/sarons/2013/12/809f5472d68da8062f6ba2e582091073.jpg,NULL,106人,"
道格拉斯DC-6是由道格拉斯飞行器公司在1946年到1958年间生产的一种活塞动力商用客机／运输机。最初是为从事军事运输而设计的，但自第二次世界大战结束后，道格拉斯公司便将DC-6改为民航运输，在中远程航线上对抗洛克希德公司的星座式飞机。该型飞机一共生产了700余架，并且至今仍有一部分执行着货运，军事和森林火灾控制的任务。

DC-6的美国空军军用型号是C-118“举重霸王”，美国海军在1962年和空军统一编号之前则称其为R6D。
",3058千米,NULL,道格拉斯公司,四发,飞行器,干线,美国,NULL,35.8米,509千米每小时,DC-6/C-118/举重霸王四发活塞式中程客机,{'$oid': '5cc93148831b973d657f1399'},1946年2月15日,NULL,9米,1947年4月27日,NULL,后掠翼,32.2米
