飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,内置武器,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/07/6cd46cb7d879433be592a4560a496b77.jpg,NULL,16人,"
SA330“美洲豹”，是法国国营航宇工业公司从1963年1月开始研制的双发中型多用途运输直升机。1967年，英国的韦斯特兰公司加入研制行列，原型机试飞于1965年4月15日，1969年春天开始服役。
",572千米,两台透博梅卡Turmo IVC涡轮轴发动机,韦斯特兰公司，法国航宇公司,双发,飞行器,运输直升机,英国,NULL,NULL,3615千克,NULL,294千米每小时,SA330“美洲豹”双发中型多用途运输直升机,{'$oid': '5cc93154831b973d657f13de'},1965年4月15日,NULL,15米,5.14米,1969年春,7500千克,单旋翼,14.06米
亚音速,NULL,西科斯基公司,28人,"
1962年4月，美国空军第一次表现出对H-3“海王”的兴趣，当时他们借了三架HSS-2在大西洋执行对雷达前哨基地的再补给任务，被这种基本设计打动，与西科斯基公司签署厂改进合同，重新设计后机身，加上一个装卸台，另有命名为HH-3E的相似版本，是为美国空军的航空和恢复处（AerOspaccandRecOvervService）购买的，其中有8架是新的，50架是CH-3E改装而来的，通过为其配备装甲保护、白封油箱、空中加油受油管、自卫武器和外部油箱，达到了HH-3E的标准。这些直升机被命名为“愉快的绿巨人Jolly Green Giant）”，在越南服役，H-3“愉快的绿巨人”28座双发通用／搜救直升机。
",768千米,两台通用电气T58-GE-5发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,5635千克,NULL,262千米每小时,H-3“愉快的绿巨人”双发通用／搜救直升机。,{'$oid': '5cc93154831b973d657f13df'},1963年6月17日,NULL,18.9米,5.51米,NULL,10002千克,单旋翼,17.45米
亚音速,NULL,西科斯基公司,14人,"S-70为UH-60直升机的出口型号。UH-60""黑鹰""直升机是美国西科斯基飞机公司制造的一种多用途运输直升机，用于战术运输及救援，侦察，指挥，电子战和反潜战等。目前“黑鹰”的主要型号有UH-60A和UH-60L两种。黑鹰是其绰号。",2222千米,2台通用电气公司的T700-GE-700涡轮轴发动机，功率2×1151千瓦(2×1564轴马力),NULL,双发,飞行器,运输直升机,美国,NULL,NULL,5118千克,NULL,359千米每小时,S-70A/UH-60“黑鹰”,{'$oid': '5cc93154831b973d657f13e0'},1974年10月（原型机YUH-60）,NULL,16.36米,5.13米,1979年（UH-60A）,11113千克,单旋翼,19.8米
亚音速,http://images.huanqiu.com/sarons/2013/11/7e6bf7530a3821701fb6f58a0bdf0669.jpg,法国宇航公司(欧洲直升机公司)(法国),5人,SA341/342“小羚羊”为上世纪六七十年代，法国宇航公司研制的一款多用途轻型直升机，还可为特种部队和对地目标攻击时所采用。适于执行舰载任务。,360千米,单台透博梅卡阿斯泰祖ⅢA涡轮轴发动机(SA341)或带有向上排气装置的阿斯泰祖XIVM涡轮轴发动机,NULL,单发,飞行器,运输直升机,法国,NULL,NULL,991千克,NULL,260千米每小时,SA341/342“小羚羊”,{'$oid': '5cc93155831b973d657f13e1'},1967年4月7日,NULL,10.5米,3.1米,NULL,1900千克,单旋翼,12米
亚音速,NULL,法国宇航公司(欧洲直升机公司)(法国),16人,SA330美洲狮直升机，是一种四叶桨、双发的中型运输暨通用型直升机。,572千米,两台透博梅卡TurmoIVC涡轮轴发动机,NULL,双发,飞行器,运输直升机,法国,NULL,NULL,3615千克,NULL,294千米每小时,SA330“美洲狮”通用型直升机,{'$oid': '5cc93155831b973d657f13e2'},1965年4月15日,NULL,15米,5.1米,1969年,7400千克,单旋翼,18.5米
NULL,http://images.huanqiu.com/sarons/2013/08/fb9f0e3ca0d51e713cdee6a46328a3eb.jpg,米里设计局,34人,NULL,425千米,两台伊索托夫设计局的TB2-117A涡轮轴发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,7260千克,NULL,260千米每小时,米-8多用途直升机,{'$oid': '5cc93155831b973d657f13e3'},1961年,NULL,21.3米,5.7米,1967年,11100千克,单旋翼,25.2米
亚音速,http://images.huanqiu.com/sarons/2013/07/02d6b79bb255a42a54a9656bc5b24c7d.jpg,卡莫夫设计局,4人,"
卡-25“激素”，是1961年俄罗斯卡莫夫设计局研制成功的一款海军反潜直升机。北约代号为“激素”（Hormone），Ka-25由Ka-20直升机发展而来。
",400千米,2台GTD-3F涡轮发动机,NULL,单发,飞行器,运输直升机,苏/俄,NULL,NULL,4765千克,NULL,220千米每小时,卡-25“激素”海军型直升机,{'$oid': '5cc93155831b973d657f13e4'},1961年,NULL,15.7米,5.4米,NULL,7500千克,共轴双旋翼,9.7米
亚音速,http://images.huanqiu.com/sarons/2013/08/dd4150cafd5ab2e0b9f1a48c4479c428.jpg,米里设计局 ,14人,NULL,1135千米,两台克里莫夫设计局TV3-117MT涡轮轴发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,7260千克,NULL,230千米每小时,米-14“烟雾”反潜直升机,{'$oid': '5cc93155831b973d657f13e5'},1969年9月,NULL,21.9米,6.9米,NULL,14000千克,单旋翼,25.3米
亚音速,NULL,阿古斯塔公司(意大利)和威斯特兰公司(英国),24人,EH-101“灰背隼”是一种多用途直升机，1987年6月成功首飞。它全长22.81米，机身长15.85米，5桨叶，旋翼直径18.59米，尾桨直径4.01米，机全高6.65米，机宽5.49米。,1389千米,3台涡轮发动机，每个1725千瓦,NULL,双发,飞行器,运输直升机,英国,该机为0.5英寸(12.7毫米)头挂机枪预备了机头炮塔；挂载点,NULL,10500千克,NULL,309千米每小时,EH-101“灰背隼”,{'$oid': '5cc93155831b973d657f13e6'},1987年10月9号,NULL,18.6米,6.6米,1990,15600千克,单旋翼,22.8米
亚音速,NULL,欧洲直升机公司(法国)，巴西特许生产,NULL,AS550/555“小松鼠”是一款轻型多用途直升机，也可为两栖作战部队和特种部队提供支援。,670千米,一台透博梅卡阿赫耶1D1或2B涡轮轴发动机(AS 350/550型)或是两个透博梅卡阿赫尤1A涡轮轴发动机(AS 355/555型),NULL,单发,飞行器,运输直升机,法国,NULL,NULL,1185千克,NULL,287千米每小时,AS550/555“小松鼠”,{'$oid': '5cc93156831b973d657f13e7'},1974年6月27日,NULL,10.7米,3.4米,NULL,NULL,单旋翼,12.9米
亚音速,NULL,威斯特兰公司,30人,“海王”是英国韦斯特兰直升机公司在美国西科斯基公司的S-61直升机的基础上研制的反潜直升机。,556千米,罗尔斯一罗伊斯Gnome H.1400-1T涡轮轴发动机,NULL,双发,飞行器,运输直升机,英国,NULL,NULL,5600千克,NULL,226千米每小时,HCMk4“海王”反潜直升机,{'$oid': '5cc93156831b973d657f13e8'},1959年,NULL,18.9米,5.1米,1966年,9525千克,单旋翼,22.1米
亚音速,NULL,欧洲直升机公司法国分公司,7人,SA-316/319B“云雀”III直升机是法国航宇公司（现欧洲直升机公司法国分公司）在“云雀”II直升机的基础是研制的轻型多用途直升机。,540千米,一台“阿都斯特”IIIB涡轮轴发动机，功率870马力,NULL,单发,飞行器,运输直升机,法国,(如装备)机舱内配备7.62毫米的机枪或20毫米的MGl51/20加农炮。挂载点,NULL,1134千克,NULL,210千米每小时,SA316/319“云雀”Ⅲ,{'$oid': '5cc93156831b973d657f13e9'},1959年,NULL,11米,3米,NULL,2200千克,单旋翼,12.8米
亚音速,NULL, 波音公司,47人,CH-47支奴干直升机（Chinook），是一种由美国波音公司研发并制造的多功能、双引擎，双螺旋桨的中型运输直升机。其双旋翼纵列式结构（contra-rotating rotors）剔除了一般直升机的尾部垂直螺旋桨，允许机体垂直升降，而且时速高达165哩。其首要任务从部队运输到炮台战场补给。CH-47已经被外销往16个国家， 最大的消费者是美军和英国的皇家空军。,2060千米,2台2125千瓦的T55-L-7C涡轮轴发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,10500千克,NULL,285千米每小时,CH-47“支奴干”中型运输直升机,{'$oid': '5cc93156831b973d657f13ea'},1990年6月1日,NULL,18.79米,5.7米,NULL,22700千克,纵列双旋翼,15.5米
亚音速,NULL,前苏联米里设计局,27人,"
米-8直升机，北约绰号河马（Hippopotamus)，与米-17系列一起，是苏联米里设计局设计的世界经典通用直升机，也是世界上产量最大的直升机（12500架以上），而且生产数量还在不断上升，号称直升机王国中的“卡拉什尼科夫”。无论作为军用直升机还是州长的私人班机，它都游刃有余地切换着她的角色。这款性能优异的直升机，绝对是航空史上的经典，创造了世界航空史的传奇。
",450千米,2×Klimov TV3-117Mt 涡扇发动机，每个 1454 kW（1950 shp）,NULL,双发,飞行器,运输直升机,苏/俄,机头处有一挺12.7毫米的机枪；挂载点,NULL,7260千克,NULL,260千米每小时,Mi-8“河马”,{'$oid': '5cc93157831b973d657f13eb'},1961年7月9日,NULL,21.29米,5.54米,1967年,12000千克,单旋翼,18.17米
亚音速,NULL,NULL,39人,NULL,830千米,3台涡轴-6型发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7095千克,NULL,315千米每小时,直-8舰载运输机,{'$oid': '5cc93157831b973d657f13ec'},NULL,NULL,18.9米,6.66米,NULL,13000千克,单旋翼,20.27米
亚音速,http://images.huanqiu.com/sarons/2013/11/af32cf58a4e11b3ef1622968e4a1bc85.jpg,中国直升机设计研究所、昌河机械厂,39人,NULL,830千米,3台涡轴-6发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7095千克,NULL,315千米每小时,直-8A,{'$oid': '5cc93157831b973d657f13ed'},1995年12月22日,NULL,18.9米,6.66米,NULL,13000千克,单旋翼,23.05米
亚音速,http://images.huanqiu.com/sarons/2013/11/0441850b4813cdf8b77596eb8d3d5bf5.jpg,喀山直升机工厂,27人,"
米-17V7是在我03年开始装备的米-17V5的基础上与俄罗斯共同研制改进的新机型。改装过程也在俄罗斯进行。米-17V7在米-17V5的基础上改装了BK2500-02发动机，缓解了随着“黑鹰”渐渐老去带来的高原飞行保障不足的困难，有的也改装了机头雷达舱，机身窗户由圆形改为方型，但蛤式双开尾门和左右不同的机身外油箱保持不变。虽然米-17V7的飞行性能与“黑鹰”尚有差距、人机功能效率也不及，但亦如所有俄罗斯装备一样，米-17V7维护成本更低廉、保养配件充足、除了核心技术我们基本能够解决部件的国产化。补足了陆航对高原战术运输直升机的需求。
",500千米,两部TV3-117涡轮发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7200千克,NULL,250千米每小时,米-17-V7 ,{'$oid': '5cc93157831b973d657f13ee'},2003年,NULL,21.3米,5.34米,NULL,13000千克,单旋翼,18.42米
亚音速,http://images.huanqiu.com/sarons/2013/11/e76fb1c46e2f856a7a0933e4936c2c7c.jpg,NULL,27人,NULL,500千米,两部TV3-117涡轮发动机,喀山直升机厂和乌兰乌德飞机厂,双发,飞行器,运输直升机,苏/俄,NULL,NULL,7200千克,NULL,250千米每小时,米-17,{'$oid': '5cc93159831b973d657f13ef'},1975年,NULL,21.3米,5.34米,NULL,13000千克,单旋翼,18.42米
亚音速,http://images.huanqiu.com/sarons/2013/11/d399211facf9caaa9a39c5d9c34a0c23.jpg,NULL,27人,NULL,500千米,两部TV3-117涡轮发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7200千克,NULL,250千米每小时,米-17-V5,{'$oid': '5cc93159831b973d657f13f0'},2003年,NULL,21.3米,5.34米,NULL,13000千克,单旋翼,18.42米
亚音速,http://images.huanqiu.com/sarons/2013/11/e32137815b496b67e0addbb360637f4c.jpg,米里设计局,65人,"
米-6，又名米-22，是前苏联米里设计局设计的单旋翼带尾桨式重型运输直升机，北大西洋公约组织给绰号为“吊钩”（Hook）。该机于1954年开始研制，1957年试飞，同年秋季公开展出。
",620千米,两台索洛维耶夫D-25V发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,27240千克,NULL,300千米每小时,米6,{'$oid': '5cc9315a831b973d657f13f1'},1957年,NULL,35米,9.86米,NULL,42500千克,单旋翼,33.18米
亚音速,http://images.huanqiu.com/sarons/2013/11/25bb32dade896132a978c8d1c55854dc.jpg,西科斯基飞机公司,12人,NULL,600千米,T700-GE-701A涡轴发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,5118千克,NULL,361千米每小时,S-70 黑鹰 ,{'$oid': '5cc9315a831b973d657f13f2'},1974年10月,NULL,16.36米,5.18米,1979年4月,9779千克,单旋翼,19.76米
亚音速,http://images.huanqiu.com/sarons/2013/11/832dde18e2232e06a3ade178fcafd295.jpg,中国直升机设计研究所与昌河飞机工业公司,39人,NULL,830千米,3台涡轴-6发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7095千克,NULL,315千米每小时,直-8,{'$oid': '5cc9315a831b973d657f13f3'},1987年,NULL,18.9米,6.66米,NULL,13000千克,单旋翼,23.05米
亚音速,http://images.huanqiu.com/sarons/2013/11/6a282affb506fe2b29ed97771d7f6b99.jpg,喀山飞机制造厂，乌兰乌德航空工厂,27人,"
米-17直升机是前苏联米里设计局研制的单旋翼带尾桨中型运输直升机，分别由喀山和乌兰乌德两家航空工厂生产。北大西洋公约组织给它取的绰号为“河马”-H（Hip-H）。 米-17于1981年在巴黎航空展览会上首次展出，1983年开始出口。改进型米17-1V由喀山制造，特征和米17一样，不过在其尾梁下方有一个红外诱饵发射器。
",500千米,两部TV3-117涡轮发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,7200千克,NULL,250千米每小时,米17-1V,{'$oid': '5cc9315a831b973d657f13f4'},NULL,NULL,21.3米,5.34米,NULL,13000千克,单旋翼,18.42米
亚音速,http://images.huanqiu.com/sarons/2013/11/b57d2455033254d5722fa525c1389c8b.jpg,昌河飞机工业（集团）公司和中国直升机设计研究所,39人,"
在2002年的珠海航展上当时的航空第二集团首次展出换装发动机后的直-8F型通用型直升机，其是在直-8A的基础上换装加拿大普惠公司的PT-6B-67A发动机和复合材料桨叶以及新型航电系统，提高了该机的性能，其可靠性、经济性和操纵性都有了明显的提高，在军民用领域都有广泛的用途。
",830千米,PT6B－67A,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7095千克,NULL,315千米每小时,直-8F,{'$oid': '5cc9315a831b973d657f13f5'},2004年8月,NULL,18.9米,6.66米,NULL,13000千克,单旋翼,23.05米
亚音速,NULL,中国航空工业第二集团,12人,NULL,830千米,涡轴-16发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,9200千克,NULL,300千米每小时,直-20,{'$oid': '5cc9315a831b973d657f13f6'},2007年,NULL,NULL,NULL,NULL,NULL,单旋翼,15.7米
亚音速,http://images.huanqiu.com/sarons/2013/11/7915658a1e40d61fd8536770934c208f.jpg,NULL,39人,"
直-8是中国在20世纪90年代以法国超黄蜂直升机为基础仿制的一款中型直升机，该机在最初的研制过程中，曾经历过一些波折，但通过不断改进，最终成为一款成功的中型直升机。
",830千米,3台涡轴-6型发动机,NULL,双发,飞行器,运输直升机,中国,NULL,NULL,7095千克,NULL,315千米每小时,直-8K/KA,{'$oid': '5cc9315b831b973d657f13f7'},NULL,NULL,18.9米,6.66米,NULL,13000千克,单旋翼,20.27米
亚音速,http://images.huanqiu.com/sarons/2013/11/278a60896bdeda10fa6566f54d7d01e8.jpg,NULL,29人,"
超美洲豹AS332L1为一款双发中型民用直升机。其作业特性和宽敞的座舱是该机在旅客运输领域成功的原因。AS332L1飞行平稳流畅，其宽敞的座舱为乘客提供了无法比拟的舒适和豪华品质。充足的剩余功率、安全水平和舒适性，使得超美洲豹AS332L1成为在近海石油平台支持或其他民用领域和公务用途中的首选机型。
",851千米,两台透博梅卡公司 “马基拉”1A2,NULL,双发,飞行器,运输直升机,法国,NULL,NULL,4686千克,NULL,315千米每小时,超级美洲豹AS332L1,{'$oid': '5cc9315b831b973d657f13f8'},NULL,NULL,3.38米,4.97米,NULL,9300千克,单旋翼,16.79米
亚音速,http://images.huanqiu.com/sarons/2014/01/1b6813afebce0dce2a025b908a253a88.jpg,NULL,1人,"
K-MAX直升机的研制是为了满足外挂起重作业的需要。K-MAX于1991年12月23日首飞，1992年3月公开亮相，1994年8月获得型号合格证后开始交付使用。K-MAX直升机的生产规模较小，一共只交付了31架。
",555千米,一台T-53-17A-1涡轮轴发动机,卡曼飞机公司,NULL,飞行器,运输直升机,美国,NULL,NULL,2180千克,NULL,185千米每小时,卡曼K-MAX单发涡轮外挂起重直升机,{'$oid': '5cc9315b831b973d657f13f9'},1991年12月23日,NULL,14.73米,4.1米,NULL,5266千克,交叉双旋翼,15.85米
亚音速,http://images.huanqiu.com/sarons/2013/11/b5f94a583693e7babd304fbbb2a3e1b0.jpg,NULL,7人,"
SA319云雀III型（Aérospatiale Alouette III）是由法国宇航公司生产的轻型、单发及七座多用途直升机。云雀III型于1959年2月28日首飞，1985年停产，是云雀II型的后续机型。
",540千米,一台透博梅卡阿都斯特IIIB涡轮轴发动机,南方飞机公司、法国航太,双发,飞行器,运输直升机,法国,NULL,NULL,1143千克,NULL,210千米每小时,SA319云雀III型,{'$oid': '5cc9315b831b973d657f13fa'},1959年2月28日,NULL,11.02米,3米,1960年,2200千克,单旋翼,10.03米
亚音速,http://images.huanqiu.com/sarons/2014/01/51fa20eaaea7dfb3cba7e2b616976bb7.jpg,欧洲直升机公司,19人,NULL,870千米,2台透博梅卡公司“马基拉”1A1涡轴发动机,NULL,双发,飞行器,运输直升机,法国,NULL,NULL,4536千克,NULL,309千米每小时,AS 332“超美洲豹”双发涡轮中型直升机,{'$oid': '5cc9315c831b973d657f13fb'},1978年9月13日,NULL,15.6米,4.95米,1981年,8600千克,单旋翼,18.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/d96ab1c42b96aaf3ba7b375c66470cd6.jpg,卡莫夫设计局,7人,"
卡-26/126是为农业和其他空中作业研制的多功能直升机，1965年首飞。引人注目的是它的驾驶舱后面安装了可互换模块，可针对客运/货运、空中救护、消防及其他用途而进行调换。1970年，卡-26/126直升机在前苏联开始了它的服役生涯。该机型共计交付了超过850架。
",1200千米,242.5千瓦(330马力)的M-14B-26星形气冷活塞发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,1950千克,4.6米,170千米每小时,卡-26/126“恶棍”双发活塞式轻型直升机,{'$oid': '5cc9315c831b973d657f13fc'},1965年,NULL,13米,4.05米,1970年,3250千克,共轴双旋翼,7.75米
亚音速,http://images.huanqiu.com/sarons/2014/01/ee858962517a2420bdd13b82be62bf89.jpg,西科斯基直升机公司,32人,NULL,833千米,通用电气CT58涡轮轴发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,NULL,NULL,267千米每小时,西科斯基S-61双发涡轮中型直升机,{'$oid': '5cc9315c831b973d657f13fd'},1959年3月11日,NULL,18.9米,5.6米,NULL,NULL,单旋翼,22.2米
亚音速,http://images.huanqiu.com/sarons/2013/11/d7f8c326712ba3adacb354c3056f800b.jpg,NULL,30人,米-171直升机是俄罗斯米里设计局设计、俄罗斯乌兰航空生产联合公司生产的新型直升机，是著名的米-8T和米-17的现代化改进型，性能和可靠性比米-8T和米-17有显著提高。新机于1988年开始研制，1991年开始生产。之后又发展了多种型号。,495千米,两台TV3-117VM涡轴发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,7055千克,NULL,260千米每小时,米-171（新款）,{'$oid': '5cc9315c831b973d657f13fe'},NULL,NULL,21.29米,5.6米,NULL,13011千克,单旋翼,25.35米
亚音速,http://images.huanqiu.com/sarons/2014/01/4278d76533b3084ddf965975ae05601c.jpg,西科斯基直升机公司,3人,NULL,370千米,普-惠JFTD-12涡轮轴发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,NULL,NULL,213千米每小时,西科斯基S-64“高空吊车”双发涡轮重型起重直升机,{'$oid': '5cc9315c831b973d657f13ff'},1962年5月9日,NULL,22米,7.8米,NULL,NULL,单旋翼,27米
亚音速,http://images.huanqiu.com/sarons/2013/11/67b43cc56081b7caf328ddc821157ed7.jpg,米里设计局 ,84人,"
米-26“光环”是世界最大的直升机，在1981年的巴黎航空展上首次展出，20世纪70年代初期开始研制，1977年12月14日原型机首飞，1983年投入运营，1986年6月开始出口。米-26直升机一共交付了超过300架。
",1920千米,ZMKB Progress D-136涡轮轴发动机,NULL,双发,飞行器,运输直升机,苏/俄,NULL,NULL,28200千克,NULL,295千米每小时,米-26“光环”双发涡轮重型直升机,{'$oid': '5cc9315c831b973d657f1400'},1977年12月14日,NULL,32米,8.2米,1983年,56000千克,单旋翼,40米
