大类,翼展,类型,名称,引信,射程,制导系统,_id,图片,产国,研制时间,弹长,研发单位,简介,最大速度,弹径,弹重
导弹武器,1.22米,空舰导弹,鹰击-81（YJ-81/C－801K）空射型导弹,NULL,42千米,自控加主动雷达末制导,{'$oid': '5cc933a5831b973d657f2278'},NULL,中国,NULL,NULL,70年代中期,"
鹰击81(C－801K）有“中国飞鱼”之称，近年因为被伊朗等国采用而锋头颇健。其中，C-801已装备在中国售予伊朗的河沽级导弹快艇，而C－801K则被伊朗空军的F－4战斗机采用，成为受到美国海军关注的一种武器。
",NULL,NULL,NULL
导弹武器,5.64米,空舰导弹,AS-15-TT反舰导弹,NULL,15千米,无线电指令加高度程控,{'$oid': '5cc933a6831b973d657f2279'},NULL,法国,1977年,2.3米,法国宇航公司,"
AS-15-TT是法国宇航公司于1977年开始研制的一种轻型通用反舰导弹。根据发射平台的不同，它可分为空对舰型、舰对舰型和岸对舰型。空对舰型是基本型，主要装备海军的直升机，用以攻击敌方导弹快艇等中小型水面舰艇。
",NULL,1.87米,NULL
导弹武器,0.72米,空舰导弹,CL-843海鸥（Sea Skua ASM）空舰导弹 ,触发引信，延迟引爆,25千米,半主动雷达制导,{'$oid': '5cc933a6831b973d657f227a'},NULL,英国,1972年,2.5米,英国航空航天公司,NULL,NULL,0.25米,145千克
导弹武器,NULL,空舰导弹,Kh-31系列空舰导弹,NULL,150千米,NULL,{'$oid': '5cc933a6831b973d657f227b'},NULL,苏/俄,1984年4月,3.75米,俄罗斯新星设计局,NULL,NULL,0.42米,610千克
导弹武器,NULL,空舰导弹,X-1（Fritz X) ,NULL,5千米,NULL,{'$oid': '5cc933a6831b973d657f227c'},http://images.huanqiu.com/sarons/2013/11/46304d4384ca02f44d112ebabcd1b75e.jpg,德国,NULL,3.32米,Ruhrstahl/Kramer,NULL,1235千米/小时,0.853米,1362千克
导弹武器,0.147米,空舰导弹,RBS-15F“尔布斯”空舰导弹,NULL,200千米,惯性中制导和主动雷达末制导,{'$oid': '5cc933a6831b973d657f227d'},http://images.huanqiu.com/sarons/2013/11/35605e75d63fbd812ae78d79f79b8fbf.jpg,瑞典,1982年,4.35米,萨伯·博福斯导弹公司,NULL,NULL,0.5米,630千克
导弹武器,3.1米,空舰导弹,Hs293空舰导弹,NULL,4千米,NULL,{'$oid': '5cc933a7831b973d657f227e'},NULL,德国,1939年,3.82米,亨舍尔公司,NULL,NULL,0.47米,550千克
导弹武器,1.2米,空舰导弹,P.3T/海鹰（Sea Eagle）,NULL,110千米,NULL,{'$oid': '5cc933a7831b973d657f227f'},http://images.huanqiu.com/sarons/2014/01/47cc8cc03a58a27c35ed4debf44d6f53.jpg,英国,1976年,4.14米,英国航空航天公司动力部 ,"
“海鹰”是英国航空航天公司动力部研制的中程反舰导弹。原代号为P.3T。它有空对舰型（P.3T）和舰对舰型（P.5T）。1967年第三次中东战争之后，英国曾制定过舰载“马特尔”、“水下发射导弹”、“海鸥”等反舰导弹研制计划，但除“海鸥”之外，其他研制计划都固性能一般或经济效益较差而被迫撤销。“海鹰”反舰导弹也面临着许多竞争者，但由于英国航空航天公司吸取了国内外反舰导弹的先进经验，应用计算机和微处理机等新技术，使其性能有所突破，计划进展比较顺利。1976年开始初样研制，1986年定型装备。除英皇家空军、海军计划在“海盗”和“海鹞”飞机上装备该弹外，印度也为其””海王”直升飞机订购了该弹。
",NULL,NULL,580千克
导弹武器,NULL,空舰导弹,ASM-3空舰导弹 ,火箭冲压,近程导弹,被动雷达,{'$oid': '5cc933a7831b973d657f2280'},NULL,日本,2010年,6米,NULL,"
日本为了弥补F-2战斗机和F-4EJ战斗机数量劣势，于2010年开始ASM-3空舰导弹的研制，以发动更有效的反舰攻击。计划2016年完成实用试验。
",NULL,0.35米,900千克
导弹武器,1.1米,空舰导弹,“飞鱼”空舰导弹,定时引信、碰炸引信,70千米,惯性导引+主动雷达导引,{'$oid': '5cc933a7831b973d657f2281'},http://images.huanqiu.com/sarons/2013/11/336c39aa0f17db1ea3489c729a7e2e0b.jpg,法国,1970年,4.7米,法国宇航公司,"
“飞鱼”导弹是法国航宇公司研制的一种全天侯两级飞航式空对舰导弹，代号为AM-39。是一款由法国研发制造的反舰导弹，拥有舰射、潜射、空射等多种不同的发射方式，而除了潜射型版本外，飞鱼导弹全可以接近音速在接近水面5米不到的高度飞行但不接触水面。飞鱼导弹在1980年代开始正式服役后，历经过许多实战经验，是一种整体性能评价优异的反舰导弹系统。
",1134千米/小时,0.348米,670千克
导弹武器,1米,空舰导弹,AS34/鸬鹚空舰导弹,触发延时引信,30千米,NULL,{'$oid': '5cc933a7831b973d657f2282'},NULL,德国,1962年,4.4米,德国戴勒姆-本茨宇航公司(DASA),"
该弹是原联邦德国梅-伯-布公司(MBB)、现德国戴勒姆-本茨宇航公司(DASA)研制的一种近程掠海飞行空舰导弹，装备其海军航空兵的F-104G战斗机，攻击1000吨级以上的海上舰艇目标。
",NULL,0.345米,600千克
导弹武器,1.1米,空舰导弹,Kh-29(AS-14)空地(舰)导弹,NULL,12千米,NULL,{'$oid': '5cc933a7831b973d657f2283'},http://images.huanqiu.com/sarons/2013/11/74e041dbbc7705aff7e7aa601b1f2123.jpg,苏/俄,NULL,3.9米,NULL,"
Kh-29空地(舰)导弹又称AS-14""小锚""导弹,是1970年代发展的空对地导弹，1980年代开始服役，属于第三代俄制战术导弹。Kh-29有电视制导的Kh-29T、半主动激光制导的Kh-29L、红外线制导的 Kh-29D、反辐射型的Kh-29MP，这些导弹可配备在多型俄制战机上。
",NULL,0.4米,680千克
导弹武器,0.11米,空舰导弹,“迦伯列”3空舰导弹,NULL,40千米,NULL,{'$oid': '5cc933a7831b973d657f2284'},NULL,以色列,1978年,3.85米,以色列飞机工业公司,"
“迦伯列”3是以色列飞机工业公司在其“迦伯列”3舰舰导弹基础上发展的空舰导弹，1978年开始研制，1984年开始批生产。该弹可装备F-4“鬼怪”、A-4“天鹰”飞机，以及1124A海上巡逻飞机。
",NULL,0.034米,NULL
导弹武器,3.1米,空舰导弹,Hs.293空舰导弹,NULL,8.5千米,NULL,{'$oid': '5cc933a8831b973d657f2285'},NULL,德国,1939年,3.82米,赫伯特.A.瓦格纳博士为首的研究团队,NULL,NULL,3.1米,550千克
导弹武器,2.25米,空舰导弹,K-12Б 空航导弹,触发/延时引信,40千米,惯导加主动雷达,{'$oid': '5cc933a8831b973d657f2286'},NULL,苏/俄,1953年,8.36米,别里耶夫飞机设计局,"
K-12Б 空航导弹是别里耶夫领导的设计局为别-10（Бe-10）水上轰炸机配套设计的反舰导弹。从1953年开始设计，1957年投入批量生产，到1960年生产60多架。主要用来攻击海上大型舰艇，也可攻击雷达反差大的地面目标。
",NULL,1.14米,NULL
导弹武器,0.857米,空舰导弹,爱吐斯（Airtos）空舰导弹,触发引信/近炸引信,11千米,主动雷达加雷达高度表修正,{'$oid': '5cc933a8831b973d657f2287'},NULL,意大利,1969年,3.9米,意大利西斯特耳公司,NULL,2325.6千米/小时,0.206米,191千克
导弹武器,NULL,空舰导弹,X-41反舰导弹,触发引信,NULL,惯导加主/被动雷达,{'$oid': '5cc933a8831b973d657f2288'},NULL,苏/俄,70年代中期,NULL,虹机械制造设计局,"
该弹是前苏联/俄罗斯自行研制并装备部队使用的第四代反舰导弹，是由虹机械制造设计局于70年代中期开始研制，1980年开始服役。该弹装备于苏-27K舰载战斗机。
",NULL,NULL,3950千克
导弹武器,1.02米,空舰导弹,“阿斯姆”-1/80式空舰导弹,触发延时引信和近炸引信,50千米,惯导加雷达高度表修正中制导、主动雷达末制导(ASM-1/1C),{'$oid': '5cc933a9831b973d657f2289'},NULL,日本,1973年,4米,三菱重工业公司,NULL,NULL,0.335米,600千克
导弹武器,1.97米,空舰导弹,罗伯特RB04（Robot RB04） 空舰导弹,触发延时引信和近炸引信,20千米,程序控制中制导和主动雷达末制导,{'$oid': '5cc933a9831b973d657f228a'},http://images.huanqiu.com/sarons/2014/04/85fe1462aa77a535e2292c7c6d0b3594.jpg,瑞典,1946年,4.45米,瑞典萨伯导弹公司,"
该弹是瑞典自行研制并装备使用的第一个中距战术空舰导弹。瑞典的战术导弹计划项目由瑞典国防部导弹局(Robotavdelningen)负责，由原萨伯·斯堪尼亚公司、现萨伯导弹公司研制。该弹是在“罗伯特”310(Robot 310基础上，开始发展第一个实战用舰舰/空舰型导弹——“罗伯特”315/304(Robot 315/304)。“罗伯特”304，1948年在T18B轰炸机上开始试飞，空军编号为RB-04。现仍在服役。
",1162.8千米/小时,0.5米,600千克
导弹武器,0.779米,空舰导弹,X-31Ⅱ/X-31A(AS-12)反辐射/反舰导弹,触发引信,200千米,被动雷达,{'$oid': '5cc933a9831b973d657f228b'},NULL,苏/俄,1977年,5.2米,“星星”机械制造设计局,NULL,NULL,0.36米,600千克
