大类,类型,名称,引信装置,_id,图片,产国,研制时间,关注度,弹长,全重,研发单位,简介,弹径,装药类型
爆炸物,地雷,DM24反履带雷,NULL,{'$oid': '5cc93405831b973d657f2440'},NULL,德国,NULL,NULL,NULL,9.16千克,NULL,"
联邦德国研制的反坦克履带地雷。通常由人工布投，也可由直升机投布。该雷于20世纪70年代中期装备使用。
",305毫米,NULL
爆炸物,地雷,17/4C“巨型猎枪”地雷,NULL,{'$oid': '5cc93405831b973d657f2441'},NULL,奥地利,20世纪80年代,NULL,NULL,8千克,南士的里亚金属工业公司,NULL,302毫米,B炸药
爆炸物,地雷,M25防步兵地雷,NULL,{'$oid': '5cc93406831b973d657f2442'},NULL,美国,20世纪60年代,NULL,90毫米,NULL,NULL,NULL,45毫米,NULL
爆炸物,地雷,FFV－028反坦克两用雷,NULL,{'$oid': '5cc93406831b973d657f2443'},NULL,瑞典,20世纪70年代初,NULL,NULL,7.5千克,瑞典FFV公司军械部,"
瑞典FFV公司军械部于20世纪70年代初开始研制的反坦克车底履带地雷。人工或机械布雷车布设。
",250毫米,NULL
爆炸物,地雷,AT－2反车底雷,NULL,{'$oid': '5cc93406831b973d657f2444'},NULL,德国,1970年,NULL,NULL,2.22千克,联邦德国诺贝尔炸药股份公司,"
联邦德国诺贝尔炸药股份公司于1970年研制的可撒布反坦克车底地雷。曾称“梅杜萨”反车底雷。可有火箭布雷系统或抛撒布雷车布撒。
",103.5毫米,NULL
爆炸物,地雷,TCE/3－6反履带雷,NULL,{'$oid': '5cc93406831b973d657f2445'},NULL,意大利,20世纪70年代后期,NULL,NULL,6.8千克,意大利特希诺韦公司,"
意大利特希诺韦公司于20世纪70年代后期研制的可遥控操纵的反履带地雷。人工或机械布雷车布投。
",270毫米,NULL
爆炸物,地雷,M24 反侧甲雷,NULL,{'$oid': '5cc93406831b973d657f2446'},NULL,美国,1961年,NULL,597毫米,10.8千克,美国匹克汀尼兵工厂,NULL,88.9毫米,B型炸药
爆炸物,地雷,L9A1反坦克两用雷,NULL,{'$oid': '5cc93407831b973d657f2447'},NULL,美国,1973年,NULL,1200毫米,11千克,美国皇家武器装备研究和发展中心,"
美国皇家武器装备研究和发展中心于1973年研制的反坦克车底履带地雷，人工或专用布雷车布投。
",NULL,NULL
爆炸物,地雷,M19反履带雷,606型压发引信,{'$oid': '5cc93407831b973d657f2448'},NULL,美国,NULL,NULL,320毫米,12.7千克,NULL,"
美国研制的一种反坦克履带地雷，人工布设。具有良好的密封性，适宜设置在浅水河床或浅滩构成障碍。
",320毫米,NULL
爆炸物,地雷,IMP反车底雷,NULL,{'$oid': '5cc93407831b973d657f2449'},NULL,英国,1982年,NULL,160毫米,1千克,英国亨廷工程有限公司,"
英国亨廷工程有限公司于1982年研制的轻型反坦克车底地雷。1984年作为英国陆军SMS可撒布地雷系统的一部分重新开始研制。该雷通常由步兵携带的布设。主要用于构筑防御性雷场及封闭预设雷场中的通路。
",92毫米,NULL
爆炸物,地雷,SB－MV/T反坦克两用雷,NULL,{'$oid': '5cc93407831b973d657f244a'},NULL,意大利,NULL,NULL,NULL,5千克,意大利米萨公司,"
意大利米萨公司研制的反坦克车底履带地雷，人工或机械布投。能击穿100毫米厚的装甲钢板，最大埋设深度100毫米，也可布设在地面上。该雷于1979年批量生产。
",236毫米,NULL
爆炸物,地雷,BLU－91/B反车底雷,NULL,{'$oid': '5cc93407831b973d657f244b'},NULL,美国,1981年,NULL,140毫米,1.74千克,美国霍尼韦尔公司,"
美国霍尼韦尔公司于1981年研制的可撒布反坦克车底地雷，是美国""盖托""布雷系统的专用地雷，装填在飞机投弹箱改制成的地雷撒布器里，由飞机投布。
",140毫米,NULL
爆炸物,地雷,PARM－1反侧甲雷,NULL,{'$oid': '5cc93408831b973d657f244c'},NULL,德国,NULL,NULL,NULL,10千克,德国梅塞施米特·伯尔科·布洛姆股份有限公司,"
德国梅塞施米特·伯尔科·布洛姆股份有限公司，按照美国军用标准MIL－STD－331和AMIL－STD－810C研制的反坦克侧甲地雷，通常由人工布设于道路两侧，用以封锁敌坦克或装甲车必经之路，也可用于封锁隘口、岔道、通道、小路。于1994年装备德国国防军。
",128毫米,NULL
爆炸物,地雷,TM－46反履带雷,M－B5压发引信,{'$oid': '5cc93408831b973d657f244d'},NULL,苏/俄,20世纪40年代,NULL,NULL,8.5千克,NULL,"
苏联于20世纪40年代研制的一种反坦克履带地雷。人共布设。是世界上较早的一种耐爆地雷，于第二次世界大战后装备苏军和毕沙条约组织成员国家队。
",304毫米,NULL
爆炸物,地雷,FSA－ATM反车底雷,NULL,{'$oid': '5cc93408831b973d657f244e'},NULL,意大利,20世纪80年代初,NULL,NULL,1.3千克,意大利凡尔赛勒公司,"
意大利凡尔赛勒公司于20世纪80年代初开始研制的可撒布反坦克车底地雷。与122毫米火箭布雷系统配套使用。
",115毫米,NULL
爆炸物,地雷,六六式/GLD150防步兵定向雷,NULL,{'$oid': '5cc93408831b973d657f244f'},NULL,中国,1966年,NULL,218毫米,1.6千克,NULL,NULL,NULL,NULL
