制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
英国皇家轻武器厂（RSAF）,1970年-1985年,狙击枪,恩菲尔德执法者步枪,枪械与单兵,1828米,NULL,{'$oid': '5cc9323f831b973d657f1a0b'},http://images.huanqiu.com/sarons/2013/08/4cb87efbf1a5dddd88812f6316c985e1.jpg,英国,4.19千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1257毫米
美国雷明登武器公司,1962年至今,狙击枪,M40A1狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc9323f831b973d657f1a0c'},http://images.huanqiu.com/sarons/2013/08/72daf4c2ff6a5994643bdff59fea2a7d.jpg,美国,6.6千克,NULL,越战，波斯湾战争，伊拉克战争，2001年阿富汗战争,NULL,NULL,7.62毫米,5发,1118毫米
海军陆战队步枪队装备工作室(美国，弗占尼亚州，匡堤科),NULL,狙击枪,7.62毫米精确射手步枪（DMR）,枪械与单兵,800米,NULL,{'$oid': '5cc93240831b973d657f1a0d'},NULL,美国,5千克,NULL,2001年阿富汗战争美伊战争,NULL,半自动枪支,7.62毫米,20发,1118毫米
精准国际公司(英国，朴次茅斯),NULL,狙击枪,精准国际7.62毫米AW狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc93240831b973d657f1a0e'},NULL,英国,6.4千克,NULL,NULL,"
精准国际7.62毫米AW狙击步枪在设计上考虑了防冻问题，设计了特殊的表面保护层、三位置保险柄、滑动自如的手动式枪机开闭锁机构、枪口制退器、更简单可靠的可分离机械瞄准具、改进的两脚架、与便携挽带配套的多点吊钩附件以及容量为10发的弹匣。
",单发,7.62毫米,10发,1180毫米
铁旅兵工厂(美国，北卡罗来纳州),1966年至今,狙击枪,铁旅兵工厂M40系列狙击步枪,枪械与单兵,1300米,NULL,{'$oid': '5cc93240831b973d657f1a0f'},http://images.huanqiu.com/sarons/2013/11/00ba6e65bffd13d38e6f291158e12dd9.jpg,美国,6.5千克,NULL,越战，波斯湾战争，伊拉克战争，2001年阿富汗战争,"
M40狙击步枪是雷明登700步枪的衍生型之一。1966年越战开始装备美国海军陆战队，亦是其制式狙击步枪。M40有3种改进型，1977年的M40A1、1980年的M40A1、2001年的M40A3及2009年的M40A5。美国海军陆战队的M40A1正以更换枪管、枪托及其他零件的方式，陆续换装成新型的M40A3。原型的M40是军用版本的雷明登700步枪，一体式木制枪托及其他所有零件皆由雷明登武器公司制造，而M40A1及A3的枪托改用玻璃纤维，80年的A1及A3换装新型瞄准镜。
",NULL,7.62毫米,5发,1115毫米
前南斯拉夫扎斯塔瓦武器公司,1975年-,狙击枪,Zastava M76自动步枪,枪械与单兵,800米,NULL,{'$oid': '5cc93240831b973d657f1a10'},http://images.huanqiu.com/sarons/2013/08/c03b4c95189df3ec7dc046cc07eae9ec.jpg,前南斯拉夫,4.6千克,NULL,南斯拉夫内战、科索沃战争 伊拉克战争,NULL,自动步枪,7.92毫米,10发,1135毫米
精准国际公司(英国，朴次茅斯),NULL,狙击枪,AW“隐蔽型”狙击步枪,枪械与单兵,300米,NULL,{'$oid': '5cc93240831b973d657f1a11'},http://images.huanqiu.com/sarons/2013/11/a25fbaf0280cc48002263b31228c945e.jpg,英国,6千克,NULL,NULL,NULL,单发,7.62毫米,10发,1200毫米
中央精密机械工程研究院(俄罗斯，莫斯科),1980年,狙击枪,9毫米VSS微声狙击步枪,枪械与单兵,400米,NULL,{'$oid': '5cc93240831b973d657f1a12'},http://images.huanqiu.com/sarons/2013/11/6edbd998055255ad87421b5a95ece0ee.jpg,苏/俄,NULL,NULL,车臣战争，2008年南奥塞梯战争，别斯兰人质危机,NULL,NULL,9毫米,30发,894毫米
美国贝尔塔枪械公司,1995年至今,狙击枪,贝尔塔95M型步枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93240831b973d657f1a13'},http://images.huanqiu.com/sarons/2013/08/8453572e677df5dde39f0d9b9ce1af48.jpg,美国,9千克,NULL,NULL,NULL,NULL,12.7毫米,5发,1143毫米
德国赫克勒-科赫有限公司,1975年,狙击枪,赫克勒·科赫PSG 1自动步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93240831b973d657f1a14'},http://images.huanqiu.com/sarons/2013/08/ab5aeebb2a89fee1fb2fed358b30a5c7.jpg,德国,8.1千克,NULL,NULL,NULL,半自动步枪,7.62毫米,20发,1208毫米
中国北方工业公司,1996年,狙击枪,QBU88式狙击步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93241831b973d657f1a15'},http://images.huanqiu.com/sarons/2013/11/e2c02df6009a7a319a56634d2371d3a3.jpg,中国,4.1千克,NULL,NULL,NULL,NULL,5.8毫米,10发,920毫米
NULL,2001年,狙击枪,W03型12.7mm狙击步枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93241831b973d657f1a16'},http://images.huanqiu.com/sarons/2013/11/1272ededcbbc9d89d9dcb19ad94c72a3.jpg,中国,12千克,NULL,NULL,"
    W03型12.7mm狙击步枪是一种无托结构的步枪，采用机头回转式闭锁，旋转后拉式枪机。枪管有1002mm的长枪管和737mm的短枪管两种。该枪的高效制退、消焰器效率极好，卧姿抵肩射击时，可感后坐力与12号霰弹枪差不多，而测得的枪口焰也比85式高射机枪小。该枪的另一特点是枪管可快速更换，提把与枪管的固定栓二合为一，这样的设计看来是仿效了机枪的特点。
",NULL,12.7毫米,10发,1370毫米
NULL,2008年至今,狙击枪,M39增强型精确射手步枪,枪械与单兵,770米,NULL,{'$oid': '5cc93241831b973d657f1a17'},http://images.huanqiu.com/sarons/2014/01/c1ef3630aa27e94ab67531c35784b882.jpg,美国,7.5千克,NULL,NULL,"
M39增强型精确射手步枪（EMR或M39 EMR，北约贮存编号：1005-01-553-5196；美国军方正式名称：Rifle, 7.62 MM, M39 Enhanced Marksman Rifle (EMR)）是美国海军陆战队（USMC）于2008年以M14自动步枪的衍生型M14 DMR改装的7.62 × 51毫米半自动精确射手步枪。EMR目前配发的弹药为M118LR 175格令远程狙击弹，基本型的EMR（不计算弹匣、背带、两脚架、清洁用具、消声器）重量为13磅（5.9公斤）。
",NULL,7.62毫米,20发,1120毫米
NULL,2003年,狙击枪,国产JS05式12.7MM狙击步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93241831b973d657f1a18'},NULL,中国,12.5千克,NULL,NULL,"
国产JS05式12.7MM狙击步枪，是建设集团的JS7.62液压驻退式手动旋转后拉枪机战术狙击步枪，最具特色的是其液压驻退系统,是国产大口径反器材步枪中唯一能发射次口径脱壳穿甲弹的型号。
",NULL,12.7毫米,3发,1392毫米
巴雷特,2008年,狙击枪,巴雷特M98B狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93241831b973d657f1a19'},http://images.huanqiu.com/sarons/2013/11/7f2f9fc1b8230c135e29d23586f09b60.jpg,美国,6.12千克,NULL,NULL,NULL,NULL,8.59毫米,10发,99999.999毫米
NULL,20世纪90年代后期,狙击枪,M99半自动狙击步枪,枪械与单兵,1500米,NULL,{'$oid': '5cc93242831b973d657f1a1a'},http://images.huanqiu.com/sarons/2014/01/6f2b545c626320d9c3f78a206c0f866d.jpg,中国,11.4千克,NULL,NULL,"
M99式是一款性能先进、用途广泛、精度高、射程远、重量轻、结构新颖、性能可靠、易维护的半自动狙击步枪，是新定型的出口型反器材步枪，它与英国AI公司的AS50的外形似乎很接近，均为气吹式原理，尤其是导气管外都有个隔热套保护，防止导气管加热上方空气而影响瞄准。
",半自动,12.7毫米,5发,1270毫米
中国南方工业集团公司,2000年,狙击枪,AMR-2型12.7毫米狙击步枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93243831b973d657f1a1b'},http://images.huanqiu.com/sarons/2014/01/f99e69296f6f85ad3da05cc008bdf1f3.jpg,中国,11千克,NULL,NULL,"
AMR-2（英语：AntiMaterielRifle-2）是一枝在中国设计的12.7 毫米（50 英吋）大口径重型狙击步枪（反器材步枪），由中国南方工业集团公司设计及生产，于2000年早期推出，发射12.7 × 108 毫米（54式12.7毫米重机枪弹）步枪子弹。
",非自动狙击步枪,12.7毫米,5发,1420毫米
建设集团军品研究所,2003年,狙击枪,JS 7.62mm狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc93243831b973d657f1a1c'},NULL,中国,5.5千克,NULL,NULL,NULL,非自动枪支,7.62毫米,5发,1030毫米
NULL,2009年,狙击枪,m40a5狙击步枪,枪械与单兵,914.4米,NULL,{'$oid': '5cc93243831b973d657f1a1d'},http://images.huanqiu.com/sarons/2013/11/6a41865544a6600e09440227aa1fcf14.jpg,美国,7.48千克,NULL,NULL,NULL,非自动枪支,7.62毫米,5发,1125毫米
奈特军械公司,2007年,狙击枪,Mk11式7.62毫米狙击步枪,枪械与单兵,600米,NULL,{'$oid': '5cc93243831b973d657f1a1e'},http://images.huanqiu.com/sarons/2013/11/5f447dbd6d91d343f811a8c1a7e45035.jpg,美国,4.47千克,NULL,阿富汗战争，伊拉克战争,NULL,自动枪支,7.62毫米,20发,1003毫米
伊茨玛希工厂,1998年,狙击枪,SV98狙击步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93244831b973d657f1a1f'},http://images.huanqiu.com/sarons/2013/11/3f7752dae3c470f3819a2d8daacf798d.jpg,苏/俄,7.8千克,NULL,2008年男奥塞梯战争,NULL,手动机枪,7.62毫米,10发,1375毫米
中国北方工业公司,1997年,狙击枪,97式5.56mm狙击步枪,枪械与单兵,600米,NULL,{'$oid': '5cc93244831b973d657f1a20'},http://images.huanqiu.com/sarons/2013/11/880c6203c3d6d9e464b80b9f17ddbc4b.jpg,中国,4.2千克,NULL,NULL,NULL,NULL,5.56毫米,10发,920毫米
捷克斯洛伐克CZ兵工厂,NULL,狙击枪,CZ-700狙击枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93244831b973d657f1a21'},http://images.huanqiu.com/sarons/2014/01/91407a104d98059ee108bb74f5caaf7f.jpg,捷克,6.2千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1250毫米
奈特军械公司,NULL,狙击枪,MK11-0型狙击步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93244831b973d657f1a22'},http://images.huanqiu.com/sarons/2014/01/c656ed91d69013541c6e25227b7b8941.jpg,美国,4.47千克,NULL,NULL,NULL,NULL,7.62毫米,20发,1003毫米
雷明登军品分公司,1962年,狙击枪,雷明登SR8狙击步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93244831b973d657f1a23'},NULL,美国,7.14千克,NULL,NULL,NULL,自动枪支,8.59毫米,4发,12446毫米
伊热夫斯克机械公司,NULL,狙击枪,CB-98狙击枪,枪械与单兵,300米,NULL,{'$oid': '5cc93244831b973d657f1a24'},NULL,苏/俄,6.2千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1270毫米
图拉仪表制造设计局,1996年,狙击枪,V-94狙击枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93244831b973d657f1a25'},http://images.huanqiu.com/sarons/2014/01/88f8cb41373c1e0551131f10d3a76d05.jpg,苏/俄,11.7千克,NULL,车臣战争,NULL,自动枪支,12.7毫米,5发,1700毫米
斯泰尔-曼利夏公司,2004年,狙击枪,斯泰尔SSG-04狙击枪,枪械与单兵,800米,NULL,{'$oid': '5cc93245831b973d657f1a26'},NULL,奥地利,5.2千克,NULL,NULL,NULL,NULL,7.62毫米,10发,1175毫米
NULL,1979年,狙击枪,85式狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc93245831b973d657f1a27'},NULL,中国,4.4千克,NULL,对越自卫反击战,NULL,NULL,7.62毫米,10发,1220毫米
黑克勒-科赫公司,1972年,狙击枪,PSG-1半自动狙击步枪,枪械与单兵,1000米,400,{'$oid': '5cc93245831b973d657f1a28'},NULL,德国,8.1千克,NULL,NULL,NULL,自动枪支,7.62毫米,20发,1208毫米
英国国际精密公司,2008年,狙击枪,L115A3狙击枪,枪械与单兵,600米,NULL,{'$oid': '5cc93245831b973d657f1a29'},http://images.huanqiu.com/sarons/2014/01/52b3f6b04b583d2fb10dbc2fce771fce.jpg,英国,6.8千克,NULL,NULL,NULL,NULL,8.59毫米,5发,1300毫米
NULL,NULL,狙击枪,W03型狙击步枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93246831b973d657f1a2a'},NULL,中国,12.5千克,NULL,NULL,NULL,NULL,12.7毫米,10发,1392毫米
比利时国营赫斯塔尔公司,1980年,狙击枪,FN30-11式狙击枪,枪械与单兵,600米,NULL,{'$oid': '5cc93246831b973d657f1a2b'},http://images.huanqiu.com/sarons/2014/01/8d1e862df4b7df9c3cd075851ca4764c.jpg,比利时,4.85千克,NULL,NULL,NULL,非自动枪支,7.62毫米,10发,1117毫米
奈特军械公司（KAC）,2007年,狙击枪,M110 SASS半自动狙击步枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93246831b973d657f1a2c'},http://images.huanqiu.com/sarons/2014/01/44a3e85abd4cd131e4b084510ce4f819.jpg,美国,6.94千克,NULL,阿富汗战争，伊拉克战争,NULL,自动枪支,7.62毫米,20发,1181毫米
NULL,1989年,狙击枪,奥卡德狙击步枪,枪械与单兵,400米,NULL,{'$oid': '5cc93247831b973d657f1a2d'},NULL,伊拉克,4.3千克,NULL,NULL,NULL,自动枪支,7.62毫米,10发,1209毫米
SIG公司,1988年,狙击枪,SG-550狙击枪,枪械与单兵,400米,NULL,{'$oid': '5cc93247831b973d657f1a2e'},NULL,瑞士,4.05千克,700发/分,NULL,NULL,NULL,5.56毫米,30发,998毫米
塔·亨特定制步枪公司，麦克米伦机械公司,1991年,狙击枪,RSG-12式12号狙击枪,枪械与单兵,91.44米,NULL,{'$oid': '5cc93247831b973d657f1a2f'},NULL,美国,3.52千克,NULL,NULL,NULL,非自动枪支,18.2毫米,2发,1054毫米
Sauer公司，SIG公司,1997年,狙击枪,SSG-3000狙击枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93247831b973d657f1a30'},NULL,德国,6.2千克,NULL,NULL,NULL,NULL,7.62毫米,5发,1180毫米
以色列TCI公司,NULL,狙击枪,TCIM狙击枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93247831b973d657f1a31'},NULL,以色列,4.5千克,NULL,NULL,NULL,NULL,中口径,20发,850毫米
雷明登武器公司,1988年,狙击枪,M24狙击步枪,枪械与单兵,800米,NULL,{'$oid': '5cc93247831b973d657f1a32'},NULL,美国,5.5千克,NULL,波斯湾战争，伊拉克战争，阿富汗战争,NULL,NULL,7.62毫米,10发,1092毫米
巴雷特枪械公司,2004年－2006年,狙击枪,巴雷特XM109狙击步枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93247831b973d657f1a33'},NULL,美国,15.06千克,NULL,NULL,NULL,半自动枪支,25毫米,5发,1168毫米
