大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,航空炮,SUU-23/A 火神 机炮吊舱,5050毫米,NULL,{'$oid': '5cc93349831b973d657f2056'},http://images.huanqiu.com/sarons/2014/03/e8f692ad7b7acbef42c8b985a5e806af.jpg,美国,美国通用电气公司,NULL,炮弹重/备弹量250克/1200发,NULL,NULL,小口径炮,NULL,780千克
火炮,航空炮,UTMG通用双机枪吊舱,1845毫米,NULL,{'$oid': '5cc93349831b973d657f2057'},NULL,英国,皇家航空航天研究院，扑茨茅斯航空公司,NULL,NULL,NULL,"
该机枪吊舱是由英国原皇家航空航天研究院、现国防鉴定与研究局根据国防部WE286号要求，80年代末为英国皇家海/空军研制的，配用2挺比利时的FN7.62mm口径机枪的、通用型机枪吊舱。该机枪吊舱装备智利。塞浦路斯和印度等国的直升机和轻型固定翼作战飞机，但英国海/空军是否装备，还一直未见报道。
",NULL,80年代末,86.2千克
火炮,航空炮,HMP/MRL70组合式吊舱,NULL,NULL,{'$oid': '5cc93349831b973d657f2058'},NULL,比利时,FN赫斯特尔公司,1720毫米,NULL,NULL,"
该吊舱是由比利时的FN赫斯特尔公司为使通用飞机、教练机以及直升机获得对地攻击能力而研制的重型通用机枪/火箭吊舱。该吊舱的HMP吊舱部分，于70年代开始研制，1984年投产，随后服役，并大量出口。
",154毫米,70年代,182千克
火炮,航空炮,30mm德发（DEFA）航空机炮,2012毫米,NULL,{'$oid': '5cc9334a831b973d657f2059'},http://images.huanqiu.com/sarons/2014/03/78f3922ca736ed0c86c10fe3b30a780a.jpg,法国,军械研制局,NULL,30mm口径标准弹药,820米/秒,"
30mm德发（DEFA）航空机炮是在第二次世界大战结束后，由法国原军械研制局、现法国武器工业集团，在缴获的法西期德国1944年设计的“毛塞”MG-213C转膛炮基础上研制的。其名称“德发”，系法国军械研制局的法文缩写(DEFA)的音译。研制工作于40年代末开始，1951年其预生产型进入现役，1953年，研制出第一个改进型“德发”551，1954年进一步改进，投入生产后将其编号为“德发”552，1971年，研制出改进型“德发”552A。该系列机炮除广泛装备法国陆、海、空三军外，还大量外销出口，装备25个国家武装部队使用。
",30毫米,第二次世界大战结束后,85千克
火炮,航空炮,СППУ(SPPU)-6 机炮吊舱,5000毫米,NULL,{'$oid': '5cc9334a831b973d657f205a'},http://images.huanqiu.com/sarons/2014/03/bb3dc641c4aeb01f726a1c44530c443a.jpg,苏/俄,全俄防务出口总公司（VOGED),NULL,备弹量500发,NULL,NULL,小口径炮,NULL,525千克
火炮,航空炮,EX-34链式(Chain)航空机枪,889毫米,900米,{'$oid': '5cc9334a831b973d657f205b'},NULL,美国,美国休斯直升机公司,NULL,北约组织7.62mm标准弹药,862米/秒,"
EX-34式7.62mm机枪是链式枪炮系列中口径最小的，主要装在装甲车或直升机上作同轴武器使用。该枪目前已经准备装在英国主战坦克和所有未来战斗车辆上，也装在HGS－55式直升机上。此外，加拿大、肯尼亚和哥伦比亚也有少量装备。
",7.62毫米,NULL,13.2千克
火炮,航空炮,SUU-11B/A米尼冈 机枪吊舱,2159毫米,NULL,{'$oid': '5cc9334a831b973d657f205c'},NULL,美国,美国通用电器公司,NULL,枪弹重/备弹量375克/1000发,NULL,NULL,NULL,60年代,147千克
火炮,航空炮,23mm 23-1/2型 航空机炮,NULL,NULL,{'$oid': '5cc9334a831b973d657f205d'},NULL,中国,中国昆仑机械厂,NULL,23毫米标准弹药,680米/秒,NULL,23毫米,NULL,39千克
火炮,航空炮,23mm 623型 航空机炮,NULL,NULL,{'$oid': '5cc9334a831b973d657f205e'},NULL,中国,中国昆仑机械厂,NULL,23毫米标准弹药,820米/秒,NULL,23毫米,NULL,115千克
火炮,航空炮,MK20Rh202航空机炮,NULL,NULL,{'$oid': '5cc9334a831b973d657f205f'},NULL,德国,莱因金属公司,NULL,20mm口径北约标准弹药,1100米/秒,"
MK20Rh202航空机炮是联邦德国在第二次世界大战后研制成功的轻型机炮，由莱因金属公司为主承包商，主要是为前联邦德国的陆军和海军研制，已生产8000门，大量用作陆军的防空和车载武器以及海军的舰载武器。80年代中期，为装备联邦德国的BO105武装直升机，研制HBS202刚性炮架，用于安装MK20Rh202机炮，现已进入BO105武装直升机服役。
",20毫米,第二次世界大战后,75千克
火炮,航空炮,ГШ-6-30航空机炮,2040毫米,NULL,{'$oid': '5cc9334b831b973d657f2060'},NULL,苏/俄,努德尔曼-卡拉什尼科夫机械制造设计局,NULL,杀伤燃烧曳光弹，穿甲燃烧弹,850米/秒,NULL,30毫米,20世纪六七十年代,150千克
火炮,航空炮,MK4/MK5机炮吊舱,NULL,NULL,{'$oid': '5cc9334b831b973d657f2061'},NULL,英国,皇家轻武器工厂,NULL,NULL,NULL,"
该机炮及其吊舱均由原皇家轻武器工厂、现英国宇航皇家军械部研制，有两种类型。通用吊舱适用于各种战斗机、攻击机。并大量出口。
",NULL,NULL,NULL
火炮,航空炮,ГШ-6-23航空机炮,2040毫米,NULL,{'$oid': '5cc9334b831b973d657f2062'},NULL,苏/俄,努德尔曼-卡拉什尼科夫机械制造设计局,NULL,NULL,715米/秒,NULL,23毫米,20世纪六七十年代,76千克
火炮,航空炮,奥利康（Oerlikon）KAA/KAD/KBA型航空机炮,3100毫米,NULL,{'$oid': '5cc9334b831b973d657f2063'},NULL,瑞士,奥利康-比尔公司机床厂,NULL,25mm口径北约标准弹药,1360米/秒,"
奥利康（Oerlikon）KAA/KAD/KBA型单管机炮是瑞士原奥利康—比尔公司、现奥利康—康特拉夫斯公司在第二次世界大战后研制的专用航空机炮。多种型号的直升机射击武器装置已大量投产并装备使用。装备与英国的“山猫”、意大利的AB412等武装直升机。
",25毫米,第二次世界大战后,112千克
火炮,航空炮,ГШ-23航空机炮,1530毫米,NULL,{'$oid': '5cc9334c831b973d657f2064'},NULL,苏/俄,努德尔曼-卡拉什尼科夫机械制造设计局,NULL,杀伤燃烧曳光弹，穿甲燃烧弹,715米/秒,NULL,23毫米,20世纪60年代中期,51千克
火炮,航空炮,BRD组合式吊舱,NULL,NULL,{'$oid': '5cc9334c831b973d657f2065'},NULL,意大利,阿里亚公司,2400毫米,NULL,NULL,"
该吊舱是由意大利阿里亚公司为轻型教练/攻击机研制的通用教练/攻击吊舱，分为教练型和攻击型两类。适用于带北约组织标准挂架的各型直升机和轻型固定翼作战飞机。
",315毫米,NULL,137千克
火炮,航空炮,XM214航空机枪,686毫米,NULL,{'$oid': '5cc9334c831b973d657f2066'},NULL,美国,美国通用电气公司,NULL,5.56mm口径M61步枪标准弹药,990米/秒,"
该枪是由原通用电气公司(后改为马丁马丽埃塔军械系统公司，现为洛克希德马丁军械系统公司)，于80年代初在“米尼冈”GAU-2A/M134航空机枪基础上发展的5.56mm口径6管航空机枪，拟装备美国陆、海、空三军的武装直升机和轻型固定翼飞机以及地面战车，并早已向军方提交大量试制的机枪进行实弹射击试验，但迄今为止，仍未得到军方大量订货，因此，未能投入全面生产。
",5.56毫米,20世纪80年代初,15千克
火炮,航空炮,23mm 23-3型 航空机炮,NULL,NULL,{'$oid': '5cc9334c831b973d657f2067'},NULL,中国,中国昆仑机械厂,NULL,23毫米标准弹药,715米/秒,NULL,23毫米,NULL,50.5千克
火炮,航空炮,M230链式(Chain)航空机炮,1638毫米,NULL,{'$oid': '5cc9334c831b973d657f2068'},NULL,美国,美国休斯直升机公司,NULL,与CAU8/A机炮的弹药相同,808米/秒,"
该炮最初是由原休斯直升机公司、现麦道直升机公司(MDHC)，于1972年初自筹资金、独立研究开发的航空机炮项目，旨在研究采用简单闭合链路驱动的、20mm口径单管航空机炮，称之为链式(Chain)航空机炮，该炮采用美国陆军现用标准的20mm口径M50系列弹药。同年，美国陆军发出研制“先进攻击直升机”(AAH)及其装备的、采用“双功能爆破弹”(HEDP)的30mm口径航空机炮的召标，休斯直升机公司中标。1984年，随同AH-64A“阿帕奇”先进攻击直升机首次正式进入美国陆军服役，并正式编号为M230A1。
",30毫米,1972年,55.8千克
火炮,航空炮,平衡者(Equalizer)GAU－12/U航空机炮,2110毫米,NULL,{'$oid': '5cc9334c831b973d657f2069'},http://images.huanqiu.com/sarons/2014/04/d039ba511cf065f0a397a6fdd371fa34.jpg,美国,美国通用电气公司,NULL,M790系列、PGU20/U系列,1036米/秒,"
该炮是由原通用电气公司(后改为马丁马丽埃塔军械系统公司，现为洛克希德马丁军械系统公司)，于70年代末在“复仇者”30mm口径7管炮基础上改进发展的新型25mm口径5管航空机炮，专用于同一时期研制的美国海军陆战队的“鹞”AV-8B垂直起落战斗机及其外挂的武器吊舱，编号为GAU-12/A，命名为“平衡者”，系英文Equalizer的中文译名。

1980年，“鹞”AV-8B战斗机成功地进行了该吊舱及其GAU-12/U机炮对地面装甲目标的试射。1984年正式进入美国海军陆战队服役，装备“鹞”AV-8B垂直起落战斗机，同时装备美国海军舰艇和美国陆军战车，并向西班牙海军出口，装备其“鹞”AV-8A垂直起落战斗机。
",25毫米,20世纪70年代末,122千克
火炮,航空炮,GE225航空机炮,2209.8毫米,NULL,{'$oid': '5cc9334d831b973d657f206a'},NULL,美国,美国通用电气公司,NULL,25mm“大毒蛇”(Bushmaster)系列弹药,1200米/秒,"
该炮是由原通用电气公司(后改为马丁马丽埃塔军械系统公司，现为洛克希德马丁军械系统公司)，于80年代中期自筹资金、独立研究开发的新型航空机炮项目，旨在研究一种25mm口径“加斯特”型双管航空机炮，装备固定翼飞机和武装直升机，用于空空、空地攻击，也可装备海军的快速巡逻艇和海岸警戒艇。到80年代末，通用电气公司开始为装备AH-1S和AH-1T武装直升机，而修改设计方案，为其研制适用于机头炮塔的“加斯特”(Gast)型双管机炮。1990年完成研制，准备投入批生产。目前，尚未有其正式投产的报道。
",25毫米,20世纪80年代中期,86千克
火炮,航空炮,AV-8B 海鹞 GAU-12/U 机炮吊舱,NULL,NULL,{'$oid': '5cc9334d831b973d657f206b'},http://images.huanqiu.com/sarons/2014/03/a7021b04b67e78c80556ed05cebe0fc5.jpg,美国,美国通用电气公司,3340毫米,备弹量300发,NULL,NULL,小口径炮,NULL,581千克
火炮,航空炮,XM188E1航空机炮,1440毫米,NULL,{'$oid': '5cc9334d831b973d657f206c'},NULL,美国,美国通用电气公司,NULL,XM552爆破两用弹(HEDP)、XM-788/789/799和ADEN/DEFA弹药,792米/秒,"
该炮是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，于1967年在“火神”20mm口径6管M61A1炮基础上发展的30mm口径3管XM188炮的改进型，专用于美国陆军的武装直升机和轻型固定冀飞机，也可装备美国海军的巡逻艇。该炮虽已定型，但未投入批生产。
",30毫米,1967年,50千克
火炮,航空炮,AM-23航空机炮,1465毫米,NULL,{'$oid': '5cc9334d831b973d657f206d'},http://images.huanqiu.com/sarons/2014/03/df086c5342983234ff856dbc245a50c7.jpg,苏/俄,德米特里耶夫机械制造设计局,NULL,杀伤燃烧曳光弹，穿甲燃烧弹,690米/秒,NULL,23毫米,20世纪50年代中期,43千克
火炮,航空炮,УПК(UPK)-23-250 机炮吊舱,NULL,NULL,{'$oid': '5cc9334d831b973d657f206e'},NULL,苏/俄,全俄防务出口总公司（VOGED),3166毫米,320g/250发,NULL,NULL,小口径炮,NULL,218千克
火炮,航空炮,毛塞（Mauser）BK27航空机炮,2310毫米,NULL,{'$oid': '5cc9334e831b973d657f206f'},NULL,德国,毛塞公司欧本多夫工厂,NULL,27mm口径标准弹药,1025米/秒,"
毛塞（Mauser）BK27航空机炮是毛塞公司于1971年开始为欧洲多用途战斗机“狂风”而研制的新一代单管转膛炮，沿用其老名称―“毛塞”，系公司名称Mauser的中文译名。

该机炮研制项目，是欧洲实施的“北约组织多用途战斗机研制管理机构”(NATO MRCA DPMO,NAMMO)整个计划中的一部分，其设计要求是：高初速，高射速，高精度，高可靠性，各种弹药的外弹道特性相同，引信在极小弹着角时工作正常。1976年正式开始研制，1979年进入德国空军服役，随后进入英国和意大利空军服役，并外销到安曼、沙特阿拉伯等国。1995年以机炮吊舱形式展出其最新出口型。
",27毫米,1971年,100千克
火炮,航空炮,Aermacchi-30mm机炮吊舱,NULL,NULL,{'$oid': '5cc9334e831b973d657f2070'},NULL,意大利,马基航空公司,3450毫米,NULL,NULL,"
该吊舱由意大利马基航空公司于70年代专门为意大利空军轻型教练/攻击机MB-339A研制，用于对地攻击，随后加以改进，装备新型教练、攻击机MB-339C。
",650毫米,70年代,250千克
火炮,航空炮,以色列德发553式30mm航空炮 ,NULL,NULL,{'$oid': '5cc9334e831b973d657f2071'},NULL,以色列,NULL,NULL,NULL,NULL,NULL,小口径炮,NULL,NULL
火炮,航空炮,M621机炮吊舱,3460毫米,NULL,{'$oid': '5cc9334e831b973d657f2072'},NULL,法国,法国武器工业集团的蒂尔兵工厂,NULL,NULL,NULL,"
该机炮吊舱是法国武器工业集团下属的第二兵工厂根据法国陆/空军要求而与M621机炮配套研制的轻型多功能航空机炮吊舱。装备轻型固定翼攻击机和武器直升机。
",398毫米,NULL,122千克
火炮,航空炮,HMP机枪吊舱,NULL,NULL,{'$oid': '5cc9334e831b973d657f2073'},NULL,比利时,FN赫斯特尔公司,1810毫米,NULL,NULL,"
该吊舱是由比利时的FN赫斯特尔公司为使用飞机、教练机、直升机研制的通用机枪吊舱。适用于带北约组织标准挂架的各型直升机和轻型固定翼作战飞机。
",420毫米,70年代,116千克
火炮,航空炮,新型“阿登”30毫米航炮,1080毫米,NULL,{'$oid': '5cc9334e831b973d657f2074'},NULL,英国,NULL,NULL,NULL,790米/秒,NULL,小口径炮,NULL,NULL
火炮,航空炮,基亚特（GIAT）M621航空机炮,2207毫米,NULL,{'$oid': '5cc9334f831b973d657f2075'},http://images.huanqiu.com/sarons/2014/03/0b47e88ba8b039847d3292770a0d84c4.jpg,英国,法国武器工业集团下属的蒂尔兵工厂,NULL,30mm口径标准弹药,1025米/秒,NULL,30毫米,1957年,45千克
火炮,航空炮,GAU-13/A航空机炮,2794毫米,NULL,{'$oid': '5cc9334f831b973d657f2076'},NULL,美国,美国通用电气公司,NULL,NULL,1051.6米/秒,"
该炮是由原通用电气公司(后改为马丁马丽埃塔军械系统公司，现为洛克希德马丁军械系统公司)，于70年代末在“复仇者”30mm口径7管炮基础上改进发展的30mm口径4管航空机炮，除用于作战飞机固定安装在机体内，还可用于作战飞机外挂的机炮吊舱，为此在同一时期研制了与之配套使用的GPU-5/A武器吊舱。其最初编号为GE430，主要用作通用电气公司研制的GEPOD30机炮吊舱内的武器。1980年，美国空军使用多种型号的作战飞机对GEPOD30机炮吊舱武器系统进行了对地攻击试射，随后进入全面研制。到1989年美国空军采购数目超过300套，1992年，该机炮吊舱和机炮均处于批生产中，现已在美国空军服役。
",30毫米,20年代70年代末,136千克
火炮,航空炮,CC420/630机炮吊舱,NULL,NULL,{'$oid': '5cc9334f831b973d657f2077'},NULL,法国,马塞尔·达索-布尔热飞机制造公司,4200毫米,NULL,NULL,"
该系列吊舱由法国原马塞尔·达索-布尔热飞机制造公司、现达索飞机制造公司(Dassault Aviation)，于70年代专门为其双座型“幻影” F.1B研制，CC420吊舱于1978年投产，1979年进入法国空军服役，并向国外销售。CC630是CC420扩大型，已进入法国空军服役，1993年在巴黎航展上首次展出，但未见有出口报道。
",420毫米,NULL,300千克
火炮,航空炮,M-39E航空机炮,1830毫米,NULL,{'$oid': '5cc9334f831b973d657f2078'},NULL,美国,美国福特汽车公司和通用汽车公司,NULL,标准20mmM50系列电发火弹药，有实心弹(Bal1)、爆破燃烧弹 (HEI)、穿甲燃烧弹(API)等 ,1036米/秒,"
M-39E机炮是在缴获的法西期德国1944年设计的30mm口径“毛塞”MG-213C机炮基础上研制的。1951年6月在该公司的迪尔伯恩(Dearborn)工具/模具工厂生产出第一门M-39D，同年7月对多次出故障的该炮重新进行设计，赋予其编号为 
M-39E，同年12月交付负责研制的陆军军械部，经其确认为新型高射速航空机炮后，与福特汽车公司签定了生产数百门机炮以供实验的合同。1952年，M-39E正式装备F-86F，在爱德华空军基地进行飞行实验，随后便运往朝鲜战场进行实战使用试验。
",20毫米,1946年,77千克
火炮,航空炮,30毫米M230A1链式航空炮,NULL,NULL,{'$oid': '5cc9334f831b973d657f2079'},NULL,美国,NULL,NULL,NULL,NULL,NULL,小口径炮,NULL,NULL
火炮,航空炮,MK.4Mod0 机炮吊舱,NULL,NULL,{'$oid': '5cc9334f831b973d657f207a'},NULL,美国,美国休斯直升机公司,NULL,备弹量750发,NULL,NULL,小口径炮,60年代初,639千克
火炮,航空炮,基亚特（GIAT）30-781/30-791 航空机炮,1870毫米,NULL,{'$oid': '5cc9334f831b973d657f207b'},http://images.huanqiu.com/sarons/2014/03/b0ebabe24ec90a18ee82b470107b7a55.jpg,法国,法国武器工业集团,NULL,30mm口径标准弹药,1025米/秒,NULL,30毫米,1985年,55千克
火炮,航空炮,米尼岗(Minigun)GAU－2A/M134航空机枪,801.6毫米,1153米,{'$oid': '5cc93350831b973d657f207c'},http://images.huanqiu.com/sarons/2014/03/e2352425a44b55eb9aa187a0f6b7a016.jpg,美国,美国通用电气公司,NULL,北约组织的7.62mm标准弹药,838米/秒,"
该枪是由原通用电气公司（后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司），于20世纪50年代初在“火神”20mm口径6管M61A1炮基础上发展的7.62mm口径6管航空机枪，装备美国陆、海、空三军的武装直升机和轻型固定翼飞机，并曾在越南战争期间广泛使用，陆军编号为M134，海、空军编号为GAU-2A，命名为“米尼冈”，系英文Minigun的中文译名。
",7.62毫米,20世纪50年代初,18.8千克
火炮,航空炮,火神(Vulcan)M61航空机炮,1971.7毫米,3000米,{'$oid': '5cc93350831b973d657f207d'},http://images.huanqiu.com/sarons/2014/03/198095fa31ddc5e203b424041e75df3e.jpg,美国,美国通用电气公司,NULL,M50标准系列电发火炮弹,1045米/秒,"
M61火神式机炮（M61 Vulcan，中文通常简称成M61机炮、火神炮）是一种由美军开发的六管连发机关炮，经常被装载在战斗机、直升机上作为高射速近距离火炮系统。通用代号GAU-4（GAU是“航空用火炮”，Gun, Aircraft Unit的缩写），口径为20mm，其航空用版本被赋予M61的代号，与M39同为美国军机上常见的固定武装。

美国海军航空队使用包括M61A1与M61A2在内，两种规格稍有不同的版本，而美国空军的F-16和中华民国空军的经国号战机则搭载了轻量化的M61A1机炮版本。
",20毫米,20世纪40年代中期,138.3千克
火炮,航空炮,СППУ(SPPU)-22 机炮吊舱,NULL,NULL,{'$oid': '5cc93350831b973d657f207e'},http://images.huanqiu.com/sarons/2014/03/49181eafe74d338046dcf2f6ed2377a8.jpg,苏/俄,全俄防务出口总公司（VOGED),3800毫米,备弹量260发,NULL,NULL,小口径炮,NULL,320千克
火炮,航空炮,复仇者(Avenger)GAU-8/A航空机炮,2900毫米,NULL,{'$oid': '5cc93350831b973d657f207f'},NULL,美国,美国通用电气公司,NULL,新型30mm爆破燃烧弹、穿甲燃烧弹及训练弹,1036米/秒,"
该炮是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，于1971年在“火神”20mm口径6管M61A1炮基础上发展的30mm口径7管炮，专用于美国空军的A-10攻击机，编号为GAU-8/A，命名为“复仇者”，系英文Avenger的中文译名。
",30毫米,1971年,281千克
火炮,航空炮,HP-30航空机炮,2150毫米,NULL,{'$oid': '5cc93350831b973d657f2080'},http://images.huanqiu.com/sarons/2014/03/a7d9b5396a630376a4a21a58be76ea4e.jpg,苏/俄,努德尔曼-里希特机械制造设计局,NULL,杀伤爆破燃烧弹,780米/秒,NULL,30毫米,20世纪50年代中期,66千克
火炮,航空炮,MK11Mod5航空机炮,1994毫米,950米,{'$oid': '5cc93350831b973d657f2081'},NULL,美国,美国休斯直升机公司,NULL,标准20mmMK100和M50系列电发火弹药,975米/秒,"
该炮是根据美国海军的“高性能外挂机炮”计划，由原休斯直升机公司、现麦道直升机公司(MDHC)于1947年开始研制的MK11/MK4炮舱武器系统中的航空机炮。主要用于空地攻击，也可用于空空攻击，还可装备地面战车使用。MK11/MK4炮舱共生了829个，现已停止生产，曾由美国海军和海军陆战队的作战飞机在越南战场上广泛使用，随后大量销往以色列，装备美制F-4、A-4攻击机。该炮舱仍在美国预备队服役，并由美国海军提供资金支持。
",20毫米,1947年,77千克
火炮,航空炮,H-37航空机炮,2450毫米,NULL,{'$oid': '5cc93350831b973d657f2082'},http://images.huanqiu.com/sarons/2014/03/d2fa6261f692e2eac2a7bf70e7db93e1.jpg,苏/俄,努德尔曼机械制造设计局,NULL,杀伤燃烧曳光弹、燃烧曳光弹,690米/秒,NULL,37毫米,20世纪40年代中期,103千克
火炮,航空炮,Aermacchi马基12.7mm机枪吊舱,NULL,NULL,{'$oid': '5cc93351831b973d657f2083'},NULL,意大利,马基航空公司,2220毫米,NULL,NULL,"
该吊舱由意大利马基航空公司于70年代，专门为意大利空军轻型教练/攻击机MB-326研制，随后加以改进，装备教练机/攻击机MB——339A和MB-339C。
",590毫米,NULL,121千克
火炮,航空炮,9A-4273机炮吊舱,3030毫米,NULL,{'$oid': '5cc93351831b973d657f2084'},NULL,苏/俄,全俄防务出口总公司(VOGED),NULL,备弹量150发,NULL,NULL,小口径炮,NULL,480千克
火炮,航空炮,M230链式航空机炮 ,NULL,NULL,{'$oid': '5cc93351831b973d657f2085'},http://images.huanqiu.com/sarons/2013/11/5810ed7955cb633ecff5a34f98ca8098.jpg,美国,休斯直升机公司,1638毫米,NULL,808米/秒,NULL,30毫米,1972年,55.8千克
火炮,航空炮,HC-23航空机炮,1983毫米,NULL,{'$oid': '5cc93351831b973d657f2086'},NULL,苏/俄,努德尔曼-苏拉诺夫机械制造设计局,NULL,杀伤燃烧曳光弹、穿甲燃烧弹,690米/秒,NULL,23毫米,1946年,37千克
