飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
超音速,http://images.huanqiu.com/sarons/2013/08/6f179bf200d2e376a0b09136f7f6837a.jpg,美国洛克希德·马丁公司,1人,"
F-35“闪电Ⅱ”（F-35 Lightning II）联合攻击战斗机是一款由美国洛克希德·马丁设计及生产的单座单发战斗攻击机，也是F-22的低阶辅助机种。F-35主要用于前线支援、目标轰炸、防空截击等多种任务，并因此发展出3种主要的衍生版本，包括采用传统跑道起降的F-35A型，短距离起降/垂直起降机种F-35B型，与作为航空母舰舰载机的F-35C型。F-35在战机世代上属于第五代战斗机，具备较高的隐身设计、先进的电子系统以及一定的超音速巡航能力。
",1000千米,1台普惠F135涡扇发动机,NULL,单发,飞行器,战斗机,美国,NULL,13300千克,10.65米,2000千米每小时,F-35“闪电II”,{'$oid': '5cc93090831b973d657f0f58'},2000年10月24日,(4.8分),NULL,5.28米,2009年,31800千克,后掠翼,15.37米
超音速,NULL,NULL,1人,NULL,3530千米,2台Saturn/Lyulka AL-31F或者WS-10A（太行发动机） 涡轮扇发动机,沈阳飞机公司,双发,飞行器,战斗机,中国,NULL,16380千克,14.7米,2500千米每小时,歼-11战斗机,{'$oid': '5cc93090831b973d657f0f59'},1998年,(5分),NULL,5.93米,1998年,33000千克,后掠翼,21.9米
亚音速,http://images.huanqiu.com/sarons/2013/07/a80d963c8f6db96f1fe8bfa47a28ff46.jpg,贝尔公司,1人,"
贝尔P-59“空中彗星”战斗机是美国的第一架喷气式战斗机，主要由贝尔公司研制，并采用了英国向美国政府提供的惠特尔（whittle）涡轮喷气机。第一批生产型P-59A于1944年8月交付给美国陆军航空兵，这20架中的3架被运往海军，命名为XF2L-1。
",845千米,两台通用“电气（Electric）”J31-GE-3／5发动机,NULL,双发,飞行器,战斗机,美国,NULL,3704千克,13.97米,665千米每小时,P-59“空中彗星”战斗机,{'$oid': '5cc93090831b973d657f0f5a'},1942年10月1日,NULL,NULL,3.76米,NULL,6214千克,平直翼,11.83米
亚音速,http://images.huanqiu.com/sarons/2013/07/069422a48add45b6695c4b4cff01f9ee.jpg,美国贝尔公司,1人,贝尔公司的P-39战斗机是战争期间一种很有特色的飞机。作为一种尝试，该机将发动机放在座舱后面，通过一根延长轴驱动机头的螺旋桨，座舱布置相应靠前，从而改变了飞机的构造。该机装有4挺机枪，在发动机延长轴内还布置了一门37MM机炮，在二战中这也算得上数一数二的强火力。,1046千米,艾利逊（Allison）V-1710-83发动机,NULL,单发,飞行器,战斗机,美国,NULL,2540千克,10.36米,612千米每小时,P-39“空中眼镜蛇”,{'$oid': '5cc93090831b973d657f0f5b'},1938年4月6日,NULL,NULL,3.61米,NULL,3811千克,平直翼,9.19米
亚音速,http://images.huanqiu.com/sarons/2013/08/b3d4b7453e7a762e1d5f260e1d0a39cb.jpg,波音公司,1人,"
两次世界大战期间，飞机制造商波音公司成功地设计出了几类战斗机。在此基础之上又推出了波音15型，美国陆军在其进行了评估后，将其命名为PW-9“追击者”。
",628千米,寇蒂斯D-12D“V犁”（Vee）发动机,NULL,单发,飞行器,战斗机,美国,NULL,1056千克,9.75米,249千米每小时,波音PW-9单座单发双翼战斗机,{'$oid': '5cc93090831b973d657f0f5c'}, 1923年4月29日,NULL,NULL,2.49米,1925年,1467千克,双翼,7.14米
亚音速,http://images.huanqiu.com/sarons/2013/07/fdd81ff02fdab67a27516b479dd76740.jpg,美国贝尔公司,1人,P-63看起来就像加大型的“空中眼镜蛇”，它实际上却是个全新的设计，在所有高度上都有着优异的速度。,354千米,艾利逊V-1710-93发动机,NULL,单发,飞行器,战斗机,美国,NULL,2892千克,11.68米,660千米每小时,贝尔P-63“眼镜蛇王”单翼战斗机,{'$oid': '5cc93091831b973d657f0f5d'},1942年12月7日,NULL,NULL,3.84米,NULL,4763千克,平直翼,9.96米
亚音速,http://images.huanqiu.com/sarons/2013/08/4be1305b9d1d86866653aeca696c2a81.jpg,寇蒂斯公司,1人,"
1917年春，美国宣布加入第一次世界大战时，现役中并没有国产的军用飞机，而要加入欧洲战场，拥有自己的军用飞机又是必要的。继而，一个决定被迅速做出：在美国的工厂中制造英法的战斗机和轰炸机，而不是花时间去设计同类机型。皇家飞机制造厂的SE5a被选中，SE 5a是一种单座单发双翼战斗机。
",438千米,莱特-希斯潘诺E发动机,NULL,单发,飞行器,战斗机,美国,NULL,635千克,8.19米,195千米每小时,SE 5a/E战斗机,{'$oid': '5cc93091831b973d657f0f5e'},1917年1月12日,NULL,NULL,2.92米,1917年,934千克,双翼,6.12米
亚音速,http://images.huanqiu.com/sarons/2013/08/57d80c3cdbbf968cf786db19cdee8704.jpg,北美航空公司,1人,"
P-51A是单座单发单翼战斗机，欧战爆发后，英国政府向美国求购适用于英国空军的作战飞机，在与英国达成交易之前，北美公司已经开始独立研发，它的NA-73X设计吸取了很多来自欧洲空战的教训。原型机仅比要求的同期提前了三天完成,英国人给它起了个绰号“野马1号”。本机在后世评价上被认为是二战主力战斗机中综合性能最出色的机种。
",2010千米,阿里逊V-1710-39,NULL,单发,飞行器,战斗机,美国,1945年,2971千克,11.28米,622千米每小时,P-51A,{'$oid': '5cc93091831b973d657f0f5f'},1940年10月26日,NULL,NULL,3.71米,1940年,3992千克,平直翼,9.83米
亚音速,http://images.huanqiu.com/sarons/2013/07/2f56e5dd86120da7de5eab912ea9986f.jpg,NULL,1人,NULL,901千米,普-惠R-1340-27“黄蜂”发动机,NULL,单发,飞行器,战斗机,美国,NULL,996千克,8.52米,377千米每小时,XP-26“玩具枪”单座单翼战斗机,{'$oid': '5cc93091831b973d657f0f60'},1932年3月21日,NULL,NULL,3.17米,NULL,1368千克,平直翼,7.26米
亚音速,http://images.huanqiu.com/sarons/2013/07/1d453de113f4165ccb714eaf1cd089aa.jpg,NULL,1人,"
继向陆军成功兜售PW-9后，波音公司也试图向美国海军推荐波音15型飞机。FB-1，实质上是陆军PW-9的复制版。
",628千米,一台寇蒂斯D-12D“V型”（Vee）发动机,波音公司,单发,飞行器,战斗机,美国,NULL,878千克,9.75米,254千米每小时,波音FB-1,{'$oid': '5cc93091831b973d657f0f61'},1923年4月29日,NULL,NULL,2.49米,1925年12月1日,1286千克,双翼,7.14米
亚音速,http://images.huanqiu.com/sarons/2013/07/e0300bcd5498fbfab5cfc341f8a86b5e.jpg,英国宇航公司,1人,NULL,2520千米,一台罗尔斯•罗伊斯/透博梅卡•阿杜尔M k.871涡轮风扇发动机,NULL,双发,飞行器,战斗机,英国,NULL,4480千克,9.4米,1000千米每小时,“鹰”200轻型多用途战斗机,{'$oid': '5cc93091831b973d657f0f62'},1986年5月19日,NULL,NULL,4.1米,NULL,9100千克,后掠翼,11.3米
超音速,http://images.huanqiu.com/sarons/2013/07/9742d42a11e4066642891a8cc037545d.jpg,沈阳飞机制造厂,1人,NULL,1480千米,涡喷-7涡轮喷气发动机,NULL,单发,飞行器,战斗机,中国,NULL,5275千克,8.3米,890千米每小时,歼-7型战斗机,{'$oid': '5cc93091831b973d657f0f63'},1966年1月17日,NULL,NULL,4.1米,NULL,8655千克,三角面,12.2米
超音速,http://images.huanqiu.com/sarons/2013/07/1fcc8436262fe6215a3ff8385057f1d5.jpg,意大利马基航空公司，巴西航空工业公司,1人,NULL,3330千米,一台罗尔斯·罗伊斯公司斯贝 807 涡扇发动机,NULL,双发,飞行器,战斗机,巴西,NULL,6700千克,10米,1045千米每小时,AMX攻击战斗机,{'$oid': '5cc93091831b973d657f0f64'},1984年5月 ,NULL,NULL,4.5米,1989年,13000千克,后掠翼,13.2米
超音速,http://images.huanqiu.com/sarons/2013/07/b92e5ef37fb04e97f388750cd905b29b.jpg,美国麦道公司,2人,"
F-18是美国麦道公司为美海军研制的舰载单座双发超音速多用途战斗攻击机，它主要用于海上防空，也可进行对地攻击。
",1445千米,两台通用电气F414-GE-400涡轮风扇发动机,NULL,双发,飞行器,战斗机,美国,NULL,10455千克,13.6米,1915千米每小时,F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,{'$oid': '5cc93091831b973d657f0f65'},1978年11月18日,NULL,NULL,4.9米,1980年5月,16651千克,后掠翼,18.4米
超音速,http://images.huanqiu.com/sarons/2013/07/38747b38b540dd34254fea4713256a1a.jpg,法国达索公司,2人,"
阵风战斗机，或音译为拉斐尔战斗机，是法国达索飞机制造公司设计制造的双发、三角翼、高机动性、多用途第四代半战斗机。阵风虽然没有采用像F-22战斗机第五代战斗机的“外形设计隐身”、“矢量推力”、“超音速巡航”等技术，但比起现役的第四代战斗机，其综合作战性能仍有很大提高，发展潜力巨大。
",3700千米,两台SNECMA M88-2涡轮风扇发动机,NULL,双发,飞行器,战斗机,法国,NULL,9500千克,10.8米,2205千米每小时,阵风战斗机,{'$oid': '5cc93091831b973d657f0f66'},1986年7月4日,NULL,NULL,5.3米,2000年12月4日,24500千克,鸭式,15.3米
超音速,http://images.huanqiu.com/sarons/2013/07/db8542ca79c67dc0d3084267db255ea5.jpg,成都飞机工业公司,1人,"
歼-10战斗机（英语：J-10或F-10）北约代号：萤火虫（Firefly）是中国中航工业集团成都飞机工业公司自主研制的单发动机、轻型、多功能、超音速、全天候、采用鸭式布局的的第四代战斗机，中国空军赋予其编号为歼-10，对外称J-10或称F-10。
",3900千米,一台土星/留里卡AL-31FN后燃涡轮风扇发动机,NULL,单发,飞行器,战斗机,中国,NULL,8840千克,8.78米,2695.2千米每小时,歼-10战斗机,{'$oid': '5cc93091831b973d657f0f67'},1998年3月23日,NULL,NULL,4.78米,NULL,18600千克,鸭式,14.57米
超音速,http://images.huanqiu.com/sarons/2013/07/a477c4550c386466f7dba6d55bba3c4d.jpg,法国达索公司,2人,"
“幻影”F1（Mirage F1）是法国达索公司为在70年代取代“幻影”III而研制的战斗机。它配备不同的武器和设备，可以完成制空、截击、低空对地攻击等不同的任务。其首要任务是全天候高空截击。
",3330千米,一台SNECMA Atar 9K-50涡轮喷气发动机,NULL,双发,飞行器,战斗机,法国,NULL,7400千克,8.4米,1480千米每小时,幻影F1战斗机,{'$oid': '5cc93092831b973d657f0f68'},1966年12月23日,NULL,NULL,4.5米,1973年,16200千克,三角面,15.2米
超音速,http://images.huanqiu.com/sarons/2013/07/ac80c560bdd06090aee469db60248fd1.jpg,苏霍伊设计局,3人,NULL,4000千米,两台Lyulka AL-31F 补燃涡轮风扇发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,38240千克,14.7米,1900千米每小时,苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,{'$oid': '5cc93092831b973d657f0f69'},1990年4月,NULL,NULL,6.5米,2007年,44350千克,后掠翼,21.94米
超音速,http://images.huanqiu.com/sarons/2013/07/795cbcfe7d20584e3d4075e606f169d5.jpg,法国达索·布列盖公司,2人,NULL,3330千米,一台SNECMA Atar 9C/9K-50涡轮喷气发动机,NULL,单发,飞行器,战斗机,法国,NULL,7050千克,8.22米,2350千米每小时,“幻影”Ⅲ/5/50喷气战斗机,{'$oid': '5cc93092831b973d657f0f6a'},1956年11月17日（幻影Ⅲ）,NULL,NULL,4.5米,NULL,13700千克,三角面,15.03米
超音速,http://images.huanqiu.com/sarons/2013/07/c5bdb8aa16d4444120ba1454f6fb1750.jpg,法国达索公司,2人,"
法国达索飞机制造公司研制的单座单发超音速多用途战斗机。主要用于防空截击和制空作战，也可遂行对地攻击、近距空中支援和侦察等任务。是世界上少数不模仿苏联、美国技术的战斗机之一。幻影2000战斗机先后为埃及、希腊、印度、秘鲁、卡塔尔、阿联酋和台湾所购用。“幻影”2000是“幻影”系列中最新的一种战斗机，也是第三代战斗机中唯一采用不带前翼的无尾三角翼布局的飞机。虽然它还没有赫赫战绩，在海湾战争也不象F—15、F—16那样引人注目，但从其性能水平和作战效能来看，是一种研制得相当成功的好飞机。法国军方已决定选用“阵风”战斗机作为新一代战斗机，“幻影”系列的发展也行将终结，但是“幻影“2000”飞机的改型用到2010年。
",3350千米,一台SNECMA M53涡轮风扇发动机,NULL,双发,飞行器,战斗机,法国,NULL,7500千克,9.1米,2332千米每小时,“幻影”2000防空／多用途战斗机,{'$oid': '5cc93092831b973d657f0f6b'},1978年3月,NULL,NULL,5.2米,1984年,17000千克,三角面,14.6米
超音速,http://images.huanqiu.com/sarons/2013/07/55a11d0e44733018abd78af9a76a6599.jpg,NULL,2人,"
欧洲台风（Eurofighter Typhoon）战斗机，曾命名为EF-2000，是一款由欧洲战机公司设计的双发、三角翼、鸭式布局、高机动性的多用途第四代半战斗机。参与设计与生产的欧洲战机公司（Eurofighter GmbH）是由英、德、意和西班牙4国于1986年时组成，而相关的研发计划则在更早的1979年时就已展开。欧洲台风战斗机和法国达索阵风战斗机以及瑞典萨博JAS-39战斗机因为其优异的性能表现，并称为欧洲“三雄”。意大利西班牙英国德国奥地利沙特阿拉伯
",1390千米, 两台Eurojet EJ200 涡轮扇叶发动机,欧洲战斗机公司,双发,飞行器,战斗机,英国,NULL,11000千克,10.9米,1470千米每小时,EF2000“台风”战斗机,{'$oid': '5cc93092831b973d657f0f6c'},1994年3月27日,NULL,NULL,5.3米,NULL,23500千克,鸭式,15.9米
亚音速,http://images.huanqiu.com/sarons/2013/08/d5ec8948682e84e6e45fef390a894dd4.jpg,格鲁曼公司,1人,"
F9F黑豹是格鲁曼所生产的第一架喷气式战斗机，同时也是美国海军航空母舰上成功布署的喷气式舰载战斗轰炸机之一。黑豹是朝鲜战争中最广泛使用的美国海军战斗机，一共飞行了78000架次，并且是美国海军在该战争中第一个取得空对空战果的机种，击落了北朝鲜的雅科夫列夫雅克-9战斗机。
",2100千米,普-惠J42-P-6A发动机,格鲁曼公司,单发,飞行器,战斗机,美国,NULL,4220千克,11.98米,925千米每小时,F9F战斗机,{'$oid': '5cc93092831b973d657f0f6d'},1947年11月24日,NULL,NULL,3.74米,1958年,8492千克,平直翼,10.06米
亚音速,http://images.huanqiu.com/sarons/2013/07/5580c99d45a567555aa8f72e74ce2f1f.jpg,NULL,1人,NULL,869千米,一台普-惠R-1340-17“黄蜂”发动机,波音公司,单发,飞行器,战斗机,美国,NULL,907千克,9.14米,304千米每小时,波音F4B-1战斗机,{'$oid': '5cc93092831b973d657f0f6e'},1930年9月29日,NULL,NULL,2.74米,NULL,1220千克,双翼,6.17米
超音速,http://images.huanqiu.com/sarons/2013/07/5131ca4206b1340fc6850a4c4586ff63.jpg,法国达索公司,2人,"
“幻影”2000D是法国空军的第一款常规战斗机，用以提供全天候的精确打击能力。它的重要性在于填补了“阵风”战斗机装备部队前的空档，为军事计划法的1977—2002版所正式承认。“幻影”2000N双座对地攻击机，由于结构加强，能以高亚音速的高速度沿超低空60米高度强行突防渗透进行袭击或实施核打击。
",3350千米,单台SNECMA M53涡轮风扇发动机,NULL,单发,飞行器,战斗机,法国,NULL,7600千克,9.13米,2338千米每小时,“幻影”2000D/N攻击机,{'$oid': '5cc93092831b973d657f0f6f'},1983年2月3日,NULL,NULL,5.15米,1988年,17000千克,三角面,14.55米
亚音速,http://images.huanqiu.com/sarons/2013/08/15d1cbe47b53701e60dec0b85dffbda6.jpg,巴西航空工业公司 ,1人,"
A-29“超级巨嘴鸟”式战机，是巴航工业安防公司及其合作伙伴内华达山脉股份公司开发的一款轻型螺旋桨战机，该飞机将被用来实施高级飞行培训、空中侦察和轻型空中支持等任务。原型机于1999年试飞成功。它采用了数控整体机械加工、化学铣切和金属胶接等先进制造工艺。以及先进的加拿大普惠PT6A-68C涡桨发动机，功率高达1193千瓦。乘员有凯夫拉防弹纤维内衬层保护，座舱安装0-0弹射座椅，还有防爆自封油箱；“玻璃化”的座舱有两个豪华平视显示器，机械仪表仅供备份；火控系统全数字化，配备GPS和激光惯导；美军标准MIL-STD-1533数据总线、无线数据链。
",1330千米,一台普拉特-惠特尼PT6A-68-1涡桨发动机,NULL,单发,飞行器,战斗机,巴西,NULL,1810千克,11.1米,557千米每小时,EMB-314M（A-29）“超巨嘴鸟” ,{'$oid': '5cc93093831b973d657f0f70'},1992年,NULL,NULL,3.9米,NULL,3175千克,平直翼,11.4米
亚音速,http://images.huanqiu.com/sarons/2013/07/052b650fb34210b4a2583e50108960ed.jpg,NULL,1人,NULL,544千米,一台普-惠R1340“黄蜂”发动机,波音公司,单发,飞行器,战斗机,美国,NULL,988千克,10.9米,253千米每小时,波音F2B-1战斗机,{'$oid': '5cc93093831b973d657f0f71'},1927年3月2日,NULL,NULL,2.79米,1928年1月30日,1336千克,双翼,7.56米
超音速,http://images.huanqiu.com/sarons/2013/08/9bcda41ac595bf9f07188a4dfbc58521.jpg,NULL,2人,"
F-14“雄猫”式战斗机是美国海军曾使用的一款超音速空优及长程截击用舰载战斗机。采用双引擎、可变后掠翼与双尾翼、双座配置，由格鲁曼公司承包开发制造，专门负责以航空母舰为中心的舰队防卫任务。首架F-14于1970年试飞，1974年正式服役，以取代F-4鬼怪式战机作为美国航空母舰舰队的防卫。
",3320千米,两台普-惠TF30-P-412发动机,格鲁曼公司,双发,飞行器,战斗机,美国,2006年,18190千克,19.54米,2485千米每小时,F-14“雄猫”战斗机,{'$oid': '5cc93093831b973d657f0f72'},1970年12月12日,NULL,NULL,4.88米,1974年9月,33724千克,变后掠翼,19.1米
亚音速,http://images.huanqiu.com/sarons/2013/08/0709925e88072f385b1846284b3135d3.jpg,NULL,1人,"
F-104是美国洛克希德公司研制的超音速轻型战斗机。1951年开始设计，1954年2月原型机首次试飞，1958年开始装备部队、因航程短、载弹量小未成为美国空军的主力战斗机。1958年洛克希德公司对F-104C的机体结构重新设计，提高了结构强度，改进了机载设备，研制成多用途战斗机F-104G，被德、日、加、意、荷、丹麦等国采用（或在G型基础上改型），进行大批量生产。F-104主要型别有A、C、G、J、S等。共生产近2000架。
",1360千米,通用电气J79-GE-7发动机,NULL,单发,飞行器,战斗机,美国,2004年（意大利）,6022千克,6.68米,2330千米每小时,洛克希德F-104“星战斗机”,{'$oid': '5cc93093831b973d657f0f73'},1954年2月7日,NULL,NULL,4.11米,1958年1月26日,10700千克,平直翼,16.69米
亚音速,http://images.huanqiu.com/sarons/2013/08/0bb3ab8f9427899c09c4938a195aa2e6.jpg,麦克唐纳公司,1人,NULL,1580千米,两台西屋J30-WE-20发动机,NULL,单发,飞行器,战斗机,美国,1953年,3031千克,12.42米,766千米每小时,FD/FH“鬼怪”,{'$oid': '5cc93093831b973d657f0f74'},1945年1月26日,NULL,NULL,4.32米,1947年,5459千克,后掠翼,11.85米
亚音速,http://images.huanqiu.com/sarons/2013/08/4cf47cb0a78363cef58b777f954ce66b.jpg,NULL,2人,NULL,1920千米,两台西屋电气（Westhouse）J34-WE-36发动机,美国道格拉斯公司,双发,飞行器,战斗机,美国,1970年,8237千克,15.24米,960千米每小时,F3D/F-10“空中骑士”,{'$oid': '5cc93093831b973d657f0f75'},1948年3月23日,NULL,NULL,4.92米,1951年,12179千克,平直翼,13.87米
