飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/2179c633097084da3e72bdf004f3979f.jpg,波音飞机制造公司,3人,波音B-47 同温层喷射机是一型拥有六具喷射发动机的长程中型轰炸机。它的设计目的是以高亚音速的速度自高空穿透苏联的防线，以核弹攻击苏联本土地区。它可以说是自二次世界大战以来一个极为重要的跨时代设计。在现代大型喷射客机上所见到几个重要特征，包括大型后掠翼跟安置于机翼下的发动机夹舱设计，此时都已经出现在B-47之上。,6400千米,六台通用电气J47-GE-25A,NULL,六发,飞行器,轰炸机,美国,1969年 (B-47E)，1977年 (EB-47E),36631千克,33.36米,980千米每小时,B/RB-47“同温层喷射”,{'$oid': '5cc930c4831b973d657f10ab'},1947年12月l7日,NULL,8.52米,1951年6月,93759千克,后掠翼,33.5米
亚音速,http://images.huanqiu.com/sarons/2013/07/95543206cd16e374cb67dede27152b06.jpg,西安飞机公司,4人,"
轰-6轰炸机是中国在上个世纪五十年代仿制苏联图-16中型轰炸机而研制生产的一种中型喷气式轰炸机，目前是中国人民解放军空军现役唯一一型战略轰炸机；也是世界各国现役体型最小的战略轰炸机；亦为中国人民解放军空军服役时间最长的机种之一。

至今该机仍是我军战略轰炸力量的核心，并且在不断对其动力、航电及机载武器进行改进，同时在其基础上发展了多种特种平台，预计将至少服役至2020年左右。
",6000千米,2具涡喷8 涡轮喷射发动机,NULL,双发,飞行器,轰炸机,中国,NULL,37200千克,33米,1050千米每小时,西飞轰-6中型轰炸机,{'$oid': '5cc930c4831b973d657f10ac'},1968年12月24日 ,(4.9分),10.36米,1969年2月,75800千克,后掠翼,34.8米
亚音速,http://images.huanqiu.com/sarons/2013/08/fb615810c1b153c98f88f933103134de.jpg,沃特公司,3人,"
由沃特公司设计、联合公司生产的TBY/TBU“海狼”和格鲁曼飞机制造厂成功的TBF／TBM“复仇者（Avenger）”是同时代的飞机，是一架三座单发单翼鱼雷轰炸机。最终只生产了180架TBY-2，没有一架派上用场。
",1650千米,普-惠R-2800-6“双黄蜂”发动机,联合公司,单发,飞行器,轰炸机,美国,NULL,5142千克,17.35米,502千米每小时,TBY/TBU“海狼”,{'$oid': '5cc930c5831b973d657f10ad'},1941年12月22日,NULL,4.7米,NULL,8590千克,平直翼,11.95米
亚音速,http://images.huanqiu.com/sarons/2013/08/655790473510a8ca0b65100ffbe8ce6c.jpg,美国格鲁曼公司,1人,"
F8F“熊猫”，是格鲁曼公司最后的一种使用活塞发动机的战斗机，它打破了当时约定俗成的“更大即更优”的新型战斗机设计法则。使用最强力的引擎——普拉特-惠特尼公司的R-2800“双黄蜂”系列发动机，动力充裕，操纵性非常出色。
",1775千米,普-惠R-2800-34W“双黄蜂”发动机,NULL,四发,飞行器,轰炸机,美国,1952年年底,3206千克,7.87米,680千米每小时,F8F“熊猫”战斗轰炸机,{'$oid': '5cc930c5831b973d657f10ae'},1944年8月21日,NULL,4.2米,1945年1月,5873千克,平直翼,8.61米
亚音速,http://images.huanqiu.com/sarons/2013/08/341131929f0ce793bd30b9ce00573c8a.jpg,NULL,2人,"
SBD“无畏式”为道格拉斯公司开发的舰上俯冲轰炸机，主要于第二次世界大战时期活跃于太平洋战场上。中途岛战役中，曾24小时内击毁了日本4艘主力航空母舰。
",1244千米,莱特R-1820-66“旋风”9发动机,道格拉斯公司,单发,飞行器,轰炸机,美国,1949 年,2964千克,12.65米,410千米每小时,SBD“无畏式”,{'$oid': '5cc930c5831b973d657f10af'},1938年1月23日,NULL,3.94米,1940 年,4318千克,平直翼,10.06米
超音速,http://images.huanqiu.com/sarons/2013/07/ea96e045749c5e181c58588878c3b2ed.jpg,图波列夫设计局,4人,"
图-160战略轰炸机，又称图波列夫图-160（Tupolev Tu-160）是俄罗斯的变后掠翼重型超音速战略轰炸机。北约对其的代号为“海盗旗”（Blackjack）。俄罗斯空军称其为“白天鹅”（White Swan）。1981年12月18日首次试飞。前苏联实际生产35架，现约有16架在俄罗斯空军服役。
",12300千米,四台库兹涅佐夫NK-32涡扇发动机,NULL,四发,飞行器,轰炸机,苏/俄,NULL,118000千克,55.7米,1030千米每小时,图-160“海盗旗” 远程轰炸机,{'$oid': '5cc930c5831b973d657f10b0'},1981年12月18日,NULL,13.1米,1987年,275000千克,变后掠翼,54.1米
亚音速,http://images.huanqiu.com/sarons/2013/07/7b99cbb995005459d4358033b85ec42a.jpg,英国电气公司（英国航宇公司）,3人,"
二战末期作为“蚊式”轰炸机的后继机，由普雷斯顿英国电气公司设计，“堪培拉”轰炸机一共生产1352架，其中925架在英国制造，交付皇家空军773架。澳大利亚或许可证制造48架，美国获许可生产403架（美军编号B-57轰炸机）。到1985年，绝大部分“堪培拉”轰炸机已经退出现役，只有英国皇家空军保留约170架，主要提供非轰炸性勤务。
",NULL,两台罗尔斯·罗伊斯Avon206涡轮喷气发动机；,NULL,双发,飞行器,轰炸机,英国,NULL,9820千克,19.5米,871千米每小时,“堪培拉” 轰炸机/入侵飞机/侦察机,{'$oid': '5cc930c5831b973d657f10b1'},1949年5月13日,NULL,4.8米,1951年,25000千克,三角面,19.9米
亚音速,http://images.huanqiu.com/sarons/2013/08/67c3f0225f48900cdbfc95b9b4163423.jpg,联合公司,11人,"
PB4Y-2“私掠船”，改造自PB4Y-1“解放者”，具有一个加长机身、军舰型的内部结构、装备更大火力的防卫武器、改进了发动机整流罩以及一个和“解放者”运输机变种机型上配备的一模一样的大型垂直尾翼。美国海军一次性订购了739架，尽管在日本投降前几周，“私掠船”配置的VP-24已达到了作战要求，但这些飞机几乎没有抵达一线的。冷战时期，PB4Y-2被用作雷达和电子对抗平台，非常受到重视。在美国海岸警卫队进一步服役后，最后一架PB4Y-2于20世纪60年代初退役。
",4506千米,四台普-惠R-1830-94“双黄蜂”发动机,NULL,单发,飞行器,轰炸机,美国,20世纪60年代初,17003千克,33.53米,381千米每小时,PB4Y-2“私掠船”,{'$oid': '5cc930c6831b973d657f10b2'},1943年9月20日,NULL,9.17米,1944年,29484千克,平直翼,22.73米
亚音速,http://images.huanqiu.com/sarons/2013/08/e1fadd168da2d5baee688f86cfc6241a.jpg,美国联合公司,8人,NULL,6115千米,四台莱特R-3350-23“旋风”发动机,美国联合公司,四发,飞行器,轰炸机,美国,NULL,27339千克,41.15米,575千米每小时,B-32“统治者”,{'$oid': '5cc930c6831b973d657f10b3'},1942年9月7日,NULL,10.06米,1944年11月,50576千克,平直翼,25.32米
超音速,http://images.huanqiu.com/sarons/2013/08/8cb6dee3f41c37a640df9d69eb8cd781.jpg,美国通用动力公司,2人,"
F-111是上世纪60年代美国通用动力公司研制的超音速战斗轰炸机，也是世界上最早的实用型变后掠翼飞机。1972年10月至1973年3月，F-111A投入越南战场，成为战斗力最强、生存能力最高的战斗轰炸机。1991年海湾战争使美军F-111服役生涯的顶峰，也是一个圆满的句号。苏联解体后，美军空军大量裁军。F-111这种自动化程度低、维护成本高的老一代战机自然成为淘汰的首选。
",5093千米,两台普-惠TF30-P-3发动机,NULL,双发,飞行器,轰炸机,美国,1998年,20943千克,19.2米,2335千米每小时,F/FB/EF-111战斗轰炸机,{'$oid': '5cc930c6831b973d657f10b4'},1964年12月21日,NULL,5.22米,1967年7月18日,41500千克,变后掠翼,22.4米
亚音速,http://images.huanqiu.com/sarons/2013/08/37603dfe3c1e8701c5c863f94cd86821.jpg,北美航空公司,4人,"
北美B-45龙卷风轰炸机是美国空军装备的第一种喷气式轰炸机，也是第一种具有空中加油能力和核弹投放能力的喷气式飞机。B-45在50年代初期到中期曾是美国核威慑力量的重要组成部分，但由于核弹运送能相当有限，迅速被更先进的波音B-47取代，因而，B-45在军中服役生涯很短暂。
",3056千米,四台通用电气J45-GE-13发动机,NULL,四发,飞行器,轰炸机,美国,1959年,22182千克,29.26米,933千米每小时,B-45“龙卷风”,{'$oid': '5cc930c6831b973d657f10b5'},1947年3月17日,NULL,7.68米,1948年4月22日,51235千克,平直翼,22.98米
亚音速,http://images.huanqiu.com/sarons/2013/08/4da416ad37d45cbf2f9349f8ace25644.jpg,NULL,2人,"
B-57“堪培拉”轰炸机是美国制的双喷射发动机战术轰炸机及高空侦查机，于1953年进入美国空军服役。B-57为英国电气公司的堪培拉式轰炸机在美国的授权制造版本，但格伦马丁公司在原本堪培拉轰炸机的基础上亦做出许多重大的更动，并由此发展出许多非常特别的衍生型。
",3380千米,两台莱特J65-5发动机,格伦马丁公司,双发,飞行器,轰炸机,美国,NULL,13600千克,19.5米,937千米每小时,B-57“堪培拉”,{'$oid': '5cc930c6831b973d657f10b6'},1953年7月20日,NULL,4.75米,1954年,25000千克,平直翼,19.96米
超音速,http://images.huanqiu.com/sarons/2013/08/a15c5fdc0d5655b5ff00e349735af496.jpg,NULL,2人,"
B-2“幽灵”隐形战略轰炸机是冷战时期的产物，由美国诺斯洛普公司为美国空军研制。1979年，美国空军根据战略上的考虑，要求研制一种高空突防隐形战略轰炸机来对付苏联90年代可能部署的防空系统。1981年开始制造原型机，1989年原型机试飞。后来对计划作了修改，使B-2轰炸机兼有高低空突防能力，能执行核及常规轰炸的双重任务。
",11668千米,四台通用电气F118-GE-110发动机,诺斯洛普·格鲁门公司,双发,飞行器,轰炸机,美国,NULL,56699千克,52.43米,972千米每小时,B-2“幽灵” 战略轰炸机,{'$oid': '5cc930c6831b973d657f10b7'},1989年7月17日,NULL,5.18米,1997年4月,168422千克,飞翼,21.03米
亚音速,NULL,NULL,2人,"
SB2C“地狱俯冲者”是美国海军在第二次世界大战期间部署与使用的舰载轰炸机，用以取代前一代SBD俯冲轰炸机。是当时载重量最大的轰炸机，但它的操纵性能太差又使它饱受争议。除了海军以外，美国陆军航空军也有少量服役，编号为A-25。
",1875千米,莱特R-2600-20“旋风”发动机,寇蒂斯公司,单发,飞行器,轰炸机,美国,1959年（意大利空军）,4784千克,15.2米,475千米每小时,SB2C“地狱俯冲者”,{'$oid': '5cc930c6831b973d657f10b8'},1940年12月18日,NULL,5.1米,1942年12月,7537千克,平直翼,11.2米
亚音速,http://images.huanqiu.com/sarons/2013/08/93f8980814cf1b2325b759032d33c07a.jpg,联合公司（United Aircraft Corporation） ,10人,"
B-24“解放者”是美国研制的远程轰炸/侦察机。它是第二次世界大战时美国生产得最多的大型轰炸机，同时也是使用得最多的轰炸机，多达1.9万架的产量，确立了它在飞机发展史上的地位。B-24“解放者”轰炸机不仅在欧洲，同时也是在非洲、亚洲广大海空战场的“空中霸王”。
",3380千米,四台普-惠R-1830-65“双黄蜂”发动机,NULL,四发,飞行器,轰炸机,美国,1968年,16556千克,33.53米,467千米每小时,B-24“解放者”,{'$oid': '5cc930c6831b973d657f10b9'},1939年12月29日,NULL,5.49米,1941年,32296千克,平直翼,20.47米
亚音速,http://images.huanqiu.com/sarons/2013/08/7a76fdada6ba0a2c60d67314edac855a.jpg,马丁公司,7人,NULL,1770千米,两台普-惠R-2800-43“双黄蜂”发动机,NULL,双发,飞行器,轰炸机,美国,NULL,11476千克,21.64米,455千米每小时,B-26/JM“劫掠者”,{'$oid': '5cc930c6831b973d657f10ba'},1940年11月25日,NULL,6.2米,1941年,17327千克,平直翼,17.09米
亚音速,http://images.huanqiu.com/sarons/2013/08/b8c27825a662c2bf4e1c1c5e0c14c66a.jpg,波音公司,10人,NULL,7886千米,四台普-惠R-4360-35“巨黄蜂”发动机,NULL,四发,飞行器,轰炸机,美国,1968年,36564千克,43.05米,608千米每小时,B/KB-50“超级堡垒”,{'$oid': '5cc930c7831b973d657f10bb'},1947年6月25日,NULL,9.99米,NULL,78471千克,平直翼,30.17米
亚音速,http://images.huanqiu.com/sarons/2013/08/42560b6a365bb2c58ee40b5ba9ed8aa8.jpg,NULL,3人,NULL,1819千米,莱特R-2600-20“旋风”14发动机,格鲁曼公司，通用汽车公司,单发,飞行器,轰炸机,美国,1960年,4853千克,16.51米,430千米每小时,TBF/TBM“复仇者”,{'$oid': '5cc930c7831b973d657f10bc'},1941年8月1日,NULL,5米,1942年,8278千克,平直翼,12.19米
亚音速,http://images.huanqiu.com/sarons/2013/08/542bd34ec12a4b62a7b81cb8b399d1b6.jpg,NULL,1人,"
道格拉斯BTD“毁灭者”是美国海军二战期间开发的美国鱼雷轰炸机。美国海军于1941年6月与道格拉斯公司签署合同，要求后者为海军设计的一种鱼雷轰炸机替代机型。至1945年8月日本投降的时候，只有28架飞机已经交付，其余生产被取消。
",2382千米,莱特R-3350-14“旋风”18发动机,美国道格拉斯公司,单发,飞行器,轰炸机,美国,1945年,5244千克,13.72米,554千米每小时,BTD “毁灭者”,{'$oid': '5cc930c7831b973d657f10bd'},1943年4月8日,NULL,4.14米,1944年,8618千克,平直翼,11.76米
亚音速,http://images.huanqiu.com/sarons/2013/08/06b6dd762389df019364badc31cc1439.jpg,马丁公司,9人,NULL,3605千米,两台普-惠R-2600-22“旋风”发动机,NULL,双发,飞行器,轰炸机,美国,1964年,15048千克,35.97米,340千米每小时,PBM“水手”,{'$oid': '5cc930c7831b973d657f10be'},1939年2月18日,NULL,8.4米,1940年9月,26308千克,平直翼,24.33米
亚音速,http://images.huanqiu.com/sarons/2013/08/2d1067dc64b787c5b9202c5caaca7c65.jpg,洛克希德公司,5人,NULL,2656千米,两台普-惠R-2800-31“双黄蜂”发动机,NULL,双发,飞行器,轰炸机,美国,NULL,9161千克,19.96米,499千米每小时,B-34/37和PV“文图拉”/“捕鲸叉” ,{'$oid': '5cc930c7831b973d657f10bf'},1941年7月31日,NULL,3.63米,NULL,14097千克,NULL,15.81米
亚音速,NULL,NULL,3人,NULL,2253千米,两台普-惠R-2800-79“双黄蜂”发动机,道格拉斯公司,双发,飞行器,轰炸机,美国,1980年（哥伦比亚空军 ）,10365千克,21.63米,600千米每小时,A/B-26/JD“入侵者”,{'$oid': '5cc930c7831b973d657f10c0'},1942年7月10日,NULL,5.56米,NULL,15876千克,平直翼,15.62米
亚音速,http://images.huanqiu.com/sarons/2013/08/bbcd02aa959393276eedeee2a2096d91.jpg,北美航空公司,NULL,"
美国B-25轰炸机也被称为B-25”米切尔“型轰炸机，是世界第二次大战全球战场中最为优秀的中轻型轰炸机之一，它以“米切尔”命名，以纪念一战中美国指挥官威廉·米切尔(William Mitchell），B-25轰炸机也是美国空军为数不多的以名字命名的飞机。B-25轰炸机机第一次在俾斯麦海战中出现，给日本运兵船上的士兵造成很大的杀伤。B-25轰炸机主要由美国空军配备，美国海军也配备相当数量的B-25轰炸机，以对付太平洋上的日本。通过租借法案，英国皇家空军、苏联空军、澳大利亚、荷兰等地也有为数不少的美国B-25轰炸机。B-25轰炸机综合性能良好、出勤率高而且用途广泛。由于它在二战争中参加了空袭东京的战斗，出色地完成了任务，成为全世界的明星战机。
",2173千米,两台莱特R-2600-92“旋风”发动机,NULL,双发,飞行器,轰炸机,美国,1959年,8836千克,20.6米,438千米每小时,B-25/PBJ“米切尔”,{'$oid': '5cc930c7831b973d657f10c1'},1940年8月19日,NULL,4.88米,1941年,15876千克,平直翼,16.13米
超音速,http://images.huanqiu.com/sarons/2013/08/17baa72fd9592a8f591af62a4443e4ae.jpg,美国罗克韦尔公司,4人,NULL,11992千米,四台通用电气化F101-GE-102发动机,NULL,四发,飞行器,轰炸机,美国,NULL,87090千克,41.67米,1324千米每小时,B-1B“枪骑兵”,{'$oid': '5cc930c8831b973d657f10c2'},1974年12月23日（B-1A）,NULL,10.62米,1988年7月,216360千克,变后掠翼,44.81米
亚音速,http://images.huanqiu.com/sarons/2013/08/a0a2c288844b03d99b855eb7b1f38026.jpg,NULL,3人,"
道格拉斯A-20“浩劫”，也被称为道格拉斯DB-7，是第二次世界大战中用途最广泛的轻型轰炸机之一。它曾服役于几个主要的同盟国，美陆军航空部队（美国空军），苏联空军，苏联海军航空兵（AVMF）和英国皇家空军（RAF）。二战期间，该机在澳大利亚，南非，法国和荷兰也有使用。
",1650千米,两台莱特R-2600-23“旋风”发动机,美国道格拉斯公司,双发,飞行器,轰炸机,美国,1949年（美国空军）,7250千克,18.69米,510千米每小时,A-20“浩劫”,{'$oid': '5cc930c8831b973d657f10c3'},1938年10月20日,NULL,5.36米,1941年1月10日,12338千克,平直翼,14.63米
亚音速,NULL,NULL,2人,NULL,880千米,普-惠R-1535-80“双小黄蜂”发动机,美国沃特公司,单发,飞行器,轰炸机,美国,1941年末,1653千克,10.13米,335千米每小时,SBU,{'$oid': '5cc930c8831b973d657f10c4'},1933年5月,NULL,3.63米,NULL,2504千克,双翼,8.5米
亚音速,NULL,NULL,2人,"
“辩护者”是美国海军的第一架单翼侦察-轰炸机，它是从1934年海军向沃特公司订购的两架舰基飞机原型机之一发展而来的。订单要求生产一架双翼机XSB3U-0、一架单翼机XSB2U-0，在签署生产订单前，这两架飞机要进行试飞比赛。1936年年初，两架飞机均进行了试飞，全金属的XSB2U-1的优势很快得以证实，美国海军于当年10月购买了54架SB2U-1。
",1802千米,普-惠R-1535-02“双小黄蜂”发动机,美国沃特公司,单发,飞行器,轰炸机,美国,1943年,2555千克,12.8米,391千米每小时,SB2U“辩护者”,{'$oid': '5cc930c8831b973d657f10c5'},1936年1月4日,NULL,3.12米,1937年12月,4273千克,平直翼,10.36米
亚音速,http://images.huanqiu.com/sarons/2013/08/4e67b8c2849d60eec2a5cee52bdfb921.jpg,康维尔公司,15人,NULL,12070千米,六台普-惠R-4360-41发动机，四台通用电气J47-GE-19发动机,NULL,六发,飞行器,轰炸机,美国,1959年2月12日,72051千克,70.14米,707千米每小时,B-36“和平卫士”,{'$oid': '5cc930c8831b973d657f10c6'},1946年8月8日,NULL,14.26米,1949年,162200千克,平直翼,49.4米
亚音速,http://images.huanqiu.com/sarons/2013/08/0f872abb38eac3019c042ca8f303c807.jpg,马丁公司,2人,NULL,661千米,普-惠R-1690-44发动机,NULL,单发,飞行器,轰炸机,美国,NULL,1661千克,12.49米,234千米每小时,马丁BM,{'$oid': '5cc930c9831b973d657f10c7'},1930年,NULL,3.77米,NULL,2820千克,双翼,8.8米
超音速,http://images.huanqiu.com/sarons/2013/08/371922efb96902363f0392857a0dfae0.jpg,康维尔公司,3人,NULL,8248千米,四台通用电气J79-GE-5B发动机,NULL,四发,飞行器,轰炸机,美国,1970年1月31日,25200千克,17.31米,2125千米每小时,B-58“盗贼”,{'$oid': '5cc930c9831b973d657f10c8'},1956年11月11日,NULL,9.6米,1960年3月15日,73930千克,三角面,29.5米
亚音速,http://images.huanqiu.com/sarons/2013/08/da65075772876fe96b62db36de508d66.jpg,马丁公司,4人,NULL,1984千米,双莱特R-1820-33发动机,NULL,双发,飞行器,轰炸机,美国,1942年,4391千克,21.54米,341千米每小时,B-10/12/14,{'$oid': '5cc930c9831b973d657f10c9'},1932年2月16日,NULL,4.72米,1934年11月,7439千克,平直翼,13.68米
亚音速,http://images.huanqiu.com/sarons/2013/08/e710dfebe66de3dcd9aa333e9a0b7a78.jpg,NULL,3人,NULL,2400千米,两台阿里逊J71-A-13发动机,道格拉斯公司,双发,飞行器,轰炸机,美国,NULL,19218千克,22.1米,950千米每小时,B-66“破坏者”,{'$oid': '5cc930c9831b973d657f10ca'},1954年6月28日,NULL,7.19米,NULL,37648千克,后掠翼,22.9米
亚音速,http://images.huanqiu.com/sarons/2013/08/6519c09c0bcd1085380026642d5196e4.jpg,NULL,6人,NULL,2342千米,两台怀特R-2600-3 型发动机，每个1600马力,道格拉斯飞机公司,双发,飞行器,轰炸机,美国,NULL,8677千克,28.04米,454千米每小时,B-23“龙”,{'$oid': '5cc930c9831b973d657f10cb'},1939年7月27日,NULL,5.64米,NULL,14700千克,平直翼,17.78米
亚音速,http://images.huanqiu.com/sarons/2013/08/6230aff89a7c8ab8d303efb877de7e85.jpg,NULL,2人,NULL,1840千米,普-惠R-1535-94发动机,诺思罗普公司（道格拉斯公司）,单发,飞行器,轰炸机,美国,1943年,2089千克,12.67米,355千米每小时,诺思罗普BT,{'$oid': '5cc930c9831b973d657f10cc'},1935年8月,NULL,2.77米,NULL,3264千克,平直翼,9.65米
亚音速,NULL,凯斯通公司,5人,NULL,1368千米,两台普-惠R-1690-3“火黄蜂”发动机,NULL,单发,飞行器,轰炸机,美国,NULL,3495千克,22.76米,182千米每小时,凯斯通轻型轰炸机系列,{'$oid': '5cc930c9831b973d657f10cd'},1923年年底（XLB-1）,NULL,4.8米,NULL,5875千克,双翼,14.89米
亚音速,http://images.huanqiu.com/sarons/2013/08/2e4d98b87a2850fab9b69070a520c334.jpg,美国伏尔蒂公司（Vultee）,2人,"
A-31/35“复仇者”是第二次世界大战期间由美国伏尔蒂公司（Vultee）生产的一款俯冲轰炸机，主要用于出口。修改后的版本被命名为A-35。
",966千米,莱特R-2600-13“旋风”发动机,NULL,单发,飞行器,轰炸机,美国,1944年9月,4672千克,14.63米,449千米每小时,A-31/35“复仇者”,{'$oid': '5cc930c9831b973d657f10ce'},1941年7月,NULL,4.67米,NULL,7439千克,平直翼,12.12米
亚音速,http://images.huanqiu.com/sarons/2013/08/d198df9fd8ad6717b5eba365b2fe3e0c.jpg,马丁公司,4人,NULL,900千米,两台自由12A发动机,NULL,单发,飞行器,轰炸机,美国,1929年,3297千克,22.61米,159千米每小时,MB-2/NBS-1,{'$oid': '5cc930ca831b973d657f10cf'},1920年,NULL,4.47米,1920年,5472千克,双翼,13米
亚音速,NULL,NULL,1人,NULL,3200千米,“灰背隼”620发动机,佛罗里达航空股份有限公司,单发,飞行器,轰炸机,美国,1984年,3466千克,12.1米,731千米每小时,F-51D“野马”MK2 ,{'$oid': '5cc930ca831b973d657f10d0'},1967年12月,NULL,4.51米,NULL,4762千克,平直翼,9.81米
亚音速,http://images.huanqiu.com/sarons/2014/01/503e78332b9be758a71a1e9425c1af87.jpg,NULL,2人,"
费舍尔 Fi 167是德国于1930年代计划服役于新式航空母舰上面的双翼鱼雷轰炸机与侦察机。
",1300千米,戴姆勒-奔驰 DB 601B 液冷式倒V12发动机，每个 809千瓦（1100马力）,费舍尔,单发,飞行器,轰炸机,德国,NULL,2800千克,15.5米,325千米每小时,Fi 167鱼雷轰炸机,{'$oid': '5cc930ca831b973d657f10d1'},1938年,NULL,4.7米,NULL,4850千克,双翼,11.4米
