制造商,生产年限,类型,名称,大类,数量,有效射程,_id,图片,产国,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
小仓兵工厂，大阪兵工厂以及广岛东洋工业等主要兵工厂,1940年-1945年,非自动步枪,九九式短步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93225831b973d657f1932'},http://images.huanqiu.com/sarons/2013/08/f611eeb47a7a4565b1993eb8993e49ef.jpg,日本,3.8千克,NULL,中国抗日战争、第二次世界大战、国共内战、韩战、越战,"
九九式短步枪是旧日军以三八式6.5毫米步枪为基础改进发展的新一代军用制式步枪。九九式步枪1939年定型投产，日本纪元2599年（昭和14年）服役，所以命名为九九式步枪。 九九式步枪的实战射击精度与三八式标准步枪差不多，实战精度也很高，所发射的7.7毫米子弹同样是采用无烟无焰的火棉发射药，不过7.7毫米子弹头短，击中目标后易翻滚，因此九九式步枪对人体的伤害力比使用6.5毫米口径弹药的三零式/三八式等步枪大的多。
",非自动步枪,7.7毫米,NULL,1150毫米
斯太尔公司,1895-1918年,非自动步枪,曼利夏直拉式枪机步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93225831b973d657f1933'},http://images.huanqiu.com/sarons/2013/08/4b33e9d6a1ea3665321a96d75adc565f.jpg,奥地利,3.8千克,NULL,NULL,"
曼利夏步枪采用的直拉式枪机有两种。第一种是枪机下有个楔子，拉机柄运动时将带动它向下，奥地利M1886步枪使用的就是这种枪机。第二种是使用带螺旋槽的套筒，套筒内的枪栓有突笋，后拉与套筒相连的拉机柄时，套筒内的螺旋槽促使枪栓旋转并解锁，奥地利M1895制式步枪采用的就是这种枪机。这两种设计都可确保枪机没有完全闭锁时，击针将无法向前运动。M1895斯太尔-曼利夏步枪系列的研制工作可能开始于1880年代末，是奥地利轻武器史上一个重要的步枪系列。
",非自动枪支,6.5毫米,5发,1277毫米
毛瑟公司,1898年-1918年,非自动步枪,毛瑟格韦尔98步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93226831b973d657f1934'},http://images.huanqiu.com/sarons/2013/08/270c62ad3043d3301413175d5f407ff8.jpg,德国,4.1千克,NULL,NULL,"
毛瑟公司为很多国家生产过众多军用步枪，但绝大多数都是该枪的变型枪。这款优秀的毛瑟步枪在德国陆军服役了半个世纪，它射击准确、性能可靠、坚固耐用、制造精良，还将服役多年。格韦尔98是在毛瑟基本步枪基础上改进而来的，枪栓下方添加了第三个闭锁突笋，将枪机锁定在弹匣后方的机匣内。拉机柄向右倾斜，操控起来比较麻烦，1904年为适应自行车部队的需要采用下翻式枪栓，但不常见。
",非自动步枪,7.92毫米,5发,1250毫米
意大利都灵兵工厂,1937年-1940年,非自动步枪,曼利夏-卡尔卡诺M1938步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93226831b973d657f1935'},NULL,意大利,3.4千克,NULL,二战,"
一战的经验表明，意大利6.5毫米枪弹威力不足，北非和阿比西尼亚的战斗经验进一步证明了这一点，因此制造的M1938步枪和卡宾枪采用新型7.35毫米枪弹。然而，意大利于1940年参战时，决定让这些新武器退役并用于装备民兵，以简化战场的弹药供应。1944年改造了少量卡宾枪，以发射德国7.92毫米毛瑟枪弹。这些改进枪的枪膛上方有“7.92S”标识。
",非自动枪支,7.35毫米,6发,1021毫米
美国儒格-斯特姆公司（Sturm Ruger & Company Incorporated）,1968年至今,非自动步枪,鲁格M77步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93226831b973d657f1936'},http://images.huanqiu.com/sarons/2013/08/7834f560892a51de95ef9de3628a46d3.jpg,美国,4.1千克,NULL,NULL,"
鲁格 M77（英语：Ruger M77，以下简称为“M77”）是一把由美国儒格-斯特姆公司制造的手动步枪。这是由其设计师吉姆·苏利文在他于鲁格公司工作的3年期间设计的。此步枪采用了传统的毛瑟式两锁耳（英语：Lug）式枪机连着抓子爪以便拉动枪机时抓住弹壳退出膛室，然后利用退壳钩弹出弹壳，再利用复进簧把枪机连着下一发送上膛室。
",手动步枪,7.82毫米,5发,1118毫米
英国兵工部门,1915年-1917年,非自动步枪,恩菲尔德N0.2（P14型）步枪,枪械与单兵,NULL,549米,{'$oid': '5cc93226831b973d657f1937'},http://images.huanqiu.com/sarons/2013/08/ccc6380542e39c41d11c127c1af2758a.jpg,英国,4.1千克,NULL,NULL,NULL,NULL,7.69毫米,5发,1176毫米
美国斯普林菲尔德兵工厂,1903年-1965年,非自动步枪,斯普林菲尔德M1903步枪,枪械与单兵,2600000,550米,{'$oid': '5cc93226831b973d657f1938'},http://images.huanqiu.com/sarons/2013/08/00a15ca174e6de2a16fe357450d77168.jpg,美国,3.9千克,NULL,香蕉战争，美国占领海地，墨西哥革命，一战，二战，中国抗日战争，国共内战，朝鲜战争，猪湾事件，古巴革命，印度支那战争，越战，老挝内战，柬埔寨内战 ，寮泰边境战争，柬越战争，中越边境战争，多次中东战争，1979年阿富汗战争,"
斯普林菲尔德M1903步枪是一种旋转后拉式枪机弹仓式手动步枪，1903年定型称为“0.30口径M1903步枪”，因其由斯普林菲尔德(Springfield)兵工厂研制而得名斯普林菲尔德步枪（Springfield rifle），也有译成春田兵工厂而称为春田步枪，是美军在一战及二战的制式步枪。
",手动步枪,7.62毫米,5发,1097毫米
英国空军部门,1942年-1945年,非自动步枪,德·里斯勒微声卡宾枪,枪械与单兵,NULL,185米,{'$oid': '5cc93226831b973d657f1939'},http://images.huanqiu.com/sarons/2013/08/1969345b578e133da4dc66fc062c96ec.jpg,英国,3.7千克,NULL,NULL,NULL,NULL,11.43毫米,8发,960毫米
英国皇家兵工厂,1940年-1945年,非自动步枪,李·恩菲尔德No.4步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93226831b973d657f193a'},http://images.huanqiu.com/sarons/2013/08/06c64130e243c48cbd39831e79c75998.jpg,英国,4.1千克,NULL,二战,NULL,NULL,7.69毫米,10发,1128毫米
NULL,1891年-1918年,非自动步枪,曼利夏-卡尔卡诺TS M1891卡宾枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93226831b973d657f193b'},NULL,意大利,3.1千克,NULL,二战,"
1891年-1945年间，曼利夏-卡尔卡诺枪族为意大利制式武器。该枪为曼利夏-卡尔卡诺TS卡宾枪中的一支。1945年该枪全部售完，其足迹遍布世界各地，刺杀肯尼迪总统的刺客使用的就是曼利夏-卡尔卡诺步枪。
",非自动枪支,6.5毫米,6发,920毫米
英国皇家轻兵器工厂,1943年-1947年,非自动步枪,李·恩菲尔德N0.5步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93227831b973d657f193c'},http://images.huanqiu.com/sarons/2013/08/2e2d9b65106bf4fd69b154781c05db51.jpg,英国,2.9千克,NULL,二战,NULL,NULL,7.69毫米,10发,875毫米
英国皇家轻兵器工厂,1907年-1957年,非自动步枪,李·恩菲尔德SMLEMarkⅢ型步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93227831b973d657f193d'},NULL,英国,4千克,NULL,二战,NULL,NULL,7.69毫米,10发,1132毫米
毛瑟兵工厂,1935年-1945年,非自动步枪,毛瑟98k卡宾枪,枪械与单兵,14500000,800米,{'$oid': '5cc93227831b973d657f193e'},http://images.huanqiu.com/sarons/2013/08/9f5544690c341b37873cdddeecf08702.jpg,德国,3.9千克,755发/分,二战,NULL,非自动步枪,7.92毫米,5发,1110毫米
:前南斯拉夫扎斯塔瓦武器公司,1966年-1972年,非自动步枪,Zastava M59／66自动步枪,枪械与单兵,NULL,500米,{'$oid': '5cc93227831b973d657f193f'},http://images.huanqiu.com/sarons/2013/08/6083b63876240777ac0ad824d2503816.jpg,前南斯拉夫,4.1千克,NULL,NULL,"
20世纪50年代，前南斯拉夫从前苏联引进了西蒙诺夫SVS步枪，其称为M59。但经过一段时间的使用，决定对其进行改造以满足本国的需要。枪管经过加长，可安装22毫米口径的枪榴弹发射器，改造了气缸与枪管之间的连接，并采用全新的瞄准具，包括夜视瞄准镜和榴弹瞄准镜。缩短了前护木，但保留了铰接刺刀。这种型号称为M59／66。前南斯拉夫解体前该枪曾大量出口。
",自动步枪,7.62毫米,10发,1120毫米
NULL,1954年,非自动步枪,1954年式12.7毫米高射机枪,枪械与单兵,NULL,1600米,{'$oid': '5cc93227831b973d657f1940'},NULL,中国,34千克,80发/分,NULL,"
中国仿照苏联“德什卡”M38/46式高射机枪研制的一种高射机枪。1954年生产定型，曾大量装备中国军队。除用作地面机枪外，还装在战车和舰船上使用。地面机枪后被1977年式高射机枪取代。
",NULL,12.7毫米,NULL,1591毫米
NULL,1939年,非自动步枪,八一式7.92毫米马步枪,枪械与单兵,8700,500米,{'$oid': '5cc93227831b973d657f1941'},NULL,中国,3.5千克,750发/分,抗日战争,"
中国八路军步枪设计师刘桂福在抗日战争期间制造的一种非自动步枪。1939年初，以捷克1924式马步枪为基础研制，1939年7月批量生产，到1942年3月，共生产1000多支。
",NULL,7.62毫米,30发,1104毫米
HK公司,1958年,非自动步枪,SR-9自动步枪,枪械与单兵,NULL,400米,{'$oid': '5cc93227831b973d657f1942'},NULL,德国,4.95千克,NULL,NULL,NULL,自动枪支,7.62毫米,20发,1080毫米
NULL,1976年,非自动步枪,台湾T65式5.56毫米步枪,枪械与单兵,NULL,400米,{'$oid': '5cc93227831b973d657f1943'},NULL,中国,3.17千克,800发/分,NULL,"
中国台湾高雄新霍兵工厂1976年特许生产的美国M16式步枪的改进型。是年为“民国”65年，故名T65式突击抢。
",NULL,5.56毫米,30发,990毫米
NULL,1953年,非自动步枪,1953年式7.62毫米步骑枪,枪械与单兵,NULL,400米,{'$oid': '5cc93228831b973d657f1944'},NULL,中国,3.9千克,NULL,NULL,"
中国仿制苏联1944年式7.62毫米步骑枪的一种非自动步枪。1953年投产并装备部队。用于杀伤有生目标、低速空中目标。
",非自动枪支,7.62毫米,5发,1020毫米
台湾联勤205厂,20世纪80年代,非自动步枪,台湾T86式5.56毫米步枪,枪械与单兵,NULL,400米,{'$oid': '5cc93228831b973d657f1945'},NULL,中国,3.2千克,600发/分,NULL,"
中国台湾联勤205厂20世纪80年代研发的一种突击步枪。目前台军尚未列装。
",NULL,5.56毫米,NULL,1000毫米
布鲁诺兵工厂,1930-1945,非自动步枪,ZH-29步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93228831b973d657f1946'},NULL,捷克,4.54千克,NULL,NULL,"
ZH-29是捷克布鲁诺兵工厂的爱曼妞哈力克（EMMANUEL HOLEK）设计的一种半自动步枪，此人也是ZB26式轻机枪的设计师，故ZH-29的闭锁系统，枪机和导气杆与此很相似，此枪在1930年曾拿去美国作测试，结果是此枪工艺复杂，造价昂贵和受到外界污染后容易故障，ZH-29当德国吞并捷克后也被德军所用，1930年至1932年曾卖了510支给中国东北军，原本中国想仿制但当九一八事变后东北被日军占领，仿制的事就此作罢，日本东京电气工业曾仿制过此枪，改为发射日式6.5毫米口径子弹，但由于命中率未如理想而作罢，第二次世界大战后驻日美军找到了这支样枪。
",NULL,7.92毫米,20发,1156毫米
英国皇家轻武器工厂,1937年,非自动步枪,博斯手动步枪,枪械与单兵,2600,460米,{'$oid': '5cc93228831b973d657f1947'},http://images.huanqiu.com/sarons/2014/01/e0b29aa0871104b19113957d10630114.jpg,英国,16.32千克,NULL,第二次世界大战，抗日战争,NULL,非自动枪支,13.9毫米,5发,1614毫米
中国北方工业公司,1984年,非自动步枪,国产84S自动步枪,枪械与单兵,NULL,600米,{'$oid': '5cc93228831b973d657f1948'},NULL,中国,3.133千克,NULL,NULL,"
国产84S自动步枪实际上是发射5.56毫米北约口径标准弹的半自动型56式冲锋枪，是中国北方工业公司为打入北美市场而开发研制的自动步枪。因为5.56毫米是军用口径，因此有时销售商会称其为“点223-AK”，以表示是民用枪。
",自动枪支,5.56毫米,30发,864毫米
中国湖北枪炮厂（后称汉阳兵工厂）,1893年,非自动步枪,中国“汉造”七九步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93228831b973d657f1949'},NULL,中国,4.06千克,NULL,NULL,"
中国湖北枪炮厂（后称汉阳兵工厂）仿制德国“毛瑟”1888式、1898式、1898K式的一种步枪。1893年开始生产，1948年停产，累计生产100万支以上。是当时使用最广泛的一种非自动步枪。
",NULL,7.92毫米,5发,1250毫米
