大类,翼展,类型,名称,引信,射程,制导系统,_id,图片,产国,研发单位,研制时间,关注度,弹长,简介,最大速度,弹径,弹重
导弹武器,2.24米,舰舰导弹,海鹰-3（HY-3/C-301）反舰导弹,NULL,130千米,令制导，末制导雷达为单脉冲体制,{'$oid': '5cc933b0831b973d657f22a1'},NULL,中国,中国海鹰机电技术研究院,1970年,NULL,9.85米,"
海鹰-3岸基反舰导弹，具备持续超低空超音速飞行能力，具有很强的突防能力和巨大的威力，适于打击驱逐舰以上的大中型水面舰艇，是20世纪90年代一种尖端有效的全天候反舰武器。在国内的编号为HY-3“鹰击-3“，而出口编号为C-301。北约代号CSSC-6""Sawhorse""。
",2252千米/小时,0.76米,1850千克
导弹武器,0.587米,舰舰导弹,鹰击-7(YJ-1/C-701)轻型反舰导弹,NULL,300千米,自控及电视捕控指令制导方式,{'$oid': '5cc933b1831b973d657f22a2'},http://images.huanqiu.com/sarons/2013/11/1215c801b42c987063e5e50ef0e91c62.jpg,中国,中国精密机械进出口公司,20世纪60年代,NULL,2.507米,NULL,NULL,NULL,100千克
导弹武器,NULL,舰舰导弹,鹰击-91(YJ-91/C-901)高速反辐射/反舰导弹,NULL,50千米,NULL,{'$oid': '5cc933b1831b973d657f22a3'},NULL,中国,NULL,2007年,NULL,4.7米,"
鹰击-91型高速反辐射/反舰导弹，俄KH-31P导弹仿制型，上世纪90年代中国从俄罗斯购买了数量不详的KH-31P导弹，并在俄的帮助下仿制KH-31P导弹，2007年仿制成功，导弹编号为鹰击-91。
",4287.7千米/小时,NULL,NULL
导弹武器,1.1米,舰舰导弹,飞鱼式反舰导弹（Exocet),NULL,70千米,惯性导引+主动雷达导引,{'$oid': '5cc933b1831b973d657f22a4'},NULL,法国,法国宇航公司,1967年,NULL,4.7米,"
飞鱼式反舰导弹（Exocet)是一款由法国研发制造的反舰导弹，拥有舰射、潜射、空射等多种不同的发射方式，而除了潜射型版本外，飞鱼导弹全可以接近音速在接近水面5米不到的高度飞行但不接触水面。飞鱼导弹在1980年代开始正式服役后，历经过许多实战经验，是一种整体性能评价优异的反舰导弹系统。
",378千米/小时,0.348米,670千克
导弹武器,NULL,舰舰导弹,长剑-10/东海-10巡航导弹,NULL,2500千米,复合制导,{'$oid': '5cc933b1831b973d657f22a5'},NULL,中国,中国航天科工集团第三研究院,1990年-2000年,NULL,8.3米,"
长剑10，最初立项时的技术指标是装备海军岸舰导弹部队，在未来的台海冲突中起到阻止美日介入的目的，所以以海军型号为优先的发展方向，命名为“东海10”；后来由于技术原因调整了技术指标，转而以陆基巡航导弹为发展方向，故改名为“长剑10”。 
",255千米/小时,0.68米,25000千克
导弹武器,1.3米,舰舰导弹,3M-80MBE“白蛉”超音速反舰导弹 ,NULL,450千米,NULL,{'$oid': '5cc933b1831b973d657f22a6'},NULL,苏/俄,俄罗斯彩虹设计局,20世纪70年代,NULL,NULL,"
白蛉反舰导弹，即P-270 Moskit（俄语：П-270""Москит""）是俄罗斯的超音速冲压喷气发动机动力的反舰导弹。俄罗斯GRAU（俄罗斯联邦国防部导弹与炮兵总局）代号3M80，北约代号为SS-N-22“日炙”，该导弹系统是由俄罗斯彩虹机械制造设计局在20世纪70年代设计生产，为SS-N-9“海妖”导弹的后继型。
",2900千米/小时,0.76米,NULL
导弹武器,NULL,舰舰导弹,C802A反舰导弹（鹰击82）,NULL,近程导弹,NULL,{'$oid': '5cc933b1831b973d657f22a7'},NULL,中国,NULL,NULL,NULL,NULL,"
C802A是鹰击82反舰导弹的出口型号。是一种以涡喷发动机为动力的高亚音速、掠海飞行的反舰导弹武器系统。具有体积小、重量轻、射程远、攻击区域宽、突防和抗干扰能力强、命中精度高、机动性好、操作方便、易于维护、发射后不管等特点。它可以装载在舰艇、岸防阵地或飞机上，对敌方的驱逐舰、护卫舰、登陆舰艇实施舰舰、岸舰和空舰超视距攻击。
",NULL,NULL,3000千克
导弹武器,1.18米,舰舰导弹,鹰击801反舰导弹,NULL,42千米,NULL,{'$oid': '5cc933b2831b973d657f22a8'},NULL,中国,NULL,1979年,NULL,5.814米,"
鹰击801反舰导弹是我国研制的一种高音速、超低空掠海飞行的多用途反舰导弹，它可以多联装载在各种类型的驱逐舰、护卫舰、常规潜艇、快艇上，也能装在轰炸机、强击机上从空中发射。主要用于攻击护卫舰、驱逐舰等中型以上水面舰艇，壹枚命中即可重创或摧毁目标，也能打击快艇一类的小型水面舰艇。
",NULL,0.36米,NULL
导弹武器,4.2米,舰舰导弹,鹰击-12(YJ-12/CM-400AKG)超音速反舰导弹,NULL,250千米,NULL,{'$oid': '5cc933b2831b973d657f22a9'},NULL,中国,601厂，611厂和海军研究院，航天三院,2000年,NULL,9米,"
2000年珠海航展上，“鹰击”-12超音速反舰导弹的模型首次亮相，它采用双进气口冲压喷气发动机设计方案，但是从最新的照片来看，这段导弹改成了使用四进气口冲压喷气发动机，似乎是2006年到2007年中国从俄罗斯引进的KH-31反舰导弹的升级版。
",7千米/小时,1.2米,2000千克
导弹武器,NULL,舰舰导弹,雄风-1舰舰导弹,NULL,8千米,制导雷达为RTN-10x或hr-76c,{'$oid': '5cc933b2831b973d657f22aa'},http://images.huanqiu.com/sarons/2013/11/7d042d757f501373fd2fc3347bdde326.jpg,中国,中山科学研究院,1975-1978年,NULL,4.76米,"
“雄风”系列反舰导弹是我国台湾目前的主要制海武器之一，普遍装备于大中小型作战舰艇上。该导弹的研制始于上世纪70年代末期，由中山科学研究院研制，共分I/II/III型。雄风-1导弹则是以天使导弹为蓝本反向工程改良制造的反舰导弹。
",796千米/小时,NULL,NULL
导弹武器,NULL,舰舰导弹,C-704反舰导弹 ,NULL,近程导弹,NULL,{'$oid': '5cc933b2831b973d657f22ab'},NULL,中国,中国航天科工三院,20世纪70年代,NULL,NULL,NULL,NULL,NULL,NULL
导弹武器,1.21米,舰舰导弹,UUN-125“海长矛”潜潜导弹,NULL,100千米,惯性制导,{'$oid': '5cc933b2831b973d657f22ac'},NULL,美国,美国波音公司,1983年,NULL,5.8米,NULL,NULL,0.406米,1034千克
导弹武器,NULL,舰舰导弹,鹰击803反舰导弹,NULL,250千米,NULL,{'$oid': '5cc933b2831b973d657f22ad'},http://images.huanqiu.com/sarons/2013/11/37d9bd4b3266c0cb51ade30fcf13a727.jpg,中国,NULL,1999年10月,NULL,6.885米,"
YJ-83导弹又称为C-803，是一种低超音速掠海反舰导弹，被称为 “海上屠夫”，由解放军海防导弹研究院在1999年10月1日50周年国庆阅兵大典前研制成功，并在国庆阅兵时以实体亮相。它也被解放军称为是“争气弹”。
",NULL,0.36米,NULL
导弹武器,1.22米,舰舰导弹,鹰击802（C-802）反舰导弹武器系统,NULL,120千米,NULL,{'$oid': '5cc933b2831b973d657f22ae'},NULL,中国,中国海鹰机电技术研究院,20世纪70年代中期,NULL,6.392米,"
鹰击802（C802）反舰导弹武器系统是中国研制的岸对舰机动式导弹武器系统，为C801导弹武器系统的改进型号，与C801十分相似，但增加了长度，其无线电测高仪的性能更加完善，战斗部的威力、机动性能等都有所提高。C802是一种中远程全天候多用途反舰导弹武器系统，可以进行舰载、岸基和机载发射及掠海飞行，巡航段飞行高度为20-30米，在接近目标时飞行。
",NULL,NULL,165千克
导弹武器,NULL,舰舰导弹,意大利“火星”反舰导弹,NULL,25千米,NULL,{'$oid': '5cc933b3831b973d657f22af'},http://images.huanqiu.com/sarons/2013/11/fb696b6d3b53a8b285f9c857d4e22fe1.jpg,意大利,NULL,1969年,NULL,4.7米,"
火星导弹最初是海上凶手1舰对舰导弹改型的空对舰导弹，1969年开始研制，可能没有装备，它只是一种为后继型号的试验型号。
",NULL,0.206米,300千克
导弹武器,NULL,舰舰导弹,P-800“红宝石”（SS-N-26）反舰导弹 ,NULL,300千米,NULL,{'$oid': '5cc933b3831b973d657f22b0'},NULL,苏/俄,NULL,NULL,NULL,8.9米,"
P-800“红宝石”是俄逻斯切洛梅设计局设计用来取代P-270“蚊子”和P-700“花岗岩”的超音速反舰导弹，是P-80导弹的冲压发动机版，北约代号为SS-N-26。现在使用国包括叙利亚（两套发射器，72枚），越南。俄罗斯和印度以它为蓝本设计出了布拉莫斯导弹。
",2815千米/小时,0.67米,3000千克
导弹武器,1.36米,舰舰导弹,特塞奥（Teseo ）舰舰导弹,NULL,180千米,惯性+超视距修正制导+末端主动雷达制导,{'$oid': '5cc933b3831b973d657f22b1'},NULL,法国,法国MBDA公司,1969年,NULL,4.46米,NULL,NULL,0.46米,NULL
导弹武器,2.6米,舰舰导弹,P-700花岗岩（Granit)（SS-N-19）反舰导弹,NULL,55千米,NULL,{'$oid': '5cc933b3831b973d657f22b2'},NULL,苏/俄,NULL,1979年,NULL,10.5米,"
“花岗岩”反舰导弹是20世纪70年代初开始研制的远程超音速巡航导弹，它可以从水面舰艇发射，也可以从潜艇发射。弹体长10米，射程在500公里以上，发射重量为7吨，可装填各种型号的弹药。导弹在高空的飞行马赫数达到2.5，末端飞行马赫数可达3.5。
",NULL,NULL,7000千克
导弹武器,NULL,舰舰导弹,NSM隐形反舰导弹,NULL,185千米,NULL,{'$oid': '5cc933b3831b973d657f22b3'},NULL,挪威,康斯伯格防务公司,1996年,NULL,3.95米,NULL,NULL,0.39米,410千克
导弹武器,NULL,舰舰导弹,90式舰对舰导弹（SSM-1B）,NULL,200千米,NULL,{'$oid': '5cc933b4831b973d657f22b4'},http://images.huanqiu.com/sarons/2013/11/fcbf49141a28ac858f983838cb99acf7.jpg,日本,三菱重工,NULL,NULL,5米,"
90式（SSM-1B）舰对舰导弹是日本自行研制的第二代舰对舰导弹，外形与美国RGM-84鱼叉反舰导弹非常相似，具备扇面发射能力，导弹采用了具有抗干扰能力的宽频带频率捷变主动雷达导引头和先进的数位式计算机。可对20公里处的水面目标进行锁定，导弹巡航时的飞行高度为30米，在末端攻击时下降到5至6米，在距离目标3公里时突然跃升俯冲攻击目标。
",NULL,0.35米,667千克
导弹武器,1.36米,舰舰导弹,奥托马特导弹,NULL,60千米,惯性制导+主动雷达,{'$oid': '5cc933b4831b973d657f22b5'},NULL,法国,奥托-梅莱拉公司，马拉特公司,1969年,NULL,4.66米,"
由意大利奥托-梅莱拉公司联合研制的一种多用途反舰导弹，1969年开始工程研制，1972 年首次飞行，1975年完成作战鉴定飞行试验， 1977年投入批量生产装备部队，现经多次改进，已经有Mk-1型，Mk-2，Mk-3和正在研制的Mk-4型，四种均可以在任意水上平台发射。
",NULL,0.46米,770千克
导弹武器,NULL,舰舰导弹,3M54 俱乐部（SS-N-27炎热）,NULL,300千米,NULL,{'$oid': '5cc933b4831b973d657f22b6'},NULL,苏/俄,NULL,NULL,NULL,8.22米,"
 
",3265千米/小时,0.533米,2300千克
导弹武器,1.4米,舰舰导弹,企鹅反舰导弹,NULL,20千米,脉冲雷射导引+被动红外线导引,{'$oid': '5cc933b4831b973d657f22b7'},http://images.huanqiu.com/sarons/2013/11/fe3f7b47ef3c0e519d2da6e774026ee3.jpg,挪威,康斯皮格防御与空间公司,1960年,NULL,3米,"
由挪威研制的企鹅系列反舰导弹（AGM-119）采用相同的鸭式气动外形布局和相似的弹体结构，4片箭羽式控制舵面和稳定弹翼分别位于弹体前部和后部，前舵和弹翼均呈X形配置，处于同一水平面上。圆柱形弹体头部呈卵形，尾部呈半球形，弹体内部采用模块化舱段结构，从前到后分为3个舱段：导引头舱、战斗部舱和发动机舱。
",NULL,0.28米,385千克
导弹武器,2.65米,舰舰导弹,BGM-109B战斧反舰导弹,NULL,556千米,NULL,{'$oid': '5cc933b4831b973d657f22b8'},NULL,美国,通用动力公司,1972年,NULL,5.56米,NULL,NULL,0.527米,NULL
导弹武器,0.914米,舰舰导弹,AGM-84捕鱼叉（Harpoon）,NULL,120千米,NULL,{'$oid': '5cc933b4831b973d657f22b9'},http://images.huanqiu.com/sarons/2013/11/7d4e9f0c95f533bf117ee9c755366f41.jpg,美国,道格拉斯公司,NULL,NULL,3.84米,"
捕鱼叉（又名鱼叉）AGM-84反舰导弹是由美国麦克唐纳-道格拉斯公司开发的反舰导弹，在1979年装备部队使用，也是美国海空军现役最主要的反舰武器，可以自飞机，各类水面军舰以及潜艇上发射。此外，美国海军利用鱼叉导弹开发出远程陆上攻击型（SLAM：Stand-off Land Attack Missile）。在美国三军通用编号当中，AGM-84为空射型，RGM-84为舰射型，UGM-84则是水下潜艇发射型，但是他们的基本结构都是相同的。
",NULL,0.344米,691千克
导弹武器,1.17米,舰舰导弹,“天王星”反舰导弹,NULL,130千米,采用复合制导方式，飞行初段采用惯性制导，末段由主动雷达系统制导,{'$oid': '5cc933b5831b973d657f22ba'},http://images.huanqiu.com/sarons/2013/11/a13e860afc9e235a16d1997997fc1df7.jpg,苏/俄,俄罗斯星—箭国家科研生产中心,80年代初,NULL,3.75米,"
“天王星”反舰导弹是前苏联80年代初开始设计的一种中程亚声速多用途反舰导弹，90年代正式服役。该武器系统可以装备各种水面舰，海军直升机等。其作战用途是打击水面舰、导弹艇、鱼雷艇和炮艇，以及敌方护航舰队和登陆部队中的运输舰。
",1100千米/小时,0.42米,480千克
导弹武器,2.9米,舰舰导弹,C602反舰导弹（鹰击-62）,NULL,280千米,中段为惯导+GPS末端为主动雷达,{'$oid': '5cc933b5831b973d657f22bb'},http://images.huanqiu.com/sarons/2014/05/3dd8117f91d41221cee25578b593087f.jpg,中国,NULL,2004年,NULL,6.1米,"
鹰击-62（yj-62)，是中国近年来研制装备的一款远程反舰型巡航导弹，2具有射程远、命中精度高、突防能力强、毁伤威力大、使用灵活、生存能力强等特点。可装载于机动车辆或水面舰船，具有初段越障和航路规划功能，用于打击敌大、中型水面舰艇及编队。
",NULL,0.54米,1140千克
导弹武器,NULL,舰舰导弹,雄风-3反舰导弹,惯性导航 + 主动雷达导引,160千米,NULL,{'$oid': '5cc933b5831b973d657f22bc'},NULL,中国,中山科学研究院,1990年,NULL,NULL,"
简称雄三，是由台湾中山科学研究院自行研发的超音速反舰导弹，于2007年10月10日台湾国防表演时正式展示。
",NULL,0.46米,1500千克
导弹武器,NULL,舰舰导弹,“红鲨鱼”反潜导弹,NULL,20千米,NULL,{'$oid': '5cc933b5831b973d657f22bd'},NULL,韩国,韩国国防科学研究所,20世纪50年代,NULL,5.7米,NULL,NULL,0.038米,820千克
导弹武器,0.838米,舰舰导弹,"RUR-5A""阿斯洛克""舰潜导弹",NULL,8千米,NULL,{'$oid': '5cc933b5831b973d657f22be'},NULL,美国,美国霍尼韦尔公司,1955年,NULL,4.5米,NULL,NULL,0.337米,486千克
导弹武器,0.93米,舰舰导弹,Х-35(AS-17)反舰导弹,触发引信,130千米,NULL,{'$oid': '5cc933b6831b973d657f22bf'},NULL,苏/俄,“星星”(Zvezda)机械制造设计局,1983年,NULL,3.75米,NULL,5513.5千米/小时,0.42米,600千克
导弹武器,1.36米,舰舰导弹,奥托马特反舰导弹,NULL,NULL,NULL,{'$oid': '5cc933b6831b973d657f22c0'},NULL,意大利,NULL,1969年,NULL,4.46米,NULL,NULL,NULL,NULL
导弹武器,1.38米,舰舰导弹,雄风-2反舰导弹,NULL,100千米,中途惯性导引，末段双模式导引,{'$oid': '5cc933b6831b973d657f22c1'},http://images.huanqiu.com/sarons/2013/11/6a01ce4d601a73515e8714c698e92150.jpg,中国,中山科学研究院,1990年,NULL,NULL,"
台湾在""雄风""Ⅰ型的基础上改进而成的一种中、远程反舰导弹，是中山科学研究院以美国鱼叉反舰导弹的功能为目标发展的反舰导弹系统，于1988年2月29日正式公布。具有极佳的电子反反制（ECCM）能力。2001年，以雄风二型反舰导弹为基础并参考自美国战斧巡航导弹发展的陆攻巡航导弹版本的雄风二E巡航导弹发展计划被公开。
",NULL,NULL,685千克
导弹武器,NULL,舰舰导弹,Kh-35“天王星”反舰导弹,NULL,110千米,NULL,{'$oid': '5cc933b6831b973d657f22c2'},http://images.huanqiu.com/sarons/2013/11/99a3d116bc6899dd3afe416538f16410.jpg,苏/俄,“红星”实验设计局,1983年,NULL,NULL,NULL,980.064千米/小时,NULL,145千克
导弹武器,NULL,舰舰导弹,Teseo-Mk2“特塞奥”反舰导弹,NULL,180千米,NULL,{'$oid': '5cc933b6831b973d657f22c3'},http://images.huanqiu.com/sarons/2013/11/3da91aa3f2d3ff3a50a343c933834d7e.jpg,意大利,NULL,未知,NULL,4.46米,NULL,1116千米/小时,0.4米,770千克
