大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,装甲运兵车,ZSD-89式装甲输送车,1980年,中国北方工业公司,2.376米,{'$oid': '5cc932dd831b973d657f1dfc'},http://images.huanqiu.com/sarons/2014/03/e106dd8f7d9da124b9b654250ab199ea.jpg,中国,履带式,15人,6.634米,500公里,(4.9分),3.148米,"
ZSD-89装甲运兵车WZ53489式履带装甲输送车
",65公里/小时,14500千克
坦克装甲车辆,装甲运兵车,YW531H装甲人员运输车,1987年,中国北方工业公司,2.586米,{'$oid': '5cc932dd831b973d657f1dfd'},http://images.huanqiu.com/sarons/2014/03/0e2fc10ca56e24d8a98d531c71ee8f02.jpg,中国,履带式,15人,6.125米,500公里,(4.8分),3.06米,"
85式装甲人员输送车，工厂代号YW531H，从YW531C装甲车（或称外贸型63式）改进发展而来的，目前该车可以变型为12种不同的车型，可以算是世界上最大的履带式装甲车族，是一种很好的战场运输车，不需任何特殊准备就可完成更多的任务。它的前景乐观，有潜力，适应性很强。其较大的内部空间可发展成为装甲运输车，装甲指挥车，救护车或武器输送车等。车体外形最显著的特点是车首修改削尖外形。
",65公里/小时,13600千克
坦克装甲车辆,装甲运兵车,OMC“卡斯皮”MkⅢ装甲人员运输车,1970年,TFM公司,3.125米,{'$oid': '5cc932dd831b973d657f1dfe'},NULL,南非,轮式,12人,6.9米,850公里,NULL,2.45米,NULL,90公里/小时,12580千克
坦克装甲车辆,装甲运兵车,PTS、PTS-M和PTS-2履带式两栖车,未知,NULL,2.65米,{'$oid': '5cc932de831b973d657f1dff'},http://images.huanqiu.com/sarons/2013/11/7350869e3c2818976c6f2fc179c986a3.jpg,苏/俄,履带式,72人,11.426米,380公里,NULL,3.3米,NULL,42公里/小时,17700千克
坦克装甲车辆,装甲运兵车,Boraq装甲人员运输车,未知,伊朗防务工业组织莎伊德·杜兹工业公司,1.75米,{'$oid': '5cc932de831b973d657f1e00'},NULL,伊朗,NULL,11人,NULL,500公里,NULL,3.25米,"
Boraq装甲人员运输车的车体在很多方面都与俄罗斯BMP-2以及中国生产的Wz-501步兵战车类似。不同点是现役的Boraq装甲人员运输车有一个装备一挺12.7毫米机枪的构造简单的炮塔，此外，负重轮与目前伊朗大量使用的美国联合防务公司M113系列装甲人员运输车类似。
",63公里/小时,13000千克
坦克装甲车辆,装甲运兵车,多用途运输车/LBV（非洲小狐）,1992年,SP宇航与车辆系统公司,2.2米,{'$oid': '5cc932de831b973d657f1e01'},http://images.huanqiu.com/sarons/2013/11/09cdcc9168c80d6bf79ed791420cf830.jpg,荷兰,轮式,3人,NULL,1000公里,NULL,2.55米,NULL,112公里/小时,10440千克
坦克装甲车辆,装甲运兵车,全地形履带式运输车(ATTC)/“野马”(Bronco),1999年,新加坡技术动力公司,2.2米,{'$oid': '5cc932de831b973d657f1e02'},http://images.huanqiu.com/sarons/2013/11/3833a029c5f7adfc6e6e9a41f5dbfe21.jpg,新加坡,履带式,16人,8.6米,NULL,NULL,2.3米,"
全地形履带式运输车(All Terrain TractedCarrier，ATTC)，也称“野马”(Bronco)，由新加坡技术动力公司研发，目的是满足新加坡武装部队对一种比当前服役的Bv206车型装甲保护更强、载重量更大的车辆的需求。
",60公里/小时,16000千克
坦克装甲车辆,装甲运兵车,SU 60式装甲人员运输车,20世纪50年代中期,三菱重工业公司，小松制作所,2.31米,{'$oid': '5cc932de831b973d657f1e03'},http://images.huanqiu.com/sarons/2013/11/0007420a71da680248c68475fe1a6f35.jpg,日本,NULL,10人,4.85米,300公里,NULL,2.4米,"
60式履带式装甲人员输送车，该车是战后日本仿美M59车设计制造的第一代履带式装甲车。日本防卫厅从1956年开始研制，1957年由三菱重工业公司和小松制作所分别制造样车，前者的样车称SU-Ⅱ型，后者的样车称SU-Ⅰ型。两种样车重约10.6吨，乘、载员9人，公路最大速度45千米/小时。
",45公里/小时,11800千克
坦克装甲车辆,装甲运兵车,M-60装甲人员运输车,20世纪60年代,NULL,1.86米,{'$oid': '5cc932de831b973d657f1e04'},NULL,塞尔维亚,履带式,13人,5.02米,400公里,NULL,2.77米,"
M-60P是为满足前南斯拉夫陆军需求而于20世纪60年代研发，于1965年首次公开亮相。曾有段较短的时间被称为M-590。
",45公里/小时,11000千克
坦克装甲车辆,装甲运兵车,OMC RG-32M装甲人员运输车,2000年,BAE系统公司地面系统OMC部,1.95米,{'$oid': '5cc932df831b973d657f1e05'},NULL,南非,轮式,4人,4.97米,750公里,NULL,1.8米,"
RG-32系列装甲人员运输车/装甲巡逻车最早在南非研发，目标为警用市场，生产了4×4与4×2两种构造的车型。进一步的研发诞生出RG-32M。此车型拥有许多改进，包括全轮驱动、更大的轮胎、更加固的车轴、两支车轴上均有差速器以及连接自动变速箱的更强劲的柴油发动机。
",120公里/小时,5100千克
坦克装甲车辆,装甲运兵车,LARC-5 两栖货物运输车,1958年,博格华纳公司在美国运输工程指挥部,3.1米,{'$oid': '5cc932df831b973d657f1e06'},http://images.huanqiu.com/sarons/2013/11/3d3b44550259f6ff114c941276cb4dc5.jpg,美国,NULL,3人,10.07米,400公里,NULL,3.05米,NULL,48.2公里/小时,14053千克
坦克装甲车辆,装甲运兵车,77-1式水陆装甲输送车,1965年,NULL,2.16米,{'$oid': '5cc932df831b973d657f1e07'},http://images.huanqiu.com/sarons/2013/11/2efe31b1f694478352a94fde1487e85f.jpg,中国,履带式,2人,NULL,370公里,NULL,3.2米,NULL,64.2公里/小时,18760千克
坦克装甲车辆,装甲运兵车,“风暴”装甲人员运输车,1981年,阿尔维斯有限公司,2.764米,{'$oid': '5cc932df831b973d657f1e08'},NULL,英国,履带式,11人,5.27米,650公里,NULL,2.4米,NULL,80公里/小时,12700千克
坦克装甲车辆,装甲运兵车,77式装甲人员运输车,1963年,中国北方工业(集团)总公司 ,2.436米,{'$oid': '5cc932df831b973d657f1e09'},NULL,中国,履带式,18人,7.4米,370公里,NULL,3.2米,"
77式装甲人员运输车是中国自行研制的第一代水陆装甲运兵车，能搭载20名步兵，三级抗风浪能力（1.2米浪高），备有夜视仪。
",60公里/小时,15500千克
坦克装甲车辆,装甲运兵车,“澳洲野狗”全防护战车,1995年,克劳斯-玛菲·魏格曼公司,2.5米,{'$oid': '5cc932df831b973d657f1e0a'},NULL,德国,轮式,5人,5.45米,700公里,NULL,2.3米,NULL,90公里/小时,8800千克
坦克装甲车辆,装甲运兵车,FV432装甲人员运输车,1961年,GKN-“桑基”公司,1.879米,{'$oid': '5cc932e0831b973d657f1e0b'},http://images.huanqiu.com/sarons/2013/11/db78290516777dba64c2bd75659ead17.jpg,英国,履带式,12人,5.251米,480公里,NULL,2.8米,NULL,52.2公里/小时,15280千克
坦克装甲车辆,装甲运兵车, “斯巴达人”装甲人员运输车,20世纪60年代,阿尔维斯有限公司,2.26米,{'$oid': '5cc932e0831b973d657f1e0c'},http://images.huanqiu.com/sarons/2013/11/76e5b9033959e390b3ca606818cdd0b9.jpg,英国,履带式,7人,4.794米,483公里,NULL,2.242米,NULL,80.5公里/小时,8172千克
坦克装甲车辆,装甲运兵车,VXB-170装甲人员运输车,1968年,法国贝利埃公司,2.05米,{'$oid': '5cc932e0831b973d657f1e0d'},http://images.huanqiu.com/sarons/2013/11/7bd9d72711da6ec9f68b947ccf786054.jpg,法国,轮式,11人,5.99米,750公里,NULL,2.5米,NULL,85公里/小时,12700千克
坦克装甲车辆,装甲运兵车,PBV302装甲人员运输车,1962年12月,赫格隆和索纳公司,2.5米,{'$oid': '5cc932e0831b973d657f1e0e'},http://images.huanqiu.com/sarons/2013/11/2d1a0a5f12011dcb6d4e1e56c411536f.jpg,瑞典,履带式,12人,5.35米,300公里,NULL,2.86米,NULL,66公里/小时,13500千克
坦克装甲车辆,装甲运兵车,M113A2装甲人员运输车,1960年,美国食品机械化学公司,1.85米,{'$oid': '5cc932e0831b973d657f1e0f'},http://images.huanqiu.com/sarons/2013/11/76754b7c5e4f95fa5863446a2c691c61.jpg,美国,履带式,13人,4.863米,480公里,NULL,2.686米,"
M113是一种美国生产的装甲运兵车，外销世界上诸多国家，以便宜好用、改装方便著称于世，在近代军事史有重要地位。虽然它不是坦克但是也能设计成战斗载具，M113在越战时期甚至是装甲覆盖最完全的载具，也使得后续的诸多装甲步兵战车从它获得灵感，至今21世纪M113各种改型依然在服役，并且在最近被选为史上10大步兵战车第一名。
",60.7公里/小时,11253千克
坦克装甲车辆,装甲运兵车,潘哈德M3装甲人员运输车,1969年,潘哈德公司,2.48米,{'$oid': '5cc932e0831b973d657f1e10'},NULL,法国,轮式,12人,4.45米,600公里,NULL,2.4米,"
M3(4×4)由潘哈德公司自行投资研发，第一辆样车完成于1969年，第一批量产车于1971年出厂。出口数超过1200辆，销往约35个国家。其95％的部件与潘哈德AML系列4×4装甲车所采用的相同。潘哈德M3用途广泛，包括用作国内治安车、救护车和战地指挥车等。
",90公里/小时,6100千克
坦克装甲车辆,装甲运兵车,73式装甲人员运输车,1974年,三菱重工业公司，小松制作所 (Komatsu)，日立制作所(Hiachi)，日本电气(Nippon Eletric)公司和神户制钢所(Kobe Iron Works),2.2米,{'$oid': '5cc932e1831b973d657f1e11'},http://images.huanqiu.com/sarons/2013/11/0f550e50651e5e96cb3b55a7bbfb87f6.jpg,日本,履带式,12人,5.8米,300公里,NULL,2.8米,"
73式装甲人员运输车是日本陆上自卫队使用的装甲运兵车。是60式装甲运兵车的后继车种由1967年三菱重工开始研发，1968年试验车完成。73式装甲运兵车1974年开始交货合计338辆生产。现在新型96式装甲运兵车逐步将之汰换。在量少的自卫队规模中本车算是大量的装备，最终的造价约1亿日圆一台可以说是量产的好处减低成本。从配备后已经服役30年以上现在和96式装甲运兵车一同服役。
",70公里/小时,13300千克
坦克装甲车辆,装甲运兵车,联合防务公司LVTP7(AAV7A1)两栖突击车,1950年,FMC公司(美国),3.31米,{'$oid': '5cc932e1831b973d657f1e12'},http://images.huanqiu.com/sarons/2013/11/c26a66f03fbb7d6156049653a9228ae3.jpg,美国,履带式,27人,8.16米,482公里,NULL,3.27米,"
该车最初被称为LVPT，目前一些用户仍在使用这一名称。1985年，美国海军陆战队将该车改名为7型两栖突击车(AAV7)。所有新生产的车辆都是按 AAV7A1 的配置标准生产的，美国海军陆战队现装备的所有车辆都已经被升级到这一新的生产标准。
",64公里/小时,22838千克
坦克装甲车辆,装甲运兵车,“龙骑士”装甲车,1978年,弗纳(Veme)公司,2.819米,{'$oid': '5cc932e1831b973d657f1e13'},http://images.huanqiu.com/sarons/2013/11/bf7608f25aa05f319a69ef3f39e6ed39.jpg,美国,轮式,9人,6.39米,869公里,NULL,2.49米,NULL,115.9公里/小时,12700千克
坦克装甲车辆,装甲运兵车,赫格隆Bv206S装甲人员运输车,1974年,BAE系统地面系统分公司-赫格隆,2.1米,{'$oid': '5cc932e1831b973d657f1e14'},NULL,瑞典,履带式,12人,6.92米,300公里,NULL,2米,NULL,52公里/小时,7000千克
坦克装甲车辆,装甲运兵车,BvS10装甲人员运输车,1998年,阿尔维斯·赫格隆公司,2.19米,{'$oid': '5cc932e1831b973d657f1e15'},http://images.huanqiu.com/sarons/2013/11/406d9784c8ebd36094967c82c345b56a.jpg,瑞典,履带式,14人,7.6米,300公里,NULL,2.19米,"
BvS10装甲全地形车由位于瑞典恩舍尔兹维克的阿尔维斯·赫格隆公司研制的全地形车系列中的新一代车辆。BvS10具备完全两栖能力，在水中可靠橡胶履带推进，最大速度为5公里/小时。BvS10装甲全地形车可用于运兵车、指挥车、救护车以及维修和救援车等。BvS10可通过CH-53直升机运输。
",65公里/小时,11500千克
坦克装甲车辆,装甲运兵车,博尼斯基MAV5装甲人员运输车,未知,意卡罗兹尼亚·博尼斯基公司和依维柯公司,2.15米,{'$oid': '5cc932e1831b973d657f1e16'},NULL,意大利,轮式,6人,4.66米,600公里,NULL,2米,NULL,100公里/小时,4450千克
坦克装甲车辆,装甲运兵车,UR-416装甲人员运输车,1969年,莱茵金属公司地面系统分部(德国，卡塞尔),2.52米,{'$oid': '5cc932e1831b973d657f1e17'},http://images.huanqiu.com/sarons/2013/11/c1158338a265faaf2822d91d4a4652ac.jpg,德国,轮式,10人,NULL,700公里,NULL,2.25米,NULL,81公里/小时,7600千克
坦克装甲车辆,装甲运兵车,“拳击手”多用途装甲车,2002年,MRAV(国际),2.376米,{'$oid': '5cc932e2831b973d657f1e18'},http://images.huanqiu.com/sarons/2013/11/a704869932d11650d48ea209de294fe5.jpg,英国,NULL,11人,7.927米,1050公里,NULL,2.99米,NULL,103公里/小时,33000千克
坦克装甲车辆,装甲运兵车,BOV-VP装甲人员运输车,1980年,NULL,2.335米,{'$oid': '5cc932e2831b973d657f1e19'},http://images.huanqiu.com/sarons/2013/11/1b1dccf49f99b246178cbb0d540a7459.jpg,前南斯拉夫,轮式,10人,5.7米,500公里,NULL,2.534米,"
20世纪80年代初，BOV-VP装甲人员运输车车是由前南斯拉夫设计建造。后来成为了4×4装甲车族，是一种可载8名战斗人员的轮式人员车辆。标准设备包括昼夜观察装置、加温器和通信设备。一些BOV-VP在车体侧面安装了金属丝筛网，必要时可向前折叠90°。主要用于出口。
",95公里/小时,9400千克
坦克装甲车辆,装甲运兵车,BRAVIA“蔡米特”装甲人员运输车,1966年,BRAVIA SARL公司,2.26米,{'$oid': '5cc932e2831b973d657f1e1a'},NULL,葡萄牙,轮式,11人,5.6米,1050公里,NULL,2.26米,NULL,110公里/小时,7300千克
坦克装甲车辆,装甲运兵车,“美洲狮”装甲人员运输车,1988年,依维柯/奥托·梅莱拉公司,1.678米,{'$oid': '5cc932e2831b973d657f1e1b'},http://images.huanqiu.com/sarons/2013/11/14071e607358f2afae596ef49029cdb4.jpg,意大利,轮式,7人,5.085米,700公里,NULL,2.1米,NULL,115公里/小时,7000千克
坦克装甲车辆,装甲运兵车,BLR轮式装甲人员输送车,1972年,恩普雷萨国营汽车公司,2米,{'$oid': '5cc932e2831b973d657f1e1c'},NULL,西班牙,轮式,13人,NULL,570公里,NULL,2.5米,"
LBR(Blindado Ligero de Ruedas)(4×4)车是恩普雷萨国营汽车公司满足西班牙陆军和治安部队要求而研制的一种装甲人员输送车。该车可安装多种武器，故使用范围较广，如保障机场安全、边界巡逻及国内治安等。公司将该车定名为BLR 3545型。
",93公里/小时,12000千克
坦克装甲车辆,装甲运兵车,“秃鹰”装甲人员运输车,1978年,莱茵金属公司地面系统分部(德国，卡塞尔,2.79米,{'$oid': '5cc932e3831b973d657f1e1d'},http://images.huanqiu.com/sarons/2013/11/04aa28ea0d7823568aa58e0c33ef5256.jpg,德国,NULL,14人,6.47米,900公里,NULL,2.47米,NULL,100公里/小时,12400千克
坦克装甲车辆,装甲运兵车,6614型装甲人员运输车,19世纪60年代末,伊维科-菲亚特公司防务车辆分部 奥托·梅拉拉公司,2.18米,{'$oid': '5cc932e3831b973d657f1e1e'},http://images.huanqiu.com/sarons/2013/11/c2132ffc65566443d1ce0640cec2b826.jpg,意大利,轮式,11人,5.86米,700公里,NULL,2.5米,NULL,100公里/小时,8500千克
坦克装甲车辆,装甲运兵车,TABC-79装甲人员运输车,未知,ROMARM有限公司,2.335米,{'$oid': '5cc932e3831b973d657f1e1f'},http://images.huanqiu.com/sarons/2013/11/b1b9712296a38070f393684d6bf4b62a.jpg,罗马尼亚,轮式,7人,NULL,700公里,NULL,2.805米,NULL,80公里/小时,9275千克
坦克装甲车辆,装甲运兵车,TM170装甲人员运输车,1979年,德国蒂森机械制造厂,2.32米,{'$oid': '5cc932e3831b973d657f1e20'},NULL,德国,轮式,12人,6.12米,870公里,NULL,2.47米,NULL,100公里/小时,11650千克
坦克装甲车辆,装甲运兵车,PSZH-IV装甲人员运输车,1970年,匈牙利国家兵工厂,2.308米,{'$oid': '5cc932e3831b973d657f1e21'},NULL,匈牙利,轮式,9人,5.6米,500公里,NULL,2.5米,"
匈牙利PSZH-4轮式装甲人员输送车，匈牙利在研制与生产FUG装甲水陆侦察车之后研制该车以取代苏联以及捷克、波兰合作生产的同类车型，但载员较少，越野机动性也稍差。
",80公里/小时,7600千克
坦克装甲车辆,装甲运兵车,“锯脂鲤”装甲人员运输车,1972年,瑞士莫瓦格公司,1.985米,{'$oid': '5cc932e3831b973d657f1e22'},NULL,瑞士,轮式,16人,6.25米,600公里,NULL,2.66米,NULL,100公里/小时,18500千克
坦克装甲车辆,装甲运兵车,Otokar装甲人员运输车,1993年,NULL,2.15米,{'$oid': '5cc932e4831b973d657f1e23'},NULL,土耳其,轮式,8人,5.23米,500公里,NULL,1.81米,NULL,125公里/小时,3600千克
坦克装甲车辆,装甲运兵车,“潘德”装甲人员运输车,1986年,NULL,1.82米,{'$oid': '5cc932e4831b973d657f1e24'},http://images.huanqiu.com/sarons/2014/01/938370c1f2c8a1fff28c372b2da88db0.jpg,奥地利,轮式,10人,5.697米,700公里,NULL,2.5米,NULL,100公里/小时,13500千克
坦克装甲车辆,装甲运兵车,“乌鲁图”装甲人员运输车,1970年,恩格萨特种工程公司 ,2.9米,{'$oid': '5cc932e4831b973d657f1e25'},http://images.huanqiu.com/sarons/2013/11/bd5fdd4871d17d4068f5594ed43e16be.jpg,巴西,轮式,13人,6.1米,850公里,NULL,2.65米,"
""乌鲁图""装甲人员输送车（EE-11）是巴西恩格萨公司为陆军和海军陆战队研制的轮式(6×6)装甲人员输送车，从1970年开始设计，同年7月完成第一辆样车，1972年正式投产。它采用了卡斯卡维尔(Cascaver)EE-9装甲侦察车许多部件，经不断改进，共有MK1～MK3等5个型号和专为巴西海军陆战队使用的水陆两用型。到1984年，该车总产量已超过1500辆。
",105公里/小时,14000千克
坦克装甲车辆,装甲运兵车,“撒克逊”装甲人员运输车,1976年,GKN防务公司,2.628米,{'$oid': '5cc932e4831b973d657f1e26'},http://images.huanqiu.com/sarons/2014/02/26e2042c29d43f74da2c026ddf0fa945.jpg,英国,轮式,16人,5.17米,480公里,NULL,2.489米,"
“撒克逊”装甲人员运输车原本由GKN防务公司设计和制造，该公司与阿尔维斯公司合并成为阿尔维斯车辆公司。合并后的公司后来又与维克斯防务系统公司合并，成为阿尔维斯·维克斯公司。
",96公里/小时,11660千克
坦克装甲车辆,装甲运兵车,OMC RG-12巡逻装甲人员运输车,1990年,BAE系统公司陆地系统OMC分部,2.64米,{'$oid': '5cc932e4831b973d657f1e27'},NULL,南非,轮式,8人,5.2米,1000公里,NULL,2.45米,NULL,100公里/小时,9200千克
坦克装甲车辆,装甲运兵车,“肖兰德”S55装甲人员运输车,1980年,肖特兄弟公司,2.28米,{'$oid': '5cc932e4831b973d657f1e28'},http://images.huanqiu.com/sarons/2013/11/c4c8ca68eef298773048b4adc406ec3e.jpg,英国,轮式,8人,4.26米,630公里,NULL,1.8米,NULL,120公里/小时,3600千克
坦克装甲车辆,装甲运兵车,“西布玛斯”装甲人员运输车 ,1976年,BN金属构件厂 （BN Constructions Ferroviaires et MetalliquesBE）,2.77米,{'$oid': '5cc932e4831b973d657f1e29'},http://images.huanqiu.com/sarons/2013/11/fe98ad5c83e46f30a3e8a580dd132a86.jpg,比利时,轮式,14人,2.77米,1000公里,NULL,2.5米,"
西布玛斯（SIBMAS Wheeled Armoured Personnel Carrier）是比利时BN金属构件厂于1975年投资作为多用途装甲车研制的一种轮式装甲人员输送车，1976年制成样车。
",100公里/小时,18500千克
坦克装甲车辆,装甲运兵车,“眼镜蛇”装甲人员运输车,1977年,Otokar Otobus Karoseri Sanayi AS（土耳其，阿达帕扎勒）,2.1米,{'$oid': '5cc932e4831b973d657f1e2a'},NULL,土耳其,轮式,13人,5.23米,500公里,NULL,2.2米,"
Otokar公司在基于路虎底盘的4×4装甲车和装甲人员运输车的设计、开发和制造方面有丰富经验。以这些经验为基础，该公司研发出“眼镜蛇”（Cobra）（4×4）装甲人员运输车。
",115公里/小时,6300千克
坦克装甲车辆,装甲运兵车,“罗兰德”装甲人员运输车,1963年,莫瓦格汽车制造公司(瑞士，克罗伊茨林根),2.03米,{'$oid': '5cc932e5831b973d657f1e2b'},NULL,瑞士,轮式,6人,4.73米,550公里,NULL,2.01米,"
“罗兰德”轮式装甲人员输送车是瑞士莫瓦格公司于60年代初投资研制的一种多种用途轮式装甲车。1963年完成了样车，1964年投产。该车有乘员3名，可载3或4名步兵，在许多国家，特别是拉丁美洲各国部队使用。
",110公里/小时,4700千克
坦克装甲车辆,装甲运兵车,Tactica装甲人员运输车,1988年,格罗弗·韦布公司,2.35米,{'$oid': '5cc932e5831b973d657f1e2c'},NULL,英国,轮式,14人,5.6米,650公里,NULL,2.2米,"
Tactica装甲人员运输车(4×4)由格罗弗·韦布公司自行投资研发，该公司被GKN防务公司接管。合并后泰尔福德工厂(TelfordFacility)现已成为BAE系统公司地面系统分公司的一部分。Tactica第一辆样车完成于1988年，第一批量产车于次年完成。
",120公里/小时,10000千克
坦克装甲车辆,装甲运兵车,WZ551轮式装甲车,1986年,中国北方工业公司,2.53米,{'$oid': '5cc932e5831b973d657f1e2d'},http://images.huanqiu.com/sarons/2013/11/bd8017bac66cc5a7821529f582fd678e.jpg,中国,轮式,13人,6.73米,800公里,NULL,2.83米,"
WZ551装甲人员运输车（92式装甲运兵车）是中国北方工业总公司（NORINCO）在1986年生产的轮式装甲车辆，利用高机动性民用汽车的零部件研制而成的形式装甲车。其驱动方式除6×6外，还有4×4和8×8式。主要变形车有120毫米自行迫击炮，装25毫米机关炮的装甲车及装90毫米105毫米炮的装甲，是一种德国梅赛德斯-奔驰2060型卡车的中国仿造型。
",90公里/小时,15000千克
坦克装甲车辆,装甲运兵车,AAV-7A1两栖突击车(LVTP7 AAV),1967年9月,食品机械化学公司军械分部 ,3.31米,{'$oid': '5cc932e5831b973d657f1e2e'},http://images.huanqiu.com/sarons/2013/11/e4b20f5bb4b860c9760e768f7511bd3c.jpg,美国,履带式,28人,8.16米,482公里,NULL,3.27米,AAV7A1是美国 FMC 公司在 LVTP7 基础上研制的两栖突击车。1981 年开始装备美国海军陆战队，1985 年正式定名，共装备了 1300 多辆。是目前美军海军陆战队登陆作战的基本装备之一。该车主要用于输送登陆作战的士兵抢滩登陆，并为其提供一定的火力支援。,64公里/小时,22838千克
坦克装甲车辆,装甲运兵车,“野牛”装甲人员运输车 ,1988年,加拿大通用汽车公司柴油机分部(今加拿大通用动力公司地面系统加拿大分部),2.8米,{'$oid': '5cc932e5831b973d657f1e2f'},http://images.huanqiu.com/sarons/2014/02/45602d29c641a004ced4566caae691d7.jpg,加拿大,轮式,10人,6.93米,450公里,NULL,2.66米,"
1988年，加拿大通用汽车公司柴油机分部(今加拿大通用动力公司地面系统加拿大分部)自行投资设计并制造了一种8×8装甲人员运输车的样车。该车的改进型，称之为“野牛”。野牛”具备完全两栖能力。加拿大“野牛”的车辆用途正被重新定位。(图为
",100公里/小时,16950千克
