大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,关注度,乘员与载员,车长,最大行程,宽度,简介,最大速度,战斗全重
坦克装甲车辆,步兵战车,M-80机械化步兵战车,1970年,前南斯拉夫国家兵工厂,2.5米,{'$oid': '5cc932b2831b973d657f1cfb'},http://images.huanqiu.com/sarons/2013/11/6cf1fcdd5f7273fb388e9b70c8e52578.jpg,前南斯拉夫,履带式,NULL,10人,6.4米,500公里,2.59米,"
BVPM80机械化步兵战车是南斯拉夫在M980机械化步兵战车的基础上发展起来的。1984年在开罗国际装备展览会上首次展出，1980年正式投产，用以取代M980型。到1988年初，大约已生产了500多辆。
",60公里/小时,13700千克
坦克装甲车辆,步兵战车,通用装甲车,1979年,NULL,2.53米,{'$oid': '5cc932b3831b973d657f1cfc'},http://images.huanqiu.com/sarons/2013/11/01b9184430044a039cb60a61362d6bc2.jpg,美国,轮式,NULL,9人,5.968米,603公里,2.53米,"
1974年加拿大陆军提出装备轮式通用装甲车的要求，并在分析研究14种车型之后最终选中瑞士莫瓦格公司的皮兰哈 (Piranha)(6×6)车作为底盘。1977年，加拿大国防部同加拿大通用汽车公司柴油机分部签订价值1.71亿美元合同，1982年完成交货，总计提供轮式通用装甲车491辆。
",101.5公里/小时,10500千克
坦克装甲车辆,步兵战车,BMD-1空降战车,1960年,俄罗斯图拉设计局,1.62米,{'$oid': '5cc932b3831b973d657f1cfd'},http://images.huanqiu.com/sarons/2013/11/0280f62cca799c66bf36aec0a09a4af8.jpg,苏/俄,履带式,NULL,7人,5.4米,320公里,2.63米,"
BMD-1空降战车是专为满足俄罗斯空降部队需求而研发的，于1973年首次公开亮相。
",70公里/小时,7500千克
坦克装甲车辆,步兵战车,BMP-23步兵战车,1972年,NULL,2.53米,{'$oid': '5cc932b3831b973d657f1cfe'},http://images.huanqiu.com/sarons/2013/11/00a397f99d8bea48b10adf57ead0e513.jpg,保加利亚,履带式,NULL,7人,7.285米,600公里,2.53米,"
为满足保加利亚陆军需求，保加利亚防务工业研发了BMP-23步兵战车，该车使用了一系列保加利亚特许生产的俄罗斯MT-LB多用途装甲车和2S1型122毫米自行火炮系统的部件。
",61.5公里/小时,15200千克
坦克装甲车辆,步兵战车,BMP-2步兵战车,1982年,俄罗斯国家兵工厂,2.45米,{'$oid': '5cc932b3831b973d657f1cff'},http://images.huanqiu.com/sarons/2013/11/c1428d4a9182b26181f2ef4102a983ca.jpg,苏/俄,履带式,NULL,10人,6.735米,600公里,3.15米,"
BMP-2步兵战车为BMP-1的改进车型，在1982年莫斯科的阅兵式中首次对公众亮相。相对于BMP-1，BMP-2采用了功率更大的发动机，装备的武器也与BMP-1有所不同。
",65公里/小时,14300千克
坦克装甲车辆,步兵战车,BMD-3空降战车,1989年,伏尔加格勒拖拉机厂(俄罗斯，伏尔加格勒)。,2.17米,{'$oid': '5cc932b3831b973d657f1d00'},NULL,苏/俄,履带式,NULL,7人,6.36米,500公里,3.134米,"
BMD-3是更早的BMD-1和BMD-2空降战车的后续开发车型，体积更大，重量也有所提高。该车于1989年投产，目前为止，只服役于俄罗斯空降部队。
",71公里/小时,13200千克
坦克装甲车辆,步兵战车,“鼬鼠”1空降装甲车,1983年,波尔舍公司,1.897米,{'$oid': '5cc932b3831b973d657f1d01'},http://images.huanqiu.com/sarons/2013/11/1b7ba48230e83abdc165b51fe3588160.jpg,德国,履带式,NULL,3人,3.31米,300公里,1.82米,"
“鼬鼠”1空降战车是前联邦德国国防部为装备特遣空降部队而由德国波尔舍公司设计制造的。研制用了约20年的时间，1990年8月，首批“鼬鼠”1空降战车交付部队使用。该车战斗全重2.75吨，是目前世界上现役装备中重量最轻的装甲战车。“鼬鼠”1空降战车为履带式，安装武器不同分机关炮型和导弹型。
",75公里/小时,2800千克
坦克装甲车辆,步兵战车,89式机械化步兵战车 ,1984年, 日本制钢所,2.5米,{'$oid': '5cc932b3831b973d657f1d02'},http://images.huanqiu.com/sarons/2013/11/ce87affb9af93bfac697b9a8eb47aab6.jpg,日本,履带式,NULL,10人,6.7米,400公里,3.2米,89式装甲战斗车是陆上自卫队搭配坦克使用的步兵战车、兼具武器和装甲是开发成功的日本第一种步兵战车。陆上自卫队已经有多种装甲运兵车例如60式装甲运兵车和73式装甲运兵车都已经装备，但是世界的潮流已经走向坦克一起行动的机械化步兵不仅是移动、还有一定程度装甲强化和支援火力强化、所以也使日本有了新型装备开发期望产生。1980年三菱重工开始开发本车到1984年开始试验车、技术试验・实际试验完成后1989年服役。陆上自卫队的步兵都称为普通科的“装甲战斗车”。陆上自卫队员间也有用Fighting Vehicle简称FV。,70公里/小时,27000千克
坦克装甲车辆,步兵战车,MLI-84步兵战车,1985年-1991年 (MLI-84)，1995年至今(MLI-84M), ROMARMSA,1.98米,{'$oid': '5cc932b3831b973d657f1d03'},http://images.huanqiu.com/sarons/2013/11/06e1aa0086a0399048a2635239a72bc4.jpg,罗马尼亚,履带式,NULL,11人,7.32米,600公里,3.15米,罗马尼亚MLI-84实际上是俄罗斯库尔干机械制造厂BMP-1步兵战车的罗马尼亚生产型，但是MLI-84更重一些且采用不同的发动机，还在原型的顶部舱盖左后方装有一挺12.7毫米DSHKM机枪。外界认为制造商共计为罗马尼亚陆军生产了184辆MLI-84。该车从未出口。,65公里/小时,16600千克
坦克装甲车辆,步兵战车,BMP-3步兵战车,20世纪80年代,Kurganmashzavod,2.3米,{'$oid': '5cc932b4831b973d657f1d04'},NULL,苏/俄,履带式,NULL,10人,7.14米,600公里,3.15米,"
俄罗斯BMP-3步兵战车是俄罗斯第三代履带式步兵战车，80年代初开始研制，1986年投产，投产前，该车在各种实战条件下进行了大规模的野外试验，其性能较之俄罗斯BMP-2步兵战车第二代步兵战车又有了很大的提高。曾在俄军及俄罗斯驻民主德国的部队中装备，该车还参加过车臣战争。

BMP-3是为满足俄罗斯陆军需求而研发的，于1990年莫斯科阅兵式上首次对外亮相。
",70公里/小时,18700千克
坦克装甲车辆,步兵战车,大宇KIFV步兵战车,1985年,大宇重工业公司（韩国，首尔）,1.93米,{'$oid': '5cc932b4831b973d657f1d05'},http://images.huanqiu.com/sarons/2013/11/8fd9ae2ece4334f8d63b066165692cc2.jpg,韩国,履带式,NULL,12人,5.49米,480公里,2.846米,"
KIFV步兵战车（Korea Infantry FightingVehicle）由大宇重工业公司特殊产品分部研发，目的是满足韩国陆军需求。车体与美国AIFV步兵战车类似，但KIFV采用MAN公司发动机、英国大卫·布朗工程公司T-300全自动传动装置，此外，车顶布局也有所不同。
",74公里/小时,12900千克
坦克装甲车辆,步兵战车,菲亚特/奥托·梅莱拉6616型装甲车,1972年,菲亚特公司和奥托·梅拉拉公司,2.035米,{'$oid': '5cc932b4831b973d657f1d06'},NULL,意大利,轮式,NULL,3人,5.37米,700公里,2.5米,"
该车是菲亚特(FIAT)和奥托·梅拉拉(OTO Melara)两家公司联合研制，由菲亚特的伯尔扎努(Bolzano)工厂进行总装和试验，样车于1972年完成。试验后，意大利政府为轻骑兵团订购了50辆。意大利空军为了将该车用于机场保安而进行了鉴定。
",100公里/小时,8000千克
坦克装甲车辆,步兵战车,ASCOD机械化步兵战车,1996年,施泰尔-戴姆勒-普赫公司（奥地利，维也纳）、 圣·芭芭拉公司（西班牙，马德里）,1.775米,{'$oid': '5cc932b4831b973d657f1d07'},http://images.huanqiu.com/sarons/2013/11/f75b158bfb2ae112e5067708bf63532c.jpg,奥地利,履带式,NULL,11人,6.986米,600公里,3.15米,"
ASCOD（Austrian Spanish Co-OperativeDevelopment，奥地利和西班牙联合研发之意）机械化步兵战车由奥地利施泰尔-戴姆勒-普赫与西班牙圣·芭芭拉公司联合研发，西班牙于1996年最先订购144辆生产车型并命名为“皮萨罗”（Pizarrn）。
",70公里/小时,28000千克
坦克装甲车辆,步兵战车,AIFV装甲步兵战车,1970年,美国食品机械化学(FMC)公司 ,2.007米,{'$oid': '5cc932b4831b973d657f1d08'},http://images.huanqiu.com/sarons/2013/11/5ff1c96649afd10f067d97e6a52dd897.jpg,美国,履带式,NULL,10人,5.58米,490公里,2.819米,"
为了弥补M2步兵战车和M113装甲人员输送车之间的巨大差距，也为了制造一种廉价的步兵战车用于国际军火市场竞争，美国食品机械化学(FMC)公司在M113装甲人员输送车的基础上研制了AIFV步兵战车。主要用于出口。
",61.2公里/小时,13687千克
坦克装甲车辆,步兵战车,M2A3“布雷德利”步兵战车,1978年,联合防务LP公司,3.38米,{'$oid': '5cc932b4831b973d657f1d09'},http://images.huanqiu.com/sarons/2013/11/c441ac9f6d829e6419da6a1ebe8da7e4.jpg,美国,履带式,NULL,10人,6.55米,400公里,3.28米,"
美国“布莱德利”M2A3步兵战车是M2/M3系列步兵战车的最新改进车型，被称为 “数字化的‘布莱德利’战车”。
",61公里/小时,36659千克
坦克装甲车辆,步兵战车,VN2轮式装甲车,1996年,NULL,2.06米,{'$oid': '5cc932b5831b973d657f1d0a'},NULL,中国,轮式,NULL,9人,6.78米,800公里,2.8米,"
VN2装甲车为15~18吨级装甲车，整车长6.78 米，宽2.8 米，到顶甲板高 2.06米，能够实现公路、铁路和船舶运输，还能采用C-130空中运输。 VN2装甲车可以在低强度作战条件下进行作战，也可部署于维和行动和反恐行动中。
",100公里/小时,18000千克
坦克装甲车辆,步兵战车,EFV远征战车,1996年,NULL,3.28米,{'$oid': '5cc932b5831b973d657f1d0b'},NULL,美国,履带式,NULL,20人,9.33米,523公里,3.66米,"
EFV水陆两栖装甲车是世界上第一部可以在水面上“滑行”的装甲战车，其在水面上的时速是其他两栖战车无法比拟的，是新一代的水陆两栖战车。EFV远征战车即美国AAAV先进两栖突击车。AAAV定型后，于2003年9月10日被改称为“远征战车”(EFV)。
",72.41公里/小时,34473千克
坦克装甲车辆,步兵战车,奥拓-梅莱拉步兵装甲战车(VCC-1),1982年,意大利陆军机动车辆技术局,2.552米,{'$oid': '5cc932b5831b973d657f1d0c'},NULL,意大利,履带式,NULL,9人,5.041米,550公里,2.686米,奥托-梅莱拉步兵装甲战车(IAFV)由意大利陆军机动车辆技术局研发，以奥托·梅莱拉公司特许生产的美国M113A1为基础。改进主要包括增强了火力，提高了装甲防护能力(标准铝质装甲并在车体正面、两侧和后面披挂钢制装甲)，改进了步兵座位布局和步兵从车内射击的条件 (射孔和观察窗)。意大利陆军还把该车称为VCC-1。最后一批生产车型于1982年交付。,64.4公里/小时,11600千克
坦克装甲车辆,步兵战车,“半人马座”坦克歼击车,1990年,依维柯·菲亚特公司,2.735米,{'$oid': '5cc932b5831b973d657f1d0d'},http://images.huanqiu.com/sarons/2013/11/6d4f83a6b98a2ea92a724c794ed0989a.jpg,意大利,轮式,NULL,4人,8.555米,800公里,3.05米,"
意大利“半人马座”轮式装甲车早在1990年就已批量生产了，相信广大兵器迷对它并不陌生。这种装甲车由于装有大口径加农炮而具有了强大的火力，再加上其轮式底盘出色的公路机动性和较好的越野机动性，使它能够独立遂行侦察和反坦克作战任务，故被人们称为“轮式坦克”。但是今天我们介绍的不是“半人马座”的原型车，而是拥有120毫米坦克炮的增强火力型“半人马座”轮式装甲侦察车。
",105公里/小时,25000千克
坦克装甲车辆,步兵战车,TIFV步兵战车,1988年,FNSS防务系统公司,2.01米,{'$oid': '5cc932b5831b973d657f1d0e'},NULL,土耳其,履带式,NULL,13人,5.26米,400公里,2.82米,"
TIFV步兵战车是FNSS防务系统公司与其他公司合资研发的，目的是满足土耳其陆军需求。该车是在联合防务公司AIFV步兵基础上研制而成。共计生产了1998辆车，其中650辆为AIFV安装带25毫米加农炮和7.62毫米并列机枪的单人炮塔。该车具备完全两栖能力，在水中由履带推进。

AIFV分两种车型，一种采用法国“德拉加”25毫米炮炮塔，另一种采用联合防务公司25毫米炮炮塔。
",65公里/小时,13687千克
坦克装甲车辆,步兵战车,CV90装甲战车,1993年,HB乌特维克林(HBVtvcckling),2.5米,{'$oid': '5cc932b5831b973d657f1d0f'},http://images.huanqiu.com/sarons/2013/11/96495339cfeb10c9aac4f52e7e6faa25.jpg,瑞典,NULL,NULL,11人,6.471米,600公里,3.003米,CV90的“铁脚板”踏遍整个西欧。1991年初签订首批CV 90(CV 9040)生产合同，1993年首批生产车型交付。,70公里/小时,22800千克
坦克装甲车辆,步兵战车,潘哈德AML轻型装甲车,1959年,潘哈德公司,2.07米,{'$oid': '5cc932b5831b973d657f1d10'},http://images.huanqiu.com/sarons/2013/11/016de83401b2417c7b6c8c822343fce5.jpg,法国,轮式,NULL,3人,5.11米,600公里,1.97米,"
潘哈德AML，所有AML都有相似布局：驾驶员在前部，炮塔在中部，发动机在后部。伊斯帕诺一絮扎双人H90炮塔旋转范围为360°，90毫米火炮俯仰范围为-8°～-15°：主武器的90毫米火炮可发射榴弹、破甲弹、霰弹和烟幕弹。7.62毫米机枪同轴安装于主武器左侧，7.62毫米或12.7毫米机枪可安装于炮塔顶。
",90公里/小时,5500千克
坦克装甲车辆,步兵战车,“武士”机械化战车 ,1980年,BAE系统地面系统分公司,2.791米,{'$oid': '5cc932b5831b973d657f1d11'},http://images.huanqiu.com/sarons/2013/11/ff8a5f0b7e0c20f8fddbc16647f2d6bf.jpg,英国,履带式,NULL,10人,6.34米,660公里,3.034米,"
英国武士履带式机械化步兵战车，1967年，英军对未来装甲车的要求提出了初步建议。1968～1971年间，英国国防部对此建议进行了可行性研究。1972～1976年间又进行了第一期方案论证，并由国防部负责选择方案以便根据财政能力制订实施计划。1977～1978年，经过择优评比，由GKN-桑基公司开始第二期方案论证，并确定该公司为主承包商。为便于对比，1978年还对美国的XM2步兵战车进行了试验鉴定。翌年，在继续研究XM2的同时，开始了对该车的全面研制，并称之为MCV-80。
",75公里/小时,28000千克
坦克装甲车辆,步兵战车,ERC 90 F4“标枪”装甲车,1984年,潘哈德和勒瓦索尔机械制造公司,2.254米,{'$oid': '5cc932b6831b973d657f1d12'},http://images.huanqiu.com/sarons/2013/11/d83e123f93379abf60dd1911b336bc92.jpg,法国,轮式,NULL,3人,7.693米,700公里,2.495米,"
潘哈德ERC 90 F4“标枪”装甲车，由潘哈德和勒瓦索尔机械制造公司专门为出口研制，由潘哈德和勒瓦索尔机械制造公司生产，并于1979在其新建的莫鲁尔工厂完成第一批生产，1984年第一批装甲车完成生产并交付法国陆军。
",95公里/小时,8300千克
坦克装甲车辆,步兵战车,97式步兵战车,20世纪90年代,NULL,NULL,{'$oid': '5cc932b6831b973d657f1d13'},http://images.huanqiu.com/sarons/2013/11/ea501f02f81754107018c2ff204a960b.jpg,中国,履带式,NULL,12人,NULL,600公里,NULL,"
ZBD-97步兵战车又被称为97式步兵战车、97式履带式步兵战车或WZ502步兵战车（由该步兵战车的研发代号WZ502工程得名），是中国生产的新型专用型步兵战车，该型战车具有一定的自行浮渡能力，可进行有限的两栖作战。
",70公里/小时,20000千克
坦克装甲车辆,步兵战车,LAV-150AFV,1970年,达信海上与地面系统公司,2.54米,{'$oid': '5cc932b6831b973d657f1d14'},NULL,美国,轮式,NULL,5人,6米,643公里,2.26米,"
1962年，凯迪拉克·盖奇(今达信海上与地面系统)公司开始自行投资研发一种后被称为LAV-100的4×4轻型装甲车，第一辆样车完成于1963年，次年第一辆量产车完成。该车由克莱斯勒汽油发动机驱动，大规模用于越南。其升级版LAV-200也被制造，但仅销往新加坡。1970年LAV-100和LAV-200停产，取代它们生产的是LAV-150，此车有诸多改进，包括将汽油机环卫柴油发动机。1985年LAV-150又被LAV-150S取代，后者轴距更长，因此也更重。迄今已制造了3200辆。
",88.54公里/小时,9888千克
坦克装甲车辆,步兵战车,VBCI步兵战车,2000年3月,地面武器工业集团(GIAT)和雷诺公司,2.26米,{'$oid': '5cc932b6831b973d657f1d15'},http://images.huanqiu.com/sarons/2013/11/03362812c9b7bc54ee9899415832eb87.jpg,法国,轮式,NULL,11人,7.8米,750公里,2.98米,"
VBCI装甲步兵战车（法语：Véhicule Blindé de Combat d'Infanterie），新一代法国轮式步兵战车，2008年进入现役。VBCI的车体由铝合金制造，外部覆盖特种钢和钛合金模块装甲。底盘为8x8全驱动结构，具备与主战坦克接近的机动性与通过性。可以由A400M运输，具有良好的战略机动性。
",100公里/小时,28000千克
坦克装甲车辆,步兵战车,“獾”式步兵战车 ,1974年,南非桑达克·奥斯特瑞尔·比派克公司,2.915米,{'$oid': '5cc932b6831b973d657f1d16'},http://images.huanqiu.com/sarons/2013/11/f8cd0a17e7a302c65c31627f1d09d0a3.jpg,南非,轮式,NULL,11人,7.2米,860公里,2.516米,"
南非獾式(Ratel)轮式步兵战车1968年由南非桑达克·奥斯特瑞尔·比派克公司开始设计，以满足南非步兵和装甲兵的需要。“獾”式步兵战车6×6应南非陆军需求而研制，第一辆样车于1974年研制而成，南非军方对该车的要求是装甲防护性能好，公路上行驶速度快，行程大，保养量小，火力强，越野机动性高，部件尽可能军民通用。
",105公里/小时,18500千克
坦克装甲车辆,步兵战车,Aquatrack履带式两栖车,未知,NULL,3.7米,{'$oid': '5cc932b7831b973d657f1d17'},NULL,英国,NULL,NULL,4人,9.6米,500公里,3.2米,"
该车两栖，还可在高达3.05米的海浪中行驶。Aquatrack也能适应陡峭、泥泞、柔软的沙滩或坚硬的冻土等恶劣的环境。
",75公里/小时,21750千克
坦克装甲车辆,步兵战车,BMR-600轮式步兵战车,1975年,西班牙陆军和毕加素公司,2.36米,{'$oid': '5cc932b7831b973d657f1d18'},http://images.huanqiu.com/sarons/2013/11/7d53e758e3399b2ce13cfe4ac7702870.jpg,西班牙,轮式,NULL,12人,6.15米,1000公里,2.5米,"
为满足军方需要，西班牙陆军部研究局装甲车辆委员会与ENASA公司产品局合作开发的轮式步兵战车。该车于1975—1976年研制出第一辆样车该公司将这辆车命名为BMR 3560型。后定名为BMR-600型。
",103公里/小时,14000千克
坦克装甲车辆,步兵战车,LAV-25轻型装甲车,1982年9月,瑞士莫瓦格公司,2.692米,{'$oid': '5cc932b7831b973d657f1d19'},NULL,加拿大,轮式,NULL,11人,6.39米,500公里,2.667米,LAV-25装甲车为美军设计成八轮装甲车，由通用地面系统公司制造，配有M242 25毫米机炮，M2勃朗宁重机枪，此车为LAV-3的前身，目前依然是美军主力车种，预计2015由陆战队人员输送车（MPC）取代。1980年美国为了满足新组建的快速署部队的需要，根据LAV轻型装甲车辆，决定发展一种轮式步兵战车，由美国陆军和海军陆战队共同负责实施，并提出了能满足双方要求的技术指标。1982年9月美军正式宣布加拿大通用汽车公司柴油机分部的方案中标，并将该公司提供的皮兰哈(Piranha)轮式装甲车命名为LAV-25。,99公里/小时,16329千克
坦克装甲车辆,步兵战车,NFV-1步兵战车,1986年,中国北方工业公司与美国食品机械化学公司,NULL,{'$oid': '5cc932b7831b973d657f1d1a'},NULL,中国,履带式,NULL,11人,NULL,NULL,NULL,"
该车是在1986年6月中国北方工业公司与美国食品机械化学(FMC)公司协商以共同研制NFV-1步兵战车。主要是在86式步兵战车底盘上安装美国食品机械化学公司的单人炮塔，火炮换为1门M242型25毫米大毒蛇机关炮。
",65公里/小时,NULL
