制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
阿根廷多明戈-马特制造厂,1974年至今,冲锋枪,FMK Mod 2 冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93235831b973d657f19b5'},http://images.huanqiu.com/sarons/2013/07/1307d0add6f2dee32620000306c00e41.jpg,阿根廷,3.4千克,NULL,650发/分,NULL,NULL,NULL,9毫米,25发,693毫米
比利时FN赫斯塔尔公司,1990年至今,冲锋枪,赫斯塔尔P90冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93235831b973d657f19b6'},http://images.huanqiu.com/sarons/2013/07/b81218de093460ed07775050a83f3869.jpg,比利时,2.54千克,NULL,900发/分,NULL,NULL,自动枪支,5.7毫米,50发,500毫米
南非米切姆公司,1988年-1999年,冲锋枪,BXP冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93235831b973d657f19b7'},NULL,南非,2.5千克,NULL,1000发/分,NULL,"
BXP冲锋枪是在1980年代中期由南非米切姆公司为警察和军队研制的，并在1988年投产。在当时，对于受国际制裁的南非种族隔离政权来说，BXP冲锋枪的研制有相当重要的意义。当南非能够自由地进出口商品时，BXP冲锋枪也开始向外国销售。
",NULL,9毫米,32发,607毫米
芬兰蒂卡科斯基兵工厂,1931年-1944年,冲锋枪,苏奥米M1931冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93236831b973d657f19b8'},http://images.huanqiu.com/sarons/2013/08/24b54adcfdfca467b7af0c3d2d250538.jpg,芬兰,4.6千克,NULL,900发/分,NULL,苏奥米M31式9毫米冲锋枪是由芬兰的艾莫·约翰尼斯·莱迪在其设计的M26式冲锋枪（发射7.6毫米帕拉贝鲁姆手枪弹）的基础上改进而成的。1931年正式装备芬兰军队，命名为M31式。除芬兰外，瑞典和瑞士军队也装备过该枪。目前，该枪已停止生产，并已从部队中撤装。,NULL,9毫米,71发,870毫米
中国兵器装备集团,2004年-,冲锋枪,JS9冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93236831b973d657f19b9'},http://images.huanqiu.com/sarons/2014/10/43fcbbc1239d18c5addc3cc5d2aa0913.jpg,中国,2千克,NULL,400发/分,NULL,JS9冲锋枪是一支由中国制造的9毫米口径微声冲锋枪。它是由重庆市的建设工业（集团）总公司所研制、中国兵器装备集团生产。JS9型冲锋枪的设计是发射9×19毫米口径手枪子弹，其中包括9×19毫米鲁格弹，和HKMP5冲锋枪一样是使用世界上最多武装部队和执法机关的手枪和冲锋枪所使用的子弹。但是由于在中国制造的关系，也可以发射贯穿力更强的DAP92式9毫米普通弹。,NULL,9毫米,30发,450毫米
NULL,1995年,冲锋枪,ERO冲锋枪,枪械与单兵,120米,NULL,{'$oid': '5cc93236831b973d657f19ba'},NULL,克罗地亚,3.7千克,NULL,600发/分,NULL,"
该枪是采用折叠式枪托的乌齐冲锋枪的仿造品。采用乌齐冲锋枪的包络式枪机、握把保险、握把处弹匣槽、机匣上方拉机柄以及乌齐冲锋枪的其他所有特征，因此无法将其与乌齐冲锋枪区分。前南斯拉夫解体后，该枪装备独立后的克罗地亚军方和警察部队。其微型枪Mini-ERO与微型乌齐冲锋枪相似，但可金属枪托略微缩小。
",自动枪支,9毫米,32发,650毫米
卡尔·古斯塔夫步枪厂,1945年,冲锋枪,卡尔•古斯塔夫45冲锋枪,枪械与单兵,250米,NULL,{'$oid': '5cc93236831b973d657f19bb'},http://images.huanqiu.com/sarons/2013/08/d45252251574fb7121ac3574495fa6ce.jpg,瑞典,3.9千克,NULL,600发/分,越南战争刚果危机中东战争,"
卡尔·古斯塔夫45冲锋枪简称为M45式冲锋枪，于1944-1945年由瑞典卡尔·古斯塔夫步枪厂（已并入FFV军械公司）研制，用于装备瑞典军队，曾向印度尼西亚、爱尔兰等国出口。埃及曾获准仿制该枪，并命名为“塞德”冲锋枪，美军在越南战争中也曾使用该枪。
",NULL,9毫米,36发,808毫米
NULL, 1991年-1995年,冲锋枪,ZAGI M91冲锋枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93236831b973d657f19bc'},http://images.huanqiu.com/sarons/2013/08/ee10d8e6d221eb371818b215036d7e3b.jpg,克罗地亚,3.4千克,NULL,700发/分,NULL,"
这是一款制作成本低廉的武器，充分显示了设计者独道的见解。机匣和枪管护筒的直径相同，且护筒上打了孔。弹匣槽很长，可作为前握把使用，而不会因弹匣额外受力而导致故障。下机匣表面凸出，可作为前握把使用。枪托用圆钢制成，沿机匣连接到护筒。枪托上有极其短小的托底板。设有推拉保险，但没有单发射击状态。
",NULL,9毫米,32发,850毫米
乌尔斯基·布罗德国营兵工厂,1960年,冲锋枪,Skorpion冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93236831b973d657f19bd'},http://images.huanqiu.com/sarons/2013/08/a087b759c0fdf1f46b7da5217f9bd142.jpg,捷克,1.3千克,NULL,900发/分,NULL,“蝎”式冲锋枪在1950年后期开始研制，其目的是为非一线战斗步兵单位提供一种重量轻，但比起手枪更有效的个人防卫武器。该枪的第一个原型在1959年制造，当时称为S-59冲锋枪。在1961年正式获得采用时，被定型为“1961型冲锋枪”，或简称SA VZ.61，使用.32 ACP弹药。从1962年至1979年间大约生产了210000支。,NULL,9毫米,20发,522毫米
NULL,1997年,冲锋枪,阿格拉姆2000冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93236831b973d657f19be'},NULL,克罗地亚,1.9千克,NULL,750发/分,科索沃战争克罗地亚战争波斯尼亚战争,"
阿格拉姆2000是一种由克罗地亚本国制造的轻型冲锋枪，主要通过金属锻压和塑料成型制造。枪口刻有螺纹，可安装保护套筒，也可卸下套筒，换装消声器。该枪没有配备抵肩枪托，瞒准装置由片状准星和翻转式照门构成，照门有50米和150米两个位置，因此在实际使用中的精确性值得怀疑。该枪的另一种型号是阿格拉姆2002，但没有前置的手枪式握把。
",自动枪支,9毫米,32发,482毫米
俄罗斯中央研究精密机械制造局,1999年,冲锋枪,SR-2冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93236831b973d657f19bf'},http://images.huanqiu.com/sarons/2013/08/ac9bb1455609b36d1302f5cd670d6067.jpg,伊朗,1650千克,NULL,900发/分,别斯兰人质危机,"
该枪为20世纪90年代推出的一系列革命性冲锋枪之一，出自俄罗斯中央研究精密机械制造局之手。该枪是为特种部队设计并且可以选用四种弹药，具有在200米的距离内打穿穿着具有俄罗斯二级个人防护能力的头盔和避弹衣（这种个人防护能力能够防御普通的，例如9×19毫米鲁格和7.62×25毫米托卡列夫手枪子弹）的敌人，或是在100米的距离内贯穿表面装甲薄弱的车辆，或是70米距离内贯穿4 毫米的钢板的贯穿力。
",NULL,9.05毫米,30发,603毫米
图拉兵工厂,1941年-1947年,冲锋枪,PPSH-41冲锋枪,枪械与单兵,250米,6000000,{'$oid': '5cc93236831b973d657f19c0'},http://images.huanqiu.com/sarons/2013/08/43750d8085673895b3be5f6309a41f52.jpg,苏/俄,3.6千克,NULL,900发/分,二战越南战争2003年伊拉克战争,"
PPSH-41式7.62毫米冲锋枪的是由前苏联著名轻武器设计师斯帕金设计，（又名：人民冲锋枪），在第二次世界大战中屡建奇功，是二战名枪之一，它用于取代PPD系列冲锋枪。该枪经过1940年末至1941年初的全面部队试验后，于1941年正式装备苏军陆军步兵，突击队及摩托化部队。1942年年中开始大批量生产，直到40年代末，共生产了600多万支。
",NULL,7.62毫米,71发,828毫米
NULL,1949年-1968年,冲锋枪,CZ 25型冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93236831b973d657f19c1'},http://images.huanqiu.com/sarons/2013/07/41e651dde1bb3c65f3e0a3308d8a2741.jpg,捷克,3.1千克,NULL,600发/分,NULL,"
CZ 25是捷克斯洛伐克设计、在1948年推出和著名的一系列冲锋枪，CZ 25系列冲锋枪是第一种被正式采用的包络式枪机。这个冲锋枪系列通常有四种外型上非常相似的型号，分别是：Sa.23、Sa.24、Sa.25和Sa.26。这个冲锋枪系列的主要设计师是瓦茨拉夫·霍莱克。
",自动枪支,9毫米,40发,686毫米
丹麦麦德森公司,1945年-1953年,冲锋枪,麦德森1946/1950型冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93237831b973d657f19c2'},http://images.huanqiu.com/sarons/2013/08/7d63b77941597cf5f7cc4dedd189f651.jpg,丹麦,3150千克,NULL,500发/分,NULL,"
第二次世界大战后，丹麦麦德森公司生产了一系列9毫米冲锋枪，包括有M46式、M50式、M53式和MKⅡ式4种型号，用于装备丹麦警察部队，并向南美和东南亚一些国家出口，该枪的独特之处在于其蛤壳式机匣，由两片冲压件在后端链接而成。目前，麦德森9毫米系列冲锋枪已经停止生产，但过去生产的麦德森系列冲锋枪仍在继续使用。
",NULL,9毫米,32发,780毫米
NULL,1943年-1945年,冲锋枪,PPS-43冲锋枪,枪械与单兵,200米,1000000,{'$oid': '5cc93237831b973d657f19c3'},http://images.huanqiu.com/sarons/2013/08/21a9fd92101fa3be1b5eecf4dcd941df.jpg,苏/俄,3.93千克,NULL,600发/分,二战,"
PPS-43冲锋枪很可能是前苏联在二战期间生产的3种冲锋枪中最出色的一款，它最初是在列宁格勒被围困的900天期间设计并生产的。因为物资无法从外面运送进来，因此该冲锋枪被设计成只使用当时的现有机器和材料就能生产。中国曾生产过该枪，称为53式。虽然二者弹匣容量相同，但PPS-43弹匣不能与常见的PPSH-41SMG弹匣通用。
",NULL,7.62毫米,35发,820毫米
西班牙星公司,1985年,冲锋枪,星式Z-84冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93237831b973d657f19c4'},http://images.huanqiu.com/sarons/2013/08/81c2983246c95029d8d0f0f61f778fd6.jpg,西班牙,3千克,NULL,600发/分,NULL,"
80年代中期，西班牙星公司在Z-75冲锋枪的基础上研制出Z-84冲锋枪，用于取代西班牙军队原装备的Z-62和Z-70B。西班牙陆军、空军和海军陆战队都同时装备了这种新型冲锋枪，同时Z-70B也在使用中。除了军队外，Z-84也被西班牙的国民卫队和警察部门所使用。此外安哥拉和秘鲁有进口过Z-84。
",NULL,9毫米,30发,615毫米
以色列军事工业（IMI）,1953年-1998年,冲锋枪,乌齐冲锋枪,枪械与单兵,120米,NULL,{'$oid': '5cc93237831b973d657f19c5'},http://images.huanqiu.com/sarons/2013/08/d932e5ba080fcc7edc417ee814269e64.jpg,以色列,3.5千克,NULL,600发/分,第三次中东战争、赎罪日战争、越南战争、斯里兰卡内战、葡萄牙殖民地战争、 南非边境战争、罗德西亚布什战争、车臣战争、墨西哥毒品战争,NULL,自动枪支,9毫米,20发,640毫米
赫克勒-科赫公司,1966年,冲锋枪,赫克勒-科赫MP5K冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93237831b973d657f19c6'},http://images.huanqiu.com/sarons/2013/08/af92b62cdcecafa6bc59c1781d09cd9c.jpg,德国,2千克,NULL,900发/分,NULL,NULL,NULL,9毫米,30发,325毫米
伯莱塔公司,1945年-1955年,冲锋枪,伯莱塔38／44型冲锋枪,枪械与单兵,250米,NULL,{'$oid': '5cc93237831b973d657f19c7'},http://images.huanqiu.com/sarons/2013/08/750e94e51974facd726083e82f4d445f.jpg,意大利,3.25千克,NULL,600发/分,NULL,"
该枪为38／44型冲锋枪的简化型号，区别在于枪机大小和击针簧细节，于1938年首次生产，最初为1938A型。外观上的区别在于没有较早型号中机匣后盖上容纳复进簧的突起部。这款武器全部用于出口，购买者包括巴基斯坦、叙利亚、哥斯达黎加、伊拉克等国家。
",NULL,9毫米,40发,798毫米
韩国大宇集团,2003年,冲锋枪,DS9A冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93237831b973d657f19c8'},http://images.huanqiu.com/sarons/2013/08/a51007482fe17d53da7a279efe58aa4d.jpg,韩国,2.9千克,NULL,980发/分,NULL,"
DS9A冲锋枪是款韩国大宇制造的冲锋枪（又称XK9），于2003年开始生产。DS9A的外形类似大名鼎鼎的HK MP5冲锋枪，但内部结构有很大的不同。
",NULL,9毫米,30发,680毫米
伯莱塔公司,1959年-1978年,冲锋枪,伯莱塔12型冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93237831b973d657f19c9'},http://images.huanqiu.com/sarons/2013/08/3b8019dd587bf789bc2dd7781b610ebf.jpg,意大利,3千克,NULL,550发/分,NULL,"
该枪与早期的伯莱塔冲锋枪差别极大，这是因为设计师马雷哥尼于1956年退休后，聘请了新设计师萨尔查。它主要使用冲压件制造，并采用“埋入式”或“嵌入式”包络枪机，因此缩短了枪长。有一个前握把，枪托可能由金属管制成，可折叠到右侧，也可能是可拆卸的木制枪托。M12于1961年被意大利军方采用，很多南美国和非洲国家曾使用该枪。巴西和印度尼西亚获得许可生产。
",NULL,9毫米,40发,645毫米
赫克勒-科赫公司,1966年,冲锋枪,赫克勒-科赫MP5冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93237831b973d657f19ca'},http://images.huanqiu.com/sarons/2013/08/459b5ff3ef75af8ccac6a89fdce29a40.jpg,德国,2.88千克,NULL,800发/分,福克兰战争，海湾战争，索马里内战，2001年阿富汗战争，伊拉克战争，墨西哥毒品战争,NULL,NULL,9毫米,30发,680毫米
西班牙星公司（STAR）,1963年-1970年,冲锋枪,星式Z-62冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93238831b973d657f19cb'},NULL,西班牙,2.9千克,NULL,550发/分,NULL,"
Z-62冲锋枪的研制始于对Z-45的改进。研制成功后，1963年装备部队使用，全面替代Z-45冲锋枪，装备西班牙军队、警察和保安机构。该枪在重量、尺寸、保险方式和动作可靠性方面都比Z-45冲锋枪有大的改进，勤务性能也有所改善。Z-62冲锋枪仍然是发射9×23毫米拉戈手枪弹，这是西班牙军队的制式装备，但显然不利于出口，因此有一种发射9×19毫米派拉贝鲁姆手枪弹的出口型Z-63。除了西班牙和秘鲁，很少在其他地方找得到这种枪。
",半自动枪支,9毫米,30发,701毫米
秘鲁西玛瑟法尔公司,1990年,冲锋枪,MGP-84冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93238831b973d657f19cc'},NULL,秘鲁,2.895千克,NULL,650发/分,NULL,"
该枪最初面世时该枪称为MGP-15，它是一款小型冲锋枪，在生产期间改变了名称，以反映对其所做的一些细微改进，MGP-15式9毫米冲锋枪由秘鲁西玛瑟法尔公司设计和生产，目的是满足特种部队和保安部队在特殊环境下快速反应和作战中提供密集火力的需要。该枪现已装备秘鲁武装部队使用。
",NULL,9毫米,32发,490毫米
NULL,1977年-1980年,冲锋枪,萨纳77冲锋枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93238831b973d657f19cd'},NULL,南非,2.8千克,NULL,NULL,罗德西亚布什战争索韦托起义,"
萨纳77冲锋枪于20世纪70年代出现在南非，它是基于捷克CZ 25而设计。根据维基资料，该枪原产于罗德西亚，是其在面对国际制裁和武器禁运和游击战时期研制的武器。
",NULL,9毫米,40发,650毫米
NULL,1949年-1990年,冲锋枪,玛特49冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93238831b973d657f19ce'},NULL,法国,4.17千克,NULL,600发/分,法越战争，第二次中东战争，阿尔及利亚战争，越南战争，科卢韦齐战役，2011年利比亚内战,"
MAT-49（MAT，法语：Manufacture Nationale d'Armes de Tulle，意为：“由国营兵器日蒂勒工厂制造”）是一支由法国制造、法军在1949年至1979年期间使用的冲锋枪，主要发射9×19毫米鲁格弹。该枪取代了玛斯38冲锋枪，所发射的枪弹更实用。该枪设计非常紧凑，其弹匣槽和弹匣都可向前折叠到枪管下方，使得携行更加方便。在法国军队，该枪在一定程度上被法玛斯5.56毫米步枪所取代，但仍在预备役部队、警察和其他准军事力量中广泛使用。在法国的前殖民地也可见到该枪的踪影。
",NULL,9毫米,32发,720毫米
德国埃尔马兵工厂,1938年-1945年,冲锋枪,MP38冲锋枪,枪械与单兵,200米,NULL,{'$oid': '5cc93238831b973d657f19cf'},http://images.huanqiu.com/sarons/2013/08/9471118ac00f4a18184c30b0b27c2bae.jpg,德国,4.086千克,NULL,500发/分,NULL,NULL,自动枪支,9毫米,32发,833毫米
葡萄牙普拉塔·布拉科兵工厂,1948年-1955年,冲锋枪,FBP冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93238831b973d657f19d0'},http://images.huanqiu.com/sarons/2013/08/cc3085042d0c90a0bd7014ed98da2651.jpg,葡萄牙,3.8千克,NULL,500发/分,NULL,"
该枪为葡萄牙制式武器，由葡萄牙研发，以其他几种枪支为基础，综合了美国M3的枪托和发射原理以及德国MP40的枪机和基本结构。该枪结实可靠，和同时代的其他冲锋枪一样，可安装刺刀。它在非洲广泛使用，在各种起义者手中可发现其身影。由于被葡萄牙的殖民地帝汶岛使用，该枪还可能出现在远东地区。存在一种稍加改进的型号，标有M63图案，后来被M1973所取代，后者安装了带孔的枪管护筒。这些型号的基本结构几乎完全相同。
",NULL,9毫米,32发,813毫米
美国柯尔特公司,1990年,冲锋枪,柯尔特冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93238831b973d657f19d1'},http://images.huanqiu.com/sarons/2013/08/82827751e6b3da01d20c4f88b23cc6f2.jpg,美国,2.6千克,NULL,900发/分,NULL,"
该枪的设计以著名M16步枪为基础而设计发射9×19毫米巴拉贝鲁姆手枪弹的柯尔特制造冲锋枪，因此对熟悉M16步枪的士兵来说，训练使用该枪的时间将短得多。
",NULL,9毫米,32发,730毫米
前西德瓦尔特有限公司,1963年-1985年,冲锋枪,瓦尔特MPK／MPL冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93239831b973d657f19d2'},NULL,德国,2.8千克,NULL,550发/分,NULL,NULL,自动枪支,9毫米,32发,659毫米
德国赫克勒-科赫公司,2002年至今,冲锋枪,赫克勒-科赫UMP冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93239831b973d657f19d3'},http://images.huanqiu.com/sarons/2013/08/6e1864f86f66654bb068ce0650adcd5f.jpg,德国,2.1千克,NULL,700发/分,NULL,NULL,自动枪支,9毫米,25发,690毫米
伊兹玛什公司,1996年,冲锋枪,Bison-2冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93239831b973d657f19d4'},http://images.huanqiu.com/sarons/2013/08/9668a976eb13b18ac819bfb2be37fe40.jpg,苏/俄,2.7千克,NULL,680发/分,NULL,"
1993年，伊兹玛什公司的两位工程师——AK设计者的卡拉什尼科夫的儿子维克多·卡拉斯尼柯夫(Victor Kalashnikov)和SVD设计者的儿子阿列克赛·德拉贡诺夫(Alexey Dragunov)，共同设计出一种新颖的冲锋枪，名为野牛（俄文为БИЗОН，与英文单词Bison同义，中文译为野牛）。Bison-2以一款经过重大改进的AK-74步枪为基础而设计，保留了机匣和折叠式金属枪托设计，但使用高容量螺旋式弹匣取代了双排弹匣。
",NULL,9毫米,64发,690毫米
波兰拉多姆公司,1963年-1980年,冲锋枪,PM-63（Wz63)冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93239831b973d657f19d5'},http://images.huanqiu.com/sarons/2013/08/09c68388f627b5633e6542a87061acde.jpg,波兰,1.8千克,NULL,600发/分,越南战争中国对越自卫反击战,NULL,NULL,9毫米,40发,583毫米
波兰拉多姆公司,1984年,冲锋枪,PM-84／98冲锋枪,枪械与单兵,150米,NULL,{'$oid': '5cc93239831b973d657f19d6'},http://images.huanqiu.com/sarons/2013/08/c7604853cb43e2a6b34fa98b7a69a8ae.jpg,波兰,2.07千克,NULL,650发/分,NULL,NULL,NULL,9毫米,25发,575毫米
英国斯特林军备公司（Sterling Armament Company）,1953年-1988年,冲锋枪,斯特林冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93239831b973d657f19d7'},http://images.huanqiu.com/sarons/2013/08/aefaf5c84ef7cca40962ba9e9bb17aaf.jpg,英国,2.7千克,NULL,550发/分,越南战争冷战2011年利比亚内战等,"
斯特林冲锋枪是由英国的斯特林军备公司（Sterling Armament Company）所开发完成的一种现代冲锋枪，该枪以其设计者的名字来命名。后来，他与位于北汉普顿的斯特林工程公司合作，对该枪进行不断改良和发展。二战结束前，被称为“斯特林·帕切特”的冲锋枪样品试制成功，并在空军部队进行了试装备且受到好评。斯特林冲锋枪以其更加简洁的设计，更加现代化的制造工艺，更高的可靠性和安全性博得了士兵的喜爱。
",NULL,9毫米,32发,710毫米
匈牙利武器和机械厂,1987年-1995年,冲锋枪,KGP-9冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc93239831b973d657f19d8'},http://images.huanqiu.com/sarons/2013/08/61c4679ee73e0c5249311aacbcdeb463.jpg,匈牙利,2.75千克,NULL,900发/分,NULL,NULL,自动枪支,9毫米,25发,615毫米
葡萄牙国家军品工业公司,1992年,冲锋枪,卢萨A2冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323a831b973d657f19d9'},http://images.huanqiu.com/sarons/2013/08/52e9d3cb1ee639df1efd9d9cd69c3a87.jpg,葡萄牙,2.6千克,NULL,900发/分,NULL,"
该枪由葡萄牙英德普公司研发，用以取代较早的FBP型。该枪牢固、紧凑，采用少见的双圆筒式机匣，下面容纳枪机和枪管，上面容纳枪机的凸出部分和复进簧。快慢机可提供各种射击方式，随枪附件包括消声器和激光指示器。
",NULL,9毫米,30发,600毫米
英国斯特林军备公司（Sterling Armament Company）,1966年-1985年,冲锋枪,斯特林L34A1冲锋枪,枪械与单兵,100米,NULL,{'$oid': '5cc9323a831b973d657f19da'},NULL,英国,3.6千克,NULL,550发/分,NULL,"
斯特林取代司登后，亟需生产司登Mark6微声枪的替代产品，为此以司登微声枪为基础并经技术改进，将斯特林L2进行了重新设计，并命名为L34型。其结构与L2相同，但枪管上增加了72个排气孔，以降低弹头的速度。
",NULL,9毫米,34发,864毫米
伯明翰小型武器公司（BSA），恩菲尔德兵工厂等,1944年-1946年,冲锋枪,司登Mark V冲锋枪,枪械与单兵,60米,NULL,{'$oid': '5cc9323a831b973d657f19db'},http://images.huanqiu.com/sarons/2013/08/68ac888f707ef2c45046523e4172c603.jpg,英国,3.9千克,NULL,600发/分,二战,"
司登冲锋枪（Sten，有时写作STEN或Sten gun）是英国在二战时期大量制造及装备的9 × 19毫米冲锋枪，英军一直采用至1960年代。子机型司登Mark V冲锋枪的生产旨在提高武器质量，提供一种比Mark II更优越的冲锋枪。
",NULL,9毫米,32发,762毫米
德国赫克勒-科赫公司在美国的子公司,1991年至今,冲锋枪,赫克勒-科赫MP5K-PDW单兵自卫武器,枪械与单兵,100米,NULL,{'$oid': '5cc9323a831b973d657f19dc'},http://images.huanqiu.com/sarons/2013/08/606dc12802b1cc92cc637458684c0128.jpg,德国,2.78千克,NULL,900发/分,NULL,NULL,自动枪支,9毫米,30发,603毫米
伯明翰小型武器公司（BSA）恩菲尔德兵工厂等,1942年-1944年,冲锋枪,司登MarkⅡ冲锋枪,枪械与单兵,60米,2000000,{'$oid': '5cc9323a831b973d657f19dd'},http://images.huanqiu.com/sarons/2013/08/be35ad41412af8523a53d7f9cda64dd7.jpg,英国,3千克,NULL,550发/分,二战,"
Mark 2是五个型号中最常用的，在第二次世界大战期间，该枪共制造了约2000000把。它比Mk I的造工较为粗糙以降低造价，方便大量生产。不只配给英国军队使用，也曾大量空降给占领区内的反抗军使用，近至法国，远至马来西亚都有配备。
",NULL,9毫米,32发,952毫米
