飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/5e611bbb4df5dd7b311ba574402be93f.jpg,格鲁曼公司,2人,"
格鲁曼AF“守护者”是美国海军列装的首款反潜战舰载机。这是一款双翼飞机，一根翼肋用于搭载探测设备，另外一根翼肋用于搭载武器系统。1955年8月，“守护者”被格鲁曼双发S-2“跟踪者”反潜机取代。“守护者”是美国海军有史以来列装的体积最大的单发活塞动力舰载机。
",2415千米,普-惠R-2800-48W“双黄蜂”发动机,NULL,单发,飞行器,反潜机,美国,NULL,6613千克,18.49米,510千米每小时,AF-2“守护者”反潜机,{'$oid': '5cc93100831b973d657f1203'},1946年12月19日,NULL,4.93米,1950年9月27日,11567千克,平直翼,13.2米
亚音速,NULL,海军飞机制造厂，道格拉斯公司，马丁公司，凯斯通公司,4人,"
PN系列飞艇一战中为美国海军做出突出贡献的F-5/6L飞艇的改进版。它的机翼是金属框架、深截面，第一架是1922年出现的PN-7，紧接着是金属机体和更改了发动机的PN-8。之后的PN-12的制造任务被分给了道格拉斯公司、马丁公司和凯斯通公司。PN系列飞艇在太平洋战区和大西洋战区以及海外得到了广泛使用，直到20世纪30年代末。
",3117千米,两台莱特R-1820-D“旋风”发动机,NULL,单发,飞行器,反潜机,美国,NULL,3479千克,22.2米,183千米每小时,海军飞机制造厂PN ,{'$oid': '5cc93101831b973d657f1204'},1922年（PN-7）,NULL,5.1米,NULL,6406千克,双翼,14.95米
亚音速,http://images.huanqiu.com/sarons/2014/01/e791c518ade76ff89371f912669c75bd.jpg,洛克希德,4人,NULL,3700千米,TF34-GE-24涡轮风扇发动机(推力:41.26kN),NULL,双发,飞行器,反潜机,美国,在2009年之前,12057千克,20.9米,814千米每小时,S-3B“北欧海盗”舰载反潜机,{'$oid': '5cc93101831b973d657f1205'},1984年9月13日,NULL,6.93米,NULL,19500千克,平直翼,16.2米
亚音速,NULL,达索（布雷盖）,12人,NULL,7778千米,NULL,NULL,双发,飞行器,反潜机,法国,NULL,NULL,36.3米,556千米每小时,“大西洋”1&2 (法国) 反潜机/海上巡逻机,{'$oid': '5cc93101831b973d657f1206'},1961年10月21日,NULL,11.3米,1965年,NULL,平直翼,31.8米
亚音速,http://images.huanqiu.com/sarons/2014/01/b910abe0f0da6303e41745b74690b981.jpg,川西航空机工厂,10人,NULL,7150千米,三菱MK4Q火星 22 14汽缸复列星型引擎,NULL,四发,飞行器,反潜机,日本,1945年 (日本),18380千克,38米,465千米每小时,二式飞行艇 H8K,{'$oid': '5cc93101831b973d657f1207'},1941年,NULL,9.15米,NULL,32500千克,平直翼,28.15米
亚音速,http://images.huanqiu.com/sarons/2014/01/486e51a53917ac99d500a4d6ae80ec06.jpg,九州公司,3人,NULL,1342千米,2台日立Amakaze-31发动机，每台455 kW,NULL,双发,飞行器,反潜机,日本,NULL,3102千克,16米,322千米每小时,Q1W东海反潜机,{'$oid': '5cc93101831b973d657f1208'},1942年,NULL,4.12米,NULL,5318千克,平直翼,12.09米
亚音速,http://images.huanqiu.com/sarons/2014/01/85ef052df7d7888458989f2658c22f5f.jpg,BAE(HSA),10人,NULL,3620千米,4台罗尔斯·罗伊斯Griffon 57发动机,NULL,四发,飞行器,反潜机,英国,NULL,23300千克,36.58米,480千米每小时,“猎迷”MR.2/MRA.4海上巡逻机和反潜机,{'$oid': '5cc93101831b973d657f1209'},1967年5月23日,NULL,5.33米,1969年,39000千克,后掠翼,26.61米
亚音速,http://images.huanqiu.com/sarons/2014/01/4857b2a8ae48d6bcef754da26ec5d5aa.jpg,日本国际航空工业,2人,"
三式指挥连络机，编号为ki-76，为第二次世界大战时期旧日本陆军的指挥连络机，由日本国际航空工业设计制造。本机兼具空中指挥、侦察、连络、著弹点观测等多用途，并可于未修筑跑道之一般地面进行短场起降。1940年8月开始与预订进行国产的Fi-156联络观测机进行开发竞争，1941年完成的试作机与隔年6月到达的Fi-156进行比较审查的结果，因其性能较佳而予以采用。
",750千米,日立HA-42B 气冷星型9汽缸（280马力）,日本国际航空工业,单发,飞行器,反潜机,日本,NULL,1110千克,15米,178千米每小时,ki-76/3式指挥连络机,{'$oid': '5cc93101831b973d657f120a'},NULL,NULL,3.3米,NULL,1540千克,平直翼,9.56米
亚音速,http://images.huanqiu.com/sarons/2014/01/6f1f72d8e0ca9046bc7c28a6a38c12a3.jpg,NULL,NULL,NULL,2581千米,NULL,NULL,双发,飞行器,反潜机,美国,1967年,NULL,22.1米,481千米每小时,S-2T“跟踪者” 海上巡逻机＆反潜飞机,{'$oid': '5cc93102831b973d657f120b'},1952年12月4日,NULL,5.1米,NULL,NULL,平直翼,13.3米
亚音速,http://images.huanqiu.com/sarons/2013/11/c33e636bf6fc75350cd93c54629cefff.jpg,陕西飞机工业（集团）有限公司,12人,NULL,9075千米,2×罗尔斯·罗伊斯Tyne RTy.20 Mk 21发动机,NULL,四发,飞行器,反潜机,中国,NULL,25700千克,37.42米,648千米每小时,运8-X,{'$oid': '5cc93102831b973d657f120c'},NULL,NULL,10.89米,20世纪80年代中期,46200千克,平直翼,31.62米
亚音速,NULL,海军飞机制造厂,1人,NULL,775千米,莱特（劳伦斯，Lawrance）J-4发动机,NULL,单发,飞行器,反潜机,美国,1929年,562千克,7.62米,198千米每小时,海军飞机制造厂TS,{'$oid': '5cc93102831b973d657f120d'},1922年5月,NULL,2.9米,1922年12月,967千克,平直翼,6.73米
亚音速,http://images.huanqiu.com/sarons/2014/01/c14cb28529bdc15070cf9a3d915ad420.jpg,休泼马林（Supermarine）.,4人,NULL,1340千米,1台布里斯托尔·西德利XXX，965 hp (720 kW),NULL,双发,飞行器,反潜机,英国,NULL,3087千克,14.02米,248千米每小时,“海獭”水上飞机 ,{'$oid': '5cc93102831b973d657f120e'},NULL,NULL,NULL,1943-1945年,4536千克,双翼,11.4米
亚音速,http://images.huanqiu.com/sarons/2013/08/b122529a38d7317180c9d26a1cb7f0e7.jpg,霍尔制铝公司,6人,NULL,3117千米,两台莱特R-1820-F51“旋风”发动机,NULL,双发,飞行器,反潜机,美国,NULL,4370千克,22.2米,256千米每小时,霍尔PH,{'$oid': '5cc93102831b973d657f120f'},1929年12月,NULL,6.05米,NULL,7342千克,双翼,15.54米
亚音速,http://images.huanqiu.com/sarons/2014/01/293324cc86c7677b4c3b1c56e93cc60e.jpg,NULL,10人,NULL,9500千米,4× 进展AI-20M涡轮螺旋桨发动机,NULL,四发,飞行器,反潜机,苏/俄,NULL,33700千克,37.42米,724千米每小时,伊尔-38“山楂花”海上巡逻机和反潜飞机,{'$oid': '5cc93103831b973d657f1210'},1961年9月27日,NULL,10.16米,NULL,63500千克,后掠翼,39.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/c1e49786444f773e9503640ffd598eb5.jpg,肖特兄弟公司,11人,NULL,2848千米, 4×Bristol Pegasus XVIII 九汽缸星形发动机， 1065 马力（794 千瓦）,NULL,四发,飞行器,反潜机,英国,1967年,15663千克,34.39米,336千米每小时,肖特S.25 桑德兰水上飞机巡逻轰炸机,{'$oid': '5cc93103831b973d657f1211'},1937年10月16日,NULL,10米,1938年,NULL,平直翼,26米
亚音速,http://images.huanqiu.com/sarons/2014/01/d54be8d00d65a6d1fa5e3879c3c4f960.jpg,NULL,13人,"
XP-1（开发初期原本命名为P-X，是“Patrol aircraft-X”的缩写）是一款由日本海上自卫队所操作的海上巡逻机（反潜巡逻机）。日本方面称呼为“次期固定翼哨戒机”的该计划，是由防卫省旗下的技术研究本部（TRDI）与日本飞机制造商川崎重工业联合开发，拥有中型飞机的机身大小并配备四具高旁通比涡轮扇发动机。XP-1是海上自卫队用来取代老旧美制P-3C“猎户式”反潜巡逻机的后继机种，原型机在2007年（平成19年）9月28日于航空自卫队岐阜基地首度试飞成功，并旋即换上“XP-1”的新机种代号。
",8000千米,四具高旁通比涡轮扇发动机,川崎重工业,四发,飞行器,反潜机,日本,NULL,NULL,35米,996千米每小时,XP-1海上巡逻机,{'$oid': '5cc93103831b973d657f1212'},2007年9月28日 ,NULL,12米,NULL,79700千克,后掠翼,38米
亚音速,http://images.huanqiu.com/sarons/2014/01/5c69a9db811c732c032bb66c045362d5.jpg,休泼马林(Supermarine)公司,4人,NULL,965千米,1 × Bristol Pegasus VI，680 hp (510 kW),NULL,单发,飞行器,反潜机,英国,NULL,2220千克,14米,215千米每小时,“海象”水上飞机,{'$oid': '5cc93103831b973d657f1213'},1936年,NULL,4.6米,NULL,3650千克,双翼,11.45米
