飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/637a44bca13824fd06cf8fb041762487.jpg,美国洛克希德公司,2人,NULL,4830千米,两台普-惠J58-1发动机,NULL,双发,飞行器,侦察机,美国,1998年,27215千克,16.95米,3220千米每小时,SR-71侦察机,{'$oid': '5cc930f6831b973d657f11c5'},1964年12月22日,NULL,5.64米,1966年,77110千克,后掠翼,37.74米
亚音速,http://images.huanqiu.com/sarons/2013/08/eb3b3631bac6d1f2cdab3d73a3c50fb3.jpg,NULL,1人,"
洛克希德U-2，外号“蛟龙夫人（Dragon Lady）”，是美国空军一种单座单发动机的高空侦察机。能不分昼夜于70,000英尺（21,336米）高空执行全天候侦察任务。在和平时期、危机、小规模冲突和战争中为决策者提供重要情报。此机亦用于电子感应器研发、确认卫星资料和校准。虽然首飞至今已经五十多年，但U-2仍然活跃于前线。
",4830千米,普-惠J75-P-13B发动机,美国洛克希德公司,单发,飞行器,侦察机,美国,NULL,4355千克,31.39米,690千米每小时,U-2/TR-1 单座单发侦察机,{'$oid': '5cc930f6831b973d657f11c6'},1963年12月17日,NULL,4.88米,1956年,NULL,平直翼,19.13米
亚音速,NULL,美国史丁森公司,2人,"
L-5“哨兵”是第二次世界大战时期美国史丁森公司研制的一款双座高翼联络机。战争期间，“哨兵”遍布于美国军方的所有分支机构，以及英国的皇家空军部队。该款飞机仅有用于联络通信的军用型，大约被制造了3900架。
",676千米,莱康明O-453-1发动机,NULL,单发,飞行器,侦察机,美国,NULL,703千克,10.36米,209千米每小时,O-62/L-5/OY“哨兵”,{'$oid': '5cc930f7831b973d657f11c7'},1940年,NULL,2.41米,NULL,916千克,平直翼,7.34米
亚音速,NULL,美国沃特公司,2人,"
“翠鸟”是第二次世界大战中美国海军标准的水上侦察机，它既可以在海上使用也可以从大型军舰上通过弹射器起飞。由美国沃特公司于1937年研制成功，主要作为教练机和海岸巡逻机。
",1295千米,普-惠R-985-AN-2“小黄蜂”发动机,NULL,单发,飞行器,侦察机,美国,1959年,1870千克,10.95米,264千米每小时,OS2U“翠鸟”,{'$oid': '5cc930f7831b973d657f11c8'},1938年7月20日,NULL,4.61米,NULL,2722千克,平直翼,10.32米
亚音速,http://images.huanqiu.com/sarons/2013/08/a07b236ca6b2e6b1e6713f4fa1735ba6.jpg,美国沃特公司（Vought）,2人,NULL,980千米,普-惠R-1340-88“黄蜂”发动机,NULL,单发,飞行器,侦察机,美国,NULL,1062千克,10.5米,237千米每小时,O2U“海盗”,{'$oid': '5cc930f7831b973d657f11c9'},1926年10月11日,NULL,3.08米,1927年,1766千克,平直翼,7.47米
亚音速,http://images.huanqiu.com/sarons/2013/08/a14865c1311d12a08a749748609c8d14.jpg,塞斯纳公司,2人,"
尽管越南战争已为O-1飞机提供了最好服役时机，但对于更高级的空军前进控制（FAC）飞机的需求也更加明确了，这种飞机应该有更大的速度和更高的武器悬挂架。塞斯纳公司再次在337型“空中霸主”的基础上改进出军用版本来满足了这个需求，这就是众所周知的O-2“超级空中霸主”。独一无二的“推／挽”式布局保证了O-2的双发性能和可靠性，使得美国空军得以配备军用规格的无线电和四个翼下武器挂架。其他为空军前进控制职能所做的改进包括机身上为右侧座位上的观察员另外加开的观察窗。
",2449千米,两台泰莱达因-大陆IO-360C/D发动机,NULL,单发,飞行器,侦察机,美国,NULL,1292千克,11.58米,320千米每小时,O-2“超级空中霸主”,{'$oid': '5cc930f7831b973d657f11ca'},1964年3月30日,NULL,2.84米,1967年,2449千克,平直翼,9.07米
亚音速,http://images.huanqiu.com/sarons/2013/08/e72fdec2b5f2f7c90e64f227202c4331.jpg,美国史丁森公司,4人,"
UC-81“信赖”飞机是美国史丁森公司于20世纪30年代研制成功的一款单引擎四座高单翼飞机。“信赖”最先是被征用的民用飞机，先后服役于美国陆军航空部队、美国海岸警卫队和美国海军。直到第二次世纪大战结束后，再度转入民用市场。
",1303千米,莱康明R-680发动机,NULL,单发,飞行器,侦察机,美国,NULL,1275千克,11.76米,227千米每小时,UC-81/AT-19“信赖”,{'$oid': '5cc930f7831b973d657f11cb'},1933年,NULL,2.62米,NULL,1814千克,平直翼,9.14米
亚音速,http://images.huanqiu.com/sarons/2013/08/6179699f49a3a2005884856b2fadd47a.jpg,塞斯纳公司,6人,"
第二次世界大战后，塞斯纳公司的第一种轻型双发飞机是310型，它于1953年完成了首飞。这种飞机有着考究、现代的设计，1957年被美国空军选中，作为“无需定制”的通用和通信机。美国空军购买了160架未经修改的310，最初命名为L-27A，后来改名为L-3A。
",1248千米,两台泰莱达因大陆IO-470-VO发动机,NULL,双发,飞行器,侦察机,美国,NULL,1293千克,11.25米,381千米每小时,L-27/U-3,{'$oid': '5cc930f8831b973d657f11cc'},1953年1月3日,NULL,3.02米,1957年,2087千克,平直翼,8.99米
亚音速,http://images.huanqiu.com/sarons/2013/08/c8257d92f213c81defad252f1639d93c.jpg,康维尔公司,3人,"
L-13是位于密歇根州的、韦恩（Wayne）的史丁森公司设计的，头两架XL-13原型机于1945年年底首飞。尽管联合公司在1948年末把史丁森分公司卖给了佩帕公司，但是保留了L-13的所有权且在位于加利福尼亚圣地亚哥的康维尔工厂予以生产。最终于1947年-1948年为新组建的美国空军生产了300架L-13A，其中48架直接供给了国民空中卫队。这种飞机配备了更大功率的发动机、折叠翼和六个座位。1949年，另外制造了28架L-13B。幸存的L-13于20世纪50年代被卖给了民间买家。
",589千米,富兰克林O-425-5发动机,NULL,单发,飞行器,侦察机,美国,NULL,953千克,12.35米,184千米每小时,L-13,{'$oid': '5cc930f8831b973d657f11cd'},1945年年底,NULL,4.22米,NULL,1588千克,平直翼,9.68米
亚音速,http://images.huanqiu.com/sarons/2013/08/d1b7cb8b849fda27d4d91691dd7f9bcc.jpg,美国史丁森飞机公司,2人,"
O-49“警戒”，是20世纪40年代美国史丁森飞机公司为美国陆军航空部队研制的一款轻型观察机，后更名为L-1型飞机。该型飞机共建造了324架。
",451千米,莱康明R-680-9发动机,NULL,单发,飞行器,侦察机,美国,NULL,1211千克,15.52米,196千米每小时,O-49/L-1“警戒”观察机,{'$oid': '5cc930f8831b973d657f11ce'},1940年7月15日,NULL,3.1米,1941年,1542千克,平直翼,10.44米
亚音速,http://images.huanqiu.com/sarons/2013/08/a510e53a208ad385f24a9e36791253df.jpg,美国泰勒公司,2人,"
“蚱蜢”飞机，原是1941年美国泰勒公司生产一款的YO-57民用双座飞机。加以改进后，作为美国陆军航空部队的观察机，后改为联络机。在此基础之上，“蚱蜢”的衍生型飞机还被用于训练滑翔机驾驶员和出口至其他国家的空军。
",370千米,大陆O-170-3发动机,NULL,单发,飞行器,侦察机,美国,NULL,397千克,10.79米,142千米每小时,O-57/L-2“蚱蜢”,{'$oid': '5cc930f8831b973d657f11cf'},1937年,NULL,2.44米,NULL,590千克,平直翼,6.93米
亚音速,NULL,NULL,2人,"
沃特公司的新“海盗”是基于O2U观察机／通用机的成功发展出来的，它和O2U的机型十分相似，变种机型O3U-1除了增加后掠角和下翼翻角外，基本没有其他变化。
",1040千米,普-惠R-1340-12“黄蜂”发动机,美国沃特公司,单发,飞行器,侦察机,美国,NULL,1333千克,10.97米,262千米每小时,O3U/SU“海盗”,{'$oid': '5cc930f8831b973d657f11d0'},1930年,NULL,3.53米,NULL,2019千克,NULL,8.32米
亚音速,http://images.huanqiu.com/sarons/2013/08/41f6f2d8932b6a28decdea469daee5b3.jpg,NULL,1人,"
SC海鹰是一款由寇蒂斯公司为美国海军设计开发的的水上飞机。该机旨在替代该公司的“海鸥（Seamew）”和沃特公司的“翠鸟（Kingsher）”。
",1006千米,莱特R-1820-62“旋风”发动机,寇蒂斯公司,单发,飞行器,侦察机,美国,1949年,2867千克,12.5米,504千米每小时,SC“海鹰”,{'$oid': '5cc930f8831b973d657f11d1'},1944年2月16日,NULL,3.89米,1944年,4082千克,平直翼,11.09米
亚音速,http://images.huanqiu.com/sarons/2013/08/99c7ff3df9df32574f9d8160f39645a6.jpg,塞斯纳公司,2人,"
塞斯纳L-19（陆军命名）是为了代替二战时期的“蚱蜢”家族系列机而制造的。它由一台213马力的大陆O-47-11发动机驱动，与它的民用型前辈所用的145马力的大陆C145-2发动机有所不同，这意味着它更适合军用，特别是在越南战争的前几年中它所扮演的角色。1962年，它被重新命名为O-1，在当年停产前交付了3431架。其中大多数是O-1A（L-19A），后来的变种机型引入了强化配置和机翼武器如目标标记火箭弹。
",853千米,大陆O-47-11发动机,塞斯纳公司,单发,飞行器,侦察机,美国,NULL,732千克,10.97米,243千米每小时,L-19/O-1“飞狗”,{'$oid': '5cc930f8831b973d657f11d2'},1949年12月,NULL,2.22米,NULL,1087千克,平直翼,7.85米
亚音速,NULL,美国沃特公司,2人,"
沃特公司的UO飞机，是沃特VF-7／9的改进型观察机，20世纪20年代早期大量生产。该机最初是作为战斗机设计的，但是到第一架UO-1原型机试飞时，性能更佳的飞机已经出现，因此，这种飞机被重新设计为不装备武器的观察机。除了莱特星形发动机和新的尾翼面以外，UO和VE的不同还在于它的更流线型的机身和更大的位于机首的驾驶舱。
",637千米,莱特J-3发动机,NULL,单发,飞行器,侦察机,美国,1929年,678千克,10.46米,198千米每小时,UO/FU双翼观察机,{'$oid': '5cc930f9831b973d657f11d3'},1922年,NULL,2.71米,1927年,1046千克,双翼,8.65米
亚音速,NULL,斯佩里飞机制造公司,1人,NULL,600千米,劳伦斯L-4发动机,NULL,单发,飞行器,侦察机,美国,NULL,283千克,6.1米,155千米每小时,“信使”M-1/MAT,{'$oid': '5cc930f9831b973d657f11d4'},1920年年底,NULL,2米,NULL,390千克,平直翼,5.1米
亚音速,NULL,美国托马斯-摩尔斯公司,2人,NULL,928千米,普-惠R-1340-7发动机,NULL,单发,飞行器,侦察机,美国,NULL,1235千克,12.16米,221千米每小时,O-19,{'$oid': '5cc930f9831b973d657f11d5'},1925年底,NULL,3.2米,NULL,1724千克,平直翼,8.65米
亚音速,http://images.huanqiu.com/sarons/2013/11/b46a6896192b3a7260433afb5ecf9012.jpg,安东诺夫设计局,7人,NULL,2630千米,AN-24BT涡桨发动机,NULL,双发,飞行器,侦察机,苏/俄,NULL,15590千克,29.2米,540千米每小时,安-30,{'$oid': '5cc930f9831b973d657f11d6'},1974年,NULL,8.32米,NULL,23000千克,平直翼,24.26米
亚音速,http://images.huanqiu.com/sarons/2013/08/3e13609b5c6b6a3eba6d0f8003ab2350.jpg,通用航空公司（北美航空公司前身）,3人,"
O-47是通用航空公司（北美公司的前身）应美国陆军的特别要求而研制的观察机。它采用低单翼、封闭式驾驶舱。衍生型号有O-47A及O-47B。在1941年训练演习O-47的不足之后，在二战中便被降级到拖曳目标，海岸巡逻，反潜巡逻等职责。
",1207千米,莱特R-1820-49“旋风”发动机,NULL,单发,飞行器,侦察机,美国,NULL,2712千克,14.12米,355千米每小时,O-47,{'$oid': '5cc930f9831b973d657f11d7'},1935年6月,NULL,3.71米,1937年,3463千克,平直翼,10.24米
亚音速,http://images.huanqiu.com/sarons/2014/01/1cb368cec2462eb44d2d5aecf11e396b.jpg,NULL,2人,NULL,5633千米,普惠J75-P-13B 涡轮喷气发动机,洛克希德,单发,飞行器,侦察机,美国,NULL,6800千克,30.9米,812千米每小时,洛克希德U-2S高空侦察机,{'$oid': '5cc930fa831b973d657f11d8'},1967年,NULL,4.8米,1994年开始,18600千克,平直翼,19.1米
亚音速,http://images.huanqiu.com/sarons/2013/11/a596002e6e7d79c7d908cc7d79d86f81.jpg,南京航空航天大学、西北工业大学、湖江机器厂,2人,"
延安二号，是我国第一架自行设计并初步试飞成功的轻型直升机。该机由南京航空航天大学、西北工业大学和湖江机器厂共同研制完成。该机体积小，操纵简便可靠，振动较小，舱内噪音低，飞行稳定性和操纵性好。该机1959年初步研制，后任务下马。1965年重新启动正式研制。1975年9月首飞，没有定型生产。

该机是根据部队提出的要求进行设计的，与其他直升机研制不同的是：“延安二号”直升机是由高等院校承担设计、试制任务的唯一的直升机产品，该机件始由西北工业大学承担研制任务（故被命名为“延安二号”），后又随着高校专业的调整（直升机专业从西北工大调整集中到南航），“延安二号”的研制又转到南京航空学院（现称：南京航空航天大学）负责，湖江机器厂也参加了研制工作。“延安二号”从 1965年开始设计，1967年完成全机静力试验，1975年9月4日首次试飞成功。
",230千米,一台活塞-6丙发动机,南京航空航天大学、西北工业大学、湖江机器厂,单发,飞行器,侦察机,中国,NULL,NULL,NULL,190千米每小时,延安二号,{'$oid': '5cc930fa831b973d657f11d9'},1975年9月4日,10米,2.56米,NULL,1155千克,单旋翼,8米
亚音速,http://images.huanqiu.com/sarons/2013/11/f3c2d83e8de0ff39e4af8f49ec6d142b.jpg,波音公司,27人,NULL,12000千米,4台CFM国际公司的F-108-CF-201涡扇发动机,波音公司,四发,飞行器,侦察机,美国,NULL,44663千克,44.4米,860千米每小时,RC-135战略侦察机,{'$oid': '5cc930fa831b973d657f11da'},NULL,NULL,12.95米,1964年,146000千克,后掠翼,46.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/4fbb61e518470a9699bbb3ac7a4b5270.jpg,中岛飞机公司,3人,NULL,5310千米,1x 中岛 誉21型 18缸往复式发动机,NULL,单发,飞行器,侦察机,日本,NULL,2968千克,12.5米,610千米每小时,C6N彩云舰上侦察机,{'$oid': '5cc930fa831b973d657f11db'},1943年5月15日,NULL,3.95米,1946年,5260千克,平直翼,11米
亚音速,NULL,马丁公司,3人,NULL,585千米,普-惠“大黄蜂”R-1690-24发动机,NULL,单发,飞行器,侦察机,美国,NULL,1783千克,16.15米,183千米每小时,T3M/T4M,{'$oid': '5cc930fa831b973d657f11dc'},1925年,NULL,4.5米,NULL,3661千克,双翼,10.84米
亚音速,http://images.huanqiu.com/sarons/2013/08/5d0af37c0f9b5e9b33cfbfefe3b7427f.jpg,美国佩帕公司,2人,"
L-4“蚱蜢”，实质上是过去十年间的成功的民用机型的军用版本。佩帕公司的“蚱蜢”飞机是第二次世界大战中美国陆军航空部队使用频度很高的火炮定位和一线联络机。
",306千米,大陆O-170-3发动机,NULL,单发,飞行器,侦察机,美国,NULL,331千克,10.74米,137千米每小时,L-4“蚱蜢”观察机,{'$oid': '5cc930fb831b973d657f11dd'},1941年,NULL,2.03米,NULL,533千克,平直翼,6.71米
亚音速,http://images.huanqiu.com/sarons/2014/01/68b2abf0531cb963b8727cd7fe2a9eae.jpg,NULL,5人,"
1999年6月，雷声系统公司被英国国防部的ASTOR(机载防区外雷达)飞机项目选中，使用庞巴迪“全球快车”机身，装备ASARS-2地面监视雷达系统，采用SAR/MTI(合成孔径雷达/移动目标指示)模式。2001年8月3日，具有代表性气动机身的机型首飞，2004年5月26日，第一架采用生产型机身的飞机(ZJ690)首飞。2007年初，“哨兵”的5架Sqn机型开始在英国皇家空军服役。
",9852千米,2 × Rolls-Royce BR710,雷声系统公司，庞巴迪公司,双发,飞行器,侦察机,美国,NULL,24000千克,28.7米,935千米每小时,“哨兵”R.1地面监视飞机,{'$oid': '5cc930fb831b973d657f11de'},2001年8月3日,NULL,8.2米,NULL,NULL,后掠翼,30.3米
亚音速,http://images.huanqiu.com/sarons/2014/01/45bb6980828244785dfb0a6603971e59.jpg,中岛飞机公司,2人,NULL,1200千米,气冷星型九汽缸引擎,NULL,单发,飞行器,侦察机,日本,NULL,1615千克,12米,300千米每小时,ki-4/94式侦察机,{'$oid': '5cc930fb831b973d657f11df'},NULL,NULL,3.5米,1934年7月,2616千克,双翼,7.73米
亚音速,NULL,NULL,3人,日本陆军X系列验证机之一，为Ki46的后继机，主要验证生产高空高速度高机动飞行技术，不过成本高，加上Ki46的性能完全够用，所以没有批量生产。,2500千米,三菱HA-104引擎,立川飞行机株式会社,双发,飞行器,侦察机,日本,NULL,5895千克,17.8米,580千米每小时,Ki-70试作司令部侦察机,{'$oid': '5cc930fb831b973d657f11e0'},1943年,NULL,NULL,NULL,9855千克,平直翼,14.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/b4b8ab3eeacf62c88d76e845cc079152.jpg,NULL,2人,NULL,754千米,三菱HI式 水冷8汽缸（300马力）,三菱重工业,双发,飞行器,侦察机,日本,1938年,980千克,12米,204千米每小时,C1M/10式舰上侦察机,{'$oid': '5cc930fb831b973d657f11e1'},NULL,NULL,2.9米,1924年11月,1320千克,平直翼,7.95米
亚音速,NULL,立川飞行机株式会社,5人,"
Ki74原为空中侦察而设计的高速，高空侦察机。后来发展为远程高空，高速侦察/轰炸机，这种飞机如果从特鲁克与拉包儿起飞能轰炸美国西海岸，但生产很不顺利，直到1944年3月首机才制造完毕，战争结束时只完成了14架。
",8000千米,标称1810马力   三菱4式（HA104）复列星型气冷18缸发动机 ×2 ,NULL,双发,飞行器,侦察机,日本,NULL,10200千克,27米,570千米每小时,Ki-74试作远距离侦察爆撃机,{'$oid': '5cc930fb831b973d657f11e2'},NULL,NULL,5.1米,NULL,19400千克,后掠翼,17.65米
亚音速,http://images.huanqiu.com/sarons/2014/01/4121486f52aafa2746adb79a71623d15.jpg,都尼尔艾威尔兰达Potez,3人,"
都尼尔 Do 24是为了满足荷兰海军需求并汰换远在荷属东印度服役的都尼尔 Wal所提出的计划案。 它采用全金属单翼机并采用广梁支撑的船壳结构并强化稳定故加装安定翼，该机动力来源来自三具故定于机翼上面的星型发动机。
",NULL, 3部Bramo 323 9-汽缸星状发动机， 746 kW（1000 hp）,NULL,三发,飞行器,侦察机,德国,NULL,13740千克,27米,341千米每小时,Do 24水上侦察机,{'$oid': '5cc930fb831b973d657f11e3'},1937年7月3日,NULL,5.9米,1937年11月,31800千克,平直翼,22米
亚音速,NULL,库特.坦克,3人,"
福克-沃尔夫 Fw 189 鸮鹰式（Uhu）是隶属于纳粹德国空军一种三人座双尾椼型、战术性侦察机与陆军支援飞机。它的首型Fw 189 V1于1938年进行首飞，并于1940年进入部队服役，生产作业到1944年中期结束。虽然与亨克的He 219 战斗机同名但是两者的功能相差甚巨。
",670千米,2台Argus As 410 ， 342 kW（465 PS - 459 hp）,福克-沃尔夫,双发,飞行器,侦察机,德国,1945年（德国空军）,2805千克,18.4米,357千米每小时,Fw 189鸮鹰式侦察机,{'$oid': '5cc930fc831b973d657f11e4'},1938年7月,NULL,3.7米,1941年8月,3950千克,平直翼,12米
亚音速,http://images.huanqiu.com/sarons/2014/01/14dfb147ca6eaf8cfbccc926c6b3caa9.jpg,Fieseler公司,1人,"
Fi-156 STORCH （鹳式）是二战期间德国的轻型联络观测机，由Fieseler设计制造。此型飞机堪称为空气动力学的奇迹，除了具有极其优异的短场起降功能，极低的失速速度仅需要时速约51公里，对于乘员的安全性提供很大的助益。此机的操控性能获得飞行员的一致赞许，其平均寿命为著名战机Bf 109的10倍，二战期间几乎在所有德军前线都有它的踪影。
",385千米,Argus As 10C-3 八汽缸直列式气冷引擎,NULL,单发,飞行器,侦察机,德国,1945年,930千克,14.25米,175千米每小时,Fi-156鹳式联络观测机,{'$oid': '5cc930fc831b973d657f11e5'},1936年5月10日,NULL,3.05米,1937年,NULL,平直翼,9.9米
亚音速,http://images.huanqiu.com/sarons/2014/01/3a771e7a5702beeaf70300b3959e9c58.jpg,Aichi,3人,"
1938年首次试飞，1938-1945年持续生产，一共生产1418架。全金属结构，操纵面为布蒙皮。主要装备太平洋日本占领岛屿的守备部队和战列舰榛名号、重型巡洋舰利根、筑磨、高雄等舰船。E13A是日本水上飞机中产量最大的。15小时的续航力和执行任务的通用性使它十分成功。1944年最后的改型E13Ab入役，该型飞机已经加装日本最初的空对海搜索雷达。
",2090千米,Mitsubishi Kinsei43 14缸气冷发动机 1060hp,NULL,单发,飞行器,侦察机,日本,NULL,NULL,14.5米,376千米每小时,E13A/0式水上侦察机,{'$oid': '5cc930fc831b973d657f11e6'},1938年,NULL,7.4米,NULL,4000千克,平直翼,11.3米
亚音速,http://images.huanqiu.com/sarons/2014/01/3c6543077a35251b173a01964c0a9fe7.jpg,德国阿拉多飞机制造厂,2人,"
Ar 196是一种由德国阿拉多飞机制造厂设计生产的舰载型水上侦察机。Ar 196由1936年起开始生产，并于1937年在德国海军的招标中胜出，自此成为纳粹德国海军舰队在第二次世界大战期间的标准舰载水上飞机。
",1.08千米,BMW 132K 9缸星型活塞发动机,NULL,双发,飞行器,侦察机,德国,NULL,2980千克,15.1米,311千米每小时,Ar 196水上侦察机,{'$oid': '5cc930fc831b973d657f11e7'},1937年5月,NULL,5米,1938年11月,3720千克,平直翼,11.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/dd12b9eaca8e67454db72b2dc99a9b68.jpg,福克-沃尔夫,5人,"
福克-沃尔夫 Fw 200 兀鹰式（德语：Focke-Wulf Fw 200 Condor）是纳粹德国的一种全金属4引擎单翼机，由福克-沃尔夫所研制。原先作为客机使用，在第二次世界大战爆发后被空军用做远程侦察机、海军轰炸机与运输机。由于该机在德国对英国的大西洋海战中表现出色，重创英国运输船，导致英军资源匮乏，无法与德军作战，温斯顿·丘吉尔称其为“大西洋的祸害”（Scourge of the Atlantic）。
",3560千米,4×BMW/Bramo 323R-2引擎 9汽缸单列气冷星形发动机， 895 kW（1200马力）,NULL,四发,飞行器,侦察机,德国,NULL,17005千克,32.85米,360千米每小时,Fw 200兀鹰式侦察机,{'$oid': '5cc930fc831b973d657f11e8'},1937年7月27日,NULL,6.3米,NULL,24520千克,平直翼,23.45米
