制造商,类型,大类,轨道,名称,长度,发射日期,_id,图片,产国,发射地点,运载火箭,关注度,简介,纬度,中心直径,经度,首次轨道发射
EADS航天运输公司,宇宙飞船,太空装备,400公里,ATV自动转移飞行器,NULL,2008年1月,{'$oid': '5cc933ff831b973d657f2420'},http://images.huanqiu.com/sarons/2013/11/6800589ef5ba31745fa2349953227c29.jpg,欧盟,法属圭亚那，库鲁,阿丽亚娜5ES,NULL,NULL,NULL,NULL,NULL,NULL
麦克唐纳飞行器公司,宇宙飞船,太空装备,160公里×244公里（100英里×139英里），倾角33°,双子座3号 ,NULL,1965年3月23日,{'$oid': '5cc933ff831b973d657f2421'},NULL,美国,佛罗里达州，卡纳维拉尔角,大力神2号,NULL,"
“双子座”项目是美国为了开发点会合、入坞和舱外活动(EVA)等“阿波罗”登月计划所需的技术而进行的。由美国麦克唐纳飞行器公司制造，于1965年3月23日在佛罗里达州，卡纳维拉尔角发射；在进行了两次无人测试飞行之后，进行了第一次载人任务。
",NULL,NULL,NULL,NULL
中国航天科技集团公司,宇宙飞船,太空装备,NULL,神舟九号,NULL,2012年6月16日18时37分24秒,{'$oid': '5cc933ff831b973d657f2422'},NULL,中国,酒泉卫星发射中心,长征二号F,NULL,神舟九号飞船是中国航天计划中的一艘载人宇宙飞船，是神舟号系列飞船之一。神九是中国第一个宇宙实验室项目921-2计划的组成部分，天宫与神九载人交会对接将为中国航天史上掀开极具突破性的一章。中国计划2020年中国将建成自己的太空家园，独立自主的中国空间站届时可能成为世界上唯一的空间站。2012年6月16日18时37分，神舟九号飞船在酒泉卫星发射中心发射升空。2012年6月18日约11时左右转入自主控制飞行，14时左右与天宫一号实施自动交会对接，这是中国实施的首次载人空间交会对接。并于2012年6月29日10点00分安全返回。,40°57′28″N,NULL,100°17′30″E,NULL
中国航天科技集团公司,宇宙飞船,太空装备,NULL,神舟六号载人飞船,NULL,2005年10月12日上午9:00 ,{'$oid': '5cc933ff831b973d657f2423'},NULL,中国,酒泉卫星发射中心,长征2号F（遥六）,NULL,神舟六号载人飞船，是中国神舟号飞船系列之一。“神舟六号”与“神舟五号”在外形上没有太大的差别，仍为推进舱、返回舱、轨道舱的三舱结构，重量基本保持在8吨左右，用长征二号F型运载火箭进行发射。它是中国第二艘搭载太空人的飞船，也是中国第一艘执行“多人多天”任务的载人飞船。这也是世界上人类的第243次太空飞行。,40°57′28″N,NULL,100°17′30″E,NULL
中国航天科技集团公司,宇宙飞船,太空装备,NULL,神舟八号飞船,NULL,2011年11月1日5时58分10秒 ,{'$oid': '5cc93400831b973d657f2424'},NULL,中国,酒泉卫星发射中心,长征二号F火箭,NULL,神舟八号飞船，是一艘无人飞船，是中国“神舟”系列飞船的第八艘飞船，于2011年11月1日5时58分10秒由改进型“长征二号”F遥八火箭顺利发射升空。升空后2天，“神八”与此前发射的“天宫一号”目标飞行器进行了空间交会对接。组合体运行12天后，神舟八号飞船脱离天宫一号并再次与之进行交会对接试验，这标志着我国已经成功突破了空间交会对接及组合体运行等一系列关键技术。2011年11月16日18时30分，神舟八号飞船与天宫一号目标飞行器成功分离，返回舱于11月17日19时许返回地面。,40°57′28″N,NULL,100°17′30″E,NULL
中国航天科技集团公司,宇宙飞船,太空装备,NULL,神舟三号飞船,NULL,2002年3月25日22时15分 ,{'$oid': '5cc93400831b973d657f2425'},NULL,中国,酒泉卫星发射中心,长征二号F运载火箭,NULL,神舟三号飞船由中国航天科技集团公司所属的中国空间技术研究院和上海航天技术研究院为主研制，“长征二号F”运载火箭由中国运载火箭技术研究院为主研制。这次发射是长征系列运载火箭第66次飞行。自1996年10月以来，中国运载火箭发射已经连续24次获得成功。中国科学院和信息产业部等有关单位为这次发射研制了对地遥感、生命科学、空间科学等船载仪器和地面测控设备。,40°57′28″N,NULL,100°17′30″E,NULL
NULL,宇宙飞船,太空装备,地球轨道周期为89°6′，地球轨道倾角为42°6′,神舟一号飞船,NULL,1999年11月20日凌晨6点 ,{'$oid': '5cc93400831b973d657f2426'},NULL,中国,酒泉航天发射场,长征2号F,NULL,"
神舟一号飞船是中国载人航天计划中发射的第一艘无人实验飞船，飞船于1999年11月20日凌晨6点在酒泉航天发射场发射升空，承担发射任务的是在长征-2F捆绑式火箭的基础上改进研制的长征2号F载人航天火箭。
",40°57′28″N,NULL,100°17′30″E,NULL
中国航天科技集团公司,宇宙飞船,太空装备,NULL,神舟四号,NULL,2002年12月30日0时40分,{'$oid': '5cc93400831b973d657f2427'},NULL,中国,酒泉卫星发射中心 ,长征二号F运载火箭,NULL,神舟四号飞船是在神舟一号飞船、神舟二号飞船、神舟三号飞船飞行试验成功的基础上，经进一步完善研制而成，其配置、功能及技术状态与载人飞船基本相同。神舟四号飞船是第四艘无人飞船，由推进舱、返回舱、轨道舱和附加段组成。,40°57′28″N,NULL,100°17′30″E,NULL
中国航天科技集团公司,宇宙飞船,太空装备,近地点200千米、远地点350千米、倾角42.4°初始轨道，实施变轨后，进入343km的圆轨道,神舟五号,8.86米,NULL,{'$oid': '5cc93400831b973d657f2428'},NULL,中国,酒泉卫星发射中心,长征2号F（遥五）,NULL,神舟五号载人飞船是“神舟”号系列飞船之一，是中国首次发射的载人航天飞行器，于2003年10月15日将航天员杨利伟送入太空。这次成功的发射标志着中国成为继前苏联（俄罗斯）和美国之后，第三个有能力将人送上太空的国家。,40°57′28″N,NULL,100°17′30″E,近地点200千米、远地点350千米、倾角42.4°初始轨道。实施变轨后，进入343km的圆轨道
中国航天科技集团公司,宇宙飞船,太空装备,NULL,神舟七号,9.19米,2008年9月25日21点10分04秒,{'$oid': '5cc93400831b973d657f2429'},NULL,中国,酒泉卫星发射中心,长征二号F火箭,NULL,神舟七号载人航天飞船于2008年9月25日21点10分04秒988毫秒从中国酒泉卫星发射中心载人航天发射场用长征二号F火箭发射升空。飞船于2008年9月28日17点37分成功着陆于中国内蒙古四子王旗主着陆场。神舟七号飞船共计飞行2天20小时27分钟。神舟七号载人飞船（Shenzhou-Ⅶ manned spaceship）是中国神舟号飞船系列之一，用长征二号F火箭发射升空。是中国第三个载人航天飞船。突破和掌握出舱活动相关技术。神舟七号载人飞船科研单位是中国航天科技集团公司所属中国空间技术研究院和上海航天技术研究院。,40°57′28″N,NULL,100°17′30″E,NULL
进步国家火箭与航天科研生产中心,宇宙飞船,太空装备,258千米×280千米（160英里×174英里)，轨道倾角62.9°,光子（Foton）无人驾驶飞船,NULL,2007年9月14日,{'$oid': '5cc93400831b973d657f242a'},NULL,苏/俄,哈萨克斯坦，拜科努尔,联盟u,NULL,"
“光子”号无人驾驶飞船是基于“东方号”和“天顶号”军用侦察卫星而设计制造的。它由一个电池舱、一个球形再入舱和一个服务舱组成。1985年刚刚问世时，它主要是用于材料科学试验，但随后就增加了流体物理学、生物学和辐射剂量测量学试验任务。
",NULL,NULL,NULL,NULL
