飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/79659c3e382d48a30a909bebac05e4e1.jpg,NULL,94人,NULL,12600千米,四台通用电气F103-GE-100发动机,波音公司,四发,飞行器,预警机,美国,NULL,172730千克,59.64米,969千米每小时,E-4/VC-25,{'$oid': '5cc930f2831b973d657f11ac'},1969年2月9日,NULL,NULL,19.33米,1974年,360千克,后掠翼,70.51米
亚音速,NULL,NULL,15人,NULL,5100千米,4台D-30KP涡扇发动机(4×117.6千牛),NULL,四发,飞行器,预警机,苏/俄,NULL,75000千克,50.5米,785千米每小时,A-50空中预警机,{'$oid': '5cc930f2831b973d657f11ad'},1978年,NULL,NULL,14.8米,1984年,190000千克,后掠翼,46.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/f50fb80788219f0363197722e70c0bde.jpg,航空航天工业公司,NULL,NULL,NULL,喷气发动机,NULL,双发,飞行器,预警机,以色列,NULL,21909千克,28.5米,592千米每小时,G550预警机,{'$oid': '5cc930f2831b973d657f11ae'},2006年,NULL,NULL,7.9米,NULL,24721千克,平直翼,29.4米
亚音速,http://images.huanqiu.com/sarons/2014/01/468a1ce2272e702345054d15f2b5fab6.jpg,NULL,5人,"
E-2D“先进鹰眼”预警机是美国海军的一种新型预警机，该型预警机是在E-2C“鹰眼2000”预警机基础上改进而来，但与后者有着根本的不同。

E-2D的任务系统是全新的：为适应新的雷达、天线、操作台、显示器以及驾驶舱，诺斯洛普·格鲁门公司对E-2D预警机的任务系统进行了重新打造。
",NULL,2台罗尔斯·罗伊斯T56-A-427A 涡轮发动机,格鲁门公司,双发,飞行器,预警机,美国,NULL,18363千克,24.56米,626千米每小时,E-2D高级鹰眼,{'$oid': '5cc930f2831b973d657f11af'},1960年,NULL,NULL,5.58米,1964年1月,25850千克,平直翼,17.6米
亚音速,NULL,印度HAL公司,NULL,NULL,2630千米,罗尔斯 罗伊斯“标枪”RDa.7 MK536-2发动机,NULL,双发,飞行器,预警机,印度,NULL,13200千克,31.23米,450千米每小时,ASP预警机,{'$oid': '5cc930f3831b973d657f11b0'},1999年,NULL,NULL,7.57米,NULL,23890千克,平直翼,20.42米
亚音速,http://images.huanqiu.com/sarons/2014/01/662c3052528c6c0cf061a9c1d6b06655.jpg,爱立眼集团微波系统公司,3人,"
 
",NULL,NULL,NULL,双发,飞行器,预警机,瑞典,NULL,NULL,NULL,NULL,瑞典爱立眼预警机,{'$oid': '5cc930f3831b973d657f11b1'},1994年7月（SAAB SF340飞机）,NULL,NULL,NULL,1997年,NULL,后掠翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/938b08583ad186cd2c7bdb0d4b1212bc.jpg,巴西航空工业公司,3人,NULL,2963千米,2× 劳斯莱斯AE 3007涡轮风扇,NULL,双发,飞行器,预警机,巴西,NULL,11740千克,20米,833千米每小时,EMB-145（R-99）监视飞机,{'$oid': '5cc930f3831b973d657f11b2'},1995年11月17日,NULL,NULL,6.8米,NULL,21100千克,后掠翼,28.45米
亚音速,http://images.huanqiu.com/sarons/2014/01/25313d32a1044e3bab635fc091ac589a.jpg,波音,2人,NULL,9260千米,2× 通用电气的CF6-80C2 涡扇发动机,NULL,双发,飞行器,预警机,美国,NULL,85595千克,47.6米,805千米每小时,E-767 AWACS/KC-767加油机AWACS和加油机,{'$oid': '5cc930f3831b973d657f11b3'},1994年10月10日,NULL,NULL,15.8米,NULL,175000千克,后掠翼,48.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/16ed2c0b257b78b669b143106d8a8231.jpg,美国波音公司,NULL,NULL,NULL,NULL,NULL,双发,飞行器,预警机,美国,NULL,NULL,NULL,NULL,楔尾预警机,{'$oid': '5cc930f3831b973d657f11b4'},2004年,NULL,NULL,NULL,NULL,NULL,后掠翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/4d9445bdf7d6de94bc757790ba77ebae.jpg,以色列航空工业公司,17人,NULL,8500千米,NULL,NULL,四发,飞行器,预警机,以色列,NULL,80000千克,44.42米,880千米每小时,费尔康707预警机,{'$oid': '5cc930f3831b973d657f11b5'},1993年,NULL,NULL,12.93米,NULL,150000千克,后掠翼,48.41米
亚音速,http://images.huanqiu.com/sarons/2014/01/327053bc3750d451bcb68260682e6f8c.jpg,皮拉蒂斯·布里顿－诺曼公司,2人,NULL,1965千米,两台莱康明IO-540-K1B5发动机,NULL,双发,飞行器,预警机,英国,NULL,1900千克,10.7米,280千米每小时,BN-2 防御者小型双发预警机,{'$oid': '5cc930f3831b973d657f11b6'},1984年5月12日,NULL,NULL,4.2米,NULL,3860千克,平直翼,15米
亚音速,http://images.huanqiu.com/sarons/2014/01/7d48af21b9b54ed01059efe3113bd298.jpg,诺斯罗普·格鲁曼(波音),22人,NULL,NULL,4台JT-3D型涡扇发动机,NULL,四发,飞行器,预警机,美国,NULL,NULL,44.4米,945.84千米每小时,E-8“联合星”地面监视/作战管理飞机,{'$oid': '5cc930f3831b973d657f11b7'},1988年12月22日,NULL,NULL,12.9米,NULL,152400千克,后掠翼,46.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/3a4523bc4e0670ae64fd0b24b7ed73a3.jpg,NULL,17人,NULL,8500千米,NULL,NULL,双发,飞行器,预警机,智利,NULL,80000千克,44.4米,780千米每小时,IAI(波音)Phalcon 707预警飞机,{'$oid': '5cc930f4831b973d657f11b8'},1993年5月12日,NULL,NULL,12.9米,1995年,150000千克,后掠翼,48.4米
亚音速,http://images.huanqiu.com/sarons/2014/01/905cf57ca0e9c8bb63f9e1610992cccc.jpg,诺斯罗普·格鲁曼,5人,NULL,2854千米,NULL,NULL,双发,飞行器,预警机,美国,NULL,18090千克,28米,626千米每小时,E-2C“鹰眼”(美国) 空中预警和控制飞机,{'$oid': '5cc930f4831b973d657f11b9'},1971年1月20日,NULL,NULL,5.6米,NULL,23850千克,平直翼,17.6米
亚音速,http://images.huanqiu.com/sarons/2014/05/63babb3abb9d2b6397c082e1a565fa08.jpg,中国电子科技集团公司 中国陕西飞机制造公司,15人,"
空警－2000型预警指挥机是一项集全国之力的“国字号工程”。是继“两弹一星”、“载人航天”工程之后，我国新时期国防科技领域一项具有里程碑意义的重大工 程。2007年，经过重重艰辛磨砺，空警2000最终完成设计定型并交付部队。2008年空警2000获得国防科学技术奖特等奖，2010年更荣获了国家科技进步奖特等奖。
",5500千米,NULL,NULL,四发,飞行器,预警机,中国,NULL,60000千克,50.5米,850千米每小时,空警2000型预警指挥机,{'$oid': '5cc930f4831b973d657f11ba'},2003年11月,NULL,NULL,14.76米,NULL,19000千克,平直翼,46.59米
