大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,编辑评分,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,榴弹炮,一式37毫米速射炮,1850.5毫米,6300米,{'$oid': '5cc93309831b973d657f1ee8'},NULL,日本,NULL,NULL,NULL,穿甲爆破弹,780米/秒,"
该炮为94式速射炮的改进型，吸取了偌门坎事件中，日军94式速射炮对大倾角装甲射击容易跳弹，穿透力不强，不能在远距离击穿前苏联增装型BT7坦克的教训，加长加厚了94式战车炮的炮膛与炮管，使之可以发射弹体更长，发射药更多，重量更大的炮弹。
",37毫米,NULL,335千克
火炮,榴弹炮,施耐德1917年式155毫米榴弹炮,2371.5毫米,11900米,{'$oid': '5cc9330a831b973d657f1ee9'},http://images.huanqiu.com/sarons/2013/11/f5bb78898aff4dcc6ac47e8db89177fd.jpg,法国,NULL,NULL,NULL,NULL,450米/秒,"
法国施耐德1917年式155毫米榴弹炮（Canon de 155 C modèle 1917 Schneider，又作C17S）以1915年式155毫米榴弹炮为基础研制，为使用发射药包（而非金属药筒）修改了炮尾。本来是施耐德公司给沙皇俄国设计的，但十月革命后改为自用，在一战和二战中都发挥了作用。该炮能发射包括高爆榴弹、破片杀伤弹、半穿甲弹和毒气弹在内的5种弹药。
",155毫米,NULL,3250千克
火炮,榴弹炮,明治三十八年式150毫米野战榴弹,1880毫米,5890米,{'$oid': '5cc9330a831b973d657f1eea'},NULL,日本,NULL,NULL,NULL,榴弹,275米/秒,"
压制射击用途，装备师团野炮兵部队与独立野炮兵联队，这种炮的性能也很过时，不过150mm火炮的威力很大，而且生产新式150mm炮费用较高，所以38式50mm野战榴弹炮虽然早已停产，但日军没舍得淘汰这种老式大炮。
",149.1毫米,NULL,2090千克
火炮,榴弹炮,1914年式150mm榴弹炮,1789.2毫米,7200米,{'$oid': '5cc9330a831b973d657f1eeb'},NULL,俄罗斯,NULL,NULL,NULL,NULL,NULL,NULL,149.1毫米,1914年,2030千克
火炮,榴弹炮,M1906式65毫米山炮,NULL,6500米,{'$oid': '5cc9330a831b973d657f1eec'},NULL,法国,法国施奈德公司,NULL,NULL,NULL,300米/秒,"
法国施奈德的M1906式65毫米山炮就是全世界第一种采用软后座原理的前冲式火炮。它的生命力可谓顽强，在一战、二战、中东战争中均使用过。
",65毫米,1906年,400千克
火炮,榴弹炮,明治四十五年式240毫米重榴弹炮,3892毫米,10350米,{'$oid': '5cc9330a831b973d657f1eed'},NULL,日本,NULL,NULL,NULL,NULL,387米/秒,"
明治45年式240毫米榴弹炮是日军在第一次世界大战和第二次世界大战期间使用的一种由日本自行设计的榴弹炮。
",240毫米,NULL,33058千克
火炮,榴弹炮,明治三十八年120毫米野战炮,1440毫米,NULL,{'$oid': '5cc9330a831b973d657f1eee'},NULL,日本,NULL,NULL,NULL,榴弹,276米/秒,"
压制射击用途，开战时性能已经过时，早已停产淘汰，属于储备品，只有很少一些编在独立炮兵部队或步兵联队里凑数，很少在战场上出现 。
",120毫米,NULL,1257千克
火炮,榴弹炮,大正四年式150毫米野战榴弹炮,2190毫米,8800米,{'$oid': '5cc9330b831b973d657f1eef'},http://images.huanqiu.com/sarons/2013/11/9dc79a62926da62ba0b0763bab4dbfe4.jpg,日本,NULL,NULL,NULL,榴弹,389米/秒,"
大正四年式150毫米野战榴弹炮是为步兵师团野炮兵部队与独立野战重炮兵旅团配备的野战榴弹炮，性能比38式150毫米野炮好，主要用于压制射击。开战时已接近停产，但一直用到了战争结束，这种火炮重量很轻，精度较高，在战场上威力还是很大的。
",149.1毫米,NULL,2800千克
火炮,榴弹炮,91式105毫米野炮,2090毫米,10800米,{'$oid': '5cc9330b831b973d657f1ef0'},NULL,日本,NULL,NULL,NULL,榴弹,454米/秒,"
压制射击用途，射程较远，重量轻，很受日军步兵部队欢迎。
",105毫米,NULL,1750千克
火炮,榴弹炮,四十一年式75mm山炮,1300毫米,6300米,{'$oid': '5cc9330b831b973d657f1ef1'},NULL,日本,NULL,NULL,NULL,爆破弹,360米/秒,"
41式75mm山炮装备精锐野战部队的步兵大队或一般野战师团的步兵联队，每个精锐步兵大队追加2门，是步兵大队的压制火炮力量，至于一般步兵联队装备4-6门，战争后期随着部队规模的急剧扩大，新式火炮由于成本高，难以达到装备需求数量，所以旧日本陆军基本停止了生产新锐重型火炮，大力生产低成本的老式火炮，其中41式山炮是旧日军主产火炮之一，很多后期组建的野战师团所属的师团炮兵联队也开始装备这种原本属于步兵大队与步兵联队用的山炮。
",75毫米,NULL,540千克
火炮,榴弹炮,90式75毫米野炮,2883毫米,13890米,{'$oid': '5cc9330b831b973d657f1ef2'},http://images.huanqiu.com/sarons/2013/11/0e7a4021d9eeff3b92546515f9bfbc19.jpg,日本,NULL,NULL,NULL,榴弹,683米/秒,"
压制射击用途，射程很远，但不太受日军步兵欢迎，主要是日军嫌这种炮比其他的75毫米野炮重，所以后期90式75毫米野炮主要做为战车炮生产。
",75毫米,NULL,1600千克
火炮,榴弹炮,明治三十八年式75毫米野战炮,2325毫米,8350米,{'$oid': '5cc9330b831b973d657f1ef3'},NULL,日本,NULL,NULL,NULL,榴弹,510米/秒,"
压制射击用途，装备面十分广，日军精锐步兵联队，野战旅团与野战师团所属炮兵部队都有装备，在太平洋战争爆发后，为了最低成本武装新设部队，38式75mm野炮成为日本陆军的野炮生产重点，是日军装备量最大的野战压制火炮之一。
",75毫米,NULL,947千克
火炮,榴弹炮,九四式75mm山炮,1560毫米,8300米,{'$oid': '5cc9330b831b973d657f1ef4'},NULL,日本,NULL,NULL,NULL,爆破弹,392米/秒,"
九四式山炮，重量很轻，便于分解驮运，而且射程不低，是二战时期日军装备的三种火炮之一。
",75毫米,NULL,536千克
火炮,榴弹炮,前苏联122-MM М-30榴弹炮,2800毫米,11800米,{'$oid': '5cc9330b831b973d657f1ef5'},NULL,苏/俄,NULL,NULL,5900毫米,NULL,NULL,"
M-30式122毫米榴弹炮也称1938年式122毫米榴弹炮，由工程师F·F·皮特洛夫设计，1938年在彼尔姆完工，从苏芬战争前到卫国战争后先后在第九，第172，第221火炮兵工厂大量生产，是苏联二战火炮的杰作之一，是二战中苏军中师压制火炮的主力。
",121.92毫米,NULL,2450千克
火炮,榴弹炮,85式(W86)122毫米榴弹炮,4785毫米,18000米,{'$oid': '5cc9330b831b973d657f1ef6'},NULL,中国,NULL,NULL,NULL,杀伤榴弹、增程弹,690米/秒,"
85式（W86）122毫米榴弹炮是参照苏联D-30型122毫米榴弹炮，根据现代战争的需要于1985年研制成功的师属榴弹炮，用于替代大量装备的老式的54式和54-1或122毫米榴弹炮。
",122毫米,1985年,3200千克
火炮,榴弹炮,LG1式榴弹炮,3150毫米,17500米,{'$oid': '5cc9330c831b973d657f1ef7'},http://images.huanqiu.com/sarons/2013/11/08042ef6c454ce83f488460907becfc2.jpg,法国,NULL,NULL,NULL,NULL,675米/秒,"
LG1式榴弹炮是法国于1980年开始研制的一种105毫米牵引榴弹炮。该型榴弹炮由炮身、反后坐装置、摇架、平衡机、大架、座盘和瞄准装置等部分组成，具有重量轻，射程远，可靠性高，机动性能好的特点，可使用轻型汽车牵引或直升机吊运，行军状态时炮身可折叠在大架上。LG1式榴弹炮战斗全重1300千克，发射榴弹时初速675米/秒，最大射程17.5千米，最大射速12发/分钟，可发射多种常规弹药。
",105毫米,NULL,1300千克
火炮,榴弹炮,96式122毫米牵引式榴弹炮,NULL,15000米,{'$oid': '5cc9330c831b973d657f1ef8'},http://images.huanqiu.com/sarons/2013/11/bf46f7a90b770d60fdf769d0f8aa7799.jpg,中国,NULL,NULL,3660毫米,反装甲子母弹,NULL,"
96式122毫米榴弹炮是参照苏联D-30型122毫米榴弹炮，根据现代战争的需要于1985年研制成功的师属榴弹炮，用于替代大量装备的老式的54式和54-1或122毫米榴弹炮。
",122毫米,1985年,3200千克
火炮,榴弹炮,中国国产203毫米榴弹炮,9235毫米,50000米,{'$oid': '5cc9330c831b973d657f1ef9'},NULL,中国,NULL,NULL,NULL,底凹榴弹,936米/秒,NULL,203.3毫米,20世纪80年代,16396千克
火炮,榴弹炮,团属野战炮,NULL,7700米,{'$oid': '5cc9330c831b973d657f1efa'},NULL,苏/俄,NULL,NULL,NULL,NULL,387米/秒,"
1926年4月22日，苏维埃炮兵委员会召开了一个特别会议，商讨装备团属火炮的问题。委员会意识到原有的老式1902年式76.2mm炮重量过重，不适合炮兵班成员或者配备的马匹机动，很难符合团级作战的需要。委员会决定在1913年式76mm炮的基础上改进出新的火炮。
",76.2毫米,NULL,NULL
火炮,榴弹炮,FH2000式榴弹炮,8060毫米,40000米,{'$oid': '5cc9330c831b973d657f1efb'},http://images.huanqiu.com/sarons/2013/11/9961ade90a634e2f584a9bd771ef31e3.jpg,新加坡,NULL,NULL,NULL,NULL,827米/秒,"
新加坡技术动力公司在FH-88榴弹炮基础上研制的一型155毫米52倍口径牵引式榴弹炮。这使新加坡成为世界上第一个装备155毫米52倍口径牵引式榴弹炮的国家。
",155毫米,20世纪90年代,13500千克
火炮,榴弹炮,839P式155毫米加农榴弹炮,NULL,30000米,{'$oid': '5cc9330c831b973d657f1efc'},NULL,以色列,以色列索尔塔姆公司,NULL,7500毫米,NULL,NULL,"
以色列索尔塔姆公司研制的口径155毫米的牵引式加农榴弹炮。1981年开始研制，1984年批量生产。后又在此炮的基础上加长身管，研制了845P式155毫米加榴炮。
",155毫米,1981年,10850千克
火炮,榴弹炮,FH70式榴弹炮 ,6000毫米,30000米,{'$oid': '5cc9330c831b973d657f1efd'},http://images.huanqiu.com/sarons/2013/11/a46311da5c649aacb6c0ade9993305ba.jpg,德国,NULL,NULL,NULL,NULL,827米/秒,"
FH70式榴弹炮是英、德、意于20世纪70年代联合研制的一种155mm牵引榴弹炮。
",155毫米,NULL,9600千克
火炮,榴弹炮,XT-86A1式榴弹炮,NULL,32400米,{'$oid': '5cc9330c831b973d657f1efe'},NULL,中国,中国台湾202厂,NULL,6500毫米,NULL,NULL,"
XT-86A1式榴弹炮是我国台湾在M114A1榴弹炮的基础上研制的一种155mm牵引榴弹炮。该型榴弹炮用39倍口径长身管代替原23倍口径长身管，使射程从14.6km增至32.4km。该炮还增加了液压系统，可驱动炮身旋转，大架开并只需4人即可操纵。炮架后端增设辅助脚轮和液压系统，可使火炮列放时间缩短至3min，操作人员也由11人减少至7人。XT-86A1式榴弹炮可发射高爆榴弹、火箭助推高爆榴弹、烟幕弹、照明弹等多种常规弹药。
",155毫米,1970-90年代,10000千克
火炮,榴弹炮,FH88式榴弹炮,NULL,30000米,{'$oid': '5cc9330d831b973d657f1eff'},NULL,新加坡,NULL,NULL,NULL,NULL,NULL,"
FH88式榴弹炮是新加坡于1983年开始研制的一种155mm自行榴弹炮。装备有火控计算机和电子瞄准系统，并可由直升机吊运或运输机空运。
",155毫米,1983年,13200千克
火炮,榴弹炮,2A65式MCTA式榴弹炮,NULL,2470米,{'$oid': '5cc9330d831b973d657f1f00'},NULL,苏/俄,NULL,NULL,NULL,杀伤爆破弹,828米/秒,"
70年代中期前苏联开始研制一种新型牵引式榴弹炮，定型后命名为姆斯塔－Б2A65式152mm榴弹炮，也被称为姆斯塔-Б式，北约则称之为M1987式。该炮1985年开始批量生产，80年代中期列装，主要用于实施全般火力支援和直接火力支援。重量轻，射程远环境适应能力强。
",152毫米,NULL,7000千克
火炮,榴弹炮,TR.F1式榴弹炮 ,6200毫米,24000米,{'$oid': '5cc9330d831b973d657f1f01'},http://images.huanqiu.com/sarons/2013/11/783c527a424b5c83209e259f329ac21b.jpg,法国,NULL,NULL,NULL,NULL,830米/秒,"
TR.F1式榴弹炮是法国于1975年开始研制的一种155mm牵引榴弹炮。该型榴弹炮由炮身、炮架、反后坐装置、自动装填机、座盘、辅助推进装置和瞄准装置等部分组成，具有射程远，威力大、机动性好、可空运的特点，并配有辅助火炮牵引车和输弹机，行军时炮身可回旋180°。TR.F1式榴弹炮战斗全重1065kg，发射F1式榴弹时初速830m/s，最大射程24km，持续射速6发/min，可发射多种常规弹药。
",155毫米,NULL,1065千克
火炮,榴弹炮,M109A6式榴弹炮,NULL,NULL,{'$oid': '5cc9330d831b973d657f1f02'},http://images.huanqiu.com/sarons/2013/11/7398a71ca2b8eca2ed915a20f73b0afd.jpg,美国,NULL,NULL,NULL,NULL,NULL,"
M109A6式榴弹炮，又称“帕拉丁”。1992年4月装备部队，是美军未来十年内重型师的主要火力支援武器。主要改进是采用了现代化的火控系统，包括显示/控制装置、定位/导航系统、弹道计算机/火炮伺服驱动系统、自动瞄准仪等，可自动进行火炮定位和诸元装定，在行进中可以不超过60秒的时间独立而精确地发射第一个弹群，静止间只需30秒，可以机动-射击-机动的方式遂行火力打击任务，生存率提高96%。
",155毫米,NULL,28737千克
火炮,榴弹炮,德国75mm IG 42,NULL,4800米,{'$oid': '5cc9330d831b973d657f1f03'},NULL,德国,NULL,NULL,1790毫米,NULL,280米/秒,"
1940年法兰西会战结束后，德军步兵团普遍抱怨其装备的团级75毫米 le. IG18步兵炮的威力有限和反坦克能力不足。德军军备部门开始着手一种新的威力更强大的步兵炮的研制，这种新步兵炮的名称就是75毫米 IG 42步兵炮。
",75毫米,NULL,588千克
火炮,榴弹炮,UFH式榴弹炮,5800毫米,30000米,{'$oid': '5cc9330d831b973d657f1f04'},NULL,英国,英国维克斯造船与工程有限公司,NULL,NULL,NULL,NULL,"
UFH是种牵引式超轻型榴弹炮，但外观上看有些像加了后坐的迫击炮。它完全满足了美陆军有关它重量要在4吨左右、性能要优于M198式火炮的要求。
",155毫米,20世纪80年代中期,1900千克
火炮,榴弹炮,75毫米IG37步兵炮,NULL,5150米,{'$oid': '5cc9330d831b973d657f1f05'},http://images.huanqiu.com/sarons/2013/11/6b47c77ccb9d17ca8af02f744f23293f.jpg,德国,NULL,NULL,1800毫米,NULL,280米/秒,"
75毫米IG37步兵炮是1937年进入德军服役，其后续发展型号有75毫米IG42步兵炮是1942年进入德军服役的。
",75毫米,NULL,6.46千克
火炮,榴弹炮,L119式榴弹炮,NULL,17500米,{'$oid': '5cc9330e831b973d657f1f06'},http://images.huanqiu.com/sarons/2013/11/fb5d53654a892a4a29367c2455465817.jpg,英国,NULL,NULL,NULL,榴弹,732米/秒,"
L119式榴弹炮是英国在L118式榴弹炮基础上对某些部件稍加改进后研制的一种105毫米牵引榴弹炮。
",105毫米,NULL,1766千克
火炮,榴弹炮,OB-25式1943年型团属野战炮,1250毫米,4200米,{'$oid': '5cc9330e831b973d657f1f07'},NULL,苏/俄,NULL,NULL,NULL,NULL,311米/秒,"
OB-25式团属野战炮具有份量轻，易操作的优点，但总的来看，它是一种不成功的火炮。它的初速太低，无法使用反坦克高爆弹，因此根本对付不了装甲目标。在二战后期OB-25退出了现役。
",76.2毫米,NULL,600千克
火炮,榴弹炮,75毫米Le. IG 18步兵炮,NULL,3793米,{'$oid': '5cc9330e831b973d657f1f08'},http://images.huanqiu.com/sarons/2013/11/ba51b01a9a278f66674bf5a57ab70ea4.jpg,德国,NULL,NULL,880毫米,Inf. shell 18,259米/秒,"
75毫米Le. IG 18步兵炮是德国国防军装备的标准步兵炮，主要用来用于直瞄支援步兵作战。
",75毫米,1932年,400千克
火炮,榴弹炮,XM777榴弹炮,5080毫米,24700米,{'$oid': '5cc9330e831b973d657f1f09'},http://images.huanqiu.com/sarons/2013/11/e9d72fc61d05e8c6bb9f00e13db8ffb0.jpg,英国,英国维克斯公司,NULL,NULL,新式激光制导弹药,827米/秒,"
XM777式榴弹炮是英国为美国军队研制的一种牵引榴弹炮。该型榴弹炮比M198式榴弹炮轻45％，其战略部署性和战术机动性更强，可用海军陆战队的V-22倾转旋翼机空运。XM777式榴弹炮曾在3天的试验中发射1000多发炮弹和进行无数次的放置、置换和移动试验，射速试验表明该型榴弹炮每分的最大射速和持久射速都超过了相同口径的其它各型榴弹炮。战略部署性和战术机动性更强，行动更加灵活。大口径牵引式火炮的典范之作。
",155毫米,20世纪80年代初,3745千克
火炮,榴弹炮,T5式155毫米车载榴弹炮,NULL,NULL,{'$oid': '5cc9330e831b973d657f1f0a'},NULL,南非,迪奈尔集团LIW分公司和印度BEML公司联合研制,NULL,NULL,NULL,NULL,"
T5式榴弹炮是由G5式45倍口径155mm牵引式榴弹炮发展而来。该炮由迪奈尔集团LIW分公司和印度BEML公司联合研制。
",大口径炮,NULL,NULL
火炮,榴弹炮,L118式榴弹炮,NULL,21900米,{'$oid': '5cc9330e831b973d657f1f0b'},http://images.huanqiu.com/sarons/2013/11/fc3e77a9d3339346bf6b57dfc431fee2.jpg,英国,英国皇家军械公司,NULL,NULL, L31式榴弹,712米/秒,"
L118榴弹炮是英国皇家军械公司研制的一种105毫米牵引式轻型榴弹炮，1974年开始装备英军，1982年参加了马岛之战。其他使用国还有瑞士等十几个国家，澳大利亚获许生产。L118榴弹炮在设计和制造中采用了很多新材料和新工艺，炮管为高强度钢，上架由铝合金制成，大架为闭合式空心管状结构，整炮重量很轻。 它是当今射程最远的105毫米榴弹炮，具有很高的可靠性和机动性，行军状态炮身可回转180度，可用“黑鹰”直升机空运。
",105毫米,NULL,1860千克
火炮,榴弹炮,150毫米 s. IG.33步兵炮,NULL,4698米,{'$oid': '5cc9330e831b973d657f1f0c'},http://images.huanqiu.com/sarons/2013/11/13eb3e17030d775a1541d09a7c582bd1.jpg,德国,NULL,NULL,1680毫米,NULL,241米/秒,"
150毫米 s. IG.33步兵炮最早研制开始于1927年，1933年定型正式投产。1935年装备德军步兵师，威力较大。发射38式榴弹(重38公斤，初速240米/秒)的最大射程为4650米。战争开始时德军装备有该炮410门。150毫米s. IG.33步兵炮存在的主要问题是其重量太重，达2吨重。
",149.1毫米,1927年,1750千克
火炮,榴弹炮,M198式榴弹炮,NULL,30000米,{'$oid': '5cc9330e831b973d657f1f0d'},NULL,美国,NULL,NULL,NULL,常规弹药,563.9米/秒,"
M198式榴弹炮是美国于1976年研制定型的一种155毫米牵引榴弹炮。由于大量采用轻金属，使全炮重量比同口径其它榴弹炮轻近1000千克，具有射程远，威力大，机动性好，重量轻，可空运的特点，是一种适于直升机吊运且具有较好战略机动性的火炮。
",155毫米,1968年9月,7076千克
火炮,榴弹炮,63甲式105毫米榴弹炮,2364毫米,11270米,{'$oid': '5cc9330f831b973d657f1f0e'},NULL,中国,NULL,NULL,6000毫米,NULL,NULL,"
63甲式105毫米榴弹炮是目前中国台湾陆军现役火炮，63甲式是自63式改良而来，而63式则是仿美制M101 105毫米榴弹炮而来。
",105毫米,1928年,2260千克
火炮,榴弹炮,41式榴弹炮,1300毫米,6300米,{'$oid': '5cc9330f831b973d657f1f0f'},http://images.huanqiu.com/sarons/2014/01/e5b9e95934045239a7635b2f3097a51b.jpg,日本,大阪兵工厂,NULL,4300毫米,NULL,360米/秒,NULL,75毫米,1908年,540千克
火炮,榴弹炮,M-68榴弹炮,5110毫米,21000米,{'$oid': '5cc9330f831b973d657f1f10'},NULL,以色列,以色列索尔塔姆（Soltam）公司,NULL,NULL,NULL,725米/秒,NULL,155毫米,1968年-1970年,9500千克
火炮,榴弹炮,FH77A式155毫米榴弹炮,NULL,22000米,{'$oid': '5cc9330f831b973d657f1f11'},NULL,瑞典,瑞典博福斯公司,NULL,NULL,NULL,774米/秒,"
FH77A式155毫米榴弹炮是瑞典博福斯公司研制的口径155毫米的牵引式榴弹炮。1970年开始研制，1978年装备瑞典陆军，主要用于野战部队提供全般火力支援。
",155毫米,1970年,11450千克
火炮,榴弹炮,蒂格2000式155毫米加农榴弹炮,NULL,30000米,{'$oid': '5cc9330f831b973d657f1f12'},NULL,以色列,NULL,NULL,6045毫米,NULL,NULL,"
以色列研制的口径155毫米的牵引式加农榴弹炮。20世纪90年代初在M839/839P和M845/815P式155毫米加农榴弹炮基础上发展而成。1999年投产，主要用于出口。
",155毫米,20世纪90年代初,12000千克
火炮,榴弹炮,SFH 18榴弹炮,4450毫米,18200米,{'$oid': '5cc9330f831b973d657f1f13'},http://images.huanqiu.com/sarons/2014/01/3f35ef39252d17037bcd8e8ad91d15d1.jpg,德国,克虏伯公司,NULL,NULL,NULL,515米/秒,NULL,149毫米,1920年后,5530千克
火炮,榴弹炮,XT-69榴弹炮,NULL,29500米,{'$oid': '5cc93310831b973d657f1f14'},http://images.huanqiu.com/sarons/2014/01/31cf2e6fc9dfe5154cde5d7b5192aea7.jpg,中国,联勤202厂,NULL,7000毫米,NULL,895米/秒,"
G-5炮管为45倍径，1970年代台湾不具备5米长无缝钢管制造技术，202厂将两根无缝钢管以热套接合的方式接成7米粗胚，又重新设计了炮闩与半自动装填器，并增添G-5炮所没有的清膛器与炮口制退器，在1979年（民国68年）9月17日，花了5个月将G-5复制成功，试制火炮命名XT-69，试射结果以标准最大膛压搭配M107高爆弹下最大射程为25公里，虽远于当时陆军标准师级主力155公厘T-65，但仍与南非原版有相当差距。
",155毫米,1979-1982,12000千克
火炮,榴弹炮,85式122mm自行榴弹炮,724毫米,NULL,{'$oid': '5cc93310831b973d657f1f15'},NULL,中国,中国北方工业公司,NULL,7093毫米,NULL,NULL,"
85式122毫米自行榴弹炮是中国北方工业公司新研制的装甲履带式自行火炮，该炮性能达到九十年代初期世界同类产品的先进水平。该炮采用约32.75倍口径的长身管，射程远，精度高，威力大；可使用多种炮弹，对付多种目标；具有高低水平方向快速电操纵调炮和手动调炮两种方式，高低射界-3度至+70度，方向射界360度；采用半自动装弹机，最大射速6-8发/分；具有整车三防能力。
",122毫米,NULL,20500千克
火炮,榴弹炮,D-20式（M1955）152毫米加农榴弹炮,NULL,17410米,{'$oid': '5cc93310831b973d657f1f16'},http://images.huanqiu.com/sarons/2014/03/f877f2a4fcad5b3fb31a85bd5022b209.jpg,苏/俄,苏联斯维尔德洛夫斯克第9兵工厂彼得洛夫设计局,NULL,8690毫米,NULL,655米/秒,"
苏联斯维尔德洛夫斯克第9兵工厂和彼得洛夫设计局研制的口径152毫米的牵引式加农榴弹炮。主要用于歼灭有生力量，摧毁野战工事和技术兵器。第二次世界大战结束后开始研制，1955年装备苏军炮兵师和摩托化步兵师炮兵团，还出口到其他华约国家和印度、埃及等国。
",152毫米,1945年,5650千克
火炮,榴弹炮,Б-4М型203毫米重榴弹炮（B-4M）,5087毫米,17500米,{'$oid': '5cc93310831b973d657f1f17'},NULL,苏/俄,NULL,NULL,NULL,NULL,607米/秒,"
该炮只装备最高红军统帅部控制下的炮兵预备队和集团军属炮兵营，是各种阅兵仪式的宠儿。
",203毫米,NULL,15.8千克
