制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,关注度,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
NULL,1933年,机枪,勃朗宁M2H B 0.50英寸机枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93264831b973d657f1b0e'},http://images.huanqiu.com/sarons/2013/08/8261688714223d741692564568ef8093.jpg,美国,(5分),38.2千克,500发/分,墨西哥革命，第二次世界大战，印度支那战争，国共内战，多次中东战争，朝鲜战争，越南战争，老挝内战，柬埔寨内战，柬越战争，古巴革命，中越战争，福克兰群岛战争 ，冷战，柬泰边境冲突，美国入侵巴拿马，海湾战争，索马里内战，塞拉利昂内战，南斯拉夫内战，阿富汗战争和伊拉克战争，2011年利比亚内战，墨西哥毒品战争,"
M2勃朗宁机枪(M2 Machine Gun)俗称0.50重机枪，是由约翰·摩西·勃朗宁设计的大口径重机枪，发射12.7×99毫米(.50BMG)大口径弹药，常见用于步兵架设的火力阵地及军用车辆如坦克、装甲运兵车等，主要用途是攻击轻装甲目标，集结有生目标和低空防空。M2最初是一款水冷式防空机枪，20世纪30年代开发出了其气冷型用于装备坦克。该枪使用粗重枪管散热，因此称为HB，意思是重枪管(Heavy Barrel)。该枪由不同公司制造了大约300万支，几乎装备于除前社会主义国家外的每支武装部队。从1921年就开始使用服役直到21世纪。
",NULL,12.7毫米,NULL,1653毫米
贝达公司,1930年-1937年,机枪,布雷达30型轻机枪,枪械与单兵,800米,NULL,{'$oid': '5cc93265831b973d657f1b0f'},http://images.huanqiu.com/sarons/2013/08/14d1978ebeb723501343acaf94bfb1d0.jpg,意大利,NULL,10.3千克,475发/分,二战第二次意大利埃塞俄比亚战争,"
该枪是意大利在20世纪30年代制造的极其专业而独特的机枪，其独特之处在于供弹系统，布雷达30轻机枪是第二次世界大战时意大利军队所采用的轻机枪，于1930年由贝达（Breda）研制。
",NULL,6.5毫米,NULL,1230毫米
列宁格勒工厂,NULL,机枪,RPK机枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93265831b973d657f1b10'},http://images.huanqiu.com/sarons/2013/08/b8fd145d42d54182d147bff417adf4bc.jpg,苏/俄,NULL,4.8千克,660发/分,越战、1979年阿富汗战争、索马里内战、科索沃战争、2001年阿富汗战争、伊拉克战争、2011年利比亚内战 多次中东战争、多次在巴尔干半岛的武装冲突,"
RPK（俄语：Ручной пулемёт Калашникова，РПК）是苏联在1959年为苏军装备以替换RPD的轻机枪，发射7.62×39毫米口径M1943中间型威力枪弹，后来装备前华沙条约国家的军队，并散布到世界各地。
",NULL,7.62毫米,75发,1035毫米
韩国大宇公司,1987年,机枪,大宇K3机枪,枪械与单兵,3600米,NULL,{'$oid': '5cc93265831b973d657f1b11'},http://images.huanqiu.com/sarons/2013/08/4e80fc56a922de4743ee4c2cd1325a6b.jpg,韩国,NULL,6.9千克,1000发/分,哥伦比亚武装冲突1990年波斯湾战争2001年阿富汗战争2003年伊拉克战争,NULL,NULL,5.56毫米,NULL,1030毫米
杰格佳廖夫厂,1928年-1941年,机枪,杰格佳廖夫DP机枪,枪械与单兵,800米,NULL,{'$oid': '5cc93265831b973d657f1b12'},NULL,苏/俄,NULL,9.1千克,550发/分,二战,NULL,NULL,7.62毫米,NULL,1290毫米
Denel Land Systems（丹尼尔土地系统）,1986年,机枪,维克托SS77枪机,枪械与单兵,1800米,NULL,{'$oid': '5cc93265831b973d657f1b13'},http://images.huanqiu.com/sarons/2013/08/cec4fbc4ad66be909db9ef4671e87c6f.jpg,南非,NULL,9.6千克,900发/分,南非边境战争,"
SS77是南非在1977年研制的7.62x51毫米通用机枪。1986年正式装备南非国防军。SS77是脱胎于PKM通用机枪的南非改进版，核心机构与PKM大同小异，SS77在导气管上加装了一个塑料制长方形护手，枪托改进成了一个三角骨架型的折叠枪托。机匣盖和机匣都为机加工件，整体结构非常结实。虽然知名度不如Mag、Mg3、Pk等机枪，但大部分轻武器专家认为SS77是最好的通用机枪之一。还配套开发了一系列部件，可用于改装SS77以发射5.56×45毫米枪弹。最近开发了口径为5.56毫米的产品，称为“迷你SS”。
",NULL,7.62毫米,NULL,1120毫米
德意志武器与弹药公司 （DWM），史宾道与爱尔福特兵工厂，汉阳兵工厂,1908年-1918年,机枪,马克沁MG08机枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93265831b973d657f1b14'},http://images.huanqiu.com/sarons/2013/08/c51ac1b6d6e1a621f40e80f5cc5e0254.jpg,德国,NULL,26.4千克,450发/分,辛亥革命一战国民革命军北伐战争啤酒馆政变芬兰内战苏德战争解放战争二战朝鲜战争越南战争,NULL,自动枪支,7.92毫米,NULL,1175毫米
列宁格勒工厂,1977年,机枪,RPK-74机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93265831b973d657f1b15'},http://images.huanqiu.com/sarons/2013/08/4fe331eaef68d057e2182d27fd2b8b21.jpg,苏/俄,NULL,4.6千克,650发/分,1979年阿富汗战争两次车臣战争伊拉克战争,"
RPK-7机枪是由AK-74的改进而成，研制目的是为了满足苏军的火力支援，以取代原有的7.62×39毫米RPK轻机枪。该枪由卡拉什尼科夫设计。
",自动枪支,5.45毫米,NULL,1060毫米
杰格佳廖夫厂,1941年-1950年,机枪,杰格佳廖夫DPM机枪,枪械与单兵,800米,NULL,{'$oid': '5cc93265831b973d657f1b16'},http://images.huanqiu.com/sarons/2013/08/91eddc1b32d1431be41764804cba071d.jpg,苏/俄,NULL,9.1千克,550发/分,二战,NULL,NULL,7.62毫米,NULL,1290毫米
新加坡特许工业公司（CIS）,1988年,机枪,ClS 0.50英寸机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93265831b973d657f1b17'},http://images.huanqiu.com/sarons/2013/08/7c81d107afa2d0b11194b56104f35f74.jpg,新加坡,NULL,30千克,600发/分,NULL,"
CIS 0.50英寸机枪是一挺由新加坡国防企业新加坡特许工业公司（现改称为新科动力新加坡科技动力）在1980年代后期自主研发和生产的气动式操作、气冷及弹链供弹式重机枪，发射12.7×99 毫米（.50 BMG）北约口径制式步枪子弹。
",NULL,12.7毫米,NULL,1778毫米
门多萨产品公司,大约1965年-1980年,机枪,门多萨RM2机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93266831b973d657f1b18'},NULL,墨西哥,NULL,6.3千克,600发/分,NULL,NULL,NULL,7.62毫米,NULL,1092毫米
NULL,1915年-1918年,机枪,马克沁08/15机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93266831b973d657f1b19'},http://images.huanqiu.com/sarons/2013/08/c38ac01280046564ad7df7ebd0509511.jpg,德国,NULL,14.1千克,450发/分,NULL,NULL,自动枪支,7.92毫米,NULL,1448毫米
新加坡特许工业公司,1982年,机枪,阿尔蒂马克斯机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93266831b973d657f1b1a'},http://images.huanqiu.com/sarons/2013/08/3e62f2ed417d9f0e7104822172ca59b0.jpg,新加坡,NULL,4.8千克,550发/分,印尼及菲律宾反游击行动2001年阿富汗战争2006年斐济军事政变,"
阿尔蒂马克斯机枪由新加坡特许工业公司研制，与SAR-80 5.36毫米步枪配合使用。不幸的是，新加坡特许工业公司没有抓住时机，在FN米尼米面世后一段时间才推出阿尔蒂马克斯机枪，结果是原本可能选择阿尔蒂马克斯的几个武装部队已承诺购买米尼米。阿尔蒂马克斯是一款非常优秀的武器，射击时尤其舒适，因为它使用了长行程枪机和缓冲系统，将后坐力降到了极低的水平。该枪可使用弹盘或弹匣供弹，并使用现在非常普遍的枪机框以及由气体活塞驱动的回转枪机。该枪现装备新加坡武装部队，并在有些军队中获得了很高的评价。同时还销往津巴布韦、菲律宾、洪都拉斯等国。
",NULL,5.56毫米,NULL,1030毫米
法国国营查特勒尔特兵工厂(MAC),1930年-1940年,机枪,查特勒尔特M1924/29机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93266831b973d657f1b1b'},http://images.huanqiu.com/sarons/2013/08/a606bcc729c33219808d31b672ff6d68.jpg,法国,NULL,9.2千克,500发/分,第二次世界大战,NULL,自动枪支,7.5毫米,NULL,1082毫米
NULL,1938年-1980年,机枪,DShK机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93266831b973d657f1b1c'},http://images.huanqiu.com/sarons/2013/08/8650de8218393fa29855d295dee7fa4f.jpg,苏/俄,NULL,34千克,600发/分,二战，冷战，阿富汗战争（1979年，2001年），伊拉克战争等,"
DShK1938重机枪，又称DShK（俄文：ДШК，Дегтярёва-Шпагина Крупнокалиберный，英文：Degtyaryov-Shpagin Large-Calibre），是苏联从1938年二战时期开始装备的重型防空机枪。
",NULL,12.7毫米,NULL,1625毫米
捷格佳廖夫设计局等,1964年,机枪,PK机枪,枪械与单兵,1000米,1000000,{'$oid': '5cc93266831b973d657f1b1d'},http://images.huanqiu.com/sarons/2013/08/5b36762ff5af8aa0224405b4b3eea887.jpg,苏/俄,NULL,8.9千克,650发/分,越战、1979年阿富汗战争、车臣战争、两伊战争、海湾战争、阿富汗战争 (2001年)、伊拉克战争、塔吉克内战、2008年南奥塞梯战争、2011年利比亚内战,"
PK机枪（英文：Pulemyot Kalashnikova，俄文：Пулемет Калашникова）是由AK-47突击步枪的设计者米哈伊尔·季莫费耶维奇·卡拉什尼科夫在1960年代所设计的通用机枪，用于取代当时设计老旧的RPD轻机枪和SG-43中型机枪，并大量装备苏联军队，PK通用机枪在苏军中的位置等同北约国家的FN MAG（M240）、M60或MG3。
",NULL,7.62毫米,NULL,1193毫米
NULL,1980年,机枪,NSV机枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93266831b973d657f1b1e'},http://images.huanqiu.com/sarons/2013/08/23318351cfea5811f060bf7f42d71413.jpg,苏/俄,NULL,25千克,750发/分,1979年阿富汗战争、海湾战争、纳戈尔诺-卡拉巴赫战争、两次车臣战争、 2001年阿富汗战争、伊拉克战争、2011年利比亚内战,"
苏联开发的NSV机枪，由于整体性能卓越，且多处结构有所创新，曾被华约成员国广泛用作步兵通用大口径机枪，与西方广泛使用的勃朗宁M2重机枪相抗衡。当今，某些北约成员国还推荐并试用NSV取代老式的M2。
",NULL,12.7毫米,NULL,1560毫米
NULL,1910年-1950年,机枪,马克沁1910机枪,枪械与单兵,650米,NULL,{'$oid': '5cc93266831b973d657f1b1f'},http://images.huanqiu.com/sarons/2013/08/44b96dbe5a6833411fb085a139c7f9e8.jpg,苏/俄,NULL,23.8千克,550发/分,第一次世界大战，俄国革命，波兰和苏联的战争，芬兰内战，西班牙内战，冬季战争，中国内战，第二次世界大战，第二次中日战争，朝鲜战争，越南战争,"
日俄战争后，各军事大国都认识到机枪的重要性。尽管俄国在战争中失败了，但对机枪的研制生产却给予更大重视，将更多的战略资源投入到该领域中。根据德国马克沁重机枪的技术，俄国生产出M1905式和M1910式重机枪，其中M1910式重机枪影响俄国非常深远。
",NULL,7.62毫米,NULL,1107毫米
NULL,1917年-1945年,机枪,勃朗宁M 1917机枪,枪械与单兵,900米,2000000,{'$oid': '5cc93266831b973d657f1b20'},http://images.huanqiu.com/sarons/2013/08/271dcf2921bec8277d2e8b91b4a7f957.jpg,美国,NULL,47千克,450发/分,第一次世界大战，第二次世界大战，墨西哥革命，印度支那战争，国共内战，韩战，越战，老挝内战，柬埔寨内战，古巴革命，柬越战争，寮泰边境战争，中越边境战争,"
M1917重机枪是美国有名枪械工程师勃朗宁设计的水冷式军用重机枪，后来的所有型号(BAR除外)都以该枪为基础。由第一次世界大战末期美国参战开始成为美军主力重机枪，直至第二次世界大战在太平洋群岛的争夺战当中仍是主力火力支援武器，期间证明其可靠性极佳，即使连续射击了39500发子弹但只有一个零件故障，故即使美军装备了风冷式的M1919，但M1917仍继续使用至韩战。该枪可靠而经久耐用。一直到20世纪50年代水冷式机枪被气冷式机枪所取代才退役。
",NULL,7.62毫米,NULL,965毫米
恩菲尔德兵工厂,1936年,机枪,布伦机枪,枪械与单兵,550米,NULL,{'$oid': '5cc93267831b973d657f1b21'},http://images.huanqiu.com/sarons/2013/08/1105e85d824b0ab5474e1e375a8bf0fb.jpg,英国,NULL,10.2千克,500发/分,二战，中国抗日战争，国共内战，朝鲜战争，越南战争，第二次中东战争，马岛战争，波斯湾战争,"
布伦式轻机枪也称布朗式轻机枪，是第二次世界大战中英联邦国家军队的支柱。1935年英国正式将该枪列装为制式装备，并从捷克斯洛伐克购买了该枪的生产权，由恩菲尔德兵工厂制造，1938年投产，命名为“MKI 7.7毫米布伦式轻机枪”，布伦式轻机枪良好的适应能力使得它的使用范围十分广泛，在进攻和防御中都被使用，被战争证明的最好的轻机枪之一。它和美国的勃朗宁自动步枪一样，能够提供攻击和支援火力。该枪后来改造成了7.62毫米北约口径，现在仍在印度使用。该枪有几种型号，它们的区别在于瞄具、枪管长度、两脚架和制造工艺的细腻程度，但操作原理都相同。
",NULL,7.62毫米,NULL,1150毫米
NULL,1946年-1954年,机枪,RP-46机枪,枪械与单兵,800米,NULL,{'$oid': '5cc93267831b973d657f1b22'},http://images.huanqiu.com/sarons/2013/08/5459e55fc3de98285d32eb9d4a7f431b.jpg,苏/俄,NULL,13千克,600发/分,利比亚内战,"
RP-46机枪是DPM的现代化改进型，旨在用作连属支援武器使用，可惜苏联红军并不是用了很长时间，在1961年就被PK通用机枪取代。
",自动枪支,7.62毫米,NULL,1283毫米
西班牙国营圣•巴巴拉兵工厂,1982年,机枪,赛特迈阿梅利机枪,枪械与单兵,1650米,NULL,{'$oid': '5cc93267831b973d657f1b23'},http://images.huanqiu.com/sarons/2013/08/1fd792e5082149d6b3695b8f570f48af.jpg,西班牙,NULL,6.4千克,900发/分,2001年阿富汗战争墨西哥毒品战争,"
阿梅利机枪看上去就像德国MG42机枪的缩小型，但其延迟后坐系统实际上是从圣·巴巴拉的CETME步枪改进而来的，与赫克勒-科赫步枪使用的延迟后坐系统极其相似。该枪使用5.56×45毫米北约制式枪弹，实际上是一款轻型突击机枪，因为它轻便、紧凑，携带方便，可用于冲锋作战的最后阶段。该枪的早期设计使用与MG42机枪相似的T型拉机柄，但生产样机采用的是更简单的拉机柄。该枪由西班牙军事装备技术研究中心设计，并由西班牙国营圣·巴巴拉兵工厂制造。它于1982年问世，并从20世纪80年代后期开始装备西班牙陆军。
",NULL,5.56毫米,NULL,980毫米
NULL,1929年-1945年,机枪,杰格佳廖夫DT/DTM机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93267831b973d657f1b24'},http://images.huanqiu.com/sarons/2013/08/e45ad43188a6ce57b07b8bbdb0c8758e.jpg,苏/俄,NULL,12.9千克,600发/分,NULL,"
DT坦克机枪、DTM改进型坦克机枪与DP式轻机枪基本相同，但装备于坦克和其他装甲车辆之上。该枪枪管更重，采用双层弹盘，装备可伸缩金属枪托和手枪握把。
",NULL,7.62毫米,NULL,1181毫米
BAE系统公司,1985年,机枪,L86A1/L86A2轻型支援武器,枪械与单兵,650米,NULL,{'$oid': '5cc93267831b973d657f1b25'},http://images.huanqiu.com/sarons/2013/08/d626845f4b7c27dbbc1306e1ab93e76d.jpg,英国,NULL,5.4千克,700发/分,NULL,"
该枪为英国5.56毫米口径班用自动武器或轻型支援武器(LSW)，使用大约80%的L85步枪零件，但枪管更重、更长。LSW经历了与L85单兵武器相同的改进流程，最终的成果为L86A2，但并非所有武器都进行了改进。L86A1/A1的弹匣容弹量有限，这降低了其战术用途，在军事战场中，该枪已被FN米尼米所取代。
",NULL,5.56毫米,NULL,900毫米
维克斯公司,1912年-1945年,机枪,维克斯机枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93267831b973d657f1b26'},http://images.huanqiu.com/sarons/2013/08/958886f91c678dc406da84b9415f55ee.jpg,英国,NULL,18.1千克,450发/分,一战查科战争俄国内战中国抗日战争二次大战国共内战印巴战争第一次中东战争韩战北爱尔兰问题刚果危机南非边境战争,"
维克斯机枪（Vickers），是第一次世界大战与第二次世界大战期间英国军队所使用的中型机枪。基于维克斯机枪优异的设计，使它成为世界上著名的战争武器之一。当我们回首上个世纪两次大战间的英国陆军装备时，有两件武器是绝对不容忽视的。一件是李·恩菲尔德式步枪，另一件就是维克斯式中型机枪。在二战前，维克斯机枪就已经是57岁的“知天命之年”了；而战后直到1968年，英军才正式宣布维克斯机枪退出现役，此后该枪在一些英联邦国家里继续使用了一段时间。1972年的印巴战争中，巴基斯坦军队还在使用该枪。
",NULL,7.7毫米,NULL,1155毫米
NULL,1962年,机枪,杰格佳廖夫RPD机枪,枪械与单兵,800米,NULL,{'$oid': '5cc93267831b973d657f1b27'},http://images.huanqiu.com/sarons/2013/08/96edbd45407f922e50f56a3fc158011b.jpg,苏/俄,NULL,7.5千克,650发/分,越南战争、1979年阿富汗战争、海湾战争、 多次中东战争（第一、二、三、四和五次中东战争）、2001年阿富汗战争、伊拉克战争、索马里内战、2011年利比亚内战、墨西哥毒品战争,"
RPD（英语：Ruchnoy Pulemet Degtyarova，俄语：Ручной Пулемет Дегтярева，РПД，意思是“杰格佳廖夫轻机枪”）是由瓦西里·杰格佳廖夫（Василий Алексеевич Дегтярёв）设计，苏联制的7.62×39毫米轻机枪。该枪用于取代苏联7.62×54毫米DP机枪。它是苏联战后的第一代班支援武器。
",NULL,7.62毫米,NULL,1037毫米
NULL,1934年,机枪,勃朗宁M1919A4机枪,枪械与单兵,1400米,NULL,{'$oid': '5cc93267831b973d657f1b28'},http://images.huanqiu.com/sarons/2013/08/c8f85f628155e12e40432f214b60f00a.jpg,美国,NULL,14千克,600发/分,墨西哥革命，第二次世界大战，抗日战争，冷战，2011年利比亚内战,"
该枪是1918年-1919年研发的M1917气冷型，用于装备美国坦克部队。枪管缩短到457毫米，并采用穿孔的枪管套筒，为便于在坦克外使用，装配了一个小型三脚架。该枪表明，气冷式机枪完全可以与水冷式机枪媲美。经过众多改进后，最终的成果为M1919A4，其枪管长度与M1917相同。20世纪20年代早期，该枪被美国骑兵部队采用；20世纪30年代末期，该枪成为所有部队的地面标准武器，直到20世纪60年代被M60所取代。在世界各地，很多国家在该枪被新式机枪(如MAG 58)所取代后用它装备后备部队，但有些被改装成使用7.62毫米北约制式枪弹。
",NULL,7.62毫米,NULL,964毫米
赫斯塔尔美国分公司（FN）,1994年,机枪,M240B和M240G机枪,枪械与单兵,3725米,NULL,{'$oid': '5cc93267831b973d657f1b29'},http://images.huanqiu.com/sarons/2013/08/b0351092ce01815460e884b9bcd318e1.jpg,美国,NULL,12.3千克,750发/分,2001年阿富汗战争，2003年伊拉克战争,"
M240B是美国陆军和海军陆战队目前的制式标准步兵中型机枪，它同时也在美国空军、海军和海岸警卫队之中服役，是1990年代中开始装备的M240型号。

对于M240G机枪，美军第75游骑兵团早在1990年代早期率先购买了M240G步兵型机枪取代原来服役的M60E3通用机枪，该武器现为美国海军陆战队装备的步兵型机枪。
",NULL,7.62毫米,NULL,1232毫米
美国萨克防务公司,1960年,机枪,M60／M60E1机枪,枪械与单兵,1100米,NULL,{'$oid': '5cc93268831b973d657f1b2a'},http://images.huanqiu.com/sarons/2013/08/43d2e2acf9460c8ec8067fe0c4f9e707.jpg,美国,NULL,16千克,550发/分,越南战争，柬埔寨内战，柬越战争， 海湾战争、阿富汗战争 (2001年)，伊拉克战争，北爱尔兰问题，柬泰边境冲突，哥伦比亚武装冲突，2011年利比亚内战，墨西哥毒品战争,"
M60／M60E1机枪是美国斯普林菲尔德兵工厂研制的。M60式通用机枪是世界上最著名的机枪之一，除美军装备外，还有韩国、澳大利亚等30多个国家军队使用它。M60及其改进型M60E1是美国陆军的标准班用通用机枪。
",NULL,7.62毫米,NULL,1077毫米
温彻斯特公司,1933年,机枪,勃朗宁M2H B 0.50英寸机枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93268831b973d657f1b2b'},NULL,美国,NULL,38.2千克,500发/分,NULL,"
M2勃朗宁机枪(M2 Machine Gun)俗称0.50重机枪(Browning Machine Gun，Cal. .50，M2HB，Flexible.)，是世界上最著名的大口径机枪之一，发射12.7×99毫米(.50BMG)大口径弹药，常见用于步兵架设的火力阵地及军用车辆如坦克、装甲运兵车等，主要用途用途是攻击轻装甲目标，集结有生目标和低空防空。从1921年就开始使用服役至到21世纪。HB，意思是重枪管(HeavyBarrel)。
",NULL,12.7毫米,NULL,1653毫米
通用电气公司,1986年,机枪,GAU19/A航空机枪,枪械与单兵,1800米,NULL,{'$oid': '5cc93268831b973d657f1b2c'},http://images.huanqiu.com/sarons/2013/08/8dcc9f09dbbb1fe41f16db71f0476345.jpg,美国,NULL,63.5千克,2000发/分,NULL,"
该枪最初由通用电气公司研发，称为GECAL50，被美国军队采用后获得更正式的名称。它是一款三管加特林式武器，需要外部动力，如车载电池。其火力比标准勃朗宁M2HB强得多，但重量增加有限，而后坐力更小。该枪可采用两种射速，其构造类似于加特林机枪，机匣前面有三根旋转的枪管，机匣中的凸轮控制三个枪栓的运动。该枪可发射任何0.50英寸勃朗宁枪弹，包括反轻装甲脱壳穿甲弹。供弹系统使用标准机枪弹链，在弹链进入除链器后将枪弹从弹链取下。
",NULL,12.7毫米,NULL,1181毫米
