大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,宽度,简介,最大速度,战斗全重
坦克装甲车辆,装甲侦察车,WZ523/ZSL93式轮式装甲侦察车,NULL,NULL,2.73米,{'$oid': '5cc932f2831b973d657f1e7a'},http://images.huanqiu.com/sarons/2013/11/c5e637501b5e36ec544da8370afece0c.jpg,中国,轮式,12人,6.02米,NULL,2.55米,"
WZ523是一种中国生产6轮式装甲运兵车。其结构与比利时的西布迈斯和南非的獾式轮式装甲车相似。曾在1984年10月亮相国庆阅兵，美国军称为M1984。该型车并没有进入大规模的服役。
",80公里/小时,15000千克
坦克装甲车辆,装甲侦察车,凯迪拉克·盖奇侦察车,1977年,凯迪拉克·盖奇公司,2.159米,{'$oid': '5cc932f2831b973d657f1e7b'},http://images.huanqiu.com/sarons/2013/11/94ed483538b0fb162e7dca8a3a6e334f.jpg,美国,轮式,5人,5.69米,846公里,2.057米,"
突击队侦察车(4×4)由凯迪拉克·盖奇公司(今达信海上与地面系统公司的组成部分)自行投资研发，第一辆样车于1977年面世。虽然其主要角色为侦察车，但几乎不用修改就能执行多种任务，例如反坦克车和战地指挥车。
",88公里/小时,7240千克
坦克装甲车辆,装甲侦察车,“大山猫”装甲车,1985年底,NULL,2.8米,{'$oid': '5cc932f3831b973d657f1e7c'},http://images.huanqiu.com/sarons/2013/11/f776d87971385191b6b2d1457e3bf71b.jpg,南非,轮式,4人,7.09米,1000公里,2.9米,"
“大山猫”装甲车体重达28吨。它主要用来执行战斗侦察任务，所以也有人称它为“大山猫”轮式侦察车。第一批量产车完成于1989年，“大山猫”(Rooikat)第一次装备部队是在1990年。“大山猫”装甲车的快速行驶能力和远程机动能力也是相当出色的。它是一代地面战斗车辆的典范，能够执行攻击性的搜寻与摧毁任务，而且适应性极强,机动力特别高。
",120公里/小时,28000千克
坦克装甲车辆,装甲侦察车,“蝎”式轻型侦察车,1993年,O-tokar Otobus Karoseri Sanayi As,2.563米,{'$oid': '5cc932f3831b973d657f1e7d'},http://images.huanqiu.com/sarons/2013/11/07b2c06b2330490b3d7a1d7bfcf40b24.jpg,土耳其,轮式,3人,4.91米,650公里,1.91米,"
“蝎”式(Akrep)由O-tokarOtobusKaroseriSanayiAs自行投资研发，实际就是在当地生产的路虎(4×4)底盘上安装全装甲车体，可为乘车者防御轻武器攻击。第一批样车完成于1993年，接着在1994年完成第一批量产车。
",125公里/小时,3700千克
坦克装甲车辆,装甲侦察车,M8/猎犬/Greyhound装甲车,1943年3月-1945年6月,福特汽车,2.25米,{'$oid': '5cc932f3831b973d657f1e7e'},http://images.huanqiu.com/sarons/2013/12/e6a3a11d461e504e73e0a07415f06483.jpg,美国,轮式,4人,5米,563公里,2.54米,M8轻型装甲车是美国福特汽车于二战时期生产的6x6装甲车，主要装备欧洲和远东地区美军及英军，英军把M8取名为“灰狗”（Greyhound）。直至2006年，一些第三世界国家仍有M8服役。与二战德国同类的车相比，尽管美国轮式装甲车辆数量庞大，但种类比较单一，性能也比较落后。此时半路改行的M8轮式坦克歼击车填补了美制轮式装甲侦察车的空白。,90公里/小时,7800千克
坦克装甲车辆,装甲侦察车,87式侦查警戒车,1983年,小松制作所,2.8米,{'$oid': '5cc932f3831b973d657f1e7f'},http://images.huanqiu.com/sarons/2013/11/093b6cc015e71e5dc6d605098c953728.jpg,日本,轮式,5人,5.99米,500公里,2.48米,"
87式侦察警戒车由小松制作所根据日本陆上自卫队的需求而研制的装甲车，与三菱重工开发的82式指挥通信车共用许多零部件。据悉此种装甲车总数共有250辆。安装有厄里肯公司研制的KBA型25毫米机关炮，以及一挺74式7.62毫米并列机枪。87式侦察警戒车并无水渡功能。
",100公里/小时,15000千克
坦克装甲车辆,装甲侦察车,“山猫”侦察车,1975年,莱茵金属地面系统公司,2.905米,{'$oid': '5cc932f3831b973d657f1e80'},http://images.huanqiu.com/sarons/2013/11/b7394aa0e13ccc24250278eedcfde1f7.jpg,德国,轮式,4人,7.743米,730公里,2.98米,莱茵金属地面系统公司所研制的“山猫”侦察车具备完全两栖能力，由车尾安装的两具推进器推动。最早开始服役时，“山猫”拥有供所有乘员使用的红外线夜视仪，但现在已被热成像夜视设备取代。如今的山猫侦察车主要装备于德国。,90公里/小时,2000千克
坦克装甲车辆,装甲侦察车,AMX-10RC侦察车,1970年9月,伊西莱穆利诺制造厂,2.66米,{'$oid': '5cc932f3831b973d657f1e81'},http://images.huanqiu.com/sarons/2013/11/3a3ffe7d85025355183f0de697f0e53f.jpg,法国,轮式,4人,9.15米,1000公里,2.95米,AMX-10 RC轮式侦察车是法国陆军70年代末期装备的装甲侦察车，摩洛哥和卡塔尔也有装备。装有1门105毫米线膛炮，并配备多观瞄侦察器材，具有较强的反坦克火力。参加海湾战争的法国快速部署部队共装备72辆，主要用于执行侦察和反坦克任务。车体和炮塔均为全焊接的铝制结构，可调节车底距地高度，能水陆两栖。,85公里/小时,15880千克
坦克装甲车辆,装甲侦察车,“费列特”侦察车,1949年,戴姆勒有限公司,1.875米,{'$oid': '5cc932f3831b973d657f1e82'},http://images.huanqiu.com/sarons/2013/11/89f58c75c758fe8c03f7ffaa75b88ae3.jpg,英国,轮式,2人,NULL,306公里,1.905米,"
用于取代二次世界大战时期应用的戴姆勒公司的丁戈(Ding0)侦察车。“费列特”Mk 2/3的驾驶员位于前部，车长在中部，发动机在后部。炮塔手动旋转范围为360°，7.62毫米机枪的俯仰范围为-15°～+45°。炮塔与许多阿尔维斯公司“撒拉逊”(6×6)装甲人员运输车所采用的相同。备用轮胎在车体左侧，紧急舱门在另一侧。车体正面通常横置着槽板，利于穿越壕沟和沙地。
",93公里/小时,4400千克
坦克装甲车辆,装甲侦察车,潘哈德VBL轮式侦察车,1978年,NULL,1.7米,{'$oid': '5cc932f3831b973d657f1e83'},NULL,法国,轮式,3人,3.87米,800公里,2.02米,潘哈德VBL轮式侦察车车体是由克勒索-卢瓦尔工业（Creusot-Loire Industriel）公司制造的全焊接THD钢结构，发动机在车前部，乘员舱位于后部。潘哈德VBL轮式侦察车的设计采用了许多标准的和经过验证的民用零部件。,95公里/小时,2890千克
坦克装甲车辆,装甲侦察车,BA-9装甲车,1939年,NULL,NULL,{'$oid': '5cc932f4831b973d657f1e84'},http://images.huanqiu.com/sarons/2013/12/cbd468d313ebc4eeb2aa8e9213225549.jpg,苏/俄,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,装甲侦察车,BAD双炮塔车,1932年,NULL,NULL,{'$oid': '5cc932f4831b973d657f1e85'},NULL,苏/俄,轮式,NULL,NULL,NULL,NULL,"
这种双炮塔车是前苏联于1932年研发，主要任务是侦察。BAD采用加长的AMO F-15型4X2汽车底盘和福特-AA底盘。由于该车前轮车距很小，加之使用窄胎，使它对道路条件非常挑剔，显然作为越野车不合格，而两栖与铁道等多种设计指标均未达成，仅生产寥寥数量试验车，虽然设计不成功，但得到了很多经验教训，为后续研发奠定了基础。
",NULL,NULL
坦克装甲车辆,装甲侦察车,霍特斯伯4985型轮式装甲人员输送车,1985年,彭曼工程公司霍特斯伯装甲产品分公司,2.57米,{'$oid': '5cc932f4831b973d657f1e86'},NULL,英国,轮式,8人,4.66米,300公里,1.87米,"
该车也称散兵(Skirmisher)输送车，由英国彭曼工程公司霍特斯伯装甲产品分公司投资研制，于1985年首次展出。该车已在某些远东和中东国家装备，用于高速巡逻。
",110公里/小时,3850千克
坦克装甲车辆,装甲侦察车,BA-11D装甲车,1939年,齐斯工厂,2.4米,{'$oid': '5cc932f4831b973d657f1e87'},NULL,苏/俄,轮式,NULL,5.3米,NULL,2.5米,NULL,NULL,8650千克
坦克装甲车辆,装甲侦察车, 智利轮式装甲人员输送车,1986年,卡登工业公司,1.985米,{'$oid': '5cc932f4831b973d657f1e88'},NULL,智利,NULL,7人,6.25米,1200公里,2.66米,"
智利轮式装甲人员输送车是智利马基纳公司研制的一种多用途轮式装甲车，主要用作内部警卫和机场及高危险地区巡逻等。目前还在生产中。
",100公里/小时,9300千克
坦克装甲车辆,装甲侦察车,M3侦察车,1941年-1944年（M3A1）,怀特汽车公司（White Motor）,2米,{'$oid': '5cc932f4831b973d657f1e89'},NULL,美国,NULL,8人,5.63米,403公里,2.1米,"
M3侦察车（M3 Scout Car）是美国在二战时期装备的一种4x4装甲车，主要用于巡逻、侦察、指挥、救护和火炮牵引用途。
",81公里/小时,5670千克
