图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,自持力,型宽,次型,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/08/08d9ad283090bd497fe72a217949c7e5.jpg,"苏联""6623""型(""Komar""级)",现役,79.2吨,NULL,芜湖造船厂、上海求新造船厂,NULL,30节航速下400英里,NULL,6.3米,NULL,舰船舰艇,导弹艇,NULL,27米,中国,地中海印度洋太平洋,37.5节,NULL,“河谷”级(024型)快速攻击导弹巡逻舰,1960年,{'$oid': '5cc931fe831b973d657f182f'},1962年8月,NULL,500吨以内,1964年8月
http://images.huanqiu.com/sarons/2013/07/731dbb21a833ebefc4f013af498cb5d6.jpg,NULL,NULL,39吨,"
“达布尔”(Dabur)/“巴拉德罗”/“格罗梅特·迪亚兹”/“瓦伊”级巡逻舰，是以色列政府用于执行打击巴勒斯坦恐怖活动的特殊类型巡逻快艇。该级舰于上世纪70年代开始建造，并广销阿根廷、智利、斐济、以色列、尼加拉瓜。现逐渐被“德沃拉”系列艇所代替。
",NULL,NULL,13节航速下450英里,NULL,5.5米,“德沃拉”系列艇,舰船舰艇,导弹艇,NULL,19.8米,以色列,NULL,19节,NULL,“达布尔”(Dabur）级巡逻舰,20世纪70年代末,{'$oid': '5cc931ff831b973d657f1830'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/9e62f6db34a7b5c9472150f89ae0d15f.jpg,NULL,现役2艘,170吨,NULL,挪威卑尔根机械工厂,NULL,NULL,NULL,6.3米,NULL,舰船舰艇,导弹艇,14人,36.6米,挪威,大西洋,36节,NULL,“卡帕伦”(Kaparen)级快速导弹巡逻舰,20世纪70年代,{'$oid': '5cc931ff831b973d657f1831'},1979年8月8日,NULL,500吨以内,1980年8月7日
http://images.huanqiu.com/sarons/2013/07/799aa922eeda1696a55a8e3eda21be22.jpg,NULL,现役,220吨,NULL,上海江南造船厂,NULL,210海里,NULL,12.2米,NULL,舰船舰艇,导弹艇,12人,42.6米,中国,NULL,50节,NULL,“红稗”级（022型）快速攻击导弹艇,2004年4月,{'$oid': '5cc931ff831b973d657f1832'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/b23cbdd77822cc354b76efe9671303cd.jpg,Tuima级导弹艇,退役（芬兰）,300吨,"
“赫尔辛基”级导弹艇已经在芬兰海军服役近30年，优良的结构设计使其能很好的适应波罗的海及其群岛海域的恶劣海况。
",芬兰赫尔辛基船厂,NULL,NULL,NULL,8.9米,劳马级导弹艇,舰船舰艇,导弹艇,NULL,45米,芬兰,NULL,30节,NULL,赫尔辛基”(Helsinki)级快速导弹巡逻舰,1980年11月,{'$oid': '5cc931ff831b973d657f1833'},NULL,NULL,500吨以内,1981年9月1日
http://images.huanqiu.com/sarons/2013/07/7ff0617d0a1fe8b331edc43e5438c3ef.jpg,劳马级导弹艇,在役,270吨,NULL,阿克(Aker)芬兰船厂下属的老马船厂,NULL,30节航速下航程500英里,NULL,8.3米,NULL,舰船舰艇,导弹艇,NULL,50.8米,芬兰,NULL,32节,NULL,“哈米纳”(Hamina)级快速导弹巡逻舰,1996年（首艇“哈米纳”号）,{'$oid': '5cc931ff831b973d657f1834'},NULL,NULL,500吨以内,1998年8月24日
http://images.huanqiu.com/sarons/2013/07/06cd22addc0bdea69c09dcc16a12d165.jpg,“达布尔”级沿海巡逻艇,在役,72吨,"
“超级德沃拉”Mk-III是以色列海军速度最快的巡逻艇，也是当今世界上最先进的巡逻艇，主要在沿海地区、江河口岸活动，保护海岸线，拦截恐怖分子。其前身“超级德沃拉”系列巡逻、攻击艇在中东地区数十年的战斗和维和行动中，经受了战火考验，能够执行全天候近岸和沿海监视、搜索、营救、海警(侦察、拦截、打击海盗、恐怖主义分子、走私、偷渡及其他非法行为)等行动任务，同时还可执行“蓝水”海军行动，与空中、海上和地面部队配合，完成各种军事任务。
",以色列拉姆塔公司,NULL,17节航速下1200英里,NULL,5.7米,NULL,舰船舰艇,导弹艇,NULL,27米,以色列,NULL,52节,NULL,“德沃拉/超级德沃拉”Mk II/III级通用快速巡逻舰,NULL,{'$oid': '5cc931ff831b973d657f1835'},NULL,NULL,500吨以内,2004年11月11日（MK-III）
http://images.huanqiu.com/sarons/2013/07/8f08eac80e9513aadb8f8ada5702424b.jpg,NULL,在役,480吨,"
在丹麦的""标准-灵活 300""（SF 300）计划下，丹麦海军提出新型""弗莱维费斯肯""级多任务舰艇的建造意见。“弗莱维费斯肯”级采用了标准船体和集装箱化武器系统和设备，能够允许舰艇快速变换任务用于监视、水面战斗、反潜战、水雷对抗/猎雷、布雷或执行污染监控任务。
",丹麦造船公司,NULL,18节航速下航程2400英里,NULL,9米,NULL,舰船舰艇,导弹艇,NULL,54米,丹麦,NULL,30节,NULL,“弗莱维费斯肯”级通用巡逻舰,1985年7月,{'$oid': '5cc93200831b973d657f1836'},1986年4月26日,NULL,500吨以内,1989年12月19日
http://images.huanqiu.com/sarons/2013/07/ff09cda947dd958e9942802de2c15b89.jpg,NULL,退役或被转售,230吨,NULL,瑞典卡尔斯克鲁纳造船厂,NULL,40节航速下航程500英里,NULL,7.1米,NULL,舰船舰艇,导弹艇,NULL,43.6米,挪威,大西洋,40.5节,“诺科平”号(R131)，“伊斯塔德”号(R142),“诺科平”(Norrkoping)级快速导弹巡逻舰,未知,{'$oid': '5cc93200831b973d657f1837'},1972年11月16日,NULL,500吨以内,1973年5月11日
http://images.huanqiu.com/sarons/2013/07/163367a76c4863c831a4dc829901a8c9.jpg,”海鸠“级反潜巡逻舰,在役,478吨,"
037-IG红星级是从037I（海鸠级）开发而来的导弹巡逻舰。在1991年和1997年之间，有24艘船体由上海求新船厂建造，其中六艘在20世纪90年代中期销往缅甸海军。
",上海求新船厂,NULL,15节航速下航程1300英里,NULL,7.2米,NULL,舰船舰艇,导弹艇,NULL,62.8米,中国,NULL,28节,32艘,“红星”(Houxin)(037/1G)级导弹巡逻舰,1990年5月29日,{'$oid': '5cc93200831b973d657f1838'},1990年12月30日,NULL,500吨以内,1991年8月30日
http://images.huanqiu.com/sarons/2013/07/3ea9b2c5c16704379a2bebcb7f3c0836.jpg,NULL,在役,307吨,"
拉马丹（Ramadan）级导弹巡逻舰又名斋月级导弹艇，是埃及海军购自英国沃斯帕桑尼克洛伏特制造的大型导弹艇。 1981年开始服役。
",英国沃斯帕桑尼克洛伏特,NULL,18节航速下航程1600英里,NULL,7.6米,NULL,舰船舰艇,导弹艇,NULL,52米,英国,NULL,40节,NULL,“拉马丹”(Ramadan)级快速导弹巡逻舰,1979年9月6日,{'$oid': '5cc93200831b973d657f1839'},NULL,NULL,500吨以内,1981年7月20日
http://images.huanqiu.com/sarons/2013/07/d70deda252b3bd8c7f4a4e7c29193906.jpg,NULL,部分退役，部分出售他国。,398吨,NULL,吕尔森船厂,NULL,30节航速下1300英里,NULL,7.8米,NULL,舰船舰艇,导弹艇,NULL,57.6米,德国,NULL,40节,10艘,“信天翁”(Albatros)(143型)级快速导弹巡逻舰,1972年5月4日,{'$oid': '5cc93200831b973d657f183a'},1973年10月22日,NULL,500吨以内,1976年11月1日
http://images.huanqiu.com/sarons/2013/07/243d96af62a20ae0c218c11634a65769.jpg,55甲型炮艇,现役,520吨,"
037-II型（北约代号：红箭级）是由国内首次采用招标方式发包兴建的海军舰艇,由黄埔造船厂得标于1987年12月签约建造。该舰共建成6艘，现服役于中国南海舰队。
",黄埔造船厂,NULL,18节航速下航程1800英里,NULL,6.4米,NULL,舰船舰艇,导弹艇,47人,45米,中国,中国南海海域,30节,阳江号顺德号南海号番禹号廉江号新会号,037（红箭级）导弹巡逻舰,1989年7月28日,{'$oid': '5cc93200831b973d657f183b'},1990年12月18日,NULL,500-2000吨,1991年8月20日
http://images.huanqiu.com/sarons/2013/07/3da8c2f6ff1e108f5c9326277ea2cd25.jpg,“萨尔”3级导弹快艇,NULL,450吨,"
“火花”级导弹巡逻舰又称“萨尔4”级，最初是1970年1月由以色列海法造船厂建造的快速攻击型导弹巡逻舰。在1973年10月的赎罪日战争中，“火花”级第一次战参战。在这场战争中，两艘“火花”级巡逻舰与埃及、叙利亚的船只及沿海的目标进行了导弹战。目前，以色列已售出大部分“火花”级巡逻舰，但仍有两艘在以色列海军服役。
",以色列海法造船厂,NULL,17.5节航速下4000英里,NULL,7.8米,萨尔4.5级导弹快艇,舰船舰艇,导弹艇,45人,58.1米,以色列,NULL,32节,“卡斯玛”级、“勇士”(原“大臣”)级,“火花/萨尔4”级导弹巡逻舰,1970年1月,{'$oid': '5cc93200831b973d657f183c'},NULL,NULL,500吨以内,1973年4月
http://images.huanqiu.com/sarons/2013/07/20d9addcea17da3c18d77853e5593229.jpg,”斯威夫特“级,现役11艘,3450吨,NULL,新加坡科技工程有限公司,NULL,4500海里/16节,NULL,15.5米,NULL,舰船舰艇,导弹艇,210人,131.2米,新加坡,太平洋,30节,NULL,“无畏”(Fearless)级近岸巡逻舰,20世纪90年代初,{'$oid': '5cc93200831b973d657f183d'},1995年2月18日,NULL,2000-5000吨,1996年10月5日
http://images.huanqiu.com/sarons/2013/07/6ce4404ed32b0237b8f87406bec6e48d.jpg,NULL,NULL,47吨,NULL,科伦坡船坞有限公司 ,NULL,32节航速下700英里,NULL,5.5米,超级德沃拉MK II,舰船舰艇,导弹艇,NULL,21.6米,以色列,NULL,36节,NULL,“德沃拉/海鸥”(Dvora/Haiou)级快速导弹巡逻舰,NULL,{'$oid': '5cc93201831b973d657f183e'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/3b8fec412d9d2cb0f33e6fa1a877797b.jpg,NULL,在役,1910吨,NULL,NULL,NULL,15节航速下7000英里,NULL,12米,NULL,舰船舰艇,导弹艇,NULL,80.8米,爱尔兰,NULL,20节,NULL,“艾斯纳”(Eithne)级近岸巡逻舰,1982年12月15日,{'$oid': '5cc93201831b973d657f183f'},1983年12月19日,NULL,500-2000吨,1984年12月7日
http://images.huanqiu.com/sarons/2013/07/dbffbfce6acd2d48422a25885ae4f68f.jpg,NULL,NULL,425吨,"
“斗士”(LaCombattante)III级快速导弹巡逻舰是指希腊在1974年从法国订购的四艘舰艇。它们跟“斗士”(LaCombattantee)II/IIA级快速导弹巡逻舰十分相似，但是要比其更大，并装备有鱼雷。第二批的6艘于1978年订购，在希腊建造，并配备有企鹅MK2MOD3导弹。
",NULL,NULL,15节航速下2700英里,NULL,8米,NULL,舰船舰艇,导弹艇,NULL,56.2米,法国,NULL,36节,NULL,“斗士”(LaCombattante)III/IIlB/llIM/“安西波普洛亚克斯•拉斯科斯”/“达姆沙”级快速导弹巡逻舰,未知,{'$oid': '5cc93201831b973d657f1840'},未知,NULL,500吨以内,1977年4月20日
http://images.huanqiu.com/sarons/2013/07/efda2fd6ca3cbea015798d8bd74431e8.jpg,NULL,服役中,260吨,NULL,乌莫曼达尔船厂,NULL,40节航速下800英里,NULL,13.5米,NULL,舰船舰艇,导弹艇,NULL,46.8米,挪威,NULL,57节,6艘,“盾牌”(Skjold)级快速导弹巡逻舰,1997年8月4日,{'$oid': '5cc93201831b973d657f1841'},1998年9月22日,NULL,500吨以内,1999年4月17日
http://images.huanqiu.com/sarons/2013/07/e431199fdb373de1b09b135ad45c0ce5.jpg,NULL,NULL,560吨,NULL,维伦纽夫-LA-嘎瑞（SFCN）船厂，洛里昂海军造船厂,NULL,16节航速下2500英里,NULL,8.4米,NULL,舰船舰艇,导弹艇,NULL,64米,法国,NULL,37节,6艘,“维拉德”(Velarde)(PR一72P)级快速导弹巡逻舰,1978年9月16日,{'$oid': '5cc93201831b973d657f1842'},NULL,NULL,500-2000吨,1980年7月25日
http://images.huanqiu.com/sarons/2013/07/6a07703fe44f09ebe668c6d5da0a6ded.jpg,NULL,现役,428吨,"
“吕尔森”FPB57级，也被称为“阿齐莫塔”级，是由德国“吕尔森”公司为加纳海军在20世纪80年代初建造的小型巡逻艇。该级舰配备了沃德•梅莱拉76毫米两用炮和40毫米高射炮。推进系统包括四台柴油发动机，最高时速为30海里。加纳订购的两艘船于1981年开始服役。
",吕尔森公司,NULL,27节下700海里,NULL,7.6米,NULL,舰船舰艇,导弹艇,NULL,58.1米,德国,NULL,27节,NULL,“吕尔森”(Lursscn)FPB 57级快速导弹巡逻舰,1976年6月16日,{'$oid': '5cc93201831b973d657f1843'},NULL,NULL,500吨以内,1977年6月15日
http://images.huanqiu.com/sarons/2013/07/0c5efe0ba5b8c2bed8806df58e8af213.jpg,“盾牌”级,退役,160吨,"
霍克级(Hauk级)巡逻艇是挪威的快速攻击艇，在20世纪70年代开始建造，首艇“霍克”号在1977年8月17日开始服役。
",NULL,NULL,30节航速下440英里,NULL,6.2米,超级霍克级,舰船舰艇,导弹艇,NULL,36.5米,挪威,NULL,32节,14艘,“霍克”(Hauk)级快速导弹巡逻舰,20世纪70年代,{'$oid': '5cc93201831b973d657f1844'},NULL,NULL,500吨以内,1977年8月17日
http://images.huanqiu.com/sarons/2013/07/ed14b727c5961620e43a6dc75ff23483.jpg,“信天翁”级,现役8艘,391吨,"
143A猎豹级是在143B信天翁级的基础上改进的，与143B信天翁级比较，猎豹级拆掉了两具鱼雷发射管和艇后部的76毫米舰炮，在尾部甲板上安装了一座MK49型21联装拉姆防空导弹发射装置，这使猎豹级外观很好识别。猎豹级配有多种武器，战力很强。“猎豹”级导弹艇也是由吕尔森和克勒格尔两个船厂建造的。从1979年7月11日首艇开工建造到1984年11月13日最后一艘建成服役，该级艇共建造了10艘。“猎豹”级导弹艇在1994年-1995年期间更新了电子战系统，1999年完成了作战系统升级。随着“信天翁”级的退役，“猎豹”级将成为德国海军导弹艇的中坚。
",吕尔森船厂和克勒格尔船厂,NULL,16节航速下2600英里,NULL,7.8米,NULL,舰船舰艇,导弹艇,NULL,57.6米,德国,NULL,40节,10艘,“猎豹”(Gepard)(143A)级快速导弹巡逻舰,1979年7月11日,{'$oid': '5cc93201831b973d657f1845'},NULL,NULL,500吨以内,1982年12月7日
http://images.huanqiu.com/sarons/2013/07/145baf85a6553b6337a23b4b4f55c9ef.jpg,NULL,现役,495吨,NULL,美国彼得森建筑公司,NULL,14节航速下航程2900英里,NULL,8.1米,NULL,舰船舰艇,导弹艇,NULL,58.1米,美国,印度洋,38节,NULL,“阿尔·希蒂克”(Alsiddiq)级快速导弹巡逻舰,1972年,{'$oid': '5cc93201831b973d657f1846'},NULL,NULL,500吨以内,1980年
NULL,NULL,NULL,430吨,NULL,NULL,NULL,18节航速下2000英里,NULL,82米,NULL,舰船舰艇,导弹艇,NULL,56.7米,英国,NULL,40节,NULL,“普罗文斯”,20世纪80年代,{'$oid': '5cc93201831b973d657f1847'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/a2ceb52465b06898a193397b91066e28.jpg,NULL,在役,488吨,NULL,以色列海法造船厂,NULL,17节航速下3 000英里,NULL,7.6米,NULL,舰船舰艇,导弹艇,NULL,61.7米,以色列,印度洋,31节,“萨尔”级“萨尔”2“萨尔”3“萨尔”4,“海兹/萨尔4.5”(Hetz/saar 4.5)级导弹巡逻舰,1980年至1998年,{'$oid': '5cc93202831b973d657f1848'},1980年7月,NULL,500吨以内,1980年8月
http://images.huanqiu.com/sarons/2013/07/2f26ab0d84ae0447ec1e2b60f28f6146.jpg,NULL,在役,245吨,NULL,NULL,NULL,14节航速下1350英里,NULL,8.2米,NULL,舰船舰艇,导弹艇,NULL,42米,法国,NULL,30节,“斗士”级l 型，Ⅱ型和Ⅲ 型,“斗土”l/“乌姆•阿尔马拉迪姆”级快速导弹巡逻舰,1964年3月,{'$oid': '5cc93202831b973d657f1849'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/07/f5ba4a8e307bae16b2e69bac106f7d03.jpg,NULL,在役,NULL,NULL,NULL,NULL,14节航速下航程1850英里,NULL,7.1米,NULL,舰船舰艇,导弹艇,34人,43.6米,瑞典,太平洋,34.5节,NULL,“斯皮卡-M”/“汉达兰”级快速导弹巡逻舰,1979年（汉达兰）,{'$oid': '5cc93202831b973d657f184a'},NULL,NULL,NULL,NULL
NULL,NULL,NULL,22.4吨,"
1950年9月17日，海军司令部电令华东、中南、华北和青岛基地，以购买苏联的36艘P4型鱼雷快艇为基础，各组建一个鱼雷快艇大队。根据命令，鱼雷快艇第31大队、鱼雷快艇第11大队、鱼雷快艇第21大队、鱼雷快艇第1大队分别在上海、广州、塘沽、青岛组建。海军第一支鱼雷快艇部队从此诞生。
",NULL,NULL,700公里,NULL,3.7米,NULL,舰船舰艇,导弹艇,12人,19.3米,中国,NULL,46节,NULL,P4型鱼雷快艇,1950年9月17日,{'$oid': '5cc93202831b973d657f184b'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/11/275ba78fc0d33d0bbf689e3e1fa5aba6.jpg,6621型（“黄蜂”级）导弹快艇,退役,205吨,"
021型导弹艇（北约称“黄蜂”级），根据中苏“二四”协定转让的两型导弹艇（6621、6623）中的6621型艇发展而来的。2011年5月31号海军最后4艘21型导弹艇在南海举行隆重退役仪式，从而圆满完成30多年的历史使命，退出舞台。
",中国中华造船厂、中国江西造船厂,NULL,800海里/30节,NULL,6.8米,NULL,舰船舰艇,导弹艇,28人,38.6米,中国,NULL,35节,NULL,021型导弹艇,NULL,{'$oid': '5cc93202831b973d657f184c'},1963年下水,NULL,500吨以内,1965年12月
http://images.huanqiu.com/sarons/2013/11/cab428edee5a2d9bd95cf2902c2ba233.jpg,NULL,NULL,12吨,"
哥伦比亚海军陆战队用来缉毒的巡逻艇。铝制船体，并可进行空运。
",本德尔海事公司(BenderMarine)(美国),NULL,530英里,NULL,29米,NULL,舰船舰艇,导弹艇,12人,124米,美国,NULL,29节,NULL,“特内里费”级河川巡逻艇,未知,{'$oid': '5cc93202831b973d657f184d'},NULL,三挺12.7毫米机枪(一对和单挺)；一具Mk 19榴弹发射器；一挺7.62毫米机枪。,500吨以内,NULL
NULL,NULL,NULL,12吨,NULL,诺曼底造船厂,NULL,30节航速下航程400英里,NULL,3米,NULL,舰船舰艇,导弹艇,4人,15.5米,法国,NULL,55节,NULL,Baklan级高速拦截艇级,未知,{'$oid': '5cc93203831b973d657f184e'},NULL,NULL,500吨以内,NULL
NULL,55甲型炮艇,现役,520吨,"
037II型（北约称：红箭级/Houjian Class）是我国第三代导弹快艇，于1988年海军首度公布设计名为EH-3D，是以美国设计的H-3型导弹快艇为基础发展而来，由广州黄埔造船厂建造。
",黄埔造船厂,NULL,1800海里,NULL,6.4米,NULL,舰船舰艇,导弹艇,47人,45米,中国,NULL,30节,P-770 阳江艇，P-771 顺德艇，P-772 南海艇，P-773 番禺艇，P-774 廉江艇,037-Ⅱ型(红箭级)导弹艇,1987年,{'$oid': '5cc93203831b973d657f184f'},1988年,NULL,500-2000吨,1988年
http://images.huanqiu.com/sarons/2013/07/e4e7033b2c087d3b673563638a5ba5b7.jpg,NULL,NULL,376吨,NULL,NULL,NULL,12节航速下航程1800英里,NULL,9米,NULL,舰船舰艇,导弹艇,NULL,56.3米,英国,NULL,35节,NULL,“巴赞/维塔/超级维塔”(Barzan/Vita/Super Vita)级快速导弹巡逻舰,1992年,{'$oid': '5cc93203831b973d657f1850'},NULL,NULL,500吨以内,NULL
NULL,NULL,NULL,46吨,NULL,求新造船厂,NULL,30节航速下航程900公里,NULL,6.3米,NULL,舰船舰艇,导弹艇,11人,21.8米,中国,NULL,55节,NULL,026型钢质鱼雷艇,1966年6月22日,{'$oid': '5cc93203831b973d657f1851'},1966年9月10日,NULL,500吨以内,1967年10月
NULL,NULL,NULL,9吨,NULL,Storebro Royal Cruiser(瑞典),NULL,NULL,NULL,2.9米,NULL,舰船舰艇,导弹艇,10人,11.9米,瑞典,NULL,40节,NULL,战艇90E,NULL,{'$oid': '5cc93203831b973d657f1852'},NULL,NULL,500吨以内,NULL
NULL,021型导弹艇,退役,234吨,"
021G型导弹艇，为021型导弹艇的改进型，现已全部退役。021G型导弹艇与021型导弹艇的主要区别是用双联装30毫米全自动舰炮替代了原双联装25毫米舰炮，导弹改装鹰击8反舰导弹，同时在尾部两座导弹发射装置中间甲板室上安装了火炮射击指挥仪（球状物），艇的排水量略有增加。
",中国中华造船厂，中国江西造船厂,NULL,1400公里,NULL,7.64米,NULL,舰船舰艇,导弹艇,28人,38.8米,中国,NULL,39节,NULL,021G型导弹艇,NULL,{'$oid': '5cc93203831b973d657f1853'},NULL,NULL,500吨以内,NULL
NULL,NULL,NULL,66吨,"
 6602型(简称02型)木质鱼雷快艇，北约称为“P-6”型，为仿制前苏联K183型鱼雷快艇，属折角肋骨的滑舰快艇型，共进口12条，自己装配63艘。
",NULL,NULL,450海里/30节,NULL,6.06米,NULL,舰船舰艇,导弹艇,20人,25.05米,中国,NULL,45节,NULL,6602型木质鱼雷快艇,1955年2月12日,{'$oid': '5cc93204831b973d657f1854'},1955年5月,NULL,500吨以内,1955年2月12日
NULL,NULL,NULL,39.6吨,"
6625型铝质单水翼鱼雷快艇（北约称P8)，根据原苏联转让的水翼快艇-184型鱼雷艇的技术设计与施工图纸建造，1966 年2月，首艇在425厂正式投料开工，1967年3月下水，1968年9月19日，一号艇完工交货。后续的2至8号艇7艘，转让上海沪东造船厂继续生产。
",NULL,NULL,550海里,2天,6.7米,NULL,舰船舰艇,导弹艇,16人,21.5米,中国,NULL,NULL,NULL,6625型铝质鱼雷快艇 ,1966 年2月,{'$oid': '5cc93204831b973d657f1855'},1967年3月,NULL,500吨以内,1968年9月19日
NULL,024导弹艇,在役,134.5吨,NULL,西江造船厂,NULL,600海里/24节,NULL,6.7米,NULL,舰船舰艇,导弹艇,NULL,33.5米,中国,NULL,33.7节,NULL,P29B导弹艇,NULL,{'$oid': '5cc93204831b973d657f1856'},NULL,NULL,500吨以内,NULL
http://images.huanqiu.com/sarons/2013/11/f060896a6f8d5b26cd3a4e508b9d7954.jpg,NULL,现役,600吨,NULL,天津新港造船厂,NULL,约600海里,NULL,NULL,NULL,舰船舰艇,导弹艇,NULL,60米,中国,NULL,30节,NULL,阿兹玛特级导弹艇/巡逻艇,NULL,{'$oid': '5cc93204831b973d657f1857'},2011年9月24日,NULL,500-2000吨,2012年6月
