_id,运载火箭,图片,发射地点,类型,经度,名称,简介,中心直径,首次轨道发射,轨道,纬度,制造商,大类,产国,发射日期,长度
{'$oid': '5cc933d0831b973d657f2339'},“哥伦比亚”号航天飞机/IUS(STS-93),http://images.huanqiu.com/sarons/2013/11/ff037bc2d0886503df35d06b238012f7.jpg,佛罗里达，肯尼迪航天中心,科学卫星,NULL,X射线天文台,"
“钱德拉”计划的目的是观测天体的X射线辐射，研究星系的成分，恒星物质和星际现象，来作为理论物理的基础课题。
",NULL,NULL,9977公里×138400公里(6170英里×86000英里)，轨道倾角28.5°（太阳同步轨道）,NULL,TRW太空电子集团,太空装备,美国,1999年7月23日,NULL
{'$oid': '5cc933d0831b973d657f233a'},M-V-6,http://images.huanqiu.com/sarons/2013/11/7eba4f276005175e61df383b55abffc1.jpg,日本，鹿儿岛航天中心,科学卫星,131°04′45″E,朱雀天文卫星,"
朱雀卫星(Suzaba)，原名Astro-E2，是日本发射的第5颗X射线天文卫星，观测宇宙中热和活动的区域，主要目的在于研究宇宙中发出X射线辐射的等离子体的性质、星系团的演化，以及活动星系核周围的物理过程等。该卫星用于替代2000年2月发射失败坠入太平洋的Astro-E卫星。这颗卫星命名为朱雀，朱雀是传说中的日本红鸟。
",NULL,NULL,运行，562公里×573公里(349英里×356英里)，倾用31.4°,31°14′N,日本宇宙航空研究开发机构——宇宙科学研究所,太空装备,日本,2005年7月10日,NULL
{'$oid': '5cc933d0831b973d657f233b'},德尔塔Ⅱ7320-10,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,雨燕卫星（Swift Gamma-Ray Burst Mission）,"
雨燕卫星（Swift Gamma-Ray Burst Mission），全称为伽玛暴快速反应探测器，是美国宇航局2004年发射的一颗专门用于观测伽玛射线暴的天文卫星，工作在伽玛射线、X射线、紫外线以及可见光多个波段。
",NULL,NULL,584公里×604公里(362英里×375英里)，轨道倾角20.6°,NULL,Spectrum Astro公司,太空装备,美国,2004年11月20日,NULL
{'$oid': '5cc933d0831b973d657f233c'},质子号,http://images.huanqiu.com/sarons/2013/11/dd8afedac5858f3f65aab6f185b47dfe.jpg,哈萨克斯坦，拜科努尔发射场,科学卫星,NULL,国际伽玛射线天体物理实验室,,NULL,2002年10月17日,9050千米×153657千米(5 624英里×95 480英里)，轨道倾角52.25°,NULL,意大利阿莱尼亚太空中心,太空装备,意大利,2002年10月17日,NULL
{'$oid': '5cc933d0831b973d657f233d'},长征2C,,探测1号（中国西昌），探测2号（中国太原）,科学卫星,NULL,“双星”计划,"
中国和欧洲航天局合作进行的“双星”计划使用两颗飞行器来研究地球磁气圈，它们与欧洲航天局的4颗“星簇”探测卫星协同工作，并且它们从开始就是同步的，所以这6颗卫星能够同时对近地空间的同一区域进行研究。在中国，这两颗卫星被称作“探测1号”和“探测2号”。
",NULL,2003年12月29日(探测1号)，2004年7月25日(探测2号),（探测1号）570公里×78970公里，（探测2号）690公里×38230公里,NULL,中国国家航天局,太空装备,中国,2003年12月29日(探测1号)，2004年7月25日(探测2号),NULL
{'$oid': '5cc933d0831b973d657f233e'},飞马座XL,,加利福尼亚，范登堡,科学卫星,NULL,亚毫米波(SWAS)天文卫星,"
亚毫米波天文卫星（Submillimeter Wave Astronomy Satellite，缩写为SWAS）是1998年12月5日发射的一颗天文卫星，是美国国家航空航天局的小探测工程（英语：Small Explorer program）的一部分。史密松天体物理台和高达太空飞行中心的研究人员分别设计了其望远镜和探测器。该卫星检测太空中水分子、氧气分子、碳原子发出的波长为487–556GHz的微波。
",NULL,NULL,637公里×653公里(396英里×406英里)，轨道倾角70°,NULL,巴尔航天公司,太空装备,美国,1998年12月5日,NULL
{'$oid': '5cc933d1831b973d657f233f'},德尔塔Ⅱ7425-10,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,威尔金森各向异性探测器,"
威尔金森微波各向异性探测器（Wilkinson Microwave Anisotropy Probe，简称WMAP）是NASA的人造卫星，目的是探测宇宙中大爆炸后残留的辐射热，2001年6月30日，WMAP搭载德尔塔II型火箭在佛罗里达州卡纳维拉尔角的肯尼迪航天中心发射升空。其目标是找出宇宙微波背景辐射的温度之间的微小差异，以帮助测试有关宇宙产生的各种理论。它是COBE的继承者，是中级探索者卫星系列之一。WMAP以宇宙背景辐射的先躯研究者大卫·威尔金森命名。
",NULL,NULL,L2拉格朗日点，李萨如轨道,NULL,美国宇航局戈达德航天飞行中心,太空装备,美国,2001年6月30日,NULL
{'$oid': '5cc933d1831b973d657f2340'},德尔塔Ⅱ 7925,,NULL,科学卫星,80 ° 37 W,西弥斯,"
“西弥斯”(“亚暴的大规模互动及时间历史性事件”研究)是NASA的第一次使用5颗卫星的任务，这次任务研究地球极光是如何通过在磁气圈中积蓄和释放能量而产生的。“西弥斯”任务所收集的数据有助于精确地确定亚暴(地球磁层中的一种扰动)在何时、何地发生。这5颗同样规格的小型卫星均为旋转稳定。
",NULL,NULL,探测器1号，19567公里×201831公里（5945英里×125412英里），轨道倾角7°；探测器2号，27450公里×126093公里，轨道倾角7°；探测器3号，37130公里×77346公里（4629英里×78350英里），轨道倾角7°；探测器4号，37130公里×77346公里（4629英里×78350英里），轨道倾角9°；探测器5号，58160公里×64060公里（5350英里×39805英里），轨道倾角4.5°。,28 ° 24'N,斯威尔斯宇航公司,太空装备,美国,2007年2月17日,NULL
{'$oid': '5cc933d1831b973d657f2341'},德尔塔Ⅱ7320-10,,加利福尼亚，范登堡,科学卫星,NULL,广域红外探测器,,NULL,NULL,500公里(310英里)，倾角97.3°(太阳同步轨道),NULL,巴尔航天公司,太空装备,美国,2009午12月14日,NULL
{'$oid': '5cc933d1831b973d657f2342'},人马座XL,,佛罗里达州，卡纳维拉尔角(空中发射),科学卫星,80 ° 37 W,太阳辐射和气候实验卫星(SORCE),"
SORCE是NASA地球观测系统的一部分。它的任务为期5年，包括X射线、紫外线、可见光、近红外线和所以达到地球的太阳辐射的测量。这些测量包括长期的气候变迁、自然变化和增强的气候预测，以及大气臭氧和UV-B辐射。在它六角形的星体中容纳了所以的控制、推进和通信子系统，这个星体基于轨道科学公司的LEOStar-2平台设计制造，是三轴惯性稳定的。精确的指向和姿态控制由一个反作用飞轮、两个星象跟踪仪、一个高精度太阳传感器、一个控制处理器、一些扭矩杆和磁力计组成的装置实现。它的S波段通信系统使用双无线电收发机和一对全方向天线。
",NULL,NULL,645公里（401英里），轨道倾角40°。,28 ° 24'N,轨道科学公司,太空装备,美国,2003年1月25日,NULL
{'$oid': '5cc933d2831b973d657f2343'},阿丽亚娜44P,,法属圭亚那、库鲁,科学卫星,NULL,红外线宇宙天文台（ISO）,,NULL,1995年11月17日,1038千米×70578千米(645英里×43856英里)，倾角5.2°,NULL,法国宇航公司,太空装备,法国,1995年11月17日,NULL
{'$oid': '5cc933d2831b973d657f2344'},德尔塔II 7925-10L,,佛罗里达州，卡纳维拉尔角,科学卫星,80 ° 37 W,STEREO双太阳观测卫星,"
STEREO是NASA日地探测器计划的第三次任务，也是第一次为太阳建立三维影像的任务。每颗卫星都搭载了4组科学研究设备，它们由若干设备组成，用来研究被称为日冕物质喷射(CME)的大规模太阳等离子爆发现象，以及它们对地球磁场的影响。在发射之后，这两颗卫星都完成了一系列4条高椭圆调相轨道上的飞行，以便进行月球重力辅助。
",NULL,NULL,太阳轨道，1亿4960万公里(9300万英里)。,28 ° 24'N,约翰·霍普金斯大学应用物理实验室,太空装备,美国,2006年10月26日,NULL
{'$oid': '5cc933d2831b973d657f2345'},“平特兰蒂斯”号航天飞机,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,伽利略号轨道卫星,"
“伽利略”号是在STS-30任务中由“亚特兰蒂斯”号航天飞机送入地球轨道的。它于1990年2月10日以16000公里(9942英里)的距离飞越了金星，并且两次飞越了地球。
",NULL,1989年10月18日,NULL,NULL,NASA喷气推进实验室,太空装备,美国,1989年10月18日,NULL
{'$oid': '5cc933d2831b973d657f2346'},阿丽亚娜5ECA,http://images.huanqiu.com/sarons/2013/11/1bea516696ce033ea082c549a3d28c30.jpg,法属圭亚那，库鲁,科学卫星,NULL,詹姆斯·韦伯空间望远镜（JWST）,,6.5米,NULL,L2拉格朗日点，halo,NULL,TRW公司,太空装备,美国,2013年,NULL
{'$oid': '5cc933d2831b973d657f2347'},“极轨卫星运载器”(PSLV),,印度，斯里哈里科塔,科学卫星,NULL,AGILE,"
AGILE是意大利航天局小型科学卫星计划的第一颗卫星。这枚六角形卫星的一端上装有一块固定的砷化镓太阳能电池帆板。由于太阳能电池需要一直暴露在太阳光下，这给卫星的指向策略和巡天计划造成一些限制。
",NULL,NULL,550公里(341.8英里)，倾角2.5°,NULL,意大利卡罗·加瓦兹空间公司,太空装备,意大利,2007年4月23日,NULL
{'$oid': '5cc933d3831b973d657f2348'},“发现”号航天飞机(STS一41),http://images.huanqiu.com/sarons/2013/11/ccdaeb681dc5784281a769877b00db1d.jpg,佛罗里达州，肯尼迪航天中心,科学卫星,80°42′W,尤里西斯,"
尤利西斯号探测器（Ulysses）是美国宇航局（NASA）与欧洲航天局（ESA）联合研制的一颗太阳极区和恒星际环境探测器，以希腊神话中智勇双全的奥德塞的拉丁文名字命名，目的是研究日球的性质，加深对太阳风、太阳极区以及行星际磁场等方面的了解。
",NULL,NULL,太阳轨道，2亿×8亿800万公里(1亿2460万×5亿200万英里)，轨道倾角79.1°,28°30′N,多尼尔(Dornier)公司,太空装备,美国,1990年10月6日,NULL
{'$oid': '5cc933d3831b973d657f2349'},大力神IVB-半人马座,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,卡西尼,"
“卡西尼”是第一颗人造土星轨道卫星。它是以法国／意大利天文学家吉恩·多米尼克·卡西尼(Jean-Dominique Cassini)的名字而命名的。它是美国有史以来发射的最大的行星飞行器，与欧洲航天局Huygens探测器一起发射。
",NULL,2004年7月1日,土星轨道,NULL,NASA喷气推进实验室,太空装备,美国,1997年10月15日,NULL
{'$oid': '5cc933d3831b973d657f234a'},阿丽亚娜5号,http://images.huanqiu.com/sarons/2013/11/e495e8794c2a820bf9c88d6e0cb67073.jpg,法属圭亚那，库鲁,科学卫星,NULL,牛顿X射线多镜望远镜,,NULL,NULL,7365公里×113774公里(4577英里×70698英里)，倾角38.9°,NULL,多尼尔卫星系统公司,太空装备,英国,1999年12月10日,NULL
{'$oid': '5cc933d3831b973d657f234b'},德尔塔2号7920,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,罗西X射线时变探索者（RXTE）卫星,"
以意大利裔美国天文学家布鲁诺·罗西(Bruno Rossi)命名的RXTE，是NASA探测级计划，它用来研究X射线源的快速光变，具有空前的时间分辨率结合中等的谱分辨率。
",NULL,1995年12月30日,565千米×583千米(351英里×362英里)，倾角23°,NULL,NASA戈达德航天飞行中心,太空装备,美国,1995年12月30日,NULL
{'$oid': '5cc933d3831b973d657f234c'},M-V-8,,日本，鹿儿岛内的浦町发射场,科学卫星,NULL,光亮号（Akari）红外天文卫星 ,"
这颗卫星上的仪器比红外天文卫星IRAS的仪器具有更好的敏感度和更高的分辨率，它的望远镜镜头直径68.5厘米，能够被冷却到绝对温度开尔文工作，观测波段为波长1.7微米(近红外)到180微米(远红外)。
",NULL,NULL,695公里×710公里(431.9英里×441.2英里)，倾角98.2°（太阳同步轨道）,NULL,NEC东芝公司,太空装备,日本,2006年2月21日,NULL
{'$oid': '5cc933d3831b973d657f234d'},NULL,http://images.huanqiu.com/sarons/2013/11/d64bb9f291d14d96b9e44378b4a2dab7.jpg,加利福尼亚州范登堡,科学卫星,NULL,云探测卫星,"
NASA的云探测卫星第一次进行了全球范围云层剖面和特性勘测，它使用一部先进的雷达来观测云层的垂直构造。这颗卫星是和NASA与法国国家空间研究中心合作的CALIPSO(云雾激光雷达和红外线引导卫星观测)卫星一箭双星发射的。
",NULL,NULL,705公里(438英里)轨道倾角98.2°太阳同步轨道,NULL,巴尔航天公司,太空装备,美国,2006年4月28日,NULL
{'$oid': '5cc933d4831b973d657f234e'},联盟2-1B/Fregat-M,,哈萨克斯坦，拜科努尔,科学卫星,NULL,BepiColombo,,NULL,2022年1月 ,水星轨道(MPO),NULL,EADS阿斯特里厄姆公司、日本宇宙航空研究开发机构,太空装备,英国,2015年8月15日,NULL
{'$oid': '5cc933d4831b973d657f234f'},阿特拉斯V-551(装备“半人马座”上面级和STAR-48B第三级),http://images.huanqiu.com/sarons/2013/11/e502ed22ae386d946e7a7436e75fea69.jpg,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,新地平线,,NULL,NULL,逃逸轨道,NULL,约翰.霍普金斯大学应用物理实验室,太空装备,美国,2006年1月19日,NULL
{'$oid': '5cc933d4831b973d657f2350'},德尔塔Ⅱ7920H,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,斯必泽（Spitzer）太空望远镜,"
斯必泽空间望远镜（Spitzer Space Telescope，缩写为SST）是美国宇航局2003年发射的一颗红外天文卫星，是大型轨道天文台计划的最后一台空间望远镜。望远镜工作在波长为3-180微米的红外波段，以取代先前的红外线天文卫星（IRAS）
",0.8米,2003年8月25日,地球拖尾日心轨道，14900万公里×15240万公里(9260万英里×9470万英里)，轨道倾角1.1°,NULL,洛克希德马丁空间系统公司,太空装备,美国,2003年8月25日,NULL
{'$oid': '5cc933d4831b973d657f2351'},NULL,,佛罗里达州，卡纳维拉尔角,科学卫星,80 ° 37 W,太阳风,"
“太阳风”号的任务是对地球磁气圈内和磁气圈外的太阳风进行研究。它和它的“姐妹”--“极光”号卫星是全球地球空间科学计划(国际日地物理计划)的关键组成部分。“太阳风”号的主要科学研究目标是测量太阳风的质量、动力和能量。
",NULL,NULL,NULL,28 ° 24'N,马丁·玛丽埃塔公司(现为洛克希德·马丁公司),太空装备,美国,1994年11月1日,NULL
{'$oid': '5cc933d4831b973d657f2352'},呼啸号,,俄罗斯，普列谢茨克,科学卫星,NULL,恒星微变与振荡（MOST）科学卫星,,NULL,2003年6月30日,818公里×832公里(508英里×517英里)，轨道倾角98.7°(太阳同步轨道),NULL,加拿大代纳肯公司/多伦多大学航空航天研究所,太空装备,加拿大,2003年6月30日,NULL
{'$oid': '5cc933d5831b973d657f2353'},德尔塔Ⅱ7320,,佛罗里达州，卡纳维拉尔角,科学卫星,NULL, FUSE天文卫星,"
FUSE天文卫星是NASA的“起源计划”项目之一，由约翰·霍普金斯大学联合NASA戈达德航天飞行中心，法国国家空间研究中心，加拿大航天局，科罗拉多大学和加州大学伯克利分校共同开发研制。这是第一次由大学全权负责空间探测器的研发和控制。
",NULL,NULL,745公里×760公里(463英里×472英里)，倾角25°,NULL,约翰.霍普金斯大学应用物理实验室,太空装备,美国,1999年6月24日,NULL
{'$oid': '5cc933d5831b973d657f2354'},飞马座,http://images.huanqiu.com/sarons/2013/11/671d64dca66abdb0ec7e4eac317b838c.jpg,马绍尔群岛，卡瓦加林,科学卫星,NULL,HETE-2（高能瞬间探测器2）卫星,它代替了1996年11月一次发射失败中损失的最初的HETE卫星。HETE-2的首要任务是观测伽马射线爆发，它由飞马座火箭从位于马绍尔群岛的卡瓦加林导弹靶场上空发射，飞马座火箭是由大型喷射客机L-1011带到高空的。,NULL,NULL,598公里×641公里(372英里×399英里)，倾角1.95°,NULL,麻省理工学院,太空装备,美国,2000年10月9日,NULL
{'$oid': '5cc933d5831b973d657f2355'},飞马座XL,,佛罗里达州，卡纳维托尔角,科学卫星,NULL,GALEX（星系演化探测卫星）,其轨道空间望远镜的设计目的是用紫外线观测距离100万光年的银河系，用来研究银河系是如何进化的。,NULL,NULL,694公里×700公里(431.2英里×435英里)，倾角28.99°,NULL,轨道科学公司,太空装备,美国,2003年4月28日,NULL
{'$oid': '5cc933d5831b973d657f2356'},呼啸号,http://images.huanqiu.com/sarons/2013/11/511597dca934237c582e873ec8c193e6.jpg,俄罗斯普列谢茨克,科学卫星,NULL,极地冰盖探测卫星（Cryosat）,"
Cryosat原计划是作为“生存星球(Living Planet)”计划的第一次地球探索任务而进行的。由于运载火箭的故障，第一颗Cryosat卫星于2005年10月坠入大西洋。几个月之后，欧洲航天局与阿斯特里厄姆公司签订合同，重新建造一颗Cryosat卫星。
",NULL,NULL,717公里（446公里）轨道倾角92°,NULL,EADS阿斯特里厄姆公司,太空装备,法国,2005年10月8日,NULL
{'$oid': '5cc933d5831b973d657f2357'},德尔塔Ⅱ7920,http://images.huanqiu.com/sarons/2013/11/0ec1f3e0b823cd816aea5e3f8a45103b.jpg,加利福尼亚州，范登堡,科学卫星,NULL,重力探测器B ,重力探测器B是NASA和斯坦福大学联合进行的一个试验项目，目的是验证爱因斯坦广义相对论的两个重要预测，即时间和空间不仅会因地球等大质量物体的存在而弯曲，大质量物体的旋转还会拖动周围时空结构发生扭曲，这两项预测分别被称为“恻地效应”和“结构拖曳(Frame Dragging)”，这些是通过测量4个陀螺仪转向地球旋转方向的微小变化得到的。,NULL,NULL,640公里×646公里(390英里×401英里)，倾角90°,NULL,斯坦福大学,太空装备,美国,2004年4月20日,NULL
{'$oid': '5cc933d6831b973d657f2358'},德尔塔Ⅱ7920,,加利福尼亚州，范登堡,科学卫星,NULL,TIMED大气观测卫星,"
TIMED由约翰·霍普金斯大学应用物理实验室设计、研制和运营，是NASA的第一颗太阳能地球探测卫星，是迄今为止第一次对地球中间层和低热层／电离层、以及人类缺乏了解的高层大气区域进行深入、全面研究的航天任务。它在最高日射期间发射，但是在最低日射期间搜集数据。
",NULL,NULL,625公里(388英里)，轨道倾角74.1°,NULL,约翰·霍普金斯大学应用物理实验室,太空装备,美国,2001年12月7日,NULL
{'$oid': '5cc933d6831b973d657f2359'},德尔塔2920H-10,http://images.huanqiu.com/sarons/2013/11/ae1c7d6dfdde34eb9aca2dec3afd8909.jpg,佛罗里达州，卡纳维拉尔角,科学卫星,NULL,GLAST ,GLAST由NASA联合美国能源部建造，法国、德国、意大利、日本和瑞典5国政府机构及科研组织给予了资金和技术支持。,NULL,NULL,565公里(350英里)，轨道倾角28.5°,NULL,轨道科学公司(以前的中光谱航宇公司),太空装备,美国,2008年2月31日,NULL
{'$oid': '5cc933d6831b973d657f235a'},德尔塔II 7326,,加利福尼亚州，范登堡,科学卫星,NULL,IMAGE 探测器,"
IMAGE是美国的第一颗中型探测器，也是第一颗致力于地球磁气圈成像的飞行器。这颗卫星使用中性原子、紫外线和射电成像技术来生成第一幅全球磁气圈内部的等离子图像。它所获得的实时数据由美国和日本的国家海洋和大气部门用于空间天气预报。
",NULL,NULL,45922公里×620公里(28535英里×620英里)90.01°,NULL,洛克希德·马丁空间系统公司,太空装备,美国,2000年3月25日,NULL
{'$oid': '5cc933d6831b973d657f235b'},阿丽亚娜5 ECA,,法属圭亚那，库鲁,科学卫星,NULL,赫谢尔（Herschel）太空望远镜,赫谢尔(以前称为远红外和亚毫米望远镜，或FIRST)是欧洲航天局的红外空间探测项目。它的3.5米(11.5英尺)的镜片是已有的空间望远镜中最大的。它将搜集宇宙中最远和最冷的物体产生的长波辐射。,NULL,NULL,L2拉格朗日点，李萨如轨道,NULL,欧洲阿尔卡特—阿莱尼亚航天公司,太空装备,美国,2008年7月,NULL
{'$oid': '5cc933d6831b973d657f235c'},呼啸号/微风KM,http://images.huanqiu.com/sarons/2013/11/4f68dc33f248bbe084f06820be0f2834.jpg,俄罗斯，普列谢茨克,科学卫星,NULL,GRACE(重力场恢复与气候实验卫星),"
重力场恢复与气候实验卫星是呈编队飞行，这两颗卫星的精确速度和相隔的距离需要经常使用微波测距设备来测量。随着重力场的变化，它们之间的距离也在变化。GPS测量的延迟或倾角能够用来研究大气层和电离层的影响。
",NULL,NULL,485公里（301英里），轨道倾角89°,NULL,EADS阿斯特里厄姆公司,太空装备,美国,2002年3月17日,NULL
{'$oid': '5cc933d6831b973d657f235d'},联盟号Soyuz 2—lb,,哈萨克斯坦，拜科努尔发射场,科学卫星,NULL,COROT天文卫星,"
COROT是天文卫星，该卫星有两个任务：一个是研究恒星内部的奥秘，一个是寻找围绕其他恒星运行的行星。COROT将花费将近三年的时间研究12万颗恒星光辐射的微小变化。
",NULL,NULL,895公里×906公里(556英里×563英里)，倾角90°,NULL,泰利斯.阿莱尼亚公司,太空装备,美国,2006年12月27日,NULL
{'$oid': '5cc933d7831b973d657f235e'},H-ⅡA,http://images.huanqiu.com/sarons/2013/11/140eb1fb13f06e1e59b28d1826157eba.jpg,日本，种子岛,科学卫星,NULL,ETS Ⅷ,"
在1975年ETS-I(KIKU No.1)发射之后，为了达到开发和测试先进卫星技术，日本的航天部门已经发射了一系列工程试验卫星(ETS系列)。其中最近发射的一颗就是工程试验卫星ETS VIII(KIKU No.8)，它也是世界上最大的地球同步卫星之一。ETS VIII将进行大型可展开反射器(S频段)的轨道实验。这颗卫星装备两架可展开天线，是世界上最大的可展开天线之一。
",NULL,NULL,146°E（GEO）,NULL,三菱电机、NEC东芝空间系统,太空装备,日本,2006年12月18日,NULL
{'$oid': '5cc933d7831b973d657f235f'},发现者号航天飞机，STS-48,,佛罗里达州，肯尼迪角,科学卫星,NULL,UARS高层大气研究卫星,"
   美国高层大气研究卫星(UARS)是NASA地球科学事业计划的第一个任务。它也是第一个专门研究地球高层大气中发生的物理和化学过程的航天任务。它的主要目标包括测量高层大气里的能量流(输入和损失)和全球光化学，包括臭氧洞的变化。
",NULL,NULL,585公里(364英里)，倾角57°,NULL,通用电子公司Astro-space分部,太空装备,美国,1991年9月12日,NULL
