_id,运载火箭,图片,发射地点,类型,处理器,名称,简介,首次轨道发射,轨道,制造商,大类,关注度,产国,发射日期,长度
{'$oid': '5cc933c9831b973d657f2324'},阿特拉斯V,http://images.huanqiu.com/sarons/2013/11/92e8760e12aeb91caf012405bd72ec6f.jpg,佛罗里达州，卡纳维拉尔角,军事卫星,NULL,SBIRS（天基红外系统）,"
天基红外系统SBIRS，由美国空军太空与导弹系统中心研制，是美国早期预警卫星“国防支援计划(DSP)”的代替卫星。最初的设想是SBIRS既包括近地轨道卫星，又包括地球静止轨道卫星。SBIRS-Low(天基红外系统的低轨道卫星)后来被重新命名为空间目标跟踪和监视系统(STSS)。SBIRS-High仍然简称为SBIRS。技术和资金问题造成了时间上的拖延，并且使整个系统工作向前推进地相当勉强。
",NULL,地球静止转移轨道,洛克希德·马丁太宅系统分部,太空装备,(4分),美国,2009年,NULL
{'$oid': '5cc933c9831b973d657f2325'},闪电M,http://images.huanqiu.com/sarons/2013/11/2a6dc60ea4917155dea2cea07aa693ec.jpg,俄罗斯，普列谢茨克航天发射场,军事卫星,NULL,Oko眼睛（US-KS）卫星系统,"
Oko(眼睛)是俄罗斯的导弹早期预警卫星中的一个系列，与美国的国防支援计划(DSP)很相似。建造这个系统是为了探测美国和西欧发射的弹道导弹，它不能探测从海上和其他地区发射的导弹。
",NULL,539公里×39570公里,俄罗斯宇航公司NPO拉沃契金设计局,太空装备,NULL,苏/俄,2006年7月21日,NULL
{'$oid': '5cc933ca831b973d657f2326'},宇宙3M火箭,,俄罗斯，普列谢茨克航天发射场,军事卫星,NULL,山雀（Parus）卫星,"
山雀(Parus，Sail)卫星系统，也被认为是Tiskada系统的军用型(Tiskada-M)，用来为俄罗斯海军和弹道导弹潜艇部队提供专用的导航数据和存储一转发无线电通信服务。这个系统的第一次试飞是在1974年，由“宇宙700”卫星开始，而这个系统实现运转是在1976年。这个系统每一年都有一颗卫星发射。
",NULL,943公里×1008公里,俄岁斯雷席特涅夫应用机械研究与生产联合会,太空装备,NULL,苏/俄,2007年9月11日,NULL
{'$oid': '5cc933ca831b973d657f2327'},第聂伯1号,http://images.huanqiu.com/sarons/2013/11/383cf25d16f31b2d720fc597b8459148.jpg,哈萨克斯坦，拜科努尔发射场,军事卫星,NULL,TerraSAR-X雷达卫星,"
TerraSAR-X是一个先进综合孔径雷达卫星系统，其设计目的是科学研究和商业应用。它是首颗由德国宇航中心和EADS阿斯特里厄姆公司共同研制的卫星。
",NULL,514公里（319英里），轨道倾角97.4°(太阳同步轨道),EADS阿斯特里厄姆公司,太空装备,NULL,德国,2007年6月15日,NULL
{'$oid': '5cc933ca831b973d657f2328'},阿丽亚娜44L,,法属圭亚那，库鲁,军事卫星,NULL,西克拉尔（Sicral）军事卫星系统,"
Sicral1是意大利第一颗军事通信卫星，作为三国联合出资项目的一部分，为北大西洋公约组织国家提供电信服务。Sicral的设计寿命是10年，它将数据输送到意大利军方的固定和移动终端(其中也包括战斗机)，为军方提供通信服务。
",NULL,16.2°E（GEO）,欧洲阿尔卡特-阿莱尼亚航天公司,太空装备,NULL,意大利,2001年2月7日,NULL
{'$oid': '5cc933cc831b973d657f2329'},德尔塔Ⅱ7920,,加利福尼亚州，范登堡,军事卫星,NULL,Radarsat雷达卫星,"
Radarsat卫星是加拿大政府和加拿大／美国工业部合作完成。麦克唐纳-德特威尔联合有限公司(MDA)及其合作单位负责建造并运行该卫星及地面部分。加拿大空间局帮助出资建造和发射，卫星拍摄图像属于加空局。作为提供地球表面图像的第一批商业雷达成像卫星中的一颗，Radarsat使加拿大在地球观测方面处于领先地位。
",NULL,703公里×821公里(493英里×510英里)，轨道倾角98.6°(太阳同步轨道),Spar AerosPace公司(现在的麦克唐纳-德特威尔联合有限公司)／巴尔航天公司,太空装备,NULL,加拿大,1995年11月4日,NULL
{'$oid': '5cc933cc831b973d657f232a'},阿丽亚娜5ECA,http://images.huanqiu.com/sarons/2013/11/a1a471a33f7d69d39a53d47a1e9a4875.jpg,法属圭亚那，库鲁,军事卫星,NULL,天网5（Skynet 5）军事通信卫星,"
天网5是接替英国国防部天网4星座的卫星系统。它的应用目的是为英国和北约部队提供安全、可靠的战略通信和政府通信服务。依靠堪称典范的辅助性安全通信系统，阿斯特里厄姆公司成为了三颗天网5卫星的主要承包商。天网卫星计划是英国国防部的太空项目，耗资3.6亿英镑(7.4亿美元)，预计到2020年完成，主要用于提供安全的战略通信服务。
",NULL,1°W（GEO）,欧洲EADS阿斯特里厄姆公司,太空装备,NULL,英国,2007年3月11日,NULL
{'$oid': '5cc933cd831b973d657f232b'},呼啸号,http://images.huanqiu.com/sarons/2013/11/14d96f13d654ecb3879bda39e518a9e5.jpg,俄罗斯，普列谢茨克,军事卫星,NULL,Kompsat ,"
军民两用Kompsat计划是从1999年12月Kompsat-1发射时开始的。这颗卫星是与美国合作，基于TRW的“鹰”级轻量化、模块化飞行器制造的。它的有效载荷包括由ittonitek光学系统公司提供的地面分辨率为6.6米(21.6英尺)的CCD成像系统，以及TRW提供的用于海洋和地球资源监测的低分辨率摄像机。卫星上还搭载了测量地球电离层、磁场的设备，以及一部高能粒子探测器。
",NULL,685公里（426英里）98.1°，太阳同步轨道,韩国航天研究院,太空装备,NULL,韩国,2006年7月28日,NULL
{'$oid': '5cc933cd831b973d657f232c'},Zenit-3SL,http://images.huanqiu.com/sarons/2013/11/0f2c300cce541fb1eecf2642c065cfef.jpg,太平洋，奥德赛平台,军事卫星,NULL,Koreasat通讯卫星,韩国通信卫星系列已经发射了4颗卫星。Koteasat 1已于2005年退役，另外还有两颗成功发射的卫星继续运行至2007年1月。由于在一些亚洲国家的文化传统中数字4代表死亡，因此Koreasat最近发射的第4颗卫星命名为Koreasat 5。Koreasat 5是基于阿尔卡特·阿莱尼亚航天公司的4000 CI平台设计制造的，它是韩国第一颗商业和军事两用通信卫星。,113°E(GFO),NULL,阿尔卡特·阿莱尼亚航天公司,太空装备,NULL,韩国,2006年8月22日,NULL
{'$oid': '5cc933cd831b973d657f232d'},德尔塔Ⅱ7920,,佛罗里达州，卡纳维拉尔角,军事卫星,NULL,空间跟踪和监视系统（STSS，SBIRS-Low）,"
早期的STSS被称为亮眼(BrilliantEyes)，后来被称为天基红外系统-低轨道卫星(SBIRS-Low)。2002年，美国导弹防御局开始重建这项计划，并为其重新命名。STSS被设计为一个近地轨道的卫星群，卫星上装备红外和可视探测器用以捕获并跟踪弹道导弹。
",NULL,近地轨道(LEO),诺斯洛普·格鲁曼空间技术公司,太空装备,NULL,美国,2008年,NULL
{'$oid': '5cc933cd831b973d657f232e'},宇宙3M火箭,http://images.huanqiu.com/sarons/2013/11/6ee02fb1d3a2f2e2ed732e294d3883bb.jpg,俄罗斯，普列谢茨克航天发射场,军事卫星,NULL,SAR-Lupe雷达侦察卫星,"
SAR-Lupe雷达侦察卫星作为德国的第一个卫星侦查系统，它包括5颗相同的卫星，发射这些卫星的时间间隔是六个月。卫星在三个不同的轨道面飞行，这使得它们能够在从北纬80度到南纬80度的范围内观测地球表面。
",NULL,468公里×505公里,德国OHB-系统公司,太空装备,NULL,德国,2006年12月19日,NULL
