_id,参战情况,图片,口径,类型,数量,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,弹匣容弹量,大类,发射性能,战斗射速,产国
{'$oid': '5cc9323d831b973d657f19fb'},NULL,http://images.huanqiu.com/sarons/2013/08/0c20fd6519c98c9c3c75a906c04f4d2d.jpg,7.62毫米,狙击枪,NULL,斯太尔-曼利夏SSG-69狙击步枪,1969年,,4.6千克,800米,1140毫米,施泰尔-曼利夏有限公司,5发,枪械与单兵,非自动枪支,NULL,奥地利
{'$oid': '5cc9323e831b973d657f19fc'},NULL,http://images.huanqiu.com/sarons/2013/07/0b0ca9dc4c5c33a1b7bec51b50928364.jpg,7.62毫米,狙击枪,NULL,吉亚特FR-F1／FR-F2步枪,1966年-1980年（F1）；1984年-（F2）,,5.2千克,800米,1138毫米,法国国营圣·艾蒂安武器制造厂,10发,枪械与单兵,NULL,NULL,法国
{'$oid': '5cc9323e831b973d657f19fd'},NULL,,7.62毫米,狙击枪,NULL,西格-绍尔SSG-2000步枪,1989年-2002年,"
SSG2000是一款高端的军、警用狙击步枪，它以SAUERM80/90型运动步枪作为基础，加装了更为厚重的枪管、枪口制退器以及狙击用的特制枪托而成。该枪采用与众不同的枪机系统：转动拉机柄时，拉机柄前方的凸起在凸轮的作用下向外运动，并卡进机匣的凹槽中，导致枪栓无法转动。进入待击状态后，扳机被推向前，只需轻轻触碰就可射击。该枪被设计成比赛用枪和执法用狙击枪，没有机械瞄具，必须装备瞄准镜。除7.62毫米口径枪弹外，该枪还可使用5.56×45毫米和7.5×55毫米军用枪弹和0.3英寸马格努姆枪弹。
",6.6千克,1000米,1210毫米,NULL,4发,枪械与单兵,NULL,NULL,瑞士
{'$oid': '5cc9323e831b973d657f19fe'},NULL,,5.56毫米,狙击枪,NULL,SSG 550狙击手自动步枪,1995年-2002年,"
SSG550是在SG550标准型的基础上改进而成的，它采用锤锻重型枪管，只能进行半自动射击。单连发扳机、枪托底部长度和贴腮板可调。根据需要也可调整手枪握把，以便安装扶手。装有两脚架，瞄准镜位置可调以适应射手面部贴近贴腮板时的瞄准动作。顶部可安装拖拉式透光板，以防枪管发烫形成的热气流影响瞄准。该枪的设计充分考虑了狙击手的人机功效。
",7.3千克,1500米,1130毫米,西格公司,30发,枪械与单兵,自动步枪,NULL,瑞士
{'$oid': '5cc9323e831b973d657f19ff'},NULL,,7.62毫米,狙击枪,NULL,伯莱塔狙击步枪,1985年,"
伯莱塔M501狙击步枪，也称伯莱塔狙击步枪（Beretta sniper rifle）和意大利伯莱塔 7.62毫米 狙击步枪（Beretta 7.62mm Sniping Rifle），是意大利伯莱塔公司于80年代研制成功的新型狙击步枪，发射北约7.62毫米标准枪弹，用于在较远距离上消灭单个重要有生目标。该枪装备意大利军警部队，目前已不再生产。
",5.6千克,NULL,1165毫米,伯莱塔公司,5发,枪械与单兵,非自动步枪,NULL,意大利
{'$oid': '5cc9323e831b973d657f1a00'},NULL,,7.62毫米,狙击枪,NULL,西格-绍尔SSG-3000狙击步枪,1991年-2002年,,5.4千克,NULL,1180毫米,SIG Arms（现在是西格&绍尔）,5发,枪械与单兵,NULL,NULL,瑞士
{'$oid': '5cc9323e831b973d657f1a01'},NULL,http://images.huanqiu.com/sarons/2013/08/ea64c1a838663342a37498a56e726b4a.jpg,12.7毫米,狙击枪,NULL,杰帕德M1／M1A1步枪,1992年,,19千克,1000米,1570毫米,杰帕德公司,20发,枪械与单兵,非自动步枪,NULL,匈牙利
{'$oid': '5cc9323e831b973d657f1a02'},1994年第一次车臣战争、1999年第二次车臣战争、2011年叙利亚内战 、2011年利比亚内战,http://images.huanqiu.com/sarons/2013/08/4c15b8b2d3704f9ac204dc5a30b3c3f3.jpg,12.7毫米,狙击枪,NULL,OSV-96狙击步枪,1996年至今,,12.9千克,NULL,1746毫米,KBP仪器设计厂,5发,枪械与单兵,半自动枪支,15发/分,苏/俄
{'$oid': '5cc9323e831b973d657f1a03'},海湾战争爱尔兰冲突科索沃战争伊拉克战争阿富汗战争墨西哥毒品战争,http://images.huanqiu.com/sarons/2013/08/f56f91f3e606783e59f4f7675e539ce3.jpg,12.7毫米,狙击枪,NULL,巴雷特Light Fifty M82A1狙击步枪,1983年-1992年,,13.4千克,1850米,1549毫米,巴雷特军火公司,11发,枪械与单兵,自动步枪,NULL,美国
{'$oid': '5cc9323e831b973d657f1a04'},驻东帝汶的联合国维和部队，2001年阿富汗战争，2003年伊拉克战争,http://images.huanqiu.com/sarons/2013/08/2fa187e77ccf33de63dae2cd14755e0a.jpg,12.7毫米,狙击枪,NULL,精确国际AW50F步枪,1999年,"
（英语：Accuracy International Arctic Warfare 50 Folding）为英国精密国际设计的北极作战（英语：Arctic Warfare）系列的重型狙击步枪（反器材步枪），为AW50的折叠式枪托版（这也是精密国际AW的一种衍生型）。有多个武装力量将其用作反器材步枪，其中包括英国和澳大利亚军队。除更大、更重外，与类似的小口径步枪相比，AW50F还装备显眼的枪口制退器和可调整的折叠式枪托，以适合身高不同的人使用。枪托还包含一个依托架，让使用者长时间观察目标区域后也不会感到疲劳。机匣上方的导轨可安装光学瞄准镜和夜视瞄准镜。
",13.6千克,1500米,1350毫米,英国精密国际,5发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc9323f831b973d657f1a05'},NULL,http://images.huanqiu.com/sarons/2013/08/df1da66d791898f6fa8f94006d10bcc0.jpg,7.62毫米,狙击枪,NULL,精确国际L96A1狙击步枪,1985年至今,,6.5千克,800米,1124毫米,精准国际公司（Accuracy International）,10发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc9323f831b973d657f1a06'},NULL,,7.62毫米,狙击枪,NULL,NM 149S狙击步枪,1990年,"
NM 149S狙击步枪是一种适合冰天雪地使用的狙击步枪。它的组构件都有耐寒的性能。尤其是木制枪托表面又浸渍了层状的树脂，不冻手，且便于握持。
",5.6千克,800米,1120毫米,未知,5发,枪械与单兵,非自动枪支,NULL,挪威
{'$oid': '5cc9323f831b973d657f1a07'},NULL,http://images.huanqiu.com/sarons/2013/08/3358a3a772e84b8850f3f0fbf253b6f5.jpg,7.62毫米,狙击枪,NULL,德拉格诺夫SVD狙击步枪,1963年至今,,4.3千克,800米,1225毫米,前苏联伊茨玛希机械厂,10发,枪械与单兵,半自动枪支,NULL,苏/俄
{'$oid': '5cc9323f831b973d657f1a08'},NULL,http://images.huanqiu.com/sarons/2013/08/d281f23bf193b08eac56deb087f03b51.jpg,14.5毫米,狙击枪,NULL,NTW20／14.5反器材步枪,1995年至今,,32千克,2300米,2015毫米,南非托尼内奥皮图兵器设计公司,3发,枪械与单兵,NULL,NULL,南非
{'$oid': '5cc9323f831b973d657f1a09'},2001年阿富汗战争,http://images.huanqiu.com/sarons/2013/08/e900736361f36fa750d33e7a644c571a.jpg,7.62毫米,狙击枪,NULL,帕克-黑尔M82步枪,1982年-1984年,,4.8千克,800米,1162毫米,英国帕克黑尔公司,4发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc9323f831b973d657f1a0a'},NULL,http://images.huanqiu.com/sarons/2013/11/f7619cf4a0eeab4332a7548a71df751a.jpg,7.62毫米,狙击枪,NULL,精准国际7.62毫米PM狙击步枪系统,20世纪80年代,,6.5千克,800米,1194毫米,精准国际公司(Accuracy Intemational，英国，朴次茅斯),10发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc9323f831b973d657f1a0b'},NULL,http://images.huanqiu.com/sarons/2013/08/4cb87efbf1a5dddd88812f6316c985e1.jpg,7.62毫米,狙击枪,NULL,恩菲尔德执法者步枪,1970年-1985年,,4.19千克,1828米,1257毫米,英国皇家轻武器厂（RSAF）,10发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc9323f831b973d657f1a0c'},越战，波斯湾战争，伊拉克战争，2001年阿富汗战争,http://images.huanqiu.com/sarons/2013/08/72daf4c2ff6a5994643bdff59fea2a7d.jpg,7.62毫米,狙击枪,NULL,M40A1狙击步枪,1962年至今,,6.6千克,800米,1118毫米,美国雷明登武器公司,5发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93240831b973d657f1a0d'},2001年阿富汗战争美伊战争,,7.62毫米,狙击枪,NULL,7.62毫米精确射手步枪（DMR）,NULL,,5千克,800米,1118毫米,海军陆战队步枪队装备工作室(美国，弗占尼亚州，匡堤科),20发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93240831b973d657f1a0e'},NULL,,7.62毫米,狙击枪,NULL,精准国际7.62毫米AW狙击步枪,NULL,"
精准国际7.62毫米AW狙击步枪在设计上考虑了防冻问题，设计了特殊的表面保护层、三位置保险柄、滑动自如的手动式枪机开闭锁机构、枪口制退器、更简单可靠的可分离机械瞄准具、改进的两脚架、与便携挽带配套的多点吊钩附件以及容量为10发的弹匣。
",6.4千克,800米,1180毫米,精准国际公司(英国，朴次茅斯),10发,枪械与单兵,单发,NULL,英国
{'$oid': '5cc93240831b973d657f1a0f'},越战，波斯湾战争，伊拉克战争，2001年阿富汗战争,http://images.huanqiu.com/sarons/2013/11/00ba6e65bffd13d38e6f291158e12dd9.jpg,7.62毫米,狙击枪,NULL,铁旅兵工厂M40系列狙击步枪,1966年至今,"
M40狙击步枪是雷明登700步枪的衍生型之一。1966年越战开始装备美国海军陆战队，亦是其制式狙击步枪。M40有3种改进型，1977年的M40A1、1980年的M40A1、2001年的M40A3及2009年的M40A5。美国海军陆战队的M40A1正以更换枪管、枪托及其他零件的方式，陆续换装成新型的M40A3。原型的M40是军用版本的雷明登700步枪，一体式木制枪托及其他所有零件皆由雷明登武器公司制造，而M40A1及A3的枪托改用玻璃纤维，80年的A1及A3换装新型瞄准镜。
",6.5千克,1300米,1115毫米,铁旅兵工厂(美国，北卡罗来纳州),5发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93240831b973d657f1a10'},南斯拉夫内战、科索沃战争 伊拉克战争,http://images.huanqiu.com/sarons/2013/08/c03b4c95189df3ec7dc046cc07eae9ec.jpg,7.92毫米,狙击枪,NULL,Zastava M76自动步枪,1975年-,,4.6千克,800米,1135毫米,前南斯拉夫扎斯塔瓦武器公司,10发,枪械与单兵,自动步枪,NULL,前南斯拉夫
{'$oid': '5cc93240831b973d657f1a11'},NULL,http://images.huanqiu.com/sarons/2013/11/a25fbaf0280cc48002263b31228c945e.jpg,7.62毫米,狙击枪,NULL,AW“隐蔽型”狙击步枪,NULL,,6千克,300米,1200毫米,精准国际公司(英国，朴次茅斯),10发,枪械与单兵,单发,NULL,英国
{'$oid': '5cc93240831b973d657f1a12'},车臣战争，2008年南奥塞梯战争，别斯兰人质危机,http://images.huanqiu.com/sarons/2013/11/6edbd998055255ad87421b5a95ece0ee.jpg,9毫米,狙击枪,NULL,9毫米VSS微声狙击步枪,1980年,,NULL,400米,894毫米,中央精密机械工程研究院(俄罗斯，莫斯科),30发,枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc93240831b973d657f1a13'},NULL,http://images.huanqiu.com/sarons/2013/08/8453572e677df5dde39f0d9b9ce1af48.jpg,12.7毫米,狙击枪,NULL,贝尔塔95M型步枪,1995年至今,,9千克,1800米,1143毫米,美国贝尔塔枪械公司,5发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93240831b973d657f1a14'},NULL,http://images.huanqiu.com/sarons/2013/08/ab5aeebb2a89fee1fb2fed358b30a5c7.jpg,7.62毫米,狙击枪,NULL,赫克勒·科赫PSG 1自动步枪,1975年,,8.1千克,1000米,1208毫米,德国赫克勒-科赫有限公司,20发,枪械与单兵,半自动步枪,NULL,德国
{'$oid': '5cc93241831b973d657f1a15'},NULL,http://images.huanqiu.com/sarons/2013/11/e2c02df6009a7a319a56634d2371d3a3.jpg,5.8毫米,狙击枪,NULL,QBU88式狙击步枪,1996年,,4.1千克,1000米,920毫米,中国北方工业公司,10发,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93241831b973d657f1a16'},NULL,http://images.huanqiu.com/sarons/2013/11/1272ededcbbc9d89d9dcb19ad94c72a3.jpg,12.7毫米,狙击枪,NULL,W03型12.7mm狙击步枪,2001年,"
    W03型12.7mm狙击步枪是一种无托结构的步枪，采用机头回转式闭锁，旋转后拉式枪机。枪管有1002mm的长枪管和737mm的短枪管两种。该枪的高效制退、消焰器效率极好，卧姿抵肩射击时，可感后坐力与12号霰弹枪差不多，而测得的枪口焰也比85式高射机枪小。该枪的另一特点是枪管可快速更换，提把与枪管的固定栓二合为一，这样的设计看来是仿效了机枪的特点。
",12千克,2000米,1370毫米,NULL,10发,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93241831b973d657f1a17'},NULL,http://images.huanqiu.com/sarons/2014/01/c1ef3630aa27e94ab67531c35784b882.jpg,7.62毫米,狙击枪,NULL,M39增强型精确射手步枪,2008年至今,"
M39增强型精确射手步枪（EMR或M39 EMR，北约贮存编号：1005-01-553-5196；美国军方正式名称：Rifle, 7.62 MM, M39 Enhanced Marksman Rifle (EMR)）是美国海军陆战队（USMC）于2008年以M14自动步枪的衍生型M14 DMR改装的7.62 × 51毫米半自动精确射手步枪。EMR目前配发的弹药为M118LR 175格令远程狙击弹，基本型的EMR（不计算弹匣、背带、两脚架、清洁用具、消声器）重量为13磅（5.9公斤）。
",7.5千克,770米,1120毫米,NULL,20发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93241831b973d657f1a18'},NULL,,12.7毫米,狙击枪,NULL,国产JS05式12.7MM狙击步枪,2003年,"
国产JS05式12.7MM狙击步枪，是建设集团的JS7.62液压驻退式手动旋转后拉枪机战术狙击步枪，最具特色的是其液压驻退系统,是国产大口径反器材步枪中唯一能发射次口径脱壳穿甲弹的型号。
",12.5千克,1000米,1392毫米,NULL,3发,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93241831b973d657f1a19'},NULL,http://images.huanqiu.com/sarons/2013/11/7f2f9fc1b8230c135e29d23586f09b60.jpg,8.59毫米,狙击枪,NULL,巴雷特M98B狙击步枪,2008年,,6.12千克,NULL,99999.999毫米,巴雷特,10发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93242831b973d657f1a1a'},NULL,http://images.huanqiu.com/sarons/2014/01/6f2b545c626320d9c3f78a206c0f866d.jpg,12.7毫米,狙击枪,NULL,M99半自动狙击步枪,20世纪90年代后期,"
M99式是一款性能先进、用途广泛、精度高、射程远、重量轻、结构新颖、性能可靠、易维护的半自动狙击步枪，是新定型的出口型反器材步枪，它与英国AI公司的AS50的外形似乎很接近，均为气吹式原理，尤其是导气管外都有个隔热套保护，防止导气管加热上方空气而影响瞄准。
",11.4千克,1500米,1270毫米,NULL,5发,枪械与单兵,半自动,NULL,中国
{'$oid': '5cc93243831b973d657f1a1b'},NULL,http://images.huanqiu.com/sarons/2014/01/f99e69296f6f85ad3da05cc008bdf1f3.jpg,12.7毫米,狙击枪,NULL,AMR-2型12.7毫米狙击步枪,2000年,"
AMR-2（英语：AntiMaterielRifle-2）是一枝在中国设计的12.7 毫米（50 英吋）大口径重型狙击步枪（反器材步枪），由中国南方工业集团公司设计及生产，于2000年早期推出，发射12.7 × 108 毫米（54式12.7毫米重机枪弹）步枪子弹。
",11千克,1800米,1420毫米,中国南方工业集团公司,5发,枪械与单兵,非自动狙击步枪,NULL,中国
{'$oid': '5cc93243831b973d657f1a1c'},NULL,,7.62毫米,狙击枪,NULL,JS 7.62mm狙击步枪,2003年,,5.5千克,800米,1030毫米,建设集团军品研究所,5发,枪械与单兵,非自动枪支,NULL,中国
{'$oid': '5cc93243831b973d657f1a1d'},NULL,http://images.huanqiu.com/sarons/2013/11/6a41865544a6600e09440227aa1fcf14.jpg,7.62毫米,狙击枪,NULL,m40a5狙击步枪,2009年,,7.48千克,914.4米,1125毫米,NULL,5发,枪械与单兵,非自动枪支,NULL,美国
{'$oid': '5cc93243831b973d657f1a1e'},阿富汗战争，伊拉克战争,http://images.huanqiu.com/sarons/2013/11/5f447dbd6d91d343f811a8c1a7e45035.jpg,7.62毫米,狙击枪,NULL,Mk11式7.62毫米狙击步枪,2007年,,4.47千克,600米,1003毫米,奈特军械公司,20发,枪械与单兵,自动枪支,NULL,美国
{'$oid': '5cc93244831b973d657f1a1f'},2008年男奥塞梯战争,http://images.huanqiu.com/sarons/2013/11/3f7752dae3c470f3819a2d8daacf798d.jpg,7.62毫米,狙击枪,NULL,SV98狙击步枪,1998年,,7.8千克,1000米,1375毫米,伊茨玛希工厂,10发,枪械与单兵,手动机枪,NULL,苏/俄
{'$oid': '5cc93244831b973d657f1a20'},NULL,http://images.huanqiu.com/sarons/2013/11/880c6203c3d6d9e464b80b9f17ddbc4b.jpg,5.56毫米,狙击枪,NULL,97式5.56mm狙击步枪,1997年,,4.2千克,600米,920毫米,中国北方工业公司,10发,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93244831b973d657f1a21'},NULL,http://images.huanqiu.com/sarons/2014/01/91407a104d98059ee108bb74f5caaf7f.jpg,7.62毫米,狙击枪,NULL,CZ-700狙击枪,NULL,,6.2千克,NULL,1250毫米,捷克斯洛伐克CZ兵工厂,10发,枪械与单兵,NULL,NULL,捷克
{'$oid': '5cc93244831b973d657f1a22'},NULL,http://images.huanqiu.com/sarons/2014/01/c656ed91d69013541c6e25227b7b8941.jpg,7.62毫米,狙击枪,NULL,MK11-0型狙击步枪,NULL,,4.47千克,1000米,1003毫米,奈特军械公司,20发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93244831b973d657f1a23'},NULL,,8.59毫米,狙击枪,NULL,雷明登SR8狙击步枪,1962年,,7.14千克,NULL,12446毫米,雷明登军品分公司,4发,枪械与单兵,自动枪支,NULL,美国
{'$oid': '5cc93244831b973d657f1a24'},NULL,,7.62毫米,狙击枪,NULL,CB-98狙击枪,NULL,,6.2千克,300米,1270毫米,伊热夫斯克机械公司,10发,枪械与单兵,NULL,NULL,苏/俄
{'$oid': '5cc93244831b973d657f1a25'},车臣战争,http://images.huanqiu.com/sarons/2014/01/88f8cb41373c1e0551131f10d3a76d05.jpg,12.7毫米,狙击枪,NULL,V-94狙击枪,1996年,,11.7千克,2000米,1700毫米,图拉仪表制造设计局,5发,枪械与单兵,自动枪支,NULL,苏/俄
{'$oid': '5cc93245831b973d657f1a26'},NULL,,7.62毫米,狙击枪,NULL,斯泰尔SSG-04狙击枪,2004年,,5.2千克,800米,1175毫米,斯泰尔-曼利夏公司,10发,枪械与单兵,NULL,NULL,奥地利
{'$oid': '5cc93245831b973d657f1a27'},对越自卫反击战,,7.62毫米,狙击枪,NULL,85式狙击步枪,1979年,,4.4千克,800米,1220毫米,NULL,10发,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93245831b973d657f1a28'},NULL,,7.62毫米,狙击枪,400,PSG-1半自动狙击步枪,1972年,,8.1千克,1000米,1208毫米,黑克勒-科赫公司,20发,枪械与单兵,自动枪支,NULL,德国
{'$oid': '5cc93245831b973d657f1a29'},NULL,http://images.huanqiu.com/sarons/2014/01/52b3f6b04b583d2fb10dbc2fce771fce.jpg,8.59毫米,狙击枪,NULL,L115A3狙击枪,2008年,,6.8千克,600米,1300毫米,英国国际精密公司,5发,枪械与单兵,NULL,NULL,英国
{'$oid': '5cc93246831b973d657f1a2a'},NULL,,12.7毫米,狙击枪,NULL,W03型狙击步枪,NULL,,12.5千克,2000米,1392毫米,NULL,10发,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93246831b973d657f1a2b'},NULL,http://images.huanqiu.com/sarons/2014/01/8d1e862df4b7df9c3cd075851ca4764c.jpg,7.62毫米,狙击枪,NULL,FN30-11式狙击枪,1980年,,4.85千克,600米,1117毫米,比利时国营赫斯塔尔公司,10发,枪械与单兵,非自动枪支,NULL,比利时
{'$oid': '5cc93246831b973d657f1a2c'},阿富汗战争，伊拉克战争,http://images.huanqiu.com/sarons/2014/01/44a3e85abd4cd131e4b084510ce4f819.jpg,7.62毫米,狙击枪,NULL,M110 SASS半自动狙击步枪,2007年,,6.94千克,1000米,1181毫米,奈特军械公司（KAC）,20发,枪械与单兵,自动枪支,NULL,美国
{'$oid': '5cc93247831b973d657f1a2d'},NULL,,7.62毫米,狙击枪,NULL,奥卡德狙击步枪,1989年,,4.3千克,400米,1209毫米,NULL,10发,枪械与单兵,自动枪支,NULL,伊拉克
{'$oid': '5cc93247831b973d657f1a2e'},NULL,,5.56毫米,狙击枪,NULL,SG-550狙击枪,1988年,,4.05千克,400米,998毫米,SIG公司,30发,枪械与单兵,NULL,700发/分,瑞士
{'$oid': '5cc93247831b973d657f1a2f'},NULL,,18.2毫米,狙击枪,NULL,RSG-12式12号狙击枪,1991年,,3.52千克,91.44米,1054毫米,塔·亨特定制步枪公司，麦克米伦机械公司,2发,枪械与单兵,非自动枪支,NULL,美国
{'$oid': '5cc93247831b973d657f1a30'},NULL,,7.62毫米,狙击枪,NULL,SSG-3000狙击枪,1997年,,6.2千克,NULL,1180毫米,Sauer公司，SIG公司,5发,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93247831b973d657f1a31'},NULL,,中口径,狙击枪,NULL,TCIM狙击枪,NULL,,4.5千克,1000米,850毫米,以色列TCI公司,20发,枪械与单兵,NULL,NULL,以色列
{'$oid': '5cc93247831b973d657f1a32'},波斯湾战争，伊拉克战争，阿富汗战争,,7.62毫米,狙击枪,NULL,M24狙击步枪,1988年,,5.5千克,800米,1092毫米,雷明登武器公司,10发,枪械与单兵,NULL,NULL,美国
{'$oid': '5cc93247831b973d657f1a33'},NULL,,25毫米,狙击枪,NULL,巴雷特XM109狙击步枪,2004年－2006年,,15.06千克,2000米,1168毫米,巴雷特枪械公司,5发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93247831b973d657f1a34'},NULL,,12.7毫米,狙击枪,NULL,M82A1M狙击步枪,NULL,,1447.8千克,1850米,1150毫米,巴雷特枪械公司,10发,枪械与单兵,半自动枪支,NULL,美国
{'$oid': '5cc93248831b973d657f1a35'},NULL,,12.7毫米,狙击枪,NULL,猎豹M1狙击枪,NULL,,15千克,2000米,150毫米,匈牙利技术公司,5发,枪械与单兵,非自动枪支,NULL,匈牙利
