_id,装药类型,全重,图片,类型,名称,弹长,简介,研发单位,研制时间,尾翼装置,大类,弹径,制导系统,最大速度,关注度,动力装置,产国,引信装置
{'$oid': '5cc9342c831b973d657f24ff'},NULL,NULL,,炸弹,CBU-59/B子母炸弹,2337毫米,"
CBU-59/B子母炸弹是由美国研制的，1974年投产，装备于美国海、空军的A-4、A-6、A-7、F-4、F-16等作战飞机。1975年服役，参加了越南战争、中东战争，以及1991年的海湾战争。
",美国兵工厂,20世纪70年代,折叠式尾翼，翼展437毫米（闭合）/876毫米(张开）,爆炸物,335毫米,NULL,NULL,(5分),NULL,美国,MK6/7Mod2
{'$oid': '5cc9342d831b973d657f2500'},NULL,534千克,http://images.huanqiu.com/sarons/2013/11/1d96ce4b95d608a5880a44744a7cc9d3.jpg,炸弹,KAB-500型精确制导炸弹 ,3050毫米,,俄罗斯比姆派尔设计局研制,NULL,NULL,爆炸物,400毫米,NULL,9千米/时,NULL,NULL,苏/俄,NULL
{'$oid': '5cc9342d831b973d657f2501'},NULL,490千克,,炸弹,7712激光制导炸弹 ,36800毫米,"
国产的精确制导炸弹大规模公开始于06年的珠海航展，而中国最早开始致力于精确制导炸弹的研究始于上世纪六十年代后期。当时美军在越南战场上开始使用第一代的激光制导炸弹。比较著名的有对清化大桥的轰炸，这座在数年之中遭受无数次轰炸却反而无恙，而美军却付出了较大的代价，但激光制导炸弹的投入很快终结了其使命。在当时备战备荒的指导思想下，我国于1977年正式开始了第一代制导炸弹的研究，与其他国家一样，我们也是从激光制导入手。

与其他很多项目一样，该型炸弹已研制时间命名为7712。值得我们骄傲的是，爱技术条件并不好的十年内乱之后不久，我们就选择了与美军宝石路（一代）形同的指导方式，并取得了技术上的成功。
",NULL,1977年,NULL,爆炸物,37毫米,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342d831b973d657f2502'},NULL,NULL,,炸弹,国产250高阻航空炸弹,15000毫米,,NULL,NULL,NULL,爆炸物,3250毫米,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342d831b973d657f2503'},NULL,NULL,http://images.huanqiu.com/sarons/2013/11/8e996c57f52221b60804fdd7cc91a17e.jpg,炸弹,C4塑胶炸药,NULL,,NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,捷克,NULL
{'$oid': '5cc9342d831b973d657f2504'},NULL,1050千克,http://images.huanqiu.com/sarons/2014/01/6fc1270f368b4d52b425f5cf4246ffdd.jpg,炸弹,“天戈”系列激光制导炸弹 ,NULL,,哈尔滨建成集团有限公司,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342d831b973d657f2505'},NULL,1000千克,http://images.huanqiu.com/sarons/2014/01/a602a0a5d55edf3eb5565f0970c3e237.jpg,炸弹,BOLT-117激光制导炸弹,NULL,"
1965年4月，采用德州仪器公司（TI）制导系统的激光制导炸弹（LGB）第一次进行了成功投放。空军随后开始了宝石路（Paveway，原称铺路，Pave way，其实这是翻译版本的问题）计划，开始了对激光制导炸弹的全面发展工作，而德州仪器则接受了生产为750磅M117通用炸弹设计的KMU-342/B激光制导挂件的订单。安装了KMU-342/B的M117被称为“霹雳-117”（霹雳-BOLT=炸弹、激光、末端制导），在1968年首次在越南使用。
",美国雷锡恩公司,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc9342e831b973d657f2506'},NULL,222千克,,炸弹,MK20石眼式集束炸弹,233毫米,"
MK20石眼式集束炸弹，是一款美国空军配置的集束炸弹。于1963年开始研发，1970年装备美军。主要用于攻击装甲目标和人员。
",NULL,1963年,NULL,爆炸物,335毫米,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc9342e831b973d657f2507'},NULL,100千克,http://images.huanqiu.com/sarons/2014/01/dad1a82f4f4b46d3828f3227bf469989.jpg,炸弹,飞腾5(FT-5)小直径精确制导炸弹 ,NULL,"
飞腾5(FT-5)小直径精确制导炸弹中国航天科技集团最新研制的精确制导炸弹，主要由直升机，无人机及战斗轰炸机携带。

FT-5具有4道多重制导的联合制导体制，其中包括：激光，末端惯性，红外双色，主动射频等。总重量大约在80-100公斤。采用CN级烈性高爆炸药破坏威力巨大。该弹体积小，精度高。据介绍飞腾5(FT-5)小直径精确制导炸弹能达到米级水平，非常适合攻击点目标，例如：敌方电视台、通信中心、指挥中心、高级指挥官住所，能很大程度上减小附带损伤。
",NULL,2001年9月,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc9342e831b973d657f2508'},NULL,130千克,,炸弹,GBU-39小直径炸弹,NULL,"
GBU-39小直径炸弹（Small Diameter Bomb，SDB）是一种250磅（110公斤）重的导引炸弹，由于此种炸弹体积小、重量轻，每架战机可携带更多的数量，在每个飞行架次中能较以往攻击更多目标。大多数美国空军战机可以在原使用BRU-61/A挂架（可挂载1枚Mk84 2,000磅低阻力通用炸弹）处，装设一组4枚的小直径炸弹投射器。GBU-39小直径炸弹（Small Diameter Bomb，SDB）是美国近年来研发的一种低成本、高精确度和低附带毁伤的小直径炸弹，据称是全世界最精确的炸弹，命中精度一般小于5米，据美国空军说法，命中精度可达6英尺(1.5米)以内。
",波音公司,2001年10月,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc9342e831b973d657f2509'},NULL,NULL,,炸弹,“雷石”6（LS-6）制导滑翔炸弹,NULL,,NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342e831b973d657f250a'},NULL,325千克,,炸弹,B-61核航空炸弹 ,3597.656毫米,"
B-61核航空炸弹是美国在冷战时期研制的战机用战术核弹。体积小、重量轻。B-61核航空炸弹是美军研制生产的一种多用途航弹。由新墨西哥州洛斯阿拉莫斯国家实验室设计。多数技术来自1961年的一个轻型核武专案。共有7种型号，66年代装备部队，共部署约3000枚。
",美国新墨西哥州洛斯阿拉莫斯国家实验室,20世纪60年代后期,NULL,爆炸物,337.82毫米,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc9342e831b973d657f250b'},NULL,227千克,http://images.huanqiu.com/sarons/2014/01/a9b737ed1890cc43917d29a0f78c478e.jpg,炸弹,Mk 80系列炸弹,NULL,"
MK 80系列炸弹的全名为低阻力通用炸弹（Low-Drag General Purpose Bomb，LDGP），是美国以及许多国家使用中的无导引，传统炸药的空用炸弹。同时也是诸多精确制导武器的主体，譬如以GPS／惯性导引为组合的联合直接攻击弹药就是采用这一系列的炸弹为主体。MK81/82/83/84 (LDGPB)低阻爆破炸弹，是美国海军在20世纪50年代初为高速飞机外挂投弹研制的新型航空炸弹，形成著名的MK80低阻炸弹系列，是美国陆、海、空三军广泛装备使用的航空炸弹，同时也是现有各型减速炸弹和制导炸弹改进发展的基本弹型。
",NULL,20世纪50年代初,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc9342f831b973d657f250c'},NULL,564千克,,炸弹,雷霆-3激光制导炸弹(LT-3),3.58毫米,,NULL,NULL,NULL,爆炸物,0.38毫米,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342f831b973d657f250d'},NULL,225千克,http://images.huanqiu.com/sarons/2014/01/465d416f0151ffb1add976c4a3e5c608.jpg,炸弹,GPS制导滑翔炸弹,NULL,,韩国国家科学研究院,2007年,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,韩国,NULL
{'$oid': '5cc9342f831b973d657f250e'},NULL,NULL,,炸弹,250-1航空子母弹,1.5毫米,"
250—1航空子母弹是中国空军战斗机部队组建初期就装备的一种航空子母弹，是从苏联引进并仿制的航空子母弹。它是中国空军早期使用的航空子母弹。该弹的中央弹体为一个空心简体，各种规格的小炸弹按照不同数量安装其内。
",NULL,NULL,NULL,爆炸物,325毫米,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342f831b973d657f250f'},NULL,NULL,http://images.huanqiu.com/sarons/2014/03/4f023b0b9644ed0e07130c97d83469ca.jpg,炸弹,250-3低阻航空杀伤爆破炸弹,NULL,"
250-3低阻航空杀伤爆破炸弹主要用于攻击轻型装甲步兵战车和装甲运输车、汽车、铁路列车、雷达、火炮、炼油厂、露天油库和仓库、小型水面船只以及人员等目标。
",NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc9342f831b973d657f2510'},NULL,13600千克,http://images.huanqiu.com/sarons/2014/01/abf7d42719320ee461be297c9f53d573.jpg,炸弹,GBU-57A/B巨型钻地弹,NULL,"
巨型钻地弹（英语：Massive Ordnance Penetrator, MOP，代号GBU-57A/B），是一种由美国空军制定的大型精确制导钻地炸弹，并为“掩体粉碎机（英语：Bunker buster）”系列的新成员。因预估其威力可能超过俄罗斯的炸弹之父，故有媒体称其为炸弹之祖。它的性能超越了目前最强大的掩体粉碎机—2268公斤的GBU28，可能是其威力十倍以上，爆炸当量为俄罗斯炸弹之父FOAB的近3倍。
",NULL,2007年,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93430831b973d657f2511'},NULL,6800千克,,炸弹,BLU-82滚球超大型炸弹,NULL,"
BLU－82真空炸弹绰号“滚球”（Daisy Cutter），是一种专门杀伤藏匿在洞穴及建筑物内人员的燃料汽化高爆炸弹，有时也用于为直升机开辟降落场。该炸弹曾经是世界上最大的常规炸弹（现为美国MOP钻地弹），外形短粗，弹体像大铁桶，弹头为圆锥形，前端装有一根钢管，管子的前端装有M9 04型引信。炸弹没有尾翼装置，但装有降落伞系统，以保证炸弹下降时的稳定。
",NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93430831b973d657f2512'},NULL,9500千克,http://images.huanqiu.com/sarons/2014/01/16c069bb991f28cb00241a7cd2fc563f.jpg,炸弹,炸弹之母/大型空爆炸弹,NULL,"
大型空爆炸弹（代号：GBU-43/B，英语：Massive Ordnance Air Blast bomb，简称MOAB），也被戏称为炸弹之母（Mother Of All Bombs，简称亦为MOAB）是由美国制造的非核子重型炸弹。大型空爆炸弹重达9,450公斤，可将半径300至500米之内的氧气燃烧到只有1/3浓度。
",美国空军研究实验室,2002年,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93430831b973d657f2513'},NULL,5260千克,,炸弹,南瓜炸弹,NULL,"
“南瓜炸弹”是曼哈顿计划支持的传统高爆航空炸弹，美国陆军航空队在第二次世界大战中使用它来攻击日本。“南瓜炸弹”得名于其椭圆形的弹体，官方文件中也使用这个名字。这种炸弹共制造了486枚，其中49枚被第509混成部队用于攻击日本的富山、长冈、福岛、东京及其他十座城市，共造成了超过400人死亡，另有1200多人受伤。
",加州理工学院,1944年12月13日,NULL,爆炸物,150毫米,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93430831b973d657f2514'},NULL,NULL,,炸弹,FT-3/飞腾-3型250公斤精确制导炸弹,NULL,"
FT-3/飞腾-3型250公斤精确制导炸弹可用于近距离空中支援、封锁、压制敌方空防、海上反舰、两栖打击等，并能打击机动加固目标和软目标、海上舰只等。
",NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc93430831b973d657f2515'},NULL,NULL,,炸弹,100-1航杀弹束,982毫米,"
严格说来，该弹并不符合子母弹的标准，而是一种结构相对简单的集束炸弹。但是100—1航杀弹束在使用中所能够获得的效果却类似于子母弹，所以本文也将其列入中国早期航空子母弹的介绍之中。100-1航杀弹束的重量和尺寸规格与普通的100—1航杀弹基本相同，但是弹体却是由3枚重量各为33公斤的小直径杀伤炸弹组合而成。100-1航杀弹束仿制的是由苏联引进的RBS一100航杀弹束，该弹从飞机上投掷后在空中分解成三个小弹以提高杀伤效果。
",NULL,NULL,NULL,爆炸物,122毫米,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc93430831b973d657f2516'},NULL,908千克,http://images.huanqiu.com/sarons/2014/01/61beba62f9b24fba150199aaef4a5213.jpg,炸弹,mk84炸弹,3848毫米,"
一种普通非制导、自由落体炸弹，重量为2000磅（908Kg）属于Mk80系列低阻力多用途炸弹 Low Drag General Purpose (LDGP）系列。Mk80系列炸弹在历次空袭行动中都被广泛应用，它具有极强的爆炸威力，其弹壳设计得相对较轻，装药重量越占总重的45%。Mk80系列炸弹可以使用首或尾部引信，引信一般为机械式M904（首部）和M905（尾部），在美军沙漠风暴行动中，大约使用了12，000枚Mk84炸弹，大部分由美国空军的F-15E,F-16和F-111 投放，海军陆战队作战飞机则投了不到1000枚。
",NULL,NULL,NULL,爆炸物,457毫米,NULL,NULL,NULL,NULL,美国,弹头/弹尾两用引信
{'$oid': '5cc93431831b973d657f2517'},NULL,NULL,http://images.huanqiu.com/sarons/2014/03/5b2bd033fab37c927820f3346f2fe7a2.jpg,炸弹,250-4低阻航空杀伤爆破炸弹,NULL,"
250-4低阻航空杀伤爆破炸弹主要用于攻击轻型装甲步兵战车和装甲运输车、汽车、铁路列车、雷达、火炮、炼油厂、露天油库和仓库、小型水面船只以及人员等目标。
",NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc93431831b973d657f2518'},NULL,NULL,http://images.huanqiu.com/sarons/2014/01/9f02934f807c733fea7af75d627b78e4.jpg,炸弹,FT-1/飞腾-1机载精确制导炸弹,NULL,"
国产FT-1精确制导炸弹具有普通航空炸弹价格低廉、使用维护方便的特点，又具有精确制导武器射程远、精度高、自主式、全天候使用的优势，极大地提高了航空炸弹对地打击精度、载机生存能力和作战效费比，并且改装方便，便于大量装备使用。
",中国航天科技集团,20世纪90年代,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,中国,NULL
{'$oid': '5cc93431831b973d657f2519'},NULL,25.4千克,,炸弹,BSU-49/50/85/93充气伞减速炸弹,660毫米,"
该弹是原古德伊尔公司、现洛拉尔系统公司为克服“蛇眼”减速炸弹的缺点，于80年代研制的、采用充气伞的减速炸弹，能更好地适应现代战术攻击飞机实施高速、低空突防轰炸、尤其是超低空水平轰炸的要求。
",古德伊尔公司,20世纪80年代,380mm,爆炸物,222毫米,NULL,NULL,NULL,NULL,美国,弹尾引信
{'$oid': '5cc93431831b973d657f251a'},NULL,0.785千克,,炸弹,BLU-3/B杀伤小炸弹,95毫米,"
BLU-3/B 杀伤小炸弹俗称菠萝弹，是美国制造的一种小型航空杀伤炸弹，60年代中期服役，用于杀伤人员，破坏车辆、停放的飞机、雷达设施、弹药库等。装备在美国海、空军的A-4、F-4、F-105等作战飞机，曾广泛用于越南战争。
",美国兵工厂,20世纪60年代,折叠式,爆炸物,70毫米,NULL,NULL,NULL,NULL,美国,同弹体构成一体
{'$oid': '5cc93431831b973d657f251b'},Torpex D1,5443千克,,炸弹,高脚柜炸弹,635毫米,,NULL,NULL,NULL,爆炸物,950毫米,NULL,NULL,NULL,NULL,英国,NULL
{'$oid': '5cc93431831b973d657f251c'},NULL,6804千克,,炸弹,BLU-82 滚球（daisy Cutter)高爆炸弹,5370毫米,"
该弹是美国空军研制并装备使用的重型航空炸弹，口径15000磅（6804kg），主要用来在敌方大型布雷区域开辟一条安全通道，也可用来杀伤敌方有生力量。装备美国空军改装的MC-130H“战斗魔爪”运输机，在1991年海湾战争中才得以使用。
",美国空军,NULL,无,爆炸物,1560毫米,NULL,NULL,NULL,NULL,美国,M904弹头引信
{'$oid': '5cc93432831b973d657f251d'},Torpex炸药,8325千克,,炸弹,滚筒炸弹/跳跃炸弹,1600毫米,,英国军方,1943年,NULL,爆炸物,1270毫米,NULL,NULL,NULL,NULL,英国,NULL
{'$oid': '5cc93432831b973d657f251e'},147颗空心装药小炸弹,277千克,,炸弹,BL-755型集束炸弹,2438毫米,,杭廷公司,1964年,NULL,爆炸物,419毫米,NULL,NULL,NULL,NULL,英国,NULL
{'$oid': '5cc93432831b973d657f251f'},NULL,241千克,,炸弹,Mk-82蛇眼炸弹,2021毫米,,NULL,60年代,NULL,爆炸物,273毫米,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93432831b973d657f2520'},NULL,NULL,,炸弹,MPR-500炸弹,NULL,,以色列军事工业公司,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,以色列,NULL
{'$oid': '5cc93432831b973d657f2521'},NULL,0.434千克,,炸弹,BLU-26/B 杀伤小炸弹,NULL,"
BLU-26/B杀伤小炸弹亦称钢珠弹，是由美国兵工厂制造，用于杀伤人员、破坏车辆、油箱、弹药库和雷达设施等。60年代中期服役，曾广泛用于越南战争。
",美国兵工厂,20世纪60年代,NULL,爆炸物,71毫米,NULL,NULL,NULL,NULL,美国,M219，同弹体构成一体
{'$oid': '5cc93433831b973d657f2522'},44吨TNT,7100千克,,炸弹,炸弹之父/空投高功率真空炸弹,NULL,,NULL,NULL,NULL,爆炸物,NULL,NULL,NULL,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93433831b973d657f2523'},50-58兆吨爆炸当量,27000千克,,炸弹,AN602沙皇炸弹/AH602,8毫米,,NULL,冷战时期,NULL,爆炸物,2.1毫米,NULL,NULL,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93433831b973d657f2524'},NULL,NULL,,炸弹,BLU-80/B 巨眼(Bigeye)毒气炸弹,2290毫米,"
该弹系采用二元化学装药的毒气炸弹，由美国海军和空军联合研制，以取代美国老式一元化学装药的毒气炸弹，以增强美国对战略/战术纵深目标的化学袭击能力。1967年开始研制，1969年因故停止研制，1976年由美国海军武器中心和通用喷气公司联合研制，1989年进入美空军和海军服役。计划生产44000颗。
",派因·布拉夫兵工厂,1967年,NULL,爆炸物,337毫米,NULL,NULL,NULL,NULL,美国,NULL
{'$oid': '5cc93433831b973d657f2525'},NULL,100千克,http://images.huanqiu.com/sarons/2014/03/6d12da1ef66b9549193497546d212570.jpg,炸弹,фAБ-M62低阻爆破炸弹,1690毫米,,全俄防务出口总公司,1962年,圆环加十字形尾翼,爆炸物,216毫米,NULL,NULL,NULL,NULL,苏/俄,弹头/弹尾引信
{'$oid': '5cc93433831b973d657f2526'},NULL,209千克,,炸弹,石眼2(Rockeye 2)MK20反坦克子母炸弹,2337毫米,"
石眼2(Rockeye 2)MK20反坦克子母炸弹由美国海军武器中心，霍尼韦尔公司制造，于1971年正式服役，攻击坦克、装甲辆车、汽车车队、油库、弹药库、掩体内的人员等，装备美国海、空军的A-4、A-6、A-7、A-30、F-4、F-15、F-16、F/A-18、F-111等作战飞机，并在越南战争、中东战争中使用。
",美国海军武器中心霍尼韦尔公司,NULL,十字形或x形,爆炸物,335毫米,NULL,NULL,NULL,NULL,美国,MK339，弹头引信
{'$oid': '5cc93434831b973d657f2527'},NULL,525千克,,炸弹,ФAБ-250/500ШЛ减速炸弹,2220毫米,,全俄防务出口总公司,20世纪六七十年代,4片十字形尾翼,爆炸物,500毫米,NULL,NULL,NULL,NULL,苏/俄,弹头/弹尾引信
{'$oid': '5cc93434831b973d657f2528'},NULL,241千克,http://images.huanqiu.com/sarons/2014/02/7b7aeddf2d06254296ec2c731a914c34.jpg,炸弹,MK81/82/83/84（LDGPB)低阻爆破炸弹,2306毫米,"
MK81/82/83/84(LDGPB)低阻爆破炸弹，是美国海军在20世纪50年代初为高速飞机外挂投弹研制的新型航空炸弹，形成著名的MK80低阻炸弹系列，是美国陆、海、空三军广泛装备使用的航空炸弹，同时也是现有各型减速炸弹和制导炸弹改进发展的基本弹型。
",美国海军美国钢铁公司国际制造公司,20世纪50年代,NULL,爆炸物,273毫米,NULL,NULL,NULL,NULL,美国,弹头/弹尾/头尾两用引信
{'$oid': '5cc93434831b973d657f2529'},NULL,1.5千克,,炸弹,BLU-97A/B 综合效应(CES）子母小炸弹,356毫米,"
该弹是原霍尼韦尔国防航海系统公司、现阿里杨特技术系统公司，于80年代研制的通用子母小炸弹，由于其具有反装甲、破片杀伤、燃烧作用，因而称之为综合效益子母小炸弹（CES）。1986年开始进入美国空军服役，随后进入美国海军和海军陆战队服役，并向国外销售。1991年首次大量用于海湾战争，摧毁伊拉克的各种地面目标。
",霍尼韦尔国防航海系统公司,20世界80年代,无，带充气式减速伞,爆炸物,64毫米,NULL,NULL,NULL,NULL,美国,压电引信
{'$oid': '5cc93434831b973d657f252a'},NULL,874千克,http://images.huanqiu.com/sarons/2014/03/5e34b773680d255edd06abcc54532b27.jpg,炸弹,BLU-109/B 鼹鼠(Mole)穿甲炸弹,2400毫米,"
该弹是有洛克希德导弹空间公司根据美国空军的2000磅口径1-2000武器计划项目的要求，于1984年5月开始研制的新一代穿甲炸弹，用来攻击建造在地面、地下、峡谷、绝壁内的作战飞机机库、指挥部、弹药库等加固的军事目标。由于该弹是以MK84为基础进行设计，因而进展迅速，1895年12月即向美国空军交付产品，代号为BLU-109/B，命名为“ 鼹鼠”。
",洛克希德导弹空间公司,1984年5月,NULL,爆炸物,370毫米,NULL,NULL,NULL,NULL,美国,FMU-143/B或FMU-143（D2/B）
{'$oid': '5cc93434831b973d657f252b'},NULL,1383千克,http://images.huanqiu.com/sarons/2014/03/37f4f110c498b55208dfbe6de74719c6.jpg,炸弹,M117/118通用爆破炸弹,4699毫米,"
M117/118系列低阻通用爆破炸弹，是新型航空炸弹。但由于其口径较大，仅由美国空军使用，A-10、F-4、F-15E、F-16、F-111和B-52G等作战飞机都有装备。曾在越南战场上曾大量使用，在1991年的海湾战争中亦大量使用，仅B-52G轰炸机就投放了44660颗M117炸弹。
",美国空军美国钢铁公司美国标准公司,NULL,853毫米,爆炸物,613毫米,NULL,NULL,NULL,NULL,美国,弹头/弹尾引信
{'$oid': '5cc93434831b973d657f252c'},NULL,238千克,,炸弹,БРAБ-200ЛС/220/500/1000穿甲炸弹,1680毫米,,全俄防务出口总公司,20世纪70年代,4片十字形尾翼,爆炸物,277毫米,NULL,NULL,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93434831b973d657f252d'},NULL,0.265千克,,炸弹, BLU-24 杀伤小炸弹,94毫米,"
BLU-24杀伤小炸弹俗称桔子弹，亦称丛林弹，60年代中期服役，用于杀伤丛林地区的有生生物，该炸弹装备美国海、空军的A-4、F-4、F-105等作战飞机，曾广泛用于越南战争。
",美国兵工厂,20世纪60年代,同弹体构成一体的圆环翼片,爆炸物,71毫米,NULL,NULL,NULL,同弹体构成一体,美国,同弹体构成一体
{'$oid': '5cc93435831b973d657f252e'},NULL,371千克,http://images.huanqiu.com/sarons/2014/02/a700f53f10a0271d8ce2723be3bf50fe.jpg,炸弹,CBU-24 杀伤子母炸弹,2212毫米,"
CBU-24子母炸弹由美国兵工厂制造，于60年代中期服役，装备在美国海、空军的A-4、F-4、F-105等作战飞机，曾广泛用于越南战争。
",美国兵工厂,20世纪60年代,十字形或X形,爆炸物,406毫米,NULL,NULL,NULL,NULL,美国,FMU-26A/B
