名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
波音787宽体客机,飞行器,903千米每小时,60米,通用电气（通用电氣／General Electric）GEnx 或 劳斯莱斯（Rolls-Royce Trent）Trent 1000,2009年12月15日,双发,(4.8分),16093千米,{'$oid': '5cc93145831b973d657f1389'},波音民用飞机集团,http://images.huanqiu.com/sarons/2014/03/8f7cfedd7b311e0ed7889744c6d2f404.jpg,16.92米,110000千克,2011年10月26日（全日本空输）,美国,亚音速,干线,,NULL,后掠翼,250人,57米,228000千克
空中客车A310中程客机,飞行器,895千米每小时,43.9米,CF6-80或JT9D或PW4000涡轮风扇发动机,1982年4月3日,双发,NULL,8050千米,{'$oid': '5cc93145831b973d657f138a'},空中客车公司,http://images.huanqiu.com/sarons/2013/12/f1cd359683126fb513faea8b24f6b281.jpg,15.8米,NULL,1983年4月12日,英国,亚音速,干线,,空中客车公司,后掠翼,282人,46.7米,NULL
MD-11三发涡轮风扇中程客机,飞行器,1003千米每小时,51.6米,三台通用电气CF6-80C2或普-惠PW4000涡轮风扇发动机,1990年1月10日,双发,NULL,13408千米,{'$oid': '5cc93146831b973d657f138b'},NULL,http://images.huanqiu.com/sarons/2013/12/711dfad2a9c424b242d09450e9658541.jpg,17.6米,NULL,1990年12月20日（芬兰航空公司）,美国,亚音速,干线,"
麦克唐纳-道格拉斯MD-11（McDonnell Douglas MD-11）是一款由麦克唐纳-道格拉斯所生产、配置有3具发动机的广体客机，其设计源自DC-10客机，但其机身、翼展则比DC-10长，机翼的两端也加装了小翼，而翼切面的设计也得以改良。MD-11在1985年6月的巴黎航空展上首次亮相，1986年12月30日启动建造计划，1990年1月10日首飞，1990年12月20日进入芬兰航空公司开始服役。该机型共交付200架。已停产。
",麦克唐纳-道格拉斯,后掠翼,412人,61.6米,NULL
空中客车A340远程客机,飞行器,912千米每小时,60.3米,CFM56-5或罗尔斯·罗伊斯公司遄达500涡轮风扇发动机,1991年10月25日,双发,NULL,13150千米,{'$oid': '5cc93146831b973d657f138c'},NULL,http://images.huanqiu.com/sarons/2013/12/334f69bda3e62441670ad5b9bde6d4c3.jpg,16.8米,NULL,2002年8月5日,英国,亚音速,干线,,空中客车公司,后掠翼,442人,63.6米,45915千克
伊尔-96四发涡轮风扇远程客机,飞行器,912千米每小时,60.1米,NULL,1988年9月28日,四发,NULL,11482千米,{'$oid': '5cc93146831b973d657f138d'},NULL,http://images.huanqiu.com/sarons/2013/12/4ac21a8268b25c9b476451a1d3467ce3.jpg,15.7米,NULL,1993年初,苏/俄,亚音速,干线,,伊留申设计局 ,后掠翼,389人,64.7米,NULL
道格拉斯DC-4四发活塞式中程客机,飞行器,451千米每小时,35.8米,4台普-惠TwinWasp活塞发动机,1942年2月14日,四发,NULL,3510千米,{'$oid': '5cc93146831b973d657f138e'},NULL,http://images.huanqiu.com/sarons/2013/12/655dd688701a0989fa2934fe8b861089.jpg,8.4米,NULL,NULL,美国,亚音速,干线,,道格拉斯飞机公司(后来合并为麦克唐纳·道格拉斯公司),平直翼,89人,28.6米,NULL
空中客车A380远程宽体客机,飞行器,945千米每小时,79.7米,AllianceGP7200或罗尔斯·罗伊斯公司遄达900涡轮风扇发动机,2005年4月27日,四发,NULL,14815千米,{'$oid': '5cc93146831b973d657f138f'},NULL,http://images.huanqiu.com/sarons/2013/12/c52e34ddd5b4a9f32402ed2176992fc0.jpg,24.1米,NULL,2007年,英国,亚音速,干线,,空中客车公司,后掠翼,257人,72.8米,NULL
伊尔-86小船坞四发涡轮风扇中程客机,飞行器,950千米每小时,48.1米,NULL,1976年12月22日,四发,NULL,3600千米,{'$oid': '5cc93146831b973d657f1390'},伊尔公司,http://images.huanqiu.com/sarons/2013/12/a24a265155ef10a98f7867d38435f3db.jpg,15.8米,NULL,1980年12月26日,苏/俄,亚音速,干线,"
伊尔-86（Il-86/Ил-86）,北约代号称为“小船坞”（Camber）是前苏联伊留申设计局（Ilyushin，苏联解体后改为伊留申航空联合体股份公司）。是作为伊尔-62的后继机型设计的，是前苏联制造的第一架宽体客机，也是第一个将发动机安装在机翼上的前苏联机型。伊尔-86于1976年12月22日首飞，1980年12月26日开始进入前苏联民航部门服役。性能上的缺陷，使该机型生产运营时间缩短。共交付103架。
",NULL,后掠翼,353人,59.5米,NULL
麦道DC-10三发涡轮风扇中远程客机,飞行器,934千米每小时,50.4米,NULL,1970年8月29日,三发,NULL,7413千米,{'$oid': '5cc93147831b973d657f1391'},NULL,http://images.huanqiu.com/sarons/2013/12/7c2fa9c3f731beb0e6d276db3c3c9f0e.jpg,17.7米,NULL,1971年8月5日,美国,亚音速,干线,,NULL,后掠翼,383人,55.5米,NULL
伊尔-62/文豪四发涡轮风扇远程客机,飞行器,900千米每小时,43.2米,NULL,1963年1月3日,四发,NULL,7800千米,{'$oid': '5cc93147831b973d657f1392'},NULL,http://images.huanqiu.com/sarons/2013/12/96a68307fdda93c517c709596353581c.jpg,12.4米,NULL,1967年9月15日,苏/俄,亚音速,干线,"
伊尔-62（Ilyushin Il-62/Ил-62），北约代号“文豪”(Classic)是为前苏联民航部门生产的远程喷气式客机，于1962年9月24日亮相，其特征是机身后部装载的4台涡轮风扇发动机以及较高的垂直尾翼。1963年1月3日首飞，但直到1967年9月15日才开始服役。共交付289架。
",NULL,平直翼,191人,53.1米,NULL
麦道DC-8“SuperSixty” 四发涡轮风扇远程客机,飞行器,965千米每小时,45.2米,NULL,1966年3月14日,四发,NULL,7400千米,{'$oid': '5cc93147831b973d657f1393'},NULL,http://images.huanqiu.com/sarons/2013/12/5c53ddc319cf1a2a16f63eb342a1cfad.jpg,12.9米,NULL,1967年2月25日,美国,亚音速,干线,,麦克唐纳-道格拉斯(McDonnell Douglas),后掠翼,262人,57.1米,NULL
洛克希德L1011“三星”三发涡轮风扇中程客机,飞行器,890千米每小时,47.3米,NULL,1970年11月17日,三发,NULL,9815千米,{'$oid': '5cc93147831b973d657f1394'},NULL,http://images.huanqiu.com/sarons/2013/12/24863a06b4c1e3e8185e010e583b75c3.jpg,16.9米,NULL,1972年4月26日,美国,亚音速,干线,,洛克希德·马丁,后掠翼,333人,50.1米,NULL
麦道DC-8(美国) 四发中远程客机,飞行器,934千米每小时,43.4米,NULL,1958年5月30日,四发,NULL,11260千米,{'$oid': '5cc93147831b973d657f1395'},NULL,http://images.huanqiu.com/sarons/2013/12/bd34ed0d98c46b1f3862713568ad755c.jpg,12.9米,NULL,1959年9月18日,美国,亚音速,干线,,道格拉斯公司,后掠翼,182人,45.9米,NULL
图-204/214双发涡轮风扇中程客机,飞行器,850千米每小时,41.8米,NULL,1989年1月2日,双发,NULL,4800千米,{'$oid': '5cc93148831b973d657f1396'},NULL,http://images.huanqiu.com/sarons/2013/12/528b1c4091e1145f58cd7928221d1238.jpg,13.9米,NULL,1996年2月23日,苏/俄,亚音速,干线,,图波列夫设计局,平直翼,214人,46.1米,NULL
伊尔-18“黑鸭”四发涡桨中程客机,飞行器,675千米每小时,37.4米,AI-20四桨叶涡轮螺旋桨发动机,1957年7月,双发,NULL,3700千米,{'$oid': '5cc93148831b973d657f1397'},NULL,http://images.huanqiu.com/sarons/2013/12/ff268e88d87638236cb5b3ee786322ee.jpg,10.2米,NULL,于1959年4月,苏/俄,亚音速,干线,,伊留申设计局,NULL,127人,35.9米,NULL
波音707中远程客机,飞行器,1000千米每小时,44.4米,普-惠或罗尔斯·罗伊斯涡轮喷气发动机或者普-惠JT3D涡轮风扇发动机,1954年7月15日,四发,NULL,9265千米,{'$oid': '5cc93148831b973d657f1398'},NULL,http://images.huanqiu.com/sarons/2013/12/2b886ee733c04d65e94df4aa3c77de1f.jpg,12.9米,NULL,1958年10月26日,美国,亚音速,干线,,美国波音公司,后掠翼,221人,46.6米,NULL
DC-6/C-118/举重霸王四发活塞式中程客机,飞行器,509千米每小时,35.8米,NULL,1946年2月15日,四发,NULL,3058千米,{'$oid': '5cc93148831b973d657f1399'},道格拉斯公司,http://images.huanqiu.com/sarons/2013/12/809f5472d68da8062f6ba2e582091073.jpg,9米,NULL,1947年4月27日,美国,亚音速,干线,"
道格拉斯DC-6是由道格拉斯飞行器公司在1946年到1958年间生产的一种活塞动力商用客机／运输机。最初是为从事军事运输而设计的，但自第二次世界大战结束后，道格拉斯公司便将DC-6改为民航运输，在中远程航线上对抗洛克希德公司的星座式飞机。该型飞机一共生产了700余架，并且至今仍有一部分执行着货运，军事和森林火灾控制的任务。

DC-6的美国空军军用型号是C-118“举重霸王”，美国海军在1962年和空军统一编号之前则称其为R6D。
",NULL,后掠翼,106人,32.2米,NULL
