名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
“新舟”60涡桨支线飞机,飞行器,514千米每小时,29.2米,加拿大普惠公司PW-127J自由涡轮式低油耗发动机，采用美国汉密尔顿公司247F-3型低噪音四叶螺旋桨,2000年2月25日,NULL,NULL,(4.5分),1600千米,{'$oid': '5cc9314a831b973d657f13a4'},西安飞机工业（集团）有限责任公司,http://images.huanqiu.com/sarons/2013/11/264392356875429da97822a1aae7d57a.jpg,8.853米,13700千克,NULL,中国,NULL,支线,"
新舟60（ModernArk 60，MA-60；最初称为Y-7-200A型），是西安飞机工业（集团）有限责任公司在运-7（Y-7）飞机的基础上，按照中国民航CCAR-25部标准开发研制生产的双发涡轮螺旋桨发动机支线飞机。它配备了目前世界最先进的加拿大普惠公司生产的涡桨发动机和美国汉胜公司生产的复合材料螺旋桨，在安全性、经济性、舒适性和维护性等方面均达到当代国际先进支线客机水平，而价格只有国外同类飞机的三分之二。
",NULL,NULL,62人,24.71米,21800千克
苏霍伊“超级喷机-100”支线客机,飞行器,870千米每小时,27.8米,PowerJet SaM146,2008年完成首飞,双发,NULL,(5分),2900千米,{'$oid': '5cc9314a831b973d657f13a5'},NULL,http://images.huanqiu.com/sarons/2014/06/c08fe671a9db921c60d666a39eecce7a.jpg,10.28米,NULL,2011年4月19日,苏/俄,NULL,支线,"
苏霍伊“超级喷机-100”支线客机(Sukhoi Superjet 100/SSJ-100)是俄罗斯第一种按西方适航标准设计的民用飞机。SSJ-100之前，俄罗斯只有伊尔-96M/T一种飞机获得过美国FAA的FAR25型号证书。SSJ-100最初期被命名为RRJ（Russian Regional Jet），该机从一开始就把目标瞄准了出口市场，预计总共生产的800架的60%将用于出口。为此，领导这个项目的苏霍伊公司在波音公司的帮助下在研制和生产中引进了许多西方管理理念。该机型将取代俄国内现役的图-134客机，并将参与全球支线客机市场的竞争。 
",苏霍伊公司,后掠翼,NULL,26.44米,38820千克
安-24“焦炭”双发涡轮螺旋桨短程客机,飞行器,450千米每小时,29.2米,两台伊伏琴柯АИ-24А涡桨发动机,1960年4月,双发,NULL,NULL,2400千米,{'$oid': '5cc9314a831b973d657f13a6'},NULL,http://images.huanqiu.com/sarons/2013/12/f160a923939420c05629c40cec8d09b1.jpg,8.32米,13300千克,1963年9月,乌克兰,亚音速,支线,,安东诺夫设计局,后掠翼,60人,23.53米,21000千克
MD-80双发涡轮风扇短程客机,飞行器,925千米每小时,32.8米,普惠JT8D-217A/C,1979年10月18日,双发,NULL,NULL,3798千米,{'$oid': '5cc9314a831b973d657f13a7'},NULL,http://images.huanqiu.com/sarons/2013/12/90b78c696e6661f502182b385476f57f.jpg,9米,35629千克,1980年10月5日（瑞士航空公司）,美国,亚音速,支线,"
麦道MD-80系列及麦道MD-90，原先称作DC-9-80，是根据道格拉斯DC-9改良而成的一款双引擎商业飞机，载客量介于130与172之间。麦道MD-80于1980年10月10日由瑞士航空率先投入运营，型号包括MD-81，MD-82，MD-83，MD-87和MD-88，除较短的MD-87外，其余型号的机身长度都相同。

之后麦道于1989年推出改进版的麦道MD-90系列，于1995年推出麦道MD-95（后来更名为波音717）。2006年5月23日当最后两架波音717交货至美国中西航空和穿越航空后，此系列飞机即随之结束生产。（图为MD-82）
",麦克唐纳-道格拉斯公司,后掠翼,172人,45米,67800千克
MD-90双发涡轮风扇短程客机,飞行器,809千米每小时,32.8米,V2525-D5,1993年2月22日,双发,NULL,NULL,4023千米,{'$oid': '5cc9314a831b973d657f13a8'},NULL,http://images.huanqiu.com/sarons/2013/12/50a65f5f87215a872a66bd1ff12a6047.jpg,9.3米,36968千克,1995年4月1日（达美航空公司）,美国,亚音速,支线,"
MD-90是美国麦克唐纳·道格拉斯公司（McDonnell Douglas）在MD-80的后继机型，机身作了加长，装载IAE V2500发动机，改进了机舱，加大了垂直尾翼。第一架原型机1993年2月22日首次试飞，1994年11月16日获美国联邦航空局的适航证，1995年2月24日交付用户使用。1995年4月1日开始在达美航空公司服役。该机型共交付114架，已停产。1997年波音公司兼并麦道公司，MD-90与波音产品系列冲突，于2000年停产。
",麦道公司,后掠翼,180人,46.51米,72803千克
空中客车A319双发中/短程客机,飞行器,1004.57千米每小时,34.09米,两台CFM56-5或IAF V2500涡轮风扇发动机,1998年11月12日,双发,NULL,NULL,6852.4千米,{'$oid': '5cc9314b831b973d657f13a9'},空中客车公司,http://images.huanqiu.com/sarons/2013/12/3b3d9463b691bcc8c0405da27b3e629d.jpg,11.76米,40100千克,1999年11月8日,英国,亚音速,支线,,空中客车公司,后掠翼,147人,33.84米,64000千克
ATR 42双发涡轮螺旋桨短程支线客机,飞行器,554千米每小时,24.57米,加拿大普惠PW127E,1984年8月16日,双发,NULL,NULL,1555千米,{'$oid': '5cc9314b831b973d657f13aa'},NULL,http://images.huanqiu.com/sarons/2013/12/54dce584fe7f45194d33604e2f1c63b9.jpg,7.59米,11250千克,1985年12月3日,法国,亚音速,支线,,法国航宇公司和意大利Aertalia公司,后掠翼,54人,22.67米,18600千克
BAe 748双发涡轮螺旋桨短程运输机,飞行器,452千米每小时,31.2米,“达特”RDa.7Mk552涡轮螺旋桨发动机,1960年6月24日,NULL,NULL,NULL,1715千米,{'$oid': '5cc9314b831b973d657f13ab'},NULL,,7.6米,12226千克,NULL,英国,亚音速,支线,,英国BAE系统公司(BAE Systems),平直翼,60人,20.4米,21092千克
康维尔580双发涡轮螺旋桨短程运输机,飞行器,481千米每小时,32.1米,两D22系列3 Allison涡轮发动机,1960年1月19日,双发,NULL,NULL,3650千米,{'$oid': '5cc9314b831b973d657f13ac'},NULL,http://images.huanqiu.com/sarons/2013/12/497ed8c7f2ecdd1b9a6aab35216f2ebc.jpg,8.9米,NULL,1964年6月,美国,亚音速,支线,,康维尔(Convair),后掠翼,58人,24.8米,26352千克
BAeJetsteam 41双发涡轮螺旋桨短程通勤飞机,飞行器,547千米每小时,18.42米,2×Allied Signal公司TPE331-14GR/HR涡桨,1991年9月25日,双发,NULL,NULL,1434千米,{'$oid': '5cc9314b831b973d657f13ad'},NULL,http://images.huanqiu.com/sarons/2013/12/c8353917c466cc7bf11e5304cb9a7ad1.jpg,5.6米,6416千克,1992年11月25日,英国,亚音速,支线,,英国BAE系统公司(BAE Systems),后掠翼,33人,19.25米,10886千克
ATR 72双发涡轮螺旋桨短程支线客机,飞行器,511千米每小时,27.05米,2×加拿大普惠PW127F，1846 kW (2475 shp),1988年10月27日,双发,NULL,NULL,2092千米,{'$oid': '5cc9314b831b973d657f13ae'},NULL,http://images.huanqiu.com/sarons/2013/12/fd356f8844382b3de809aaea4feaee0c.jpg,7.65米,12950千克,1989年10月27日,法国,亚音速,支线,,ATR,平直翼,80人,27.2米,22500千克
CN-235双发涡轮螺旋桨短程客机,飞行器,450千米每小时,25.81米,2×通用电气CT7-9C3,1983年11月11日/12月30,双发,NULL,NULL,4355千米,{'$oid': '5cc9314b831b973d657f13af'},NULL,http://images.huanqiu.com/sarons/2013/12/daa3ac9d2b037158440d2466a3893018.jpg,8.18米,9800千克,1988年3月1日（印尼）,西班牙,亚音速,支线,,NULL,平直翼,46人,21.4米,15100千克
安-140双发涡轮螺旋桨短程客机,飞行器,575千米每小时,25.5米,2台克里莫夫TV3-117VMA-SBZ涡桨发动机 或者用 2台普拉特·惠特尼加拿大公司的PW-127A涡桨发动机,1997年9月17日,双发,NULL,NULL,2500千米,{'$oid': '5cc9314c831b973d657f13b0'},俄罗斯飞机制造商Aviakor,http://images.huanqiu.com/sarons/2013/12/ce6495f77266b470f292784ac6378100.jpg,8.2米,13000千克,2002年3月,乌克兰,亚音速,支线,,安东诺夫设计局,平直翼,54人,22.6米,19150千克
BAe ATP双发涡轮螺旋桨短程支线客机,飞行器,502千米每小时,30.6米,普惠PW124发动机,1986年8月6日,双发,NULL,NULL,1146千米,{'$oid': '5cc9314c831b973d657f13b1'},NULL,http://images.huanqiu.com/sarons/2013/12/c67cf5142707c916337fb29ef86e9a25.jpg,7.6米,14192.9千克,1988年8月9日,英国,亚音速,支线,,NULL,后掠翼,70人,26米,22930千克
麦道DC-9双发涡轮风扇中短程客机,飞行器,926千米每小时,45.2米,普惠JT8D-17,1965年2月25日,双发,NULL,NULL,3030千米,{'$oid': '5cc9314c831b973d657f13b2'},NULL,http://images.huanqiu.com/sarons/2013/12/d5f46341bd1312c1f55952e6876fd4e4.jpg,12.9米,28068千克,1965年12月8日,美国,亚音速,支线,,NULL,后掠翼,135人,57.1米,54900千克
福克70/100双发涡轮风扇短程支线客机,飞行器,816千米每小时,28.08米,MK.620,1986年11月30日（福克100）,双发,NULL,NULL,2009千米,{'$oid': '5cc9314c831b973d657f13b3'},荷兰福克公司,http://images.huanqiu.com/sarons/2013/12/391062dface40e2d771e2fd58bc09155.jpg,8.51米,22673千克,1988年2月（福克100）,荷兰,亚音速,支线,"
福克F70（Fokker 70）是荷兰福克公司所研发的最后一款喷射客机，最高可载80人，续航能力达1200英里。最后一架福克F70于1997年交付，之后便停止了生产线。

福克 100（Fokker 100）是由福克公司所制造的双发动机中型窄体飞机。造型近似于MD-80/MD-90飞机。于1980年代问世，由福克F28发展而来，是福克系列中载客量最多，机身最长的飞机。
",NULL,平直翼,80人,30.91米,41730千克
雅克-40“幼鳕”三发涡轮风扇短程支线喷气机,飞行器,742千米每小时,25米,3台伊夫琴科AN-25涡轮风扇发动机,1966年10月21日,三发,NULL,NULL,2000千米,{'$oid': '5cc9314c831b973d657f13b4'},NULL,http://images.huanqiu.com/sarons/2013/12/d8a965d20627ad4dca76eed9ed91c596.jpg,6.5米,9010千克,1968年9月30日,苏/俄,亚音速,支线,,前苏联雅克夫列夫设计局,后掠翼,34人,20.4米,16000千克
Dash7(加拿大) 四发涡轮螺旋桨短距起降短程客机,飞行器,428千米每小时,28.35米,四台P&W加拿大PT6A-50涡轮发动机,1975年3月27日,双发,NULL,NULL,2168千米,{'$oid': '5cc9314d831b973d657f13b5'},NULL,http://images.huanqiu.com/sarons/2013/12/c6045bed8b4e8655a281c16a22cd9c97.jpg,7.98米,12560千克,1978年2月3日,加拿大,亚音速,支线,,庞巴迪（德·哈维兰),平直翼,52人,24.58米,20000千克
图-334双发涡轮风扇中短程支线喷气机,飞行器,865千米每小时,29.77米,两台进展D-436T1 或劳斯莱斯BR715-56涡扇发动机,1999年2月8日,双发,NULL,NULL,3000千米,{'$oid': '5cc9314d831b973d657f13b6'},NULL,http://images.huanqiu.com/sarons/2013/12/dca556135ee56e7e8ce2c82d74677c1d.jpg,9.38米,30050千克,2003年12月30日(临时合格证）,苏/俄,亚音速,支线,,图波列夫设计局,后掠翼,104人,31.26米,47900千克
ERJ170/175/190/195双发涡轮风扇支线客机,飞行器,851千米每小时,26米,两台通用电气公司CF34-8E涡扇发动机,2002年2月19日,双发,NULL,NULL,3333千米,{'$oid': '5cc9314d831b973d657f13b7'},巴西航空工业公司,http://images.huanqiu.com/sarons/2013/12/65fa9b8d4e7f887d802d13c481be4ce0.jpg,9.7米,20150千克,2004年3月,巴西,亚音速,支线,"
Embraer-170系列，是巴西航空工业公司面向二十一世纪全新开发的新一代喷气产品，于2003年首次投入运营.该系列由四款机型组成，E170（70-80座）、E175（78-88座）、E190（98-114座）、E195（108-122座），具有高效率、经济性的特点，符合人机工程学的原理，受到了客户和市场的广泛欢迎。（图为波兰航空E-170）
",NULL,后掠翼,72人,29.9米,35450千克
BAe（BAC）1-11短程客机,飞行器,870千米每小时,26.9米,2×劳斯莱斯 spey MK 506 涡扇发动机,1963年8月20日,双发,NULL,NULL,2320千米,{'$oid': '5cc9314d831b973d657f13b8'},NULL,http://images.huanqiu.com/sarons/2013/12/d9d918ab3711aa98f8e3afa3b1a1bab5.jpg,7.47米,21049千克,1965年4月9日,英国,亚音速,支线,,英国宇航公司,后掠翼,94人,28.5米,33800千克
雅克-42“猛击”三发涡轮风扇中短程客机,飞行器,810千米每小时,34.9米,3台洛塔列夫涡轮风扇发动机,1975年3月7日,双发,NULL,NULL,2300千米,{'$oid': '5cc9314d831b973d657f13b9'},NULL,http://images.huanqiu.com/sarons/2013/12/62fac57f79613c522336a882bc2bc23c.jpg,9.8米,34580千克,1980年末,苏/俄,亚音速,支线,,前苏联雅克夫列夫设计局,后掠翼,122人,36.2米,56500千克
Dash8(加拿大) 双发涡轮螺旋桨短程支线客机,飞行器,537千米每小时,22.25米,两台涡桨发动机,1983年6月20日,双发,NULL,NULL,1859千米,{'$oid': '5cc9314e831b973d657f13ba'},NULL,http://images.huanqiu.com/sarons/2013/12/1a7c362e9119c12edbee134454ad4739.jpg,7.5米,10500千克,1984年12月19日,加拿大,亚音速,支线,,NULL,平直翼,39人,25.91米,16500千克
安东诺夫设计局 安-148 短程客机,飞行器,870千米每小时,28.91米,ZMKB Progress D-4360148涡轮风扇发动机,2004年12于17日,双发,NULL,NULL,5100千米,{'$oid': '5cc9314e831b973d657f13bb'},俄罗斯沃罗涅什飞机制造公司,http://images.huanqiu.com/sarons/2013/12/34513c86a5dd68c787eb4d07eac52998.jpg,8.02米,19050千克,NULL,乌克兰,亚音速,支线,,安东诺夫设计局,后掠翼,75人,29.13米,43700千克
BAe146/Avro RJ四发涡扇短程支线飞机,飞行器,763千米每小时,26.3米,ALF 502或LF 507涡轮风扇发动机,1981年9月3日,四发,NULL,NULL,2000千米,{'$oid': '5cc9314e831b973d657f13bc'},NULL,http://images.huanqiu.com/sarons/2013/12/06f34c820588ab2b85700095fb563ced.jpg,8.6米,23288千克,1983年5月27日,英国,亚音速,支线,,英国宇航公司,后掠翼,114人,28.6米,42185千克
F28伙伴双发涡轮风扇支线客机,飞行器,795千米每小时,25.1米,两台劳斯莱斯RB183 Spey Mk555涡轮风扇引擎,1967年5月9日,双发,NULL,NULL,1900千米,{'$oid': '5cc9314e831b973d657f13bd'},NULL,http://images.huanqiu.com/sarons/2013/12/1b89fb98798419788a366548e655bba9.jpg,8.5米,17654千克,1969年2月24日,荷兰,亚音速,支线,"
福克F28（Fokker F28 Fellowship）是作为F27涡轮螺旋桨飞机的伙伴机型而开发的喷气式运输机，该机型的细节于1962年4月发布。1967年5月9日首飞，1969年2月24日进入德国LTU航空公司开始服役。该机型共交付241架。
",福克公司,后掠翼,87人,29.6米,33110千克
CRJ700/900双发涡轮风扇支线客机,飞行器,879千米每小时,23.2米,两台CF34-8C1 涡扇发动机,1999年5月27日（CRJ700）,双发,NULL,NULL,3674千米,{'$oid': '5cc9314e831b973d657f13be'},加拿大庞巴迪宇航公司,http://images.huanqiu.com/sarons/2013/12/2210d91d32cf168bd66a82916aab4c92.jpg,7.6米,19700千克,2001年2月（CRJ700）,加拿大,亚音速,支线,"
CRJ700是CRJ200的衍生机型，机身加长，共70个座位。1999年5月27日首飞，2001年2月开始在法国支线航空公司BritAir服役。CRJ900进一步增大了机身空间，座位数达到90个，于2001年2月21日首飞，2003年1月开始在MesaAir航空公司服役。CRJ700机型共获得268架订单，交付266架。CRJ900机型共获得153架订单，交付75架。备注，CRJ（即CanadairRegionalJet的缩写，意为加拿大区域客机）。图为CRJ-900 。
",NULL,后掠翼,80人,32.5米,33000千克
F-27/FH-227双发涡轮螺旋桨短程客机,飞行器,520千米每小时,29米,Dart RDa.7 Mk 532-7 L 涡桨发动机,1958年4月12日,双发,NULL,NULL,1465千米,{'$oid': '5cc9314e831b973d657f13bf'},仙童公司,http://images.huanqiu.com/sarons/2013/12/86a31d92aa7cf7f2d18b2f4d1aa51b56.jpg,8.4米,10398千克,1958年11月27日,美国,亚音速,支线,"
仙童F-27/FH-227由福克公司设计，旨在取代DC-3。第一架美国制造的F-27飞机于1958年4月12日在马里兰州的黑格斯敦实现首飞，同年11月27日在美国西海岸航空公司开始服役。共计交付207架。
",NULL,平直翼,50人,23.5米,19730千克
波音727三发涡扇短程客机,飞行器,1014千米每小时,32.9米,普-惠JT8D涡轮风扇发动机,1963年2月9日首飞,三发,NULL,NULL,4392千米,{'$oid': '5cc9314e831b973d657f13c0'},NULL,http://images.huanqiu.com/sarons/2013/12/be84e9c7fa69381288d4407289a2908a.jpg,10.4米,45360千克,1964年2月1日,美国,亚音速,支线,,美国波音公司,后掠翼,192人,46.7米,95028千克
Metro双发涡轮螺旋桨短程通勤飞机,飞行器,537千米每小时,17.4米,两台霍尼韦尔(AlliedSignal)TPE331或普-惠PT6A涡轮螺旋桨发动机,1969年8月26日,双发,NULL,NULL,1000千米,{'$oid': '5cc9314f831b973d657f13c1'},NULL,http://images.huanqiu.com/sarons/2013/12/9c4286bf49a3cea15120f13549628256.jpg,5.1米,3963千克,1971年初,美国,亚音速,支线,"
Metro机型最初由Ed Swearingen公司作为商务机来研制，在对它作了进一步的改良之后形成了通勤飞机。Metro于1969年8月26日首飞，1971年初开始服役。1971年11月，Swearingen公司被仙童收购，后者继续对Metro机型进行改进，直到1999年停产。包括军方和企业订单，共计交付1053架。
",Swearingen公司,平直翼,21人,18.1米,6577千克
波音-717双发涡扇短程客机,飞行器,811千米每小时,28.5米,罗尔斯·罗伊斯BR 715涡轮风扇发动机,1998年9月2日,双发,NULL,NULL,3556千米,{'$oid': '5cc9314f831b973d657f13c2'},NULL,http://images.huanqiu.com/sarons/2013/12/33905e180d18df56620cbc05cb6953ad.jpg,8.9米,31674千克,1999年9月,美国,亚音速,支线,,NULL,后掠翼,223人,37.8米,49940千克
 图-134“硬壳”双发涡轮风扇短程客机,飞行器,950千米每小时,29米,2×索洛维约夫D-30-II 涡轮风扇发动机,1963年12月,双发,NULL,NULL,3000千米,{'$oid': '5cc9314f831b973d657f13c3'},NULL,http://images.huanqiu.com/sarons/2013/12/8d36f53cb270d76d72369fcd556c8dc8.jpg,9.1米,27960千克,1967年,苏/俄,亚音速,支线,,图波列夫设计局,平直翼,84人,37.1米,47600千克
波音-737双发涡扇短程客机,飞行器,890千米每小时,28.3米,普-惠JT8D涡轮风扇发动机,1967年4月9日,双发,NULL,NULL,4688千米,{'$oid': '5cc9314f831b973d657f13c4'},NULL,http://images.huanqiu.com/sarons/2013/12/337d2358a4d20f8e2fb6e3c6265159b4.jpg,11.3米,28120千克,1968年2月10日,美国,亚音速,支线,,美国波音公司,后掠翼,224人,28.6米,49190千克
福克F27“友谊”双发涡桨短程客机,飞行器,480千米每小时,29米,罗尔斯·罗伊斯公司达特四桨叶涡轮螺旋桨,1955年11月24日,双发,NULL,NULL,1741千米,{'$oid': '5cc9314f831b973d657f13c5'},NULL,http://images.huanqiu.com/sarons/2013/12/0405e151114106c2a2a1b4701accead5.jpg,8.7米,12243千克,1958年12月,荷兰,亚音速,支线,,荷兰福克公司,平直翼,62人,25.1米,20410千克
波音-737-300／400／500双发涡扇短程客机,飞行器,890千米每小时,28.9米,CFM56-3涡轮风扇发动机,1984年2月24日,双发,NULL,NULL,4633千米,{'$oid': '5cc9314f831b973d657f13c6'},NULL,http://images.huanqiu.com/sarons/2013/12/b4b6a236c37d7b6ba3a62ccf7a58d0c0.jpg,11.1米,33200千克,1984年12月7日,美国,亚音速,支线,,美国波音公司,后掠翼,316人,36.5米,68050千克
ERJ 135/140/145双发涡轮风扇支线客机,飞行器,833千米每小时,20米,两台艾利逊公司AE3007A涡扇发动机,1995年8月11日（ERJ145机型）,双发,NULL,NULL,2963千米,{'$oid': '5cc9314f831b973d657f13c7'},NULL,http://images.huanqiu.com/sarons/2013/12/ccc06cebe355495733a87589b8641520.jpg,6.8米,12007千克,1996年12月19日,巴西,亚音速,支线,"
ERJ-145系列（全称：Embraer regional jet），是巴西航空工业的首个支线喷射客机型号，生产地位于巴西，其支线飞机（regional jet）的主要竞争对手为庞巴迪宇航公司CRJ-200。ERJ135／140／145最初是作为双发喷气支线飞机开发的，在1989年6月的巴黎航空展上首次亮相，随后完全重新设计。ERJ-145机型于1995年8月11日首飞，1996年12月19日第一架飞机交付美国大陆快递公司。ERJ-135交付108架，ERJ-140交付74架，ERJ-145交付679架。（图为ERJ-135）
",NULL,后掠翼,50人,29.9米,22000千克
