名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
DC-3达科塔/C-47高空列车多用途运输机,飞行器,370千米每小时,29米,2台莱特R-1820，2台普惠R-1830-S1C3G,1935年12月18日,双发,NULL,NULL,3420千米,{'$oid': '5cc93126831b973d657f12df'},NULL,http://images.huanqiu.com/sarons/2013/12/b63d547c5373dcf193baad54c52a8e08.jpg,5.16米,7650千克,NULL,美国,亚音速,通用飞机,,道格拉斯飞机公司(后来合并为麦克唐纳·道格拉斯公司),平直翼,32人,19.7米,11400千克
比奇 99双发涡轮螺旋桨短程通勤飞机,飞行器,496千米每小时,13.98米,2×普惠PT6A-20-27或者-36,1965年12月,双发,NULL,NULL,1686千米,{'$oid': '5cc93126831b973d657f12e0'},NULL,http://images.huanqiu.com/sarons/2013/12/57e7356c93964b96d7a7678b62a83523.jpg,4.37米,2515千克,1968年5月,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,16人,13.58米,4727千克
亚当A700 AdamJet双发涡轮风扇轻型公务机,飞行器,612千米每小时,13.41米,2×Williams FJ-33-4A，每台1350 lbf (6 kN),2003年7月27日,双发,NULL,NULL,2646千米,{'$oid': '5cc93126831b973d657f12e1'},美国亚当,http://images.huanqiu.com/sarons/2013/12/f618d18cdf0c4fce94a4d240bb2acc85.jpg,2.93米,2523千克,NULL,美国,亚音速,通用飞机,"
A700是A500轻型活塞式公务飞机的喷气式机型，其动力装置是安装在机身后部挂载点上的两台威廉姆斯国际公司F1J33涡轮风扇发动机。A700机型于2002年10月21日发布，2003年7月27日首飞。预计2006年末或2007年初获得型号合格证并随之很快开始交付使用。该机型共计获得了超过300架订单。
",NULL,平直翼,8人,12.42米,4250千克
Aeroprogress/ROKS-Aero T-101Grach通用飞机,飞行器,300千米每小时,18.2米,普-惠PT6T涡轮轴发动机,1994年12月7日,单发,NULL,NULL,1270千米,{'$oid': '5cc93127831b973d657f12e2'},NULL,http://images.huanqiu.com/sarons/2013/12/ca4dcc04b3b1ac22ac3068d10054e6be.jpg,4.9米,NULL,NULL,苏/俄,亚音速,通用飞机,,安东诺夫设计局,平直翼,10人,15.1米,NULL
亚当A500双发涡桨轻型公务飞机,飞行器,417千米每小时,13.41米,2 × Teledyne Continental TSIO-550E，单台350 hp (260 kW,2002年7月11日（生产型A500）,单发,NULL,NULL,1652千米,{'$oid': '5cc93127831b973d657f12e3'},亚当飞机工业（AAI）,http://images.huanqiu.com/sarons/2013/12/a1756565f3b88b590689370bc13e0ea6.jpg,2.92米,2427千克,NULL,美国,亚音速,通用飞机,"
亚当A500飞机由伯特·鲁坦设计，是一种轻型中线推进双发活塞飞机，采用石墨碳复合材料。1999年9月开始研制，概念验证机型于2000年3月21日首飞，生产型A500于2002年7月11日首飞。20()5年5月11日获得美国联邦航空管理局颁发的VFR(目视飞行规则）型号合格证，同年11月7日交付第一架飞机。该机型获得了超过85架订单，交付8架。
",NULL,平直翼,6人,11.43米,3175千克
罗克韦尔涡轮指挥官/Jetprop双发涡轮螺旋桨企业专机／通用飞机,飞行器,346千米每小时,14.95米,2×莱康明IO-540-E1B5，每台290 hp (216 kW) ,1964年12月31日,双发,NULL,NULL,1735千米,{'$oid': '5cc93127831b973d657f12e4'},NULL,,4.42米,2102千克,NULL,美国,亚音速,通用飞机,"
“涡轮指挥官”以活塞式加压机舱机型680FLP“总指挥官”为基础，但换装两台盖瑞特TPE331涡轮螺旋桨发动机。“涡轮指挥官”于1964年12月31日首飞，1965年投产。“涡轮指挥官”派生了很多改型，它们在不同的所有者名下逐渐被制造出来。共计交付了1290架。
",NULL,平直翼,6人,11.22米,3062千克
霍克800/900双发涡轮风扇中型公务机,飞行器,830千米每小时,16.5米, 2×Honeywell TFE731-5BR,1983年5月26日,双发,NULL,NULL,4893千米,{'$oid': '5cc93127831b973d657f12e5'},NULL,http://images.huanqiu.com/sarons/2013/12/b0ec609de86f979e5f1e73df35ed5f5c.jpg,5.5米,7108千克,1984年春季,美国,亚音速,通用飞机,,BAe雷声公司,后掠翼,15人,15.6米,12701千克
BAe 125双发涡轮喷气式/涡轮风扇轻型公务机,飞行器,808千米每小时,14.33米,2×罗尔斯-罗伊斯公司威派尔601涡轮喷气发动机，单台3750 lbf (16.7 kN),1962年8月13日,双发,NULL,NULL,4480千米,{'$oid': '5cc93127831b973d657f12e6'},NULL,http://images.huanqiu.com/sarons/2013/12/a5bf9aa6a26349dafffa9840c6d908e6.jpg,5.26米,5683千克,1964年10月10日,英国,亚音速,通用飞机,"
BAe 125飞机是由德·哈维兰自行投资研制的，1962年8月13日首飞，首飞之前德·哈维兰已经成为霍克·西德利公司的一部分。初始机型于1964年10月10日开始服役，动力装置为Viper涡轮喷气发动机。BAe 125共计交付了572架。
",德·哈维兰,后掠翼,24人,15.39米,11340千克
肖特330双发涡桨短程支线客机,飞行器,455千米每小时,22.76米,普-惠PT6A五桨叶涡轮螺旋桨发动机,1974年8月22日,双发,NULL,NULL,1695千米,{'$oid': '5cc93127831b973d657f12e7'},NULL,http://images.huanqiu.com/sarons/2013/12/de1ea48f66e038f5204de9e3dd5ec146.jpg,4.95米,6680千克,1976年8月24日,英国,亚音速,通用飞机,,英国肖特公司,平直翼,32人,17.69米,10387千克
SocataTBM700/850单发涡轮轻型多用途飞机,飞行器,593千米每小时,12.68米,1×加拿大普惠PT6A-66D,1988年7月14日,单发,NULL,NULL,2813千米,{'$oid': '5cc93128831b973d657f12e8'},索卡塔(SOCATA)公司,http://images.huanqiu.com/sarons/2013/12/5d78c42c2f16ff9b3f0ed9f8ba68e2d1.jpg,4.36米,2132千克,1990年12月21日,法国,亚音速,通用飞机,"
TBM飞机最初是在与美国穆尼公司成立的合资企业里研制的。该机型于1988年7月14日首飞，1990年12月21日交付第一架飞机。TBM 700飞机最适合用作公务机，但在其他用途方面也得到了应用。该机型共计交付341架。（图为TBM700）
",NULL,平直翼,8人,10.65米,3354千克
P68“观察者”双发活塞式轻型通用飞机,飞行器,322千米每小时,12米,2×莱康明IO-360-A1B6，每台149 kw (200 hp),1970年5月25日,双发,NULL,NULL,2112千米,{'$oid': '5cc93128831b973d657f12e9'},NULL,http://images.huanqiu.com/sarons/2013/12/bcc6ad536cef5def96ecadff99c6429e.jpg,3.4米,1230千克,NULL,意大利,亚音速,通用飞机,"
P68“胜利者”飞机最初由Ing LuigiPascale教授于1968年设计，1970年5月25日首飞。后来产生了各种改进机型，直到1994年Partenavia的资产被火神航空公司收购。包括授权在印度生产的部分，P68共计交付超过420架。
",火神航空公司（Partenavia）,平直翼,6人,9.55米,1990千克
安东诺夫设计局 安-2 “小马” 单发活塞式通用飞机,飞行器,258千米每小时,18.2米,维特索夫Ash-62或PZL Asz-621活塞发动机,1947年首飞,双发,NULL,NULL,845千米,{'$oid': '5cc93128831b973d657f12ea'},NULL,http://images.huanqiu.com/sarons/2013/12/63f48659ab445c3a5fdab1280c0ff670.jpg,4.1米,3300千克,NULL,乌克兰,亚音速,通用飞机,,安东诺夫设计局,平直翼,14人,12.4米,5250千克
 安东诺夫设计局 安-38 双发涡桨通用飞机,飞行器,405千米每小时,22.06米,霍尼韦尔TPE-331或Omsk TVD-20涡轮螺旋桨发动机,1994年6月23日,双发,NULL,NULL,1750千米,{'$oid': '5cc93128831b973d657f12eb'},NULL,http://images.huanqiu.com/sarons/2013/12/3225219d9b6de71791b941f17bcc0578.jpg,5.05米,5300千克,1997年4月,乌克兰,亚音速,通用飞机,,安东诺夫设计局,平直翼,29人,15.67米,9500千克
SN601“轻巡洋舰” 双发涡轮风扇轻型行政专机,飞行器,760千米每小时,12.87米,2×加拿大普惠JT15D-4，每台11.12 kN (2500 lbf),1970年7月16日,双发,NULL,NULL,2555千米,{'$oid': '5cc93128831b973d657f12ec'},法国航宇工业集团,http://images.huanqiu.com/sarons/2013/12/02bfebc54a4269011951839c9f9d9542.jpg,4.23米,3510千克,1974年,法国,亚音速,通用飞机,"
SN 601“轻巡洋舰”机型在设计上主要是作为企业运输机，同时也瞄准各种通用功能，包括通勤客机、短程小客机、航空摄影机、教练机、救护机等。SN 601“轻巡洋舰”于1970年7月16日首飞，1974年开始服役。该机型共计交付40架。
",NULL,后掠翼,16人,13.83米,6600千克
安-28双发涡轮螺旋桨通用及通勤飞机,飞行器,355千米每小时,22米,2×Glushenkov TVD-10 B或加拿大普惠公司PT6A -65B 涡桨发动机,1969年9月（安-28M）,双发,NULL,NULL,510千米,{'$oid': '5cc93129831b973d657f12ed'},安东诺夫设计局波兰航空制造厂,http://images.huanqiu.com/sarons/2013/12/205da9d7a4716ac6d539098f4cb59ee3.jpg,4.6米,3900千克,NULL,波兰,亚音速,通用飞机,"
安-28由安东诺夫设计局为前苏联民航部门研制，1969年9月以安-28M为名称完成首飞。第一架前期制作飞机直到1978年4月才飞行，之后指定PzL(波兰航空制造厂)在波兰独家生产该机型。波兰制造的第一架安-28于1984年7月22日首飞。该机型共计交付了超过100架。
",NULL,平直翼,20人,12.98米,6100千克
塞斯纳680“君主”双发涡轮风扇中型公务机,飞行器,458千米每小时,16.5米,2×加拿大普惠PW306C,2002年2月27日,双发,NULL,NULL,5273千米,{'$oid': '5cc93129831b973d657f12ee'},塞斯纳飞行器公司（Cessna）,http://images.huanqiu.com/sarons/2013/12/a0bebcd71c3339196d597da465ae8bc5.jpg,6.2米,8029千克,2003年12月24日,美国,亚音速,通用飞机,,NULL,后掠翼,11人,19.36米,13744千克
塞斯纳560XL“奖状优胜”/“奖状XLS” 双发涡轮风扇中型公务机,飞行器,817千米每小时,17.17米,2×加拿大普惠PW545C，单台4119 lb (18.32 kN),1996年2月29日,双发,NULL,NULL,3441千米,{'$oid': '5cc93129831b973d657f12ef'},NULL,http://images.huanqiu.com/sarons/2013/12/3c03a982d5c1812369b545b3c9d58ded.jpg,5.23米,5086千克,1998年7月2日,美国,亚音速,通用飞机,,塞斯纳公司,平直翼,11人,16米,9163千克
别里耶夫Be-200“牵牛星” 喷气式水陆两用飞机,飞行器,700千米每小时,32.8米,2台D-436PT喷气发动机,1998年9月24日,双发,NULL,NULL,2100千米,{'$oid': '5cc93129831b973d657f12f0'},NULL,http://images.huanqiu.com/sarons/2013/12/af75e45c33f73fa58ae2e7a10f18bc10.jpg,8.9米,27600千克,NULL,苏/俄,亚音速,通用飞机,,俄罗斯别里耶夫设计局,后掠翼,46人,32米,41000千克
Quest “科迪亚克”单发涡轮轻型短距起降通用飞机,飞行器,352千米每小时,13.7米,NULL,2004年10月16日,单发,NULL,NULL,1990千米,{'$oid': '5cc93129831b973d657f12f1'},NULL,http://images.huanqiu.com/sarons/2013/12/542ec7447b6abe66dafd85e8019fd95b.jpg,4.7米,NULL,NULL,美国,亚音速,通用飞机,"
Quest飞机公司研制的“科迪亚克”（Kodiak）飞机是一种上单翼通用机型，适合粗糙的简易跑道，尤其瞄准传教及人道主义上作市场。该机型于2004年10月16日首飞，2005年5月在阿拉斯加航空贸易展上首次公开露面。计划在2006年末或2007年初获得犁号合格证并交付第一架飞机。该机型共计获得了超过30架订单。
",美国Quest飞机公司,平直翼,10人,16.9米,NULL
塞斯纳560“奖状”V/“超奖状”/“奖状加演”双发涡轮风扇中型公务机,飞行器,796千米每小时,15.9米,2×加拿大普惠JT15D-5D，单台3045 lbf (13.55 kN),1987年8月,双发,NULL,NULL,3704千米,{'$oid': '5cc93129831b973d657f12f2'},NULL,http://images.huanqiu.com/sarons/2013/12/42e799a37ce0b8136e6a9bc34ebbf6ce.jpg,4.57米,4261千克,1989年4月,美国,亚音速,通用飞机,,塞斯纳飞行器公司（Cessna）,后掠翼,10人,14.91米,7394千克
阿斯特拉G100/G150双发涡轮风扇中型公务机,飞行器,672千米每小时,16.05米,2×霍尼韦尔TFE731,1984年3月19日,双发,NULL,NULL,5760千米,{'$oid': '5cc93129831b973d657f12f3'},NULL,http://images.huanqiu.com/sarons/2013/12/41b2238532802fbaef7d0e9170fd9201.jpg,5.53米,5747千克,1986年6月30日,美国,亚音速,通用飞机,,湾流、以色列飞机工业公司,平直翼,11人,16.94米,10660千克
F406“大篷车”Ⅱ双发涡轮螺旋桨轻型多用途飞机,飞行器,424千米每小时,15.08米,2×加拿大普惠PT6A-112，每台373kW (500 hp),1983年9月22日,双发,NULL,NULL,2135千米,{'$oid': '5cc9312a831b973d657f12f4'},法国兰斯飞机制造公司,http://images.huanqiu.com/sarons/2013/12/8686a13a32a3a83225fd26fa849e9c7c.jpg,4.01米,2283千克,1985年,法国,亚音速,通用飞机,"
F406机型采用了塞斯纳公司“太阳神”飞机机身和“征服”Ⅱ的机翼，1982年中发布，1983年9月22日在法国首飞，1985年开始服役。该机型的运营商既有商业机构，又有政府部门。共计交付了96架。
",NULL,平直翼,14人,11.89米,4468千克
塞斯纳650“奖状”III／Ⅵ／Ⅶ 双发涡轮风扇中型公务机,飞行器,881千米每小时,16.31米,2×盖瑞特TFE731-3B-100S,1979年5月30日,双发,NULL,NULL,3774千米,{'$oid': '5cc9312a831b973d657f12f5'},NULL,http://images.huanqiu.com/sarons/2013/12/e1da755af4e0757c2adc3ae3724bf34c.jpg,5.13米,5293千克,1983年春,美国,亚音速,通用飞机,,赛斯纳飞行器公司（Cessna）,平直翼,13人,16.92米,NULL
比奇65 “空中女王”双发活塞式轻型通用飞机,飞行器,400千米每小时,15.32米, 2×莱卡明IGSO-540 A1D活塞发动机，每台380 hp (285 kW),1958年8月28日,双发,NULL,NULL,2441千米,{'$oid': '5cc9312a831b973d657f12f6'},NULL,http://images.huanqiu.com/sarons/2013/12/41607974d313da01de5fe5ec9265f7c3.jpg,4.33米,2393千克,NULL,美国,亚音速,通用飞机,,美国比奇公司,平直翼,11人,10.82米,3992千克
别里耶夫Be-103双发涡桨水陆两用飞机,飞行器,251千米每小时,12.5米,2×Continental IO-360-ES4发动机,1997年7月15日,双发,NULL,NULL,1180千米,{'$oid': '5cc9312a831b973d657f12f7'},阿穆尔河畔共青城飞机生产联合体,http://images.huanqiu.com/sarons/2013/12/0582a6d17f89a01bdb932b8f8b8e5bf5.jpg,3.7米,1730千克,NULL,苏/俄,亚音速,通用飞机,,俄罗斯别里耶夫设计局,平直翼,6人,10.7米,2270千克
罗克韦尔(Aero Commander)“指挥官”500／560/580双发活塞式轻型企业专机／通用飞机,飞行器,346千米每小时,14.95米,2× 莱康明IO-540 -E1B5六缸 活塞发动机,1948年4月23日,NULL,NULL,NULL,1735千米,{'$oid': '5cc9312b831b973d657f12f8'},NULL,http://images.huanqiu.com/sarons/2013/12/e64218ed7a0523b0a9e8c261a2e42192.jpg,4.42米,2102千克,NULL,美国,亚音速,通用飞机,"
“指挥官”是一个多产的上单翼双发活塞式机型系列，它起源于L-3085这一早在1948年4月23日就完成首飞的原型机。“指挥官”飞机的第一个生产机型是520，其后产生了许多改进型和功率更大的机型，采用的发动机既有自然吸气式也有涡轮增压式。（图为指挥官560）
",NULL,平直翼,6人,11.22米,3062千克
三菱MU-2双发涡轮螺旋桨短距起降通用及公务飞机,飞行器,517千米每小时,11.94米, 2×Garrett TPE331-6-251M,1963年9月14日,双发,NULL,NULL,2334千米,{'$oid': '5cc9312b831b973d657f12f9'},NULL,http://images.huanqiu.com/sarons/2013/12/4aaa92f2055b3b7fc407d08d9fa141ff.jpg,4.17米,3433千克,NULL,日本,亚音速,通用飞机,"
Mu-2飞机的设计工作始于1960年。1963年9月14日首飞时装载的是透博梅卡·阿斯塔左发动机，但9月15日获得型号合格证时已经替换成盖瑞特TPE331发动机。MU-2于1986年停产。共计交付了703架。
",NULL,平直翼,14人,12.01米,5250千克
塞斯纳550“奖状”Ⅱ/“喝彩”双发涡轮风扇中型公务机,飞行器,746千米每小时,15.9米,2×普拉特＆惠特尼加拿大JT15D4B涡轮风扇发动机，单台2500 lbf (11.12 kN),1977年1月31日,双发,NULL,NULL,3701千米,{'$oid': '5cc9312b831b973d657f12fa'},NULL,http://images.huanqiu.com/sarons/2013/12/77f4c9ae7ff60b3f50bc22691c14dd6c.jpg,4.57米,3655千克,1978年3月,美国,亚音速,通用飞机,,赛斯纳飞行器公司（Cessna）,后掠翼,10人,14.39米,6849千克
PC-12单发涡轮轻型飞机,飞行器,444千米每小时,16.2米,1×普拉特＆惠特尼加拿大PT6A -67B或-67P 涡轮螺旋桨发动机,1991年5月31日,单发,NULL,NULL,4187千米,{'$oid': '5cc9312b831b973d657f12fb'},NULL,http://images.huanqiu.com/sarons/2013/12/758483c11fc3c796d93727c4b8e90612.jpg,4.26米,2761千克,1994年4月,瑞士,亚音速,通用飞机,"
PC-12是1989年10月启动的行政机型计划的产物，之后很快扩大到通用飞机市场。PC-12最初称为Pc-XⅡ，1991年5月31日首飞，1994年4月开始服役。该机型共计交付了620架。
",瑞士派士飞机公司,后掠翼,11人,14.4米,4740千克
塞斯纳750“奖状”X双发涡轮风扇远程中型公务机,飞行器,1145千米每小时,19.38米,2×Rolls-Royce/Allison AE 3007C或3007C1 涡扇发动机,1993年12月21日,双发,NULL,NULL,5956千米,{'$oid': '5cc9312b831b973d657f12fc'},NULL,http://images.huanqiu.com/sarons/2013/12/e62b30519c2ef246e168d0ae48510a32.jpg,5.84米,9798千克,1996年7月,美国,亚音速,通用飞机,,NULL,后掠翼,14人,22.05米,16374千克
布里顿-诺曼 BN-2A MkⅢ “三岛人” 三发活塞式轻型飞机,飞行器,309千米每小时,16.15米,3×莱康明O-540-E4C5，每台260 hp (190 kW),1970年9月11日,三发,NULL,NULL,1609千米,{'$oid': '5cc9312c831b973d657f12fd'},NULL,http://images.huanqiu.com/sarons/2013/12/4485119bfbddb673a62d9ce609693523.jpg,4.32米,2650千克,1971年6月29日,英国,亚音速,通用飞机,,布里顿-诺曼公司,平直翼,18人,15.01米,4536千克
CASA C-212 Aviocar 双发涡桨轻型飞机,飞行器,370千米每小时,20.28米,2×盖瑞特艾雷赛奇TPE-331-10R-513C，单台617 kW (900 shp),1971年3月26日首飞,双发,NULL,NULL,1811千米,{'$oid': '5cc9312c831b973d657f12fe'},NULL,http://images.huanqiu.com/sarons/2013/12/20fbaccf2d76d34896f1b07be67752ba.jpg,6.3米,3780千克,NULL,西班牙,亚音速,通用飞机,,西班牙航空制造股份有限公司,平直翼,26人,15.2米,7700千克
庞巴迪 Canadair 415 双发涡桨水陆两用飞机,飞行器,376千米每小时,28.6米,普-惠PWl23涡轮螺旋桨发动机,1993年12月6日,双发,NULL,NULL,2426千米,{'$oid': '5cc9312c831b973d657f12ff'},NULL,http://images.huanqiu.com/sarons/2013/12/b214369f6cdc4444f2ac27bb58583a26.jpg,9米,12888千克,1995年1月,加拿大,亚音速,通用飞机,,加拿大庞巴迪公司,平直翼,16人,19.8米,19890千克
太平洋宇航750XL单发涡轮螺旋桨轻型通用飞机,飞行器,287千米每小时,12.8米,1×普惠PT6A-34，560 kW (750 hp),2001年9月5日,单发,NULL,NULL,1100千米,{'$oid': '5cc9312c831b973d657f1300'},NULL,http://images.huanqiu.com/sarons/2013/12/74ec781c90e03d4b32fba2944210e4c4.jpg,4.04米,1410千克,NULL,新西兰,亚音速,通用飞机,"
750XL飞机由cresco农业及通用涡轮螺旋桨飞机发展而来，是一种宽体飞机，装载普-惠加拿大公司PT6A-34发动机。750XL的研制工作始于2000年1月，原型机于2001年9月5日首飞。2003年8月20日获得新西兰民用航空管理局颁发的型号合格证，2004年3月获得美国联邦航空管理局颁发的型号合格证，750XL飞机由此成为第一个由新西兰设计和制造并在美国被采用的机型。
",NULL,平直翼,18人,11.84米,3395千克
塞斯纳525CitationJet 双发涡轮风扇小型公务机,飞行器,902千米每小时,14.3米,NULL,1991年4月29日,双发,NULL,NULL,2408千米,{'$oid': '5cc9312c831b973d657f1301'},NULL,http://images.huanqiu.com/sarons/2013/12/d13e9b1ad3353be739a89f41330a1d46.jpg,4.19米,3069千克,1993年3月30日,美国,亚音速,通用飞机,,赛斯纳飞行器公司（Cessna）,平直翼,10人,12.98米,4853千克
PC-6“搬运工”／涡轮“搬运工”单发活塞式／涡轮螺旋桨轻型短距起降飞机,飞行器,232千米每小时,15.87米,1×普拉特＆惠特尼加拿大公司PT6A -27 涡轮螺旋桨发动机,1959年5月4日,单发,NULL,NULL,1612千米,{'$oid': '5cc9312c831b973d657f1302'},瑞士派士公司,http://images.huanqiu.com/sarons/2013/12/cd358ede31f79fffab35dbae39ff100e.jpg,3.2米,1270千克,NULL,瑞士,亚音速,通用飞机,"
作为一种具有短距起降能力的单发活塞式通用飞机，PC-6的设计工作自1957年开始。研制成功的“搬运工”飞机于1959年5月4日首飞，该机型采用斜撑杆式上单翼，后三点式尾轮(橇)起落架。“搬运工”飞机大约制造了45架，后来被性能大大提高的涡轮“搬运工”机型所取代。仙童公司获准在美国生产PC-6飞机。共计交付了534架。
",NULL,平直翼,11人,11米,2800千克
塞斯纳510“野马”双发涡轮风扇甚轻型公务机,飞行器,771.8千米每小时,13.16米,2×加拿大普惠PW615F,2005年8月29日,双发,NULL,NULL,2161千米,{'$oid': '5cc9312c831b973d657f1303'},NULL,http://images.huanqiu.com/sarons/2013/12/57b8a1078b810fab41aaece646ebe601.jpg,4.09米,2522千克,2007年年初,美国,亚音速,通用飞机,,赛斯纳飞行器公司（Cessna）,后掠翼,7人,12.37米,3930千克
