_id,参战情况,图片,类型,名称,生产年限,简介,大类,制造商,关注度,产国
{'$oid': '5cc9328e831b973d657f1c1b'},NULL,,迷彩服,07式海洋数码迷彩服,2007年,"
    07式海洋数码迷彩最初是海军陆战队的专用作训服，2013年后被定为中国人民解放军海军全体官兵的制式迷彩服。其底色为蓝色，着以草绿、土黄色及白色，在滩涂水际、岛礁周边环境隐蔽效果较好，防红外侦察、防微光侦察作用方面较明显，但脱离海洋背景后反差明显。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328e831b973d657f1c1c'},NULL,,迷彩服,02式迷彩服,2002年,"
    2002年，中国人民解放军特种部队仿照法军“中欧迷彩”推出了02式迷彩，后期又推出了修改版本。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328e831b973d657f1c1d'},NULL,,迷彩服,07式改迷彩服,2008年冬季,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328e831b973d657f1c1e'},NULL,,迷彩服,03式林地迷彩服,NULL,    中国人民解放军为参加第十届爱尔纳突击国际侦察兵比赛的特种部队研发了“03式林地迷彩服”。因其较好的防目视侦察效果，随后配发给中国人民解放军所有特种部队。不足之处是洗涤多次后会严重褪色。,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328e831b973d657f1c1f'},NULL,,迷彩服,06系列迷彩服,2006年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328f831b973d657f1c20'},NULL,,迷彩服,林地迷彩服,NULL,"
    2001年，中国人民解放军在“98式丛林迷彩服”的基础上做了修改，为参加第八届爱尔纳突击国际侦察兵比赛的特种部队制作了一款林地迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328f831b973d657f1c21'},NULL,,迷彩服,04式林地迷彩服,NULL,"
    2004年，中国人民解放军又参考英军85 DPM设计出“04式林地迷彩服”，迷彩图案由深绿色、黄绿色、深棕色和褐色四色变形斑块构成，迷彩模式近似菲律宾陆军的DPM，适用于夜暗条件下的亚热带林地环境，具有良好的隐蔽伪装作用，在昼间使用与周围景致色差较大；其款式为开襟束腰式，并具有阻燃功能，在04-05年成为中国人民解放军特种部队的制式迷彩服。

   该款迷彩服在04年中国人民解放军“全军特种部队猎人集训”中首次被正式应用，因此被称为“猎人迷彩”，随后又配发给参加第十一届爱尔纳突击国际比赛的空降兵使用，所以也称“爱尔纳迷彩”，不过，很多人喜欢称其为“紫菜蛋花汤”。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328f831b973d657f1c22'},NULL,,迷彩服,07式数码迷彩服,NULL,"
   2007年，中国人民解放军总后军需装备研究所研制出07式数码迷彩服，按使用地域环境分为林地型、荒漠型、城市型和海洋型四款，但后期做过很大的改进。中国人民解放军现行配发的制式07数码迷彩服共有五款：包括林地通用迷彩、丛林迷彩、荒漠迷彩、海洋迷彩和城市迷彩（2012版），另外还有一种非制式的航空迷彩。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328f831b973d657f1c23'},NULL,,迷彩服,89四色林地迷彩服,1983年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328f831b973d657f1c24'},NULL,,迷彩服,07式城市数码迷彩服,2007年,"
    07式城市数码迷彩服（07版）是为空降兵设计的，实际上只是把07式荒漠迷彩的黑色改成墨绿色，在2008年后被07式通用型数码迷彩服取替代。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9328f831b973d657f1c25'},NULL,,迷彩服,87式迷彩作训服,1994-99年,"
1988年，以解放军87式林地迷彩模式为蓝本，武警部队推出了第一款制式迷彩服——武警87式迷彩作训服。 
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93290831b973d657f1c26'},NULL,,迷彩服,四色林地迷彩(武警),九十年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93290831b973d657f1c27'},NULL,,迷彩服,笔刷迷彩服,20世纪60至70年代,"
    20世纪60至70年代，印度开始仿制英国“笔刷”迷彩服供空降兵和特种部队使用。这种模式有几种不同颜色的变化版本，目前印度突击队仍在穿新式版本的“笔刷”迷彩服。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93290831b973d657f1c28'},NULL,,迷彩服,07式空降迷彩服,2009年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93290831b973d657f1c29'},NULL,,迷彩服,97式迷彩作训服,1997年,"
1997年，武警部队军需研究所又推出了武警97式迷彩作训服，其迷彩图案与87式属同一模式，只是色调偏浅，另一个区别是腰部口袋改为纵向拉链暗袋，主要配发给消防部队和边防部队。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93290831b973d657f1c2a'},NULL,,迷彩服,DPM迷彩服,20世纪后期,"
    这种模式被称为印度DPM， 虽然与英国DPM有相同名称，但实际上并没有任何关系。这是一个重叠的绿色和棕色卡其色背景上的棕榈叶形状，所以该模式也通常被称为“棕榈叶”或“印度叶”。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93290831b973d657f1c2b'},NULL,,迷彩服,蓝色DPM迷彩服,20世纪后期,"
     这种迷彩是在淡蓝色背景上重叠着暗蓝色的棕榈叶图案，主要配发给快速行动部队（RAF）和后备警察部队（CRPF）。注意第四张中从右数第1、3人穿的是蓝色印度DPM，而其他人穿的是蓝色林地迷彩。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93291831b973d657f1c2c'},NULL,,迷彩服,07式航空迷彩作训服,NULL,"
    2009年，解放军空军自行研制了一款07式航空迷彩作训服，颜色以青灰色为主色调，着以蔚蓝色、浅黄色、红褐色和白色相组合搭配，其款式用料与07系列迷彩作训服完全一致，但并不是制式作训服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93291831b973d657f1c2d'},NULL,,迷彩服,新型迷彩夏作训,2003年,"
    由于美军率先装备了数码迷彩的作战服，并通过实战检验后的得到公认，因此各国军队纷纷仿效开始研发装备数码迷彩服。

   2003年，中国人民解放军模仿美军MARPAT制作了一款叫“新型迷彩夏作训”的数码迷彩服，小规模配发给新疆地区部队作测试，后被07式通用型数码迷彩服取代。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93291831b973d657f1c2e'},NULL,,迷彩服,森林及消防迷彩服,NULL,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93291831b973d657f1c2f'},NULL,,迷彩服,几何迷彩服,20世纪60年代,"
    1967年-1976年为印度空军快速行动部队使用。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93292831b973d657f1c30'},NULL,,迷彩服,橙色斑点迷彩服,2010年,"
    橙色斑点迷彩（orange spot pattern）在2010年推出。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93292831b973d657f1c31'},NULL,,迷彩服,台湾海军陆战队改版(虎斑纹),20世纪80年代中期到90年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93292831b973d657f1c32'},NULL,,迷彩服,甲式野战服,20世纪90年末至今,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93292831b973d657f1c33'},NULL,,迷彩服,特警非制式迷彩服(武警),20世纪90年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93292831b973d657f1c34'},NULL,,迷彩服,垂直条纹迷彩服,1969年,"
    1969年推出，最初只是作为空降伞兵罩衫，1980年停用。1984年后印尼国民军大部分的单位都采用了标准的DPM迷彩服，但空军特种部队从1984年重新启用这种垂直条纹迷彩至今。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93292831b973d657f1c35'},NULL,,迷彩服,三色干旱迷彩服,20世纪后期,"
    主要配发给印度藏边境警察及其它准中央军事部队，但各自使用的版本不同。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93293831b973d657f1c36'},NULL,,迷彩服,石灰笔刷迷彩服,20世纪70年代,"
    印尼语称为KODAM Jaya Brushstroke pattern，20世纪70年代推出。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93293831b973d657f1c37'},NULL,,迷彩服,葡萄叶迷彩服,1975年,"
    陆军战略后备司令部在1975年引入美国海军陆战队的标准葡萄叶迷彩，穿了好几年，在20世纪90年代又被重新启用，主要用于礼仪场合。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93293831b973d657f1c38'},NULL,,迷彩服,海军陆战队第一款迷彩服,20世纪70年代末到80年代中期,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93293831b973d657f1c39'},NULL,,迷彩服,斑点迷彩服,2008年,"
    2008年推出，图案是卡其色背景上分布着深褐色和暗绿色斑点，据说衍生于德国flecktarn沙漠版本，主要配发给边境安全部队及其它准军事部队。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93293831b973d657f1c3a'},NULL,,迷彩服,林地迷彩服,20世纪90年代后期,"
   20世纪90年代后期，印度仿照美军M81开始生产自己版本的林地迷彩。初期主要配发给空军保安人员以及参加联合国行动的印度部队，后来也配发给部分地区的边境保安部队。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93293831b973d657f1c3b'},NULL,,迷彩服,陆军林地迷彩(早期版) ,1991-1994年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93293831b973d657f1c3c'},NULL,,迷彩服,直纹蜥蜴迷彩服,20世纪90年代后期,"
    20世纪90年代后期推出，供陆军部队在沙漠地区使用。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93294831b973d657f1c3d'},NULL,,迷彩服,红色虎斑纹迷彩服,1989年至1991年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93294831b973d657f1c3e'},NULL,,迷彩服,三色迷彩服,20世纪90年代末,"
    20世纪90年代末推出，主要配发给边境安全部队和一些内部安全单位，但各自使用的版本不同。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93294831b973d657f1c3f'},NULL,http://images.huanqiu.com/sarons/2014/01/1b4e71968f3e7ce38d74087fea655136.jpg,迷彩服,混纺直条纹迷彩,一直使用到1988年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93294831b973d657f1c40'},NULL,,迷彩服,通用迷彩服,NULL,"
    2006年推出，其中一个版本有点近似法国“中欧迷彩”。迷彩服直接印有印度陆军的标志，该模式正逐步取代老的“棕榈叶迷彩”成为陆军新的通用迷彩。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93294831b973d657f1c41'},NULL,,迷彩服,蓝色虎斑纹迷彩服,时期不详,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93295831b973d657f1c42'},NULL,,迷彩服,数码林地迷彩服,NULL,"
   印度中央后备警察部队第17营眼镜蛇大队装备使用数码林地迷彩。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93295831b973d657f1c43'},NULL,,迷彩服,数字迷彩通用战斗服,NULL,"
配发印度海军。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93295831b973d657f1c44'},NULL,,迷彩服,陆军林地迷彩服,1995年启用至今,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93295831b973d657f1c45'},NULL,,迷彩服,叶片迷彩服,20世纪90年代末,"
    20世纪90年代末推出，该模式在卡其色的背景上有黑色、棕色和绿色的叶片图案。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93295831b973d657f1c46'},NULL,,迷彩服,东德土豆/印花迷彩服,1956年-1967年,"
    为东德人民军及内政部部队使用。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93295831b973d657f1c47'},NULL,,迷彩服,数位迷彩（测试版）,20世纪90年代后,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93296831b973d657f1c48'},NULL,,迷彩服,新式十字纹迷彩,一个年度,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93296831b973d657f1c49'},NULL,,迷彩服,东德三色变形虫迷彩服,1957年-1965年,"
    东德最早的迷彩服，是根据苏联MKK模式设计的。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93296831b973d657f1c4a'},NULL,,迷彩服,西德变形虫模式迷彩服,1956年,"
  西德国变形虫式迷彩（amoebatarn）分为有秋、冬季版本。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93296831b973d657f1c4b'},NULL,,迷彩服,台湾数位城镇迷彩服,未知,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93296831b973d657f1c4c'},NULL,,迷彩服,航特部丛林数位迷彩,2007年推出,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93296831b973d657f1c4d'},NULL,,迷彩服,东德雨滴式迷彩服,1965年-1968年,"
  Raindrop Pattern Strichmuster雨滴式迷彩（Felddienstanzug），在波兰、捷克斯洛伐克、保加利亚乃至非洲部分国家都配发过。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93296831b973d657f1c4e'},NULL,,迷彩服,标准DPM迷彩服,NULL,"
   标准印度DPM，主要配发给印度全国青年团使用。
",枪械与单兵,NULL,NULL,印度
{'$oid': '5cc93296831b973d657f1c4f'},NULL,,迷彩服,新式数位迷彩（三军通用）,2013年后启用 ,"
分别包括适合针叶林、杂木林及中小型阔叶林的大小混合1型迷彩；适合针叶林、杂木林、中小型阔叶林及城市陆地的大小混合2型迷彩；适合芒草及林投树林相的长条型迷彩；适合大、中、小型阔叶林的宽型迷彩。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93296831b973d657f1c50'},NULL,,迷彩服,新式横条纹迷彩,1989年启用,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93296831b973d657f1c51'},NULL,,迷彩服,台湾城镇迷彩服 ,没有介绍,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93297831b973d657f1c52'},NULL,,迷彩服,87式城市迷彩服,20世纪80年代后,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93297831b973d657f1c53'},NULL,,迷彩服,西德雪地针松迷彩服,1970年,"
   西德雪地针松迷彩服(Pine Needle Snow Camo)，1970年使用至今。有绿色和棕色两种版本。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93297831b973d657f1c54'},NULL,,迷彩服,西德沼泽式3型迷彩服,NULL,    西德沼泽式3型迷彩服（3rd BGS Sumpfmuster pattern）曾为西德联邦边防大队所使用。1976年停止使用。,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93297831b973d657f1c55'},NULL,,迷彩服,99式6色沙漠迷彩服,1999年至2003年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93297831b973d657f1c56'},NULL,,迷彩服,99式海洋迷彩服 ,1999年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93298831b973d657f1c57'},NULL,,迷彩服,西德狙击手专用夹克,1964年,"
   曾为狙击手专用的夹克。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93298831b973d657f1c58'},NULL,,迷彩服,五色海洋迷彩服,20世纪80-90年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93298831b973d657f1c59'},NULL,,迷彩服,西德陆军分裂式迷彩服,1955年-1959年,"
   陆军分裂式迷彩服（Bundeswehr-Splittertarnmuster）与德二战时期的 Heeressplittermuster 31 （陆军分裂模式31）很相似，主要配发给联邦国防军步兵和空降兵。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93298831b973d657f1c5a'},NULL,,迷彩服,西德Leibermuster模式迷彩服,1955年-1956年,,枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93298831b973d657f1c5b'},NULL,,迷彩服,西德大格局分裂式迷彩服,NULL,"
    大格局分裂模式（broad splinter pattern）曾为西德军队所使用。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93298831b973d657f1c5c'},NULL,,迷彩服,98式丛林迷彩服,1998年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93298831b973d657f1c5d'},NULL,,迷彩服,西德沼泽式2型/马什迷彩服,1960年,"
    西德沼泽式2型迷彩服（2nd BGS Sumpfmuster pattern），又称马什迷彩服（Marsh Pattern），曾为西德联邦边防大队所使用。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93299831b973d657f1c5e'},NULL,,迷彩服,新机专用夏布飞行服,1991-2010年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93299831b973d657f1c5f'},NULL,,迷彩服,仿美M65四色林地迷彩服,80年代,"
    仿美M65四色林地迷彩，注意观察色调，有几种不同的版本。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93299831b973d657f1c60'},NULL,,迷彩服,四色横纹林地迷彩服,1988年,"
     八十年代末，中国人民解放军总后勤部开始着重研究测评林地迷彩。这里介绍1988年推出的四色横纹林地迷彩。
",枪械与单兵,中国人民解放军总后勤部,NULL,中国
{'$oid': '5cc93299831b973d657f1c61'},NULL,,迷彩服,试飞团定制迷彩服 , 从1991年至2007年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93299831b973d657f1c62'},NULL,,迷彩服,西德岩石迷彩服,上世纪70年代,"
    为西德上世纪70年代生产采用。
",枪械与单兵,NULL,NULL,德国
{'$oid': '5cc93299831b973d657f1c63'},NULL,,迷彩服,二炮定制四色林地迷彩 ,NULL,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc93299831b973d657f1c64'},NULL,,迷彩服,89四色林地迷彩服（后期版）,80年代,"
     89四色林地迷彩服的配发面很广，除了对越自卫反击战前线部分官兵使用外，在八十年代末至九十年代初的武警部队、驻守南沙岛礁的海军陆战队都配发过。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329a831b973d657f1c65'},NULL,,迷彩服,二炮仿美虎斑纹迷彩,NULL,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329a831b973d657f1c66'},NULL,,迷彩服,89式仿日四色林地迷彩服（早期版）,上世纪80年代,"
     89四色林地迷彩（早期版）服是仿照日本陆自80年代的一型迷彩设计的。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329a831b973d657f1c67'},NULL,,迷彩服,99式空降兵四色城市迷彩,20世纪90年代后,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329a831b973d657f1c68'},NULL,,迷彩服,VKK-15系代偿服,1991年至2007年,"
从1991年至2007年，87迷彩系列装备了解放军大部分的单位，基于某些原因，少数战斗单位仍会自行定制不同的迷彩服，以满足特别的需要。

空军航空兵部队曾先后配发过三款迷彩飞行服。90年代初，空军从俄罗斯引进了一批少量的VKK-15系代偿服，仅配发给某个师。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329b831b973d657f1c69'},NULL,,迷彩服,三色污点伪装衣,20世界80年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329b831b973d657f1c6a'},NULL,,迷彩服,碎石迷彩服,90年代,"
    演习中蓝军部队使用的“碎石”迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329b831b973d657f1c6b'},NULL,,迷彩服,仿美法迷彩服（测试）,1985年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329b831b973d657f1c6c'},NULL,,迷彩服,81式伪装衣（第2代）,NULL,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329b831b973d657f1c6d'},NULL,,迷彩服,合成纤维四色林地迷彩服,NULL,"
   由合成纤维制作的四色林地迷彩服，在八十年代末至九十年代初曾少量配发，其军帽是德国山地帽款式。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329b831b973d657f1c6e'},NULL,,迷彩服,81式伪装衣（1984年产）,NULL,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329c831b973d657f1c6f'},NULL,,迷彩服,空降部队荒漠迷彩服,90年代,"
    八一式伪装衣荒漠型图案影响深远，直至90年代中期还有少数部队使用。这个介绍空降部队荒漠迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329c831b973d657f1c70'},NULL,,迷彩服,81式伪装衣（五色大叶）,NULL,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329c831b973d657f1c71'},NULL,,迷彩服,93年“碎石”迷彩服,1993年,"
我军于1993年推出的“碎石”迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329c831b973d657f1c72'},NULL,,迷彩服,碎花迷彩（又称小黄花迷彩）,对越反击战侦察兵,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329d831b973d657f1c73'},NULL,,迷彩服,81式伪装衣（第1代）,1981年,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329d831b973d657f1c74'},NULL,,迷彩服,84式双面迷彩服,1989年推出,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329d831b973d657f1c75'},NULL,,迷彩服,早期的四色林地迷彩,20世纪80年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329d831b973d657f1c76'},NULL,,迷彩服,轮战部队自定迷彩,20世纪80年代,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329d831b973d657f1c77'},NULL,,迷彩服,87式林地迷彩服,80年代末,"
中国人民解放军总后勤部在对部分国家的迷彩服进行测试后，认为美军M81丛林迷彩图案伪装效果最好，遂以之为蓝本，采用深绿色、黄绿色、棕色及黑色4种类似“变形虫”形状的斑块，在1987年推出的四色几何变形迷彩，被称为87式林地迷彩。1991年正式配发给全军地面作战部队，是中国人民解放军首款制式迷彩服。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329e831b973d657f1c78'},NULL,,迷彩服,三色水波纹迷彩服,90年代初,"
90年代初专门配发给海军陆战队的三色水波纹迷彩服，是我军第一代海洋迷彩，后被87式海洋迷彩替代。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329e831b973d657f1c79'},NULL,,迷彩服,97式林地迷彩服,1997年,"
1997年为驻港部队装备的97式林地迷彩服，样式略微有改变，衣服下挖兜改成斜插兜，裤腿加了松紧带。但此款迷彩服仍没有解决耐磨性差、布料不够结实、散热性差等缺点，士兵普遍反映感觉比较闷。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329e831b973d657f1c7a'},NULL,,迷彩服,迷彩服I型(旧迷彩),1980年,"
1980年日本推出的第一种迷彩服，由黑色、棕色和绿色的林地形状组成的浅绿色背景，主要配发给日本陆上自卫队第1空降旅，1992年后被“点状迷彩”（Jeitai dots pattern）替代。
",枪械与单兵,NULL,NULL,日本
{'$oid': '5cc9329e831b973d657f1c7b'},NULL,,迷彩服,早期仿迷彩服,1930年,"
大约从1930年开始，日军模仿意大利和德军的迷彩伪装技术，先后为部分飞机、坦克以及军舰作了迷彩涂装，但并没有制作出迷彩服，主要原因是纺织工艺水平太低。

虽是如此，日军仍有两支伞兵部队（德军指导及提供部分装备援建的陆军空降兵旅团和海军第1特别陆战队）在战斗服上染上不同颜色以模仿迷彩服。
",枪械与单兵,NULL,NULL,日本
{'$oid': '5cc9329e831b973d657f1c7c'},NULL,,迷彩服,99式林地迷彩服,NULL,"
99式林地迷彩服是在97式的基础上改的，并于1999年前后开始装备部队，全面替换87式。为加强防红外侦察效果将深绿色改为深翠绿色，由此减少了一定的昼间防目视侦察效果。
",枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329f831b973d657f1c7d'},NULL,,迷彩服,81式伪装衣（1985年产）,1985年产,,枪械与单兵,NULL,NULL,中国
{'$oid': '5cc9329f831b973d657f1c7e'},NULL,,迷彩服,05式林地迷彩服,2005年,"
05式林地迷彩服在2005年前后开始装备部队，布料改为格子布，样式跟99式一样；但颜色有点偏黄绿色，比99式鲜艳，05式的帽子也跟87式99式都不一样。
",枪械与单兵,NULL,NULL,中国
