名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量,挂载点
AS565黑豹运输机,飞行器,287千米每小时,NULL,"装2台透博梅卡公司""阿赫耶""1M1涡轴发动机，起飞功率558千瓦，装全功能数字式电子控制器。",1986年,双发,11.9米,NULL,NULL,859千米,{'$oid': '5cc93110831b973d657f1261'},NULL,,4.1米,2255千克,NULL,法国,亚音速,运输机,"
AS565""黑豹""是欧洲直升机法国公司生产的多用途军用直升机，由""海豚""2改型而来，原编号SA365K，1990年1月改称AS565。1986年4月30日生产型首次展出，1988年首次交付。
",NULL,单旋翼,14人,13.7米,4250千克,两个塔架上提供四个挂载点典型武器
L-23“塞米诺尔”,飞行器,373千米每小时,13.82米,两台“莱康明”O-480-1,1952年1月,单发,NULL,NULL,NULL,2168千米,{'$oid': '5cc93110831b973d657f1262'},NULL,,3.47米,2256千克,1952年,美国,亚音速,运输机,L-23“塞米诺尔”是六座双发兵员运输机，比奇公司的6座飞机50型“孪生富豪”是二战后美国获得量产的第一种双发轻型机，即L-23“塞米诺尔”。1949年11月15日，原型机首飞，1952年1月，美国陆军购买了一架50型用于飞行测试。预定该机后以L-23A“塞米诺尔”的名号执行联络任务，或被用作轻型通用机。,比奇飞机公司,平直翼,6人,9.64米,3175千克,NULL
C-5“银河”,飞行器,920千米每小时,67.88米,四台通用电气TF39-GE-1C发动机,1968年6月30日,四发,NULL,NULL,NULL,10410千米,{'$oid': '5cc93110831b973d657f1263'},美国洛克希德公司,http://images.huanqiu.com/sarons/2013/08/45ab5a31742df741c68ab689690a0582.jpg,19.85米,169643千克,1970年6月,美国,亚音速,运输机,"
C-5“银河”重型战略运输机（Lockheed C-5 Galaxy）是美国现役最大的战略运输机，它能够在全球范围内运载超大规格的货物并在相对较短的距离里起飞和降落。地面工作人员可以同时在C-5运输机的前后舱门进行装载和卸载。C-5运输机是目前世界上现役最大型的运输机之一。
",NULL,后掠翼,355人,75.54米,379655千克,NULL
C-69/C-121“星座“/”预警星”,飞行器,517千米每小时,37.49米,四台莱特R-3350-34发动机,1943年1月9日,四发,NULL,1982年,NULL,7405千米,{'$oid': '5cc93110831b973d657f1264'},洛克希德公司,http://images.huanqiu.com/sarons/2013/08/e9a4691da3630dc9268006602bf2ae85.jpg,8.1米,36275千克,NULL,美国,亚音速,运输机,洛克希德C-69“星座”是的洛克希德星座飞机线的军用版。于1943年首飞。外形宏伟的“星座”，在第一架生产型飞机被美国陆军航空部队作为战略运输机时，它涂装的是草绿色而不是客机用的红色或白色，尽管只征用了22架，但是它们表现的非常出色，给美国空军留下了非常深刻的印象。,NULL,平直翼,31人,35.41米,64620千克,NULL
C-123“供应者”,飞行器,392千米每小时,33.35米,两台普-惠R-2800-99W“旋风” 发动机,1949年10月14日,双发,NULL,NULL,NULL,2365千米,{'$oid': '5cc93110831b973d657f1265'},凯撒-弗雷泽（Kaiser-Frazer）公司、仙童（Fairchild）公司,http://images.huanqiu.com/sarons/2013/08/c38fd5349ef20a4e9db5d15b16b8dd76.jpg,10.38米,13563千克,1955年7月,美国,亚音速,运输机,C-123 供应者（Provider)是美军在二战后装备的一种运输机。其机体设计来自于全金属的无动力滑翔机XCG-20。C-123运输机系列中最为人所知的一项特征便是它的混合动力推进方式，另外在越战期间这型运输机也负担喷洒恶名昭彰的橙剂的任务。,蔡斯飞机公司（Chase Aircraft）,平直翼,65人,23.25米,27240千克,NULL
S2F/S-2“追踪者”,飞行器,430千米每小时,21.23米,两台莱特R-1820-82WA“旋风”发动机,1952年12月4日,双发,NULL,NULL,NULL,2095千米,{'$oid': '5cc93110831b973d657f1266'},NULL,http://images.huanqiu.com/sarons/2013/08/358016f9f82c5b2663d77270a8eb841e.jpg,5.06米,8505千克,1954年2月,美国,亚音速,运输机,"
“追踪者”是作为有“猎人／杀手”之称的“守护者（Guardian）”的继任机生产的，它的发展过程短得不可思议。尽管它尺寸短小，却仍然能够盛得下用来定位和摧毁潜艇必须的ASW（反潜战）雷达、传感器设备和武器。节油型莱特“旋风”发动机配合上大翼展机翼，使这种飞机具备了卓越的空中巡逻能力。为了在上舰使用时节省空间，所有的S-2的任务设备都可以在不使用时收入机身--APS-38安装在腹舱内，MAD（机载磁探测器）尾桁收入尾翼中，8个声纳浮标分别放在尾部发动机舱中。
",格鲁曼公司,平直翼,13人,13.26米,13222千克,NULL
C-133“货运霸王”,飞行器,530千米每小时,54.75米,四台普-惠T34-P-7WA发动机,1956年4月23日,四发,NULL,1979年,NULL,6360千米,{'$oid': '5cc93111831b973d657f1267'},美国道格拉斯飞机公司,http://images.huanqiu.com/sarons/2013/08/ddc400abb516f038478e8cec0d9686b3.jpg,14.7米,54432千克,1957年8月,美国,亚音速,运输机,,NULL,平直翼,6人,48.02米,124740千克,NULL
C-141“举重星” ,飞行器,910千米每小时,48.74米,四台普-惠TF33-P-75发动机,1963年12月17日,四发,NULL,2006年5月,NULL,10279千米,{'$oid': '5cc93111831b973d657f1268'},美国洛克希德公司,http://images.huanqiu.com/sarons/2013/08/d76a6da72aa0749b9b0f03ac65587168.jpg,11.96米,67185千克,1965年,美国,亚音速,运输机,C-141“举重星”(Starlifter)运输机是美空军主力战略运输机之一，是世界上第一种完全为货运设计的喷气式飞机，是第一种使用涡扇发动机的大型运输机，由洛克希德·马丁公司佐治亚州分部研制。主要用于运送人员和物资。C-141的货舱虽然不如后来出现的C-5和C-17的大，但是也能轻松的装载长达31米的大型货物。其货舱也可一次运载208名全副武装的地面部队士兵，或168名携带全套装备的伞兵。该机还可以运送“民兵”战略弹道导弹。在海湾战争期间，C-141飞行了37000架次，在90%的架次中能准时抵达目的地。,NULL,后掠翼,7人,51.29米,155580千克,NULL
C-21优先空运飞机／医疗救助飞机,飞行器,867千米每小时,12.04米,两台雨燕TFE731-2-2B发动机,1973年8月22日,双发,NULL,NULL,NULL,4260千米,{'$oid': '5cc93111831b973d657f1269'},NULL,http://images.huanqiu.com/sarons/2013/08/167773b74e56b50e65b8f5f84db6b694.jpg,3.73米,4462千克,1983年,美国,亚音速,运输机,"
C-21喷气式飞机，是1973年美国盖兹-里尔公司研制成功的一款十座双发优先空运飞机。1983年该型飞机被美国空军选中，作为CT-39“佩刀客（Sabreliner）”轻型运输机的替代用机。
",美国盖兹-里尔公司,平直翼,10人,14.83米,8301千克,NULL
TC/VC-4“湾流I”,飞行器,587千米每小时,23.88米,两台罗-罗（Rolls-Royce）“标枪”Rda7／2Mk529-8X发动机,1958年8月14日,双发,NULL,1996年,NULL,3186千米,{'$oid': '5cc93111831b973d657f126a'},NULL,http://images.huanqiu.com/sarons/2013/08/e98882d08b8a7d1025242e0cabfd0446.jpg,7.11米,11114千克,1963年,美国,亚音速,运输机,"
1962年，美国海军计划发展“湾流I”公务机的军用版，作为领航员教练机和运输机。然而，由于资金短缺，购买计划推迟了，直到1963年，美国海岸警卫队购买了，一架“湾流I”作为要员运输机，“湾流”的军方服役方告开始。这架飞机被命名为AC-4A，至今仍保留在迈阿密的奥帕洛卡城。1966年，美国海军订购了9架“湾流I”，命名为TC-4C“研究院（Academe）”投弹手／领航员教练机，用于训练将要飞A-6的机组人员。座舱后部安装了一个仿“入侵者”的驾驶舱，一个A-6机头嫁接在飞机前方，四个一模一样的雷达／领航训练控制台填满了机身。三个A-6训练单位共用这些飞机，后来，它们定期升级，与A-6E轰炸机上安装的新系统保持一致。“研究院”后来被重新命名为TC-4C，于1996年退役。20世纪80年代，美国陆军也购买了二手的“湾流I”作为要员运输机。
",格鲁曼公司,后掠翼,10人,20.69米,16330千克,NULL
C-140“喷气星”,飞行器,920千米每小时,16.37米,四台普-惠JTl2A-6发动机,1957年9月4日,双发,NULL,20世纪90年代（美空军 ）,NULL,4585千米,{'$oid': '5cc93111831b973d657f126b'},美国洛克希德公司,http://images.huanqiu.com/sarons/2013/08/0eac0a705af787fddaac6435a0c68776.jpg,6.23米,11226千克,NULL,美国,亚音速,运输机,"
洛克希德公司的1329型轻型运输机是参加美国空军为寻找一种一般性“通用运输类”飞机而举办的一次飞行竞赛而设计的。1957年9月4日，在设计完成仅241天后，双发的“喷气星”原型机进行了首飞。
",NULL,平直翼,12人,18.42米,20185千克,NULL
C-124“环球霸王”,飞行器,489千米每小时,53.08米,四台普-惠R-4360-20WA发动机,1949年11月27日,四发,NULL,1974年,NULL,10975千米,{'$oid': '5cc93111831b973d657f126c'},美国道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/13354dee567af9728e661b2f8b3999c5.jpg,14.7米,45887千克,1950年5月,美国,亚音速,运输机,,NULL,后掠翼,205人,39.75米,88223千克,NULL
C-82“邮船”和C-119/R4Q“飞行车厢”,飞行器,450千米每小时,33.3米,两台菜特R-3350-89A“旋风”发动机,1944年9月,双发,NULL,NULL,NULL,2608千米,{'$oid': '5cc93111831b973d657f126d'},美国仙童公司,http://images.huanqiu.com/sarons/2013/08/87dad439c6a00f970e0de4cf89af87c6.jpg,8.07米,18500千克,1945年底,美国,亚音速,运输机,,NULL,平直翼,67人,6.36米,32977千克,NULL
C-11/20/37”湾流“,飞行器,943千米每小时,23.74米,两台罗-罗 “泰河（Tay）”Mk611-8发动卡,1966年10月6日（湾流I）,双发,NULL,NULL,NULL,7377千米,{'$oid': '5cc93112831b973d657f126e'},湾流公司,http://images.huanqiu.com/sarons/2013/08/955a044505fd0d0108cbd0ebd6567eee.jpg,7.4米,19232千克,NULL,美国,亚音速,运输机,"
C-11是由美国湾流公司座开发的一种双发优先空运机、要员运输机、货运机。1968年7月，美国海岸警卫队购买了一架“湾流II”，命名为VC-11A，从此，“湾流”喷气式运输机家族开始进入军方服役，美国空军、海军、陆军、海军陆战队和海岸警卫队都有少量使用。
",NULL,后掠翼,28人,26.91米,33838千克,NULL
YC-125“袭击者” 运输/搜救机,飞行器,331千米每小时,26.39米,三台莱特R-1820-99发动机,1949年8月1日,单发,NULL,1955年,NULL,2970千米,{'$oid': '5cc93112831b973d657f126f'},美国诺斯罗普公司,http://images.huanqiu.com/sarons/2013/08/aa2cd497a0b16882d2af06e0b615e61c.jpg,7.04米,11340千克,1950年,美国,亚音速,运输机,"
诺斯罗普YC-125“袭击者”是一款诺斯罗普公司在20世纪40年代建造的三引擎短距起降多用途运输机。
",NULL,平直翼,36人,20.45米,19005千克,NULL
UO/U-11“阿兹特克人”,飞行器,344千米每小时,11.27米,两台莱康明O-540-A1A发动机,1960年年初（PA-23“阿兹特克人”）,单发,NULL,NULL,NULL,2120千米,{'$oid': '5cc93112831b973d657f1270'},NULL,,3.07米,1507千克,1954年,美国,亚音速,运输机,"
“阿兹特克人（Aztec）”飞机源于美国斯汀生公司在20世纪50年代早期的一个设计，20世纪60年代到80年代，派帕公司将其进一步发展。最初用于美国的民用航空市场，少部分曾进入美国和其他国家的海军中服役。
",美国派帕公司,平直翼,4人,8.44米,2177千克,NULL
R4D-8/C-117“海豚”,飞行器,432千米每小时,28.34米,两台莱特R-1820-80“旋风”发动机,1949年6月,双发,NULL,NULL,NULL,3420千米,{'$oid': '5cc93112831b973d657f1271'},道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/764dee81d895ca23ae4de79891c83f52.jpg,5.51米,9738千克,NULL,美国,亚音速,运输机,,NULL,后掠翼,41人,21.67米,13834千克,NULL
PBY“卡特琳娜”,飞行器,288千米每小时,31.7米,两台普-惠R-1830-92“双黄蜂”发动机,1935年3月21日,双发,NULL,1957年1月,NULL,4096千米,{'$oid': '5cc93112831b973d657f1272'},NULL,http://images.huanqiu.com/sarons/2013/08/7baece5a433eb84b0e79e935fba71cd5.jpg,6.5米,9485千克,1936年10月,美国,亚音速,运输机,"
PBY“卡特琳娜”（英语：PBY Catalina）是美国联合飞机公司（Consolidated Aircraft Corporation）开发的一款军用水上飞机，该型飞机是第二次世界大战期间使用的最为广泛的水上飞机之一，用于鱼雷攻击、夜间雷达袭击、搜救落水人员，从原来的基础上发展出了多个不同的衍生型号。除了美国军队之外，英国和加拿大军队也装备了这种飞机。
",联合公司,平直翼,7人,19.47米,16066千克,NULL
JRM“火星”海上运输飞艇,飞行器,352千米每小时,60.96米,四台普-惠P-4360“黄蜂长”发动机,1942年6月23日,四发,NULL,NULL,NULL,5304千米,{'$oid': '5cc93112831b973d657f1273'},NULL,http://images.huanqiu.com/sarons/2013/08/6db37bcd63de7fdfaf5eeefc24efd511.jpg,14.35米,35344千克,1943年11月30日,美国,亚音速,运输机,"
JRM“火星”，是1942年格伦·马丁公司为美国海军研制的一种大型四引擎水上货物运输飞艇。这是盟军生产的最大型的水上飞艇，共建成7架。1938年，美国海军计划发展XPB2M-1火星作为海上巡逻轰炸机，但后来进入生产的却是JRM“火星”远程海上运输飞艇。
",格伦·马丁公司,平直翼,186人,36.66米,74844千克,NULL
P5M/P-5“枪鱼”海上运输飞艇,飞行器,404千米每小时,36.02米,两台莱特R-3350-32W发动机,1948年5月30日,双发,NULL,NULL,NULL,3300千米,{'$oid': '5cc93113831b973d657f1274'},NULL,http://images.huanqiu.com/sarons/2013/08/6c50f97d49b9c1d5bee0adc41dd2d028.jpg,9.97米,22900千克,1952年4月23日,美国,亚音速,运输机,"
P5M/P-5“枪鱼”海上运输飞艇，是1948年由格伦·马丁公司为美国海军于研制一款双引擎活塞动力的飞艇。1952年开始服役。到20世纪60年代后期还为美海军执行海上巡逻任务。它还曾在美国海岸防卫队和法国海军服役。
",格伦·马丁公司,平直翼,11人,30.66米,38555千克,NULL
R6D-8/C-118“举重霸王”,飞行器,504千米每小时,35.81米,四台普-惠R-2800-52W发动机,1946年2月,四发,NULL,NULL,NULL,7552千米,{'$oid': '5cc93113831b973d657f1275'},NULL,http://images.huanqiu.com/sarons/2013/08/bfc2402ef250380470a43dca22d3f4e7.jpg,8.77米,22574千克,NULL,美国,亚音速,运输机,"
C-118最终满足了美国陆军航空兵对于C-54“空中霸王（Skymaster）”继任机的需求，美国陆军航空部队要求这种继任机能够提供更大的有效负载和更高的性能，最重要的是，它得是全增压的，这样才能飞得更高，并且在不利的天气条件下飞行。这种运输机最初命名为xc-112A，于1946年2月完成了首飞。
",道格拉斯公司,后掠翼,78人,32.21米,48535千克,NULL
PB2Y“科罗娜多”,飞行器,343千米每小时,35.05米,四台普-惠R-1830-88“双黄蜂”发动机,1937年12月17日,四发,NULL,1945年,NULL,3814千米,{'$oid': '5cc93113831b973d657f1276'},NULL,http://images.huanqiu.com/sarons/2013/08/78d887eb6474456c3be09337f68f9670.jpg,8.38米,18565千克,NULL,美国,亚音速,运输机,"
在PBY原型机飞上蓝天的几个月内，美国海军指令西科斯基公司和联合飞机公司研制更大的、有着更好的作战性能的飞艇原型机。联合公司的原型机于1937年12月17日首飞，被海军命名为XPB2Y-1。由于海军几乎把全部资金用于采购PBY，联合公司一直等到1939年3月31日，才收到来自海军的6架PB2Y的订单，每架PB2Y价值是PBY的3倍。1940年11月19日，第二份订单到来，PB2Y-3投产，同年12月，第一架飞机抵达一线单位。该公司一共为美国海军生产了210架PB2Y-3。1945年年底以前，所有的“科罗纳多”都已退出现役。
",联合公司(United Aircraft Corporation),平直翼,9人,24.15米,30845千克,NULL
C-47/R4D 运输机,飞行器,369千米每小时,28.96米,两台普-惠R-1830-93“双黄蜂”发动机,1935年12月17日（道格拉斯卧铺机）,双发,NULL,NULL,NULL,2414千米,{'$oid': '5cc93113831b973d657f1277'},美国道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/85bf119117d09b20e1bbae38650ccc23.jpg,5.16米,7698千克,NULL,美国,亚音速,运输机,"
C-47空中列车运输机，是美国道格拉斯公司研制的一种双发动机活塞式军用运输机，是由DC-3客机改装而成的，于1935年12月原型机首次试飞，1940年开始装备部队。该机相继有多个型别投产问世，总共生产10123架。当时，C-47以较好的飞行性能为优势，装备于美国陆军航空队，成为其第二次世界大战中的主要军用运输机，主要用于空运物资和兵员，也可空投伞兵。第二次世界大战后，C-47也曾继续发挥作用，如在1948年6月至1950年5月前苏联封锁西柏林通道期间，美国空军出动C-47飞机共27700架次空运物资。
",NULL,平直翼,32人,19.67米,11798千克,NULL
C-46 “突击队员”,飞行器,433千米每小时,32.94米,两台普-惠R-2800-21“双黄蜂”发动机,1940年3月26日,双发,NULL,NULL,NULL,1931千米,{'$oid': '5cc93113831b973d657f1278'},寇蒂斯公司,http://images.huanqiu.com/sarons/2013/08/39d9e026f1c9c6f91d255f681a343e39.jpg,6.69米,14696千克,1941年,美国,亚音速,运输机,"
C-46突击队员（Curtiss C-46 Commando）是由一种商用高空客机设计转变而来的运输机。柯蒂斯C-46突击队员是由一种商用高空客机设计转变而来的运输机。在二战时期，它以“R5C”的型号被美国陆军航空队、美国海军和美国海军陆战队用于军事运输。它也被驾驶过它的人称为“鲸鱼”或“柯蒂斯灾难”、“水管工的噩梦”，特别在航空运输司令部机组成员中，它被称为“飞行棺材”。
",NULL,NULL,54人,23.27米,25401千克,NULL
C-54/R5D“空中霸王”,飞行器,441千米每小时,35.81米,四台普-惠R-2000-7“双黄蜂”发动机,1938年6月7日,四发,NULL,1975年,NULL,6276千米,{'$oid': '5cc93113831b973d657f1279'},NULL,,8.39米,17237千克,1942年,美国,亚音速,运输机,"
C-54“空中霸王”（skymaster）战略运输机是二战著名的运输机。美国道格拉斯公司研制的一种四发动机活塞式远程军用运输机，于1942年2月首次试飞，随后交付使用。该机是DC-4型客机的军用型，共生产1163架。当时，C-54以航程远、载重量较大为优势，装备于美国陆军航空兵，成为其在第二次世界大战中的主要远程军用运输机。
",道格拉斯飞机公司,后掠翼,52人,28.63米,33112千克,NULL
C-9“空中列车Ⅱ/南丁格尔”,飞行器,909千米每小时,28.42米,两台普-惠JT8D-9发动机,1965年2月25日（DC-9）,双发,NULL,2004年,NULL,4700千米,{'$oid': '5cc93113831b973d657f127a'},麦克唐纳-道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/c5ddfb76030c9b97731a83937838e5bf.jpg,8.38米,27082千克,1968年8月,美国,亚音速,运输机,"
C-9是美国空军历史上唯一一种专门为执行医疗空运任务而设计的运输机，它上面设有专用的担架和病人移动装置。为了取代C-9型机，美空军其它多种机型的运输机已经增加了医疗空运任务。美空军为这些运输机安装了一种叫做患者支持货盘的新型航空医疗设备，这使得这些“非专业”的运输机也可以执行医疗空运任务。
",NULL,后掠翼,8人,36.35米,48988千克,NULL
JRF“鹅式”,飞行器,323千米每小时,14.94米,双普-惠R-985-AN6“小黄蜂”发动机,1937年6月,双发,NULL,NULL,NULL,1030千米,{'$oid': '5cc93114831b973d657f127b'},NULL,http://images.huanqiu.com/sarons/2013/08/a926f9ea57064d3cb9dc32bdd38e129c.jpg,4.93米,2466千克,NULL,美国,亚音速,运输机,,格鲁曼公司,平直翼,7人,11.73米,3636千克,NULL
U-17“空中马车”,飞行器,286千米每小时,10.92米,泰莱达因-大陆IO-52O-D发动机,1960年7月 ,单发,NULL,NULL,NULL,1665千米,{'$oid': '5cc93114831b973d657f127c'},NULL,http://images.huanqiu.com/sarons/2013/08/4dd4671a858c7099788f885fcba6be21.jpg,2.36米,719千克,NULL,美国,亚音速,运输机,,塞斯纳公司,平直翼,6人,7.85米,1519千克,NULL
UC-61“百眼巨人”,飞行器,212千米每小时,11.07米,华纳R-500“超级金龟子（Super Scarab）”发动机,1933年（民用机24型）,单发,NULL,NULL,NULL,1030千米,{'$oid': '5cc93114831b973d657f127d'},美国仙童公司,http://images.huanqiu.com/sarons/2013/08/3cd9968d6a744115ed631e6b55ced73c.jpg,2.32米,732千克,NULL,美国,亚音速,运输机,"
仙童UC-61“百眼巨人”是一款四座单发高翼联络机兼通信和仪器教练机。其主要用户是由美国陆军航空兵。同时它也是一个成功的民用飞机。
",NULL,平直翼,4人,7.24米,1162千克,NULL
