轨道卫星,_id,经度,图片,发射地点,类型,运载火箭,名称,简介,首次轨道发射,轨道,纬度,长度,制造商,大类,关注度,产国,发射日期,中心直径
NULL,{'$oid': '5cc933f3831b973d657f23e5'},80 ° 37 W,,佛罗里达州，卡纳维拉尔角,空间探测器,巨人ⅢE-半人马座,“航行者”飞行器,"
两颗“航行者”飞行器是为了一个为期五年的木星和土星访问任而建造的。共研制了两枚，分别为航行者1号和2号。
",NULL,逃逸轨道,28 ° 24'N,NULL,NASA喷气推进实验室,太空装备,NULL,美国,1977年8月20日（航行者2号）；1977年9月5日（航行者1号）,NULL
NULL,{'$oid': '5cc933f3831b973d657f23e6'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔Ⅱ7925,深度撞击探测器,"
“深度撞击”是NASA设计的通过使用撞击探测器撞击彗核来调查研究坦普尔彗星的探索计划的第八次任务。经过173天、4亿3100万公里(2亿6800万英里)的旅程后，2005年7月4日“深度撞击”飞越了坦普尔彗星。在脱离彗星一天后，飞越飞行器开始部署撞击探测器。在撞击探测器撞击彗星时，飞越飞行器已经离开彗星8606公里(5348英里)了。撞击探测器在撞击发生后14分钟达到与彗核的最短距离，大约为500公里(310英里)。
",2005年1月12日,太阳轨道,NULL,NULL,巴尔航天公司,太空装备,NULL,美国,2005年1月12日,NULL
NULL,{'$oid': '5cc933f3831b973d657f23e7'},西经81度,,佛罗里达州，卡纳维拉尔角,空间探测器,阿特拉斯—半人马座,金星先锋2号空间探测器,“金星先锋2号”是第一颗金星大气探测器。它由一个主体和它携带的4颗大气探测器组成。主要任务是以弹道式进入金星浓密、高热的大气层，并在下落时向地球传回数据。,NULL,同步轨道(撞击),北纬27度,2.5米,NASA Ames研究中心,太空装备,NULL,美国,1978年8月8日,1.5米
NULL,{'$oid': '5cc933f3831b973d657f23e8'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔2号7925-H,拂晓号探测器,"
“拂晓号”是第一颗围绕两颗主带小行星(Main Belt Asteroids)——谷神星(最早被发现的最大的小行星，其轨道在火星和土星之间)和灶神星(火星和木星轨道的第四号行星)轨道运转的飞行器。当2004年2月“拂晓号”的开发工作刚刚开始时，并没有加入激光高度计和磁力计，而是只装备了三种科学仪器，分别是由德国、意大利和美国的Los Alamos公司提供。
",NULL,太阳轨道,NULL,NULL,轨道科学公司,太空装备,NULL,美国,2007年9月27日,NULL
NULL,{'$oid': '5cc933f4831b973d657f23e9'},西经81度,,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔2914,国际日地探测卫星3号/国际彗星探测器,"
国际彗星探测器，也叫国际日地探测器3号，重390千克，由美国和欧洲空间局1978年8月12日，用德尔塔运载火箭发射。1986年3月28日探测了哈雷慧星周围的环境特性。这次对哈雷慧星回归的探测，使人们得到了一幅比较完整的哈雷慧星图像，现在还留在一365天为周期的太阳轨道上，并将2014年8月回到地球附近。
",L1halo轨道,然后进入太阳轨道,北纬27度,NULL,仙童公司,太空装备,NULL,美国,1978年8月12日,NULL
NULL,{'$oid': '5cc933f4831b973d657f23ea'},NULL,,哈萨克斯坦，拜科努尔,空间探测器,质子D-1—e,月神16号,"
“月神16号”是前苏联使用自动飞行器登陆月球并将月球土壤样本带回地球的六次尝试中的第一次成功。前苏联政府想靠它击败美国的“阿波罗11号”和“阿波罗12号”。
",NULL,110公里(68.4英里)圆形轨道，倾角70°,NULL,NULL,拉沃契金设计局,太空装备,NULL,苏/俄,1970年9月12日,NULL
NULL,{'$oid': '5cc933f4831b973d657f23eb'},西经52度39分1.08秒,http://images.huanqiu.com/sarons/2013/11/372c6801e4a2461028007ad22c76bec1.jpg,法属圭亚那，库鲁,空间探测器,阿丽亚娜1号,乔托（Giotto）号探测器(欧洲） ,"
乔拖号（Giotto）是一艘欧洲空间局所发射的太空探测器，主要任务是探测哈雷彗星。乔托号于1986年3月13日成功以596公里的距离通过哈雷彗星的核心。乔托号是为了纪念意大利画家乔托·迪·邦多纳而命名的，他曾在1301年观测过哈雷彗星，并视为“伯利恒之星”。
",NULL,太阳轨道,北纬5度9分34.92秒 ,NULL,英国宇航公司,太空装备,NULL,英国,1985年7月2日,NULL
NULL,{'$oid': '5cc933f4831b973d657f23ec'},NULL,http://images.huanqiu.com/sarons/2013/11/38273ec0d813904b5d0ad3d43f4ef1bc.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,阿特拉斯V401,月球勘测轨道卫星,"
NASA的LRO/LCROSS计划将对月球表面进行测绘，为人类进一步的月球表面探索铺平道路。它将用大约4天时间到达月球，再进行机动以进入低运行轨道，然后用大约1年的时间来进行月球表面的测绘，并寻找阴影区环形山中的极地冰袋，这些冰袋在人类未来的探索活动中可能会用到。
",NULL,月球轨道，50公里(31英里)，圆形极轨道,NULL,NULL,NASA戈达德航天飞行中心(LRO)／诺斯洛普·格鲁格空间技术公司(LCROSS),太空装备,NULL,美国,2008年10月31日,NULL
NULL,{'$oid': '5cc933f4831b973d657f23ed'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,阿特拉斯S—半人马座,勘测者1号,"
美国“勘测者1号”由美国休斯飞机公司制造，
",NULL,太阳轨道,NULL,NULL,休斯飞机公司,太空装备,NULL,美国,1966年5月30日,NULL
NULL,{'$oid': '5cc933f5831b973d657f23ee'},NULL,http://images.huanqiu.com/sarons/2013/11/38249e85f37e2c8724d4ffe2abb2c7c0.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,阿特拉斯—阿金纳B,水手2号（Mariner 2）,"
“水手”系列是美国向地球以外的其他行星发射的第一个飞行器。“水手1号”和“水手2号”都是为了飞越金星而开发的飞行器，它们几乎是完全相同的。1962年7月22日，发射“水手1号”的火箭在发射过程中偏离了预定航线，被发射站安全主任下令摧毁。一个月后，“水手2号”发射，开始了飞往金星的为期三个半月的旅程。在飞行过程中，它测量了太阳风和行星际尘埃，还探测了来自太阳和太阳系外宇宙射线的高能粒子。
",NULL,太阳轨道,NULL,NULL,喷气推进实验室,太空装备,NULL,美国,1962年8月27日,NULL
NULL,{'$oid': '5cc933f5831b973d657f23ef'},NULL,,哈萨克斯坦，拜科努尔,空间探测器,R-7(东方号),月神9号,"
前苏联“月神9号”由 
",NULL,太阳轨道,NULL,NULL,拉沃契金设计局,太空装备,NULL,苏/俄,1966年1月31日,NULL
NULL,{'$oid': '5cc933f5831b973d657f23f0'},东经63度18分16.42″秒,,哈萨克斯坦，拜科努尔,空间探测器,质子D-1-e,织女（Vega）哈雷彗星探测器 ,"
前苏联探索哈雷彗星的任务命名为“织女(Vega)”，这个名字得自于“Venera一Gallei”(并不是“Vetlera-Halley”，这是因为俄语字母表中没有“H”这个字母)。“织女1号”和“织女2号”规格相同，它们是最后一批基于第二代“金星”开发的飞行器。
",NULL,太阳轨道,北纬45度37分41.63秒,NULL,拉沃契金设计局,太空装备,NULL,苏/俄,1984年12月15日(Vega 1)；1984年12月21日(Vega 1),NULL
NULL,{'$oid': '5cc933f5831b973d657f23f1'},NULL,http://images.huanqiu.com/sarons/2013/11/73e0f1c1873b327462231d2021c3d86f.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,大力神IVB-半人马座,惠更斯着陆探测器,"
“惠更斯”是一颗设计用来穿过土星的“土卫六”上浓厚的、充满氮气的大气并降落在这颗卫星上的着陆器。这颗欧洲航天局的飞行器是以荷兰天文学家克里斯汀·惠更斯的名字命名的，它是搭乘NASA的“卡西尼”号土星轨道卫星来到土星的。
",NULL,太阳轨道,NULL,NULL,法国宇航公司,太空装备,NULL,法国,1997年10月15日,2.8米
NULL,{'$oid': '5cc933f6831b973d657f23f2'},120°34′37″W,,加利福尼亚州，范登堡,空间探测器,人马座XL,过渡区和日冕探测器,"
TRACE(过渡区和日冕探测器)是NASA的一项小型探测器任务，目的是进行日冕和过渡区的高空间和时间分辨率成像工作。这次任务是对SOHO(太阳与日光层观测卫星)任务的补充。这颗卫星使用一枚由一架L-1011飞机在大西洋上空投下的“飞马座XL”火箭发射。它的极轨道使它能够几乎连续不间断地进行太阳观测，在很长的周期内不会被地球的阴影所影响。这条轨道为它观测太阳大气中耀斑和大规模喷发的产生过程提供了宝贵的机会。
",NULL,600公里×650公里(373英里×404英里)，轨道倾角97.8°。,34°43′47″N ,NULL,洛克希德·马丁公司,太空装备,NULL,美国,1998年4月2日,NULL
NULL,{'$oid': '5cc933f6831b973d657f23f3'},NULL,http://images.huanqiu.com/sarons/2013/11/b3dbbd8aababf806f56190b95e4c726f.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔Ⅱ7925,火星奥德赛火星轨道卫星,,NULL,400公里（249英里)，轨道倾角93.2°,NULL,NULL,洛克希德·马丁宇航公司,太空装备,NULL,美国,2001年4月7日,NULL
NULL,{'$oid': '5cc933f6831b973d657f23f4'},80 ° 37 W,,佛罗里达州，卡纳维拉尔角(空中发射),空间探测器,德尔塔II 7926,星尘（Stardust）飞行器,"
“星尘”的样本返回舱是一个钝头锥体，直径为81厘米(32英寸)，由一个热防护罩、尾部壳体、样本罐、降落伞系统和航空电子设备组成。它在7年多的时间里围绕太阳飞行了3周。在去往威尔德2号彗星途中，“星尘”号经过了小行星带，并且在两个不同的太阳轨道上收集了星际尘埃。2000年1月，它使用推进器进入了能够在2001年2月15日进行地球重力辅助的路线。
",NULL,太阳轨道,28 ° 24'N,NULL,洛克希德·马丁空间系统公司,太空装备,NULL,美国,1999年2月7日,NULL
NULL,{'$oid': '5cc933f6831b973d657f23f5'},NULL,,俄罗斯，杜巴罗夫斯基/耶斯尼,空间探测器,第聂伯,起源号可膨胀式空间飞行器（Genesis）,"
“起源”号是NASA探索计划的第5次任务。它的任务是捕获太阳风的粒子并将它们带回地球。
",NULL,550公里，轨道倾角64°,NULL,NULL,毕格罗航天公司,太空装备,NULL,美国,2006年年7月12日,NULL
NULL,{'$oid': '5cc933f6831b973d657f23f6'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,“亚特兰蒂斯”号航天飞机,伽利略号探测器,"
搭载母体飞行器从地球出发的“伽利略”号降落探测器于1995年7月13日释放，开始了向木星5个月的自由落体运动。
",1989年10月18日,太阳轨道,NULL,NULL,休斯飞机公司,太空装备,NULL,美国,1989年10月18日,NULL
NULL,{'$oid': '5cc933f7831b973d657f23f7'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,阿特拉斯V-401(装备“半人马座”上面级),火星勘测轨道卫星（Mars Reconnaissance Oribiter，MRO）,"
火星勘测轨道卫星（Mars Reconnaissance Oribiter，MRO）是美国发射到火星的最大的飞行器，也是“阿特拉斯5号”系列运载火箭的第一次星际发射任务。这颗飞行器是为了调查火星的表面、地下和大气，尤其是火星上的水(包括过去和现在的水)的历史而设计的。
",NULL,250公里×316公里(155英里×196英里)，轨道倾角92.65°，太阳同步轨道,NULL,NULL,洛克希德·马丁空间系统公司,太空装备,NULL,美国,2005年8月12日,NULL
NULL,{'$oid': '5cc933f7831b973d657f23f8'},NULL,,佛罗里达州，肯尼迪航天中心,空间探测器,“亚特兰蒂斯”号航天飞机(STS—30),麦哲伦探测器,"
“麦哲伦”是为了开展对金星有史以来最全面的表面和重力特征观测而设计的。这架飞行器的顶部装有一架直径3.7米(12英尺)的碟形天线(得自“航行者”号)，卫星通过这架天线来获得图片和辐射测量数据，并与地球保持通信。

“麦哲伦”号每37分钟绕进行飞行一周，它的雷达对一条24公里(15英里)宽的带状区域进行成像，同时获得高度和辐射测量数据。
",NULL,297公里×8463公里(185英里×5259英里)，轨道倾角85.5°,NULL,NULL,马丁·玛丽埃塔公司,太空装备,NULL,美国,1989年5月4日,NULL
NULL,{'$oid': '5cc933f7831b973d657f23f9'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,“勇气”号，德尔塔II7925；“机遇”号，德尔塔II7925H,火星探测漫游者（“精神”号和“勇气”号）,"
两部“火星探测漫游者”是为了在火星上进行至少三个月的搜索，以寻找火星上存在水的证据而设计的。这些登陆器装备了一部下视的摄像机和一部雷达。
",NULL,太阳轨道，火星登陆,NULL,NULL,NASA喷气推进实验室,太空装备,NULL,美国,“勇气”号，2003年6月10日；“机遇”号，2003年7月7日,NULL
NULL,{'$oid': '5cc933f7831b973d657f23fa'},NULL,http://images.huanqiu.com/sarons/2013/11/e1af16ab4767943b5f93a6a273eb8512.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔117925,火星探路者,,NULL,太阳轨道，火星登陆,NULL,NULL,NASA喷气推进实验室,太空装备,NULL,美国,1996年12月4日,NULL
NULL,{'$oid': '5cc933f7831b973d657f23fb'},NULL,http://images.huanqiu.com/sarons/2013/11/19be54b9d437cbb48b9ef0b4f7e0e7c6.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,NULL,火星全球勘测者,"
“火星全球勘测者”是NASA新的火星系列飞行器中的第一颗。它的任务是在一个火星年(约为两个地球年)的时间里对整个火星表面、大气和火星内部进行研究。
",NULL,258公里×54021公里(160英里×33563英里),NULL,NULL,洛克希德.马丁宇航公司,太空装备,NULL,美国,1996年11月7日,NULL
NULL,{'$oid': '5cc933f8831b973d657f23fc'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔2号6925,磁尾探测卫星,"
磁尾探测卫星是“国际日地物理计划”所发射的第一颗飞行器。它在一个高椭圆轨道中运行，用来研究磁尾(面对太阳一边的地球磁气圈长而有轨迹的边缘)的组成和活动。
",NULL,57400公里×191340公里,NULL,NULL,日本空间和宇航科学研究院,太空装备,NULL,美国,1992年7月24日,NULL
NULL,{'$oid': '5cc933f8831b973d657f23fd'},NULL,,哈萨克斯坦，拜科努尔,空间探测器,联盟—Fregat,火星快车（Mars Express）火星轨道卫星,"
“火星快车”包含两个组成部分，即“火星快车”轨道卫星和“猎兔犬2号”登陆器(主要由英国开发)。“猎兔犬2号”的形状有些像闭合着的蛤蜊，它将在着陆后打开，以暴露它的太阳能电池板。它的主要任务是寻找火星上存在生命--包括过去曾有过的和现在存在的生命的证据。“猎兔犬2号”于2003年12月19日从“火星快车”上分离，并于25日以弹道式进入火星大气层。它原计划在展开降落伞和气囊后降落在伊希地平原，但是却没有收到它发出的任何信号，所以这颗登陆器宣告丢失。
",NULL,258公里×11560公里(160英里×7183英里)，轨道倾角86.3°,NULL,NULL,EADS阿斯特厄里姆公司,太空装备,NULL,美国,2003年6月2日,NULL
NULL,{'$oid': '5cc933f8831b973d657f23fe'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔2号7920,ACE,,NULL,L1平衡点(晕轨道),NULL,NULL,约翰·霍普金斯大学应用物理实验室,太空装备,NULL,美国,1997年8月25日,NULL
NULL,{'$oid': '5cc933f9831b973d657f23ff'},NULL,,加利福尼亚州，范登堡(空中发射),空间探测器,飞马座XL,FAST（极光快速摄影探测卫星）,"
FAST是NASA的小型探测器计划中的第二次任务。发射这颗卫星的目的是为极光的产生和自然特性等基本问题寻找答案。这颗卫星每绕高椭圆轨道运行一周要4次穿越地球的极光区域，并对电场和磁场、等离子波、带电电子和离子、离子质量组成和热等离子密度与温度进行测量。
",NULL,350公里×4175公里(217英里×2594英里)，轨道倾角83°,NULL,NULL,NASA-戈达德，航天飞行中心,太空装备,NULL,美国,1996年8月21日,NULL
NULL,{'$oid': '5cc933f9831b973d657f2400'},NULL,,加利福尼亚州，范登堡,空间探测器,德尔塔II 7925,极光,,NULL,11500公里×57000公里(7146英里×35419英里)，轨道倾角86°,NULL,NULL,洛克希德·马丁公司,太空装备,NULL,美国,1996年2月24日,NULL
NULL,{'$oid': '5cc933f9831b973d657f2401'},NULL,,佛罗里达州，卡纳维拉尔角(空中发射),空间探测器,人马座XL,拉马弟(RHESSI)高能太阳分光镜成像卫星,"
RHESSI(拉马弟高能太阳分光镜成像卫星)是NASA的第六次小型探测器计划。在发射之后，它更名为现在的名字，以纪念出生于罗马尼亚的NASA科学家物鲁文·拉马弟(Reuven Ramaty)所做出的贡献。
",NULL,600公里(373英里)，轨道倾角38°,NULL,NULL,光谱宇宙有限公司,太空装备,NULL,美国,2002年2月5日,NULL
NULL,{'$oid': '5cc933f9831b973d657f2402'},63°19'E,,哈萨克斯坦，拜科努尔,空间探测器,NULL,金星快车,"
“金星快车”实际上与“火星快车”是“双胞胎""，所以开发速度很快，而且开发成本也很低。它与“火星快车”主要的区别在于温度控制装置，装备更大、更有效的散热器，以及共有23层的多层隔热层的颜色由黑色改为了金色。侧面的两块太阳能电池帆板也经过重新设计。
",NULL,250公里×26000公里(155英里×41010英里)，轨道倾角90°,45°37'N,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,法国,2005年11月9日,NULL
NULL,{'$oid': '5cc933f9831b973d657f2403'},NULL,,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔II 7925,“凤凰”号航天探测器,,NULL,太阳轨道，登陆器,NULL,NULL,洛克希德·马丁空间系统公司,太空装备,NULL,美国,2007年8月4日,NULL
紫外线成像分光计(ALICE)，彗核无线电波探洲实验设备(CONSERT)，彗星次级粒子质量分析仪(COSIMA)，颗粒碰撞分析仪和尘埃收集器(GIADA)，微型成像尘埃分析系统(MIDAS)，“罗塞塔”轨道卫星微波设备(MIRO)，光学、分光计和红外线远程成像系统(OSIRTS)，“罗塞塔”轨道卫星离子和中子分析分光计(ROSINA)，可见光和红外线热成像分光计(VIRTIS)，“罗塞塔”等离子体组合仪器(RPC)。登陆器,{'$oid': '5cc933f9831b973d657f2404'},NULL,http://images.huanqiu.com/sarons/2013/11/61a1387aa339ccac52767094b39d468d.jpg,法属圭亚那，库鲁,空间探测器,阿丽亚娜5G+,罗塞塔/菲莱彗星轨道卫星／登陆器,"
“罗塞塔”号是欧洲航天局组织的无人太空船计划，2004年发射，用以研究67P/Churyumov-Gerasimenko彗星。
",NULL,太阳轨道，彗星轨道卫星(可变轨道),NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,美国,2004年4月2日,NULL
NULL,{'$oid': '5cc933fa831b973d657f2405'},NULL,,西昌卫星发射中心,空间探测器,长征三号甲运载火箭,嫦娥一号,"
以中国古代神话人物嫦娥命名，该卫星的主要探测目标是：获取月球表面的三维立体影像；分析月球表面有用元素的含量和物质类型的分布特点；探测月壤厚度和地球至月亮的空间环境。2009年3月1日完成使命，撞向月球预定地点。
",NULL,极月圆轨道,NULL,NULL,中国空间技术研究院,太空装备,NULL,中国,2007年,NULL
NULL,{'$oid': '5cc933fa831b973d657f2406'},NULL,http://images.huanqiu.com/sarons/2013/11/e765df85bbb084d2a32debcb70eb4333.jpg,佛罗里达州，卡纳维拉尔角,空间探测器,德尔塔Ⅱ2925-10L,开普勒太空望远镜,,2009年3月6日22时49分57秒465毫秒,地球拖尾日心轨道,NULL,NULL,巴尔航天公司,太空装备,NULL,美国,2009年2月,0.95米
NULL,{'$oid': '5cc933fa831b973d657f2407'},NULL,,日本，种子岛,空间探测器,H IIA 2022,月亮女神（SELENE，Kaguya）,"
“月亮女神”号（又名辉夜号，以一位传说中的公主的名字命名）由一颗主轨道卫星和两颗53千克（117磅）重的子卫星Rstar（中继卫星）和VRAD（甚长基线干涉测量无线电卫星）。
",NULL,100公里（62英里），圆型极轨道,NULL,NULL,日本宇宙研究航空开发机构,太空装备,NULL,日本,2007年9月14日,NULL
NULL,{'$oid': '5cc933fa831b973d657f2408'},NULL,,法属圭亚那，库鲁,空间探测器,阿丽亚娜5号ECA,普朗克（Planck）探测器,"
普朗克探测卫星是欧洲航天局第三个中级科学计划，最初命名为COBRAS／SAMBA。它的主要目标是用迄今最高的探测精度来分析大爆炸后留下的宇宙微波背景辐射。
",2008年7月,L2拉格朗日点，李萨如轨道,NULL,NULL,欧洲阿尔卡特航天公司,太空装备,NULL,法国,2008年7月,1.5米
NULL,{'$oid': '5cc933fb831b973d657f2409'},NULL,http://images.huanqiu.com/sarons/2013/11/0291e9c358b073770c9e5c0b508efb6a.jpg,印度，斯里哈里科塔,空间探测器,PSLV-XL,Chandryaan-1月球轨道卫星,"
Chandryaan-1是一颗月球轨道卫星，这也是印度空间研究组织的第一次深空探测活动。这次任务的目标包括拓展对月球的科学认识、增强印度本国的技术实力，并为年轻一代提供在行星研究领域的挑战机会。这颗卫星将提供月球的高精度遥感和三维图像。
",2008年11月14日,100公里（62英里），月球极轨道,NULL,NULL,印度空间研究组织,太空装备,NULL,印度,2008年4月,NULL
NULL,{'$oid': '5cc933fb831b973d657f240a'},NULL,,印度南部安德拉邦的斯里哈里科塔基地,空间探测器,C25极轨运载火箭,印度火星飞船,"
印度火星飞船（“曼加里安”号）质量为1350千克，一辆小汽车大小，搭载摄像机、成像光谱仪等设备。

在成功发射25天之后，印度首个火星轨道探测器“火星飞船”在当地时间1日零时49分脱离地球轨道。如果“火星飞船”成功完成火星探测任务，印度将成为亚洲第一个实现火星探测的国家。印度此次火星探测任务的筹备时间仅有15个月，最终能否成功广受关注。印度媒体援引数据指出，迄今全球共对火星进行过51次探测，其中仅有21次成功。
",NULL,NULL,NULL,NULL,NULL,太空装备,NULL,印度,2013年11月5日14点38分（(北京时间下午17点08分)）,NULL
NULL,{'$oid': '5cc933fb831b973d657f240b'},NULL,,西昌卫星发射基地,空间探测器,长征三号丙运载火箭,嫦娥二号,"
嫦娥二号是中国的第二颗绕月人造卫星。它是建基于探月工程一期的嫦娥一号备份星进行技术改进，作为二期工程的先导星，嫦娥二号主要是用作试验、验证部分新技术和新设备，降低往后工程的风险，同时深化月球科学探测。嫦娥二号的发射，已成为我国首个人造太阳系小行星的嫦娥二号卫星与地球间距离突破5000万公里，再次刷新“中国高度”。
",NULL,地月转移轨道,NULL,NULL,中国空间技术研究院,太空装备,NULL,中国,2010年,NULL
NULL,{'$oid': '5cc933fb831b973d657f240c'},NULL,,NULL,空间探测器,1958年8月17日,先驱者0号,"
先驱者0号（英语：Pioneer 0）也称为托尔-艾布尔1号 （Thor-Able 1）是美国的无人行星探测任务“先驱者计划”的第1颗无人探测器，于1958年8月17日（UTC时间12:18:00）由美国空军发射。它还带有电视摄像机和第一国际地球物理年（International Geophysical Year）的一些其他科学设备。
",NULL,NULL,NULL,NULL,NULL,太空装备,NULL,美国,NULL,NULL
NULL,{'$oid': '5cc933fb831b973d657f240d'},NULL,,NULL,空间探测器,NULL,月球车2号,,NULL,NULL,NULL,NULL,NULL,太空装备,NULL,苏/俄,1959年9月12日,NULL
