_id,图片,口径,炮口初速,类型,名称,总重,简介,全长,研发单位,型号,最大射程,大类,炮管长度,产国,研发时间
{'$oid': '5cc9332f831b973d657f1fd1'},,85毫米,1000米/秒,高射炮,72式85毫米高射炮,6300千克,"
72式85毫米高射炮是我国自行研制的一种高射炮，准备用于取代100毫米高射炮，1972年设计定型后投入小批量生产。
",9480毫米,NULL,NULL,21400米,火炮,5500毫米,中国,NULL
{'$oid': '5cc9332f831b973d657f1fd2'},,37毫米,NULL,高射炮,74式37毫米双管高射炮,3100千克,"
74式37毫米双管高射炮，1974年设计定型投入批量生产装备部队。该炮的自动机和内弹道性能基本上与65式37毫米双管高射炮相同。
",6205毫米,NULL,NULL,8500米,火炮,2315毫米,中国,NULL
{'$oid': '5cc9332f831b973d657f1fd3'},http://images.huanqiu.com/sarons/2013/11/3d5c0d3d50831c33445747efcd278ada.jpg,23毫米,970米/秒,高射炮,85式23毫米双管高射炮,950千克,,4570毫米,NULL,榴弹,NULL,火炮,NULL,中国,1986年
{'$oid': '5cc9332f831b973d657f1fd4'},,20毫米,950米/秒,高射炮,二式乙型20毫米高射机关炮,NULL,"
2式20mm高射机关炮的联装型，主要用于防空也可以射击地面目标，火力密度比2式甲型20mm高射机关炮高1倍。
",NULL,NULL,NULL,5500米,火炮,1400毫米,日本,NULL
{'$oid': '5cc9332f831b973d657f1fd5'},,20毫米,NULL,高射炮,二式甲型20毫米高射机关炮,550千克,"
主要用于防空也可以射击地面目标，是98式20毫米高射机关炮的改进型，主要改进在炮架与炮座，捕获跟踪飞行目标的反应速度更快
",NULL,NULL,NULL,NULL,火炮,1400毫米,日本,NULL
{'$oid': '5cc93330831b973d657f1fd6'},,40毫米,NULL,高射炮,ボ式40毫米高射机关炮,2700千克,"
ボ式40mm高射机关炮主要用于野战防空，是日军根据1942年在南洋俘获的瑞典L60高炮造的仿制品，性能优于比旧日本海军的40mm舰载高射机关炮。
",NULL,NULL,NULL,NULL,火炮,2250毫米,日本,NULL
{'$oid': '5cc93330831b973d657f1fd7'},,75毫米,NULL,高射炮,88式75毫米高射炮,NULL,"
用于野战防空，要地防空，是旧日本陆军战争期间主力75mm高射炮，战争爆发时防空性能已显落后，对付高速 飞机很吃力，也无法有效攻击高空轰炸机。
",NULL,NULL,NULL,16800米,火炮,3312毫米,日本,NULL
{'$oid': '5cc93330831b973d657f1fd8'},,20毫米,950米/秒,高射炮,四式联装20毫米高射机关炮,NULL,"
主要用于阵地防空，是简易轻量化型高射机关炮，如机枪一样，不用摇柄，直接用手操纵机炮瞄准射击，炮身依然与98式相同。
",NULL,NULL,NULL,5500米,火炮,1400毫米,日本,NULL
{'$oid': '5cc93330831b973d657f1fd9'},,37毫米,NULL,高射炮,一式37毫米高射机关炮,1570千克,"
这种高射机关炮精度高，威力大，射程远，公认的战争期间日军性能最好的高射机关炮，但海军坚持不用。战后美国人视察了1式37mm高射机关炮后，认为如果日本海军舰艇装备该炮，防空能力将成倍提高。
",NULL,NULL,NULL,NULL,火炮,2112毫米,日本,NULL
{'$oid': '5cc93330831b973d657f1fda'},,75毫米,NULL,高射炮,75mm1897/1914年型高射炮,3000千克,"
它产生于第一次世界大战期间，在战争史上掀开了防空作战的新篇章。从地面对空中目标射击的火炮。高射炮也可用于对地面或水上目标射击。法国75mm型高射炮属于中口径高射炮。
",NULL,NULL,NULL,NULL,火炮,36.3毫米,法国,NULL
{'$oid': '5cc93330831b973d657f1fdb'},http://images.huanqiu.com/sarons/2013/11/5859a752fb4813534a6851172e0c3b99.jpg,75毫米,715米/秒,高射炮,75毫米1897/1917年型高射炮,3800千克,"
高射炮主要用于打飞机、直升机和飞行器等空中目标。从地面对空中目标射击的火炮。
",36.3毫米,NULL,NULL,NULL,火炮,NULL,法国,NULL
{'$oid': '5cc93331831b973d657f1fdc'},http://images.huanqiu.com/sarons/2013/11/804c1a54e9f11ce0f4ed552a52a16816.jpg,20毫米,950米/秒,高射炮,98式20毫米高射机关炮,NULL,"
主要用于防空，也可以射击地面目标，弹种与97式步兵自动炮可以通用，射击地面装甲武器时穿透威力比97式步兵自动炮更大。
",NULL,NULL,NULL,NULL,火炮,1400毫米,日本,NULL
{'$oid': '5cc93331831b973d657f1fdd'},,105毫米,NULL,高射炮,大正十四年式105毫米高射炮,NULL,"
日军1941年制造的100式100吨重战车也是选用大正14年式105毫米高射炮作为主炮，称做14年式105毫米战车炮，此炮用于反战车那还是非常有威力的，足以击毁盟军重型坦克。
",NULL,NULL,NULL,16300米,火炮,4200毫米,日本,NULL
{'$oid': '5cc93331831b973d657f1fde'},,76.2毫米,NULL,高射炮,3英寸1918年型高射炮,NULL,,NULL,NULL,NULL,NULL,火炮,4191毫米,美国,NULL
{'$oid': '5cc93332831b973d657f1fdf'},http://images.huanqiu.com/sarons/2014/03/46986358541b5cb70386d8f3cd4fea60.jpg,30毫米,1000米/秒,高射炮,M53/59式30毫米双管自行高射炮,NULL,"
捷克斯洛伐克国家兵工厂在M53式30毫米牵引高射炮基础上研制的口径30毫米的双管自行式高射炮。1959年装备捷克斯洛伐克陆军，主要用于射击空中目标，也可打击地面装甲车辆和水面目标。
",NULL,捷克斯洛伐克国家兵工厂,NULL,9700米,火炮,2429毫米,斯洛伐克,NULL
{'$oid': '5cc93332831b973d657f1fe0'},http://images.huanqiu.com/sarons/2014/01/a76c17e4b779cd06f9bb2f25b7eccfcd.jpg,90毫米,823米/秒,高射炮,M1高射炮,8600千克,"
M1 90毫米炮是美军在二次世界大战以来主要的地面防空武器之一，亦可用于反装甲用途。1950年代以后，防空武器渐渐为导弹系统所取代。M1用于防空火炮时，通常以四门火炮为一组，以M7或M9指挥仪及追踪仪操控。
",NULL,NULL,NULL,17832米,火炮,4600毫米,美国,NULL
{'$oid': '5cc93333831b973d657f1fe1'},,小口径炮,NULL,高射炮,ESDTA-25式25毫米双管自行高射炮,15000千克,"
法国塞尔·达索电子公司与瑞士厄利空公司、康特拉夫斯公司在20世纪80年代联合研制的口径25毫米的双管自行高射炮。用于射击低空、超低空目标和地面目标，掩护部队及重要设施。
",NULL,塞尔·达索电子公司,NULL,NULL,火炮,2300毫米,法国,20世纪80年代
{'$oid': '5cc93333831b973d657f1fe2'},,35毫米,1175米/秒,高射炮,90式35毫米牵引式双管高射炮 ,6300千克,,NULL,NULL,NULL,3200米,火炮,NULL,中国,NULL
{'$oid': '5cc93333831b973d657f1fe3'},http://images.huanqiu.com/sarons/2014/03/ed7ae2a059228dc49830bea68ac9e31f.jpg,30毫米,NULL,高射炮,AMX-30SA 30毫米双管自行高射炮,35000千克,"
法国武器研究与制造局研制的口径30毫米的双管自行式高射炮。1975年生产，出口沙特阿拉伯。
",NULL,武器研究与制造局,NULL,NULL,火炮,NULL,法国,NULL
{'$oid': '5cc93333831b973d657f1fe4'},http://images.huanqiu.com/sarons/2014/03/62f4e440611dc8aec091a46ba16db634.jpg,小口径炮,1050米/秒,高射炮,M3-VDA 20毫米双管自行高射炮,NULL,"
法国潘哈德和勒瓦索机械制造公司于1971年研制的口径20毫米的双管自行高射炮，1975年批量生产，主要用于射击低空和超低空飞机，也可打击地面目标；该炮配置灵活，造价低廉，主要供出口。
",NULL,潘哈德和勒瓦索机械制造公司,NULL,NULL,火炮,NULL,法国,1971年
{'$oid': '5cc93333831b973d657f1fe5'},http://images.huanqiu.com/sarons/2013/11/bcc733fdf41e9e36f206fd8f737ff70a.jpg,57毫米,NULL,高射炮,捷克S-60型57毫米高炮,4660千克,该炮于20世纪50年代由捷克斯洛伐克自行研制，后来在此炮基础上加以改进研制出M53/59式30mm自行高射炮。与3Y-23式高射炮相比，该炮口径大，射程远，威力也较大，但射速低，无雷达火控设备，只能好天候作战。,4390毫米,NULL,NULL,12000米,火炮,NULL,捷克,NULL
{'$oid': '5cc93333831b973d657f1fe6'},http://images.huanqiu.com/sarons/2014/01/bd1e842b9cf149eaeaec3f722dc0963b.jpg,NULL,NULL,高射炮,T-92 40毫米快炮,NULL,"
T-92 40毫米／70倍径(40mm/L70)防空快炮系统，台湾联勤（现为军备局）202厂自新加坡AOS公司取得相关技术仿制的防空炮，定位为取代大量老旧的M1 40毫米高射炮。
",NULL,联勤202厂,NULL,4000米,火炮,NULL,中国,NULL
{'$oid': '5cc93334831b973d657f1fe7'},,小口径炮,1080米/秒,高射炮,AMX-13DCA式30毫米双管自行高射炮,172000千克,"
20世纪50年代末开始研制，1966年生产，装备法国陆军机械化步兵师。
",NULL,NULL,NULL,3300米,火炮,2555毫米,法国,1966年
{'$oid': '5cc93334831b973d657f1fe8'},,25毫米,1050米/秒,高射炮,87式25毫米双联高炮,1520千克,,4860毫米,NULL,榴弹,NULL,火炮,842毫米,中国,NULL
{'$oid': '5cc93334831b973d657f1fe9'},http://images.huanqiu.com/sarons/2013/11/e11f09f2b5c7fd607245d91ced45efdb.jpg,35毫米,1175米/秒,高射炮,“厄利肯”GDF-005高射炮 ,6700千克,"
GDF-005是瑞士于1984年开始在GDF-003基础上改进的全自动全天候高射炮系统，现已进入批量生产，并已为加拿大军队所采用。
",NULL,NULL,NULL,4000米,火炮,3150毫米,瑞士,NULL
{'$oid': '5cc93334831b973d657f1fea'},,40毫米,1000米/秒,高射炮,L70式40毫米高射炮,4660千克,,NULL,NULL,NULL,6000米,火炮,NULL,新加坡,NULL
{'$oid': '5cc93334831b973d657f1feb'},http://images.huanqiu.com/sarons/2014/03/477d3e8bb47bd8559981244577e65f3e.jpg,20毫米,NULL,高射炮,“火神”M167式20毫米6管高射炮,0.255千克,"
美国通用电气公司生产的口径20毫米的6管牵引式高射炮。1964年开始研制，1969年装备美国陆军空中机动师和空降师。主要用于射击低空飞机和亚音速导弹，也可用于射击地面目标。有多种改进型。除装备美军外，还出口比利时、以色列、约旦、韩国等10多个国家。
",NULL,美国通用电气公司,NULL,1200米,火炮,1520毫米,美国,1964年
{'$oid': '5cc93335831b973d657f1fec'},,37毫米,868米/秒,高射炮,P793式37毫米双管高射炮,NULL,"
中国北方工业总公司于1979年在1974式37毫米高射炮基础上研制的口径37毫米的双管牵引式高射炮，1985年投产，用于对低空、超低空飞机和直升机作战。
",NULL,中国北方工业总公司,榴弹，穿甲弹,8500米,火炮,6451毫米,中国,1979年
{'$oid': '5cc93335831b973d657f1fed'},,25毫米,1097米/秒,高射炮,“吉麦格”25式25毫米高射炮,NULL,"
美国通用电气公司研制的口径25毫米的5管牵引式高射炮。1981年定型。最初装有好天候型昼间火控系统，后又改进生产全天候型。用于射击低空目标和地面轻型装甲目标。其结构紧凑，身管耐磨，重心低，射击时稳定性好。
",NULL,美国通用电气公司,NULL,3000米,火炮,NULL,美国,NULL
{'$oid': '5cc93335831b973d657f1fee'},,40毫米,1025米/秒,高射炮,“布雷达”L70式40毫米双管高射炮,10400千克,,8050毫米,意大利布雷达机械公司,被帽穿甲弹、燃烧榴弹、预制破片弹、薄壁榴弹,12500米,火炮,2800毫米,意大利,20世纪60年代末
{'$oid': '5cc93335831b973d657f1fef'},,40毫米,880米/秒,高射炮,M42式40毫米双管自行高射炮,NULL,"
美国通用汽车公司研制的口径40毫米的双管自行式高射炮。1951年开始研制，1953年装备美国陆军，主要用于前沿阵地打击低空目标。除装备美军外，还出口到奥地利、日本、土耳其、越南和中国台湾等10多个国家和地区。
",NULL,美国通用汽车公司,NULL,9500米,火炮,NULL,美国,1951年
{'$oid': '5cc93335831b973d657f1ff0'},,20毫米,1050米/秒,高射炮,“桑托尔”20毫米双管高射炮,NULL,"
法国地面防空武器工业集团于20世纪70年代研制的口径20毫米的双管牵引式高射炮，80年代初投产。用于射击低空飞机和摧毁地面轻型装甲目标。
",NULL,法国地面防空武器工业集团,NULL,7000米,火炮,2065毫米,法国,20世纪70年代
{'$oid': '5cc93335831b973d657f1ff1'},,35毫米,1385米/秒,高射炮,厄利空GDF-C02式35毫米双管自行高射炮,1.58千克,"
瑞士厄利空－比尔勒有限公司机床厂研制的口径35毫米的双管履带式自行高射炮。1979年开始研制，样炮于1986年试验完毕，但未大批量生产和装备部队。是瑞士厄利空公司研制的GDF－C0/D0高炮系列四种型号之一（GDF－C0/D0高炮系列包括GDF－C02式、GDF－D02式、GDF－C03式和GDF－D02式高射炮）。
",2700毫米,瑞士厄利空－比尔勒有限公司,NULL,4000米,火炮,NULL,瑞士,1979年
{'$oid': '5cc93337831b973d657f1ff2'},http://images.huanqiu.com/sarons/2014/03/69633ab42d101030ccba6cbcd9622f72.jpg,75毫米,NULL,高射炮,M51式75毫米高射炮,9.9千克,"
美国艾特纳标准件厂研制的口径75毫米的牵引式高射炮。亦称“扫天”（Skysweeper）75毫米高射炮。1944年开始研制，50年代中期生产装备美军。是一种将高射炮、雷达和计算机组合为一体的高射炮系统，主要用于射击中低空目标和地面目标。除装备美军外，还出口日本、希腊、土耳其等国家。
",7630毫米,美国艾特纳标准件厂,NULL,13000米,火炮,NULL,美国,1944年
{'$oid': '5cc93337831b973d657f1ff3'},http://images.huanqiu.com/sarons/2014/03/e88f802eebc3aa6289d0e5d00118e50c.jpg,90毫米,824米/秒,高射炮,M118式90毫米高射炮,10.6千克,"
美国沃特夫利特兵工厂研制的口径90毫米的牵引式高射炮。1938年开始设计，1943年装备美军，定名为M1式90毫米高射炮，第二次世界大战后改称为M118式90毫米高射炮。用于射击空中目标、坦克和水面目标。除本国装备外，还出口日本、希腊、巴西和土耳其等国。60年代初由“霍克”地空导弹取代。
",8990毫米,美国沃特夫利特兵工厂,NULL,19000米,火炮,NULL,美国,1938年
{'$oid': '5cc93337831b973d657f1ff4'},http://images.huanqiu.com/sarons/2014/03/ac02882a9f54ce3fe313516f14298b20.jpg,小口径炮,NULL,高射炮,FK20-2式20毫米高射炮,440千克,,NULL,NULL,NULL,7000米,火炮,2610毫米,德国,20世纪60年代
{'$oid': '5cc93337831b973d657f1ff5'},http://images.huanqiu.com/sarons/2014/03/cdb6e7b11b692a77cac7c17a4cb75d6e.jpg,20毫米,1050米/秒,高射炮,53T2式20毫米高射炮,NULL,"
法国地面防空武器集团于20世纪80年代初研制的口径20毫米的牵引式高射炮。1982年首批产品装备法国陆军，主要用于打击低空飞机、直升机，也可打击地面目标。
",NULL,法国地面防空武器工业集团,NULL,7000米,火炮,2065毫米,法国,20世纪80年代初期
{'$oid': '5cc93337831b973d657f1ff6'},http://images.huanqiu.com/sarons/2014/03/f0f21513254b37c15f7aa9228e0b369f.jpg,20毫米,850米/秒,高射炮,M55式20毫米3管高射炮,0.257千克,南斯拉夫联邦供应采购局研制的口径20毫米的3管牵引式高射炮。除基本型M55 A2式外，还有M55 A3B1和M55 A4B1式两种改进型。用于射击低空目标和近距离地面目标。20世纪50年代研制，除装备南斯拉夫陆军外，还出口到黎巴嫩、塞浦路斯等国家。,4300毫米,南斯拉夫联邦供应采购局,NULL,NULL,火炮,1725毫米,前南斯拉夫,20世纪50年代
{'$oid': '5cc93338831b973d657f1ff7'},,35毫米,1175米/秒,高射炮,厄利空GDF-001式35毫米双管高射炮,5850千克,"
厄利空GDF-001式35毫米双管高射炮是瑞士厄利空公司研制的口径35毫米的双管牵引式高射炮。20世纪50年代末期开始研制，60年代中期装备陆军，主要用于野战防空和射击地面目标。还出口芬兰、埃及、日本等国家。
",NULL,瑞士厄利空公司,NULL,12800米,火炮,3150毫米,瑞士,20世纪50年代末期
{'$oid': '5cc93338831b973d657f1ff8'},http://images.huanqiu.com/sarons/2014/03/2a7974300490cea359ac074b62510098.jpg,20毫米,1200米/秒,高射炮,厄利空GAI-BO1式20毫米高射炮,405千克,"
厄利空GAI-BO1式20毫米高射炮是瑞士厄利空-布尔勒有限公司机床厂研制的口径20毫米的轻型高射炮。20世纪60年代开始研制，用于野战防空和射击地面目标。除装备瑞士军对外，还出口奥地利、南非、西班牙等国家。
",NULL,瑞士厄利空-布尔勒有限公司机床厂,NULL,NULL,火炮,2440毫米,瑞士,20世纪60年代
{'$oid': '5cc93339831b973d657f1ff9'},,35毫米,1175米/秒,高射炮,厄利空GCF-BM2式35毫米双管自行高射炮,24000千克,"
厄利空GCF-BM2式35毫米双管自行高射炮是瑞士厄利空-布尔勒有限公司机床厂研制的口径35毫米的双管轮式自行高射炮。是瑞士GDF-C0/D0高炮系列四种型号之一。20世纪80年代开始研制成功，并于1986年末在中东、联邦德国和瑞士完成射击试验。
",NULL,瑞士厄利空-布尔勒有限公司机床厂,NULL,4000米,火炮,3150毫米,瑞士,20世纪80年代
{'$oid': '5cc93339831b973d657f1ffa'},,40毫米,1025米/秒,高射炮,“博菲”40毫米高射炮,5700千克,"
“博菲”40毫米高射炮是瑞典博福斯公司研制的口径40毫米的牵引式高射炮。是瑞典40毫米的高射炮第三代产品。20世纪70年代开始研制，70年代研制成“博菲”光电火控系统，1974年开始研制成近炸引信预制破片榴弹，同时进行L/70式自动炮改进工作。70年代中期完成好天候型“博菲”40毫米高射炮高射炮研制工作，1976年开始批量生产。加装跟踪雷达后，成为全天候新“博菲”40毫米，1979年开始投产。
",NULL,瑞典博福斯公司,NULL,3700米,火炮,2800毫米,瑞典,20世纪70年代
{'$oid': '5cc93339831b973d657f1ffb'},,40毫米,1050米/秒,高射炮,“特里尼蒂”40毫米自行高射炮,NULL,“特里尼蒂”40毫米自行高射炮是瑞典福斯特公司研制的三位一体口径40毫米的单管自行式高射炮。“特里尼蒂”意为三合一，有大威力高射炮、高精度火控系统和可编程序近炸引信预制破片榴弹组成。1981年开始研制，1989年生产。用于飞机、直升机和巡航导弹射击。,NULL,福斯特公司,NULL,6000米,火炮,NULL,瑞典,1981年
{'$oid': '5cc93339831b973d657f1ffc'},,NULL,NULL,高射炮,厄利空GBI-AO1式25毫米高射炮,NULL,"
厄利空GBI-AO1式25毫米高射炮是瑞士厄利空-布尔勒有限公司机床厂研制的口径25毫米的牵引式高射炮。20世纪60年代开始研制，用于射击低空飞机、直升机和地面轻型装甲目标射击。
",NULL,瑞士厄利空-布尔勒有限公司机床厂,NULL,NULL,火炮,NULL,瑞士,20世纪60年代
{'$oid': '5cc93339831b973d657f1ffd'},,40毫米,860米/秒,高射炮,“博福斯”M/36L/60式40毫米高射炮,2400千克,"
“博福斯”M/36L/60式40毫米高射炮是瑞典博福斯公司研制的口径40毫米的牵引式高射炮。1928年开始研制，1937年装备瑞典陆军。是瑞典40毫米高射炮第一代产品。用于射击低空飞机、巡航导弹、地面目标和水面目标，掩护地面部队和重要设施。
",NULL,瑞典博福斯公司,NULL,4750米,火炮,2400毫米,瑞典,1928年
{'$oid': '5cc93339831b973d657f1ffe'},,25毫米,1160米/秒,高射炮,厄利空GBF-AOB式25毫米双管高射炮,2100千克,"
厄利空GBF-AOB式25毫米双管高射炮是瑞士厄利空-布尔勒有限公司机床厂研制的口径25毫米的双管牵引式高射炮。又称“罗马月神”高射炮。1986年批量生产，主要供出口，用于对低空飞机、直升机、巡航导弹和地面轻型装甲目标射击。
",NULL,瑞士厄利空-布尔勒有限公司机床厂,NULL,2000米,火炮,2300毫米,瑞士,20世纪80年代
{'$oid': '5cc9333a831b973d657f1fff'},http://images.huanqiu.com/sarons/2014/03/885be9d61a66a614db38039918d176c9.jpg,23毫米,970米/秒,高射炮,DzSU-23-4式23毫米4管自行高射炮,19000千克,"
是苏联装备的第一种全天候、全自动、多管联装的自行高射炮，1966年装备苏军。主要用于射击1500米以下低空和超低空目标及2000米内的装甲目标。
",6540毫米,NULL,曳光燃烧榴弹、曳光穿甲燃烧弹,7000米,火炮,1880毫米,苏/俄,NULL
{'$oid': '5cc9333a831b973d657f2000'},http://images.huanqiu.com/sarons/2014/03/941f31ad3486e825cee58e83edb82f9e.jpg,40毫米,1005米/秒,高射炮,“博福斯”L/70式40毫米高射炮,5250千克,“博福斯”L/70式40毫米高射炮是瑞典博福斯公司研制的口径40毫米的牵引式高射炮。是瑞典40毫米高射炮第二代产品。1945年开始研制，1951年装备瑞典陆军。有单管、双管多种变型炮，还可作为舰炮使用。用于射击低空飞机、巡航导弹、地面目标和水面目标，掩护地面部队和重要设施。印度、意大利、英国、德国等国均生产过此炮。,NULL,瑞典博福斯公司,NULL,NULL,火炮,2800毫米,瑞典,1945年
{'$oid': '5cc9333a831b973d657f2001'},http://images.huanqiu.com/sarons/2014/03/dc11c3fb65f03f0cb6b8e1205d36a19a.jpg,23毫米,970米/秒,高射炮,DzSU-23式23毫米双管高射炮,0.45千克,"
双管牵引式高射炮，60年代装备部队，用于取代14.5毫米双联装和4联装高射机枪。主要用于射击近程低空目标，地面轻型装甲目标和火力点。除苏军装备外，还出口东欧、亚洲、非洲近30个国家，埃及曾仿制。
",NULL,NULL,曳光燃烧榴弹、曳光穿甲燃烧弹,7000米,火炮,2010毫米,苏/俄,20世纪50年代
{'$oid': '5cc9333a831b973d657f2002'},http://images.huanqiu.com/sarons/2014/03/692ebbfc3412971df63bf8371dd3a29b.jpg,57毫米,1000米/秒,高射炮,DzSU-57-2式57毫米双管自行高射炮,28100千克,,6220毫米,NULL,曳光榴弹、电光被帽穿甲弹,12000米,火炮,4047毫米,苏/俄,20世纪50年代初
{'$oid': '5cc9333a831b973d657f2003'},http://images.huanqiu.com/sarons/2014/03/9f5f03ee8b68e6a18909bc81726581f9.jpg,57毫米,1000米/秒,高射炮,S-60式57毫米高射炮,4500千克,"
牵引式高射炮，1950年装备部队，用于射击中低空目标和地面目标。除苏联装备外，还出口35个国家。
",8500毫米,NULL,曳光榴弹、曳光被帽穿甲弹、穿甲弹,12000米,火炮,NULL,苏/俄,第二次世界大战后
{'$oid': '5cc9333a831b973d657f2004'},http://images.huanqiu.com/sarons/2014/03/ffda906a285cf334e6c21e094bb0c1f2.jpg,37毫米,880米/秒,高射炮,M1939式37毫米高射炮,2100千克,,6036毫米,苏联加里宁格勒第八火炮厂,曳光杀伤榴弹、曳光装甲榴弹,8500米,火炮,NULL,苏/俄,NULL
{'$oid': '5cc9333a831b973d657f2005'},,85毫米,792米/秒,高射炮,M1939式85毫米高射炮,4300千克,,NULL,苏联加里宁格勒第八火炮厂,杀伤榴弹、穿甲弹、曳光高速穿甲弹,15650米,火炮,7049毫米,苏/俄,NULL
{'$oid': '5cc9333b831b973d657f2006'},http://images.huanqiu.com/sarons/2014/03/44d99f6784a40dcdeb6fa9eba342d83e.jpg,130毫米,970米/秒,高射炮,KS-30式130毫米高射炮,24900千克,"
牵引式高射炮，20世纪50年代初期由同口径海岸炮改进而成，也是世界上口径最大的高射炮。用于射击高度20千米以下的空中目标，除装备苏军外，还出口古巴、伊拉克和越南等国。
",11521毫米,NULL,榴弹、穿甲榴弹,27000米,火炮,8412毫米,苏/俄,20世纪50年代初期
