高度,_id,图片,乘员与载员,类型,诞生时间,名称,战斗全重,简介,最大行程,车长,大类,宽度,最大速度,研发厂商,产国,底盘类型
1.905米,{'$oid': '5cc932fe831b973d657f1ea9'},http://images.huanqiu.com/sarons/2013/11/a9d8f6c51be3705caeb918fa547ad0cd.jpg,6人,越野车,1958年,桑塔纳88型军用轻型车,2160千克,"
88型军用车可以轻易地改装成一系列的特殊用途车辆和战车。88型军用车还可以放置一个平台上进行空投，整车与降落伞和其他配件的总重为2200千克。
",NULL,3.725米,坦克装甲车辆,1.574米,NULL,桑塔纳汽车公司,西班牙,轮式
2.08米,{'$oid': '5cc932fe831b973d657f1eaa'},,10人,越野车,1948年,路虎·卫士,3344千克,"
英国使用路虎·卫士车型已经开发出一套武器安装套件，在经过最少的准备后，四名士兵可以在四小时内将其安装到“卫士”XD110上。目前16个空军突击旅装备近200辆这种修改后的“卫士”。重型机枪，榴弹发射器，反坦克导弹在该车上的安装与稳定的攻击使得整车有了防御和攻击的能力，射击是在附属在整车防滚架上的环状底座或控制台上完成的。车上还装有一挺轻型前向机枪。
",NULL,4.55米,坦克装甲车辆,1.79米,NULL,路虎汽车公司,英国,轮式
1.5米,{'$oid': '5cc932fe831b973d657f1eab'},http://images.huanqiu.com/sarons/2013/11/59c188b4f2663ac8352db3a60fcafe72.jpg,6人,越野车,1999年,AB3“黑鸢尾”和“沙漠鸢尾”轻型特种部队车,NULL,"
该车是由约旦阿卜杜拉二世设计与开发局与英国SHP汽车运动公司合作研发的。在1999年中到2001年中这段时间内，大量的原型车在约旦和南非进行了场地试验，还包括部分部署到约旦部队并在塞拉利昂执行联合国任务的两驱黑鸢尾车辆。从那以后，约旦特别行动指挥处(SOCOM)定购了第一批这种车，包括反坦克配置和侦查配置的两款车型。约旦武装部队签署了该车的第二份订单，包括二驱和后期的四驱版本，这些车是用来替代M151吉普车和轻型卡车的。该车的四驱版本被称为“沙漠鸢尾”。
",600公里,4.1米,坦克装甲车辆,1.9米,140公里/小时,约旦阿卜杜拉二世设计与开发局，英国SHP汽车运动公司,英国,轮式
2.02米,{'$oid': '5cc932fe831b973d657f1eac'},http://images.huanqiu.com/sarons/2013/11/8d871303e8c30e451a74c82d411ca8a0.jpg,10人,越野车,1984年,GAZ-3937系列车辆,NULL,1984年，前苏联高尔基汽车厂推出了一种和“悍马”类似，带轻装甲的高机动轻型越野车，名为GAZ-47/4701系列车。GAZ-47无论外观还是内部结构、性能，都与“悍马”极为相似，可以说是俄罗斯版的装甲型“悍马”。,NULL,5.6米,坦克装甲车辆,2.1米,NULL,前苏联高尔基汽车厂,苏/俄,轮式
1.803米,{'$oid': '5cc932fe831b973d657f1ead'},http://images.huanqiu.com/sarons/2013/11/e8ed9d6bd4c25e5a638e6a14c7dfac26.jpg,4人,越野车,未知,M151轻型车辆以及变体型,NULL,"
M151型车辆的车体和底盘是一个整体且采用了全焊接的构造。该车采用常规设计：发动机位于车体前方，乘员区在车后并带有可拆卸的帆布车顶和围幕，挡风玻璃可以平坦的折放到发动机盖上。除了美国海军陆战队保留的部分M151车型外，几乎美国武装部队所有的M151车型均已被HMMWV系列取代。
",NULL,3.352米,坦克装甲车辆,1.58米,106公里/小时,NULL,美国,轮式
2.21米,{'$oid': '5cc932ff831b973d657f1eae'},http://images.huanqiu.com/sarons/2013/11/b56cee601513b33ced2a9b479c83e395.jpg,4人,越野车,NULL,中国北方工业公司快速攻击车,1950千克,"
快速攻击车，可安装多种武器，为了增加精确度，武器上还装有昼/夜瞄准系统。在驾驶员的右边转座上装备有7.62毫米机枪，防滚系统顶部旋转架上装有一门新式的中国制23毫米加农炮。加农炮上装有炮口制退器以减少后坐力，这样使它可以安装到轻型机车上。旋转架上的加农炮可水平旋转360°，俯仰范围为-10°～+52°。操作人员可以选择单发射击或是以200或400发每分钟的速度自动射击。该炮由24伏的电源驱动，最大有效射程为2000米。该车共载有200发23毫米待发弹药。
",NULL,4米,坦克装甲车辆,2.095米,NULL,中国北方工业公司,中国,轮式
1.5米,{'$oid': '5cc932ff831b973d657f1eaf'},http://images.huanqiu.com/sarons/2013/11/8f5ad3bcfaeb8294e540b3e15bff8d4e.jpg,4人,越野车,NULL,“蟋蟀”轻型攻击车,1200千克,“蟋蟀”(Szocske)轻型攻击车可能生产有二驱和四驱两款，并且可选风冷和水冷两种型号发动机。也可以选择涡轮式柴油发动机。,600公里,3.8米,坦克装甲车辆,1.8米,130公里/小时,NULL,匈牙利,轮式
2.01米,{'$oid': '5cc932ff831b973d657f1eb0'},,3人,越野车,20世纪80年代中期,切诺斯公司轻型攻击车（LSV）,1660千克,"
最初的军用版为产于20世纪80年代中期的两座快速攻击车（FAV）现在的三座轻型攻击车就是从该车衍生来的。轻型攻击车可放置到CH-47、CH-53直升机内部运输。C-130“大力神”直升机可以携带并空投两辆LSV，以货物的形式运输时可携带三辆LSV。在“沙漠风暴”行动时美国和英国的特种部队和美国海军陆战队与海豹部队曾部署过LSV。
",500公里,4.08米,坦克装甲车辆,2.11米,130公里/小时,NULL,美国,轮式
1.93米,{'$oid': '5cc932ff831b973d657f1eb1'},,7人,越野车,NULL,特别行动车,NULL,基于路虎卫士底盘设计。可进行空投或装载于C-130、CH47、CH-53直升机内运输。Mk19型40毫米榴弹发射器或12.7毫米(0.5英寸)机枪，还有为车前方乘员配备的7.62毫米机枪。,NULL,5.445米,坦克装甲车辆,1.89米,NULL,NULL,英国,轮式
1.8米,{'$oid': '5cc932ff831b973d657f1eb2'},,5人,越野车,NULL, Mk2快速反应通用车,3800千克,"
G BAT Mk2快速反应通用车，可空投快速反应实用机车是早期麦奇姆BAT的扩展。一个创新之处是可以选装车前方的装甲套件，装甲套件可以对来自车身侧面7.62毫米×51北约制式实心弹和车身正面7.62×54 Draganov API实弹的能量冲击提供保护作用。也可以通过安装保护装置来抵御手榴弹的攻击。该车没有为乘员提供保护的设施。BAT Mk2能够胜任从类似C-130“大力神”运输机上进行的低空和高空空投任务。它可以通过丹尼尔公司的“羚羊”直升机吊挂运输。
",1054公里,3.8米,坦克装甲车辆,1.8米,137公里/小时,南非，比勒陀利亚,南非,轮式
2.3米,{'$oid': '5cc93300831b973d657f1eb3'},,10人,越野车,1999年,NJ2046系列,NULL,"
NJ2046的研制始于1999年底，由于底盘部件基本和NJ2045相同，所以2000年内就完成了定型鉴定。NJ2046具有优异的性能价格比和低廉的全寿命费用，一旦装备部队将进一步提高我军装备的现代化水平，促进我军战斗力的提高。
",NULL,4.955米,坦克装甲车辆,2米,100公里/小时,南京依维柯公司,中国,轮式
1.85米,{'$oid': '5cc93300831b973d657f1eb4'},,3人,越野车,1999年,沙漠袭击者”(Desert Raider)6×6侦查与快速攻击车,2650千克,"
以色列汽车制造有限公司(Automotive Industries Ltd)生产的“沙漠袭击者”(Desert Raider)，是世界上第一种同时也是仅有的6x6 空运，全地形(all-terrain)侦察，监视和快速攻击车辆(RSV/FAV)。可空运，高机动性的监视与攻击车辆，能够在现代战场的后方行动。“沙漠袭击者”可装载到CH-53直升机的内部。
",500公里,3.86米,坦克装甲车辆,1.95米,110公里/小时,NULL,以色列,轮式
2.05米,{'$oid': '5cc93300831b973d657f1eb5'},,2人,越野车,1986年,DAC2.65FAEG两栖车 ,2100千克,"
DAC2.65FAEG两栖车在实效上是一个轻型的双座4×4车，在穿越水路或沼泽时可以靠车体边缘支撑柱上的四个浮子漂流。漂浮时，靠可调涉水深度的螺旋桨来推进的。螺旋桨的高度可以通过仪表盘来调节并由主发动机驱动，一旦整车漂浮起来就需要通过两个减速齿轮手动启动螺旋桨。转向是靠普通方向盘实现的。
",NULL,3.45米,坦克装甲车辆,2.075米,50公里/小时,NULL,罗马尼亚,轮式
NULL,{'$oid': '5cc93300831b973d657f1eb6'},,5人,越野车,NULL,维克斯装甲汽车,NULL,伴随掩护步兵用途。,NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,英国,轮式
NULL,{'$oid': '5cc93300831b973d657f1eb7'},,5人,越野车,20年代,沃尔斯利装甲汽车,NULL,"
维克斯装甲汽车(英国进口) 该车为伴随掩护步兵用途,在上海作战中日军动用了该型车。
",NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,日本,轮式
NULL,{'$oid': '5cc93300831b973d657f1eb8'},http://images.huanqiu.com/sarons/2013/11/ad0f87fd005e2de334993bfc29143088.jpg,NULL,越野车,未知,M1161轻型突击车（ITV/LSV）,NULL,"
美国海军陆战队的M1161直升机内运输车/轻型突击车（ITV/LSV），又叫“咆哮者”。
",NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,美国,轮式
2.01米,{'$oid': '5cc93301831b973d657f1eb9'},,3人,越野车,1999年,滚雷沙漠侦察车（DPV）,17000千克,"
一种结构简单别致的机动车在科威特和伊拉克西部的沙漠频繁出现，它是美国“海豹”突击队的名片——“滚雷”沙漠侦察车。
",500公里,4.08米,坦克装甲车辆,2.1米,130公里/小时,NULL,美国,轮式
1.75米,{'$oid': '5cc93301831b973d657f1eba'},http://images.huanqiu.com/sarons/2013/12/f9f8e609a9172c39ca21c5c3b28beef5.jpg,NULL,越野车,1942年2月（样车）,福特GPA两栖吉普车,1110千克,"
福特GPA两栖吉普车是由美国福特车厂研发的两栖车辆，GPA即是""General PurposeAmphibious""的缩写。美军士兵给GPA取名""Seep""，并根据车辆容易进水沉没，驾驶员和乘员需要穿救生衣的缺点，戏称该车是""大澡盆""。在生产了12778辆后该车停产。
",NULL,4.62米,坦克装甲车辆,1.63米,95公里/小时,NULL,美国,NULL
2.59米,{'$oid': '5cc93301831b973d657f1ebb'},,4人,越野车,20世纪80年代,ALSV 轻型突击车,1340千克,"
西诺斯公司开发的FAV在海湾战争中被灵活运用于许多特殊任务，取得了很好的成绩，ALSV先进轻型突击车是在FAV的基础上的改良型，在机动性和大型化方面作出了很多改进。
",500公里,6.22米,坦克装甲车辆,2.56米,130公里/小时,西诺斯公司,美国,轮式
1.75米,{'$oid': '5cc93301831b973d657f1ebc'},,8人,越野车,NULL,SX-1新型伞兵突击车,NULL,"
该车武器适应性和火力极强，司机右侧乘员旁可安装一挺八一式或九五式小口径轻机枪，又或者八七式35毫米榴弹发射器。车项通用武器架可安装一挺六五式或七八式82毫米无后座力炮、八七式榴弹发射器、八九式重机枪、九八式火箭筒、红箭八反坦克导弹发射器等。
",800公里,4.65米,坦克装甲车辆,2.185米,120公里/小时,NULL,中国,轮式
2.03米,{'$oid': '5cc93301831b973d657f1ebd'},http://images.huanqiu.com/sarons/2013/11/6a4c63055114cdbc0151fdc6c36c93cc.jpg,NULL,越野车,20世纪80年代,"""切诺斯""快速突击车（FAV）",NULL,"
美国切诺斯(ChenowTH)公司生产的3座型快速突击车(Fast AttactE Vehi，CLE)，又名轻型攻击车(LIght StrikeVEhi-cle)、简称FAY或LSY。在1991年的海湾战争中，FAV是多国部队第一批开进科威特的军用车辆，美国""海豹""特种部队曾多次驾驶它高速行驶于科威特和伊拉克境内沙漠，迂回在伊军侧翼和后方，赢得了有效攻击的先机，屡建奇功：战后它又担任了保卫美国驻科威特大使馆的任务。其轻便、灵活、快速、火力猛等特点倍受参战人员的好评，其杰出表现一时成为瞩目的焦点。
",965公里,4.14米,坦克装甲车辆,2.1米,135公里/小时,美国切诺斯(ChenowTH)公司,美国,轮式
2.21米,{'$oid': '5cc93301831b973d657f1ebe'},,7人,越野车,2001年,LYT2021超轻型轮式伞兵突击车,1700千克,"
目前我军空降兵部队和快速反应部队大量列装的LYT2021超轻型轮式伞兵突击车，共采用4X4（军用）/ 4x2（民用）两种轮式驱动型式。
",1200公里,4米,坦克装甲车辆,2.09米,110公里/小时,NULL,中国,轮式
1.8米,{'$oid': '5cc93301831b973d657f1ebf'},,6人,越野车,1985年1月2日,悍马Hummer,NULL,"
高机动性多用途轮式车辆（英语：High Mobility Multipurpose Wheeled Vehicle，缩写HMMWV或Humvee），又称悍马，是由AM General为美国军方生产的全轮驱动车辆。1991年，历经海湾战争一役，其优异的机动性、越野性、可靠性和耐久性与各式武器承载上的安装适应能力，间接促使该款汽车声名大噪。部份军事迷更将其冠上“越野之王”的美誉。
",443公里,4.6米,坦克装甲车辆,2.1米,125公里/小时,AMG公司,美国,轮式
2米,{'$oid': '5cc93302831b973d657f1ec0'},,10人,越野车,NULL,“虎”式装甲越野车,5500千克,"
俄罗斯的武器装备一直是克制美军而生产的，其特点是操作简单，稳定性强，针对性好。是一种全传动汽车，在一些性能上，优于美军“悍马”越野车。主要装备于特种部队。
",NULL,4.61米,坦克装甲车辆,2.2米,140公里/小时,高尔基车辆制造厂,苏/俄,轮式
2.6米,{'$oid': '5cc93302831b973d657f1ec1'},http://images.huanqiu.com/sarons/2013/11/20e544d7b9fae09b09ad7e3f0909a201.jpg,10人,越野车,未知,SPM-3“熊”式装甲汽车,12000千克,"
SPM-3特种警用装甲车不是已有良好知名度的SPM-1和SPM-2“虎”式装甲汽车的继续改进，而是全新的车辆。
",1400公里,5.9米,坦克装甲车辆,2.5米,100公里/小时,俄罗斯军事工程中心，巴乌曼莫斯科国立技术大学轮式车辆教研室,苏/俄,轮式
NULL,{'$oid': '5cc93302831b973d657f1ec2'},,NULL,越野车,1939年,LB-23/BA-21装甲车,NULL,,NULL,NULL,坦克装甲车辆,NULL,NULL,维津斯基厂,苏/俄,轮式
1.68米,{'$oid': '5cc93302831b973d657f1ec3'},,2人,越野车,20世纪30年代,D-8S空降装甲车,15800千克,D-8是苏联早期有代表性的轻型轮式装甲车系列，在30年代应用广泛，并衍生出许多二战时的BA系列。算是BTR-80、90的鼻祖之一。,225公里,3.54米,坦克装甲车辆,1.705米,85公里/小时,NULL,苏/俄,轮式
2.2米,{'$oid': '5cc93303831b973d657f1ec4'},,4人,越野车,1938年-1941年,BA-10装甲车,51400千克,"
BA-10装甲汽车（俄语：Broneavtomobil 10）是苏联20世纪30年代技术最完善、性能最出众的重型装甲汽车，一问世就成为苏联红军的主力装备，采用实心防弹橡胶轮胎，两对后轮也可随时加装履带，履带平时就固定在车身后部的挡泥板上。由于其机动性太弱，导至其早早的被淘汰。
",300公里,4.65米,坦克装甲车辆,2米,53公里/小时,NULL,苏/俄,轮式
2.4米,{'$oid': '5cc93303831b973d657f1ec5'},http://images.huanqiu.com/sarons/2013/12/b3a6e13438441d39d5c17c1cfda56859.jpg,3人,越野车,1932年（设计定型）,BA-I装甲车,5000千克,"
 BA-I是前苏联一种三轴装甲车。1932年,在A.D.Kuz'min的领导下,""BA-I""装甲汽车在Izhorskij工厂设计定型。名称中的""I""代表Izhorskij，在很多出版物中它们也被简单的称为""BAI""。
",150公里,4.8米,坦克装甲车辆,2米,63公里/小时,Izhorskij工厂,苏/俄,轮式
NULL,{'$oid': '5cc93303831b973d657f1ec6'},http://images.huanqiu.com/sarons/2014/01/6b940cfe82343d8c215e057b7cf453f6.jpg,NULL,越野车,1931年,D-13装甲汽车,NULL,,NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,苏/俄,轮式
2.2米,{'$oid': '5cc93303831b973d657f1ec7'},http://images.huanqiu.com/sarons/2013/12/7cb1054f6486094bda0b86fde7c56cc5.jpg,4人,越野车,20世纪30年代,BA-6装甲车,5100千克,"
BA-6（БA-6, Бронеавтомобиль）是苏联在1930年代早期研制的装甲车。BA-6外形接近BA-3，但BA-6取消了右后方一扇车门。BA-3装甲过于笨重，而BA-6装甲较薄（10毫米）且性能更好。BA-6最后被更佳的BA-10取代。在30年代早期，BA-6等装甲车可轻易击毁大部份同期装甲车，但其薄薄的装甲还是容易被小口径炮击破。
",200公里,4.65米,坦克装甲车辆,2.1米,55公里/小时,NULL,苏/俄,轮式
1.68米,{'$oid': '5cc93303831b973d657f1ec8'},,2人,越野车,未知,D-8装甲车,1580千克,"
 

 
",225公里,3.54米,坦克装甲车辆,1.705米,85公里/小时,NULL,前苏联,轮式
2.52米,{'$oid': '5cc93304831b973d657f1ec9'},,4人,越野车,20世纪30年代,BA-27装甲车,4400千克,"
BA-27是苏军在20世纪30年代初比BA-3/6/10稍早装备的一种十轮多用途轮式装甲车，其特点是采用了苏联第一种量产的T-18坦克的炮塔。改进型的BA-27M为6×4驱动型式，是苏联红军在内战后装备的第一种装甲车，共生产了300多辆。苏联军方把它看作是“用于伴随坦克作战的、有薄装甲的机动武器”。
",350公里,4.62米,坦克装甲车辆,1.81米,48公里/小时,NULL,苏/俄,轮式
NULL,{'$oid': '5cc93304831b973d657f1eca'},http://images.huanqiu.com/sarons/2014/01/eb034d13bba4a2980bb8342a840a782d.jpg,NULL,越野车,二战前,D-12装甲车,NULL,,NULL,NULL,坦克装甲车辆,NULL,NULL,NULL,苏/俄,轮式
2.2米,{'$oid': '5cc93304831b973d657f1ecb'},,NULL,越野车,1933年,BA-3装甲车,5820千克,"BA-3（(俄语：Broneavtomobil 3)）装甲车是基于对BA-I的的改进，其最主要的革新是炮塔和它的武备。BA-3安装了来自T-26轻型坦克的炮塔。炮塔装甲被减至8mm，安装有一门20K型1932/38型45mm炮（备弹60发）和一挺DT机枪。部分弹药放置在炮塔,其余的则被放置在车体内部。",260公里,4.62米,坦克装甲车辆,2.1米,63公里/小时,NULL,苏/俄,轮式
NULL,{'$oid': '5cc93304831b973d657f1ecc'},,3人,越野车,1937年,BA-30装甲车,4600千克,"
BA-30装甲车是前苏联在1937年开发建造的一种半履带式装甲车。该车建成数量不多，多用于试验，也有少量参加了冬季战争。
",253公里,4.94米,坦克装甲车辆,2.4米,37公里/小时,NULL,苏/俄,履带式
1.9米,{'$oid': '5cc93304831b973d657f1ecd'},http://images.huanqiu.com/sarons/2013/12/2a39b63c4a0e65bde9c1edbd47c2ea6e.jpg,2人,越野车,1942年,BA-64装甲车,2360千克,"
BA-64（“BA”的意思是“broneavtomobil”装甲汽车)是第一种采用4轮驱动的苏联装甲汽车，能爬30度的斜坡，涉水0.9米，能在沙石路面上行驶。它在结构上的最大特点是在冬季行驶时可以装上滑雪橇。这种装甲车主要作为部队的轻型侦察车用。
",600公里,3.66米,坦克装甲车辆,1.69米,80公里/小时,NULL,苏/俄,轮式
NULL,{'$oid': '5cc93305831b973d657f1ece'},,NULL,越野车,1939年,BA-11装甲车,NULL,,NULL,NULL,坦克装甲车辆,NULL,NULL,齐斯工厂,苏/俄,轮式
2.05米,{'$oid': '5cc93305831b973d657f1ecf'},http://images.huanqiu.com/sarons/2014/01/e71e2152d26a5c77c8e75e7cedb6a9ea.jpg,8人,越野车,1985年,陆地漫游者轮式装甲巡逻车,NULL,"
英国陆地漫游者轮式装甲巡逻车是为满足英军要求，由格罗弗·韦布有限公司研制的车辆。1985年北爱尔兰英军订购100多辆。第一批车已于1986年交货。英国陆地漫游者轮式装甲巡逻车可作边界巡逻、机场巡逻、护送任务、反恐怖、反暴乱和内部警卫等多种用途。
",NULL,4.58米,坦克装甲车辆,1.79米,120公里/小时,格罗弗·韦布有限公司,英国,轮式
NULL,{'$oid': '5cc93305831b973d657f1ed0'},,NULL,越野车,1935年,FAI-M装甲车,NULL,,NULL,NULL,坦克装甲车辆,NULL,NULL,Izhorskiy工厂,苏/俄,轮式
NULL,{'$oid': '5cc93305831b973d657f1ed1'},,NULL,越野车,1931-1932年,FAI装甲车,NULL,,NULL,NULL,坦克装甲车辆,NULL,NULL,Izhorskiy工厂设计局,苏/俄,轮式
