名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
比奇T-34“导师”教练机,飞行器,302千米每小时,10.01米,大陆O-470-13,1948年10月2日,单发,NULL,NULL,1238千米,{'$oid': '5cc930dc831b973d657f113a'},NULL,http://images.huanqiu.com/sarons/2013/07/6806c922e643c9f4a04f7d7aa27f5260.jpg,3.04米,932千克,1953年,美国,亚音速,教练机,"
比奇T-34“导师”是双座单发初级教练机，是一款由美国比奇航空器35型机“富豪”衍生而来的单引擎螺旋桨军用教练机；1940年代出产的早期机型使用传统气缸发动机，自T-34C开始改用涡轮螺旋桨喷射发动机。自1940年代末期、1950年代初期问世以来，T-34持续在许多国家服役。
",比奇飞机公司,平直翼,2人,7.87米,1315千克
A-1“推进者”,飞行器,96千米每小时,11.27米,寇蒂斯V-8发动机,1911年7月1日,单发,NULL,NULL,437千米,{'$oid': '5cc930dc831b973d657f113b'},NULL,http://images.huanqiu.com/sarons/2013/07/432f9e90ac804206dc40c6554ffa7881.jpg,2.46米,420千克,NULL,美国,亚音速,教练机,"
飞机制造的先驱者寇蒂斯公司为美国陆军和海军制造的少量早期推进式双翼机没有被公司命名，因此被通称为“推进者”。寇蒂斯“推进者”是双座单发双翼／水上教练机。
",寇蒂斯公司,双翼,2人,8.75米,714千克
SOKO G-4“超海鸥” 喷气式武装教练机,飞行器,306千米每小时,9.9米,一台罗尔斯•罗伊斯ViPer 632涡轮喷气发动机,1978年7月17日,双发,NULL,NULL,1300千米,{'$oid': '5cc930dd831b973d657f113c'},NULL,http://images.huanqiu.com/sarons/2013/07/4700e7548b09d684e2b2397293d79821.jpg,4.3米,3250千克,NULL,波黑,亚音速,教练机,"
G-4 ”超海鸥“是一种单引擎，双座高级喷气式教练机和轻型对地攻击机。“超海鸥”在研制过程中就瞄准了世界先进水平。它的发动机仍是英国罗·罗公司的“蝮蛇”，但却是该系列的最新型号632型，推力达到17.78千牛。最大飞行速度也提高到910千米/小时，爬升率为30米/秒，这些数据在70年代还是相当优秀的。不过它的缺点也和“海鸥”一样，无法携带导弹，自卫能力相当薄弱。
",索科公司,后掠翼,2人,12.2米,6330千克
雅克-130 高级教练机,飞行器,1060千米每小时,9.7米,两台ZMKB Progess AI-222-25(DV-2S/RD-35)涡轮风扇发动机,1996年4月25日（雅克130D）,双发,NULL,NULL,2000千米,{'$oid': '5cc930dd831b973d657f113d'},NULL,http://images.huanqiu.com/sarons/2013/07/e47c0d2cd5f66e0e134bd26c844e92ea.jpg,4.8米,4600千克,NULL,意大利,亚音速,教练机,"
雅克-130教练机，是专门为俄罗斯空军设计研发的一种高级教练机。在为期32分钟的首飞试验过程中，验证了该机的稳定性和灵敏性，并且所有的系统均成功通过了试验。就飞机性能而言，“雅克-130”教练战斗机超过了国外同类飞机，可以在现代战斗机所能遇到的所有飞行状态下飞行，利用这种教练机训练的飞行员可以驾驶多种战斗机。
",NULL,后掠翼,2人,11.5米,9000千克
JN-4“詹尼”,飞行器,120千米每小时,13.31米,寇蒂斯OX-5发动机发动机,1916年初,单发,NULL,NULL,400千米,{'$oid': '5cc930dd831b973d657f113e'},NULL,http://images.huanqiu.com/sarons/2013/08/37e9e502b2d0dd35174f14a41edd7e57.jpg,2.77米,717千克,NULL,美国,亚音速,教练机,,寇蒂斯公司,双翼,2人,8.34米,966千克
NB-1双座双翼初级教练机,飞行器,159千米每小时,11米,劳伦斯J-1发动机,1924年年初,单发,NULL,NULL,480千米,{'$oid': '5cc930dd831b973d657f113f'},NULL,http://images.huanqiu.com/sarons/2013/07/23fcb3295d02210caae33a702d966cd5.jpg,3.59米,969千克,1924年12月,美国,亚音速,教练机,,波音公司,双翼,2人,8.8米,1287千克
T67 “萤火虫”基础教练机,飞行器,361千米每小时,10.6米,一台达信•莱卡明AEIO-540-D4A4活塞发动机,1982年12月5日,双发,NULL,NULL,753千米,{'$oid': '5cc930dd831b973d657f1140'},NULL,http://images.huanqiu.com/sarons/2013/07/ef442cc2b27ab7dc314a4fbac66874a1.jpg,2.4米,794千克,NULL,英国,亚音速,教练机,"
现在的T67系列教练机是最初的T67A木制飞机的复合材料版，而T67A则是1980年首飞的福尼尔RF6B飞机的授权制造机型。第一架T67M军用改型于1982年12月5日试飞，该机型具有多种发动机配置。在英国，T67M用于军事训练，但由民间所有和运营。截至1999年，T67教练机一共制造了265架。2001年，约旦订购了16架T67M-260。
",斯林斯贝航空公司,平直翼,2人,7.6米,NULL
EMB-312 “巨嘴鸟”教练机,飞行器,458千米每小时,11.14米,一台普-惠 PT6A-25C涡轮螺旋桨发动机,1980年8月16日,单发,NULL,NULL,1916千米,{'$oid': '5cc930de831b973d657f1141'},巴西航空工业公司,http://images.huanqiu.com/sarons/2013/07/39d240b1ca8455cc8bf21139263ea34d.jpg,3.4米,1810千克,1983年,巴西,亚音速,教练机,"
EMB-312是巴西航空工业公司为巴西空军研制的初级教练机(编号T-27)，用来取代T-34C教练机。“巨嘴鸟”于1978年1月开始设计，同年12月6日巴西航空工业公司与巴西航空部研究发展局签订生产两架原型机和两架用于静力和疲劳试验的机体的合同。
",NULL,平直翼,2人,9.86米,3175千克
T-45“苍鹰”中级/高级喷气教练机,飞行器,1065千米每小时,9.4米,一台罗尔斯•罗伊斯/透博梅卡•阿杜尔涡轮风扇发动机,1988年4月16日,双发,NULL,NULL,1288千米,{'$oid': '5cc930de831b973d657f1142'},NULL,http://images.huanqiu.com/sarons/2013/07/3cfcb5b6367ae9acff50c0b1a744789c.jpg,4.3米,4060千克,1997年,美国,亚音速,教练机,"
T-45是美国麦·道公司和英国航宇公司在“鹰”式教练/攻击机基础上根据美国海军的要求研制的高级教练机，用以取代过时的T-2C“橡树”和TA-4J“空中之鹰”教练机。
",美国麦·道公司和英国航宇公司,后掠翼,2人,12米,6387千克
T2V/T-1“海星”,飞行器,928千米每小时,12.83米,阿里逊J33-A-24发动机,1953年12月16日,双发,20世纪70年代初,NULL,1552千米,{'$oid': '5cc930de831b973d657f1143'},NULL,http://images.huanqiu.com/sarons/2013/08/33ad93f3022f693c60d224b21e6e44ac.jpg,4.08米,5427千克,NULL,美国,亚音速,教练机,1953年末，洛克希德改进了TO/TV-2的设计。新型号后部座舱加高以改善视界，同时还在机翼上安装了前缘襟翼和后缘机翼，并采用边界层控制技术以降低失速速度，改善了起降性能使之适合在航母上使用，发动机也换成了推力更大的J33-A-24。新飞机于1953年12月16日首飞后被命名为为T2V-1“海星”，首批150架飞机于1956年开始交付。,NULL,平直翼,2人,11.7米,7167千克
初教-6A基础教练机,飞行器,285千米每小时,10.2米,一台株洲(SMPMC)HS6A星形发动机,1958年8月,单发,NULL,NULL,690千米,{'$oid': '5cc930de831b973d657f1144'},NULL,http://images.huanqiu.com/sarons/2013/07/13661af96d9c11ed4c07f03722e273d9.jpg,3.2米,1095千克,NULL,中国,亚音速,教练机,"
初教-6串列双座螺旋桨教练机，长期服役于我国空军及地方航校，至今仍然是我国初级教练机的主力。初教-6由南昌飞机制造公司研制，1957年7月开始设计，次年8月原型机首飞，1962年1月定型并生产5架原型机，使用捷克斯洛伐克的AI-14P道里斯B发动机和配套螺旋桨。半年后批量生产，批量生产型号改用活塞-6星型气冷9缸(HS-6)发动机，额定功率198.5千瓦，配“奋发”-530自动变距双叶全金属螺旋桨。
",南昌飞机制造公司,平直翼,2人,8.5米,1400千克
T-33/TV-2 ,飞行器,869千米每小时,11.85米,阿里逊J33-A-35发动机,1948年3月22日（TF-80C）,单发,NULL,NULL,1760千米,{'$oid': '5cc930de831b973d657f1145'},NULL,http://images.huanqiu.com/sarons/2013/08/7283213ade6fa0a2d309ac35bffd323f.jpg,3.55米,3667千克,NULL,美国,亚音速,教练机,,洛克希德公司,平直翼,2人,11.48米,6551千克
北美T-28 “特洛伊人/游牧民”,飞行器,453千米每小时,12.22米,莱特R-2300-1发动机,1949年9月26日,单发,1994年（菲律宾空军）,NULL,1600千米,{'$oid': '5cc930de831b973d657f1146'},北美航空公司,http://images.huanqiu.com/sarons/2013/08/a7cca5ff844507fd6a497cca8e174cfb.jpg,8.36米,2318千克,NULL,美国,亚音速,教练机,,NULL,平直翼,2人,9.75米,2887千克
米格-AT 高级教练机,飞行器,1000千米每小时,10.16米,两台SNECMA拉扎克04-R-20涡扇发动机,1996年3月21日（米格原型机）,NULL,NULL,NULL,2000千米,{'$oid': '5cc930de831b973d657f1147'},NULL,http://images.huanqiu.com/sarons/2013/07/23594de2235e69d5ec0527e75a69be5e.jpg,4.01米,4610千克,NULL,苏/俄,亚音速,教练机,"
米格-AT是俄罗斯米高杨设计局和法国斯耐克公司等联合研制的高级教练机，由俄罗斯米高杨设计局负责全机的制作与组装、系统整合与后勤支援，另外RSK公司负责销售，斯耐克公司提供发动机，塞克斯塔公司提供航电系统。双方为能共创双赢，俄方出资68%，法方出资32%。

俄罗斯空军计划用米格-AT取代现在正在服役的L-29和L-39“信天翁”教练机。米格-AT于20世纪80年代末开始设计，1992年法国公司参与合作。1996年3月21日米格-AT原型机进行了首次试飞。目前该机已进入试生产阶段。
",俄罗斯米格飞机公司 ,NULL,2人,12.01米,8300千克
T-38“禽爪” 高级教练机,飞行器,1381千米每小时,7.7米,两台通用电气J85-GF-5发动机,1959年4月10日,NULL,1993（葡萄牙空军 ）,NULL,1761千米,{'$oid': '5cc930de831b973d657f1148'},美国诺斯罗普公司,http://images.huanqiu.com/sarons/2013/08/2ab66adfa01846a73d9a60f08204765b.jpg,3.92米,3254千克,1961年3月17日,美国,亚音速,教练机,"
诺斯罗普T-38“禽爪”是一种双座，双引擎超音速喷气式教练机。它是世界上第一架超音速教练机。美国空军（USAF）是T-38最大的运营商。在除了美国空军飞行员培训以外，T-38也服役于美国航空航天局。
",NULL,后掠翼,2人,14.14米,5465千克
T-6A“德克萨斯人II”,飞行器,573千米每小时,10.12米,普-惠“加拿大”PT6A-68发动机,1995年7月15日,NULL,NULL,NULL,1642千米,{'$oid': '5cc930df831b973d657f1149'},NULL,http://images.huanqiu.com/sarons/2013/08/bd15fbe1dc78bdd4a6f131941ecd8ca6.jpg,3.29米,2135千克,NULL,美国,亚音速,教练机,,美国比奇公司（现在是雷声公司的子公司）,平直翼,2人,10.17米,2948千克
AT-8/17/UC-78“短尾猫”,飞行器,314千米每小时,12.78米,两台雅各布斯R-755-9发动机,1939年（民用型T-50）,双发,NULL,NULL,1207千米,{'$oid': '5cc930df831b973d657f114a'},NULL,http://images.huanqiu.com/sarons/2013/08/a708d7d1be5a707dd74f8078eaefe60e.jpg,3.02米,1580千克,NULL,美国,亚音速,教练机,"
塞斯纳公司的“短尾猫”是该公司的第一种双发飞机，它是为民用市场设计的五座飞机。原型机起飞后的12个月内，“短尾猫”已被加拿大皇家空军选中，用作训练从驾驶单发飞机改为驾驶双发飞机的飞行员的过渡教练机。大约550架“美洲鹤（Crane）”1A（英联邦命名）通过《租借法案》供应给“英联邦联合飞行训练计划”。1940年，美国海军也购买了33架“短尾猫”用于实战评估（命名为AT-8），之后订购了450架。这种教练机被命名为AT-17，被分批订购了223架（AT-17A）、466架（AT-17B）和60架（AT-17C），每一批的配置都有一些不同。1942年，美国陆军航空兵把塞斯纳定位成轻型运输机，一共购买了1287架C-78（后来的UC-78）“短尾猫”，剩余的2100架AT-17C／DS也于1942年末按运输机的配置完成改造。后来，美国海军把67架（命名为JRC-0）用于运送驾驶员。
",塞斯纳公司,平直翼,7人,9.98米,2585千克
T-47/UC-35“奖状”,飞行器,779千米每小时,14.18米,两台普-惠“加拿大”JTl5D-5发动机,1969年9月15日（500型“奖状”）,双发,NULL,NULL,3151千米,{'$oid': '5cc930df831b973d657f114b'},NULL,http://images.huanqiu.com/sarons/2013/08/bf0b2c436cc4032b7090bda32e8e78d5.jpg,4.51米,4098千克,NULL,美国,亚音速,教练机,"
仅于20世纪80年代在美国海军中短期服役的T-47A“奖状II”被认为特别适合作为F-14“雄猫（Tomcat）”的海战指挥官的雷达领航和空运雷达截击教练机。美国海军购买了15架商用“奖状II”的改型来替代先前执行此种角色的T-39D“佩刀客机（Sabreliner）”。对“奖状II”的修改包括：配备了一部APQ-159机头雷达，这是F-14的AWG-9系统的模拟版，缩短了机翼并且安装了普-惠“加拿”JTl5D-5发动机。第一架T-47A于1984年2月15日完成了它的处女航。UC-35A/B/C是以“奖状II”为基础的要员运输机。
",塞斯纳公司,后掠翼,5人,8.92米,6804千克
T-41“梅斯卡勒罗人”,飞行器,224千米每小时,10.86米,泰莱达因-大陆IO-30O-C发动机,1955年11月（172型）,单发,1997年,NULL,990千米,{'$oid': '5cc930e0831b973d657f114c'},NULL,http://images.huanqiu.com/sarons/2013/08/e13c7dc3c1246631e90e4bfc78d99cd7.jpg,2.68米,565千克,1964年,美国,亚音速,教练机,,NULL,平直翼,4人,8.2米,1043千克
A-8/PQ-8/TOC-2,飞行器,187千米每小时,8.2米,大陆O-200-1发动机,1940年,单发,NULL,NULL,672千米,{'$oid': '5cc930e1831b973d657f114d'},NULL,,1.68米,327千克,NULL,美国,亚音速,教练机,"
卡尔弗A-8是为防空射击打斗训练而研制的，它以该公司成功的民用飞机LCA“军校生（Cadet）”为蓝本。在该机型出现以前，美国陆军的机枪手们不得不通过向被拖船机拖到一定距离的浮标射击的方式做练习。
",卡尔弗公司,后掠翼,1人,5.38米,592千克
AT-21“机枪手”,飞行器,362千米每小时,16.05米,两台兰格V-1770-15发动机,1941年,双发,1944年,NULL,1464千米,{'$oid': '5cc930e1831b973d657f114e'},美国仙童公司,,4米,3925千克,1943年,美国,亚音速,教练机,"
仙童AT-21“机枪手”是美国在二战期间专用的轰炸机队教练机，旨在培养陆军航空部队炮塔射击经验，训练所有轰炸机机组成员或轰炸机瞄准手。
",NULL,平直翼,5人,11.58米,5120千克
BC/AT-6/SNJ“德克萨斯人”,飞行器,336千米每小时,12.8米,普-惠R-1340-49“黄蜂”发动机,1936年4月（NA-26）,单发,NULL,NULL,1006千米,{'$oid': '5cc930e1831b973d657f114f'},NULL,http://images.huanqiu.com/sarons/2013/08/0a42fc92771f817a1b95cbcfdc6f10e2.jpg,3.58米,1769千克,NULL,美国,亚音速,教练机,,北美航空公司,平直翼,2人,8.83米,2338千克
T-39 “佩刀客”,飞行器,907千米每小时,13.53米,两台普-惠JTl2A-8发动机,1958年9月16日,单发,NULL,NULL,3519千米,{'$oid': '5cc930e1831b973d657f1150'},NULL,http://images.huanqiu.com/sarons/2013/08/29256fda714550d7330fc7b9f3ccb335.jpg,4.88米,4488千克,NULL,美国,亚音速,教练机,"
T-39是北美公司为了满足美国空军于1956年发布的“无须定制”通用和战备教练机招标自担风险开发的。尽管有8家公司提交方案参与竞标，北美公司的NA246“佩刀客”却是唯一一种以原型机的形式试飞（从1958年9月16日起）的飞机，随后，美国空军通知北美公司他们已经赢得了比赛。一共为美国空军生产了143架T-39A，6架T-39B和3架T-39F。尽管美国空军的最后一批“佩刀客”已于2002年退役，海军的“佩刀客”至今仍有大约30架在使用中。
",北美公司,后掠翼,10人,13.34米,8319千克
T-2“橡树” 教练机,飞行器,840千米每小时,11.62米,两台通用电气J85-GE-4发动机,1958年1月31日,单发,NULL,NULL,1685千米,{'$oid': '5cc930e1831b973d657f1151'},北美航空公司,http://images.huanqiu.com/sarons/2013/08/b1c037954c863dc609ba393d4fcbe6ea.jpg,4.51米,3680千克,1959年,美国,亚音速,教练机,"
结合了北美航空公司很多早期飞机的特点的一架服务于本国海军以及学员的优秀教练机。该机于1959年服役，在2008年被T-45苍鹰教练机I所取代。
",NULL,后掠翼,2人,11.67米,36285千克
AT-9,飞行器,317千米每小时,12.29米,两台莱康明R-680-9发动机,1941年,双发,NULL,NULL,1207千米,{'$oid': '5cc930e1831b973d657f1152'},NULL,http://images.huanqiu.com/sarons/2013/08/9d32c02afbecdfcf08fafc84f4b4dc70.jpg,2.99米,2087千克,1942年,美国,亚音速,教练机,"
AT-9 是寇蒂斯公司生产的专门用于训练驾驶员的过渡飞机，达到了高速度和高着陆性能的目的，并且结合了当时热门的双发动机（hot twins），不久后进入美国陆军航空部队现役。它的特点是全应力蒙皮、两台莱康明（Lycoming）R-680-9星形发动机和收放式起落架，1941年25型被订购进入生产，命名为AT-9。直到1944年-1945年，它才被带有双操纵系统的一线作战型飞机取代，后者更适用于全员整合训练。
",寇蒂斯公司,平直翼,2人,9.65米,2722千克
PQ-14/TD2C-1,飞行器,290千米每小时,9.14米,富兰克林（Franklin）O-300-11发动机,1942年,单发,NULL,NULL,824千米,{'$oid': '5cc930e2831b973d657f1153'},NULL,http://images.huanqiu.com/sarons/2013/08/decd4249da732f6d928154190cfef1ff.jpg,2.41米,680千克,1942年,美国,亚音速,教练机,"
PQ-14是卡尔弗公司继“军校生”无人驾驶飞机垄断了美国陆军航空部队射击靶机市场之后，为了适应有人驾驶战斗机性能的提升，急需更强大的机枪靶机这一需求设计出的一种特制靶机，该型飞机于1943年进入现役，命名为PQ-14。
",卡尔弗公司,平直翼,1人,5.94米,830千克
PT-16/20/21/22和NR-1“补充兵”,飞行器,211千米每小时,9.17米,金纳R-540-1发动机,1939年2月3日,单发,NULL,NULL,566千米,{'$oid': '5cc930e2831b973d657f1154'},NULL,http://images.huanqiu.com/sarons/2013/08/b1f67b7d6af0613399aea6b5abe4103c.jpg,2.08米,596千克,NULL,美国,亚音速,教练机,"
PT系列飞机，是美国瑞安（Ryan）航空公司于1939至1945年先后为美国陆军航空部队生产的系列双座单发单翼教练机，绰号“补充兵”，第二次世界大战期间也曾在美国海军服役。
",美国瑞安（Ryan）航空公司,平直翼,2人,6.83米,844千克
T/CT-43和T-40“快船”,飞行器,1010千米每小时,28.35米,两台普-惠JT-8D-9发动机,1976年8月8日,双发,NULL,NULL,4818千米,{'$oid': '5cc930e2831b973d657f1155'},NULL,http://images.huanqiu.com/sarons/2013/08/b89807df103ce203c7bd999f098f1e01.jpg,11.28米,27311千克,1976年,美国,亚音速,教练机,"
1971年5月，美国空军宣布选中波音737-253作为“无需定制”平台，来研发用以取代活塞式发动机的“康维尔（convair）”T-29的领航教练机。19架命名为T-432A的样机于1973年年中交付。它的特点是标准的双人机组驾驶舱，主座舱中配置了12个领航学员位，4个高级学员位和3个教官位。
",波音公司,后掠翼,21人,30.48米,52391千克
沃多霍迪L-39/L-139/L-59/L-159高级喷气教练机和轻型攻击机,飞行器,630千米每小时,9.5米,苏制Ivchenko AI-25TL双转子涡轮风扇发动机,1968年11月4日,单发,NULL,NULL,1100千米,{'$oid': '5cc930e2831b973d657f1156'},NULL,http://images.huanqiu.com/sarons/2013/08/a304d32f438b998f076e19079f6c6e6f.jpg,4.8米,3455千克,1971年,捷克,亚音速,教练机,,捷克沃多霍迪航空,后掠翼,2人,12.1米,4700千克
N2T“导师”,飞行器,232千米每小时,10.97米,大陆R-670-4发动机,1941午4月2日（S-160K）,单发,NULL,NULL,644千米,{'$oid': '5cc930e2831b973d657f1157'},NULL,,3.25米,880千克,NULL,美国,亚音速,教练机,"
N2T“导师”，是上世纪40年代美国的蒂姆飞机公司为美国海军制造的一款单翼基础教练型飞机。该型飞机的不同寻常之处在于它是采用塑料粘结的胶合板制成的。
",美国蒂姆飞机公司,平直翼,2人,7.57米,1236千克
海军飞机制造厂N3N ,飞行器,203千米每小时,10.36米,莱特R-760-2“旋风”发动机,1935年8月,单发,1961年,NULL,756千米,{'$oid': '5cc930e3831b973d657f1158'},NULL,http://images.huanqiu.com/sarons/2013/08/9ff9e511fdeb573e05c059415e632e8d.jpg,3.3米,948千克,1936年,美国,亚音速,教练机,,美国海军飞机制造厂,双翼,2人,7.77米,1266千克
PT-19/23/26“康奈尔”,飞行器,196千米每小时,10.97米,Ranger L-440-C发动机,1939年3月,单发,NULL,NULL,644千米,{'$oid': '5cc930e3831b973d657f1159'},NULL,http://images.huanqiu.com/sarons/2013/08/f0758ea6eadaab52c66d29d43e273458.jpg,2.32米,917千克,1940年,美国,亚音速,教练机,,仙童公司,平直翼,2人,8.45米,1241千克
BT-9/14和NJ-1,飞行器,274千米每小时,12.8米,莱特R-975-7发动机,1935年4月,单发,1941年,NULL,1420千米,{'$oid': '5cc930e3831b973d657f115a'},北美公司,http://images.huanqiu.com/sarons/2013/08/f18117316b4cf04136742f2e8f255f43.jpg,4.13米,1500千克,NULL,美国,亚音速,教练机,,NULL,后掠翼,2人,8.39米,2030千克
T-37“鸣叫”和A/QA-37“龙蝇” ,飞行器,816千米每小时,10.93米,两台通用电气1185-GF-17A发动机,1954年10月12口（T-37A）,单发,NULL,NULL,1628千米,{'$oid': '5cc930e3831b973d657f115b'},NULL,http://images.huanqiu.com/sarons/2013/08/078fb6c1eeae8c48777964705d155afe.jpg,2.71米,2817千克,1957年,美国,亚音速,教练机,,塞斯纳公司,平直翼,2人,8.92米,6350千克
NP,飞行器,173千米每小时,10.33米,莱康明R-680-8发动机,1940年初,单发,NULL,NULL,720千米,{'$oid': '5cc930e3831b973d657f115c'},NULL,http://images.huanqiu.com/sarons/2013/08/31341dd8b418a98fc768fe2b6c9bcc0d.jpg,3.13米,1007千克,NULL,美国,亚音速,教练机,,美国斯巴达人飞机制造公司,双翼,2人,7.4米,1310千克
