_id,图片,口径,炮口初速,类型,名称,总重,简介,全长,研发单位,型号,最大射程,大类,炮管长度,编辑评分,产国,研发时间
{'$oid': '5cc93329831b973d657f1faf'},http://images.huanqiu.com/sarons/2013/11/2e56bd9ef02fd22ef119b77fd5b63ff4.jpg,227毫米,NULL,火箭炮,“雷霆2000”火箭炮,NULL,"
“雷霆2000”火箭炮，采用MK30或Mk45型火箭弹，可配置钢珠高爆弹头或群子弹头，还装备有GPS定位系统和惯性导引系统，射击精度高。
",NULL,NULL,MK30或Mk45型火箭弹,45000米,火炮,NULL,NULL,中国,1997年
{'$oid': '5cc93329831b973d657f1fb0'},http://images.huanqiu.com/sarons/2013/11/5001e87753563f6ca8a14ae66acc28ca.jpg,130毫米,NULL,火箭炮,75式火箭炮 ,16500千克,"
75式火箭炮是日本于1965年研制的一种130mm30管自行火箭炮。驾驶舱顶部安装一挺大口径机枪，用于自卫和防空。
",NULL,三菱重工业,NULL,15000米,火炮,NULL,NULL,日本,1970年
{'$oid': '5cc93329831b973d657f1fb1'},http://images.huanqiu.com/sarons/2013/11/2a5433e34157eb43ef8e1ffb7b7781a4.jpg,107毫米,NULL,火箭炮,81式107毫米轮式自行火箭炮,NULL,"
81式107毫米12管火箭炮于1980年研制，1982年设计定型并投入批量生产，装备部队。
",4510毫米,NULL,NULL,8500米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93329831b973d657f1fb2'},,122毫米,NULL,火箭炮,81式122毫米轮式自行火箭炮,15532千克,"
81式122毫米40管火箭炮是仿制前苏联BM-21火箭炮的产品，1982年设计定型，是目前我军的主力火箭炮。
",7120毫米,NULL,NULL,20580米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93329831b973d657f1fb3'},http://images.huanqiu.com/sarons/2013/11/14117c26d46f6ce230c6085b6aea4168.jpg,130毫米,NULL,火箭炮,63式130毫米轮式自行火箭炮,5570千克,"
63式130毫米19管火箭炮于1963年定型，大量装备部队，曾在79年中越战争中使用。
",5400毫米,NULL,NULL,10120米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93329831b973d657f1fb4'},,NULL,NULL,火箭炮,M270式火箭炮,24950千克,"
M270式火箭炮是美国研制的一种多管火箭炮。该型火箭炮由履带发射车、发射箱和火控系统3大部分组成。
",6850毫米,NULL,M77式子弹,640000米,火炮,NULL,NULL,美国,1977年
{'$oid': '5cc9332a831b973d657f1fb5'},http://images.huanqiu.com/sarons/2013/11/061cc744f072faa8f14ca3f0ad8daa5a.jpg,107毫米,NULL,火箭炮,63式107毫米牵引式火箭炮,613千克,"
中国的63式107毫米火箭筒看起来有些简陋，粘上泥土后竟然分不清是兵器还是农具，和高科技、数字化更粘不上边。尽管其貌不扬，但在其服役期间的40年中，却屡屡创出另人难以置信的奇迹。
",2600毫米,八零三厂,NULL,8500米,火炮,NULL,NULL,中国,20世纪50年代末
{'$oid': '5cc9332a831b973d657f1fb6'},,122毫米,NULL,火箭炮, “菲洛斯”30式122毫米火箭炮,NULL,"
意大利斯尼亚BPD公司研制的口径122毫米的40管自行式火箭炮。1987年装备意大利陆军师属火箭炮团。主要用于大面积杀伤人员、攻击装甲车辆及摧毁固定和半固定军事设施。
",3700毫米,意大利斯尼亚BPD公司,NULL,33500米,火炮,NULL,NULL,意大利,NULL
{'$oid': '5cc9332a831b973d657f1fb7'},,220毫米,NULL,火箭炮,“飓风”220毫米火箭炮,22750千克,"
苏联研制的口径220毫米的16管自行式火箭炮。20世纪70年代中期研制，1977年装备苏联陆军集团军以上所属炮兵部队。用于歼灭集结的有生力量，压制集群坦克及装甲车辆等目标。
",5000毫米,NULL,NULL,40000米,火炮,NULL,NULL,苏/俄,20世纪70年代中期
{'$oid': '5cc9332a831b973d657f1fb8'},,132毫米,NULL,火箭炮, “喀秋莎”火箭炮,NULL,"
苏联沃罗涅日州“共产国际”兵工厂生产的滑轨式自行式火箭炮。代号BM-13。当时为了保密，未公开火箭炮的正式名称，只将该炮生产工厂俄文名称的第一个字母“K”（读音喀）刻印在发射架上，炮兵部队便用俄罗斯少女常用的名字“喀秋莎”作为该炮的代名。

20世纪30年代末期研制，1941年6月苏德战争爆发后，苏联大量生产此炮，并装备苏军预备炮兵部队。主要用于压制面目标，歼灭集结步兵，摧毁浅近纵深内的技术兵器。在第二次世界大战中，该炮多次用于苏德战场。中国在50年代初期引进，装备炮兵师，在抗美援朝战争中发挥了重要作用。
",NULL,苏联沃罗涅日州“共产国际”兵工厂,NULL,8600米,火炮,NULL,NULL,苏/俄,20世纪30年代末期
{'$oid': '5cc9332a831b973d657f1fb9'},http://images.huanqiu.com/sarons/2013/11/8a45f9d967512875f49302d4fb2dc457.jpg,273毫米,NULL,火箭炮,83式273毫米履带式自行火箭炮,17541千克,"
83式273毫米履带式自行火箭炮于1983年设计定型，并投入小批量生产，供部队试用。发射架为箱式桁架结构。
",6190毫米,NULL,NULL,40000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc9332a831b973d657f1fba'},http://images.huanqiu.com/sarons/2013/11/e9e68c518d9305151cd076045fde6f1b.jpg,122毫米,NULL,火箭炮,“拉尔斯”火箭炮,NULL,"
“拉尔斯”火箭炮是德国于1965年开始研制的一种110mm36管火箭炮。
",NULL,NULL,NULL,14000米,火炮,NULL,NULL,德国,1965年
{'$oid': '5cc9332b831b973d657f1fbb'},,200毫米,NULL,火箭炮,BMD-20 200毫米火箭炮,8700千克,"
苏联研制的口径200毫米的4管自行式火箭炮。是苏联研制的第一种重型火箭炮。20世纪50年代初装备苏联陆军，并出口古巴和朝鲜等国。主要用于对面目标进行压制射击。50年代中期被淘汰。
",7200毫米,NULL,NULL,19500米,火炮,NULL,NULL,苏/俄,20世纪50年代初
{'$oid': '5cc9332b831b973d657f1fbc'},http://images.huanqiu.com/sarons/2014/03/27064b3705bc67ff160bba491edc559f.jpg,160毫米,NULL,火箭炮, LAR-160式160毫米火箭炮,NULL,"
以色列军事工业公司研制的口径160毫米多管火箭炮。有自行式和牵引式两种。自行式火箭炮于1982年装备以色列陆军，并在对黎巴嫩作战中首次使用。1986年又发展一种轻型牵引式火箭炮。主要用于压制和摧毁装甲部队、机械化部队以及固定和半固定军事设施。
",3460毫米,以色列军事工业公司,NULL,30000米,火炮,NULL,NULL,以色列,NULL
{'$oid': '5cc9332b831b973d657f1fbd'},http://images.huanqiu.com/sarons/2013/11/768c992e07d71f2cd4c74bcf71ef784a.jpg,120毫米,NULL,火箭炮,PF-98式120毫米反坦克火箭,6.28千克,"
PF98式120毫米反坦克火箭，一经出现就受到各方面的重视。目前该武器已经在部队部署，以其强大的破甲威力和完备的火控系统在中国重型武器中占据重要地位。
",NULL,NULL,NULL,1800米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc9332b831b973d657f1fbe'},http://images.huanqiu.com/sarons/2013/11/35fcc787376bf550d258c5b27953031d.jpg,130毫米,NULL,火箭炮,85式130毫米自行火箭炮,14500千克,"
85式130亳米履带式自行火箭炮，则由30管82式130亳米多管火箭炮发射器与885式装甲运兵车的底盘相结合而成，具有一定的装甲防护能力。
",NULL,NULL,63式130毫米爆破杀伤火箭弹,15000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc9332b831b973d657f1fbf'},,93毫米,NULL,火箭炮,PF97式93毫米单兵云爆火箭,39千克,"
PF97式93毫米单兵云爆火箭是一种仿制的云爆武器，1996年开始在俄罗斯“什米尔－2”单兵云爆弹技术进行国产化研制，2000年定型。所采用的材料及工艺全部实现了国产化，性能完全达到“什米尔－2”的水平，并且有些技术指标超过了“什米尔－2”的指标要求。
",920毫米,NULL,NULL,850米,火炮,NULL,NULL,苏/俄,1996年
{'$oid': '5cc9332b831b973d657f1fc0'},http://images.huanqiu.com/sarons/2013/11/ec492365023ba762d6d5b85177b7c14c.jpg,107毫米,NULL,火箭炮,81式107毫米轮式自行火箭炮,NULL,"
81式107毫米轮式自行火箭炮，于1980年研制，1982年设计定型并投入批量生产。
",4510毫米,NULL,NULL,8500米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc9332c831b973d657f1fc1'},,140毫米,687米/秒,火箭炮,“特鲁埃尔”3式140毫米火箭炮,76千克,"
西班牙圣·巴巴拉军事工业公司研制的口径140毫米的40管自行式火箭炮。20世纪80年代初期开始研制，1985年装备西班牙陆军。主要用于对集群目标实施饱和射击。
",3470毫米,西班牙圣·巴巴拉军事工业公司,NULL,28000米,火炮,NULL,NULL,西班牙,20世纪80年代初期
{'$oid': '5cc9332c831b973d657f1fc2'},,122毫米,NULL,火箭炮,“普利玛”122毫米火箭炮,13900千克,"
苏联研制的口径122毫米的50管自行式火箭炮。20世纪80年代初开始研制，1987年装备陆军师一级。每个火箭炮营装备12门，战时可扩大到18门。
",NULL,NULL,NULL,20500米,火炮,NULL,NULL,苏/俄,20世纪80年代初
{'$oid': '5cc9332c831b973d657f1fc3'},,70毫米,NULL,火箭炮,LAU-97式70毫米火箭炮,1200千克,LAU-97式70毫米火箭炮是比利时泽布勒赫铸造厂研制的口径70毫米的40管轻型火箭炮。分牵引式和自行式两种。1984年曾进行过射击表演，装备团一级部队，用于对面目标设计。,NULL,比利时泽布勒赫铸造厂,NULL,10000米,火炮,NULL,NULL,比利时,1997年
{'$oid': '5cc9332c831b973d657f1fc4'},http://images.huanqiu.com/sarons/2014/03/238d38ed282b1dc213625818ff21c101.jpg,122毫米,NULL,火箭炮,RM70 122毫米火箭炮,24000千克,"
RM70 122毫米火箭炮是捷克和斯洛伐克生产的口径122毫米的40管自行式火箭炮。是在苏联BM-21式多管火箭炮基础上改进而成。1972年在捷克、斯洛伐克阅兵上首次出现，西方称为M-1972式，装备捷克、斯洛伐克陆军摩托化步兵师和坦克师。主要用于对大面积目标实施集中射击。曾出口德国和利比亚等国。
",NULL,NULL,NULL,20380米,火炮,NULL,NULL,捷克,NULL
{'$oid': '5cc9332c831b973d657f1fc5'},,127毫米,NULL,火箭炮,“阿斯特罗斯”Ⅱ式火箭炮,68千克,"
“阿斯特罗斯”Ⅱ式火箭炮是巴西宇航工业公司研制的自行式火箭炮。是一种炮兵面饱和火箭攻击系统。可配用3中发射箱。20世纪80年代开始研制，1983年装备巴西陆军师属炮兵，可攻击9~60千米纵深内的炮阵地和群集目标。曾出口利比亚、伊拉克、沙特阿拉伯等国。伊拉克军队在海湾战争中曾使用过此火箭炮。
",NULL,巴西宇航工业公司,NULL,30000米,火炮,3900毫米,NULL,巴西,20世纪80年代
{'$oid': '5cc9332d831b973d657f1fc6'},,300毫米,NULL,火箭炮, “旋风”300毫米火箭炮,43100千克,"
苏联“合金”国家科研生产联合体研制和生产的口径300毫米的12管自行式火箭炮。又译为“龙卷风”，代号为9K58或BM－30。1983年定型，1987年装备苏军师属炮兵部队。1990年2月在吉隆坡亚洲防务展览会上首次展出。是90年代装备部队的口径最大的火箭炮。用于攻击对面目标，歼灭有生力量，摧毁军事设施。
",NULL,苏联“合金”国家科研生产联合体,NULL,100000米,火炮,NULL,NULL,苏/俄,NULL
