_id,战斗射速,图片,参战情况,口径,类型,数量,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,大类,弹匣容弹量,关注度,发射性能,产国
{'$oid': '5cc9326f831b973d657f1b65'},NULL,http://images.huanqiu.com/sarons/2014/01/ede3cfc995a105f3f3acc6d6bd6b658a.jpg,NULL,120毫米,火箭筒,NULL,PF98式120毫米反坦克火箭,NULL,,6.28千克,400米,1191毫米,NULL,枪械与单兵,NULL,NULL,NULL,中国
{'$oid': '5cc9326f831b973d657f1b66'},NULL,http://images.huanqiu.com/sarons/2013/11/797a306c13faa0549b1a9ea827e76dbe.jpg,美国入侵巴拿马、海湾战争、索马里内战、2001年阿富汗战争、伊拉克战争、墨西哥毒品战争,84毫米,火箭筒,NULL,AT4反坦克火箭筒,1960年,"
AT4（或AT-4）是瑞典绅宝波佛斯动力公司（Saab Bofors Dynamics）生产的一种单发式单兵反坦克武器，它取代了美国和NATO武器库内的M72 LAW火箭弹。在AT4的销售取得了颇为显著的成功，曾被广泛使用于美国入侵巴拿马、海湾战争、索马里内战、2001年阿富汗战争、伊拉克战争以及墨西哥毒品战争中。使它成为世界上最为普遍的反坦克武器之一。而AT4的名称，则来自于弹头口径尺寸(84mm)的英文读音“Eighty-four”。
",6.7千克,300米,1016毫米,瑞典绅宝波佛斯动力公司,枪械与单兵,NULL,NULL,NULL,瑞典
{'$oid': '5cc9326f831b973d657f1b67'},NULL,,NULL,90毫米,火箭筒,NULL,C-90-C式90毫米火箭筒,20世纪80年代,"
C-90-C式90毫米火箭筒是西班牙英斯塔拉扎公司研制的一种一次性使用的火箭筒。20世纪80年代中期开始装备西班牙军队。
",1千克,350米,840毫米,西班牙英斯塔拉扎,枪械与单兵,NULL,NULL,NULL,西班牙
{'$oid': '5cc9326f831b973d657f1b68'},NULL,,NULL,72.5毫米,火箭筒,NULL,苏联RPG-26式72.5毫米火箭筒,20世纪80年代中期,"
苏联在RPG－22式72毫米火箭筒的基础上研制的一种火箭筒。20世纪80年代中期正式装备摩托化步兵、空降兵和特种部队。主要用于击毁坦克、自行火炮、步兵战车、装甲输送车、野战工事以及建筑物等。
",2.9千克,250米,770毫米,NULL,枪械与单兵,NULL,NULL,NULL,苏/俄
{'$oid': '5cc9326f831b973d657f1b69'},NULL,,NULL,70毫米,火箭筒,NULL,“丘辟特”ACL-300式70毫米火箭筒,NULL,,12千克,330米,1200毫米,法国吕歇尔公司,枪械与单兵,NULL,NULL,NULL,法国
{'$oid': '5cc93270831b973d657f1b6a'},NULL,,NULL,40毫米,火箭筒,NULL,苏联RPG-2式40毫米火箭筒,20世纪50年代,"
苏联在德国“铁拳”100式火箭筒基础上研制的一种火箭筒。是20世纪50年代苏军班用制式反坦克武器。曾批量生产，出口华约、非洲以及东南亚等许多国家。20世纪50年代初，中国的仿制型称56式40毫米火箭筒，并装备中国军队。
",2.83千克,150米,1194毫米,NULL,枪械与单兵,NULL,NULL,NULL,苏/俄
{'$oid': '5cc93270831b973d657f1b6b'},NULL,,NULL,92毫米,火箭筒,NULL,FT5式92毫米火箭筒,1989年,"
FT5式92毫米火箭筒是南非军械制造公司研制的一种火箭筒。1989年开始装备南非军队，并出口其他一些国家。
",5.4千克,400米,1618毫米,南非军械制造公司,枪械与单兵,NULL,NULL,NULL,南非
{'$oid': '5cc93270831b973d657f1b6c'},NULL,,朝鲜战争,60毫米,火箭筒,NULL,美国“巴祖卡”火箭筒,1942年,"
1942年美国研制的一种便携式反坦克火箭筒。它是世界上第一种用于实战的反坦克火箭筒。因其形状与乐器巴祖管号十分相似，故被土兵戏称为“巴祖卡”。1942年5月投产，6月中旬开始装备美军。在第二次世界大战后期曾大量生产并用于战场。朝鲜战争时，由于坦克装甲得到加强，该火箭筒对坦克已无能为力，遂被M20式88.9毫米火箭筒取代。
",6.6千克,270米,1350毫米,NULL,枪械与单兵,NULL,NULL,NULL,美国
{'$oid': '5cc93270831b973d657f1b6d'},NULL,,NULL,44毫米,火箭筒,NULL,南斯拉夫M57式44毫米火箭筒,20世纪50年代后期,"
南斯拉夫20世纪50年代后期在德国“铁拳”44式火箭筒的基础上研制的一种火箭筒。1957年开始大量装备南斯拉夫军队，直至80年代初才逐步被RBR－M80式和M79式火箭筒取代。主要用于毁伤坦克及其他装甲车辆，也用于摧毁碉堡、工事等。
",10.6千克,400米,960毫米,NULL,枪械与单兵,NULL,NULL,NULL,前南斯拉夫
{'$oid': '5cc93270831b973d657f1b6e'},500发/分,,NULL,105毫米,火箭筒,NULL,苏联RPG-29式105毫米火箭筒,20世纪80年代末,"
苏联20世纪80年代末研制的一种便携式反坦克火箭筒。1992年开始生产，1993年正式装备俄罗斯陆军。
",20千克,NULL,1000毫米,NULL,枪械与单兵,NULL,NULL,NULL,苏/俄
{'$oid': '5cc93270831b973d657f1b6f'},NULL,,NULL,70毫米,火箭筒,NULL,“黄蜂”58式70毫米火箭筒,1989年,,3千克,250米,800毫米,法国地面武器工业集团,枪械与单兵,4发,NULL,NULL,法国
{'$oid': '5cc93270831b973d657f1b70'},NULL,,NULL,93毫米,火箭筒,NULL,苏联RPO-A式93毫米火箭筒,20世纪70年代,"
苏联20世纪70年代研制的一种火箭筒。也称为步兵火箭喷火器。主要用于摧毁掩体、野战工事、城镇壁垒、军事器材、轻型装甲车和暴露的有生目标。70年代末装备苏军。
",12千克,600米,920毫米,NULL,枪械与单兵,NULL,NULL,NULL,苏/俄
{'$oid': '5cc93270831b973d657f1b71'},NULL,,NULL,64毫米,火箭筒,NULL,苏联RPG-18式64毫米火箭筒,20世纪70年代末,"
苏联于20世纪70年代末研制的一种一次性使用的轻型反坦克火箭筒。70年代末开始装备苏联摩托化步兵、空降部队和其他华约国家的军队。具有体积小、重量轻、操作简便、使用灵活等特点。
",1.5千克,200米,1050毫米,NULL,枪械与单兵,NULL,NULL,NULL,苏/俄
{'$oid': '5cc93270831b973d657f1b72'},NULL,,NULL,90毫米,火箭筒,NULL,南斯拉夫M79式90毫米火箭筒,20世纪70年代末,"
南斯拉夫20世纪70年代末研制的一种双筒对接式、局部抛弃型火箭筒。用于弥补M57式44毫米火箭筒威力的不足，并与M80式64毫米火箭筒组成反装甲系列。该火箭筒发射筒较长，火箭弹的初速较高，直射距离较远，但机动性能不十分理想。发射时筒尾声、光、烟较大，虽然弹径较大，破甲厚度有所增加，但仍对付不了80年代的主战坦克。
",11.2千克,350米,1910毫米,南斯拉夫,枪械与单兵,NULL,NULL,NULL,前南斯拉夫
{'$oid': '5cc93271831b973d657f1b73'},NULL,,NULL,94毫米,火箭筒,NULL,“劳”80式94毫米火箭筒,20世纪70年代后期至80年代初,"
“劳”80式94毫米火箭筒是英国亨廷工程有限公司于20世纪70年代后期至80年代初研制的一种一次性使用的火箭筒。亦称“劳”94式火箭筒。1987年装备英国军队。
",9.5千克,300米,1500毫米,亨廷工程有限公司,枪械与单兵,NULL,NULL,NULL,英国
{'$oid': '5cc93271831b973d657f1b74'},NULL,,NULL,80毫米,火箭筒,NULL,“弗格里”80毫米火箭筒,1979年,,18千克,500米,1800毫米,NULL,枪械与单兵,NULL,NULL,NULL,意大利
{'$oid': '5cc93271831b973d657f1b75'},NULL,,NULL,82毫米,火箭筒,NULL,B-300式82毫米火箭筒,NULL,,8千克,400米,1350毫米,NULL,枪械与单兵,NULL,NULL,NULL,以色列
{'$oid': '5cc93271831b973d657f1b76'},NULL,,NULL,64毫米,火箭筒,NULL,南斯拉夫RBR-M80式64毫米火箭筒,20世纪80年代初,"
南斯拉夫20世纪80年代初在苏联RPG－18式和美国M72式火箭筒的基础上研制的一种一次性使用的轻型反坦克火箭筒。曾大量装备南斯拉夫军队。该火箭筒发射时后喷燃气形成的危险区较大，噪音较大，射手需戴耳塞。
",3千克,250米,1260毫米,NULL,枪械与单兵,NULL,NULL,NULL,前南斯拉夫
{'$oid': '5cc93271831b973d657f1b77'},NULL,,NULL,81毫米,火箭筒,NULL,“前哨”81毫米火箭筒,1980年,,6千克,500米,760毫米,NULL,枪械与单兵,NULL,NULL,NULL,以色列
{'$oid': '5cc93271831b973d657f1b78'},NULL,,NULL,40毫米,火箭筒,NULL,40毫米3管火箭筒,NULL,"
罗马尼亚于20世纪90年代初研制的一种组合式火箭筒，主要用于烧毁易燃目标和烧伤有生目标。
",16.2千克,NULL,948毫米,NULL,枪械与单兵,NULL,NULL,NULL,罗马尼亚
{'$oid': '5cc93271831b973d657f1b79'},NULL,,NULL,44毫米,火箭筒,NULL,“长矛”44毫米火箭筒,1973年,,10.3千克,300米,1162毫米,德国狄那米特-诺贝尔公司,枪械与单兵,NULL,NULL,NULL,德国
{'$oid': '5cc93271831b973d657f1b7a'},NULL,,NULL,84毫米,火箭筒,NULL,“卡尔•古斯塔夫”M2式84毫米火箭筒,20世纪40年代,“卡尔·古斯塔夫”M2式84毫米火箭筒是瑞典FFV军械公司研制的一种火箭筒。基本型于20世纪40年代研制成功，改进后的M2式1958年装备瑞典部队，并出口30多个国家。,15.4千克,400米,1130毫米,瑞典FFV军械公司,枪械与单兵,NULL,NULL,NULL,瑞典
{'$oid': '5cc93271831b973d657f1b7b'},NULL,,NULL,66毫米,火箭筒,NULL,M202式66毫米4管火箭筒,1972年,"
M202式66毫米4管火箭筒是美国塔利防御系统公司和埃齐伍德兵工厂1972年研制的一种可多次使用的四联装肩射式火箭筒。1975年装备美国陆军和海军陆战队。
",5.2千克,750米,635毫米,美国塔利防御系统公司和埃齐伍德兵工厂,枪械与单兵,NULL,NULL,NULL,美国
{'$oid': '5cc93272831b973d657f1b7c'},NULL,,NULL,60毫米,火箭筒,NULL,“铁拳”3式60毫米火箭筒,1990年,,9千克,500米,1350毫米,德国狄那米特-诺贝尔公司,枪械与单兵,NULL,NULL,NULL,德国
{'$oid': '5cc93272831b973d657f1b7d'},NULL,,NULL,NULL,火箭筒,NULL,“拳头弹”火箭筒,第二次世界大战期间,"
德国第二次世界大战期间研制的一种反坦克火箭筒，曾装备德国军队。有I型和II型两种结构，I型亦称“格雷琴”，II型亦称“铁拳”。
",NULL,45米,806毫米,NULL,枪械与单兵,NULL,NULL,NULL,德国
{'$oid': '5cc93272831b973d657f1b7e'},NULL,,NULL,84毫米,火箭筒,NULL,“卡尔•古斯塔夫”M3式84毫米火箭筒,20世纪80年代中后期,"
“卡尔·古斯塔夫”M3式84毫米火箭筒是瑞典FFV军械公司在“卡尔·古斯塔夫”M2式和M2-550式84毫米火箭筒的基础上研制的一种火箭筒。20世纪80年代中后期开始装备瑞典部队，并出口丹麦、美国等国家。
",15.5千克,NULL,1130毫米,瑞典FFV军械公司,枪械与单兵,NULL,NULL,NULL,瑞典
{'$oid': '5cc93272831b973d657f1b7f'},NULL,,NULL,82毫米,火箭筒,NULL,比利时RL-83式83毫米火箭筒 ,20世纪50年代,"

",8.75千克,500米,1700毫米,比利时麦卡公司,枪械与单兵,NULL,NULL,NULL,比利时
{'$oid': '5cc93272831b973d657f1b80'},NULL,,NULL,112毫米,火箭筒,NULL,法国阿皮拉斯112mm火箭筒,1982年,,9千克,600米,180毫米,法国马特拉-马努汗防务公司,枪械与单兵,NULL,NULL,NULL,法国
{'$oid': '5cc93272831b973d657f1b81'},NULL,,NULL,88.9毫米,火箭筒,NULL,M65式88.9毫米火箭筒 ,1961年,M65式88.9毫米火箭筒是西班牙英斯塔拉扎公司研制的一种火箭筒。1961年装备西班牙陆军，并被13个西方国家所采用。,6千克,NULL,856毫米,西班牙英斯塔拉扎公司,枪械与单兵,NULL,NULL,NULL,西班牙
{'$oid': '5cc93272831b973d657f1b82'},NULL,,NULL,80毫米,火箭筒,NULL,法国ACL-APX式80毫米火箭筒,1976年,,16.6千克,580米,1400毫米,法国GIAT公司,枪械与单兵,NULL,NULL,NULL,法国
{'$oid': '5cc93272831b973d657f1b83'},NULL,,NULL,89毫米,火箭筒,NULL,法国LRAC式89毫米火箭筒,1970年,,8.2千克,600米,1600毫米,法国吕歇尔公司,枪械与单兵,NULL,NULL,NULL,法国
{'$oid': '5cc93272831b973d657f1b84'},NULL,,NULL,68毫米,火箭筒,NULL,捷克RPG-75式68毫米火箭筒 ,1975年,,3.1千克,300米,890毫米,NULL,枪械与单兵,NULL,NULL,NULL,前捷克斯洛伐克
{'$oid': '5cc93273831b973d657f1b85'},NULL,,NULL,66毫米,火箭筒,NULL,M72式66毫米火箭筒 ,1962年,M72式66毫米火箭筒是美国赫西东方公司研制的一种火箭筒。1962年投产，1964年开始装备美军，1971年停产。,2.17千克,1000米,638毫米,美国赫西东方公司,枪械与单兵,NULL,NULL,NULL,美国
{'$oid': '5cc93273831b973d657f1b86'},NULL,,NULL,112毫米,火箭筒,NULL,法国“阿帕杰克斯”112毫米智能火箭筒,1989年,,12千克,NULL,1000毫米,法国马特拉-马努汗防务公司和英国航空航天公司,枪械与单兵,NULL,NULL,NULL,英国
{'$oid': '5cc93273831b973d657f1b87'},NULL,,NULL,88.9毫米,火箭筒,NULL,M20式88.9毫米火箭筒,第二次世界大战后,"
M20式88.9毫米火箭筒是美国于第二次世界大战后研制的一种火箭筒。在美国M9A1式60毫米火箭筒的基础上研制而成，1950年装备美军。曾出口西方20多国家，意大利、巴西、马来西亚等国还曾仿制，1962年逐渐被M72火箭筒取代。
",9.45千克,200米,803毫米,NULL,枪械与单兵,NULL,NULL,NULL,美国
