_id,图片,类型,产国,名称,弹长,简介,研发单位,弹重,引信,大类,弹径,制导系统,最大速度,关注度,射程,研制时间,翼展
{'$oid': '5cc933b0831b973d657f22a1'},,舰舰导弹,中国,海鹰-3（HY-3/C-301）反舰导弹,9.85米,"
海鹰-3岸基反舰导弹，具备持续超低空超音速飞行能力，具有很强的突防能力和巨大的威力，适于打击驱逐舰以上的大中型水面舰艇，是20世纪90年代一种尖端有效的全天候反舰武器。在国内的编号为HY-3“鹰击-3“，而出口编号为C-301。北约代号CSSC-6""Sawhorse""。
",中国海鹰机电技术研究院,1850千克,NULL,导弹武器,0.76米,令制导，末制导雷达为单脉冲体制,2252千米/小时,NULL,130千米,1970年,2.24米
{'$oid': '5cc933b1831b973d657f22a2'},http://images.huanqiu.com/sarons/2013/11/1215c801b42c987063e5e50ef0e91c62.jpg,舰舰导弹,中国,鹰击-7(YJ-1/C-701)轻型反舰导弹,2.507米,,中国精密机械进出口公司,100千克,NULL,导弹武器,NULL,自控及电视捕控指令制导方式,NULL,NULL,300千米,20世纪60年代,0.587米
{'$oid': '5cc933b1831b973d657f22a3'},,舰舰导弹,中国,鹰击-91(YJ-91/C-901)高速反辐射/反舰导弹,4.7米,"
鹰击-91型高速反辐射/反舰导弹，俄KH-31P导弹仿制型，上世纪90年代中国从俄罗斯购买了数量不详的KH-31P导弹，并在俄的帮助下仿制KH-31P导弹，2007年仿制成功，导弹编号为鹰击-91。
",NULL,NULL,NULL,导弹武器,NULL,NULL,4287.7千米/小时,NULL,50千米,2007年,NULL
{'$oid': '5cc933b1831b973d657f22a4'},,舰舰导弹,法国,飞鱼式反舰导弹（Exocet),4.7米,"
飞鱼式反舰导弹（Exocet)是一款由法国研发制造的反舰导弹，拥有舰射、潜射、空射等多种不同的发射方式，而除了潜射型版本外，飞鱼导弹全可以接近音速在接近水面5米不到的高度飞行但不接触水面。飞鱼导弹在1980年代开始正式服役后，历经过许多实战经验，是一种整体性能评价优异的反舰导弹系统。
",法国宇航公司,670千克,NULL,导弹武器,0.348米,惯性导引+主动雷达导引,378千米/小时,NULL,70千米,1967年,1.1米
{'$oid': '5cc933b1831b973d657f22a5'},,舰舰导弹,中国,长剑-10/东海-10巡航导弹,8.3米,"
长剑10，最初立项时的技术指标是装备海军岸舰导弹部队，在未来的台海冲突中起到阻止美日介入的目的，所以以海军型号为优先的发展方向，命名为“东海10”；后来由于技术原因调整了技术指标，转而以陆基巡航导弹为发展方向，故改名为“长剑10”。 
",中国航天科工集团第三研究院,25000千克,NULL,导弹武器,0.68米,复合制导,255千米/小时,NULL,2500千米,1990年-2000年,NULL
{'$oid': '5cc933b1831b973d657f22a6'},,舰舰导弹,苏/俄,3M-80MBE“白蛉”超音速反舰导弹 ,NULL,"
白蛉反舰导弹，即P-270 Moskit（俄语：П-270""Москит""）是俄罗斯的超音速冲压喷气发动机动力的反舰导弹。俄罗斯GRAU（俄罗斯联邦国防部导弹与炮兵总局）代号3M80，北约代号为SS-N-22“日炙”，该导弹系统是由俄罗斯彩虹机械制造设计局在20世纪70年代设计生产，为SS-N-9“海妖”导弹的后继型。
",俄罗斯彩虹设计局,NULL,NULL,导弹武器,0.76米,NULL,2900千米/小时,NULL,450千米,20世纪70年代,1.3米
{'$oid': '5cc933b1831b973d657f22a7'},,舰舰导弹,中国,C802A反舰导弹（鹰击82）,NULL,"
C802A是鹰击82反舰导弹的出口型号。是一种以涡喷发动机为动力的高亚音速、掠海飞行的反舰导弹武器系统。具有体积小、重量轻、射程远、攻击区域宽、突防和抗干扰能力强、命中精度高、机动性好、操作方便、易于维护、发射后不管等特点。它可以装载在舰艇、岸防阵地或飞机上，对敌方的驱逐舰、护卫舰、登陆舰艇实施舰舰、岸舰和空舰超视距攻击。
",NULL,3000千克,NULL,导弹武器,NULL,NULL,NULL,NULL,近程导弹,NULL,NULL
{'$oid': '5cc933b2831b973d657f22a8'},,舰舰导弹,中国,鹰击801反舰导弹,5.814米,"
鹰击801反舰导弹是我国研制的一种高音速、超低空掠海飞行的多用途反舰导弹，它可以多联装载在各种类型的驱逐舰、护卫舰、常规潜艇、快艇上，也能装在轰炸机、强击机上从空中发射。主要用于攻击护卫舰、驱逐舰等中型以上水面舰艇，壹枚命中即可重创或摧毁目标，也能打击快艇一类的小型水面舰艇。
",NULL,NULL,NULL,导弹武器,0.36米,NULL,NULL,NULL,42千米,1979年,1.18米
{'$oid': '5cc933b2831b973d657f22a9'},,舰舰导弹,中国,鹰击-12(YJ-12/CM-400AKG)超音速反舰导弹,9米,"
2000年珠海航展上，“鹰击”-12超音速反舰导弹的模型首次亮相，它采用双进气口冲压喷气发动机设计方案，但是从最新的照片来看，这段导弹改成了使用四进气口冲压喷气发动机，似乎是2006年到2007年中国从俄罗斯引进的KH-31反舰导弹的升级版。
",601厂，611厂和海军研究院，航天三院,2000千克,NULL,导弹武器,1.2米,NULL,7千米/小时,NULL,250千米,2000年,4.2米
{'$oid': '5cc933b2831b973d657f22aa'},http://images.huanqiu.com/sarons/2013/11/7d042d757f501373fd2fc3347bdde326.jpg,舰舰导弹,中国,雄风-1舰舰导弹,4.76米,"
“雄风”系列反舰导弹是我国台湾目前的主要制海武器之一，普遍装备于大中小型作战舰艇上。该导弹的研制始于上世纪70年代末期，由中山科学研究院研制，共分I/II/III型。雄风-1导弹则是以天使导弹为蓝本反向工程改良制造的反舰导弹。
",中山科学研究院,NULL,NULL,导弹武器,NULL,制导雷达为RTN-10x或hr-76c,796千米/小时,NULL,8千米,1975-1978年,NULL
{'$oid': '5cc933b2831b973d657f22ab'},,舰舰导弹,中国,C-704反舰导弹 ,NULL,,中国航天科工三院,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,近程导弹,20世纪70年代,NULL
{'$oid': '5cc933b2831b973d657f22ac'},,舰舰导弹,美国,UUN-125“海长矛”潜潜导弹,5.8米,,美国波音公司,1034千克,NULL,导弹武器,0.406米,惯性制导,NULL,NULL,100千米,1983年,1.21米
{'$oid': '5cc933b2831b973d657f22ad'},http://images.huanqiu.com/sarons/2013/11/37d9bd4b3266c0cb51ade30fcf13a727.jpg,舰舰导弹,中国,鹰击803反舰导弹,6.885米,"
YJ-83导弹又称为C-803，是一种低超音速掠海反舰导弹，被称为 “海上屠夫”，由解放军海防导弹研究院在1999年10月1日50周年国庆阅兵大典前研制成功，并在国庆阅兵时以实体亮相。它也被解放军称为是“争气弹”。
",NULL,NULL,NULL,导弹武器,0.36米,NULL,NULL,NULL,250千米,1999年10月,NULL
{'$oid': '5cc933b2831b973d657f22ae'},,舰舰导弹,中国,鹰击802（C-802）反舰导弹武器系统,6.392米,"
鹰击802（C802）反舰导弹武器系统是中国研制的岸对舰机动式导弹武器系统，为C801导弹武器系统的改进型号，与C801十分相似，但增加了长度，其无线电测高仪的性能更加完善，战斗部的威力、机动性能等都有所提高。C802是一种中远程全天候多用途反舰导弹武器系统，可以进行舰载、岸基和机载发射及掠海飞行，巡航段飞行高度为20-30米，在接近目标时飞行。
",中国海鹰机电技术研究院,165千克,NULL,导弹武器,NULL,NULL,NULL,NULL,120千米,20世纪70年代中期,1.22米
{'$oid': '5cc933b3831b973d657f22af'},http://images.huanqiu.com/sarons/2013/11/fb696b6d3b53a8b285f9c857d4e22fe1.jpg,舰舰导弹,意大利,意大利“火星”反舰导弹,4.7米,"
火星导弹最初是海上凶手1舰对舰导弹改型的空对舰导弹，1969年开始研制，可能没有装备，它只是一种为后继型号的试验型号。
",NULL,300千克,NULL,导弹武器,0.206米,NULL,NULL,NULL,25千米,1969年,NULL
{'$oid': '5cc933b3831b973d657f22b0'},,舰舰导弹,苏/俄,P-800“红宝石”（SS-N-26）反舰导弹 ,8.9米,"
P-800“红宝石”是俄逻斯切洛梅设计局设计用来取代P-270“蚊子”和P-700“花岗岩”的超音速反舰导弹，是P-80导弹的冲压发动机版，北约代号为SS-N-26。现在使用国包括叙利亚（两套发射器，72枚），越南。俄罗斯和印度以它为蓝本设计出了布拉莫斯导弹。
",NULL,3000千克,NULL,导弹武器,0.67米,NULL,2815千米/小时,NULL,300千米,NULL,NULL
{'$oid': '5cc933b3831b973d657f22b1'},,舰舰导弹,法国,特塞奥（Teseo ）舰舰导弹,4.46米,,法国MBDA公司,NULL,NULL,导弹武器,0.46米,惯性+超视距修正制导+末端主动雷达制导,NULL,NULL,180千米,1969年,1.36米
{'$oid': '5cc933b3831b973d657f22b2'},,舰舰导弹,苏/俄,P-700花岗岩（Granit)（SS-N-19）反舰导弹,10.5米,"
“花岗岩”反舰导弹是20世纪70年代初开始研制的远程超音速巡航导弹，它可以从水面舰艇发射，也可以从潜艇发射。弹体长10米，射程在500公里以上，发射重量为7吨，可装填各种型号的弹药。导弹在高空的飞行马赫数达到2.5，末端飞行马赫数可达3.5。
",NULL,7000千克,NULL,导弹武器,NULL,NULL,NULL,NULL,55千米,1979年,2.6米
{'$oid': '5cc933b3831b973d657f22b3'},,舰舰导弹,挪威,NSM隐形反舰导弹,3.95米,,康斯伯格防务公司,410千克,NULL,导弹武器,0.39米,NULL,NULL,NULL,185千米,1996年,NULL
{'$oid': '5cc933b4831b973d657f22b4'},http://images.huanqiu.com/sarons/2013/11/fcbf49141a28ac858f983838cb99acf7.jpg,舰舰导弹,日本,90式舰对舰导弹（SSM-1B）,5米,"
90式（SSM-1B）舰对舰导弹是日本自行研制的第二代舰对舰导弹，外形与美国RGM-84鱼叉反舰导弹非常相似，具备扇面发射能力，导弹采用了具有抗干扰能力的宽频带频率捷变主动雷达导引头和先进的数位式计算机。可对20公里处的水面目标进行锁定，导弹巡航时的飞行高度为30米，在末端攻击时下降到5至6米，在距离目标3公里时突然跃升俯冲攻击目标。
",三菱重工,667千克,NULL,导弹武器,0.35米,NULL,NULL,NULL,200千米,NULL,NULL
{'$oid': '5cc933b4831b973d657f22b5'},,舰舰导弹,法国,奥托马特导弹,4.66米,"
由意大利奥托-梅莱拉公司联合研制的一种多用途反舰导弹，1969年开始工程研制，1972 年首次飞行，1975年完成作战鉴定飞行试验， 1977年投入批量生产装备部队，现经多次改进，已经有Mk-1型，Mk-2，Mk-3和正在研制的Mk-4型，四种均可以在任意水上平台发射。
",奥托-梅莱拉公司，马拉特公司,770千克,NULL,导弹武器,0.46米,惯性制导+主动雷达,NULL,NULL,60千米,1969年,1.36米
{'$oid': '5cc933b4831b973d657f22b6'},,舰舰导弹,苏/俄,3M54 俱乐部（SS-N-27炎热）,8.22米,"
 
",NULL,2300千克,NULL,导弹武器,0.533米,NULL,3265千米/小时,NULL,300千米,NULL,NULL
{'$oid': '5cc933b4831b973d657f22b7'},http://images.huanqiu.com/sarons/2013/11/fe3f7b47ef3c0e519d2da6e774026ee3.jpg,舰舰导弹,挪威,企鹅反舰导弹,3米,"
由挪威研制的企鹅系列反舰导弹（AGM-119）采用相同的鸭式气动外形布局和相似的弹体结构，4片箭羽式控制舵面和稳定弹翼分别位于弹体前部和后部，前舵和弹翼均呈X形配置，处于同一水平面上。圆柱形弹体头部呈卵形，尾部呈半球形，弹体内部采用模块化舱段结构，从前到后分为3个舱段：导引头舱、战斗部舱和发动机舱。
",康斯皮格防御与空间公司,385千克,NULL,导弹武器,0.28米,脉冲雷射导引+被动红外线导引,NULL,NULL,20千米,1960年,1.4米
{'$oid': '5cc933b4831b973d657f22b8'},,舰舰导弹,美国,BGM-109B战斧反舰导弹,5.56米,,通用动力公司,NULL,NULL,导弹武器,0.527米,NULL,NULL,NULL,556千米,1972年,2.65米
{'$oid': '5cc933b4831b973d657f22b9'},http://images.huanqiu.com/sarons/2013/11/7d4e9f0c95f533bf117ee9c755366f41.jpg,舰舰导弹,美国,AGM-84捕鱼叉（Harpoon）,3.84米,"
捕鱼叉（又名鱼叉）AGM-84反舰导弹是由美国麦克唐纳-道格拉斯公司开发的反舰导弹，在1979年装备部队使用，也是美国海空军现役最主要的反舰武器，可以自飞机，各类水面军舰以及潜艇上发射。此外，美国海军利用鱼叉导弹开发出远程陆上攻击型（SLAM：Stand-off Land Attack Missile）。在美国三军通用编号当中，AGM-84为空射型，RGM-84为舰射型，UGM-84则是水下潜艇发射型，但是他们的基本结构都是相同的。
",道格拉斯公司,691千克,NULL,导弹武器,0.344米,NULL,NULL,NULL,120千米,NULL,0.914米
{'$oid': '5cc933b5831b973d657f22ba'},http://images.huanqiu.com/sarons/2013/11/a13e860afc9e235a16d1997997fc1df7.jpg,舰舰导弹,苏/俄,“天王星”反舰导弹,3.75米,"
“天王星”反舰导弹是前苏联80年代初开始设计的一种中程亚声速多用途反舰导弹，90年代正式服役。该武器系统可以装备各种水面舰，海军直升机等。其作战用途是打击水面舰、导弹艇、鱼雷艇和炮艇，以及敌方护航舰队和登陆部队中的运输舰。
",俄罗斯星—箭国家科研生产中心,480千克,NULL,导弹武器,0.42米,采用复合制导方式，飞行初段采用惯性制导，末段由主动雷达系统制导,1100千米/小时,NULL,130千米,80年代初,1.17米
{'$oid': '5cc933b5831b973d657f22bb'},http://images.huanqiu.com/sarons/2014/05/3dd8117f91d41221cee25578b593087f.jpg,舰舰导弹,中国,C602反舰导弹（鹰击-62）,6.1米,"
鹰击-62（yj-62)，是中国近年来研制装备的一款远程反舰型巡航导弹，2具有射程远、命中精度高、突防能力强、毁伤威力大、使用灵活、生存能力强等特点。可装载于机动车辆或水面舰船，具有初段越障和航路规划功能，用于打击敌大、中型水面舰艇及编队。
",NULL,1140千克,NULL,导弹武器,0.54米,中段为惯导+GPS末端为主动雷达,NULL,NULL,280千米,2004年,2.9米
{'$oid': '5cc933b5831b973d657f22bc'},,舰舰导弹,中国,雄风-3反舰导弹,NULL,"
简称雄三，是由台湾中山科学研究院自行研发的超音速反舰导弹，于2007年10月10日台湾国防表演时正式展示。
",中山科学研究院,1500千克,惯性导航 + 主动雷达导引,导弹武器,0.46米,NULL,NULL,NULL,160千米,1990年,NULL
{'$oid': '5cc933b5831b973d657f22bd'},,舰舰导弹,韩国,“红鲨鱼”反潜导弹,5.7米,,韩国国防科学研究所,820千克,NULL,导弹武器,0.038米,NULL,NULL,NULL,20千米,20世纪50年代,NULL
{'$oid': '5cc933b5831b973d657f22be'},,舰舰导弹,美国,"RUR-5A""阿斯洛克""舰潜导弹",4.5米,,美国霍尼韦尔公司,486千克,NULL,导弹武器,0.337米,NULL,NULL,NULL,8千米,1955年,0.838米
{'$oid': '5cc933b6831b973d657f22bf'},,舰舰导弹,苏/俄,Х-35(AS-17)反舰导弹,3.75米,,“星星”(Zvezda)机械制造设计局,600千克,触发引信,导弹武器,0.42米,NULL,5513.5千米/小时,NULL,130千米,1983年,0.93米
{'$oid': '5cc933b6831b973d657f22c0'},,舰舰导弹,意大利,奥托马特反舰导弹,4.46米,,NULL,NULL,NULL,导弹武器,NULL,NULL,NULL,NULL,NULL,1969年,1.36米
{'$oid': '5cc933b6831b973d657f22c1'},http://images.huanqiu.com/sarons/2013/11/6a01ce4d601a73515e8714c698e92150.jpg,舰舰导弹,中国,雄风-2反舰导弹,NULL,"
台湾在""雄风""Ⅰ型的基础上改进而成的一种中、远程反舰导弹，是中山科学研究院以美国鱼叉反舰导弹的功能为目标发展的反舰导弹系统，于1988年2月29日正式公布。具有极佳的电子反反制（ECCM）能力。2001年，以雄风二型反舰导弹为基础并参考自美国战斧巡航导弹发展的陆攻巡航导弹版本的雄风二E巡航导弹发展计划被公开。
",中山科学研究院,685千克,NULL,导弹武器,NULL,中途惯性导引，末段双模式导引,NULL,NULL,100千米,1990年,1.38米
{'$oid': '5cc933b6831b973d657f22c2'},http://images.huanqiu.com/sarons/2013/11/99a3d116bc6899dd3afe416538f16410.jpg,舰舰导弹,苏/俄,Kh-35“天王星”反舰导弹,NULL,,“红星”实验设计局,145千克,NULL,导弹武器,NULL,NULL,980.064千米/小时,NULL,110千米,1983年,NULL
{'$oid': '5cc933b6831b973d657f22c3'},http://images.huanqiu.com/sarons/2013/11/3da91aa3f2d3ff3a50a343c933834d7e.jpg,舰舰导弹,意大利,Teseo-Mk2“特塞奥”反舰导弹,4.46米,,NULL,770千克,NULL,导弹武器,0.4米,NULL,1116千米/小时,NULL,180千米,未知,NULL
