名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,机长,最大起飞重量,乘员
RQ-3“暗星” 无人驾驶飞行器,飞行器,464千米每小时,21.03米,成廉姆斯FJ44-1发动机,1996年3月29日,单发,NULL,NULL,925千米,{'$oid': '5cc93106831b973d657f1223'},NULL,http://images.huanqiu.com/sarons/2013/07/570f70ff6983fac8c9a854e44a8144cf.jpg,1.1米,1980千克,NULL,美国,亚音速,无人机,RQ-3“暗星”属于一种全新概念的新型无人机，将主要用于实时侦察和监视。其研制计划由美国国防部高级研究计划局和防务空中侦察办公室负责组织制定和论证，主承包商是洛克希德-马丁公司和波音飞机公司。这种无人驾驶飞行器短而宽的机身上安装着发动机、两个航空电子设备隔舱和起落架。“暗星”是美国空军的一次招标设计的，RQ-3仅在飞行中遇到飞行计划和传感器方向改变时才需要操作员输入，这些变化可以通过无线电或通信中信实现。RQ-3既可配备传感器也可配备雷达，在飞行中，它可以通过卫星传送数字信号。,洛克希德-马丁公司和波音飞机公司,平直翼,4.57米,3901千克,NULL
RQ/MQ-1“捕食者A” 无人驾驶飞行器,飞行器,222千米每小时,14.85米,Rotax 914发动机,1994年7月,单发,NULL,NULL,8880千米,{'$oid': '5cc93106831b973d657f1224'},NULL,http://images.huanqiu.com/sarons/2013/07/34cfac3376b766c158c8c2ecb191eb77.jpg,2.11米,512千克,NULL,美国,亚音速,无人机,"
RQ/MQ-1“捕食者”被定类为UAV或称无人飞行器，是由美国通用公司所研发及制造的。RQ-1被设计作为一架空中监视和无人侦察机。 因应需要在2002年开始有部份RQ-1被改装为攻击用途并在两翼各挂一枚地狱火导弹进行任务。这导致了MQ-1在2005年的正式出现成为一种多功能的载具。RQ-1和MQ-1当前装备于美国空军的第11及第15侦测纵队。 这些飞虫在波斯尼亚、也门、阿富汗和伊拉克等地使用非常成功。
",美国通用原子公司,平直翼,8.13米,1020千克,NULL
AVE无人机,飞行器,600千米每小时,2.4米,两台0.2 kN(45磅)航空微喷气机技术(AMT)公司的喷气发动机,2000年7月18日,NULL,NULL,NULL,150千米,{'$oid': '5cc93106831b973d657f1225'},NULL,,NULL,35千克,2010年9月,法国,亚音速,无人机,,法国达索公司,NULL,2.4米,NULL,NULL
Ababli-s监视无人机,飞行器,300千米每小时,3.33米,一台P73转式活塞发动机(额定值不祥)；带动双叶片推进螺旋桨,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc93106831b973d657f1226'},NULL,,0.935米,NULL,NULL,伊朗,亚音速,无人机,,伊朗飞机制造工业公司(HESA),平直翼,2.8米,83千克,NULL
INTA公司ALO,飞行器,200千米每小时,3.48米, 一台4.78千瓦(6.4马力)活塞式引擎,NULL,单发,NULL,NULL,50千米,{'$oid': '5cc93107831b973d657f1227'},NULL,,NULL,NULL,NULL,西班牙,亚音速,无人机,"
INTA公司ALO是一个轻量级的无人机，提供实时侦察，监视和目标捕获信息ALO包括三架飞机配备可见光或红外传感器，移动控制单元和发射系统的设置，而无需起落架。目前INTA正在寻求商业合作伙伴。
",国际航空技术研究院,平直翼,1.75米,45千克,NULL
长空-1无人机,飞行器,920千米每小时,7.5米,WP-6涡喷发动机,1966年12月6日,单发,NULL,NULL,900千米,{'$oid': '5cc93107831b973d657f1228'},NULL,http://images.huanqiu.com/sarons/2013/11/244a17f7d7297a9acf042457489637b9.jpg,2.955米,1230千克,1976年,中国,亚音速,无人机,,南京航空学院,平直翼,8.44米,2500千克,NULL
BAE10系统公司“不死鸟”,飞行器,166千米每小时,5.6米,一台18.6千瓦(25马力)Meggitt MDS 342双缸双冲程引擎,NULL,单发,0.78米,NULL,706.5千米,{'$oid': '5cc93107831b973d657f1229'},NULL,,NULL,NULL,NULL,英国,亚音速,无人机,,BAE系统航空电子设备公司,平直翼,3.8米,180千克,NULL
天翅高空无人侦察机,飞行器,NULL,NULL,NULL,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc93107831b973d657f122a'},NULL,,3.44米,NULL,NULL,中国,亚音速,无人机,,NULL,平直翼,8.9米,2350千克,NULL
“红隼” 无人机,飞行器,240千米每小时,3.3米,18.6千瓦(25马力)Meggitt公司的WAE342双缸双冲程引擎；双叶片木制推进螺旋桨,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc93107831b973d657f122b'},NULL,,0.71米,NULL,NULL,法国,亚音速,无人机,,萨基姆公司（SAGEMDivision Defense et Securite)  (法国，巴黎),三角面,2.7米,110千克,NULL
Pchela-T无人机,飞行器,180千米每小时,3.25米,一台23.9千瓦Samara p-032双缸双冲程引擎,1983年,单发,NULL,NULL,400千米,{'$oid': '5cc93107831b973d657f122c'},NULL,,1.11米,86千克,NULL,苏/俄,亚音速,无人机,该型无人机主要由俄罗斯Yakovlev 公司于上世纪80年代研制，曾在1995年车臣战役中投入使用并立下战功。Pchela-T机身装备了红外线仪器，不但可以从1000米以上高空确定运动目标的型号，甚至看得清弹坑深度和分辨出伪装的坦克。,雅科夫列夫设计局(Yakovlev),平直翼,2.78米,138千克,NULL
Mohadjer4侦察机 ,飞行器,200千米每小时,3.8米,一台18.6千瓦(25马力)的卧式双活塞发动机；驱动双叶片推进螺旋桨,未知,单发,NULL,NULL,NULL,{'$oid': '5cc93108831b973d657f122d'},NULL,,0.915米,NULL,NULL,伊朗,亚音速,无人机,,Qods航空工业公司(伊朗，德黑兰),平直翼,2.88米,175千克,NULL
航空武器联合公司MKⅡ,飞行器,175千米每小时,3.66米,100 cc活塞发动机,2003年,单发,0.61米,NULL,550千米,{'$oid': '5cc93108831b973d657f122e'},NULL,,NULL,26千克,NULL,巴基斯坦,亚音速,无人机,,航空武器联合公司,平直翼,2.74米,60千克,NULL
夜间入侵者,飞行器,185千米每小时,6.4米,AEL AR801R转式发动机,1993年,单发,NULL,NULL,1030千米,{'$oid': '5cc93108831b973d657f122f'},NULL,,1.47米,215千克,2003年,韩国,亚音速,无人机,“夜间入侵者”最早由大宇公司于1991年负责开发，该项目最初代号为“Bijo”。“夜间入侵者”型无人飞行器采用上单翼常规气动布局，后置动力采用单台功率为50马力的汪克尔引擎，在外形上与南非研制的“探寻者（Seeker）”较为相似。,韩国宇航工业公司,平直翼,4.8米,300千克,NULL
Aerosky侦察机,飞行器,NULL,4米,活塞发动机；双叶片推进螺旋桨,未知,单发,NULL,NULL,NULL,{'$oid': '5cc93108831b973d657f1230'},NULL,,NULL,40千克,NULL,以色列,亚音速,无人机,"
Aerosky侦察机，由以色列航空防务系统公司研制。该型侦察机采用固定式三轮着陆装置，发射和回收均采用普通轮式起飞和降落方式。其设计为单翼和窄机身、推进器引擎、单(Aerolight)或双(Aerosky和Aerostar)尾桁以及T形尾翼单元。Aerolight中还有一个摇拍-变倍-变焦光学相机，并配备有防抖、万向安装的白天/夜间E-O/IR传感器。
",航空防务系统公司,平直翼,3.05米,70千克,NULL
“鹞鹰”无人机,飞行器,150千米每小时,14.4米,Rotax914F,2013年3月24日,单发,NULL,NULL,4800千米,{'$oid': '5cc93108831b973d657f1231'},NULL,,2.77米,1010千克,NULL,中国,亚音速,无人机,"
“鹞鹰”无人机是由中航工业研制的大中型无人机。自从“鹞鹰I”一问世，就承担起了许多重要的科研试飞工作。由中科院光电研究院、北京信息技术研究所、中航工业贵航等多家单位参与的“863计划”地球观测与导航技术领域“无人机遥感载荷综合验证系统”项目，选择“鹞鹰I”无人机作为遥感载荷性能指标综合飞行验证关键技术研究平台，顺利完成了高精度全极化合成孔径雷达和高光谱光学载荷双装载科学试验飞行。此外，改进型还有“鹞鹰Ⅱ”多用途无人机，“鹞鹰III”双发飞翼式无人机。
",中国航空工业集团,平直翼,7.5米,1250千克,NULL
神经元（NEURON）无人战斗机 ,飞行器,980千米每小时,12.5米, 2台劳斯莱斯Turboméca Adour (预计换成M88) 涡轮发动机,2012年12月1日,单发,NULL,NULL,NULL,{'$oid': '5cc93108831b973d657f1232'},达索航太，芬梅卡尼卡,http://images.huanqiu.com/sarons/2013/11/e52bf80a965b4cb1075b070578ab335b.jpg,NULL,4900千克,NULL,法国,亚音速,无人机,"
NEURON（Dassault NEURON），是法国达索公司的实验性无人战斗航空载具(UCAV)。使用三角翼隐形外型，也是达索三阶段式无人机计划最后阶段，直到2005六月巴黎航空展，装上全比例引擎的AVE-C Moyen Duc(2001) “战术无人航具”对外发表外界才知道它类似诺斯洛普·格鲁门公司‎的B-2轰炸机缩小版。
",NULL,飞翼,9.5米,NULL,NULL
利剑无人作战飞机,飞行器,NULL,NULL,NULL,2013年11月21日 ,单发,NULL,NULL,NULL,{'$oid': '5cc93108831b973d657f1233'},洪都航空工业集团,,NULL,NULL,NULL,中国,亚音速,无人机,,沈阳飞机设计研究所,飞翼,NULL,NULL,NULL
ADE公司“黎明”,飞行器,185千米每小时,6.64米,一台37.3千瓦(50马力)UEL AR BOLR转式发动机；双叶片推进螺旋桨。,NULL,双发,NULL,NULL,100千米,{'$oid': '5cc93108831b973d657f1234'},NULL,,1.183米,252千克,NULL,印度,亚音速,无人机,,印度国防部航空开发组织(印度，班加罗尔),平直翼,4.63米,375千克,NULL
绝影-8无人飞行器,飞行器,450千米每小时,NULL,NULL,NULL,双发,NULL,NULL,NULL,{'$oid': '5cc93109831b973d657f1235'},NULL,http://images.huanqiu.com/sarons/2013/11/7528df4dd7b0e0d023abf28f7271a344.jpg,NULL,NULL,NULL,中国,亚音速,无人机,,中航工业直升机所,单旋翼,NULL,NULL,NULL
“雷神”无人战斗机,飞行器,1235千米每小时,11.46米,“阿杜尔”系列MK951,2013年,单发,NULL,NULL,NULL,{'$oid': '5cc93109831b973d657f1236'},BAE系统公司,http://images.huanqiu.com/sarons/2013/11/a79fef1455749f4f8ee705e75c232586.jpg,NULL,NULL,NULL,英国,亚音速,无人机,,NULL,飞翼,11.35米,8000千克,NULL
U8E无人直升机,飞行器,150千米每小时,3.86米,NULL,NULL,单发,NULL,NULL,150千米,{'$oid': '5cc93109831b973d657f1237'},NULL,,1.47米,4千克,NULL,中国,亚音速,无人机,"
在2010年新加坡航展上，中国正在推销一款新型垂直起降无人机。中国航空技术进出口总公司在航展上并未展出这种飞机的模型或实物，但他们首次推出了U8E型垂直起降无人机的介绍手册，并十分乐意介绍这种对众多分析家而言颇为神秘的机型。
",NULL,单旋翼,3.7米,220千克,NULL
STN阿特拉斯公司KZO,飞行器,220千米每小时,3.42米,Fichtel & Sachs公司研制的双缸发动机，功率为24 kW,1998年,单发,NULL,NULL,120千米,{'$oid': '5cc93109831b973d657f1238'},NULL,,0.96米,150千克,NULL,德国,亚音速,无人机,,NULL,平直翼,2.3米,150千克,NULL
翼龙无人机,飞行器,280千米每小时,14米,1× 活塞发动机，100 马力（74.6 千瓦）,2007年10月,单发,NULL,NULL,4000千米,{'$oid': '5cc93109831b973d657f1239'},NULL,http://images.huanqiu.com/sarons/2013/11/8359dbf2c2b49f5ea07a6f54a0577ff7.jpg,2.77米,NULL,NULL,中国,亚音速,无人机,,成都飞机设计研究所,平直翼,9.34米,1200千克,NULL
运-8E,飞行器,NULL,NULL,NULL,NULL,四发,NULL,NULL,NULL,{'$oid': '5cc93109831b973d657f123a'},NULL,,NULL,NULL,NULL,中国,亚音速,无人机,"
资料暂缺。
",NULL,平直翼,NULL,NULL,NULL
月神无人机,飞行器,140千米每小时,4.17米,双缸双冲程,2000年,单发,NULL,NULL,80千米,{'$oid': '5cc93109831b973d657f123b'},NULL,,NULL,40千克,NULL,德国,亚音速,无人机,,EMT公司,平直翼,2.36米,20千克,NULL
BZK-005高空大航程无人机,飞行器,NULL,NULL,螺旋桨推进式,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc9310a831b973d657f123c'},NULL,,NULL,NULL,NULL,中国,亚音速,无人机,,中航工业哈尔滨飞机工业集团有限责任公司与北京航空航天大学联合设计,后掠翼,NULL,1250千克,NULL
X-33试验机,飞行器,17690千米每小时,22.06米,一台线性气塞式发动机,NULL,单发,NULL,NULL,1530千米,{'$oid': '5cc9310a831b973d657f123d'},NULL,,5.88米,28440千克,NULL,美国,亚音速,无人机,,洛克希德马丁,飞翼,20.29米,131000千克,NULL
别动队(Ranger)无人机,飞行器,220千米每小时,5.7米,活塞发动机 38马力 ,NULL,单发,NULL,NULL,100千米,{'$oid': '5cc9310a831b973d657f123e'},NULL,,0.9米,270千克,NULL,瑞士,亚音速,无人机,"
别动队(Ranger)无人机，它是瑞士厄利空康特拉夫斯公司在以色列别动队无人机基础上，根据瑞士的特定要求研制的。它适合于在多山的地区及恶劣环境下昼夜使用。
",瑞士厄利空康特拉夫斯公司,平直翼,4.6米,275千克,NULL
X-7试验机,飞行器,4640千米每小时,6.34米,一台 X202-C3助推火箭发动机，推力 467千牛，一台冲压发动机,1951年4月26日,单发,NULL,1960年,NULL,{'$oid': '5cc9310a831b973d657f123f'},洛克希德公司,http://images.huanqiu.com/sarons/2014/01/e9fad00b8caef8eda25a4983aec51a30.jpg,2.1米,NULL,NULL,美国,超音速,无人机,"
X-7试验机是一个冲压发动机和导弹制导技术的无人测试平台。由洛克希德导弹与空间公司研制，主要用来进行高速冲压喷气发动机的研究工作。

其主要型号有 X-7A-1、X-7A-3 和 X-7B。从1951年4月至1960年7月为止，X-7共飞了130次，是世界上第一架采用冲压喷气发动机速度达到 3 马赫的飞行器。
",NULL,NULL,9.99米,3600千克,NULL
TANAN 300无人直升机,飞行器,150千米每小时,5米,柴油发动机,NULL,单发,NULL,NULL,180千米,{'$oid': '5cc9310a831b973d657f1240'},NULL,http://images.huanqiu.com/sarons/2014/01/572da1b82385a7b2284774e0d1936332.jpg,1.2米,NULL,NULL,德国,亚音速,无人机,,NULL,单旋翼,4.32米,NULL,NULL
X-47B无人机,飞行器,NULL,18.92米,1台普惠F100-220U涡扇发动机,2013年5月14日,单发,NULL,NULL,3889千米,{'$oid': '5cc9310a831b973d657f1241'},诺斯罗普·格鲁曼公司,http://images.huanqiu.com/sarons/2013/11/4e0eeb2047bce111568301dabb3af829.jpg,3.1米,6350千克,2013年7月10日,美国,亚音速,无人机,,美国诺思罗普·格鲁曼公司,飞翼,11.63米,20215千克,NULL
哈比无人机,飞行器,185千米每小时,2.1米,AR731气冷活塞发动机,1995年,NULL,NULL,NULL,500千米,{'$oid': '5cc9310b831b973d657f1242'},NULL,http://images.huanqiu.com/sarons/2014/01/4a20e7334769a5a25f3af9429157946a.jpg,NULL,135千克,NULL,以色列,亚音速,无人机,,以色列航空工业公司,后掠翼,2.7米,NULL,NULL
守望者（Watchkeeper）无人机,飞行器,175.94千米每小时,10.5米,9000 转/每分 52 马力,NULL,单发,NULL,NULL,200千米,{'$oid': '5cc9310b831b973d657f1243'},英国无人机发动机有限公司,http://images.huanqiu.com/sarons/2014/01/9b2a3a0cb41f973b7eb60206be8193fb.jpg,NULL,NULL,2006年,英国,亚音速,无人机,"
“守望者”无人机系统采用一小、一大两套无人机（被指定为WK180和WK450），它们分别基于以色列埃尔比特公司战术无人机“赫姆斯”180无人机和“赫姆斯”450无人机。无人机发展和生产联合企业将会以埃尔比特公司无人飞机设计能力和泰利斯英国公司探测、识别、光电、图像和信号处理以及系统整合能力为基础。
",泰利斯英国公司,平直翼,6.1米,450千克,NULL
RQ-170“哨兵”无人机,飞行器,NULL,20米,NULL,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc9310b831b973d657f1244'},NULL,http://images.huanqiu.com/sarons/2014/01/72782472353c2b431aa2900ed4495059.jpg,1.8米,NULL,NULL,美国,亚音速,无人机,,洛克希德·马丁公司,飞翼,NULL,3856千克,NULL
扫描鹰（ScanEagle）无人机,飞行器,148千米每小时,3.1米,单缸双冲程发动机，功率2.5马力,2001年1月9日,单发,NULL,NULL,NULL,{'$oid': '5cc9310b831b973d657f1245'},NULL,http://images.huanqiu.com/sarons/2014/01/3d84d5e6f626e98525bc581c81ab5ad6.jpg,NULL,12千克,NULL,美国,亚音速,无人机,"
扫描鹰无人机（ScanEagle）是一种舰载小型无人机，由美国波音公司与英西图公司联合开发。主要用于海上监视与观察、情报搜集、目标搜捕、通信中继等各种战术支援。
",美国波音公司和英国Insitu公司联合研制,平直翼,1.2米,20千克,NULL
搜索者侦察机,飞行器,194千米每小时,7.22米,REL转子发动机,1991年,单发,NULL,NULL,250千米,{'$oid': '5cc9310b831b973d657f1246'},NULL,http://images.huanqiu.com/sarons/2014/01/78caf293f6219d6d02e05df55e1c477e.jpg,1.16米,NULL,1992年,以色列,亚音速,无人机,,以色列飞机工业公司,平直翼,5.2米,372千克,NULL
SR-72高超音速无人侦察机 ,飞行器,NULL,NULL,超燃冲压发动机,2018年左右,双发,NULL,NULL,NULL,{'$oid': '5cc9310b831b973d657f1247'},NULL,http://images.huanqiu.com/sarons/2014/01/0a4654917d9c166963eafa9696abf38c.jpg,NULL,NULL,2030年左右,美国,高超音速,无人机,"
SR-72高超音速无人侦察机主要用于取代上世纪70年代研制的SR-71“黑鸟”高速高空侦察机，其最高飞行速度将达到惊人的马赫数6(也就是声音速度的6倍)，是SR-71高速高空侦察机最大飞行速度的两倍，是目前第四代战斗机最大飞行速度的三倍，甚至其飞行速度比一些常见的导弹还要快，堪称人类制造的“最快飞机”。 

因为其速度优势，高超音速飞行器给目前防空系统的压力极大，一些著名的地空导弹，如美国的“爱国者”、俄罗斯的S-400和中国的红旗-9甚至无法追上这种飞机，从而无法拦截和击落它。
",洛克希德·马丁公司,飞翼,NULL,NULL,NULL
ALH无人侦察机,飞行器,NULL,NULL,NULL,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc9310c831b973d657f1248'},NULL,,NULL,NULL,2004年,英国,亚音速,无人机,"
英国早期装备的轻型无人机主要以自行研制的LUNA近程侦察无人机和加拿大研制的CL289远程侦察无人机为主，但这两类飞行器的功能比较有限。为适应反恐战争新形势，使英国无人机达到国际先进水平，英国军方下决心投入巨大人力和财力加紧研制，ALH无人侦察机就是在这种背景下问世的。
",英国阿得拉斯电子系统公司,后掠翼,NULL,NULL,NULL
MQ-9无人机,飞行器,313千米每小时,20米,Honeywell TP331-10T 涡轮螺旋桨发动机,2001年,单发,NULL,NULL,NULL,{'$oid': '5cc9310c831b973d657f1249'},NULL,http://images.huanqiu.com/sarons/2014/01/cf280d7480e1753de3c3ad51f9984248.jpg,3.8米,2223千克,2002年,美国,亚音速,无人机,,通用原子技术公司,平直翼,11米,4760千克,2人
西卡德新概念微型无人机,飞行器,92.5千米每小时,0.21米,NULL,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc9310c831b973d657f124a'},NULL,,NULL,30千克,NULL,美国,亚音速,无人机,"
美国海军研究实验室(NRL)开发的一种名为“西卡德”(CICADA，close-in covert autonomous disposable aircraft/“近距、隐蔽、自主、一次性使用的航空器”)的新概念微型无人机(UAV)。

“西卡德”可大批量部署，用来进行电子情报搜集，为前进中的部队预先构建战场通信网络。美海军将其形容为“可飞行的印制计算机集成电路板”。
",美国海军研究实验室,平直翼,NULL,NULL,NULL
微星（MicroSTAR）无人机,飞行器,55.6千米每小时,0.15米,NULL,NULL,单发,NULL,NULL,5千米,{'$oid': '5cc9310c831b973d657f124b'},美国桑德斯公司,http://images.huanqiu.com/sarons/2014/01/fcf342f9b4a7e88186d61b7ffcd8465b.jpg,NULL,0.007千克,NULL,美国,亚音速,无人机,"
""微星""（MicroSTAR）是桑德斯公司根据1998年4月与美国防预先研究计划局签订的合同，而研制的一种固定翼型无人机。

""视景""（Vision）VV5404传感器要求提供质量足以识别一班人大小目标的图像。它将通过哈里斯公司的PRISM无线电通信链路把信息传送到由两块个人计算机卡构成的地面控制板。
",NULL,后掠翼,NULL,0.085千克,NULL
龙眼(Dragon Eye)无人机,飞行器,NULL,1.14米,NULL,NULL,单发,NULL,NULL,NULL,{'$oid': '5cc9310d831b973d657f124c'},航宇环境公司,http://images.huanqiu.com/sarons/2014/01/94051e5dbfdcd5b2fb9a336ce75151f4.jpg,NULL,2.27千克,NULL,美国,亚音速,无人机,"
美国海军陆战队的“龙眼”(Dragon Eye)无人机是一种小型侦察无人机系统，这种小型无人机为营连级指挥官提供实时侦察信息，同时减少了派出人员进行侦察可能遇到的风险。

美国海军陆战队首次使用""龙眼""无人机是在2001年的阿富汗""持久自由行动""中，随后在2003年的""伊拉克自由行动""中广泛使用。
",NULL,平直翼,0.91米,2.49千克,NULL
