_id,运载火箭,图片,发射地点,类型,经度,名称,简介,首次轨道发射,轨道,纬度,长度,制造商,大类,关注度,产国,发射日期,中心直径
{'$oid': '5cc933d9831b973d657f236a'},阿里亚娜5G,,法属圭亚那，库鲁,应用卫星,NULL,太阳神Helios光学监视卫星,,NULL,690公里（429英里），倾角98.08°(太阳同步轨道),NULL,NULL,FADS阿斯特哩厄姆公司,太空装备,NULL,法国,2004年12月18日,NULL
{'$oid': '5cc933d9831b973d657f236b'},质子K,,哈萨克斯坦，拜科努尔发射场,应用卫星,NULL,Glonass 全球导航卫星系统,,NULL,19100公里(11868英里)，轨道倾角64.8°,NULL,NULL,俄罗斯雷席特涅夫应用机械研究与生产联合会,太空装备,NULL,苏/俄,2006年12月24日,NULL
{'$oid': '5cc933da831b973d657f236c'},长征三号火箭,,西昌卫星发射中心,应用卫星,NULL,风云二号气象卫星,"
风云二号系列静止气象卫星是我国第一代静止气象卫星，共发射6颗，即风云二号A，B，C，D，E，F；两颗试验星（风云二号A，B），四颗业务星（风云二号C，D，E，F）。风云二号卫星既是高科技的产物，同时也是一个复杂的系统工程。涉及电子技术，光学技术，材料技术，关键的元器件技术，以及应用技术，其背后体现的是国家综合科技实力。
",1994年,地球同步轨道,NULL,NULL,中国气象局国家卫星气象中心,太空装备,NULL,中国,1994年,NULL
{'$oid': '5cc933da831b973d657f236d'},德尔塔II-7320,http://images.huanqiu.com/sarons/2013/11/fed6fa9268cd4e29a9bc6a3514feae1b.jpg,加利福尼亚州范登堡,应用卫星,NULL,水瓶座,,NULL,657公里(408英里)轨道倾角98°太阳同步轨道,NULL,NULL,阿根廷航天局,太空装备,NULL,美国,2009年,NULL
{'$oid': '5cc933da831b973d657f236e'},德尔塔II-7420,http://images.huanqiu.com/sarons/2013/11/22da502808811b7b8e0aec8b1b2b5377.jpg,加利福尼亚州，范登堡,应用卫星,NULL,CALIPSO遥感卫星,"
CALIPSO卫星是NASA和法国国家空间研究中心的合作任务，目的是测量浮质和云层，以促进对长期气候变迁和气候变化性的预报。CALIPSO和美国的C1oudSat(云探测卫星)一起由一枚火箭发射，它们都是NASA的“A-列车(A-Train)”星座的成员。
",NULL,702公里(436英里)，轨道倾角98.2°，太阳同步轨道,NULL,NULL,阿尔卡特•阿莱尼亚空间公司,太空装备,NULL,美国,2006年4月28日,NULL
{'$oid': '5cc933da831b973d657f236f'},NULL,,俄罗斯，普列谢茨克,应用卫星,NULL,AISAT地球遥感卫星,,NULL,686公里(426英里)，轨道倾角98.2°，太阳同步轨道,NULL,NULL,萨里卫星技术公司,太空装备,NULL,英国,2002年11月28日,NULL
{'$oid': '5cc933da831b973d657f2370'},长征四号火箭,,太原卫星发射基地,应用卫星,NULL,风云一号气象卫星 ,,NULL,太阳同步轨道,NULL,NULL,中国气象局国家卫星气象中心,太空装备,NULL,中国,1998年,NULL
{'$oid': '5cc933da831b973d657f2371'},NULL,,日本，种子岛,应用卫星,131.0°E,“大地”号地球观测卫星,日本的“大地”号，是为了进行常规的三维表面成像、精确的地面区域覆盖观测、灾难监测和资源勘测而设计的。,NULL,NULL,30.4°N,NULL,日本宇宙航空研究开发机构,太空装备,NULL,日本,2006年1月24日,NULL
{'$oid': '5cc933da831b973d657f2372'},大力神2号,http://images.huanqiu.com/sarons/2013/11/73104d8d13b9827c7e815fccdb34d225.jpg,加利福尼亚州范登堡,应用卫星,NULL,科里奥利实验卫星,"
科里奥利实验卫星由美国国防部“太空实验计划”和美国空间和海上作战司令部开发。这颗卫星是重新改造过的大力神2号运载火箭所发射过的最大的飞行器。
",NULL,830公里(438英里)轨道倾角98.2°太阳同步轨道,NULL,NULL,光谱宇宙有限公司(现为通用动力C4系统公司),太空装备,NULL,美国,2003年1月6日,NULL
{'$oid': '5cc933db831b973d657f2373'},阿丽亚娜5FCA,http://images.huanqiu.com/sarons/2013/11/ec4b010da17e61487ae82650581ee525.jpg,法属圭亚那，库鲁,应用卫星,NULL,Americom(AMC)通信卫星,"
AMC-18为美国大陆、墨西哥和加勒比地区的编程电缆和广播提供包括高清信道的先进C波段数字传输服务。这颗三轴稳定的卫星是基于洛克希德A2100平台而设计制造的，它的净重为918千克(2020磅)，在轨道上的翼展为14.7米(48英尺)。AMC-18星体上搭载1467瓦的电源，预计寿命至少为15年。
",NULL,105°W（GEO）,NULL,NULL,洛克希德·马丁商业空间系统,太空装备,NULL,美国,2006年12月8日,NULL
{'$oid': '5cc933db831b973d657f2374'},联盟—Fregat,,哈萨克斯坦，拜科努尔,应用卫星,NULL,AMOS通信卫星,,NULL,4°W(GFO),NULL,NULL,以色列飞机制造公司,太空装备,NULL,以色列,2003年12月28日,NULL
{'$oid': '5cc933db831b973d657f2375'},飞马座XL,,加利福尼亚州，范登堡,应用卫星,120°34′37″W,中间层冰云高层大气物理学研究卫星,"
NASA的AIM卫星搭载3台科学研究仪器，目的是研究位于地球表面上空80千米(50英里)大气中最冷部分的极地中间层云层。它的主要目标是查明这些云层如何形成，以及是什么导致这些云层近些年来变得更加明亮和在更低纬度的地区出现；云层成像和粒子尺度仪系统拍摄云层的全景图象；冰层目光隐蔽实验设备通过测量日光在云层中的减少量来判断云层中粒子的大小和密度，以及温度、水蒸气水平和化学性质；宇宙尘埃实验设备则用来测量进入地球大气层的宇宙尘埃数量。
",NULL,600公里（373英里），轨道倾角97.7°太阳同步轨道,34°43′47″N ,NULL,轨道科学公司,太空装备,NULL,美国,2005年4月25日,NULL
{'$oid': '5cc933db831b973d657f2376'},德尔塔II—7920火箭,,加利福尼亚州，范登堡,应用卫星,NULL,Aura(原称EOS／Chem-1),"
Aura(原称EOS／Chem-1)是NASA地球观测系统得第三次主要任务，它是继Terra和Aqua之后进行的。它的目的是研究地球大气中从地面到中间层部分的化学和动力学特性，监视大气中由自然和人为的原因而引起的复杂化学反应，以及这些反应所引起的全球大气变化和臭氧层损耗。
",NULL,688公里×694公里(427英里×431英里)，轨道倾角98.2°，太阳同步轨道,NULL,NULL,TRW(现为诺斯罗普•格鲁曼公司),太空装备,NULL,美国,2004年7月15日,NULL
{'$oid': '5cc933db831b973d657f2377'},德尔塔II—7920,,加利福尼亚州范登堡,应用卫星,NULL,Aqua,,NULL,699公里×706里(434英里×438英里)轨道倾角98°太阳同步轨道,NULL,NULL,TRW(现为诺斯罗普，格鲁曼公司),太空装备,NULL,美国,2002年5月4日,NULL
{'$oid': '5cc933dc831b973d657f2378'},阿丽亚娜5G,http://images.huanqiu.com/sarons/2013/11/0361a1ffb2eb38b0ddb25c84058123f5.jpg,法属圭亚那，库鲁,应用卫星,NULL,“环境间谍”（Envisat）,"
“环境间谍”（Envisat）是基于最初为“哥伦布”计划开发的极轨道平台而设计制造的。
",NULL,784千米(487英里)，轨道倾角98.5°，太阳同步轨道,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,英国,2002年3月1日,NULL
{'$oid': '5cc933dc831b973d657f2379'},德尔塔Ⅱ7920,http://images.huanqiu.com/sarons/2013/11/b1fe072d09b81a2ffb49fee834857d09.jpg,加利福尼亚州，范登堡,应用卫星,NULL,陆地卫星（Landsat）,"
第一颗“陆地卫星”最初被称为ERTS(地球资源技术卫星)，是由NASA于1972年开发并发射的。这颗卫星起源于Tiros-N和DMSP气象卫星。从那以后，共又有6颗“陆地卫星”相继发射，在35年间进行地球大陆块成像任务。
",NULL,702公里（436英里）98.2°，太阳同步轨道,NULL,NULL,洛克希德·马丁空间系统公司,太空装备,NULL,美国,1999年4月15日,NULL
{'$oid': '5cc933dc831b973d657f237a'},NULL,,印度，斯里哈里科塔,应用卫星,NULL,IRS（印度遥感勘测卫星）,"
IRS系列是印度的第一个国内地球资源卫星，在这之后进行的是IRS-P系列的预运行任务，这些任务的目的是进行技术评估，都由PSLV火箭发射。
",NULL,45922公里×620公里(28535英尺×620英里)90.01°,NULL,NULL,印度空间研究组织,太空装备,NULL,印度,1996年3月21日,NULL
{'$oid': '5cc933dc831b973d657f237b'},德尔塔II 7920,,加利福尼亚州，范登堡,应用卫星,NULL,詹森1号,"
“詹森1号”为NASA和法国国家空间研究中心合作进行的项目。它的任务是增进人类对海洋循环及其对全球气候影响的理解。主要目标包括海洋表面地形学和海平面变化测量。
",NULL,1336公里 (830英里)66°,NULL,NULL,阿尔卡特空间公司,太空装备,NULL,美国,2001年12月7日,NULL
{'$oid': '5cc933dc831b973d657f237c'},起飞1号,,俄罗斯斯沃博德内,应用卫星,NULL,EROS A地球遥感观测卫星,"
EROS A是在2000年12月由俄罗斯的一枚“起飞1号”运载火箭发射的，这也是在斯沃博德进行的少见的商业发射。
",NULL,500千米(311英甲)，轨道倾角97.4°，太阳川步轨道,NULL,NULL,以色列飞机制造公司,太空装备,NULL,以色列,2006年4月25日,NULL
{'$oid': '5cc933dd831b973d657f237d'},天顶2号(Zerlit-2),,哈萨克斯坦，拜科努尔,应用卫星,NULL,流星近地轨道气象卫星,"
“流星”是俄罗斯近地轨道气象卫星家族的通用名称。这些卫星是代表俄罗斯联邦水文气象和环境监测局开发的。
",NULL,996公里×1015公里(618英里×630英里)，轨道倾角99.7°，太阳同步轨道,NULL,NULL,泛俄罗斯机电研究所,太空装备,NULL,苏/俄,2001年12月10日,NULL
{'$oid': '5cc933dd831b973d657f237e'},PSLV-C4,,印度，斯里哈里科塔,应用卫星,NULL,Kalpana( MetSat-1 )气象卫星,"
MetSat-1是印度空间研究组织建造的第一颗专用地球静止转移轨道气象卫星项目。在此之前，印度的气象服务是与电信和电视服务一起由INSAT系列卫星提供的。MetSat-1由PLSV运载火箭发射到地球同步转移轨道，然后通过启动习惯能在液体燃料远地点发动机上升到最终的地球静止转移轨道。2003年1月5日，MetSat-1更名为Kalpana-1，以纪念出生于印度的宇航员卡尔帕纳·楚拉(KalpanaChawla)，他在哥伦比亚号航天飞机STS-107事故中丧生。
",NULL,东经74°(地球静止转移轨道),NULL,NULL,印度空间研究组织卫星中心,太空装备,NULL,印度,2002年9月12日,NULL
{'$oid': '5cc933dd831b973d657f237f'},宇宙3M,,俄罗斯，普列谢茨克,应用卫星,NULL,灾难监视星座,"
英国灾难监视星座卫星使用Microsat-100卫星平台，在“微小卫星协作应(MOSAIC)”项目的帮助下为英国国家航天中心开发。和其他DMC一样，这些卫星的光学成像有效载荷提供32米(105英尺)的地表分辨率，以及超乎寻常的超过640千米(398英里)覆盖宽度。
",NULL,675公里×692公里(419英里×430英里)，轨道倾角98.2°，太阳同步轨道,NULL,NULL,萨里卫星技术公司,太空装备,NULL,英国,2003年9月27日,NULL
{'$oid': '5cc933dd831b973d657f2380'},阿丽亚娜40,,法属圭亚那，库鲁,应用卫星,NULL,ERS欧洲遥感勘测卫星,"
ERS卫星使用微波传感器来对全球的风速和风向、波浪高度、表面温度、表面高度、云层覆盖何大旗水蒸气进行全天候24小时的测量。
",NULL,784千米(487英里)，轨道倾角98.6°，太阳同步轨道,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,英国,1991年7月17日（ERS-1）,NULL
{'$oid': '5cc933dd831b973d657f2381'},德尔塔IV,http://images.huanqiu.com/sarons/2013/11/f48798b98ace60abe2498f00257c1987.jpg,佛罗里达州卡纳维拉尔角,应用卫星,NULL,GOES地球同步运行环境卫星,"
GOES是NASA和美国国家海洋大气局合作进行的联合气象卫星计划。美国国家海洋大气局是这些卫星的所有者和运营者，而NASA负责飞行器的采购、设计、开发和发射工作。
",NULL,西经105°(地球H步轨道),NULL,NULL,波音空间和智能系统公司,太空装备,NULL,美国,2006年5月24日,NULL
{'$oid': '5cc933dd831b973d657f2382'},阿丽亚娜5G,http://images.huanqiu.com/sarons/2013/11/6c54c066c1a7dd7f0cfc5d7ec2f1bc2e.jpg,库鲁，法属圭亚那,应用卫星,NULL,Meteosat/MSG 同步气象卫星,"
Meteosat是欧洲的系列地球同步气象卫星。这些卫星的主要目标是提供云层覆盖和温度的可见光与红外线昼夜图像。它们每30分钟从3个光谱通道(可见光、红外线和水蒸气)采集一次数据。这些卫星由欧洲航天局负责设计，欧洲气象卫星组织负责运行，从1977年开始正式运转。Meteosat系列卫星在长达四分之一个世纪的时间内连续提供欧洲一非洲半球的图像和天气预报数据。这一系列的最后一颗卫星(Meteosat-7)发射于1997年，现在仍在运行。
",NULL,0°，地球静止转移轨道(GEO),NULL,NULL,阿尔卡特空间技术公司,太空装备,NULL,法国,2005年12月21日,NULL
{'$oid': '5cc933de831b973d657f2383'},Shtil1,,巴伦支海（叶卡捷琳堡号弹道导弹核潜艇）,应用卫星,NULL,指南针2号复杂轨道磁-等离子体自主卫星,"
“指南针”系列微小卫星是用于灾难预警和监视的多卫星系统，这些卫星是作为俄罗斯联邦空间计划的一部分而开发的.承包商包括RD机电研究院，地磁学研究院，地磁、电离层和电波传播研究所和Makeyev联邡火箭中心。
",NULL,399公里×483公里（248公里×300英里），78.9°太阳同步轨道,NULL,NULL,俄罗斯科学院地磁、电离层和电波传播研究所（IZMIRAN），马克耶夫联邦火箭中心,太空装备,NULL,苏/俄,2006年5月26日,NULL
{'$oid': '5cc933de831b973d657f2384'},宇宙3M,http://images.huanqiu.com/sarons/2013/11/8797bb5c8255f31de0ab5cbe3f24283c.jpg,俄罗斯，普列谢茨克,应用卫星,NULL,信使（Gonets）中轨道小型卫星通信系统,“信使”民用中轨道小型卫星通信系统起源于Strela—3军事通信系统。这个计划曾经由国家管理，现在则由信使卫星通信(Gonets SatCom)公司运营。新一代的“信使DM”(或“信使M”)卫星能够传输数字、语音、文本和视频数据。它还能在发生自然灾害的时候够传输紧急报告，为基础设施建设薄弱的地区提供支持，并提供商业、医疗、科研和技术信息在单独的计算机上的交换服务。,NULL,1449公里×1469公里(900英里×913英里）轨道倾角82.5°E,NULL,NULL,NPO PM,太空装备,NULL,苏/俄,2005年12月21日,NULL
{'$oid': '5cc933de831b973d657f2385'},长征3B,,中国，西昌,应用卫星,NULL,亚太（APSTAR）卫星,香港亚太卫星控股有限公司于1994年成功发射了它的第一颗通信卫星“亚太1号”。今天，这家公司已经运营着地球静止转移轨道上的5颗卫星，覆盖范围包括亚洲、大洋洲河直到夏威夷的太平洋地区。依靠强大的传输能力和广阔的覆盖区域，这些卫星能够为全世界70%的人口提供服务。,NULL,134°E(GFO),NULL,NULL,阿尔卡特航天公司,太空装备,NULL,中国,2003年12月28日,NULL
{'$oid': '5cc933de831b973d657f2386'},联盟号／Fregat,,哈萨克斯坦，拜科努尔,应用卫星,NULL,全球星近地轨道通信星座,“全球星”系统提供移动卫星语音和数据服务，特别是通过定相中轨道(MEO)上的小卫星星座对没有蜂窝技术和陆上线路服务的边远地区提供服务。,NULL,920公里(572英里)，轨道倾角52°,NULL,NULL,泰利斯·阿莱尼亚航天公司,太空装备,NULL,美国,2007年5月30日,NULL
{'$oid': '5cc933de831b973d657f2387'},长征四号B火箭,,太原卫星发射中心,应用卫星,NULL,风云三号气象卫星,风云三号气象卫星是为了满足中国天气预报、气候预测和环境监测等方面的迫切需求建设的第二代极轨气象卫星，由两颗卫星组成（FY-3A卫星、FY-3B卫星），1994年“风云三号”列入航天技术“九五”规划，风云三号气象卫星2000年11月国务院正式批准立项。 风云三号气象卫星的目标是获取地球大气环境的三维、全球、全天候、定量、高精度资料。,NULL,近极地太阳同步轨道,NULL,NULL,中国气象局国家卫星气象中心,太空装备,NULL,中国,2008年,NULL
{'$oid': '5cc933df831b973d657f2388'},阿特拉斯II AS,http://images.huanqiu.com/sarons/2013/11/a0a7c9fc2528a3f1158e8e76724a3aae.jpg,佛罗里达州，卡纳维拉尔角,应用卫星,NULL,Hispasat通信卫星,"Hispasat计划是在1989年针对西班牙和葡萄牙语市场(也包括拉丁美洲，目前Hispasat是这一地区主要的商业卫星运营商)而推出的。“Hispasat 1B”、“Hispasat 1C”乐几“Hispasat1D”配置在30°W的位置。这一系列的其他卫星这有Spainsat、Amazonas和Xtar-Eur。
“Hispasat1D”是为了维持由“Hispasat1A”和“Hispasat1B”来提供的Ku频段服务的覆盖区域而发射的。",NULL,30°W(GEO),NULL,NULL,阿尔卡特航天公司,太空装备,NULL,西班牙,2002年9月18日,NULL
{'$oid': '5cc933df831b973d657f2389'},NULL,,NULL,应用卫星,NULL,风云四号气象卫星,“风云四号”是第二代静止气象卫星，由上海航天局的“风云二号”总设计师李卿领衔设计，充分考虑海洋、农业、林业、水利以及环境、空间科学等领域的需求，以实现综合利用。据透露，“风云四号”卫星主要探测仪器为10通道二维扫描成像仪、干涉型大气垂直探测器、闪电成像仪、CCD相机和地球辐射收支仪，地球圆盘图成像时间为15分钟。,NULL,NULL,NULL,NULL,中国气象局国家卫星气象中心,太空装备,NULL,中国,NULL,NULL
{'$oid': '5cc933df831b973d657f238a'},德尔塔II 7320,,加利福尼亚州范登堡,应用卫星,NULL,冰云和地面高度卫星,"
ICESat是NASA地球观测系统的一部分。它的主要目标是测量大冰原的质量变化和地球大气和气候的变化如何影响极地冰层质量和全球海平面高度。
",NULL,593公里×610公里(368英里×379英里)94°,NULL,NULL,巴尔航天公司,太空装备,NULL,美国,2003年1月12日,NULL
{'$oid': '5cc933df831b973d657f238b'},质子K,,俄罗斯，普列谢茨克,应用卫星,NULL,地平线（Gorizont）通信卫星,“地平线”卫星是在20世纪70年代作为EkRAN通信卫星的换代品而开发的。这种卫星是前苏联发射的最早的地球同步卫星之一，也是前苏联第一颗装备多种雷达收发机的民用通信卫星。它装备改进的三轴高度控制系统和可旋转的太阳能电池板。,NULL,145°E(GEO),NULL,NULL,NPOPM,太空装备,NULL,苏/俄,2000年6月6日,NULL
{'$oid': '5cc933df831b973d657f238c'},联盟号／Fregat,http://images.huanqiu.com/sarons/2013/11/333d10cc11a0fa0b9a8bcbe21ee506c0.jpg,哈萨克斯坦，拜科努尔,应用卫星,NULL,GIOVE（伽利略在轨验证部件卫星）,欧洲航天局和欧共体达成共识开发的伽利略系统——第一个民用卫星定位、导航和计时系统。,NULL,23226公里×23285公里(14432英里×14469英里)，轨道倾角56°,NULL,NULL,萨里卫星技术有限公司,太空装备,NULL,欧盟,2005年12月28日,NULL
{'$oid': '5cc933df831b973d657f238d'},H-Ⅱ3F,,日本，种子岛,应用卫星,NULL,“向日葵”气象卫星,"
日本的地球同步气象卫星系列，又称为向日葵，是由日本气象厅负责运行的。这些卫星位于东经140°附近地球静止转移轨道上，被用于亚太地区的天气预报。这些卫星也是世界天气观测网的重要组成部分。
",NULL,东经140°(地球静止转移轨道),NULL,NULL,NFC／休斯空间和通信公司,太空装备,NULL,日本,1995年3月18日,NULL
{'$oid': '5cc933e0831b973d657f238e'},阿丽亚娜5G,http://images.huanqiu.com/sarons/2013/11/2ca60fe7005543d36a29399e5d85191a.jpg,法属圭亚那，库鲁,应用卫星,NULL,Anik(加拿大电视卫星),加拿大电视卫星公司是世界上领先的商业卫星运营商之一。公司建立于1969年，它在1972年发射了里程碑式的Anik A1--世界上第一颗运行在地球静止转移轨道(GTO)的商业国内通信卫星。在因纽特人(北美特别是加拿大北冰洋地区和格陵兰岛的爱斯基摩人)的语言中，“Anik”意为“弟弟”。今天，加拿大电视卫星公司运营着8颗地球静止转移轨道卫星，覆盖整个北美地区。最近发射的一颗是2007年4月9日发射的Anik F3。它的前辈Anik F2是世界上最大的商业通信卫星，同时也是世界上第一颗能够提供完全商品化的Ka波段双向宽带服务的卫星。,NULL,111.1°W(GEO),NULL,NULL,波音卫星系统,太空装备,NULL,加拿大,2004年7月17日,NULL
{'$oid': '5cc933e0831b973d657f238f'},质子号/微风M,http://images.huanqiu.com/sarons/2013/11/953ec870240aee257faf3d3e8c0d5ab4.jpg,哈萨克斯坦，拜科努尔,应用卫星,NULL,阿拉伯（Arabsat）卫星,阿拉伯卫星通信组织是在1976年由阿拉伯联盟的21个成员国共同建立的。这个组织是阿拉伯世界中处于领导地位的卫星服务提供商，涉及跨越中东、非洲和欧洲的100多个国家。它运营着地球静止转移轨道上26°E和30.5°E之间地带的4颗卫星，并且计划再发射两颗卫星。阿拉伯卫星通信组织是这一地区唯一能够提供全频段广播、通信和宽带服务的卫星运营商。阿拉伯卫星通信组织的第四代卫星Arabsat 4A和Arabsat4B是基于“欧洲之星2000+(Eurostar-2000+)”的卫星主体而设计制造的。Arabsat 4A又称为Badr-1，在2006年的一次质子号/微风M运载火箭上面级的故障中被毁。替代它的卫星称为Arabsat 4A-R/Badr-6，计划于2008年发射。Arabsat4B/Badr-4已经成功发射，它装备直通家庭的卫星电视服务设备，以及语音和数据通信服务设备。它装备了25米(82英尺)长的太阳能电池板，能够提供5千瓦的电力。这颗卫星和Arabsat-A/Badr-3-起运行在26°E。,NULL,26°E（GEO）,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,阿联酋,2006年11月8日,NULL
{'$oid': '5cc933e0831b973d657f2390'},阿丽亚娜5—ECA,http://images.huanqiu.com/sarons/2013/11/74acc3f45cb69583045a480df6292685.jpg,法属圭亚那，库鲁,应用卫星,NULL,ASTRA(国际)通信卫星,SES Astra公司是欧洲领先的直通家庭卫星系统运营商，为超过1亿零900万家庭提供卫星电视和有线电视服务。ASTRA卫星编队目前包括12颗卫星，共传输1864个模拟和数字的电视和无线电频道。SES Astra公司还对企业、政府和他们的代理机构提供基于卫星的多媒体、因特网和电信服务。ASTRA 1L被放在了ASTRA系列的三个主要轨道位置，以取代ASTRA 2C，而后者将转移到28.2°E的位置。ASTRA1L被用来向全欧洲提供直通家庭的广播服务，同时它还使用一部Ka波段有效载荷来提供交互应用。ASTRA 1L卫星是一个由洛克希德·马丁商业空间系统公司制造的三轴稳定的A21000 AXS中继平台，它使用展开长度为27米(88.6英尺)的太阳能电池板来提供13千瓦的电力，它的预期设计寿命为15年。,NULL,19.2°E（GEO）,NULL,NULL,洛克希德·马丁商业空间系统,太空装备,NULL,卢森堡,2007年5月4日,NULL
{'$oid': '5cc933e0831b973d657f2391'},质子号/微风M,,哈萨克斯坦，拜科努尔,应用卫星,NULL,”热鸟“通信卫星,三颗配置在13°E的“热鸟”通信卫星足成了欧洲最大的广播系统。向欧洲、北非和中东的1亿2000多万家庭提供1000多个电视频道的播送服务。另外，这个系统还提供多媒体服务和600多个无线电广播站的播送服务。,NULL,13°E（GEO）,NULL,NULL,EADS阿斯特里厄姆公司,太空装备,NULL,欧盟,2006年8月4日,NULL
{'$oid': '5cc933e1831b973d657f2392'},呼啸号,,俄罗斯，普列谢茨克,应用卫星,NULL,铱星系统,铱星系统，又称铱星计划，是美国摩托罗拉公司提出的第一代真正依靠卫星通信系统提供联络的全球个人通信方式，旨在突破现有基于地面的蜂窝无线通信的局限，通过太空向任何地区、任何人提供语音、数据、传真及寻呼信息。铱星系统是由66颗由无线链路相连的卫星（外加6颗备用卫星）组成的一个空间网络。设计时原定发射77颗卫星，因铱原子外围有77个电子，故取名为铱卫星通信系统。后来又对原设计进行了调整，卫星数目改为66颗，但仍保留原名称。,NULL,80公里（484.7英里），轨道倾角75°，6个轨道平面,NULL,NULL,摩托罗拉公司，洛克希德太空系统分部,太空装备,NULL,美国,2002年6月20日,NULL
