名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,内置武器,旋翼直径,退役时间,最大航程,关注度,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
SA330“美洲豹”双发中型多用途运输直升机,飞行器,294千米每小时,NULL,两台透博梅卡Turmo IVC涡轮轴发动机,1965年4月15日,双发,NULL,15米,NULL,572千米,NULL,{'$oid': '5cc93154831b973d657f13de'},韦斯特兰公司，法国航宇公司,http://images.huanqiu.com/sarons/2013/07/6cd46cb7d879433be592a4560a496b77.jpg,5.14米,3615千克,1969年春,英国,亚音速,运输直升机,"
SA330“美洲豹”，是法国国营航宇工业公司从1963年1月开始研制的双发中型多用途运输直升机。1967年，英国的韦斯特兰公司加入研制行列，原型机试飞于1965年4月15日，1969年春天开始服役。
",NULL,单旋翼,16人,14.06米,7500千克
H-3“愉快的绿巨人”双发通用／搜救直升机。,飞行器,262千米每小时,NULL,两台通用电气T58-GE-5发动机,1963年6月17日,双发,NULL,18.9米,NULL,768千米,NULL,{'$oid': '5cc93154831b973d657f13df'},NULL,,5.51米,5635千克,NULL,美国,亚音速,运输直升机,"
1962年4月，美国空军第一次表现出对H-3“海王”的兴趣，当时他们借了三架HSS-2在大西洋执行对雷达前哨基地的再补给任务，被这种基本设计打动，与西科斯基公司签署厂改进合同，重新设计后机身，加上一个装卸台，另有命名为HH-3E的相似版本，是为美国空军的航空和恢复处（AerOspaccandRecOvervService）购买的，其中有8架是新的，50架是CH-3E改装而来的，通过为其配备装甲保护、白封油箱、空中加油受油管、自卫武器和外部油箱，达到了HH-3E的标准。这些直升机被命名为“愉快的绿巨人Jolly Green Giant）”，在越南服役，H-3“愉快的绿巨人”28座双发通用／搜救直升机。
",西科斯基公司,单旋翼,28人,17.45米,10002千克
S-70A/UH-60“黑鹰”,飞行器,359千米每小时,NULL,2台通用电气公司的T700-GE-700涡轮轴发动机，功率2×1151千瓦(2×1564轴马力),1974年10月（原型机YUH-60）,双发,NULL,16.36米,NULL,2222千米,NULL,{'$oid': '5cc93154831b973d657f13e0'},NULL,,5.13米,5118千克,1979年（UH-60A）,美国,亚音速,运输直升机,"S-70为UH-60直升机的出口型号。UH-60""黑鹰""直升机是美国西科斯基飞机公司制造的一种多用途运输直升机，用于战术运输及救援，侦察，指挥，电子战和反潜战等。目前“黑鹰”的主要型号有UH-60A和UH-60L两种。黑鹰是其绰号。",西科斯基公司,单旋翼,14人,19.8米,11113千克
SA341/342“小羚羊”,飞行器,260千米每小时,NULL,单台透博梅卡阿斯泰祖ⅢA涡轮轴发动机(SA341)或带有向上排气装置的阿斯泰祖XIVM涡轮轴发动机,1967年4月7日,单发,NULL,10.5米,NULL,360千米,NULL,{'$oid': '5cc93155831b973d657f13e1'},NULL,http://images.huanqiu.com/sarons/2013/11/7e6bf7530a3821701fb6f58a0bdf0669.jpg,3.1米,991千克,NULL,法国,亚音速,运输直升机,SA341/342“小羚羊”为上世纪六七十年代，法国宇航公司研制的一款多用途轻型直升机，还可为特种部队和对地目标攻击时所采用。适于执行舰载任务。,法国宇航公司(欧洲直升机公司)(法国),单旋翼,5人,12米,1900千克
SA330“美洲狮”通用型直升机,飞行器,294千米每小时,NULL,两台透博梅卡TurmoIVC涡轮轴发动机,1965年4月15日,双发,NULL,15米,NULL,572千米,NULL,{'$oid': '5cc93155831b973d657f13e2'},NULL,,5.1米,3615千克,1969年,法国,亚音速,运输直升机,SA330美洲狮直升机，是一种四叶桨、双发的中型运输暨通用型直升机。,法国宇航公司(欧洲直升机公司)(法国),单旋翼,16人,18.5米,7400千克
米-8多用途直升机,飞行器,260千米每小时,NULL,两台伊索托夫设计局的TB2-117A涡轮轴发动机,1961年,双发,NULL,21.3米,NULL,425千米,NULL,{'$oid': '5cc93155831b973d657f13e3'},NULL,http://images.huanqiu.com/sarons/2013/08/fb9f0e3ca0d51e713cdee6a46328a3eb.jpg,5.7米,7260千克,1967年,苏/俄,NULL,运输直升机,,米里设计局,单旋翼,34人,25.2米,11100千克
卡-25“激素”海军型直升机,飞行器,220千米每小时,NULL,2台GTD-3F涡轮发动机,1961年,单发,NULL,15.7米,NULL,400千米,NULL,{'$oid': '5cc93155831b973d657f13e4'},NULL,http://images.huanqiu.com/sarons/2013/07/02d6b79bb255a42a54a9656bc5b24c7d.jpg,5.4米,4765千克,NULL,苏/俄,亚音速,运输直升机,"
卡-25“激素”，是1961年俄罗斯卡莫夫设计局研制成功的一款海军反潜直升机。北约代号为“激素”（Hormone），Ka-25由Ka-20直升机发展而来。
",卡莫夫设计局,共轴双旋翼,4人,9.7米,7500千克
米-14“烟雾”反潜直升机,飞行器,230千米每小时,NULL,两台克里莫夫设计局TV3-117MT涡轮轴发动机,1969年9月,双发,NULL,21.9米,NULL,1135千米,NULL,{'$oid': '5cc93155831b973d657f13e5'},NULL,http://images.huanqiu.com/sarons/2013/08/dd4150cafd5ab2e0b9f1a48c4479c428.jpg,6.9米,7260千克,NULL,苏/俄,亚音速,运输直升机,,米里设计局 ,单旋翼,14人,25.3米,14000千克
EH-101“灰背隼”,飞行器,309千米每小时,NULL,3台涡轮发动机，每个1725千瓦,1987年10月9号,双发,该机为0.5英寸(12.7毫米)头挂机枪预备了机头炮塔；挂载点,18.6米,NULL,1389千米,NULL,{'$oid': '5cc93155831b973d657f13e6'},NULL,,6.6米,10500千克,1990,英国,亚音速,运输直升机,EH-101“灰背隼”是一种多用途直升机，1987年6月成功首飞。它全长22.81米，机身长15.85米，5桨叶，旋翼直径18.59米，尾桨直径4.01米，机全高6.65米，机宽5.49米。,阿古斯塔公司(意大利)和威斯特兰公司(英国),单旋翼,24人,22.8米,15600千克
AS550/555“小松鼠”,飞行器,287千米每小时,NULL,一台透博梅卡阿赫耶1D1或2B涡轮轴发动机(AS 350/550型)或是两个透博梅卡阿赫尤1A涡轮轴发动机(AS 355/555型),1974年6月27日,单发,NULL,10.7米,NULL,670千米,NULL,{'$oid': '5cc93156831b973d657f13e7'},NULL,,3.4米,1185千克,NULL,法国,亚音速,运输直升机,AS550/555“小松鼠”是一款轻型多用途直升机，也可为两栖作战部队和特种部队提供支援。,欧洲直升机公司(法国)，巴西特许生产,单旋翼,NULL,12.9米,NULL
HCMk4“海王”反潜直升机,飞行器,226千米每小时,NULL,罗尔斯一罗伊斯Gnome H.1400-1T涡轮轴发动机,1959年,双发,NULL,18.9米,NULL,556千米,NULL,{'$oid': '5cc93156831b973d657f13e8'},NULL,,5.1米,5600千克,1966年,英国,亚音速,运输直升机,“海王”是英国韦斯特兰直升机公司在美国西科斯基公司的S-61直升机的基础上研制的反潜直升机。,威斯特兰公司,单旋翼,30人,22.1米,9525千克
SA316/319“云雀”Ⅲ,飞行器,210千米每小时,NULL,一台“阿都斯特”IIIB涡轮轴发动机，功率870马力,1959年,单发,(如装备)机舱内配备7.62毫米的机枪或20毫米的MGl51/20加农炮。挂载点,11米,NULL,540千米,NULL,{'$oid': '5cc93156831b973d657f13e9'},NULL,,3米,1134千克,NULL,法国,亚音速,运输直升机,SA-316/319B“云雀”III直升机是法国航宇公司（现欧洲直升机公司法国分公司）在“云雀”II直升机的基础是研制的轻型多用途直升机。,欧洲直升机公司法国分公司,单旋翼,7人,12.8米,2200千克
CH-47“支奴干”中型运输直升机,飞行器,285千米每小时,NULL,2台2125千瓦的T55-L-7C涡轮轴发动机,1990年6月1日,双发,NULL,18.79米,NULL,2060千米,NULL,{'$oid': '5cc93156831b973d657f13ea'},NULL,,5.7米,10500千克,NULL,美国,亚音速,运输直升机,CH-47支奴干直升机（Chinook），是一种由美国波音公司研发并制造的多功能、双引擎，双螺旋桨的中型运输直升机。其双旋翼纵列式结构（contra-rotating rotors）剔除了一般直升机的尾部垂直螺旋桨，允许机体垂直升降，而且时速高达165哩。其首要任务从部队运输到炮台战场补给。CH-47已经被外销往16个国家， 最大的消费者是美军和英国的皇家空军。, 波音公司,纵列双旋翼,47人,15.5米,22700千克
Mi-8“河马”,飞行器,260千米每小时,NULL,2×Klimov TV3-117Mt 涡扇发动机，每个 1454 kW（1950 shp）,1961年7月9日,双发,机头处有一挺12.7毫米的机枪；挂载点,21.29米,NULL,450千米,NULL,{'$oid': '5cc93157831b973d657f13eb'},NULL,,5.54米,7260千克,1967年,苏/俄,亚音速,运输直升机,"
米-8直升机，北约绰号河马（Hippopotamus)，与米-17系列一起，是苏联米里设计局设计的世界经典通用直升机，也是世界上产量最大的直升机（12500架以上），而且生产数量还在不断上升，号称直升机王国中的“卡拉什尼科夫”。无论作为军用直升机还是州长的私人班机，它都游刃有余地切换着她的角色。这款性能优异的直升机，绝对是航空史上的经典，创造了世界航空史的传奇。
",前苏联米里设计局,单旋翼,27人,18.17米,12000千克
直-8舰载运输机,飞行器,315千米每小时,NULL,3台涡轴-6型发动机,NULL,双发,NULL,18.9米,NULL,830千米,NULL,{'$oid': '5cc93157831b973d657f13ec'},NULL,,6.66米,7095千克,NULL,中国,亚音速,运输直升机,,NULL,单旋翼,39人,20.27米,13000千克
直-8A,飞行器,315千米每小时,NULL,3台涡轴-6发动机,1995年12月22日,双发,NULL,18.9米,NULL,830千米,NULL,{'$oid': '5cc93157831b973d657f13ed'},NULL,http://images.huanqiu.com/sarons/2013/11/af32cf58a4e11b3ef1622968e4a1bc85.jpg,6.66米,7095千克,NULL,中国,亚音速,运输直升机,,中国直升机设计研究所、昌河机械厂,单旋翼,39人,23.05米,13000千克
米-17-V7 ,飞行器,250千米每小时,NULL,两部TV3-117涡轮发动机,2003年,双发,NULL,21.3米,NULL,500千米,NULL,{'$oid': '5cc93157831b973d657f13ee'},NULL,http://images.huanqiu.com/sarons/2013/11/0441850b4813cdf8b77596eb8d3d5bf5.jpg,5.34米,7200千克,NULL,中国,亚音速,运输直升机,"
米-17V7是在我03年开始装备的米-17V5的基础上与俄罗斯共同研制改进的新机型。改装过程也在俄罗斯进行。米-17V7在米-17V5的基础上改装了BK2500-02发动机，缓解了随着“黑鹰”渐渐老去带来的高原飞行保障不足的困难，有的也改装了机头雷达舱，机身窗户由圆形改为方型，但蛤式双开尾门和左右不同的机身外油箱保持不变。虽然米-17V7的飞行性能与“黑鹰”尚有差距、人机功能效率也不及，但亦如所有俄罗斯装备一样，米-17V7维护成本更低廉、保养配件充足、除了核心技术我们基本能够解决部件的国产化。补足了陆航对高原战术运输直升机的需求。
",喀山直升机工厂,单旋翼,27人,18.42米,13000千克
米-17,飞行器,250千米每小时,NULL,两部TV3-117涡轮发动机,1975年,双发,NULL,21.3米,NULL,500千米,NULL,{'$oid': '5cc93159831b973d657f13ef'},喀山直升机厂和乌兰乌德飞机厂,http://images.huanqiu.com/sarons/2013/11/e76fb1c46e2f856a7a0933e4936c2c7c.jpg,5.34米,7200千克,NULL,苏/俄,亚音速,运输直升机,,NULL,单旋翼,27人,18.42米,13000千克
米-17-V5,飞行器,250千米每小时,NULL,两部TV3-117涡轮发动机,2003年,双发,NULL,21.3米,NULL,500千米,NULL,{'$oid': '5cc93159831b973d657f13f0'},NULL,http://images.huanqiu.com/sarons/2013/11/d399211facf9caaa9a39c5d9c34a0c23.jpg,5.34米,7200千克,NULL,中国,亚音速,运输直升机,,NULL,单旋翼,27人,18.42米,13000千克
米6,飞行器,300千米每小时,NULL,两台索洛维耶夫D-25V发动机,1957年,双发,NULL,35米,NULL,620千米,NULL,{'$oid': '5cc9315a831b973d657f13f1'},NULL,http://images.huanqiu.com/sarons/2013/11/e32137815b496b67e0addbb360637f4c.jpg,9.86米,27240千克,NULL,苏/俄,亚音速,运输直升机,"
米-6，又名米-22，是前苏联米里设计局设计的单旋翼带尾桨式重型运输直升机，北大西洋公约组织给绰号为“吊钩”（Hook）。该机于1954年开始研制，1957年试飞，同年秋季公开展出。
",米里设计局,单旋翼,65人,33.18米,42500千克
S-70 黑鹰 ,飞行器,361千米每小时,NULL,T700-GE-701A涡轴发动机,1974年10月,双发,NULL,16.36米,NULL,600千米,NULL,{'$oid': '5cc9315a831b973d657f13f2'},NULL,http://images.huanqiu.com/sarons/2013/11/25bb32dade896132a978c8d1c55854dc.jpg,5.18米,5118千克,1979年4月,中国,亚音速,运输直升机,,西科斯基飞机公司,单旋翼,12人,19.76米,9779千克
直-8,飞行器,315千米每小时,NULL,3台涡轴-6发动机,1987年,双发,NULL,18.9米,NULL,830千米,NULL,{'$oid': '5cc9315a831b973d657f13f3'},NULL,http://images.huanqiu.com/sarons/2013/11/832dde18e2232e06a3ade178fcafd295.jpg,6.66米,7095千克,NULL,中国,亚音速,运输直升机,,中国直升机设计研究所与昌河飞机工业公司,单旋翼,39人,23.05米,13000千克
米17-1V,飞行器,250千米每小时,NULL,两部TV3-117涡轮发动机,NULL,双发,NULL,21.3米,NULL,500千米,NULL,{'$oid': '5cc9315a831b973d657f13f4'},NULL,http://images.huanqiu.com/sarons/2013/11/6a282affb506fe2b29ed97771d7f6b99.jpg,5.34米,7200千克,NULL,苏/俄,亚音速,运输直升机,"
米-17直升机是前苏联米里设计局研制的单旋翼带尾桨中型运输直升机，分别由喀山和乌兰乌德两家航空工厂生产。北大西洋公约组织给它取的绰号为“河马”-H（Hip-H）。 米-17于1981年在巴黎航空展览会上首次展出，1983年开始出口。改进型米17-1V由喀山制造，特征和米17一样，不过在其尾梁下方有一个红外诱饵发射器。
",喀山飞机制造厂，乌兰乌德航空工厂,单旋翼,27人,18.42米,13000千克
直-8F,飞行器,315千米每小时,NULL,PT6B－67A,2004年8月,双发,NULL,18.9米,NULL,830千米,NULL,{'$oid': '5cc9315a831b973d657f13f5'},NULL,http://images.huanqiu.com/sarons/2013/11/b57d2455033254d5722fa525c1389c8b.jpg,6.66米,7095千克,NULL,中国,亚音速,运输直升机,"
在2002年的珠海航展上当时的航空第二集团首次展出换装发动机后的直-8F型通用型直升机，其是在直-8A的基础上换装加拿大普惠公司的PT-6B-67A发动机和复合材料桨叶以及新型航电系统，提高了该机的性能，其可靠性、经济性和操纵性都有了明显的提高，在军民用领域都有广泛的用途。
",昌河飞机工业（集团）公司和中国直升机设计研究所,单旋翼,39人,23.05米,13000千克
直-20,飞行器,300千米每小时,NULL,涡轴-16发动机,2007年,双发,NULL,NULL,NULL,830千米,NULL,{'$oid': '5cc9315a831b973d657f13f6'},NULL,,NULL,9200千克,NULL,中国,亚音速,运输直升机,,中国航空工业第二集团,单旋翼,12人,15.7米,NULL
直-8K/KA,飞行器,315千米每小时,NULL,3台涡轴-6型发动机,NULL,双发,NULL,18.9米,NULL,830千米,NULL,{'$oid': '5cc9315b831b973d657f13f7'},NULL,http://images.huanqiu.com/sarons/2013/11/7915658a1e40d61fd8536770934c208f.jpg,6.66米,7095千克,NULL,中国,亚音速,运输直升机,"
直-8是中国在20世纪90年代以法国超黄蜂直升机为基础仿制的一款中型直升机，该机在最初的研制过程中，曾经历过一些波折，但通过不断改进，最终成为一款成功的中型直升机。
",NULL,单旋翼,39人,20.27米,13000千克
超级美洲豹AS332L1,飞行器,315千米每小时,NULL,两台透博梅卡公司 “马基拉”1A2,NULL,双发,NULL,3.38米,NULL,851千米,NULL,{'$oid': '5cc9315b831b973d657f13f8'},NULL,http://images.huanqiu.com/sarons/2013/11/278a60896bdeda10fa6566f54d7d01e8.jpg,4.97米,4686千克,NULL,法国,亚音速,运输直升机,"
超美洲豹AS332L1为一款双发中型民用直升机。其作业特性和宽敞的座舱是该机在旅客运输领域成功的原因。AS332L1飞行平稳流畅，其宽敞的座舱为乘客提供了无法比拟的舒适和豪华品质。充足的剩余功率、安全水平和舒适性，使得超美洲豹AS332L1成为在近海石油平台支持或其他民用领域和公务用途中的首选机型。
",NULL,单旋翼,29人,16.79米,9300千克
卡曼K-MAX单发涡轮外挂起重直升机,飞行器,185千米每小时,NULL,一台T-53-17A-1涡轮轴发动机,1991年12月23日,NULL,NULL,14.73米,NULL,555千米,NULL,{'$oid': '5cc9315b831b973d657f13f9'},卡曼飞机公司,http://images.huanqiu.com/sarons/2014/01/1b6813afebce0dce2a025b908a253a88.jpg,4.1米,2180千克,NULL,美国,亚音速,运输直升机,"
K-MAX直升机的研制是为了满足外挂起重作业的需要。K-MAX于1991年12月23日首飞，1992年3月公开亮相，1994年8月获得型号合格证后开始交付使用。K-MAX直升机的生产规模较小，一共只交付了31架。
",NULL,交叉双旋翼,1人,15.85米,5266千克
SA319云雀III型,飞行器,210千米每小时,NULL,一台透博梅卡阿都斯特IIIB涡轮轴发动机,1959年2月28日,双发,NULL,11.02米,NULL,540千米,NULL,{'$oid': '5cc9315b831b973d657f13fa'},南方飞机公司、法国航太,http://images.huanqiu.com/sarons/2013/11/b5f94a583693e7babd304fbbb2a3e1b0.jpg,3米,1143千克,1960年,法国,亚音速,运输直升机,"
SA319云雀III型（Aérospatiale Alouette III）是由法国宇航公司生产的轻型、单发及七座多用途直升机。云雀III型于1959年2月28日首飞，1985年停产，是云雀II型的后续机型。
",NULL,单旋翼,7人,10.03米,2200千克
AS 332“超美洲豹”双发涡轮中型直升机,飞行器,309千米每小时,NULL,2台透博梅卡公司“马基拉”1A1涡轴发动机,1978年9月13日,双发,NULL,15.6米,NULL,870千米,NULL,{'$oid': '5cc9315c831b973d657f13fb'},NULL,http://images.huanqiu.com/sarons/2014/01/51fa20eaaea7dfb3cba7e2b616976bb7.jpg,4.95米,4536千克,1981年,法国,亚音速,运输直升机,,欧洲直升机公司,单旋翼,19人,18.7米,8600千克
卡-26/126“恶棍”双发活塞式轻型直升机,飞行器,170千米每小时,4.6米,242.5千瓦(330马力)的M-14B-26星形气冷活塞发动机,1965年,双发,NULL,13米,NULL,1200千米,NULL,{'$oid': '5cc9315c831b973d657f13fc'},NULL,http://images.huanqiu.com/sarons/2014/01/d96ab1c42b96aaf3ba7b375c66470cd6.jpg,4.05米,1950千克,1970年,苏/俄,亚音速,运输直升机,"
卡-26/126是为农业和其他空中作业研制的多功能直升机，1965年首飞。引人注目的是它的驾驶舱后面安装了可互换模块，可针对客运/货运、空中救护、消防及其他用途而进行调换。1970年，卡-26/126直升机在前苏联开始了它的服役生涯。该机型共计交付了超过850架。
",卡莫夫设计局,共轴双旋翼,7人,7.75米,3250千克
西科斯基S-61双发涡轮中型直升机,飞行器,267千米每小时,NULL,通用电气CT58涡轮轴发动机,1959年3月11日,双发,NULL,18.9米,NULL,833千米,NULL,{'$oid': '5cc9315c831b973d657f13fd'},NULL,http://images.huanqiu.com/sarons/2014/01/ee858962517a2420bdd13b82be62bf89.jpg,5.6米,NULL,NULL,美国,亚音速,运输直升机,,西科斯基直升机公司,单旋翼,32人,22.2米,NULL
米-171（新款）,飞行器,260千米每小时,NULL,两台TV3-117VM涡轴发动机,NULL,双发,NULL,21.29米,NULL,495千米,NULL,{'$oid': '5cc9315c831b973d657f13fe'},NULL,http://images.huanqiu.com/sarons/2013/11/d7f8c326712ba3adacb354c3056f800b.jpg,5.6米,7055千克,NULL,苏/俄,亚音速,运输直升机,米-171直升机是俄罗斯米里设计局设计、俄罗斯乌兰航空生产联合公司生产的新型直升机，是著名的米-8T和米-17的现代化改进型，性能和可靠性比米-8T和米-17有显著提高。新机于1988年开始研制，1991年开始生产。之后又发展了多种型号。,NULL,单旋翼,30人,25.35米,13011千克
西科斯基S-64“高空吊车”双发涡轮重型起重直升机,飞行器,213千米每小时,NULL,普-惠JFTD-12涡轮轴发动机,1962年5月9日,双发,NULL,22米,NULL,370千米,NULL,{'$oid': '5cc9315c831b973d657f13ff'},NULL,http://images.huanqiu.com/sarons/2014/01/4278d76533b3084ddf965975ae05601c.jpg,7.8米,NULL,NULL,美国,亚音速,运输直升机,,西科斯基直升机公司,单旋翼,3人,27米,NULL
米-26“光环”双发涡轮重型直升机,飞行器,295千米每小时,NULL,ZMKB Progress D-136涡轮轴发动机,1977年12月14日,双发,NULL,32米,NULL,1920千米,NULL,{'$oid': '5cc9315c831b973d657f1400'},NULL,http://images.huanqiu.com/sarons/2013/11/67b43cc56081b7caf328ddc821157ed7.jpg,8.2米,28200千克,1983年,苏/俄,亚音速,运输直升机,"
米-26“光环”是世界最大的直升机，在1981年的巴黎航空展上首次展出，20世纪70年代初期开始研制，1977年12月14日原型机首飞，1983年投入运营，1986年6月开始出口。米-26直升机一共交付了超过300架。
",米里设计局 ,单旋翼,84人,40米,56000千克
AC313,飞行器,NULL,NULL,NULL,2010年3月18日,双发,NULL,NULL,NULL,900千米,NULL,{'$oid': '5cc9315d831b973d657f1401'},中航工业直升机所和中航工业昌飞公司,http://images.huanqiu.com/sarons/2013/11/e4f4dbd8a84b752e33a2a6d22d1cb35b.jpg,NULL,NULL,2013年下半年,中国,亚音速,运输直升机,"
AC313型机是由中航工业直升机所和中航工业昌飞公司共同研制的、我国第一个完全按照适航条例规定的要求和程序进行研制的大型运输直升机，也是我国自行研制生产的唯一一种中型直升机，填补了我国中型民用直升机生产的空白。AC313型机是典型的单旋翼带尾桨直升机，并列双驾驶构型，配装三台涡轴发动机，前三点不可收放式起落装置，最大起飞重量13.8吨，适合在海洋气候条件和其它各种复杂恶劣环境下使用，可实现野外一般场地起降，执行人员、物资的运输及搜索救援、抢险救灾等任务。
",中国航空工业集团公司、中航工业昌飞公司,单旋翼,27人,NULL,13800千克
