_id,图片,乘员与载员,类型,诞生时间,名称,战斗全重,简介,最大行程,研发厂商,大类,宽度,最大速度,关注度,高度,产国,底盘类型,车长
{'$oid': '5cc932b2831b973d657f1cf8'},http://images.huanqiu.com/sarons/2014/03/3fd1900adbce93b01ca91c61976e8f9a.jpg,11人,步兵战车,1986年,86式履带式步兵战车,13300千克,"
86式履带式步兵战车是中国的第一代步兵战车(研制代号为WZ501)。 该车1986年正式批准设计定型，并命名为1986式履带式步兵战车，简称为86式履带式步兵战车。该车自研制以来，陆续承接了国外定货，1987年进行了小批量生产。
",510公里,中国北方工业总公司,坦克装甲车辆,2.97米,65公里/小时,(4.8分),2.154米,中国,履带式,6.74米
{'$oid': '5cc932b2831b973d657f1cf9'},,9人,步兵战车,未知,MLVM山地战车,9000千克,"
MLVM山地战车(Mountaineers CombatVehicle)是为满足罗马尼亚陆军对山地作战能力车辆需求而专门研发的。
",680公里,NULL,坦克装甲车辆,2.714米,48公里/小时,NULL,1.55米,罗马尼亚,履带式,5.85米
{'$oid': '5cc932b2831b973d657f1cfa'},http://images.huanqiu.com/sarons/2013/11/c76cd0522b56756137a24a3e4408950e.jpg,11人,步兵战车,1967年,BMP-1步兵战车,13500千克,"
BMP-1战车，是60年代中期前苏联设计师们研制成功的一款全新型战车。主要装备苏军的坦克师和摩步师的摩步团，用以取代50年代的БТР-50ПК履带式装甲人员输送车和部分60年代生产的БТР-60ПБ轮式装甲人员输送车。
",7公里,前捷克斯洛伐克和俄罗斯的国家兵工厂,坦克装甲车辆,2.94米,65公里/小时,NULL,2.15米,苏/俄,履带式,6.74米
{'$oid': '5cc932b2831b973d657f1cfb'},http://images.huanqiu.com/sarons/2013/11/6cf1fcdd5f7273fb388e9b70c8e52578.jpg,10人,步兵战车,1970年,M-80机械化步兵战车,13700千克,"
BVPM80机械化步兵战车是南斯拉夫在M980机械化步兵战车的基础上发展起来的。1984年在开罗国际装备展览会上首次展出，1980年正式投产，用以取代M980型。到1988年初，大约已生产了500多辆。
",500公里,前南斯拉夫国家兵工厂,坦克装甲车辆,2.59米,60公里/小时,NULL,2.5米,前南斯拉夫,履带式,6.4米
{'$oid': '5cc932b3831b973d657f1cfc'},http://images.huanqiu.com/sarons/2013/11/01b9184430044a039cb60a61362d6bc2.jpg,9人,步兵战车,1979年,通用装甲车,10500千克,"
1974年加拿大陆军提出装备轮式通用装甲车的要求，并在分析研究14种车型之后最终选中瑞士莫瓦格公司的皮兰哈 (Piranha)(6×6)车作为底盘。1977年，加拿大国防部同加拿大通用汽车公司柴油机分部签订价值1.71亿美元合同，1982年完成交货，总计提供轮式通用装甲车491辆。
",603公里,NULL,坦克装甲车辆,2.53米,101.5公里/小时,NULL,2.53米,美国,轮式,5.968米
{'$oid': '5cc932b3831b973d657f1cfd'},http://images.huanqiu.com/sarons/2013/11/0280f62cca799c66bf36aec0a09a4af8.jpg,7人,步兵战车,1960年,BMD-1空降战车,7500千克,"
BMD-1空降战车是专为满足俄罗斯空降部队需求而研发的，于1973年首次公开亮相。
",320公里,俄罗斯图拉设计局,坦克装甲车辆,2.63米,70公里/小时,NULL,1.62米,苏/俄,履带式,5.4米
{'$oid': '5cc932b3831b973d657f1cfe'},http://images.huanqiu.com/sarons/2013/11/00a397f99d8bea48b10adf57ead0e513.jpg,7人,步兵战车,1972年,BMP-23步兵战车,15200千克,"
为满足保加利亚陆军需求，保加利亚防务工业研发了BMP-23步兵战车，该车使用了一系列保加利亚特许生产的俄罗斯MT-LB多用途装甲车和2S1型122毫米自行火炮系统的部件。
",600公里,NULL,坦克装甲车辆,2.53米,61.5公里/小时,NULL,2.53米,保加利亚,履带式,7.285米
{'$oid': '5cc932b3831b973d657f1cff'},http://images.huanqiu.com/sarons/2013/11/c1428d4a9182b26181f2ef4102a983ca.jpg,10人,步兵战车,1982年,BMP-2步兵战车,14300千克,"
BMP-2步兵战车为BMP-1的改进车型，在1982年莫斯科的阅兵式中首次对公众亮相。相对于BMP-1，BMP-2采用了功率更大的发动机，装备的武器也与BMP-1有所不同。
",600公里,俄罗斯国家兵工厂,坦克装甲车辆,3.15米,65公里/小时,NULL,2.45米,苏/俄,履带式,6.735米
{'$oid': '5cc932b3831b973d657f1d00'},,7人,步兵战车,1989年,BMD-3空降战车,13200千克,"
BMD-3是更早的BMD-1和BMD-2空降战车的后续开发车型，体积更大，重量也有所提高。该车于1989年投产，目前为止，只服役于俄罗斯空降部队。
",500公里,伏尔加格勒拖拉机厂(俄罗斯，伏尔加格勒)。,坦克装甲车辆,3.134米,71公里/小时,NULL,2.17米,苏/俄,履带式,6.36米
{'$oid': '5cc932b3831b973d657f1d01'},http://images.huanqiu.com/sarons/2013/11/1b7ba48230e83abdc165b51fe3588160.jpg,3人,步兵战车,1983年,“鼬鼠”1空降装甲车,2800千克,"
“鼬鼠”1空降战车是前联邦德国国防部为装备特遣空降部队而由德国波尔舍公司设计制造的。研制用了约20年的时间，1990年8月，首批“鼬鼠”1空降战车交付部队使用。该车战斗全重2.75吨，是目前世界上现役装备中重量最轻的装甲战车。“鼬鼠”1空降战车为履带式，安装武器不同分机关炮型和导弹型。
",300公里,波尔舍公司,坦克装甲车辆,1.82米,75公里/小时,NULL,1.897米,德国,履带式,3.31米
{'$oid': '5cc932b3831b973d657f1d02'},http://images.huanqiu.com/sarons/2013/11/ce87affb9af93bfac697b9a8eb47aab6.jpg,10人,步兵战车,1984年,89式机械化步兵战车 ,27000千克,89式装甲战斗车是陆上自卫队搭配坦克使用的步兵战车、兼具武器和装甲是开发成功的日本第一种步兵战车。陆上自卫队已经有多种装甲运兵车例如60式装甲运兵车和73式装甲运兵车都已经装备，但是世界的潮流已经走向坦克一起行动的机械化步兵不仅是移动、还有一定程度装甲强化和支援火力强化、所以也使日本有了新型装备开发期望产生。1980年三菱重工开始开发本车到1984年开始试验车、技术试验・实际试验完成后1989年服役。陆上自卫队的步兵都称为普通科的“装甲战斗车”。陆上自卫队员间也有用Fighting Vehicle简称FV。,400公里, 日本制钢所,坦克装甲车辆,3.2米,70公里/小时,NULL,2.5米,日本,履带式,6.7米
{'$oid': '5cc932b3831b973d657f1d03'},http://images.huanqiu.com/sarons/2013/11/06e1aa0086a0399048a2635239a72bc4.jpg,11人,步兵战车,1985年-1991年 (MLI-84)，1995年至今(MLI-84M),MLI-84步兵战车,16600千克,罗马尼亚MLI-84实际上是俄罗斯库尔干机械制造厂BMP-1步兵战车的罗马尼亚生产型，但是MLI-84更重一些且采用不同的发动机，还在原型的顶部舱盖左后方装有一挺12.7毫米DSHKM机枪。外界认为制造商共计为罗马尼亚陆军生产了184辆MLI-84。该车从未出口。,600公里, ROMARMSA,坦克装甲车辆,3.15米,65公里/小时,NULL,1.98米,罗马尼亚,履带式,7.32米
{'$oid': '5cc932b4831b973d657f1d04'},,10人,步兵战车,20世纪80年代,BMP-3步兵战车,18700千克,"
俄罗斯BMP-3步兵战车是俄罗斯第三代履带式步兵战车，80年代初开始研制，1986年投产，投产前，该车在各种实战条件下进行了大规模的野外试验，其性能较之俄罗斯BMP-2步兵战车第二代步兵战车又有了很大的提高。曾在俄军及俄罗斯驻民主德国的部队中装备，该车还参加过车臣战争。

BMP-3是为满足俄罗斯陆军需求而研发的，于1990年莫斯科阅兵式上首次对外亮相。
",600公里,Kurganmashzavod,坦克装甲车辆,3.15米,70公里/小时,NULL,2.3米,苏/俄,履带式,7.14米
{'$oid': '5cc932b4831b973d657f1d05'},http://images.huanqiu.com/sarons/2013/11/8fd9ae2ece4334f8d63b066165692cc2.jpg,12人,步兵战车,1985年,大宇KIFV步兵战车,12900千克,"
KIFV步兵战车（Korea Infantry FightingVehicle）由大宇重工业公司特殊产品分部研发，目的是满足韩国陆军需求。车体与美国AIFV步兵战车类似，但KIFV采用MAN公司发动机、英国大卫·布朗工程公司T-300全自动传动装置，此外，车顶布局也有所不同。
",480公里,大宇重工业公司（韩国，首尔）,坦克装甲车辆,2.846米,74公里/小时,NULL,1.93米,韩国,履带式,5.49米
{'$oid': '5cc932b4831b973d657f1d06'},,3人,步兵战车,1972年,菲亚特/奥托·梅莱拉6616型装甲车,8000千克,"
该车是菲亚特(FIAT)和奥托·梅拉拉(OTO Melara)两家公司联合研制，由菲亚特的伯尔扎努(Bolzano)工厂进行总装和试验，样车于1972年完成。试验后，意大利政府为轻骑兵团订购了50辆。意大利空军为了将该车用于机场保安而进行了鉴定。
",700公里,菲亚特公司和奥托·梅拉拉公司,坦克装甲车辆,2.5米,100公里/小时,NULL,2.035米,意大利,轮式,5.37米
{'$oid': '5cc932b4831b973d657f1d07'},http://images.huanqiu.com/sarons/2013/11/f75b158bfb2ae112e5067708bf63532c.jpg,11人,步兵战车,1996年,ASCOD机械化步兵战车,28000千克,"
ASCOD（Austrian Spanish Co-OperativeDevelopment，奥地利和西班牙联合研发之意）机械化步兵战车由奥地利施泰尔-戴姆勒-普赫与西班牙圣·芭芭拉公司联合研发，西班牙于1996年最先订购144辆生产车型并命名为“皮萨罗”（Pizarrn）。
",600公里,施泰尔-戴姆勒-普赫公司（奥地利，维也纳）、 圣·芭芭拉公司（西班牙，马德里）,坦克装甲车辆,3.15米,70公里/小时,NULL,1.775米,奥地利,履带式,6.986米
{'$oid': '5cc932b4831b973d657f1d08'},http://images.huanqiu.com/sarons/2013/11/5ff1c96649afd10f067d97e6a52dd897.jpg,10人,步兵战车,1970年,AIFV装甲步兵战车,13687千克,"
为了弥补M2步兵战车和M113装甲人员输送车之间的巨大差距，也为了制造一种廉价的步兵战车用于国际军火市场竞争，美国食品机械化学(FMC)公司在M113装甲人员输送车的基础上研制了AIFV步兵战车。主要用于出口。
",490公里,美国食品机械化学(FMC)公司 ,坦克装甲车辆,2.819米,61.2公里/小时,NULL,2.007米,美国,履带式,5.58米
{'$oid': '5cc932b4831b973d657f1d09'},http://images.huanqiu.com/sarons/2013/11/c441ac9f6d829e6419da6a1ebe8da7e4.jpg,10人,步兵战车,1978年,M2A3“布雷德利”步兵战车,36659千克,"
美国“布莱德利”M2A3步兵战车是M2/M3系列步兵战车的最新改进车型，被称为 “数字化的‘布莱德利’战车”。
",400公里,联合防务LP公司,坦克装甲车辆,3.28米,61公里/小时,NULL,3.38米,美国,履带式,6.55米
{'$oid': '5cc932b5831b973d657f1d0a'},,9人,步兵战车,1996年,VN2轮式装甲车,18000千克,"
VN2装甲车为15~18吨级装甲车，整车长6.78 米，宽2.8 米，到顶甲板高 2.06米，能够实现公路、铁路和船舶运输，还能采用C-130空中运输。 VN2装甲车可以在低强度作战条件下进行作战，也可部署于维和行动和反恐行动中。
",800公里,NULL,坦克装甲车辆,2.8米,100公里/小时,NULL,2.06米,中国,轮式,6.78米
{'$oid': '5cc932b5831b973d657f1d0b'},,20人,步兵战车,1996年,EFV远征战车,34473千克,"
EFV水陆两栖装甲车是世界上第一部可以在水面上“滑行”的装甲战车，其在水面上的时速是其他两栖战车无法比拟的，是新一代的水陆两栖战车。EFV远征战车即美国AAAV先进两栖突击车。AAAV定型后，于2003年9月10日被改称为“远征战车”(EFV)。
",523公里,NULL,坦克装甲车辆,3.66米,72.41公里/小时,NULL,3.28米,美国,履带式,9.33米
{'$oid': '5cc932b5831b973d657f1d0c'},,9人,步兵战车,1982年,奥拓-梅莱拉步兵装甲战车(VCC-1),11600千克,奥托-梅莱拉步兵装甲战车(IAFV)由意大利陆军机动车辆技术局研发，以奥托·梅莱拉公司特许生产的美国M113A1为基础。改进主要包括增强了火力，提高了装甲防护能力(标准铝质装甲并在车体正面、两侧和后面披挂钢制装甲)，改进了步兵座位布局和步兵从车内射击的条件 (射孔和观察窗)。意大利陆军还把该车称为VCC-1。最后一批生产车型于1982年交付。,550公里,意大利陆军机动车辆技术局,坦克装甲车辆,2.686米,64.4公里/小时,NULL,2.552米,意大利,履带式,5.041米
{'$oid': '5cc932b5831b973d657f1d0d'},http://images.huanqiu.com/sarons/2013/11/6d4f83a6b98a2ea92a724c794ed0989a.jpg,4人,步兵战车,1990年,“半人马座”坦克歼击车,25000千克,"
意大利“半人马座”轮式装甲车早在1990年就已批量生产了，相信广大兵器迷对它并不陌生。这种装甲车由于装有大口径加农炮而具有了强大的火力，再加上其轮式底盘出色的公路机动性和较好的越野机动性，使它能够独立遂行侦察和反坦克作战任务，故被人们称为“轮式坦克”。但是今天我们介绍的不是“半人马座”的原型车，而是拥有120毫米坦克炮的增强火力型“半人马座”轮式装甲侦察车。
",800公里,依维柯·菲亚特公司,坦克装甲车辆,3.05米,105公里/小时,NULL,2.735米,意大利,轮式,8.555米
{'$oid': '5cc932b5831b973d657f1d0e'},,13人,步兵战车,1988年,TIFV步兵战车,13687千克,"
TIFV步兵战车是FNSS防务系统公司与其他公司合资研发的，目的是满足土耳其陆军需求。该车是在联合防务公司AIFV步兵基础上研制而成。共计生产了1998辆车，其中650辆为AIFV安装带25毫米加农炮和7.62毫米并列机枪的单人炮塔。该车具备完全两栖能力，在水中由履带推进。

AIFV分两种车型，一种采用法国“德拉加”25毫米炮炮塔，另一种采用联合防务公司25毫米炮炮塔。
",400公里,FNSS防务系统公司,坦克装甲车辆,2.82米,65公里/小时,NULL,2.01米,土耳其,履带式,5.26米
{'$oid': '5cc932b5831b973d657f1d0f'},http://images.huanqiu.com/sarons/2013/11/96495339cfeb10c9aac4f52e7e6faa25.jpg,11人,步兵战车,1993年,CV90装甲战车,22800千克,CV90的“铁脚板”踏遍整个西欧。1991年初签订首批CV 90(CV 9040)生产合同，1993年首批生产车型交付。,600公里,HB乌特维克林(HBVtvcckling),坦克装甲车辆,3.003米,70公里/小时,NULL,2.5米,瑞典,NULL,6.471米
{'$oid': '5cc932b5831b973d657f1d10'},http://images.huanqiu.com/sarons/2013/11/016de83401b2417c7b6c8c822343fce5.jpg,3人,步兵战车,1959年,潘哈德AML轻型装甲车,5500千克,"
潘哈德AML，所有AML都有相似布局：驾驶员在前部，炮塔在中部，发动机在后部。伊斯帕诺一絮扎双人H90炮塔旋转范围为360°，90毫米火炮俯仰范围为-8°～-15°：主武器的90毫米火炮可发射榴弹、破甲弹、霰弹和烟幕弹。7.62毫米机枪同轴安装于主武器左侧，7.62毫米或12.7毫米机枪可安装于炮塔顶。
",600公里,潘哈德公司,坦克装甲车辆,1.97米,90公里/小时,NULL,2.07米,法国,轮式,5.11米
{'$oid': '5cc932b5831b973d657f1d11'},http://images.huanqiu.com/sarons/2013/11/ff8a5f0b7e0c20f8fddbc16647f2d6bf.jpg,10人,步兵战车,1980年,“武士”机械化战车 ,28000千克,"
英国武士履带式机械化步兵战车，1967年，英军对未来装甲车的要求提出了初步建议。1968～1971年间，英国国防部对此建议进行了可行性研究。1972～1976年间又进行了第一期方案论证，并由国防部负责选择方案以便根据财政能力制订实施计划。1977～1978年，经过择优评比，由GKN-桑基公司开始第二期方案论证，并确定该公司为主承包商。为便于对比，1978年还对美国的XM2步兵战车进行了试验鉴定。翌年，在继续研究XM2的同时，开始了对该车的全面研制，并称之为MCV-80。
",660公里,BAE系统地面系统分公司,坦克装甲车辆,3.034米,75公里/小时,NULL,2.791米,英国,履带式,6.34米
{'$oid': '5cc932b6831b973d657f1d12'},http://images.huanqiu.com/sarons/2013/11/d83e123f93379abf60dd1911b336bc92.jpg,3人,步兵战车,1984年,ERC 90 F4“标枪”装甲车,8300千克,"
潘哈德ERC 90 F4“标枪”装甲车，由潘哈德和勒瓦索尔机械制造公司专门为出口研制，由潘哈德和勒瓦索尔机械制造公司生产，并于1979在其新建的莫鲁尔工厂完成第一批生产，1984年第一批装甲车完成生产并交付法国陆军。
",700公里,潘哈德和勒瓦索尔机械制造公司,坦克装甲车辆,2.495米,95公里/小时,NULL,2.254米,法国,轮式,7.693米
{'$oid': '5cc932b6831b973d657f1d13'},http://images.huanqiu.com/sarons/2013/11/ea501f02f81754107018c2ff204a960b.jpg,12人,步兵战车,20世纪90年代,97式步兵战车,20000千克,"
ZBD-97步兵战车又被称为97式步兵战车、97式履带式步兵战车或WZ502步兵战车（由该步兵战车的研发代号WZ502工程得名），是中国生产的新型专用型步兵战车，该型战车具有一定的自行浮渡能力，可进行有限的两栖作战。
",600公里,NULL,坦克装甲车辆,NULL,70公里/小时,NULL,NULL,中国,履带式,NULL
{'$oid': '5cc932b6831b973d657f1d14'},,5人,步兵战车,1970年,LAV-150AFV,9888千克,"
1962年，凯迪拉克·盖奇(今达信海上与地面系统)公司开始自行投资研发一种后被称为LAV-100的4×4轻型装甲车，第一辆样车完成于1963年，次年第一辆量产车完成。该车由克莱斯勒汽油发动机驱动，大规模用于越南。其升级版LAV-200也被制造，但仅销往新加坡。1970年LAV-100和LAV-200停产，取代它们生产的是LAV-150，此车有诸多改进，包括将汽油机环卫柴油发动机。1985年LAV-150又被LAV-150S取代，后者轴距更长，因此也更重。迄今已制造了3200辆。
",643公里,达信海上与地面系统公司,坦克装甲车辆,2.26米,88.54公里/小时,NULL,2.54米,美国,轮式,6米
{'$oid': '5cc932b6831b973d657f1d15'},http://images.huanqiu.com/sarons/2013/11/03362812c9b7bc54ee9899415832eb87.jpg,11人,步兵战车,2000年3月,VBCI步兵战车,28000千克,"
VBCI装甲步兵战车（法语：Véhicule Blindé de Combat d'Infanterie），新一代法国轮式步兵战车，2008年进入现役。VBCI的车体由铝合金制造，外部覆盖特种钢和钛合金模块装甲。底盘为8x8全驱动结构，具备与主战坦克接近的机动性与通过性。可以由A400M运输，具有良好的战略机动性。
",750公里,地面武器工业集团(GIAT)和雷诺公司,坦克装甲车辆,2.98米,100公里/小时,NULL,2.26米,法国,轮式,7.8米
{'$oid': '5cc932b6831b973d657f1d16'},http://images.huanqiu.com/sarons/2013/11/f8cd0a17e7a302c65c31627f1d09d0a3.jpg,11人,步兵战车,1974年,“獾”式步兵战车 ,18500千克,"
南非獾式(Ratel)轮式步兵战车1968年由南非桑达克·奥斯特瑞尔·比派克公司开始设计，以满足南非步兵和装甲兵的需要。“獾”式步兵战车6×6应南非陆军需求而研制，第一辆样车于1974年研制而成，南非军方对该车的要求是装甲防护性能好，公路上行驶速度快，行程大，保养量小，火力强，越野机动性高，部件尽可能军民通用。
",860公里,南非桑达克·奥斯特瑞尔·比派克公司,坦克装甲车辆,2.516米,105公里/小时,NULL,2.915米,南非,轮式,7.2米
{'$oid': '5cc932b7831b973d657f1d17'},,4人,步兵战车,未知,Aquatrack履带式两栖车,21750千克,"
该车两栖，还可在高达3.05米的海浪中行驶。Aquatrack也能适应陡峭、泥泞、柔软的沙滩或坚硬的冻土等恶劣的环境。
",500公里,NULL,坦克装甲车辆,3.2米,75公里/小时,NULL,3.7米,英国,NULL,9.6米
{'$oid': '5cc932b7831b973d657f1d18'},http://images.huanqiu.com/sarons/2013/11/7d53e758e3399b2ce13cfe4ac7702870.jpg,12人,步兵战车,1975年,BMR-600轮式步兵战车,14000千克,"
为满足军方需要，西班牙陆军部研究局装甲车辆委员会与ENASA公司产品局合作开发的轮式步兵战车。该车于1975—1976年研制出第一辆样车该公司将这辆车命名为BMR 3560型。后定名为BMR-600型。
",1000公里,西班牙陆军和毕加素公司,坦克装甲车辆,2.5米,103公里/小时,NULL,2.36米,西班牙,轮式,6.15米
{'$oid': '5cc932b7831b973d657f1d19'},,11人,步兵战车,1982年9月,LAV-25轻型装甲车,16329千克,LAV-25装甲车为美军设计成八轮装甲车，由通用地面系统公司制造，配有M242 25毫米机炮，M2勃朗宁重机枪，此车为LAV-3的前身，目前依然是美军主力车种，预计2015由陆战队人员输送车（MPC）取代。1980年美国为了满足新组建的快速署部队的需要，根据LAV轻型装甲车辆，决定发展一种轮式步兵战车，由美国陆军和海军陆战队共同负责实施，并提出了能满足双方要求的技术指标。1982年9月美军正式宣布加拿大通用汽车公司柴油机分部的方案中标，并将该公司提供的皮兰哈(Piranha)轮式装甲车命名为LAV-25。,500公里,瑞士莫瓦格公司,坦克装甲车辆,2.667米,99公里/小时,NULL,2.692米,加拿大,轮式,6.39米
{'$oid': '5cc932b7831b973d657f1d1a'},,11人,步兵战车,1986年,NFV-1步兵战车,NULL,"
该车是在1986年6月中国北方工业公司与美国食品机械化学(FMC)公司协商以共同研制NFV-1步兵战车。主要是在86式步兵战车底盘上安装美国食品机械化学公司的单人炮塔，火炮换为1门M242型25毫米大毒蛇机关炮。
",NULL,中国北方工业公司与美国食品机械化学公司,坦克装甲车辆,NULL,65公里/小时,NULL,NULL,中国,履带式,NULL
