名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
B/RB-47“同温层喷射”,飞行器,980千米每小时,33.36米,六台通用电气J47-GE-25A,1947年12月l7日,六发,1969年 (B-47E)，1977年 (EB-47E),NULL,6400千米,{'$oid': '5cc930c4831b973d657f10ab'},NULL,http://images.huanqiu.com/sarons/2013/08/2179c633097084da3e72bdf004f3979f.jpg,8.52米,36631千克,1951年6月,美国,亚音速,轰炸机,波音B-47 同温层喷射机是一型拥有六具喷射发动机的长程中型轰炸机。它的设计目的是以高亚音速的速度自高空穿透苏联的防线，以核弹攻击苏联本土地区。它可以说是自二次世界大战以来一个极为重要的跨时代设计。在现代大型喷射客机上所见到几个重要特征，包括大型后掠翼跟安置于机翼下的发动机夹舱设计，此时都已经出现在B-47之上。,波音飞机制造公司,后掠翼,3人,33.5米,93759千克
西飞轰-6中型轰炸机,飞行器,1050千米每小时,33米,2具涡喷8 涡轮喷射发动机,1968年12月24日 ,双发,NULL,(4.9分),6000千米,{'$oid': '5cc930c4831b973d657f10ac'},NULL,http://images.huanqiu.com/sarons/2013/07/95543206cd16e374cb67dede27152b06.jpg,10.36米,37200千克,1969年2月,中国,亚音速,轰炸机,"
轰-6轰炸机是中国在上个世纪五十年代仿制苏联图-16中型轰炸机而研制生产的一种中型喷气式轰炸机，目前是中国人民解放军空军现役唯一一型战略轰炸机；也是世界各国现役体型最小的战略轰炸机；亦为中国人民解放军空军服役时间最长的机种之一。

至今该机仍是我军战略轰炸力量的核心，并且在不断对其动力、航电及机载武器进行改进，同时在其基础上发展了多种特种平台，预计将至少服役至2020年左右。
",西安飞机公司,后掠翼,4人,34.8米,75800千克
TBY/TBU“海狼”,飞行器,502千米每小时,17.35米,普-惠R-2800-6“双黄蜂”发动机,1941年12月22日,单发,NULL,NULL,1650千米,{'$oid': '5cc930c5831b973d657f10ad'},联合公司,http://images.huanqiu.com/sarons/2013/08/fb615810c1b153c98f88f933103134de.jpg,4.7米,5142千克,NULL,美国,亚音速,轰炸机,"
由沃特公司设计、联合公司生产的TBY/TBU“海狼”和格鲁曼飞机制造厂成功的TBF／TBM“复仇者（Avenger）”是同时代的飞机，是一架三座单发单翼鱼雷轰炸机。最终只生产了180架TBY-2，没有一架派上用场。
",沃特公司,平直翼,3人,11.95米,8590千克
F8F“熊猫”战斗轰炸机,飞行器,680千米每小时,7.87米,普-惠R-2800-34W“双黄蜂”发动机,1944年8月21日,四发,1952年年底,NULL,1775千米,{'$oid': '5cc930c5831b973d657f10ae'},NULL,http://images.huanqiu.com/sarons/2013/08/655790473510a8ca0b65100ffbe8ce6c.jpg,4.2米,3206千克,1945年1月,美国,亚音速,轰炸机,"
F8F“熊猫”，是格鲁曼公司最后的一种使用活塞发动机的战斗机，它打破了当时约定俗成的“更大即更优”的新型战斗机设计法则。使用最强力的引擎——普拉特-惠特尼公司的R-2800“双黄蜂”系列发动机，动力充裕，操纵性非常出色。
",美国格鲁曼公司,平直翼,1人,8.61米,5873千克
SBD“无畏式”,飞行器,410千米每小时,12.65米,莱特R-1820-66“旋风”9发动机,1938年1月23日,单发,1949 年,NULL,1244千米,{'$oid': '5cc930c5831b973d657f10af'},道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/341131929f0ce793bd30b9ce00573c8a.jpg,3.94米,2964千克,1940 年,美国,亚音速,轰炸机,"
SBD“无畏式”为道格拉斯公司开发的舰上俯冲轰炸机，主要于第二次世界大战时期活跃于太平洋战场上。中途岛战役中，曾24小时内击毁了日本4艘主力航空母舰。
",NULL,平直翼,2人,10.06米,4318千克
图-160“海盗旗” 远程轰炸机,飞行器,1030千米每小时,55.7米,四台库兹涅佐夫NK-32涡扇发动机,1981年12月18日,四发,NULL,NULL,12300千米,{'$oid': '5cc930c5831b973d657f10b0'},NULL,http://images.huanqiu.com/sarons/2013/07/ea96e045749c5e181c58588878c3b2ed.jpg,13.1米,118000千克,1987年,苏/俄,超音速,轰炸机,"
图-160战略轰炸机，又称图波列夫图-160（Tupolev Tu-160）是俄罗斯的变后掠翼重型超音速战略轰炸机。北约对其的代号为“海盗旗”（Blackjack）。俄罗斯空军称其为“白天鹅”（White Swan）。1981年12月18日首次试飞。前苏联实际生产35架，现约有16架在俄罗斯空军服役。
",图波列夫设计局,变后掠翼,4人,54.1米,275000千克
“堪培拉” 轰炸机/入侵飞机/侦察机,飞行器,871千米每小时,19.5米,两台罗尔斯·罗伊斯Avon206涡轮喷气发动机；,1949年5月13日,双发,NULL,NULL,NULL,{'$oid': '5cc930c5831b973d657f10b1'},NULL,http://images.huanqiu.com/sarons/2013/07/7b99cbb995005459d4358033b85ec42a.jpg,4.8米,9820千克,1951年,英国,亚音速,轰炸机,"
二战末期作为“蚊式”轰炸机的后继机，由普雷斯顿英国电气公司设计，“堪培拉”轰炸机一共生产1352架，其中925架在英国制造，交付皇家空军773架。澳大利亚或许可证制造48架，美国获许可生产403架（美军编号B-57轰炸机）。到1985年，绝大部分“堪培拉”轰炸机已经退出现役，只有英国皇家空军保留约170架，主要提供非轰炸性勤务。
",英国电气公司（英国航宇公司）,三角面,3人,19.9米,25000千克
PB4Y-2“私掠船”,飞行器,381千米每小时,33.53米,四台普-惠R-1830-94“双黄蜂”发动机,1943年9月20日,单发,20世纪60年代初,NULL,4506千米,{'$oid': '5cc930c6831b973d657f10b2'},NULL,http://images.huanqiu.com/sarons/2013/08/67c3f0225f48900cdbfc95b9b4163423.jpg,9.17米,17003千克,1944年,美国,亚音速,轰炸机,"
PB4Y-2“私掠船”，改造自PB4Y-1“解放者”，具有一个加长机身、军舰型的内部结构、装备更大火力的防卫武器、改进了发动机整流罩以及一个和“解放者”运输机变种机型上配备的一模一样的大型垂直尾翼。美国海军一次性订购了739架，尽管在日本投降前几周，“私掠船”配置的VP-24已达到了作战要求，但这些飞机几乎没有抵达一线的。冷战时期，PB4Y-2被用作雷达和电子对抗平台，非常受到重视。在美国海岸警卫队进一步服役后，最后一架PB4Y-2于20世纪60年代初退役。
",联合公司,平直翼,11人,22.73米,29484千克
B-32“统治者”,飞行器,575千米每小时,41.15米,四台莱特R-3350-23“旋风”发动机,1942年9月7日,四发,NULL,NULL,6115千米,{'$oid': '5cc930c6831b973d657f10b3'},美国联合公司,http://images.huanqiu.com/sarons/2013/08/e1fadd168da2d5baee688f86cfc6241a.jpg,10.06米,27339千克,1944年11月,美国,亚音速,轰炸机,,美国联合公司,平直翼,8人,25.32米,50576千克
F/FB/EF-111战斗轰炸机,飞行器,2335千米每小时,19.2米,两台普-惠TF30-P-3发动机,1964年12月21日,双发,1998年,NULL,5093千米,{'$oid': '5cc930c6831b973d657f10b4'},NULL,http://images.huanqiu.com/sarons/2013/08/8cb6dee3f41c37a640df9d69eb8cd781.jpg,5.22米,20943千克,1967年7月18日,美国,超音速,轰炸机,"
F-111是上世纪60年代美国通用动力公司研制的超音速战斗轰炸机，也是世界上最早的实用型变后掠翼飞机。1972年10月至1973年3月，F-111A投入越南战场，成为战斗力最强、生存能力最高的战斗轰炸机。1991年海湾战争使美军F-111服役生涯的顶峰，也是一个圆满的句号。苏联解体后，美军空军大量裁军。F-111这种自动化程度低、维护成本高的老一代战机自然成为淘汰的首选。
",美国通用动力公司,变后掠翼,2人,22.4米,41500千克
B-45“龙卷风”,飞行器,933千米每小时,29.26米,四台通用电气J45-GE-13发动机,1947年3月17日,四发,1959年,NULL,3056千米,{'$oid': '5cc930c6831b973d657f10b5'},NULL,http://images.huanqiu.com/sarons/2013/08/37603dfe3c1e8701c5c863f94cd86821.jpg,7.68米,22182千克,1948年4月22日,美国,亚音速,轰炸机,"
北美B-45龙卷风轰炸机是美国空军装备的第一种喷气式轰炸机，也是第一种具有空中加油能力和核弹投放能力的喷气式飞机。B-45在50年代初期到中期曾是美国核威慑力量的重要组成部分，但由于核弹运送能相当有限，迅速被更先进的波音B-47取代，因而，B-45在军中服役生涯很短暂。
",北美航空公司,平直翼,4人,22.98米,51235千克
B-57“堪培拉”,飞行器,937千米每小时,19.5米,两台莱特J65-5发动机,1953年7月20日,双发,NULL,NULL,3380千米,{'$oid': '5cc930c6831b973d657f10b6'},格伦马丁公司,http://images.huanqiu.com/sarons/2013/08/4da416ad37d45cbf2f9349f8ace25644.jpg,4.75米,13600千克,1954年,美国,亚音速,轰炸机,"
B-57“堪培拉”轰炸机是美国制的双喷射发动机战术轰炸机及高空侦查机，于1953年进入美国空军服役。B-57为英国电气公司的堪培拉式轰炸机在美国的授权制造版本，但格伦马丁公司在原本堪培拉轰炸机的基础上亦做出许多重大的更动，并由此发展出许多非常特别的衍生型。
",NULL,平直翼,2人,19.96米,25000千克
B-2“幽灵” 战略轰炸机,飞行器,972千米每小时,52.43米,四台通用电气F118-GE-110发动机,1989年7月17日,双发,NULL,NULL,11668千米,{'$oid': '5cc930c6831b973d657f10b7'},诺斯洛普·格鲁门公司,http://images.huanqiu.com/sarons/2013/08/a15c5fdc0d5655b5ff00e349735af496.jpg,5.18米,56699千克,1997年4月,美国,超音速,轰炸机,"
B-2“幽灵”隐形战略轰炸机是冷战时期的产物，由美国诺斯洛普公司为美国空军研制。1979年，美国空军根据战略上的考虑，要求研制一种高空突防隐形战略轰炸机来对付苏联90年代可能部署的防空系统。1981年开始制造原型机，1989年原型机试飞。后来对计划作了修改，使B-2轰炸机兼有高低空突防能力，能执行核及常规轰炸的双重任务。
",NULL,飞翼,2人,21.03米,168422千克
SB2C“地狱俯冲者”,飞行器,475千米每小时,15.2米,莱特R-2600-20“旋风”发动机,1940年12月18日,单发,1959年（意大利空军）,NULL,1875千米,{'$oid': '5cc930c6831b973d657f10b8'},寇蒂斯公司,,5.1米,4784千克,1942年12月,美国,亚音速,轰炸机,"
SB2C“地狱俯冲者”是美国海军在第二次世界大战期间部署与使用的舰载轰炸机，用以取代前一代SBD俯冲轰炸机。是当时载重量最大的轰炸机，但它的操纵性能太差又使它饱受争议。除了海军以外，美国陆军航空军也有少量服役，编号为A-25。
",NULL,平直翼,2人,11.2米,7537千克
B-24“解放者”,飞行器,467千米每小时,33.53米,四台普-惠R-1830-65“双黄蜂”发动机,1939年12月29日,四发,1968年,NULL,3380千米,{'$oid': '5cc930c6831b973d657f10b9'},NULL,http://images.huanqiu.com/sarons/2013/08/93f8980814cf1b2325b759032d33c07a.jpg,5.49米,16556千克,1941年,美国,亚音速,轰炸机,"
B-24“解放者”是美国研制的远程轰炸/侦察机。它是第二次世界大战时美国生产得最多的大型轰炸机，同时也是使用得最多的轰炸机，多达1.9万架的产量，确立了它在飞机发展史上的地位。B-24“解放者”轰炸机不仅在欧洲，同时也是在非洲、亚洲广大海空战场的“空中霸王”。
",联合公司（United Aircraft Corporation） ,平直翼,10人,20.47米,32296千克
B-26/JM“劫掠者”,飞行器,455千米每小时,21.64米,两台普-惠R-2800-43“双黄蜂”发动机,1940年11月25日,双发,NULL,NULL,1770千米,{'$oid': '5cc930c6831b973d657f10ba'},NULL,http://images.huanqiu.com/sarons/2013/08/7a76fdada6ba0a2c60d67314edac855a.jpg,6.2米,11476千克,1941年,美国,亚音速,轰炸机,,马丁公司,平直翼,7人,17.09米,17327千克
B/KB-50“超级堡垒”,飞行器,608千米每小时,43.05米,四台普-惠R-4360-35“巨黄蜂”发动机,1947年6月25日,四发,1968年,NULL,7886千米,{'$oid': '5cc930c7831b973d657f10bb'},NULL,http://images.huanqiu.com/sarons/2013/08/b8c27825a662c2bf4e1c1c5e0c14c66a.jpg,9.99米,36564千克,NULL,美国,亚音速,轰炸机,,波音公司,平直翼,10人,30.17米,78471千克
TBF/TBM“复仇者”,飞行器,430千米每小时,16.51米,莱特R-2600-20“旋风”14发动机,1941年8月1日,单发,1960年,NULL,1819千米,{'$oid': '5cc930c7831b973d657f10bc'},格鲁曼公司，通用汽车公司,http://images.huanqiu.com/sarons/2013/08/42560b6a365bb2c58ee40b5ba9ed8aa8.jpg,5米,4853千克,1942年,美国,亚音速,轰炸机,,NULL,平直翼,3人,12.19米,8278千克
BTD “毁灭者”,飞行器,554千米每小时,13.72米,莱特R-3350-14“旋风”18发动机,1943年4月8日,单发,1945年,NULL,2382千米,{'$oid': '5cc930c7831b973d657f10bd'},美国道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/542bd34ec12a4b62a7b81cb8b399d1b6.jpg,4.14米,5244千克,1944年,美国,亚音速,轰炸机,"
道格拉斯BTD“毁灭者”是美国海军二战期间开发的美国鱼雷轰炸机。美国海军于1941年6月与道格拉斯公司签署合同，要求后者为海军设计的一种鱼雷轰炸机替代机型。至1945年8月日本投降的时候，只有28架飞机已经交付，其余生产被取消。
",NULL,平直翼,1人,11.76米,8618千克
PBM“水手”,飞行器,340千米每小时,35.97米,两台普-惠R-2600-22“旋风”发动机,1939年2月18日,双发,1964年,NULL,3605千米,{'$oid': '5cc930c7831b973d657f10be'},NULL,http://images.huanqiu.com/sarons/2013/08/06b6dd762389df019364badc31cc1439.jpg,8.4米,15048千克,1940年9月,美国,亚音速,轰炸机,,马丁公司,平直翼,9人,24.33米,26308千克
B-34/37和PV“文图拉”/“捕鲸叉” ,飞行器,499千米每小时,19.96米,两台普-惠R-2800-31“双黄蜂”发动机,1941年7月31日,双发,NULL,NULL,2656千米,{'$oid': '5cc930c7831b973d657f10bf'},NULL,http://images.huanqiu.com/sarons/2013/08/2d1067dc64b787c5b9202c5caaca7c65.jpg,3.63米,9161千克,NULL,美国,亚音速,轰炸机,,洛克希德公司,NULL,5人,15.81米,14097千克
A/B-26/JD“入侵者”,飞行器,600千米每小时,21.63米,两台普-惠R-2800-79“双黄蜂”发动机,1942年7月10日,双发,1980年（哥伦比亚空军 ）,NULL,2253千米,{'$oid': '5cc930c7831b973d657f10c0'},道格拉斯公司,,5.56米,10365千克,NULL,美国,亚音速,轰炸机,,NULL,平直翼,3人,15.62米,15876千克
B-25/PBJ“米切尔”,飞行器,438千米每小时,20.6米,两台莱特R-2600-92“旋风”发动机,1940年8月19日,双发,1959年,NULL,2173千米,{'$oid': '5cc930c7831b973d657f10c1'},NULL,http://images.huanqiu.com/sarons/2013/08/bbcd02aa959393276eedeee2a2096d91.jpg,4.88米,8836千克,1941年,美国,亚音速,轰炸机,"
美国B-25轰炸机也被称为B-25”米切尔“型轰炸机，是世界第二次大战全球战场中最为优秀的中轻型轰炸机之一，它以“米切尔”命名，以纪念一战中美国指挥官威廉·米切尔(William Mitchell），B-25轰炸机也是美国空军为数不多的以名字命名的飞机。B-25轰炸机机第一次在俾斯麦海战中出现，给日本运兵船上的士兵造成很大的杀伤。B-25轰炸机主要由美国空军配备，美国海军也配备相当数量的B-25轰炸机，以对付太平洋上的日本。通过租借法案，英国皇家空军、苏联空军、澳大利亚、荷兰等地也有为数不少的美国B-25轰炸机。B-25轰炸机综合性能良好、出勤率高而且用途广泛。由于它在二战争中参加了空袭东京的战斗，出色地完成了任务，成为全世界的明星战机。
",北美航空公司,平直翼,NULL,16.13米,15876千克
B-1B“枪骑兵”,飞行器,1324千米每小时,41.67米,四台通用电气化F101-GE-102发动机,1974年12月23日（B-1A）,四发,NULL,NULL,11992千米,{'$oid': '5cc930c8831b973d657f10c2'},NULL,http://images.huanqiu.com/sarons/2013/08/17baa72fd9592a8f591af62a4443e4ae.jpg,10.62米,87090千克,1988年7月,美国,超音速,轰炸机,,美国罗克韦尔公司,变后掠翼,4人,44.81米,216360千克
A-20“浩劫”,飞行器,510千米每小时,18.69米,两台莱特R-2600-23“旋风”发动机,1938年10月20日,双发,1949年（美国空军）,NULL,1650千米,{'$oid': '5cc930c8831b973d657f10c3'},美国道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/a0a2c288844b03d99b855eb7b1f38026.jpg,5.36米,7250千克,1941年1月10日,美国,亚音速,轰炸机,"
道格拉斯A-20“浩劫”，也被称为道格拉斯DB-7，是第二次世界大战中用途最广泛的轻型轰炸机之一。它曾服役于几个主要的同盟国，美陆军航空部队（美国空军），苏联空军，苏联海军航空兵（AVMF）和英国皇家空军（RAF）。二战期间，该机在澳大利亚，南非，法国和荷兰也有使用。
",NULL,平直翼,3人,14.63米,12338千克
SBU,飞行器,335千米每小时,10.13米,普-惠R-1535-80“双小黄蜂”发动机,1933年5月,单发,1941年末,NULL,880千米,{'$oid': '5cc930c8831b973d657f10c4'},美国沃特公司,,3.63米,1653千克,NULL,美国,亚音速,轰炸机,,NULL,双翼,2人,8.5米,2504千克
SB2U“辩护者”,飞行器,391千米每小时,12.8米,普-惠R-1535-02“双小黄蜂”发动机,1936年1月4日,单发,1943年,NULL,1802千米,{'$oid': '5cc930c8831b973d657f10c5'},美国沃特公司,,3.12米,2555千克,1937年12月,美国,亚音速,轰炸机,"
“辩护者”是美国海军的第一架单翼侦察-轰炸机，它是从1934年海军向沃特公司订购的两架舰基飞机原型机之一发展而来的。订单要求生产一架双翼机XSB3U-0、一架单翼机XSB2U-0，在签署生产订单前，这两架飞机要进行试飞比赛。1936年年初，两架飞机均进行了试飞，全金属的XSB2U-1的优势很快得以证实，美国海军于当年10月购买了54架SB2U-1。
",NULL,平直翼,2人,10.36米,4273千克
B-36“和平卫士”,飞行器,707千米每小时,70.14米,六台普-惠R-4360-41发动机，四台通用电气J47-GE-19发动机,1946年8月8日,六发,1959年2月12日,NULL,12070千米,{'$oid': '5cc930c8831b973d657f10c6'},NULL,http://images.huanqiu.com/sarons/2013/08/4e67b8c2849d60eec2a5cee52bdfb921.jpg,14.26米,72051千克,1949年,美国,亚音速,轰炸机,,康维尔公司,平直翼,15人,49.4米,162200千克
马丁BM,飞行器,234千米每小时,12.49米,普-惠R-1690-44发动机,1930年,单发,NULL,NULL,661千米,{'$oid': '5cc930c9831b973d657f10c7'},NULL,http://images.huanqiu.com/sarons/2013/08/0f872abb38eac3019c042ca8f303c807.jpg,3.77米,1661千克,NULL,美国,亚音速,轰炸机,,马丁公司,双翼,2人,8.8米,2820千克
B-58“盗贼”,飞行器,2125千米每小时,17.31米,四台通用电气J79-GE-5B发动机,1956年11月11日,四发,1970年1月31日,NULL,8248千米,{'$oid': '5cc930c9831b973d657f10c8'},NULL,http://images.huanqiu.com/sarons/2013/08/371922efb96902363f0392857a0dfae0.jpg,9.6米,25200千克,1960年3月15日,美国,超音速,轰炸机,,康维尔公司,三角面,3人,29.5米,73930千克
B-10/12/14,飞行器,341千米每小时,21.54米,双莱特R-1820-33发动机,1932年2月16日,双发,1942年,NULL,1984千米,{'$oid': '5cc930c9831b973d657f10c9'},NULL,http://images.huanqiu.com/sarons/2013/08/da65075772876fe96b62db36de508d66.jpg,4.72米,4391千克,1934年11月,美国,亚音速,轰炸机,,马丁公司,平直翼,4人,13.68米,7439千克
B-66“破坏者”,飞行器,950千米每小时,22.1米,两台阿里逊J71-A-13发动机,1954年6月28日,双发,NULL,NULL,2400千米,{'$oid': '5cc930c9831b973d657f10ca'},道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/e710dfebe66de3dcd9aa333e9a0b7a78.jpg,7.19米,19218千克,NULL,美国,亚音速,轰炸机,,NULL,后掠翼,3人,22.9米,37648千克
B-23“龙”,飞行器,454千米每小时,28.04米,两台怀特R-2600-3 型发动机，每个1600马力,1939年7月27日,双发,NULL,NULL,2342千米,{'$oid': '5cc930c9831b973d657f10cb'},道格拉斯飞机公司,http://images.huanqiu.com/sarons/2013/08/6519c09c0bcd1085380026642d5196e4.jpg,5.64米,8677千克,NULL,美国,亚音速,轰炸机,,NULL,平直翼,6人,17.78米,14700千克
诺思罗普BT,飞行器,355千米每小时,12.67米,普-惠R-1535-94发动机,1935年8月,单发,1943年,NULL,1840千米,{'$oid': '5cc930c9831b973d657f10cc'},诺思罗普公司（道格拉斯公司）,http://images.huanqiu.com/sarons/2013/08/6230aff89a7c8ab8d303efb877de7e85.jpg,2.77米,2089千克,NULL,美国,亚音速,轰炸机,,NULL,平直翼,2人,9.65米,3264千克
凯斯通轻型轰炸机系列,飞行器,182千米每小时,22.76米,两台普-惠R-1690-3“火黄蜂”发动机,1923年年底（XLB-1）,单发,NULL,NULL,1368千米,{'$oid': '5cc930c9831b973d657f10cd'},NULL,,4.8米,3495千克,NULL,美国,亚音速,轰炸机,,凯斯通公司,双翼,5人,14.89米,5875千克
A-31/35“复仇者”,飞行器,449千米每小时,14.63米,莱特R-2600-13“旋风”发动机,1941年7月,单发,1944年9月,NULL,966千米,{'$oid': '5cc930c9831b973d657f10ce'},NULL,http://images.huanqiu.com/sarons/2013/08/2e4d98b87a2850fab9b69070a520c334.jpg,4.67米,4672千克,NULL,美国,亚音速,轰炸机,"
A-31/35“复仇者”是第二次世界大战期间由美国伏尔蒂公司（Vultee）生产的一款俯冲轰炸机，主要用于出口。修改后的版本被命名为A-35。
",美国伏尔蒂公司（Vultee）,平直翼,2人,12.12米,7439千克
MB-2/NBS-1,飞行器,159千米每小时,22.61米,两台自由12A发动机,1920年,单发,1929年,NULL,900千米,{'$oid': '5cc930ca831b973d657f10cf'},NULL,http://images.huanqiu.com/sarons/2013/08/d198df9fd8ad6717b5eba365b2fe3e0c.jpg,4.47米,3297千克,1920年,美国,亚音速,轰炸机,,马丁公司,双翼,4人,13米,5472千克
F-51D“野马”MK2 ,飞行器,731千米每小时,12.1米,“灰背隼”620发动机,1967年12月,单发,1984年,NULL,3200千米,{'$oid': '5cc930ca831b973d657f10d0'},佛罗里达航空股份有限公司,,4.51米,3466千克,NULL,美国,亚音速,轰炸机,,NULL,平直翼,1人,9.81米,4762千克
Fi 167鱼雷轰炸机,飞行器,325千米每小时,15.5米,戴姆勒-奔驰 DB 601B 液冷式倒V12发动机，每个 809千瓦（1100马力）,1938年,单发,NULL,NULL,1300千米,{'$oid': '5cc930ca831b973d657f10d1'},费舍尔,http://images.huanqiu.com/sarons/2014/01/503e78332b9be758a71a1e9425c1af87.jpg,4.7米,2800千克,NULL,德国,亚音速,轰炸机,"
费舍尔 Fi 167是德国于1930年代计划服役于新式航空母舰上面的双翼鱼雷轰炸机与侦察机。
",NULL,双翼,2人,11.4米,4850千克
