型宽,名称,大类,编制,舰长,潜航深度,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,枪械,产国,火炮,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
10米,“孔雀/加辛托”级通用巡逻舰,舰船舰艇,40人,62.6米,NULL,英国霍尔罗素船厂,{'$oid': '5cc93207831b973d657f1866'},http://images.huanqiu.com/sarons/2013/07/7a304284c45702c15efce78f08c22d7e.jpg,NULL,712吨,NULL,1983年,NULL,NULL,NULL,英国,NULL,500-2000吨,巡逻舰/艇,1982年12月1日,NULL,"
“孔雀”级巡逻舰是英国皇家海军为协助水警保卫香港，于1981年向英国苏格兰的Hall Russell船厂要求建造的八百吨级巡逻艇。前三艘于1997年6月30日从香港撤离，分别是“艾米里奥·加辛托”号（原“孔雀”号，P 239，现舷号PS 35），“阿波里纳里奥”号（原“啄木鸟”号，P 240，现舷号PS36），“阿提米奥·里卡特”号（原“八哥”号，P 241，现舷号PS 37），卖给菲律宾海军，目前是菲律宾海军的主力战舰。后两艘仅在香港服役三年便转卖给爱尔兰海军，分别改名为“塞纳”（舰号P42）和L-“奥尔拉”（舰号P41）。
",25节,NULL,NULL,退役（英国）,17节航速下25 00英里
7.6米,“龙卷风”(cyclone)级通用快速巡逻舰,舰船舰艇,28人,55米,NULL,布林船厂,{'$oid': '5cc93208831b973d657f1867'},http://images.huanqiu.com/sarons/2013/07/345ddda1fff70874956e0fd9d72fbad7.jpg,NULL,331吨,NULL,1993年,NULL,NULL,NULL,美国,NULL,500吨以内,巡逻舰/艇,1987年,6艘,,35节,NULL,NULL,NULL,12节航速下航程2500英里
NULL,高速拦截艇,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc93208831b973d657f1868'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,西班牙,NULL,NULL,巡逻舰/艇,NULL,NULL,"
服役于西班牙海事部队，速度很容易超过45节。
",45节,NULL,NULL,NULL,NULL
2.3米,快速巡逻船(巴拿马),舰船舰艇,3人,10.2米,NULL,NULL,{'$oid': '5cc93208831b973d657f1869'},http://images.huanqiu.com/sarons/2013/11/05ae5a6178a1b8af295dc1776a6e9bb9.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,巴拿马,NULL,NULL,巡逻舰/艇,NULL,NULL,,35节,NULL,NULL,NULL,NULL
2.5米,高速潜入艇（HSIC）和不完全潜艇,舰船舰艇,2人,12.8米,3米,NULL,{'$oid': '5cc93208831b973d657f186a'},,NULL,5吨,NULL,NULL,NULL,NULL,NULL,朝鲜,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
该艇出厂数量较多，用于特工人员潜入和秘密行动。其雷达散射截面非常小并可快速下潜。1998年，有报道称已出现新的版本。
",35节,NULL,NULL,NULL,NULL
11.51米,“城堡”级近海巡逻舰,舰船舰艇,40人,75米,NULL,NULL,{'$oid': '5cc93208831b973d657f186b'},http://images.huanqiu.com/sarons/2013/07/af1d3094772781f39b4fa98f35a8a624.jpg,“江河”级,1427吨,大西洋,1981年,“岛”级,NULL,NULL,英国,NULL,500-2000吨,巡逻舰/艇,未知,“利兹城堡”号(P258)，“敦巴顿堡”号(P265),“城堡”级巡逻舰，是上世纪70年代末80年代初英国建造的一种近海巡逻舰。原计划建造6艘，终只有2艘完工。其主要使命是保护英国的捕鱼船队和北海石油、天然气开采区。,20节,NULL,NULL,退役并被转售,10节航速下航程10 000海里
2.8米,“水上摩托”攻击艇,舰船舰艇,NULL,9.2米,NULL,NULL,{'$oid': '5cc93208831b973d657f186c'},,NULL,3.5吨,NULL,NULL,NULL,NULL,NULL,伊朗,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,30节,NULL,NULL,NULL,NULL
12.2米,“司令”级近岸巡逻舰,舰船舰艇,70人,88.4米,NULL,里瓦特里戈索船厂,{'$oid': '5cc93208831b973d657f186d'},http://images.huanqiu.com/sarons/2013/07/921add45f67c1c1eb324e36b81489c7c.jpg,NULL,1512吨,NULL,2002年,NULL,NULL,NULL,意大利,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,"
""司令""级（Classe Comandanti）是意大利里瓦特里戈索船厂为本国海军近岸巡逻而建设的轻型舰艇。该级舰共建成六艘，分别是“希加拉·弗戈西司令”号(P490)，“博尔西尼司令”号(P491)，“贝蒂卡司令”号(P492)，“弗斯卡里司令”号(P493)，“西里奥”号(P49)，“奥里安尼”号(P 410)。
",26节,NULL,NULL,现役,14节航速下3500英里
3.5米,Jurmo级快速攻击艇,舰船舰艇,2人,13.3米,NULL,Alutech ltd,{'$oid': '5cc93208831b973d657f186e'},,NULL,10吨,NULL,1999年,NULL,NULL,NULL,芬兰,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,30节,NULL,NULL,在役,180海里
11米,波照间级PL型巡视舰,舰船舰艇,NULL,89米,NULL,日本海上保安厅,{'$oid': '5cc93208831b973d657f186f'},http://images.huanqiu.com/sarons/2014/01/e3d1a389fcbccd8ab9f2d63de0f214f1.jpg,NULL,1300吨,NULL,2008年,NULL,NULL,NULL,日本,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,30节,NULL,NULL,现役,NULL
2.8米,MIG-G-O8OO,舰船舰艇,NULL,9.2米,NULL,NULL,{'$oid': '5cc93209831b973d657f1870'},,NULL,3.5吨,NULL,NULL,NULL,NULL,NULL,美国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,30节,NULL,NULL,NULL,NULL
8米,P400级,舰船舰艇,29人,54.4米,NULL,NULL,{'$oid': '5cc93209831b973d657f1871'},http://images.huanqiu.com/sarons/2013/08/822a50771cfae2d8a28de9641e47a627.jpg,NULL,477吨,NULL,1986年9月18日,NULL,NULL,NULL,法国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
P400级近岸巡逻舰属于法国海军装备中的小型巡逻舰。该舰的建设旨在协助警方法国专属经济区的行动。该级舰现共建成15艘，其中法国10艘，加蓬2艘，阿曼3艘。
",24.5节,NULL,NULL,部分退役,15节航速下4 200英里
2.3米,高速巡逻艇,舰船舰艇,1人,6.8米,NULL,NULL,{'$oid': '5cc93209831b973d657f1872'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,墨西哥,NULL,NULL,巡逻舰/艇,NULL,NULL,,40节,NULL,NULL,NULL,305.78千米
8.7米,“阿兹特克”(Azteca)级巡逻舰,舰船舰艇,12人,34.4米,NULL,霍氏桑尼克罗夫特造船厂，墨西哥海军船厂 ,{'$oid': '5cc93209831b973d657f1873'},http://images.huanqiu.com/sarons/2013/07/65bd7c2747aa2eebdc7b332f18a2e074.jpg,NULL,148吨,NULL,NULL,NULL,NULL,NULL,英国,NULL,500吨以内,巡逻舰/艇,1976年,NULL,,24节,NULL,NULL,NULL,14节航速下1500英里
2.4米,“阿素喇”级近岸巡航艇,舰船舰艇,1人,8.1米,NULL,伊朗船舶工业公司(IRI MarineIndustries，伊朗),{'$oid': '5cc93209831b973d657f1874'},,NULL,3吨,NULL,NULL,NULL,NULL,NULL,伊朗,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,42节,NULL,NULL,NULL,未知
32米,快速拦截艇,舰船舰艇,NULL,128米,NULL,NULL,{'$oid': '5cc93209831b973d657f1875'},,NULL,NULL,NULL,NULL,NULL,NULL,一挺7.62毫米机枪,新加坡,NULL,NULL,巡逻舰/艇,NULL,NULL,,50节,NULL,NULL,NULL,NULL
16.5米,敷岛级PLH型巡视舰,舰船舰艇,68人,150米,NULL,NULL,{'$oid': '5cc93209831b973d657f1876'},http://images.huanqiu.com/sarons/2014/01/b687d0a98664e308e2612c8b589bedde.jpg,NULL,7175吨,日本第三管区,1992年4月8日,NULL,NULL,NULL,日本,NULL,5000-10000吨,巡逻舰/艇,NULL,NULL,"
敷岛号原为再处理钚燃料海上运输船担任护航而设计，设计原则是续航力大、航速高、武器装备精、能对付恐怖分子的海上威胁，是日本海上保安厅以及世界上现有的最大海巡舰。

1992年11月至1993年1月，敷岛号第一次执行任务，完成了从法国瑟堡到日本的护航任务。本级建造1艘，现役中。
",25节,NULL,NULL,NULL,NULL
2.8米,V5000/6000高速拦截艇,舰船舰艇,NULL,16.4米,NULL,NULL,{'$oid': '5cc93209831b973d657f1877'},http://images.huanqiu.com/sarons/2013/11/d37f6db378ae5dfb779e584883dfa960.jpg,NULL,16吨,NULL,NULL,NULL,NULL,NULL,意大利,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,72节,NULL,NULL,NULL,未知
2.8米,吕尔森超细长快速冲击艇 ,舰船舰艇,4人,16米,NULL,吕尔森造船厂,{'$oid': '5cc9320a831b973d657f1878'},,NULL,11吨,NULL,NULL,NULL,NULL,一挺7.62毫米机枪。,德国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,50节,NULL,NULL,NULL,750英里，30节
3.8米,Manta级高速巡逻/拦截艇,舰船舰艇,4人,14米,NULL,Simmonneau,{'$oid': '5cc9320a831b973d657f1879'},,NULL,10吨,NULL,NULL,NULL,NULL,NULL,法国,NULL,500吨以内,巡逻舰/艇,未知,NULL,,NULL,NULL,NULL,NULL,未知
4.4米,拦截级巡逻船,舰船舰艇,NULL,12米,NULL,黄貂鱼海事公司(南非),{'$oid': '5cc9320a831b973d657f187a'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,南非,NULL,NULL,巡逻舰/艇,NULL,NULL,,35节,NULL,NULL,NULL,巡航速度下，300英里
2.9米,Sea Stalker 1500级高速冲击艇,舰船舰艇,7人,14.8米,NULL,达门船舶有限公司,{'$oid': '5cc9320a831b973d657f187b'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,荷兰,NULL,NULL,巡逻舰/艇,NULL,NULL,,55节,NULL,NULL,NULL,未知
3.8米,战艇90H,舰船舰艇,NULL,15.9米,NULL,Dockstavarvet and Gotlands Varv（瑞典）,{'$oid': '5cc9320a831b973d657f187c'},http://images.huanqiu.com/sarons/2013/11/7d2801fe0fadddfacebe0493b5b81ea6.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,瑞典,NULL,NULL,巡逻舰/艇,NULL,NULL,,50节,NULL,NULL,NULL,240英里，30节
NULL,克莱珀皮艇,舰船舰艇,NULL,NULL,NULL,克莱珀皮船(klepper Kayaks，德国，罗森海姆),{'$oid': '5cc9320b831b973d657f187d'},http://images.huanqiu.com/sarons/2013/11/8065db17610cdf9b1a4691fb3272d134.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,德国,NULL,NULL,巡逻舰/艇,NULL,NULL,"
17.5英尺长，可折叠，双人艇。
",NULL,NULL,NULL,NULL,NULL
NULL,近岸巡逻艇/导弹艇,舰船舰艇,NULL,15.2米,NULL,Simmonneau(法国),{'$oid': '5cc9320b831b973d657f187e'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,法国,NULL,NULL,巡逻舰/艇,NULL,NULL,,28节,NULL,NULL,NULL,NULL
3.1米,三角洲80登陆艇,舰船舰艇,NULL,83米,NULL,NULL,{'$oid': '5cc9320b831b973d657f187f'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,南非,NULL,NULL,巡逻舰/艇,未知,NULL,,37节,NULL,NULL,NULL,150英里，35节
NULL,港口巡逻艇（HSIC）,舰船舰艇,NULL,NULL,NULL,美洲豹海事公司,{'$oid': '5cc9320b831b973d657f1880'},http://images.huanqiu.com/sarons/2013/11/c2969b2f84d325e4f52ea90d4cf37583.jpg,NULL,4吨,NULL,NULL,NULL,NULL,NULL,英国,NULL,NULL,巡逻舰/艇,NULL,NULL,"
存在多种不同类型的巡逻艇。两艘为“美洲豹”(Cougar)两吨排水量40-节速的高速巡逻艇。三艘排水量为一吨，还有一艘排水量为四吨以及四艘14～15吨排水量的巡逻艇。
",40节,NULL,NULL,NULL,NULL
4.04米,Kaan15级高级冲击/拦截艇,舰船舰艇,8人,15.4米,NULL,NULL,{'$oid': '5cc9320b831b973d657f1881'},http://images.huanqiu.com/sarons/2013/11/a0f2d4268e206e5f143e4537a2cd256e.jpg,NULL,19吨,NULL,NULL,NULL,NULL,两挺12.7毫米机枪。,土耳其,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
该船为玻璃纤维船体，采用完全封闭的驾驶室，带有海岸防卫标志。
",NULL,NULL,NULL,NULL,350海里，35节
2.8米,Cougar Enforcer 级高速拦截艇（HSIC）,舰船舰艇,4人,12.2米,NULL,NULL,{'$oid': '5cc9320b831b973d657f1882'},,NULL,5.7吨,NULL,NULL,NULL,NULL,一挺12.7毫米机枪。,英国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
Cougar Enforcer是英国研制的一款高速拦截艇。目前主要装备科威特海岸防卫队。
",35节,NULL,NULL,NULL,250英里
NULL,英国高速拦截艇（HSIC）,舰船舰艇,NULL,15米,NULL,NULL,{'$oid': '5cc9320c831b973d657f1883'},http://images.huanqiu.com/sarons/2013/11/b746358385200c04e5197ef5fae2d66b.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,英国,NULL,NULL,巡逻舰/艇,未知,NULL,"
两种型号均长15米(49英尺)并装备有两台750马力的柴油发动机，速度超过55节。一种是VSV的穿浪型船体，这种船体可以在高级别的海洋状况下维持高的航行速度。两种艇都可进行空运。
",55节,NULL,NULL,NULL,未知
1.8米,攻击艇,舰船舰艇,NULL,5.4米,NULL,SBEC公司(新加坡),{'$oid': '5cc9320c831b973d657f1884'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,新加坡,NULL,NULL,巡逻舰/艇,NULL,NULL,"
可人力携带，并能在新加坡岛上的河流和环绕的小溪中乘载部分士兵。
",12节,NULL,NULL,NULL,NULL
NULL,硬质攻击艇,舰船舰艇,8人,7.4米,NULL,NULL,{'$oid': '5cc9320c831b973d657f1885'},,NULL,2.6吨,NULL,NULL,NULL,NULL,NULL,英国,NULL,500吨以内,巡逻舰/艇,未知,NULL,"
硬质攻击艇Mk3装载一台雅马哈220马力柴油发动机。满载并另外装载8名士兵的条件下，速度可达36节(轻装下可达40节)。部分为军队所用。
",40节,NULL,NULL,NULL,未知
NULL,港口艇,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc9320c831b973d657f1886'},http://images.huanqiu.com/sarons/2013/11/34742b6914ac78d2344c676a7d2e383f.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,新加坡,NULL,NULL,巡逻舰/艇,NULL,NULL,,43节,NULL,NULL,NULL,NULL
4.7米,Colvic公司艇,舰船舰艇,5人,16.5米,NULL,NULL,{'$oid': '5cc9320c831b973d657f1887'},,NULL,NULL,NULL,NULL,NULL,NULL,一挺12.7毫米机枪；一挺7.62毫米机枪。,英国,NULL,NULL,巡逻舰/艇,未知,NULL,"
该船采用玻璃纤维增强塑料船体，尾部为潜水员提供休息用平台。
",25节,NULL,NULL,NULL,500海里
13.1米,近岸巡逻艇/导弹艇,舰船舰艇,5人,62米,NULL,NULL,{'$oid': '5cc9320c831b973d657f1888'},,NULL,32吨,太平洋,NULL,NULL,NULL,NULL,中国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
巡逻艇在许多国家甚至不以配备于军队，而是准军事的海岸巡逻队或警察，用于查缉的日常勤务。 
",15节,NULL,NULL,NULL,未知
10.5米,野岛级PLH型/隐岐号PL型巡视舰,舰船舰艇,39人,87米,NULL,NULL,{'$oid': '5cc9320c831b973d657f1889'},http://images.huanqiu.com/sarons/2014/01/adb44dd2e9ea5d8240864e1dcd073103.jpg,NULL,993吨,日本第8管区,1991年10月31日,NULL,NULL,NULL,日本,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,野岛级PLH舰只建了一艘，也就是野岛号。然后改装成PL舰隐岐号。该船可搭载直升机，是重要的搜救型船只。,20节,NULL,NULL,NULL,7000里
4.04米,快速冲击拦截艇,舰船舰艇,10人,16.8米,NULL,NULL,{'$oid': '5cc9320c831b973d657f188a'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,土耳其,NULL,NULL,巡逻舰/艇,未知,NULL,"
该船为土耳其特种部队使用，可以携带一艘硬质充气艇(RIB)。
",50节,NULL,NULL,NULL,未知
3.3米,Aquarius级快速巡逻船,舰船舰艇,8人,10.7米,NULL,Muller AG(瑞士，施皮茨),{'$oid': '5cc9320d831b973d657f188b'},,NULL,7吨,NULL,NULL,NULL,NULL,两挺12.7毫米机枪(1978年-1984年标准)。,瑞典,NULL,500吨以内,巡逻舰/艇,NULL,NULL,,35节,NULL,NULL,NULL,未知
NULL,硬质充气艇,舰船舰艇,NULL,NULL,NULL,NULL,{'$oid': '5cc9320d831b973d657f188c'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,英国,NULL,NULL,巡逻舰/艇,未知,NULL,"
硬质充气艇有4种类型：Halmatic Arctic22、Racific 22、Arctic 28和Pacific 28，可乘载10～15名全副装备的士兵，速度为26～35节。
",NULL,NULL,NULL,NULL,未知
1.9米,SSK 96 Subskimmer硬式充气艇,舰船舰艇,NULL,5.8米,NULL,KSA(水下)有限公司,{'$oid': '5cc9320d831b973d657f188d'},,NULL,1.52吨,NULL,NULL,NULL,NULL,NULL,英国,NULL,500吨以内,巡逻舰/艇,未知,NULL,"
SSK 96 Subskimmer是专门为水上突击队设计的。该艇是一款硬质船体的充气艇，装有一台二冲程三缸90马力雅马哈舷外发动机，该发动机也可以在水下工作。切换到水下模式时操作简单快捷，只需约90秒的时间。
",25节,NULL,NULL,NULL,129.64千米
3.6米,Swiftships级河川巡逻艇,舰船舰艇,4人,13.9米,NULL,NULL,{'$oid': '5cc9320d831b973d657f188e'},http://images.huanqiu.com/sarons/2013/11/be07cad8436ccf093b4543ac66b00e0f.jpg,NULL,NULL,NULL,NULL,NULL,NULL,两挺M2HB型12.7毫米机枪；两挺M60D型7.62毫米机枪。,美国,NULL,NULL,巡逻舰/艇,未知,NULL,"
Swiftships级河川巡逻艇可装载8名士兵。用作河川小型舰队的指挥艇。
",22节,NULL,NULL,NULL,600英里
3.2米,哈什米罗托克公司巡逻艇,舰船舰艇,5人,12.7米,NULL,罗托克公司,{'$oid': '5cc9320d831b973d657f188f'},http://images.huanqiu.com/sarons/2013/11/f34d7f281db0f2e6476fffcd87fdd61b.jpg,NULL,9吨,NULL,NULL,NULL,NULL,一挺12.7毫米机枪；一挺7.62毫米机枪。,英国,NULL,500吨以内,巡逻舰/艇,NULL,NULL,"
用于在死海海域巡逻，但由于死海每年水位不断下降，该艇已经转移至亚喀巴湾。
",28节,NULL,NULL,NULL,NULL
5.5米,Isla级快速攻击艇,舰船舰艇,9人,25米,NULL,崔奈提海事工程公司(美国),{'$oid': '5cc9320d831b973d657f1890'},,NULL,52吨,NULL,NULL,NULL,NULL,NULL,美国,NULL,500吨以内,巡逻舰/艇,未知,NULL,"
基于美国海军Mk V级特种任务艇设计。采用较深V型船体，并采用纤维增强塑料/凯夫拉尔一纤维B型构造。可在需要时装载MM 15舰对舰导弹。该船装备有40毫米或20毫米的机枪。
",50节,NULL,NULL,NULL,200英里
10.5米,海监53 ,舰船舰艇,NULL,71.4米,NULL,NULL,{'$oid': '5cc9320e831b973d657f1891'},,NULL,949吨,NULL,NULL,NULL,NULL,NULL,中国,NULL,500-2000吨,巡逻舰/艇,1976年,NULL,,14节,NULL,284吨,NULL,NULL
3米,AL-Shaali型硬质充气艇,舰船舰艇,11人,8.5米,NULL,NULL,{'$oid': '5cc9320e831b973d657f1892'},,NULL,4吨,NULL,NULL,NULL,NULL,NULL,英国,NULL,500吨以内,巡逻舰/艇,未知,NULL,"
AL-Shaali型硬质充气艇采用玻璃纤维增强塑料的船体。主要供特种部队使用。1994年阿联酋订购有12艘AL-Shaali型，在迪拜生产。
",38节,NULL,NULL,NULL,NULL
15.2米,海监52,舰船舰艇,NULL,98米,NULL,NULL,{'$oid': '5cc9320e831b973d657f1893'},http://images.huanqiu.com/sarons/2014/01/a5d5a6ec4c3cf908a6d7c373a1335659.jpg,NULL,3160吨,NULL,NULL,NULL,1967年,NULL,中国,NULL,2000-5000吨,巡逻舰/艇,NULL,NULL,,18节,NULL,NULL,NULL,NULL
10米,阿蘇山级PL型巡逻舰,舰船舰艇,NULL,79米,NULL,日本海上保安厅,{'$oid': '5cc9320e831b973d657f1894'},http://images.huanqiu.com/sarons/2014/01/26c1d8c33995515c70ba109b4bb58e2a.jpg,NULL,770吨,NULL,2005年,NULL,NULL,NULL,日本,NULL,500-2000吨,巡逻舰/艇,NULL,NULL,,30节,NULL,NULL,现役,NULL
53米,MkV级高速冲击艇,舰船舰艇,4人,24.7米,NULL,Halter Marine Equitable shipyard(美国，新奥尔良),{'$oid': '5cc9320e831b973d657f1895'},http://images.huanqiu.com/sarons/2013/11/68874cfbc6c13aafa651575b8c4854b6.jpg,NULL,54吨,NULL,NULL,NULL,NULL,NULL,美国,NULL,500吨以内,巡逻舰/艇,1994年,NULL,"
该船的设计在1994年的一次旨在选出一款适用于海豹部队或其他特种部队侵入和撤退的快艇的竞赛中胜出。采用铝质船体并可使用c-5运输机运输，墨西哥海军装有三台发动机的版本称为Isla级。
",45节,NULL,NULL,NULL,515英里
15.2米,海监28(向阳红09) ,舰船舰艇,150人,112.05米,5.5米,沪东造船厂,{'$oid': '5cc9320e831b973d657f1896'},,NULL,4435吨,NULL,1978年12月,NULL,NULL,NULL,中国,NULL,2000-5000吨,巡逻舰/艇,1977年10月,NULL,"
向阳红09号海洋综合调查船，即V350，1978年10月竣工，后改南调350。曾改为中国海监28，后改回向阳红09号，是向阳红系列海洋调查船，服役于南海舰队。
",18.2节,NULL,NULL,在役,NULL
