名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
F-35“闪电II”,飞行器,2000千米每小时,10.65米,1台普惠F135涡扇发动机,2000年10月24日,单发,NULL,NULL,(4.8分),1000千米,{'$oid': '5cc93090831b973d657f0f58'},NULL,http://images.huanqiu.com/sarons/2013/08/6f179bf200d2e376a0b09136f7f6837a.jpg,5.28米,13300千克,2009年,美国,超音速,战斗机,"
F-35“闪电Ⅱ”（F-35 Lightning II）联合攻击战斗机是一款由美国洛克希德·马丁设计及生产的单座单发战斗攻击机，也是F-22的低阶辅助机种。F-35主要用于前线支援、目标轰炸、防空截击等多种任务，并因此发展出3种主要的衍生版本，包括采用传统跑道起降的F-35A型，短距离起降/垂直起降机种F-35B型，与作为航空母舰舰载机的F-35C型。F-35在战机世代上属于第五代战斗机，具备较高的隐身设计、先进的电子系统以及一定的超音速巡航能力。
",美国洛克希德·马丁公司,后掠翼,1人,15.37米,31800千克
歼-11战斗机,飞行器,2500千米每小时,14.7米,2台Saturn/Lyulka AL-31F或者WS-10A（太行发动机） 涡轮扇发动机,1998年,双发,NULL,NULL,(5分),3530千米,{'$oid': '5cc93090831b973d657f0f59'},沈阳飞机公司,,5.93米,16380千克,1998年,中国,超音速,战斗机,,NULL,后掠翼,1人,21.9米,33000千克
P-59“空中彗星”战斗机,飞行器,665千米每小时,13.97米,两台通用“电气（Electric）”J31-GE-3／5发动机,1942年10月1日,双发,NULL,NULL,NULL,845千米,{'$oid': '5cc93090831b973d657f0f5a'},NULL,http://images.huanqiu.com/sarons/2013/07/a80d963c8f6db96f1fe8bfa47a28ff46.jpg,3.76米,3704千克,NULL,美国,亚音速,战斗机,"
贝尔P-59“空中彗星”战斗机是美国的第一架喷气式战斗机，主要由贝尔公司研制，并采用了英国向美国政府提供的惠特尔（whittle）涡轮喷气机。第一批生产型P-59A于1944年8月交付给美国陆军航空兵，这20架中的3架被运往海军，命名为XF2L-1。
",贝尔公司,平直翼,1人,11.83米,6214千克
P-39“空中眼镜蛇”,飞行器,612千米每小时,10.36米,艾利逊（Allison）V-1710-83发动机,1938年4月6日,单发,NULL,NULL,NULL,1046千米,{'$oid': '5cc93090831b973d657f0f5b'},NULL,http://images.huanqiu.com/sarons/2013/07/069422a48add45b6695c4b4cff01f9ee.jpg,3.61米,2540千克,NULL,美国,亚音速,战斗机,贝尔公司的P-39战斗机是战争期间一种很有特色的飞机。作为一种尝试，该机将发动机放在座舱后面，通过一根延长轴驱动机头的螺旋桨，座舱布置相应靠前，从而改变了飞机的构造。该机装有4挺机枪，在发动机延长轴内还布置了一门37MM机炮，在二战中这也算得上数一数二的强火力。,美国贝尔公司,平直翼,1人,9.19米,3811千克
波音PW-9单座单发双翼战斗机,飞行器,249千米每小时,9.75米,寇蒂斯D-12D“V犁”（Vee）发动机, 1923年4月29日,单发,NULL,NULL,NULL,628千米,{'$oid': '5cc93090831b973d657f0f5c'},NULL,http://images.huanqiu.com/sarons/2013/08/b3d4b7453e7a762e1d5f260e1d0a39cb.jpg,2.49米,1056千克,1925年,美国,亚音速,战斗机,"
两次世界大战期间，飞机制造商波音公司成功地设计出了几类战斗机。在此基础之上又推出了波音15型，美国陆军在其进行了评估后，将其命名为PW-9“追击者”。
",波音公司,双翼,1人,7.14米,1467千克
贝尔P-63“眼镜蛇王”单翼战斗机,飞行器,660千米每小时,11.68米,艾利逊V-1710-93发动机,1942年12月7日,单发,NULL,NULL,NULL,354千米,{'$oid': '5cc93091831b973d657f0f5d'},NULL,http://images.huanqiu.com/sarons/2013/07/fdd81ff02fdab67a27516b479dd76740.jpg,3.84米,2892千克,NULL,美国,亚音速,战斗机,P-63看起来就像加大型的“空中眼镜蛇”，它实际上却是个全新的设计，在所有高度上都有着优异的速度。,美国贝尔公司,平直翼,1人,9.96米,4763千克
SE 5a/E战斗机,飞行器,195千米每小时,8.19米,莱特-希斯潘诺E发动机,1917年1月12日,单发,NULL,NULL,NULL,438千米,{'$oid': '5cc93091831b973d657f0f5e'},NULL,http://images.huanqiu.com/sarons/2013/08/4be1305b9d1d86866653aeca696c2a81.jpg,2.92米,635千克,1917年,美国,亚音速,战斗机,"
1917年春，美国宣布加入第一次世界大战时，现役中并没有国产的军用飞机，而要加入欧洲战场，拥有自己的军用飞机又是必要的。继而，一个决定被迅速做出：在美国的工厂中制造英法的战斗机和轰炸机，而不是花时间去设计同类机型。皇家飞机制造厂的SE5a被选中，SE 5a是一种单座单发双翼战斗机。
",寇蒂斯公司,双翼,1人,6.12米,934千克
P-51A,飞行器,622千米每小时,11.28米,阿里逊V-1710-39,1940年10月26日,单发,NULL,1945年,NULL,2010千米,{'$oid': '5cc93091831b973d657f0f5f'},NULL,http://images.huanqiu.com/sarons/2013/08/57d80c3cdbbf968cf786db19cdee8704.jpg,3.71米,2971千克,1940年,美国,亚音速,战斗机,"
P-51A是单座单发单翼战斗机，欧战爆发后，英国政府向美国求购适用于英国空军的作战飞机，在与英国达成交易之前，北美公司已经开始独立研发，它的NA-73X设计吸取了很多来自欧洲空战的教训。原型机仅比要求的同期提前了三天完成,英国人给它起了个绰号“野马1号”。本机在后世评价上被认为是二战主力战斗机中综合性能最出色的机种。
",北美航空公司,平直翼,1人,9.83米,3992千克
XP-26“玩具枪”单座单翼战斗机,飞行器,377千米每小时,8.52米,普-惠R-1340-27“黄蜂”发动机,1932年3月21日,单发,NULL,NULL,NULL,901千米,{'$oid': '5cc93091831b973d657f0f60'},NULL,http://images.huanqiu.com/sarons/2013/07/2f56e5dd86120da7de5eab912ea9986f.jpg,3.17米,996千克,NULL,美国,亚音速,战斗机,,NULL,平直翼,1人,7.26米,1368千克
波音FB-1,飞行器,254千米每小时,9.75米,一台寇蒂斯D-12D“V型”（Vee）发动机,1923年4月29日,单发,NULL,NULL,NULL,628千米,{'$oid': '5cc93091831b973d657f0f61'},波音公司,http://images.huanqiu.com/sarons/2013/07/1d453de113f4165ccb714eaf1cd089aa.jpg,2.49米,878千克,1925年12月1日,美国,亚音速,战斗机,"
继向陆军成功兜售PW-9后，波音公司也试图向美国海军推荐波音15型飞机。FB-1，实质上是陆军PW-9的复制版。
",NULL,双翼,1人,7.14米,1286千克
“鹰”200轻型多用途战斗机,飞行器,1000千米每小时,9.4米,一台罗尔斯•罗伊斯/透博梅卡•阿杜尔M k.871涡轮风扇发动机,1986年5月19日,双发,NULL,NULL,NULL,2520千米,{'$oid': '5cc93091831b973d657f0f62'},NULL,http://images.huanqiu.com/sarons/2013/07/e0300bcd5498fbfab5cfc341f8a86b5e.jpg,4.1米,4480千克,NULL,英国,亚音速,战斗机,,英国宇航公司,后掠翼,1人,11.3米,9100千克
歼-7型战斗机,飞行器,890千米每小时,8.3米,涡喷-7涡轮喷气发动机,1966年1月17日,单发,NULL,NULL,NULL,1480千米,{'$oid': '5cc93091831b973d657f0f63'},NULL,http://images.huanqiu.com/sarons/2013/07/9742d42a11e4066642891a8cc037545d.jpg,4.1米,5275千克,NULL,中国,超音速,战斗机,,沈阳飞机制造厂,三角面,1人,12.2米,8655千克
AMX攻击战斗机,飞行器,1045千米每小时,10米,一台罗尔斯·罗伊斯公司斯贝 807 涡扇发动机,1984年5月 ,双发,NULL,NULL,NULL,3330千米,{'$oid': '5cc93091831b973d657f0f64'},NULL,http://images.huanqiu.com/sarons/2013/07/1fcc8436262fe6215a3ff8385057f1d5.jpg,4.5米,6700千克,1989年,巴西,超音速,战斗机,,意大利马基航空公司，巴西航空工业公司,后掠翼,1人,13.2米,13000千克
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,飞行器,1915千米每小时,13.6米,两台通用电气F414-GE-400涡轮风扇发动机,1978年11月18日,双发,NULL,NULL,NULL,1445千米,{'$oid': '5cc93091831b973d657f0f65'},NULL,http://images.huanqiu.com/sarons/2013/07/b92e5ef37fb04e97f388750cd905b29b.jpg,4.9米,10455千克,1980年5月,美国,超音速,战斗机,"
F-18是美国麦道公司为美海军研制的舰载单座双发超音速多用途战斗攻击机，它主要用于海上防空，也可进行对地攻击。
",美国麦道公司,后掠翼,2人,18.4米,16651千克
阵风战斗机,飞行器,2205千米每小时,10.8米,两台SNECMA M88-2涡轮风扇发动机,1986年7月4日,双发,NULL,NULL,NULL,3700千米,{'$oid': '5cc93091831b973d657f0f66'},NULL,http://images.huanqiu.com/sarons/2013/07/38747b38b540dd34254fea4713256a1a.jpg,5.3米,9500千克,2000年12月4日,法国,超音速,战斗机,"
阵风战斗机，或音译为拉斐尔战斗机，是法国达索飞机制造公司设计制造的双发、三角翼、高机动性、多用途第四代半战斗机。阵风虽然没有采用像F-22战斗机第五代战斗机的“外形设计隐身”、“矢量推力”、“超音速巡航”等技术，但比起现役的第四代战斗机，其综合作战性能仍有很大提高，发展潜力巨大。
",法国达索公司,鸭式,2人,15.3米,24500千克
歼-10战斗机,飞行器,2695.2千米每小时,8.78米,一台土星/留里卡AL-31FN后燃涡轮风扇发动机,1998年3月23日,单发,NULL,NULL,NULL,3900千米,{'$oid': '5cc93091831b973d657f0f67'},NULL,http://images.huanqiu.com/sarons/2013/07/db8542ca79c67dc0d3084267db255ea5.jpg,4.78米,8840千克,NULL,中国,超音速,战斗机,"
歼-10战斗机（英语：J-10或F-10）北约代号：萤火虫（Firefly）是中国中航工业集团成都飞机工业公司自主研制的单发动机、轻型、多功能、超音速、全天候、采用鸭式布局的的第四代战斗机，中国空军赋予其编号为歼-10，对外称J-10或称F-10。
",成都飞机工业公司,鸭式,1人,14.57米,18600千克
幻影F1战斗机,飞行器,1480千米每小时,8.4米,一台SNECMA Atar 9K-50涡轮喷气发动机,1966年12月23日,双发,NULL,NULL,NULL,3330千米,{'$oid': '5cc93092831b973d657f0f68'},NULL,http://images.huanqiu.com/sarons/2013/07/a477c4550c386466f7dba6d55bba3c4d.jpg,4.5米,7400千克,1973年,法国,超音速,战斗机,"
“幻影”F1（Mirage F1）是法国达索公司为在70年代取代“幻影”III而研制的战斗机。它配备不同的武器和设备，可以完成制空、截击、低空对地攻击等不同的任务。其首要任务是全天候高空截击。
",法国达索公司,三角面,2人,15.2米,16200千克
苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,飞行器,1900千米每小时,14.7米,两台Lyulka AL-31F 补燃涡轮风扇发动机,1990年4月,双发,NULL,NULL,NULL,4000千米,{'$oid': '5cc93092831b973d657f0f69'},NULL,http://images.huanqiu.com/sarons/2013/07/ac80c560bdd06090aee469db60248fd1.jpg,6.5米,38240千克,2007年,苏/俄,超音速,战斗机,,苏霍伊设计局,后掠翼,3人,21.94米,44350千克
“幻影”Ⅲ/5/50喷气战斗机,飞行器,2350千米每小时,8.22米,一台SNECMA Atar 9C/9K-50涡轮喷气发动机,1956年11月17日（幻影Ⅲ）,单发,NULL,NULL,NULL,3330千米,{'$oid': '5cc93092831b973d657f0f6a'},NULL,http://images.huanqiu.com/sarons/2013/07/795cbcfe7d20584e3d4075e606f169d5.jpg,4.5米,7050千克,NULL,法国,超音速,战斗机,,法国达索·布列盖公司,三角面,2人,15.03米,13700千克
“幻影”2000防空／多用途战斗机,飞行器,2332千米每小时,9.1米,一台SNECMA M53涡轮风扇发动机,1978年3月,双发,NULL,NULL,NULL,3350千米,{'$oid': '5cc93092831b973d657f0f6b'},NULL,http://images.huanqiu.com/sarons/2013/07/c5bdb8aa16d4444120ba1454f6fb1750.jpg,5.2米,7500千克,1984年,法国,超音速,战斗机,"
法国达索飞机制造公司研制的单座单发超音速多用途战斗机。主要用于防空截击和制空作战，也可遂行对地攻击、近距空中支援和侦察等任务。是世界上少数不模仿苏联、美国技术的战斗机之一。幻影2000战斗机先后为埃及、希腊、印度、秘鲁、卡塔尔、阿联酋和台湾所购用。“幻影”2000是“幻影”系列中最新的一种战斗机，也是第三代战斗机中唯一采用不带前翼的无尾三角翼布局的飞机。虽然它还没有赫赫战绩，在海湾战争也不象F—15、F—16那样引人注目，但从其性能水平和作战效能来看，是一种研制得相当成功的好飞机。法国军方已决定选用“阵风”战斗机作为新一代战斗机，“幻影”系列的发展也行将终结，但是“幻影“2000”飞机的改型用到2010年。
",法国达索公司,三角面,2人,14.6米,17000千克
EF2000“台风”战斗机,飞行器,1470千米每小时,10.9米, 两台Eurojet EJ200 涡轮扇叶发动机,1994年3月27日,双发,NULL,NULL,NULL,1390千米,{'$oid': '5cc93092831b973d657f0f6c'},欧洲战斗机公司,http://images.huanqiu.com/sarons/2013/07/55a11d0e44733018abd78af9a76a6599.jpg,5.3米,11000千克,NULL,英国,超音速,战斗机,"
欧洲台风（Eurofighter Typhoon）战斗机，曾命名为EF-2000，是一款由欧洲战机公司设计的双发、三角翼、鸭式布局、高机动性的多用途第四代半战斗机。参与设计与生产的欧洲战机公司（Eurofighter GmbH）是由英、德、意和西班牙4国于1986年时组成，而相关的研发计划则在更早的1979年时就已展开。欧洲台风战斗机和法国达索阵风战斗机以及瑞典萨博JAS-39战斗机因为其优异的性能表现，并称为欧洲“三雄”。意大利西班牙英国德国奥地利沙特阿拉伯
",NULL,鸭式,2人,15.9米,23500千克
F9F战斗机,飞行器,925千米每小时,11.98米,普-惠J42-P-6A发动机,1947年11月24日,单发,NULL,NULL,NULL,2100千米,{'$oid': '5cc93092831b973d657f0f6d'},格鲁曼公司,http://images.huanqiu.com/sarons/2013/08/d5ec8948682e84e6e45fef390a894dd4.jpg,3.74米,4220千克,1958年,美国,亚音速,战斗机,"
F9F黑豹是格鲁曼所生产的第一架喷气式战斗机，同时也是美国海军航空母舰上成功布署的喷气式舰载战斗轰炸机之一。黑豹是朝鲜战争中最广泛使用的美国海军战斗机，一共飞行了78000架次，并且是美国海军在该战争中第一个取得空对空战果的机种，击落了北朝鲜的雅科夫列夫雅克-9战斗机。
",格鲁曼公司,平直翼,1人,10.06米,8492千克
波音F4B-1战斗机,飞行器,304千米每小时,9.14米,一台普-惠R-1340-17“黄蜂”发动机,1930年9月29日,单发,NULL,NULL,NULL,869千米,{'$oid': '5cc93092831b973d657f0f6e'},波音公司,http://images.huanqiu.com/sarons/2013/07/5580c99d45a567555aa8f72e74ce2f1f.jpg,2.74米,907千克,NULL,美国,亚音速,战斗机,,NULL,双翼,1人,6.17米,1220千克
“幻影”2000D/N攻击机,飞行器,2338千米每小时,9.13米,单台SNECMA M53涡轮风扇发动机,1983年2月3日,单发,NULL,NULL,NULL,3350千米,{'$oid': '5cc93092831b973d657f0f6f'},NULL,http://images.huanqiu.com/sarons/2013/07/5131ca4206b1340fc6850a4c4586ff63.jpg,5.15米,7600千克,1988年,法国,超音速,战斗机,"
“幻影”2000D是法国空军的第一款常规战斗机，用以提供全天候的精确打击能力。它的重要性在于填补了“阵风”战斗机装备部队前的空档，为军事计划法的1977—2002版所正式承认。“幻影”2000N双座对地攻击机，由于结构加强，能以高亚音速的高速度沿超低空60米高度强行突防渗透进行袭击或实施核打击。
",法国达索公司,三角面,2人,14.55米,17000千克
EMB-314M（A-29）“超巨嘴鸟” ,飞行器,557千米每小时,11.1米,一台普拉特-惠特尼PT6A-68-1涡桨发动机,1992年,单发,NULL,NULL,NULL,1330千米,{'$oid': '5cc93093831b973d657f0f70'},NULL,http://images.huanqiu.com/sarons/2013/08/15d1cbe47b53701e60dec0b85dffbda6.jpg,3.9米,1810千克,NULL,巴西,亚音速,战斗机,"
A-29“超级巨嘴鸟”式战机，是巴航工业安防公司及其合作伙伴内华达山脉股份公司开发的一款轻型螺旋桨战机，该飞机将被用来实施高级飞行培训、空中侦察和轻型空中支持等任务。原型机于1999年试飞成功。它采用了数控整体机械加工、化学铣切和金属胶接等先进制造工艺。以及先进的加拿大普惠PT6A-68C涡桨发动机，功率高达1193千瓦。乘员有凯夫拉防弹纤维内衬层保护，座舱安装0-0弹射座椅，还有防爆自封油箱；“玻璃化”的座舱有两个豪华平视显示器，机械仪表仅供备份；火控系统全数字化，配备GPS和激光惯导；美军标准MIL-STD-1533数据总线、无线数据链。
",巴西航空工业公司 ,平直翼,1人,11.4米,3175千克
波音F2B-1战斗机,飞行器,253千米每小时,10.9米,一台普-惠R1340“黄蜂”发动机,1927年3月2日,单发,NULL,NULL,NULL,544千米,{'$oid': '5cc93093831b973d657f0f71'},波音公司,http://images.huanqiu.com/sarons/2013/07/052b650fb34210b4a2583e50108960ed.jpg,2.79米,988千克,1928年1月30日,美国,亚音速,战斗机,,NULL,双翼,1人,7.56米,1336千克
F-14“雄猫”战斗机,飞行器,2485千米每小时,19.54米,两台普-惠TF30-P-412发动机,1970年12月12日,双发,NULL,2006年,NULL,3320千米,{'$oid': '5cc93093831b973d657f0f72'},格鲁曼公司,http://images.huanqiu.com/sarons/2013/08/9bcda41ac595bf9f07188a4dfbc58521.jpg,4.88米,18190千克,1974年9月,美国,超音速,战斗机,"
F-14“雄猫”式战斗机是美国海军曾使用的一款超音速空优及长程截击用舰载战斗机。采用双引擎、可变后掠翼与双尾翼、双座配置，由格鲁曼公司承包开发制造，专门负责以航空母舰为中心的舰队防卫任务。首架F-14于1970年试飞，1974年正式服役，以取代F-4鬼怪式战机作为美国航空母舰舰队的防卫。
",NULL,变后掠翼,2人,19.1米,33724千克
洛克希德F-104“星战斗机”,飞行器,2330千米每小时,6.68米,通用电气J79-GE-7发动机,1954年2月7日,单发,NULL,2004年（意大利）,NULL,1360千米,{'$oid': '5cc93093831b973d657f0f73'},NULL,http://images.huanqiu.com/sarons/2013/08/0709925e88072f385b1846284b3135d3.jpg,4.11米,6022千克,1958年1月26日,美国,亚音速,战斗机,"
F-104是美国洛克希德公司研制的超音速轻型战斗机。1951年开始设计，1954年2月原型机首次试飞，1958年开始装备部队、因航程短、载弹量小未成为美国空军的主力战斗机。1958年洛克希德公司对F-104C的机体结构重新设计，提高了结构强度，改进了机载设备，研制成多用途战斗机F-104G，被德、日、加、意、荷、丹麦等国采用（或在G型基础上改型），进行大批量生产。F-104主要型别有A、C、G、J、S等。共生产近2000架。
",NULL,平直翼,1人,16.69米,10700千克
FD/FH“鬼怪”,飞行器,766千米每小时,12.42米,两台西屋J30-WE-20发动机,1945年1月26日,单发,NULL,1953年,NULL,1580千米,{'$oid': '5cc93093831b973d657f0f74'},NULL,http://images.huanqiu.com/sarons/2013/08/0bb3ab8f9427899c09c4938a195aa2e6.jpg,4.32米,3031千克,1947年,美国,亚音速,战斗机,,麦克唐纳公司,后掠翼,1人,11.85米,5459千克
F3D/F-10“空中骑士”,飞行器,960千米每小时,15.24米,两台西屋电气（Westhouse）J34-WE-36发动机,1948年3月23日,双发,NULL,1970年,NULL,1920千米,{'$oid': '5cc93093831b973d657f0f75'},美国道格拉斯公司,http://images.huanqiu.com/sarons/2013/08/4cf47cb0a78363cef58b777f954ce66b.jpg,4.92米,8237千克,1951年,美国,亚音速,战斗机,,NULL,平直翼,2人,13.87米,12179千克
