名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,内置武器,旋翼直径,退役时间,最大航程,关注度,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
米-24/-25/-35“雌鹿” 攻击/突击直升机,飞行器,335千米每小时,17.3米,两台克里莫夫TV3-117MT涡轮轴发动机,1969年9月19日,双发,NULL,17.1米,NULL,450千米,NULL,{'$oid': '5cc93160831b973d657f1418'},NULL,http://images.huanqiu.com/sarons/2013/08/dc56d3dcd3e1ad5828cfd957340720c0.jpg,6.5米,8500千克,1972年,苏/俄,亚音速,武装直升机,"
米-24（Mi-24）武装直升机是前苏联米里直升机设计局设计的苏联第一代专用武装直升机。北约组织给予的绰号是“雌鹿”(Hind)。定位为大型直升机空中炮艇和低运量兵员运输用途，最初为苏联空军使用，成功后外销30国以上。北约命名规则把外销的米-25和米-35直接命为雌鹿D和雌鹿E，苏联飞行员昵称“飞行战车”或“Krokodil”（鳄鱼）因为外型轮廓和迷彩纹路相似鳄鱼。
",米里设计局,单旋翼,3人,17.5米,12000千克
卡-50“噱头”,飞行器,390千米每小时,NULL,克里莫夫TV3-117VMA涡轮轴发动机,1982年,双发,右舷的机身处有挺30毫米加农炮；挂载点,14.5米,NULL,1100千米,NULL,{'$oid': '5cc93161831b973d657f1419'},NULL,,4.9米,7500千克,NULL,苏/俄,亚音速,武装直升机,卡-50是前苏联国内卡莫夫设计局和米里设计局的米-28竞争的结果。在直升机领域中，单座即仅有一名驾驶员的攻击直升机确是前所未闻。而只有一名驾驶员的卡-50的问世掀开了直升机历史新的一页。驾驶员不仅要驾驶操纵直升机飞行，还要搜索、跟踪目标，并发射反坦克导弹实施攻击。,卡莫夫直升机公司,共轴双旋翼,1人,16米,9800千克
直-9G ,飞行器,246千米每小时,NULL,WZ-8A涡轴发动机,1998年8月4日,双发,NULL,11.9米,NULL,664千米,NULL,{'$oid': '5cc93161831b973d657f141a'},NULL,http://images.huanqiu.com/sarons/2013/11/693e813b8b80f1c6694a1f042b014348.jpg,4.5米,1975千克,1998年10月14日,中国,亚音速,武装直升机,,哈尔滨飞机制造公司,单旋翼,14人,13.7米,4000千克
Z9WE武装型直升机,飞行器,238千米每小时,NULL,两台ARRIEL2C发动机,NULL,双发,NULL,12.01米,NULL,528千米,NULL,{'$oid': '5cc93161831b973d657f141b'},哈尔滨飞机制造公司,http://images.huanqiu.com/sarons/2013/11/d2b199f9264257e8b5b1dfdd9123f87a.jpg,3.97米,1975千克,NULL,中国,亚音速,武装直升机,,哈尔滨飞机制造公司,单旋翼,3人,13.72米,NULL
直-9F武警专用型,飞行器,250千米每小时,NULL,WZ-8A涡轴发动机,2001年7月31日,双发,NULL,11.93米,NULL,850千米,NULL,{'$oid': '5cc93161831b973d657f141c'},NULL,http://images.huanqiu.com/sarons/2013/11/ddc752af28f36aab7fd97cd0d929c9e2.jpg,3.21米,1975千克,NULL,中国,亚音速,武装直升机,,哈尔滨航空工业集团,单旋翼,14人,13.46米,4100千克
米-28“浩劫”,飞行器,300千米每小时,NULL,TV3-117发动机,1982年,双发,在机头下方的炮塔安装30毫米的加农炮；挂载点,17.2米,NULL,435千米,NULL,{'$oid': '5cc93161831b973d657f141d'},NULL,http://images.huanqiu.com/sarons/2014/01/10e0d35183c380db7ac90797a219b316.jpg,4.81米,7000千克,NULL,苏/俄,亚音速,武装直升机,"
米-28是苏联米里设计局研制的单旋翼带尾桨全天候专用武装直升机，北大西洋公约组织给绰号为“浩劫”(Havoc)。于1980年开始设计，原型机1982年11月首飞，90%的研制工作于1989年6月完成，后来第3架原型机参加了巴黎航展。1992年后少量生产，至2007年尚未批量生产或装备部队。米里设计局还曾提出一种伞兵/作战改型，编号米-40。
",米里直升机公司,单旋翼,8人,16.85米,NULL
直-19,飞行器,305千米每小时,NULL,两台涡轴8C涡轮引擎,2010年7月,双发,NULL,12.01米,NULL,800千米,NULL,{'$oid': '5cc93161831b973d657f141e'},哈尔滨飞机制造公司,http://images.huanqiu.com/sarons/2014/01/984e8601a83f6d64df496f222230ff9d.jpg,4.01米,2.35千克,2011 年,中国,NULL,武装直升机,"
直-19是由中航工业哈尔滨飞机制造公司及602直升机研究所开发、研制、制造的武装直升机兼侦察直升机，基于直9 , H410A、H425以及H450民用直升机的军用衍生型，其命名为黑旋风（英文：Black Hurricane）名字取自《水浒传》中的重要人物“黑旋风”李逵，象征这种武装直升机也如同梁山好汉一般本领非凡。
",哈尔滨飞机制造公司及602直升机研究所,单旋翼,2人,12米,4500千克
米-24“母鹿”,飞行器,335千米每小时,NULL,卡里莫夫tv3-117涡轴发动机,1969年,双发,机头下部的吊塔上安装了一挺12.7毫米的四管加特林机枪；挂载点,17.3米,NULL,500千米,NULL,{'$oid': '5cc93162831b973d657f141f'},NULL,,5.1米,8200千克,NULL,苏/俄,亚音速,武装直升机,"
米-24是俄罗斯米里莫斯科直升机厂（原米里实验设计局）研制的中型多用途武装直升机，是前苏联的第一种专用武装直升机。60年代末开始研制，1969年首飞，1973年装备部队，北约组织给予的绰号为“母鹿”（hind）。
",米里直升机公司,单旋翼,3人,21.3米,1200千克
SA341/342 小羚羊,飞行器,280千米每小时,NULL, 1 台“阿斯泰阻”XIVM 涡轮轴发动机,1967年4月,单发,NULL,10.5米,NULL,260千米,NULL,{'$oid': '5cc93162831b973d657f1420'},NULL,http://images.huanqiu.com/sarons/2013/11/7e56753301f8add983614328cc2859af.jpg,3.19米,NULL,20世纪80年代,法国,亚音速,武装直升机,"
SA341/342小羚羊是轻型多用途直升机，1964年由法国单独研制，1967年后由英、法两国共同研制，1967年4月首飞，80年代初开始逐步装备英法两国部队。除英、法合作生产“小羚羊”。至1991年6月30日，已向41个国家交付民用型和军用型“小羚羊”达1254架。
",NULL,单旋翼,2人,11.97米,1800千克
直-9W,飞行器,324千米每小时,NULL,2台透博梅卡公司的“阿赫耶”1C涡轴发动机，单台功率为522干瓦,NULL,NULL,NULL,11.93米,NULL,1030千米,NULL,{'$oid': '5cc93162831b973d657f1421'},NULL,,3.21米,1975千克,NULL,中国,亚音速,武装直升机,,NULL,单旋翼,10人,13.46米,3850千克
直-9D海军增强反舰型,飞行器,280千米每小时,NULL,未知,NULL,双发,NULL,NULL,NULL,860千米,NULL,{'$oid': '5cc93162831b973d657f1422'},NULL,http://images.huanqiu.com/sarons/2013/11/b3643914333dbcdfeeb10e515d23ab5d.jpg,3.21米,4100千克,NULL,中国,亚音速,武装直升机,,NULL,单旋翼,NULL,13.46米,NULL
直-9高温高原型,飞行器,286千米每小时,NULL,Arriel 2C发动机,20世纪90年代,双发,NULL,11.93米,NULL,1000千米,NULL,{'$oid': '5cc93162831b973d657f1423'},NULL,,3.21米,2050千克,NULL,中国,亚音速,武装直升机,,NULL,单旋翼,8人,11.44米,NULL
直-9WA,飞行器,306千米每小时,NULL,一台自由涡轴发动机,20世纪90初,双发,NULL,0.9米,NULL,860千米,NULL,{'$oid': '5cc93162831b973d657f1424'},NULL,http://images.huanqiu.com/sarons/2013/11/5b926d54d7bad273d9e6d094a57f2414.jpg,3.47米,1975千克,NULL,中国,亚音速,武装直升机,,哈尔滨飞机制造公司,单旋翼,4人,11.45米,3850千克
卡-52直升机 ,飞行器,350千米每小时,NULL,TB3-117BMA型涡轮发动机×2,NULL,双发,NULL,14.43米,NULL,NULL,NULL,{'$oid': '5cc93163831b973d657f1425'},NULL,http://images.huanqiu.com/sarons/2013/11/ebbadb6e42dd150cc3ef6bce7c238a3e.jpg,6.85米,NULL,NULL,苏/俄,亚音速,武装直升机,,卡莫夫公司,共轴双旋翼,NULL,15.96米,NULL
川崎OH-1 侦察/观察直升机,飞行器,277千米每小时,NULL,NULL,1996年8月6日,双发,NULL,11.6米,NULL,550千米,NULL,{'$oid': '5cc93163831b973d657f1426'},NULL,http://images.huanqiu.com/sarons/2014/01/fee5e414424f9b29302e0f423692a1b9.jpg,3.4米,NULL,2003年交付,日本,亚音速,武装直升机,,川崎,单旋翼,1人,12米,NULL
AH-6“小鸟”直升机,飞行器,310千米每小时,NULL,一台T63-A-5A或t63-A-700涡轮轴发动机，630马力（485kW）,1991年,单发,NULL,8.3米,NULL,1900千米,NULL,{'$oid': '5cc93163831b973d657f1427'},波音公司,http://images.huanqiu.com/sarons/2013/11/cdc12fc72ebd262013fbea681b8e87d2.jpg,3米,722千克,1991年,美国,亚音速,武装直升机,"
MD500/530“防御者”是原美国休斯直升机公司(1985年8月27日并入麦克唐纳·道格拉斯公司，后又并入波音公司)在其MD500/530民用型系列直升机的基础上发展起来的军用型。除“陶”“防御者”外，其机体与民用500/530型相同。美陆军编号为AH-6、EH-6和MH-6。
",波音公司,单旋翼,6人,9.8米,1406千克
