翼展,_id,图片,类型,名称,弹长,简介,弹重,研发单位,引信,大类,弹径,制导系统,最大速度,射程,研制时间,产国
1.22米,{'$oid': '5cc933a5831b973d657f2278'},,空舰导弹,鹰击-81（YJ-81/C－801K）空射型导弹,NULL,"
鹰击81(C－801K）有“中国飞鱼”之称，近年因为被伊朗等国采用而锋头颇健。其中，C-801已装备在中国售予伊朗的河沽级导弹快艇，而C－801K则被伊朗空军的F－4战斗机采用，成为受到美国海军关注的一种武器。
",NULL,70年代中期,NULL,导弹武器,NULL,自控加主动雷达末制导,NULL,42千米,NULL,中国
5.64米,{'$oid': '5cc933a6831b973d657f2279'},,空舰导弹,AS-15-TT反舰导弹,2.3米,"
AS-15-TT是法国宇航公司于1977年开始研制的一种轻型通用反舰导弹。根据发射平台的不同，它可分为空对舰型、舰对舰型和岸对舰型。空对舰型是基本型，主要装备海军的直升机，用以攻击敌方导弹快艇等中小型水面舰艇。
",NULL,法国宇航公司,NULL,导弹武器,1.87米,无线电指令加高度程控,NULL,15千米,1977年,法国
0.72米,{'$oid': '5cc933a6831b973d657f227a'},,空舰导弹,CL-843海鸥（Sea Skua ASM）空舰导弹 ,2.5米,,145千克,英国航空航天公司,触发引信，延迟引爆,导弹武器,0.25米,半主动雷达制导,NULL,25千米,1972年,英国
NULL,{'$oid': '5cc933a6831b973d657f227b'},,空舰导弹,Kh-31系列空舰导弹,3.75米,,610千克,俄罗斯新星设计局,NULL,导弹武器,0.42米,NULL,NULL,150千米,1984年4月,苏/俄
NULL,{'$oid': '5cc933a6831b973d657f227c'},http://images.huanqiu.com/sarons/2013/11/46304d4384ca02f44d112ebabcd1b75e.jpg,空舰导弹,X-1（Fritz X) ,3.32米,,1362千克,Ruhrstahl/Kramer,NULL,导弹武器,0.853米,NULL,1235千米/小时,5千米,NULL,德国
0.147米,{'$oid': '5cc933a6831b973d657f227d'},http://images.huanqiu.com/sarons/2013/11/35605e75d63fbd812ae78d79f79b8fbf.jpg,空舰导弹,RBS-15F“尔布斯”空舰导弹,4.35米,,630千克,萨伯·博福斯导弹公司,NULL,导弹武器,0.5米,惯性中制导和主动雷达末制导,NULL,200千米,1982年,瑞典
3.1米,{'$oid': '5cc933a7831b973d657f227e'},,空舰导弹,Hs293空舰导弹,3.82米,,550千克,亨舍尔公司,NULL,导弹武器,0.47米,NULL,NULL,4千米,1939年,德国
1.2米,{'$oid': '5cc933a7831b973d657f227f'},http://images.huanqiu.com/sarons/2014/01/47cc8cc03a58a27c35ed4debf44d6f53.jpg,空舰导弹,P.3T/海鹰（Sea Eagle）,4.14米,"
“海鹰”是英国航空航天公司动力部研制的中程反舰导弹。原代号为P.3T。它有空对舰型（P.3T）和舰对舰型（P.5T）。1967年第三次中东战争之后，英国曾制定过舰载“马特尔”、“水下发射导弹”、“海鸥”等反舰导弹研制计划，但除“海鸥”之外，其他研制计划都固性能一般或经济效益较差而被迫撤销。“海鹰”反舰导弹也面临着许多竞争者，但由于英国航空航天公司吸取了国内外反舰导弹的先进经验，应用计算机和微处理机等新技术，使其性能有所突破，计划进展比较顺利。1976年开始初样研制，1986年定型装备。除英皇家空军、海军计划在“海盗”和“海鹞”飞机上装备该弹外，印度也为其””海王”直升飞机订购了该弹。
",580千克,英国航空航天公司动力部 ,NULL,导弹武器,NULL,NULL,NULL,110千米,1976年,英国
NULL,{'$oid': '5cc933a7831b973d657f2280'},,空舰导弹,ASM-3空舰导弹 ,6米,"
日本为了弥补F-2战斗机和F-4EJ战斗机数量劣势，于2010年开始ASM-3空舰导弹的研制，以发动更有效的反舰攻击。计划2016年完成实用试验。
",900千克,NULL,火箭冲压,导弹武器,0.35米,被动雷达,NULL,近程导弹,2010年,日本
1.1米,{'$oid': '5cc933a7831b973d657f2281'},http://images.huanqiu.com/sarons/2013/11/336c39aa0f17db1ea3489c729a7e2e0b.jpg,空舰导弹,“飞鱼”空舰导弹,4.7米,"
“飞鱼”导弹是法国航宇公司研制的一种全天侯两级飞航式空对舰导弹，代号为AM-39。是一款由法国研发制造的反舰导弹，拥有舰射、潜射、空射等多种不同的发射方式，而除了潜射型版本外，飞鱼导弹全可以接近音速在接近水面5米不到的高度飞行但不接触水面。飞鱼导弹在1980年代开始正式服役后，历经过许多实战经验，是一种整体性能评价优异的反舰导弹系统。
",670千克,法国宇航公司,定时引信、碰炸引信,导弹武器,0.348米,惯性导引+主动雷达导引,1134千米/小时,70千米,1970年,法国
1米,{'$oid': '5cc933a7831b973d657f2282'},,空舰导弹,AS34/鸬鹚空舰导弹,4.4米,"
该弹是原联邦德国梅-伯-布公司(MBB)、现德国戴勒姆-本茨宇航公司(DASA)研制的一种近程掠海飞行空舰导弹，装备其海军航空兵的F-104G战斗机，攻击1000吨级以上的海上舰艇目标。
",600千克,德国戴勒姆-本茨宇航公司(DASA),触发延时引信,导弹武器,0.345米,NULL,NULL,30千米,1962年,德国
1.1米,{'$oid': '5cc933a7831b973d657f2283'},http://images.huanqiu.com/sarons/2013/11/74e041dbbc7705aff7e7aa601b1f2123.jpg,空舰导弹,Kh-29(AS-14)空地(舰)导弹,3.9米,"
Kh-29空地(舰)导弹又称AS-14""小锚""导弹,是1970年代发展的空对地导弹，1980年代开始服役，属于第三代俄制战术导弹。Kh-29有电视制导的Kh-29T、半主动激光制导的Kh-29L、红外线制导的 Kh-29D、反辐射型的Kh-29MP，这些导弹可配备在多型俄制战机上。
",680千克,NULL,NULL,导弹武器,0.4米,NULL,NULL,12千米,NULL,苏/俄
0.11米,{'$oid': '5cc933a7831b973d657f2284'},,空舰导弹,“迦伯列”3空舰导弹,3.85米,"
“迦伯列”3是以色列飞机工业公司在其“迦伯列”3舰舰导弹基础上发展的空舰导弹，1978年开始研制，1984年开始批生产。该弹可装备F-4“鬼怪”、A-4“天鹰”飞机，以及1124A海上巡逻飞机。
",NULL,以色列飞机工业公司,NULL,导弹武器,0.034米,NULL,NULL,40千米,1978年,以色列
3.1米,{'$oid': '5cc933a8831b973d657f2285'},,空舰导弹,Hs.293空舰导弹,3.82米,,550千克,赫伯特.A.瓦格纳博士为首的研究团队,NULL,导弹武器,3.1米,NULL,NULL,8.5千米,1939年,德国
2.25米,{'$oid': '5cc933a8831b973d657f2286'},,空舰导弹,K-12Б 空航导弹,8.36米,"
K-12Б 空航导弹是别里耶夫领导的设计局为别-10（Бe-10）水上轰炸机配套设计的反舰导弹。从1953年开始设计，1957年投入批量生产，到1960年生产60多架。主要用来攻击海上大型舰艇，也可攻击雷达反差大的地面目标。
",NULL,别里耶夫飞机设计局,触发/延时引信,导弹武器,1.14米,惯导加主动雷达,NULL,40千米,1953年,苏/俄
0.857米,{'$oid': '5cc933a8831b973d657f2287'},,空舰导弹,爱吐斯（Airtos）空舰导弹,3.9米,,191千克,意大利西斯特耳公司,触发引信/近炸引信,导弹武器,0.206米,主动雷达加雷达高度表修正,2325.6千米/小时,11千米,1969年,意大利
NULL,{'$oid': '5cc933a8831b973d657f2288'},,空舰导弹,X-41反舰导弹,NULL,"
该弹是前苏联/俄罗斯自行研制并装备部队使用的第四代反舰导弹，是由虹机械制造设计局于70年代中期开始研制，1980年开始服役。该弹装备于苏-27K舰载战斗机。
",3950千克,虹机械制造设计局,触发引信,导弹武器,NULL,惯导加主/被动雷达,NULL,NULL,70年代中期,苏/俄
1.02米,{'$oid': '5cc933a9831b973d657f2289'},,空舰导弹,“阿斯姆”-1/80式空舰导弹,4米,,600千克,三菱重工业公司,触发延时引信和近炸引信,导弹武器,0.335米,惯导加雷达高度表修正中制导、主动雷达末制导(ASM-1/1C),NULL,50千米,1973年,日本
1.97米,{'$oid': '5cc933a9831b973d657f228a'},http://images.huanqiu.com/sarons/2014/04/85fe1462aa77a535e2292c7c6d0b3594.jpg,空舰导弹,罗伯特RB04（Robot RB04） 空舰导弹,4.45米,"
该弹是瑞典自行研制并装备使用的第一个中距战术空舰导弹。瑞典的战术导弹计划项目由瑞典国防部导弹局(Robotavdelningen)负责，由原萨伯·斯堪尼亚公司、现萨伯导弹公司研制。该弹是在“罗伯特”310(Robot 310基础上，开始发展第一个实战用舰舰/空舰型导弹——“罗伯特”315/304(Robot 315/304)。“罗伯特”304，1948年在T18B轰炸机上开始试飞，空军编号为RB-04。现仍在服役。
",600千克,瑞典萨伯导弹公司,触发延时引信和近炸引信,导弹武器,0.5米,程序控制中制导和主动雷达末制导,1162.8千米/小时,20千米,1946年,瑞典
0.779米,{'$oid': '5cc933a9831b973d657f228b'},,空舰导弹,X-31Ⅱ/X-31A(AS-12)反辐射/反舰导弹,5.2米,,600千克,“星星”机械制造设计局,触发引信,导弹武器,0.36米,被动雷达,NULL,200千米,1977年,苏/俄
