_id,图片,口径,炮口初速,类型,名称,总重,简介,研发单位,全长,型号,最大射程,大类,炮管长度,编辑评分,产国,研发时间
{'$oid': '5cc93356831b973d657f20a1'},http://images.huanqiu.com/sarons/2013/11/acb84589b7a3d04929cc002bebacd622.jpg,155毫米,NULL,自行火炮,GCT式榴弹炮 ,43500千克,"
GCT式榴弹炮是法国于1969年开始研制的一种155mm自行榴弹炮。该型榴弹炮由炮身、摇架、反后坐装置、自动装弹系统、火控系统和车体等部分组成，具有射程远、机动性强的特点，具备三防能力，弱点是结构复杂，使用维护困难。
",NULL,NULL,榴弹,18000米,火炮,NULL,NULL,法国,1969年
{'$oid': '5cc93356831b973d657f20a2'},http://images.huanqiu.com/sarons/2013/11/e61d15dda27fb36366b0871d0093657c.jpg,152毫米,NULL,自行火炮,83式自行火炮,30000千克,"
83式自行火炮是中国人民解放军装备的第一款大口径自行火炮，由于采用的火炮技术已经落伍，其生产并未持续太长时间，之后不久便推出了更新型的88式自行火炮。
",674厂,7.33毫米,杀伤爆破榴弹,21500米,火炮,NULL,NULL,中国,1970年
{'$oid': '5cc93357831b973d657f20a3'},,155毫米,817米/秒,自行火炮,“帕尔玛利亚”榴弹炮,46000千克,,意大利奥托梅莱拉公司,NULL,NULL,30000米,火炮,NULL,NULL,意大利,1977年
{'$oid': '5cc93357831b973d657f20a4'},http://images.huanqiu.com/sarons/2013/11/4d139d3859598677384068dc25720360.jpg,155毫米,563.9米/秒,自行火炮,M44式榴弹炮,28350千克,"
M44式榴弹炮是美国于1953年研制定型的一种155mm自行榴弹炮。战斗全重28350kg，发射榴弹时最大初速563.9m/s，最大射程14.6km，可发射榴弹、照明弹、发烟弹和化学弹等多种常规弹药。最大时速56.3kg/h，最大行程122km。
",NULL,NULL,照明弹,14600米,火炮,NULL,NULL,美国,1953年
{'$oid': '5cc93357831b973d657f20a5'},http://images.huanqiu.com/sarons/2014/01/0109c72e473048936624912c36b01075.jpg,120毫米,960米/秒,自行火炮,120毫米8×8轮式自行反坦克炮 ,22000千克,,NULL,NULL,12.7毫米车载机枪,9000米,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc93357831b973d657f20a6'},,NULL,1175米/秒,自行火炮,“猎豹”高射炮,46300千克,,NULL,NULL,曳光脱壳穿甲弹,12.8米,火炮,NULL,NULL,德国,1966年
{'$oid': '5cc93357831b973d657f20a7'},,155毫米,897米/秒,自行火炮,G6式加榴炮,46000千克,"
G6式榴弹炮是南非于1988年研制定型的一种155mm自行加榴炮。该型加榴炮采用自紧身管，身管长45倍口径，装有抽烟装置、炮口有蘑菇形制退器，炮塔可全方位旋转。装备有电子初速测定仪、激光测距机、炮口基准装置、半自动装填系统和先进的射击控制系统等。
",NULL,NULL,发烟弹,30800米,火炮,NULL,NULL,南非,1988年
{'$oid': '5cc93358831b973d657f20a8'},,105毫米,472.4米/秒,自行火炮,M52式榴弹炮,24040千克,,NULL,NULL,火箭增程弹,11270米,火炮,NULL,NULL,美国,1955年
{'$oid': '5cc93358831b973d657f20a9'},http://images.huanqiu.com/sarons/2013/11/0eae676ec377e73c34d35068a76f3758.jpg,23毫米,970米/秒,自行火炮,ZSU-23-4式23毫米高炮,19000千克,,图拉仪表设计局,6540毫米,杀伤爆破燃烧弹,7000米,火炮,NULL,NULL,苏/俄,1955年
{'$oid': '5cc93358831b973d657f20aa'},,35毫米,1175米/秒,自行火炮,英国“神枪手”高射炮,NULL,,英国BAE公司,NULL,NULL,4000米,火炮,NULL,NULL,英国,1983年
{'$oid': '5cc93358831b973d657f20ab'},,40毫米,1060米/秒,自行火炮,“约克中士”高射炮,54000千克,,美国福特宇航公司,7.76毫米,NULL,12500米,火炮,NULL,NULL,美国,1974年
{'$oid': '5cc93358831b973d657f20ac'},,152毫米,810米/秒,自行火炮,2S19式加农炮,42500千克,"
2S19式加农炮是前苏联研制的一种152mm自行加农炮。该型加农炮采用2A65式152mm榴弹炮身管和T-80坦克底盘构成，采用全自动装填装置，还装备有射击诸元显示器。
",NULL,NULL,NULL,30000米,火炮,NULL,NULL,苏/俄,1989年
{'$oid': '5cc93358831b973d657f20ad'},,25毫米,1050米/秒,自行火炮,95式25毫米自行高炮,22500千克,,NULL,67100毫米,NULL,4000米,火炮,NULL,NULL,中国,20世纪80年代末
{'$oid': '5cc93358831b973d657f20ae'},,NULL,1040米/秒,自行火炮,“野猫”高射炮,18500千克,"
“野猫”系统是联邦德国新研制成功的一种轮式自行高射炮，已准备投产，主要用于对外出口，供那些无力采购“猎豹”35毫米双管自行高射炮的国家使用。
",NULL,NULL,NULL,6.5米,火炮,NULL,NULL,德国,NULL
{'$oid': '5cc93359831b973d657f20af'},,76毫米,900米/秒,自行火炮,意大利“奥托”高射炮,46600千克,"
意大利奥托.梅拉拉公司在76/72快速舰炮基础上研制的口径大、射程远的高射炮，以对付武装直升机、低空飞机及地面轻装甲目标。
",意大利奥托.梅拉拉公司,NULL,榴弹,NULL,火炮,NULL,NULL,意大利,NULL
{'$oid': '5cc93359831b973d657f20b0'},,大口径炮,NULL,自行火炮,SP-70式榴弹炮,NULL,,NULL,NULL,NULL,NULL,火炮,NULL,NULL,德国,NULL
{'$oid': '5cc93359831b973d657f20b1'},,122毫米,690米/秒,自行火炮,研2S1式“石竹”榴弹炮,16000千克,,NULL,7300毫米,榴弹,15200米,火炮,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93359831b973d657f20b2'},http://images.huanqiu.com/sarons/2013/11/55e73c3c64af1e36d48d5d8b3cd0a291.jpg,155毫米,NULL,自行火炮, PzH2000自行榴弹炮,55800千克,,NULL,NULL,杀伤爆破榴弹,40000米,火炮,NULL,NULL,德国,1990年
{'$oid': '5cc93359831b973d657f20b3'},,12.4毫米,NULL,自行火炮,克罗地亚“勇士”-30高炮,NULL,,NULL,NULL,NULL,NULL,火炮,NULL,NULL,克罗地亚,NULL
{'$oid': '5cc9335a831b973d657f20b4'},http://images.huanqiu.com/sarons/2013/11/2c1abca8f3e8bf523682074347a13d38.jpg,中口径炮,NULL,自行火炮,2S5式152毫米自行加榴炮,NULL,,NULL,NULL,NULL,28500米,火炮,7800毫米,NULL,苏/俄,NULL
{'$oid': '5cc9335a831b973d657f20b5'},http://images.huanqiu.com/sarons/2013/11/5776633a8d487c06294bf409c14e7cd9.jpg,156毫米,NULL,自行火炮,M109自行榴弹炮,NULL,"
作为美军和北约的主力自行榴弹炮，M109可以用飞机空运。在其服役的60～90年代，M109一直进行着改进，使其始终保持着先进的水平。尤其是其最新的 M109A6“游侠”(Paladin)，由于对火控系统进行了很大的改进，是美军电子化作战的标准火炮配备,是重型机械化部队主要的火力支援武器。此次地面进攻，美军地面部队就是在M109A6的齐射中冲向了伊军阵地。
",NULL,NULL,NULL,23500米,火炮,NULL,NULL,美国,NULL
{'$oid': '5cc9335a831b973d657f20b6'},,小口径炮,NULL,自行火炮,休斯34型 机炮吊舱,475千克,,美国休斯直升机公司,5460毫米,炮弹重890/670克，备弹量750发,NULL,火炮,NULL,NULL,美国,NULL
{'$oid': '5cc9335a831b973d657f20b7'},http://images.huanqiu.com/sarons/2013/11/42d5546041d3c216a83f9953628ab1dd.jpg,155毫米,NULL,自行火炮,AS-90自行榴弹炮,NULL,,英国维克斯造船与工程公司,9.07毫米,NULL,NULL,火炮,NULL,NULL,英国,1981年
{'$oid': '5cc9335a831b973d657f20b8'},http://images.huanqiu.com/sarons/2013/11/1f0d81799e65f1c61ac50c7093b08d9a.jpg,155毫米,NULL,自行火炮,M109L47式榴弹炮,27000千克,,NULL,NULL,NULL,NULL,火炮,NULL,NULL,南非,NULL
{'$oid': '5cc9335b831b973d657f20b9'},,105毫米,NULL,自行火炮,MOBAT式榴弹炮,NULL,,RDM技术公司,NULL,NULL,20000米,火炮,NULL,NULL,荷兰,NULL
{'$oid': '5cc9335b831b973d657f20ba'},http://images.huanqiu.com/sarons/2013/11/d1e8a1364cea9b7dd7b09e3654d9f688.jpg,NULL,NULL,自行火炮,M109A6 Paladin“游侠”自行火炮,28700千克,"
M109是一种美制155毫米口径自行火炮，于1963年开始进入美国陆军服役，提供师和旅级部队所需的非直射火力支援。从1963年量产至今，生产总数已超过7,000辆以上，使用国超过30个，可说是1970至1990年代西方国家的标准自行火炮。

在XM2001十字军（Crusader）自行火炮发展计划被取消后，M109A6帕拉丁自行火炮对美国陆军将更显重要。
",NULL,NULL,NULL,23500米,火炮,NULL,NULL,美国,NULL
{'$oid': '5cc9335b831b973d657f20bb'},http://images.huanqiu.com/sarons/2013/11/fa2c23c20801918bee40d4334d6cf64f.jpg,20毫米,NULL,自行火炮,美国“火神”高射炮 ,1565千克,,NULL,NULL,曳光榴弹,1200米,火炮,NULL,NULL,美国,NULL
{'$oid': '5cc9335b831b973d657f20bc'},http://images.huanqiu.com/sarons/2013/11/3196905c285d7774a9dcfae9ef07edd9.jpg,155毫米,NULL,自行火炮,AS90式榴弹炮,NULL,"
英国AS-90自行榴弹炮是为了替换“阿伯特”105毫米榴弹炮和老式的 M109 自行火炮。由英国政府招标，最终英国维克斯造船和工程公司（现为BAE系统公司）的AS90中标。1992年首次装备部队。英国陆军计划采购241辆。AS90的炮塔采用了维克斯造船和工程公司GBT155通用炮塔的改进型。改进后的榴弹炮远距离射击精度高，机动性好，具有爆发射击能力。
",英国维克斯造船和工程公司（现为BAE系统公司）,NULL,北约155毫米制式弹药,30000米,火炮,NULL,NULL,英国,20世纪80年代
{'$oid': '5cc9335b831b973d657f20bd'},,120毫米,NULL,自行火炮,TDA 2R2M式120毫米自行迫击炮,NULL,,NULL,NULL,NULL,13000米,火炮,NULL,NULL,法国,NULL
{'$oid': '5cc9335b831b973d657f20be'},http://images.huanqiu.com/sarons/2013/11/de3e80781bfd46d30364b8f324abea4e.jpg,35毫米,NULL,自行火炮,“厄利肯护卫者”高射炮,24000千克,,NULL,NULL,NULL,4000米,火炮,NULL,NULL,瑞士,NULL
{'$oid': '5cc9335b831b973d657f20bf'},http://images.huanqiu.com/sarons/2013/11/a30abd7c5bf15ba9c0b6dde3624056d4.jpg,120毫米,480米/秒,自行火炮,芬兰AMOS自行迫击炮,4.4千克,"
AMOS是Advanced Mortar System（先进迫击炮系统）的英文缩写。实际上，它是一套包括2门120mm追击炮和炮塔在内的模块化组件，适于装载在多种武器平台上。将大口径迫击炮装在移动底盘上，克服了传统的迫击炮撤出阵地慢、射速低等缺点，使之如虎添翼。
",帕特里亚武器系统公司和瑞典的赫格隆公司,NULL,120mm红外烟幕弹,NULL,火炮,3000毫米,NULL,芬兰,20世纪90年代中期
{'$oid': '5cc9335c831b973d657f20c0'},,203毫米,711米/秒,自行火炮,M110A1式榴弹炮,NULL,"
M110自行火炮（M110 203mm self-propelled gun）是美国生产的履带式自行火炮系列之一，也是美国制造的自行火炮中装载火炮口径最大的一款。

M110A1于1976年开始服役，由M107改装而成。搭载新制作的37倍径203毫米M201式榴弹炮以及新型装药，射程以及运用弹性大幅度提升，除了武装变更以外车体也进行了部份设计更动以提升可靠性。
",NULL,NULL,榴弹、核炮弹、火箭增程弹、子母弹、化学弹、 M106 式榴弹 ,21300米,火炮,8240毫米,NULL,美国,NULL
{'$oid': '5cc9335c831b973d657f20c1'},,小口径炮,1175米/秒,自行火炮,87式高射炮,NULL,"
87式高射炮是日本于1965年开始研制的一种35mm双联装自行高射炮。
",NULL,NULL,NULL,12800米,火炮,NULL,NULL,日本,1965年
{'$oid': '5cc9335c831b973d657f20c2'},,76毫米,900米/秒,自行火炮,“奥托”高射炮,46600千克,"
该型高射炮由76机关炮、炮塔、火控系统和OF40主战坦克底盘等组成。炮塔靠电液压驱动，并配有稳定装置，具有三防能力。
",NULL,NULL,NULL,16000米,火炮,NULL,NULL,意大利,20世纪70年代末
{'$oid': '5cc9335c831b973d657f20c3'},,105毫米,NULL,自行火炮,“阿伯特”榴弹炮,16570千克,"
该炮1958年开始研制，1961年制成首批12门样炮。1966年部队使用。试验后定型为阿伯特105毫米自行榴弹炮。于1967年装备的一种105毫米自行榴弹炮。这种榴弹炮主要装备印度陆军(68门)，用于遂行直接火力支援任务，也可用于攻击装甲目标。
",NULL,NULL,NULL,17000米,火炮,NULL,NULL,英国,1958年
{'$oid': '5cc9335c831b973d657f20c4'},http://images.huanqiu.com/sarons/2013/11/6623283b9facf843eb73fc690d6fa884.jpg,600毫米,NULL,自行火炮,卡尔600毫米自行迫击炮,124千克,"
卡尔600mm自行迫击炮，不是重型坦克，赛过重型坦克，有人称他为超级战车。1934年希特勒上台伊始，便积极扩军备战，为发动侵略战争做准备。为了能攻陷马奇诺防线一类坚固设防工事，希特勒对一些重型兵器青睐有加，重型迫击炮便是其中的秘密武器之一。
",德国莱茵金属公司,11150毫米,重磅炮弹,1000米,火炮,5000毫米,NULL,德国,1935年
{'$oid': '5cc9335c831b973d657f20c5'},,120毫米,NULL,自行火炮,前苏联2C9“九度音”-C迫击炮,8500千克,"
2C9“九度音”-C迫击炮是前苏联研制的一种120mm自行迫击炮。
",NULL,NULL,NULL,7100米,火炮,NULL,NULL,苏/俄,NULL
{'$oid': '5cc9335d831b973d657f20c6'},,155毫米,684米/秒,自行火炮,M109A3式榴弹炮,NULL,"
M109A3式榴弹炮主要改进了送弹器、反后坐装置和炮手安全装置。采用M109A2式榴弹炮的改进技术将M109A1式榴弹炮改装而成。
",NULL,NULL,榴弹、火箭增程弹、核炮弹、激光制导炮弹、子母弹、布雷弹、化学弹、发烟弹、照明弹,18100米,火炮,6045毫米,NULL,美国,NULL
{'$oid': '5cc9335d831b973d657f20c7'},,30毫米,NULL,自行火炮,“大宇”高射炮,25000千克,"
“大宇”高射炮是韩国研制的一种30mm双联装自行高射炮。
",NULL,NULL,NULL,3000米,火炮,NULL,NULL,韩国,NULL
{'$oid': '5cc9335d831b973d657f20c8'},,100毫米,NULL,自行火炮,87式100毫米6X6轮式自行反坦克炮,NULL,该型号是我国对轮式装甲突击炮最早的尝试，资料称作87式100毫米6X6轮式自行反坦克炮，该炮在WZ551底盘上面安装一门86式100毫米滑膛反坦克炮及装甲炮塔，是我国第一代轮式装甲突击炮。底盘没有作大的改动，因为重量的增加，机动性相比WZ551系列有所下降，防护能力也不足。,NULL,NULL,NULL,NULL,火炮,NULL,NULL,中国,NULL
{'$oid': '5cc9335d831b973d657f20c9'},http://images.huanqiu.com/sarons/2013/11/da09f7a9786aa53618e33e686a34fa07.jpg,122毫米,NULL,自行火炮,89型122毫米自行榴弹炮 ,20000千克,"
PLZ89式122毫米自行榴弹炮是我国自主研制的新一代自行火炮，装备陆军部队和海军陆战队。由炮塔和履带式底盘组成，战斗全重20吨，乘员5人。其战斗部分由火炮和炮塔组成，采用发动机前置式，发动机室在炮车的右前方，驾驶室在左前方，炮车的中、后部是战斗室。
",NULL,3660毫米,杀伤爆破底凹榴弹,500000米,火炮,NULL,NULL,中国,20世纪60年代后期
{'$oid': '5cc9335d831b973d657f20ca'},,155毫米,NULL,自行火炮,155毫米“雷声”2型自行榴弹炮,36000千克,"
“雷声”2型自行榴弹炮也由伊朗防务工业机构装甲武器分公司研制并生产，其布局与“雷声”1型基本相同。2001年伊朗公布对外公布了“雷声-2”型自行榴弹炮，照片显示该车的外形和总体布置与美国的M109A1自行榴弹炮非常相似。
",伊朗防务工业机构装甲武器分公司,NULL,NULL,450000米,火炮,NULL,NULL,伊朗,NULL
{'$oid': '5cc9335e831b973d657f20cb'},,240毫米,NULL,自行火炮,240毫米自行迫击炮M1975,27500千克,"
240毫米自行迫击炮M1975是俄罗斯2S4式“郁金香”240毫米自行迫击炮是苏联设计制造的一种自走迫击炮。是历史上出现的口径最大、重量最重的自行迫击炮。于1975年首次发现已配属苏联陆军服役，故北约给予M-1975之代号（苏联型号为SM-240，缩写为2S4）。
",乌拉尔运输与机械工业,8.5毫米,高爆破片炮弹,9650米,火炮,NULL,NULL,苏/俄,1970年
{'$oid': '5cc9335e831b973d657f20cc'},http://images.huanqiu.com/sarons/2014/01/83dc2f1a6e6c2352eb534648fedf87cf.jpg,175毫米,NULL,自行火炮,M107型175毫米自行火炮,283000千克,,NULL,11300毫米,175毫米M113/M113A1主炮,32800米,火炮,4640毫米,NULL,美国,NULL
{'$oid': '5cc9335e831b973d657f20cd'},,NULL,NULL,自行火炮,“章鱼”反坦克炮,NULL,"
“章鱼”反坦克炮是前苏联研制的一种125mm牵引反坦克炮。该型反坦克炮采用三条开脚式大架，可提供大范围、快速的火力机动性。
",NULL,NULL,NULL,12200米,火炮,NULL,NULL,苏/俄,NULL
{'$oid': '5cc9335e831b973d657f20ce'},,152毫米,NULL,自行火炮,83式自行火炮 ,30000千克,"
83式152毫米自行加榴炮是中国人民解放军装备的第一款大口径自行火炮，主要武器为一门苏制D20型榴弹炮的授权生产改进版——66式152毫米加榴炮。
",哈尔滨第一机器制造厂,7.33毫米,NULL,45000米,火炮,NULL,NULL,中国,1970年
{'$oid': '5cc9335e831b973d657f20cf'},http://images.huanqiu.com/sarons/2013/11/46d48f08a112ab1e5ccbe09f3e16e702.jpg,25毫米,NULL,自行火炮,PGZ-95自行高射炮,22.5千克,"
PGZ-95自行高射炮是中国自制防空炮车的一款，系统由陜西省西北机电工程研究所研究设计开发。1990年末期交付地面部队，最初被设计为一个半自动化的系统，只能在白天操作的光电(电视)瞄准系统。解放军最后要求设计出全自动操作系统。
",陜西省西北机电工程研究所,6710毫米,4x25mm 机炮; 4x QW-2 导弹,450000米,火炮,NULL,NULL,中国,1990年
{'$oid': '5cc9335e831b973d657f20d0'},http://images.huanqiu.com/sarons/2013/11/30f3dd4e0c061755268c8e0c823b4fe0.jpg,105毫米,NULL,自行火炮,AMX-10RC式反坦克炮 ,15800千克,"
法国AMX-10RC轮式自行反坦克炮是法国陆军70年代末期装备的装甲侦察车，摩洛哥和卡塔尔也有装备。车体和炮塔均为全焊接的铝制结构，可调节车底距地高度，能水陆两栖。
",NULL,NULL,穿甲弹,NULL,火炮,NULL,NULL,法国,NULL
{'$oid': '5cc9335e831b973d657f20d1'},,122毫米,721米/秒,自行火炮,122毫米“雷声”1型自行榴弹炮,17500千克,"
伊朗在2002年初首次对外公布了伊朗防务工业机构装甲武器分公司研制的“雷声”-1型122毫米自行榴弹炮，该炮底盘由DIO下属的沙希德·科拉杜兹工业联合体负责(SKDIC)，战斗系统部分由哈迪德炮兵工厂负责。
",伊朗防务工业机构装甲武器分公司,66500毫米,榴弹,15200米,火炮,NULL,NULL,伊朗,NULL
{'$oid': '5cc9335f831b973d657f20d2'},http://images.huanqiu.com/sarons/2013/11/640537b9fb7e781020b766b17f8e6334.jpg,23毫米,970米/秒,自行火炮,“石勒喀”23毫米自行高炮,NULL,"
“石勒喀”是苏联装备的第一种全天候、全自动多管联装的自行高射炮，全系统由改进的AЗП式23毫米4管自动炮、封闭式炮塔、ГM575底盘和雷达火控系统组成。“石勒喀”的单个组部件都不是最先进的，但由于选用成熟技术，合理匹配，注重总体综合性能，是当时发展比较成功的自行高射炮之一，而且也是世界上比较有代表性的自行高射炮。
",NULL,NULL,OFZT式曳光燃烧榴弹,7000米,火炮,NULL,NULL,苏/俄,1960年2月
{'$oid': '5cc9335f831b973d657f20d3'},,122毫米,NULL,自行火炮,85型122毫米自行火炮 ,20500千克,"
85型自行火炮是中国北方工业公司新研制的装甲履带式自行火炮。是根据前苏联D-30式122毫米榴弹炮仿制的。主要用于出口，国内只装备西南地区的山地部队。瞄准装置为PG-1M型周视瞄准镜、OP-4M-45型直接瞄准镜与K-1准直仪。
",中国北方工业公司,6369毫米,底凹杀伤破甲榴弹,18300米,火炮,NULL,NULL,中国,20世纪80年代
{'$oid': '5cc9335f831b973d657f20d4'},http://images.huanqiu.com/sarons/2014/01/9c60e3dab66cd908e10066810afe246a.jpg,NULL,NULL,自行火炮,70-1式自行榴弹炮,15300千克,,中国北方工业公司,NULL,122mm 榴弹炮,NULL,火炮,NULL,NULL,中国,1981年9月
{'$oid': '5cc9335f831b973d657f20d5'},http://images.huanqiu.com/sarons/2013/11/affacc18a65111bd59c725711fe4a948.jpg,155毫米,NULL,自行火炮,“克莱博”155毫米自行火炮,45千克,"
2001年6月12日，波兰HSW公司军事生产中心展出了新型52倍口径155毫米自行榴弹炮样炮，该炮计划于8月进行首次实弹射击试验，为此波兰已从南非迪奈尔集团采购了少量155毫米弹药（预计于7月交付）。波兰地面部队目前正在接收供试验用的6门AS90炮塔，新型火炮的试验将持续到2004年，试验期间还将组建一个试验炮兵连。波兰将在2007年之前建成第一支装备18门新型火炮的炮兵营，在2016年之前还将再购置至少60～80门火炮。
",英国BAE系统公司、皇家军械防务公司,NULL,NULL,650米,火炮,NULL,NULL,英国,NULL
{'$oid': '5cc9335f831b973d657f20d6'},http://images.huanqiu.com/sarons/2014/01/18fbee35f7205c7322c9b48845be056d.jpg,155毫米,817米/秒,自行火炮,“帕尔玛利亚”155毫米自行榴弹炮,46000千克,,意大利奥托梅莱拉公司,NULL,NULL,30000米,火炮,NULL,NULL,意大利,1977年
