_id,装药类型,全重,图片,类型,名称,弹长,简介,研发单位,大类,弹径,最大速度,制导系统,动力装置,关注度,研制时间,产国,引信装置
{'$oid': '5cc9344b831b973d657f25ac'},NULL,310千克,,鱼雷,海鳝反潜鱼雷,2960毫米,"
该鱼雷是法国在第二次世界大战后研制的新一代轻小型通用反潜鱼雷，拟取代L-4/L-5/MK46，装备固定翼飞机、直升机、水面舰艇、潜艇，也可作为反潜导弹的战斗部，主要用来攻击新一代核潜艇，也能有效攻击其他所有各型常规潜艇。目前仍处于研制中。
",法国国防部舰艇制造局,爆炸物,324毫米,55千米/时,主/被动声自导,电动机,NULL,二战后,法国,NULL
{'$oid': '5cc9344b831b973d657f25ad'},NULL,298千克,,鱼雷,TP42反潜鱼雷,2600毫米,"
TP42反潜鱼雷系瑞典在第二次世界大战后研制的第二代通用反潜鱼雷，以取代其于1960年开始服役的、直径400mm级的TP41第一代通用反潜鱼雷，仍由瑞典原法伦多纳公司、现博福斯水下系统公司(Bofors Underwater Systems)于70年代初期开始研制，1976年开始进入瑞典皇家海军服役，装备瑞典海军的固定翼反潜飞机、反潜直升机、水面舰艇、和潜艇。
",法伦多纳公司,爆炸物,400毫米,30千米/时,线导/被动声自导,电动机,NULL,70年代初期,瑞典,NULL
{'$oid': '5cc9344b831b973d657f25ae'},NULL,720千克,,鱼雷,Э45/Э53/АПСЭТ-95反潜鱼雷,384毫米,"
Э45/Э53/АПСЭТ-95(E45/E53/APSET-95)反潜鱼雷是前苏联/俄罗斯在第二次世界大战后发展的新型通用反潜鱼雷，是在60年代研制的第一个轻型通用反潜鱼雷СЭТ-40(SET-40)及其改进型Э40-75А(E40-75A)的基础上发展的，目前仍在俄罗斯和原华约组织国家的海军服役，装备固定翼反潜飞机、反潜直升机、水面舰艇和潜艇。
",Э45/Э53/АПСЭТ-95,爆炸物,406毫米,NULL,主/被动声自导,电动机,NULL,二战后,苏/俄,NULL
{'$oid': '5cc9344c831b973d657f25af'},常规炸药,525千克,,鱼雷,A3自导鱼雷,3700毫米,,NULL,爆炸物,350毫米,130千米/时,双平面主被动联合声自导,火箭发动机,NULL,1992年,苏/俄,触发引信和近炸引信
{'$oid': '5cc9344c831b973d657f25b0'},常规炸药,267千克,http://images.huanqiu.com/sarons/2014/04/cd089b02e4b9ff0b56ee6164d389aa4c.jpg,鱼雷,“魟鱼”自导鱼雷,2600毫米,,英国马可尼公司,爆炸物,324毫米,74千米/时,主动声自导、被动声自导和主被动声联合自导,双转电机,NULL,20世纪70年代末,英国,触发引信
{'$oid': '5cc9344c831b973d657f25b1'},常规炸药或核装药,4750千克,,鱼雷,65型自导鱼雷,1100毫米,,苏联基德罗普里博中央科学研究所,爆炸物,650毫米,93千米/时,尾流自导加主动声自导,半封闭式燃气轮机热动力系统,NULL,20世纪70年代,苏/俄,触发引信和近炸引信
{'$oid': '5cc9344c831b973d657f25b2'},聚能炸药,350千克,http://images.huanqiu.com/sarons/2014/04/b40ff846cf4dd71a86932c829a53a22b.jpg,鱼雷,Mk50自导鱼雷,2800毫米,,美国霍尼韦尔公司,爆炸物,324毫米,93千米/时,主被动声自导,兰金封闭式热循环汽轮机,NULL,1981年,美国,触发引信
{'$oid': '5cc9344c831b973d657f25b3'},TNT、黑索今、铝粉混合炸药,216千克,,鱼雷,A244/S自导鱼雷,2750毫米,,意大利白头公司,爆炸物,324毫米,59千米/时,主动、被动或联合声自导,双转电机,NULL,20世纪70年代末,意大利,触发引信
{'$oid': '5cc9344c831b973d657f25b4'},炸药,8300千克,,鱼雷,回天鱼雷,14750毫米,,山口县大津岛基地,爆炸物,1000毫米,55.56千米/时,人力,93 式氧气鱼雷发动机,NULL,NULL,日本,NULL
{'$oid': '5cc9344c831b973d657f25b5'},常规炸药,193千克,,鱼雷,Mk44自导鱼雷,2540毫米,,美国联合技术系统公司,爆炸物,324毫米,56千米/时,主动声自导,电动机,NULL,1952年,美国,触发引信
{'$oid': '5cc9344c831b973d657f25b6'},常规炸药,231千克,http://images.huanqiu.com/sarons/2014/04/67d03fda4f53a559131ffd24a3aea790.jpg,鱼雷,Mk46自导鱼雷,2670毫米,,美国霍尼韦尔公司,爆炸物,324毫米,81千米/时,主被动联合声自导,活塞式凸轮机,NULL,20世纪60年代,美国,触发引信和电磁引信
