名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,W-3W,产国,飞行速度,类型,简介,研发单位,战地机型,气动布局,机长,最大起飞重量,乘员
SH-60B“海鹰”舰载反潜直升机,飞行器,233千米每小时,NULL,两台通用电气T700-GE-401C发动机,1979年12月12日,NULL,16.36米,NULL,(2分),272千米,{'$oid': '5cc93165831b973d657f1432'},NULL,,3.79米,6190千克,1983年4月，生产型开始交付使用。,NULL,美国,亚音速,多用途直升机,"
SH-60“海鹰”是美国海军装备广泛的双发、单桨多用途直升机，而且型号特别多，有SH-60B“海鹰”、SH-60F“大洋鹰”、HH-60H、VH-60A、SH-60R、CH-60。美国海岸警卫队还装备有HH-60J“坚鹰”。MH-60R是美国海军在现有的SH-60R基础上进行改造而来的一种多任务机种，用于取代SH-60B和SH-60F。最开始MH-60R被命名为战斗鹰（Strikehawk），但是最终被改为海鹰。
",西科斯基公司,NULL,NULL,5.87米,9925千克,NULL
法国航宇公司SA 313/315 通用直升机,飞行器,205千米每小时,NULL,单台透博梅卡·阿都斯特IIC.6/III B(SA 313/315机型）或阿斯塔左IIA(SA 318机型）涡轮轴发动机,1955年3月12日,双发,11米,NULL,NULL,51千米,{'$oid': '5cc93165831b973d657f1433'},NULL,http://images.huanqiu.com/sarons/2013/07/db5bd5f89b42162af5bff170c40e7536.jpg,2.75米,895千克,NULL,NULL,法国,亚音速,多用途直升机,"
法国宇航云雀II型（Aérospatiale Alouette II）是由法国宇航公司生产的轻型、单发及五座多用途直升机。云雀II型于1955年3月12日首飞，在1975年停产。各型“云雀”II直升机一共制造了1534架。
",法国航宇公司,NULL,单旋翼,12.9米,16000千克,NULL
直-9通信型,飞行器,NULL,NULL,WZ-8A,1989年5月,双发,11.93米,NULL,NULL,NULL,{'$oid': '5cc93165831b973d657f1434'},NULL,http://images.huanqiu.com/sarons/2013/11/113c347cdba47bcb79efc45b3db8b894.jpg,3.21米,2050千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,4100千克,NULL
AC312民用双发多用途直升机,飞行器,280千米每小时,NULL,WZ8，阿赫耶2C型发动机,NULL,单发,11.93米,NULL,NULL,800千米,{'$oid': '5cc93165831b973d657f1435'},NULL,http://images.huanqiu.com/sarons/2013/11/4b4776c099e1b8186ebbe5d80f462046.jpg,3.21米,1975千克,NULL,NULL,中国,亚音速,多用途直升机,"
AC312直升机是中航工业哈飞为了适应21世纪国际和国内市场需求研发的新一代4吨级双发多用途直升机。2004年取得了中国民航颁发的型号合格证。该机在直9系列直升机的基础上采用了先进的综合航电系统、电调式发动机、抗坠毁燃油系统、抗坠毁座椅、全复合材料座舱罩和舱门。全机采用数字化设计和制造，经过了全机可靠性增长，已经达到国际先进水平。
",中航工业,NULL,单旋翼,13.46米,4250千克,NULL
WG.13“山猫”多功能军用直升机,飞行器,269千米每小时,12.8米,罗尔斯一罗伊斯Gem 42-1涡轮轴发动机,1971年,双发,12.8米,NULL,NULL,630千米,{'$oid': '5cc93165831b973d657f1436'},NULL,,3.5米,2578千克,1979年,NULL,英国,亚音速,多用途直升机,英国的“山猫”直升机是一款多功能军用直升机，它由英国韦斯特兰直升机公司设计，并在其位于耶奥维尔的工厂制造。其最初的设计是作为民用和海军通用平台，但其军事价值促进了其战场和海军衍生型的发展。“山猫”在1977年投入使用，后来又被超过12个国家引进并装备，主要充当作战平台，反装甲，收索救援以及反潜作战的角色。,威斯特兰公司,“霍特”、“地狱火”或“陶”氏反坦克导弹；折叠翼的机载火箭筒；7.62毫米机枪或20毫米加农炮。海军一ASW,单旋翼,15.1米,4535千克,NULL
直-9雷达载机,飞行器,NULL,NULL,WZ-8A,NULL,双发,11.93米,NULL,NULL,NULL,{'$oid': '5cc93165831b973d657f1437'},NULL,http://images.huanqiu.com/sarons/2013/11/abeb60f3706bf43fbd6cceaefa6fda43.jpg,11.44米,2038千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,4100千克,NULL
直-9森警消防型,飞行器,324千米每小时,NULL,2台透博梅卡公司的“阿赫耶”1C涡轴发动机，单台功率为522干瓦,20世纪90年代,双发,11.93米,NULL,NULL,1030千米,{'$oid': '5cc93166831b973d657f1438'},NULL,,3.21米,1975千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,4000千克,NULL
H425民用直升机,飞行器,324千米每小时,NULL,2台透博梅卡公司的“阿赫耶”1C涡轴发动机，单台功率为522干瓦,2003年12月30日,双发,11.93米,NULL,NULL,1030千米,{'$oid': '5cc93166831b973d657f1439'},NULL,,3.21米,1975千克,NULL,NULL,中国,NULL,多用途直升机,,NULL,NULL,单旋翼,13.46米,4000千克,NULL
直-9A,飞行器,296千米每小时,NULL,WZ-8A涡轴发动机,1982年7月16,双发,11.93米,NULL,NULL,860千米,{'$oid': '5cc93166831b973d657f143a'},NULL,http://images.huanqiu.com/sarons/2013/11/8dd6d72fa1e335fce5dd21d4221948d7.jpg,3.21米,2050千克,NULL,NULL,中国,亚音速,多用途直升机,"
直-9A直升机是第一种10/14座轻型快速多用途直升机，为直-9的后续型，相当于SA365N1，1982年7月16日第一架机实现首飞。该型机安装2台由南方动力公司引进法国透博梅卡公司生产专利而制造的WZ-8A涡轴发动机，单台最大功率为734千瓦。主要机载设备包括高频通讯/导航设备、甚高频全向讯标、仪表着陆系统、雷达和自主式导航设备等。
",哈飞公司，南方公司,NULL,单旋翼,13.46米,4100千克,8人
直9警用型直升机,飞行器,324千米每小时,NULL,2台透博梅卡公司的“阿赫耶”1C涡轴发动机，单台功率为522干瓦,20世纪90年代,单发,11.93米,NULL,NULL,1030千米,{'$oid': '5cc93166831b973d657f143b'},NULL,http://images.huanqiu.com/sarons/2014/01/7994e51864513df10f0a21edf640ef58.jpg,3.21米,1975千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,4100千克,NULL
直-9B,飞行器,286千米每小时,NULL,涡轴-8甲,1992年1月16日,双发,11.93米,NULL,NULL,1000千米,{'$oid': '5cc93166831b973d657f143c'},NULL,http://images.huanqiu.com/sarons/2013/11/9f1aac9cc7763ba919b24c5821e16938.jpg,3.21米,1975千克,1996年,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,3850千克,10人
直-9炮兵校射型,飞行器,NULL,11.93米,WZ-8A,1991年,NULL,NULL,NULL,NULL,1000千米,{'$oid': '5cc93166831b973d657f143d'},NULL,http://images.huanqiu.com/sarons/2013/11/ccf240c6049fc7fc1ceaac3a9c2b426e.jpg,3.21米,2050千克,NULL,NULL,中国,亚音速,多用途直升机,,哈尔滨飞机制造公司,NULL,单旋翼,13.46米,4100千克,14人
直-9反舰型,飞行器,286千米每小时,NULL,WZ8F发动机,1994年12月26日,双发,11.93米,NULL,NULL,1000千米,{'$oid': '5cc93167831b973d657f143e'},NULL,http://images.huanqiu.com/sarons/2013/11/9ac7ee1f25daa83f6e9ee6f3e84015e4.jpg,3.21米,1975千克,1999年12月,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,4000千克,NULL
直-9海监型,飞行器,324千米每小时,NULL,2台透博梅卡公司的“阿赫耶”1C涡轴发动机，单台功率为522干瓦,20世纪90年代,双发,11.93米,NULL,NULL,1030千米,{'$oid': '5cc93167831b973d657f143f'},NULL,http://images.huanqiu.com/sarons/2013/11/9fe3a72102ed435158056341dc75ca03.jpg,3.21米,1975千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.46米,3850千克,NULL
卡-60轻型直升机,飞行器,290千米每小时,NULL,两台诺维科夫设计局TVD—1500涡轮轴发动机,1998年,双发,13米,NULL,NULL,1000千米,{'$oid': '5cc93167831b973d657f1440'},卡莫夫设计局,http://images.huanqiu.com/sarons/2013/11/18f42deb9da405b3022c62e6bc5220a8.jpg,3.7米,3000千克,NULL,NULL,苏/俄,亚音速,多用途直升机,"
卡-60是卡莫夫设计局研制的单桨多用途小型直升机，原称V-60，它脱离了卡莫夫设计局传统共轴反转旋翼布局。可替换米-2、米-4和卡-26。主要用于运输、搜索和救援，还可执行对公路、森林、石油管路的巡逻任务。1990年开始制造原型机。计划1993年末首次飞行，1995年年中取得合格证。卡-60计划大量出口，主要供东欧国家使用。
",卡莫夫设计局,NULL,单旋翼,15.05米,6050千克,NULL
卡-31,飞行器,280千米每小时,NULL,2台克里莫夫TV3 -117VMAR。,1983年,双发,15.9米,NULL,NULL,600千米,{'$oid': '5cc93167831b973d657f1441'},NULL,http://images.huanqiu.com/sarons/2013/11/d1c5eb7d8698142e9368cdfaba4a2e3b.jpg,5.4米,5520千克,1995年,NULL,苏/俄,亚音速,多用途直升机,,卡莫夫设计局,NULL,共轴双旋翼,11.3米,11500千克,NULL
直-7,飞行器,240千米每小时,21.3米,两台涡轴-5甲发动机,NULL,双发,NULL,NULL,NULL,350千米,{'$oid': '5cc93167831b973d657f1442'},NULL,http://images.huanqiu.com/sarons/2013/11/26697a6b7cba930eb713f5e26fe1065f.jpg,7.03米,8730千克,NULL,NULL,中国,亚音速,多用途直升机,,中国航空研究院,NULL,单旋翼,25.31米,14400千克,50人
HC120,飞行器,278千米每小时,NULL,一台透博梅卡公司 Arrius 2F 涡轮轴发动机,1995年6月9日,NULL,10米,NULL,NULL,710千米,{'$oid': '5cc93168831b973d657f1443'},哈尔滨飞机工业集团有限责任公司、欧洲直升机公司,http://images.huanqiu.com/sarons/2013/11/796a12a1a1d15482fe2fe250d5e7f816.jpg,3.4米,991千克,1998年,NULL,法国,亚音速,多用途直升机,"
哈尔滨HC120 蜂鸟（法语：Colibri）也称欧直EC120，是5座单引擎单主旋翼轻型直升机。由欧洲直升机公司，中国国家航空技术进出口公司（CATIC），哈尔滨航空工业（集团）有限公司（HAI）和新加坡科技宇航有限公司（STAero）共同开发。主要设计工作在法国的马里尼昂完成，EC120B由欧直公司在法国和澳大利亚组装。在中国，飞机由哈飞生产。在该项目中欧洲直升机公司享有61％的权益，中航技拥有24％，STAero持股15％。
",欧洲直升机公司、中国国家航空技术进出口公司（CATIC）、哈尔滨航空工业（集团）有限公司（HAI）、新加坡科技宇航有限公司（STAero）,NULL,单旋翼,9.6米,1715千克,NULL
卡-28,飞行器,270千米每小时,NULL,2台TV3-117VMA涡轮轴发动机,1974年12月,双发,15.9米,NULL,NULL,1200千米,{'$oid': '5cc93168831b973d657f1444'},NULL,http://images.huanqiu.com/sarons/2013/11/ee8957124091c28aac3a1e4514d21dcc.jpg,5.4米,12000千克,NULL,NULL,苏/俄,亚音速,多用途直升机,,NULL,NULL,共轴双旋翼,11.3米,12600千克,NULL
直-11,飞行器,278千米每小时,NULL,国产WZ-8D涡轮轴发动机,1999年9月,双发,10.69米,NULL,NULL,560千米,{'$oid': '5cc93168831b973d657f1445'},NULL,http://images.huanqiu.com/sarons/2013/11/a40ff8caf3fc80b57e0c0afc7bdcc503.jpg,3.14米,1120千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.01米,2200千克,6人
AS350B1型松鼠,飞行器,NULL,NULL,1台510千瓦(693轴马力)的透博梅卡公司“阿赫耶”1D涡轮轴发动机,NULL,单发,10.7米,NULL,NULL,NULL,{'$oid': '5cc93168831b973d657f1446'},NULL,http://images.huanqiu.com/sarons/2013/11/ccf715c090c8d1a2e740b82e1a4af7ad.jpg,3.14米,1174千克,NULL,NULL,法国,亚音速,多用途直升机,"
AS350B1“松鼠”是松鼠一型直升机（AS350 Ecureuil ）的高温高原型。AS350B1“松鼠”高温高原型。装1台510千瓦(693轴马力)的透博梅卡公司“阿赫耶”1D涡轮轴发动机，加大了传动功率，主减速器可吸收的最大输入功率为440千瓦(598轴马力)。采用了双发“双鼠”上的旋翼和尾桨桨叶。

1986年1月9日获得法国民航总局型号合格证。1985年5月14日，一架AS350B1携带2名乘员、在起飞重量为1270千克的情况下，创造了3项E1C级纪录：以2分59.3秒爬升到3000米，以6人54.9秒爬升到6000米，和以13分51.5秒爬升到9000米高度。
",NULL,NULL,单旋翼,10.93米,2250千克,NULL
直-15,飞行器,315千米每小时,NULL, 2台加拿大普惠公司 PT6C-67E 涡轮轴发动机， 1324 kW（1776 shp）,2009年,双发,14.8米,NULL,NULL,NULL,{'$oid': '5cc93168831b973d657f1447'},NULL,http://images.huanqiu.com/sarons/2014/01/bd7aed53c64fc6e4debb20a0384fd3a9.jpg,3.47米,4603千克,NULL,NULL,中国,亚音速,多用途直升机,,中航工业,NULL,单旋翼,15.68米,7500千克,NULL
直-5,飞行器,210千米每小时,NULL,气冷式星型14缸活塞发动机,1958年12月14日,双发,21米,1980年,NULL,520千米,{'$oid': '5cc93168831b973d657f1448'},NULL,http://images.huanqiu.com/sarons/2013/11/59bcd16f24e33ad05564f095c364dfa9.jpg,4.4米,5121千克,NULL,NULL,中国,亚音速,多用途直升机,,哈尔滨飞机工业公司,NULL,单旋翼,20.01米,7600千克,NULL
直-9C,飞行器,324千米每小时,NULL,2台透博梅卡公司“阿赫耶”1C涡轴发动机，单台功率522千瓦,1987年12月2日,双发,11.93米,NULL,NULL,1030千米,{'$oid': '5cc93168831b973d657f1449'},NULL,http://images.huanqiu.com/sarons/2013/11/6365d6e8f0f17018e77a786a1fcd83a3.jpg,3.21米,1975千克,NULL,NULL,中国,亚音速,多用途直升机,,哈尔滨飞机制造公司,NULL,单旋翼,13.46米,3850千克,NULL
701直升机,飞行器,170千米每小时,NULL,一台活塞-6丙发动机。,1970年1月23日,单发,11.32米,NULL,NULL,350千米,{'$oid': '5cc93169831b973d657f144a'},哈尔滨飞机制造公司,,2.83米,760千克,NULL,NULL,中国,亚音速,多用途直升机,"
701型直升机是哈尔滨飞机工业公司以贝尔-47G3为原型机仿制的多用途轻型直升机，1966年开始仿制，1970年1月23日首飞，1971年转至广州进行试制，没有定型生产。 701型直升机安装1台活塞-6丙发动机。
",NULL,NULL,单旋翼,9.62米,1300千克,NULL
直-8AEW,飞行器,NULL,NULL,792涡轴发动机,NULL,双发,18.9米,NULL,NULL,NULL,{'$oid': '5cc93169831b973d657f144b'},NULL,http://images.huanqiu.com/sarons/2013/11/d65722ca272bdeef5f2bd658fe6955ce.jpg,6.7米,7095千克,NULL,NULL,中国,亚音速,多用途直升机,,NULL,NULL,单旋翼,20.27米,13000千克,NULL
A119“树袋熊” 单发涡轮轻型直升机,飞行器,278千米每小时,NULL,PT6B-37A,1995年初,双发,10.8米,NULL,NULL,886千米,{'$oid': '5cc93169831b973d657f144c'},NULL,http://images.huanqiu.com/sarons/2014/01/d21fb9f48c556a9d51c4f53e43a505a4.jpg,3.8米,1430千克,1999年夏季,NULL,意大利,亚音速,多用途直升机,, 阿古斯塔·韦斯特兰,NULL,单旋翼,13米,2720千克,8人
贝尔412双发涡轮轴中型直升机,飞行器,226千米每小时,NULL,普惠PT6T-3B,1979年8月4日,单发,14米,NULL,NULL,745千米,{'$oid': '5cc93169831b973d657f144d'},NULL,http://images.huanqiu.com/sarons/2014/01/e0658e8b4e87c44015b439925a313036.jpg,4.6米,3079千克,1981年1月18日,NULL,美国,NULL,多用途直升机,,贝尔直升机,NULL,单旋翼,17.1米,5397千克,NULL
贝尔222双发涡轮轴中型直升机,飞行器,278千米每小时,NULL,莱康明LTS-101-650C-3,1976年8月13日,单发,12.8米,1989年,NULL,472千米,{'$oid': '5cc93169831b973d657f144e'},NULL,http://images.huanqiu.com/sarons/2014/01/9ff59b0f1a88b34bd0c35a92dcea80ec.jpg,3.5米,2066千克,1980年1月16日,NULL,美国,亚音速,多用途直升机,,NULL,NULL,单旋翼,15.4米,3560千克,NULL
贝尔206“喷气突击队员”单发涡轮轻型直升机,飞行器,214千米每小时,NULL,埃里森250-C20B,1966年1月10日,双发,10.2米,NULL,NULL,676千米,{'$oid': '5cc93169831b973d657f144f'},NULL,http://images.huanqiu.com/sarons/2014/01/a8cc60d24b630e75c033135cec3ec631.jpg,3.2米,1057千克,1967年1月,NULL,美国,亚音速,多用途直升机,,贝尔,NULL,单旋翼,11.8米,1451千克,NULL
贝尔407单发涡轮轻型直升机,飞行器,237千米每小时,NULL,埃里森250-C47B,1994年4月21日,单发,10.7米,NULL,NULL,577千米,{'$oid': '5cc93169831b973d657f1450'},NULL,http://images.huanqiu.com/sarons/2014/01/a12572a35e3c11e5fde4536361f435a8.jpg,3.6米,1210千克,1996年2月,NULL,美国,亚音速,多用途直升机,,NULL,NULL,单旋翼,12.7米,2722千克,NULL
贝尔47单发活塞式通用直升机,飞行器,169千米每小时,NULL,莱康明TVO-435-F1A,1945年12月8日,单发,11.3米,NULL,NULL,416千米,{'$oid': '5cc9316a831b973d657f1451'},贝尔,http://images.huanqiu.com/sarons/2014/01/528452d1cc64c7f6f92ddebe6474f6ef.jpg,2.8米,858千克,1946年3月8日(合格证),NULL,美国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13.2米,1340千克,NULL
AW139双发涡轮轴中型直升机,飞行器,290千米每小时,NULL,PT6C-67C,2001年2月3日,双发,13.8米,NULL,NULL,740千米,{'$oid': '5cc9316a831b973d657f1452'},NULL,http://images.huanqiu.com/sarons/2014/01/92d3038b3ef6de297deb10b205844c74.jpg,5米,3622千克,2003年12月,NULL,英国,亚音速,多用途直升机,,阿古斯塔·韦斯特兰公司和贝尔公司,NULL,单旋翼,16.7米,6400千克,16人
SA 315B“拉玛”单发涡轮轴通用直升机,飞行器,210千米每小时,NULL,NULL,1969年3月17日,单发,11米,NULL,NULL,550千米,{'$oid': '5cc9316a831b973d657f1453'},NULL,http://images.huanqiu.com/sarons/2014/01/65d1ce7d6752e74836f10aaadcaf2f8a.jpg,3.1米,1021千克,次年开始服役,NULL,法国,亚音速,多用途直升机,,法国航宇,NULL,单旋翼,12.9米,2400千克,NULL
贝尔430双发涡轮轴中型直升机,飞行器,256千米每小时,NULL,罗-罗250-C40B,1994年10月25日,双发,12.8米,NULL,NULL,503千米,{'$oid': '5cc9316a831b973d657f1454'},NULL,http://images.huanqiu.com/sarons/2014/01/0d11166428408e5573d927bbdf53170e.jpg,4米,2406千克,1996年6月25日,NULL,美国,亚音速,多用途直升机,,贝尔,NULL,单旋翼,15.3米,4218千克,11人
贝尔230双发涡轮中型直升机,飞行器,261千米每小时,NULL,罗-罗250-C30G/2,1991年8月12日,双发,12.8米,NULL,NULL,713千米,{'$oid': '5cc9316a831b973d657f1455'},NULL,http://images.huanqiu.com/sarons/2014/01/2a25dca8bcf18fbc320510ceab340f54.jpg,3.7米,2312千克,1992年11月16日,NULL,美国,亚音速,多用途直升机,,贝尔,NULL,单旋翼,15.3米,3810千克,NULL
贝尔427/429 双发涡轮轴轻型直升机,飞行器,259千米每小时,NULL,普惠PW207D,1997年12月11日,NULL,11.3米,NULL,NULL,722千米,{'$oid': '5cc9316b831b973d657f1456'},NULL,http://images.huanqiu.com/sarons/2014/01/ff77c22c52d19739d454d96c87515a8e.jpg,3.5米,1760千克,2000年初,NULL,美国,亚音速,多用途直升机,,贝尔公司、三星公司,NULL,单旋翼,13.1米,2970千克,7人
贝尔206L“远程突击队员” 单发涡轮轻型直升机,飞行器,207千米每小时,NULL,埃里森250-C20B,1974年9月11日,双发,11.3米,NULL,NULL,595千米,{'$oid': '5cc9316b831b973d657f1457'},NULL,http://images.huanqiu.com/sarons/2014/01/97711a83c7f54250211f5381cf64f2bd.jpg,3.1米,844千克,1976年初,NULL,美国,亚音速,多用途直升机,,NULL,NULL,单旋翼,13米,1814千克,NULL
 EC 135 双发涡轮轻型直升机,飞行器,278千米每小时,NULL,NULL,1988年10月15日,单发,10.2米,NULL,NULL,745千米,{'$oid': '5cc9316b831b973d657f1458'},NULL,http://images.huanqiu.com/sarons/2014/01/e02dd47ff4c6c06efffb4df747016793.jpg,3.6米,NULL,1996年7月31日,NULL,法国,亚音速,多用途直升机,,欧洲直升机公司,NULL,单旋翼,12.2米,NULL,8人
AS 355“松鼠”Ⅱ双发涡轮轴轻型直升机,飞行器,278千米每小时,NULL,埃里森250-C20F ,1979年9月28日,双发,10.7米,NULL,NULL,722千米,{'$oid': '5cc9316b831b973d657f1459'},NULL,http://images.huanqiu.com/sarons/2014/01/f548c102f4b1fb7d397618e1265da087.jpg,3.1米,1305千克,1981年1月,NULL,法国,亚音速,多用途直升机,,欧洲直升机公司（法国航宇公司）,NULL,单旋翼,12.9米,2580千克,NULL
