发动机,服役时间,图片,最大航程,生产单位,机长,退役时间,产国,空重,大类,研发单位,类型,飞行速度,名称,最大飞行速度,关注度,最大起飞重量,_id,乘员,首飞时间,机高,气动布局,简介,发动机数量,翼展
2台莱特R-1820，2台普惠R-1830-S1C3G,NULL,http://images.huanqiu.com/sarons/2013/12/b63d547c5373dcf193baad54c52a8e08.jpg,3420千米,NULL,19.7米,NULL,美国,7650千克,飞行器,道格拉斯飞机公司(后来合并为麦克唐纳·道格拉斯公司),通用飞机,亚音速,DC-3达科塔/C-47高空列车多用途运输机,370千米每小时,NULL,11400千克,{'$oid': '5cc93126831b973d657f12df'},32人,1935年12月18日,5.16米,平直翼,NULL,双发,29米
2×普惠PT6A-20-27或者-36,1968年5月,http://images.huanqiu.com/sarons/2013/12/57e7356c93964b96d7a7678b62a83523.jpg,1686千米,NULL,13.58米,NULL,美国,2515千克,飞行器,比奇飞机公司,通用飞机,亚音速,比奇 99双发涡轮螺旋桨短程通勤飞机,496千米每小时,NULL,4727千克,{'$oid': '5cc93126831b973d657f12e0'},16人,1965年12月,4.37米,平直翼,NULL,双发,13.98米
2×Williams FJ-33-4A，每台1350 lbf (6 kN),NULL,http://images.huanqiu.com/sarons/2013/12/f618d18cdf0c4fce94a4d240bb2acc85.jpg,2646千米,美国亚当,12.42米,NULL,美国,2523千克,飞行器,NULL,通用飞机,亚音速,亚当A700 AdamJet双发涡轮风扇轻型公务机,612千米每小时,NULL,4250千克,{'$oid': '5cc93126831b973d657f12e1'},8人,2003年7月27日,2.93米,平直翼,"
A700是A500轻型活塞式公务飞机的喷气式机型，其动力装置是安装在机身后部挂载点上的两台威廉姆斯国际公司F1J33涡轮风扇发动机。A700机型于2002年10月21日发布，2003年7月27日首飞。预计2006年末或2007年初获得型号合格证并随之很快开始交付使用。该机型共计获得了超过300架订单。
",双发,13.41米
普-惠PT6T涡轮轴发动机,NULL,http://images.huanqiu.com/sarons/2013/12/ca4dcc04b3b1ac22ac3068d10054e6be.jpg,1270千米,NULL,15.1米,NULL,苏/俄,NULL,飞行器,安东诺夫设计局,通用飞机,亚音速,Aeroprogress/ROKS-Aero T-101Grach通用飞机,300千米每小时,NULL,NULL,{'$oid': '5cc93127831b973d657f12e2'},10人,1994年12月7日,4.9米,平直翼,NULL,单发,18.2米
2 × Teledyne Continental TSIO-550E，单台350 hp (260 kW,NULL,http://images.huanqiu.com/sarons/2013/12/a1756565f3b88b590689370bc13e0ea6.jpg,1652千米,亚当飞机工业（AAI）,11.43米,NULL,美国,2427千克,飞行器,NULL,通用飞机,亚音速,亚当A500双发涡桨轻型公务飞机,417千米每小时,NULL,3175千克,{'$oid': '5cc93127831b973d657f12e3'},6人,2002年7月11日（生产型A500）,2.92米,平直翼,"
亚当A500飞机由伯特·鲁坦设计，是一种轻型中线推进双发活塞飞机，采用石墨碳复合材料。1999年9月开始研制，概念验证机型于2000年3月21日首飞，生产型A500于2002年7月11日首飞。20()5年5月11日获得美国联邦航空管理局颁发的VFR(目视飞行规则）型号合格证，同年11月7日交付第一架飞机。该机型获得了超过85架订单，交付8架。
",单发,13.41米
2×莱康明IO-540-E1B5，每台290 hp (216 kW) ,NULL,NULL,1735千米,NULL,11.22米,NULL,美国,2102千克,飞行器,NULL,通用飞机,亚音速,罗克韦尔涡轮指挥官/Jetprop双发涡轮螺旋桨企业专机／通用飞机,346千米每小时,NULL,3062千克,{'$oid': '5cc93127831b973d657f12e4'},6人,1964年12月31日,4.42米,平直翼,"
“涡轮指挥官”以活塞式加压机舱机型680FLP“总指挥官”为基础，但换装两台盖瑞特TPE331涡轮螺旋桨发动机。“涡轮指挥官”于1964年12月31日首飞，1965年投产。“涡轮指挥官”派生了很多改型，它们在不同的所有者名下逐渐被制造出来。共计交付了1290架。
",双发,14.95米
 2×Honeywell TFE731-5BR,1984年春季,http://images.huanqiu.com/sarons/2013/12/b0ec609de86f979e5f1e73df35ed5f5c.jpg,4893千米,NULL,15.6米,NULL,美国,7108千克,飞行器,BAe雷声公司,通用飞机,亚音速,霍克800/900双发涡轮风扇中型公务机,830千米每小时,NULL,12701千克,{'$oid': '5cc93127831b973d657f12e5'},15人,1983年5月26日,5.5米,后掠翼,NULL,双发,16.5米
2×罗尔斯-罗伊斯公司威派尔601涡轮喷气发动机，单台3750 lbf (16.7 kN),1964年10月10日,http://images.huanqiu.com/sarons/2013/12/a5bf9aa6a26349dafffa9840c6d908e6.jpg,4480千米,NULL,15.39米,NULL,英国,5683千克,飞行器,德·哈维兰,通用飞机,亚音速,BAe 125双发涡轮喷气式/涡轮风扇轻型公务机,808千米每小时,NULL,11340千克,{'$oid': '5cc93127831b973d657f12e6'},24人,1962年8月13日,5.26米,后掠翼,"
BAe 125飞机是由德·哈维兰自行投资研制的，1962年8月13日首飞，首飞之前德·哈维兰已经成为霍克·西德利公司的一部分。初始机型于1964年10月10日开始服役，动力装置为Viper涡轮喷气发动机。BAe 125共计交付了572架。
",双发,14.33米
普-惠PT6A五桨叶涡轮螺旋桨发动机,1976年8月24日,http://images.huanqiu.com/sarons/2013/12/de1ea48f66e038f5204de9e3dd5ec146.jpg,1695千米,NULL,17.69米,NULL,英国,6680千克,飞行器,英国肖特公司,通用飞机,亚音速,肖特330双发涡桨短程支线客机,455千米每小时,NULL,10387千克,{'$oid': '5cc93127831b973d657f12e7'},32人,1974年8月22日,4.95米,平直翼,NULL,双发,22.76米
1×加拿大普惠PT6A-66D,1990年12月21日,http://images.huanqiu.com/sarons/2013/12/5d78c42c2f16ff9b3f0ed9f8ba68e2d1.jpg,2813千米,索卡塔(SOCATA)公司,10.65米,NULL,法国,2132千克,飞行器,NULL,通用飞机,亚音速,SocataTBM700/850单发涡轮轻型多用途飞机,593千米每小时,NULL,3354千克,{'$oid': '5cc93128831b973d657f12e8'},8人,1988年7月14日,4.36米,平直翼,"
TBM飞机最初是在与美国穆尼公司成立的合资企业里研制的。该机型于1988年7月14日首飞，1990年12月21日交付第一架飞机。TBM 700飞机最适合用作公务机，但在其他用途方面也得到了应用。该机型共计交付341架。（图为TBM700）
",单发,12.68米
2×莱康明IO-360-A1B6，每台149 kw (200 hp),NULL,http://images.huanqiu.com/sarons/2013/12/bcc6ad536cef5def96ecadff99c6429e.jpg,2112千米,NULL,9.55米,NULL,意大利,1230千克,飞行器,火神航空公司（Partenavia）,通用飞机,亚音速,P68“观察者”双发活塞式轻型通用飞机,322千米每小时,NULL,1990千克,{'$oid': '5cc93128831b973d657f12e9'},6人,1970年5月25日,3.4米,平直翼,"
P68“胜利者”飞机最初由Ing LuigiPascale教授于1968年设计，1970年5月25日首飞。后来产生了各种改进机型，直到1994年Partenavia的资产被火神航空公司收购。包括授权在印度生产的部分，P68共计交付超过420架。
",双发,12米
维特索夫Ash-62或PZL Asz-621活塞发动机,NULL,http://images.huanqiu.com/sarons/2013/12/63f48659ab445c3a5fdab1280c0ff670.jpg,845千米,NULL,12.4米,NULL,乌克兰,3300千克,飞行器,安东诺夫设计局,通用飞机,亚音速,安东诺夫设计局 安-2 “小马” 单发活塞式通用飞机,258千米每小时,NULL,5250千克,{'$oid': '5cc93128831b973d657f12ea'},14人,1947年首飞,4.1米,平直翼,NULL,双发,18.2米
霍尼韦尔TPE-331或Omsk TVD-20涡轮螺旋桨发动机,1997年4月,http://images.huanqiu.com/sarons/2013/12/3225219d9b6de71791b941f17bcc0578.jpg,1750千米,NULL,15.67米,NULL,乌克兰,5300千克,飞行器,安东诺夫设计局,通用飞机,亚音速, 安东诺夫设计局 安-38 双发涡桨通用飞机,405千米每小时,NULL,9500千克,{'$oid': '5cc93128831b973d657f12eb'},29人,1994年6月23日,5.05米,平直翼,NULL,双发,22.06米
2×加拿大普惠JT15D-4，每台11.12 kN (2500 lbf),1974年,http://images.huanqiu.com/sarons/2013/12/02bfebc54a4269011951839c9f9d9542.jpg,2555千米,法国航宇工业集团,13.83米,NULL,法国,3510千克,飞行器,NULL,通用飞机,亚音速,SN601“轻巡洋舰” 双发涡轮风扇轻型行政专机,760千米每小时,NULL,6600千克,{'$oid': '5cc93128831b973d657f12ec'},16人,1970年7月16日,4.23米,后掠翼,"
SN 601“轻巡洋舰”机型在设计上主要是作为企业运输机，同时也瞄准各种通用功能，包括通勤客机、短程小客机、航空摄影机、教练机、救护机等。SN 601“轻巡洋舰”于1970年7月16日首飞，1974年开始服役。该机型共计交付40架。
",双发,12.87米
2×Glushenkov TVD-10 B或加拿大普惠公司PT6A -65B 涡桨发动机,NULL,http://images.huanqiu.com/sarons/2013/12/205da9d7a4716ac6d539098f4cb59ee3.jpg,510千米,安东诺夫设计局波兰航空制造厂,12.98米,NULL,波兰,3900千克,飞行器,NULL,通用飞机,亚音速,安-28双发涡轮螺旋桨通用及通勤飞机,355千米每小时,NULL,6100千克,{'$oid': '5cc93129831b973d657f12ed'},20人,1969年9月（安-28M）,4.6米,平直翼,"
安-28由安东诺夫设计局为前苏联民航部门研制，1969年9月以安-28M为名称完成首飞。第一架前期制作飞机直到1978年4月才飞行，之后指定PzL(波兰航空制造厂)在波兰独家生产该机型。波兰制造的第一架安-28于1984年7月22日首飞。该机型共计交付了超过100架。
",双发,22米
2×加拿大普惠PW306C,2003年12月24日,http://images.huanqiu.com/sarons/2013/12/a0bebcd71c3339196d597da465ae8bc5.jpg,5273千米,塞斯纳飞行器公司（Cessna）,19.36米,NULL,美国,8029千克,飞行器,NULL,通用飞机,亚音速,塞斯纳680“君主”双发涡轮风扇中型公务机,458千米每小时,NULL,13744千克,{'$oid': '5cc93129831b973d657f12ee'},11人,2002年2月27日,6.2米,后掠翼,NULL,双发,16.5米
2×加拿大普惠PW545C，单台4119 lb (18.32 kN),1998年7月2日,http://images.huanqiu.com/sarons/2013/12/3c03a982d5c1812369b545b3c9d58ded.jpg,3441千米,NULL,16米,NULL,美国,5086千克,飞行器,塞斯纳公司,通用飞机,亚音速,塞斯纳560XL“奖状优胜”/“奖状XLS” 双发涡轮风扇中型公务机,817千米每小时,NULL,9163千克,{'$oid': '5cc93129831b973d657f12ef'},11人,1996年2月29日,5.23米,平直翼,NULL,双发,17.17米
2台D-436PT喷气发动机,NULL,http://images.huanqiu.com/sarons/2013/12/af75e45c33f73fa58ae2e7a10f18bc10.jpg,2100千米,NULL,32米,NULL,苏/俄,27600千克,飞行器,俄罗斯别里耶夫设计局,通用飞机,亚音速,别里耶夫Be-200“牵牛星” 喷气式水陆两用飞机,700千米每小时,NULL,41000千克,{'$oid': '5cc93129831b973d657f12f0'},46人,1998年9月24日,8.9米,后掠翼,NULL,双发,32.8米
NULL,NULL,http://images.huanqiu.com/sarons/2013/12/542ec7447b6abe66dafd85e8019fd95b.jpg,1990千米,NULL,16.9米,NULL,美国,NULL,飞行器,美国Quest飞机公司,通用飞机,亚音速,Quest “科迪亚克”单发涡轮轻型短距起降通用飞机,352千米每小时,NULL,NULL,{'$oid': '5cc93129831b973d657f12f1'},10人,2004年10月16日,4.7米,平直翼,"
Quest飞机公司研制的“科迪亚克”（Kodiak）飞机是一种上单翼通用机型，适合粗糙的简易跑道，尤其瞄准传教及人道主义上作市场。该机型于2004年10月16日首飞，2005年5月在阿拉斯加航空贸易展上首次公开露面。计划在2006年末或2007年初获得犁号合格证并交付第一架飞机。该机型共计获得了超过30架订单。
",单发,13.7米
2×加拿大普惠JT15D-5D，单台3045 lbf (13.55 kN),1989年4月,http://images.huanqiu.com/sarons/2013/12/42e799a37ce0b8136e6a9bc34ebbf6ce.jpg,3704千米,NULL,14.91米,NULL,美国,4261千克,飞行器,塞斯纳飞行器公司（Cessna）,通用飞机,亚音速,塞斯纳560“奖状”V/“超奖状”/“奖状加演”双发涡轮风扇中型公务机,796千米每小时,NULL,7394千克,{'$oid': '5cc93129831b973d657f12f2'},10人,1987年8月,4.57米,后掠翼,NULL,双发,15.9米
2×霍尼韦尔TFE731,1986年6月30日,http://images.huanqiu.com/sarons/2013/12/41b2238532802fbaef7d0e9170fd9201.jpg,5760千米,NULL,16.94米,NULL,美国,5747千克,飞行器,湾流、以色列飞机工业公司,通用飞机,亚音速,阿斯特拉G100/G150双发涡轮风扇中型公务机,672千米每小时,NULL,10660千克,{'$oid': '5cc93129831b973d657f12f3'},11人,1984年3月19日,5.53米,平直翼,NULL,双发,16.05米
2×加拿大普惠PT6A-112，每台373kW (500 hp),1985年,http://images.huanqiu.com/sarons/2013/12/8686a13a32a3a83225fd26fa849e9c7c.jpg,2135千米,法国兰斯飞机制造公司,11.89米,NULL,法国,2283千克,飞行器,NULL,通用飞机,亚音速,F406“大篷车”Ⅱ双发涡轮螺旋桨轻型多用途飞机,424千米每小时,NULL,4468千克,{'$oid': '5cc9312a831b973d657f12f4'},14人,1983年9月22日,4.01米,平直翼,"
F406机型采用了塞斯纳公司“太阳神”飞机机身和“征服”Ⅱ的机翼，1982年中发布，1983年9月22日在法国首飞，1985年开始服役。该机型的运营商既有商业机构，又有政府部门。共计交付了96架。
",双发,15.08米
2×盖瑞特TFE731-3B-100S,1983年春,http://images.huanqiu.com/sarons/2013/12/e1da755af4e0757c2adc3ae3724bf34c.jpg,3774千米,NULL,16.92米,NULL,美国,5293千克,飞行器,赛斯纳飞行器公司（Cessna）,通用飞机,亚音速,塞斯纳650“奖状”III／Ⅵ／Ⅶ 双发涡轮风扇中型公务机,881千米每小时,NULL,NULL,{'$oid': '5cc9312a831b973d657f12f5'},13人,1979年5月30日,5.13米,平直翼,NULL,双发,16.31米
 2×莱卡明IGSO-540 A1D活塞发动机，每台380 hp (285 kW),NULL,http://images.huanqiu.com/sarons/2013/12/41607974d313da01de5fe5ec9265f7c3.jpg,2441千米,NULL,10.82米,NULL,美国,2393千克,飞行器,美国比奇公司,通用飞机,亚音速,比奇65 “空中女王”双发活塞式轻型通用飞机,400千米每小时,NULL,3992千克,{'$oid': '5cc9312a831b973d657f12f6'},11人,1958年8月28日,4.33米,平直翼,NULL,双发,15.32米
2×Continental IO-360-ES4发动机,NULL,http://images.huanqiu.com/sarons/2013/12/0582a6d17f89a01bdb932b8f8b8e5bf5.jpg,1180千米,阿穆尔河畔共青城飞机生产联合体,10.7米,NULL,苏/俄,1730千克,飞行器,俄罗斯别里耶夫设计局,通用飞机,亚音速,别里耶夫Be-103双发涡桨水陆两用飞机,251千米每小时,NULL,2270千克,{'$oid': '5cc9312a831b973d657f12f7'},6人,1997年7月15日,3.7米,平直翼,NULL,双发,12.5米
2× 莱康明IO-540 -E1B5六缸 活塞发动机,NULL,http://images.huanqiu.com/sarons/2013/12/e64218ed7a0523b0a9e8c261a2e42192.jpg,1735千米,NULL,11.22米,NULL,美国,2102千克,飞行器,NULL,通用飞机,亚音速,罗克韦尔(Aero Commander)“指挥官”500／560/580双发活塞式轻型企业专机／通用飞机,346千米每小时,NULL,3062千克,{'$oid': '5cc9312b831b973d657f12f8'},6人,1948年4月23日,4.42米,平直翼,"
“指挥官”是一个多产的上单翼双发活塞式机型系列，它起源于L-3085这一早在1948年4月23日就完成首飞的原型机。“指挥官”飞机的第一个生产机型是520，其后产生了许多改进型和功率更大的机型，采用的发动机既有自然吸气式也有涡轮增压式。（图为指挥官560）
",NULL,14.95米
 2×Garrett TPE331-6-251M,NULL,http://images.huanqiu.com/sarons/2013/12/4aaa92f2055b3b7fc407d08d9fa141ff.jpg,2334千米,NULL,12.01米,NULL,日本,3433千克,飞行器,NULL,通用飞机,亚音速,三菱MU-2双发涡轮螺旋桨短距起降通用及公务飞机,517千米每小时,NULL,5250千克,{'$oid': '5cc9312b831b973d657f12f9'},14人,1963年9月14日,4.17米,平直翼,"
Mu-2飞机的设计工作始于1960年。1963年9月14日首飞时装载的是透博梅卡·阿斯塔左发动机，但9月15日获得型号合格证时已经替换成盖瑞特TPE331发动机。MU-2于1986年停产。共计交付了703架。
",双发,11.94米
2×普拉特＆惠特尼加拿大JT15D4B涡轮风扇发动机，单台2500 lbf (11.12 kN),1978年3月,http://images.huanqiu.com/sarons/2013/12/77f4c9ae7ff60b3f50bc22691c14dd6c.jpg,3701千米,NULL,14.39米,NULL,美国,3655千克,飞行器,赛斯纳飞行器公司（Cessna）,通用飞机,亚音速,塞斯纳550“奖状”Ⅱ/“喝彩”双发涡轮风扇中型公务机,746千米每小时,NULL,6849千克,{'$oid': '5cc9312b831b973d657f12fa'},10人,1977年1月31日,4.57米,后掠翼,NULL,双发,15.9米
1×普拉特＆惠特尼加拿大PT6A -67B或-67P 涡轮螺旋桨发动机,1994年4月,http://images.huanqiu.com/sarons/2013/12/758483c11fc3c796d93727c4b8e90612.jpg,4187千米,NULL,14.4米,NULL,瑞士,2761千克,飞行器,瑞士派士飞机公司,通用飞机,亚音速,PC-12单发涡轮轻型飞机,444千米每小时,NULL,4740千克,{'$oid': '5cc9312b831b973d657f12fb'},11人,1991年5月31日,4.26米,后掠翼,"
PC-12是1989年10月启动的行政机型计划的产物，之后很快扩大到通用飞机市场。PC-12最初称为Pc-XⅡ，1991年5月31日首飞，1994年4月开始服役。该机型共计交付了620架。
",单发,16.2米
2×Rolls-Royce/Allison AE 3007C或3007C1 涡扇发动机,1996年7月,http://images.huanqiu.com/sarons/2013/12/e62b30519c2ef246e168d0ae48510a32.jpg,5956千米,NULL,22.05米,NULL,美国,9798千克,飞行器,NULL,通用飞机,亚音速,塞斯纳750“奖状”X双发涡轮风扇远程中型公务机,1145千米每小时,NULL,16374千克,{'$oid': '5cc9312b831b973d657f12fc'},14人,1993年12月21日,5.84米,后掠翼,NULL,双发,19.38米
3×莱康明O-540-E4C5，每台260 hp (190 kW),1971年6月29日,http://images.huanqiu.com/sarons/2013/12/4485119bfbddb673a62d9ce609693523.jpg,1609千米,NULL,15.01米,NULL,英国,2650千克,飞行器,布里顿-诺曼公司,通用飞机,亚音速,布里顿-诺曼 BN-2A MkⅢ “三岛人” 三发活塞式轻型飞机,309千米每小时,NULL,4536千克,{'$oid': '5cc9312c831b973d657f12fd'},18人,1970年9月11日,4.32米,平直翼,NULL,三发,16.15米
2×盖瑞特艾雷赛奇TPE-331-10R-513C，单台617 kW (900 shp),NULL,http://images.huanqiu.com/sarons/2013/12/20fbaccf2d76d34896f1b07be67752ba.jpg,1811千米,NULL,15.2米,NULL,西班牙,3780千克,飞行器,西班牙航空制造股份有限公司,通用飞机,亚音速,CASA C-212 Aviocar 双发涡桨轻型飞机,370千米每小时,NULL,7700千克,{'$oid': '5cc9312c831b973d657f12fe'},26人,1971年3月26日首飞,6.3米,平直翼,NULL,双发,20.28米
普-惠PWl23涡轮螺旋桨发动机,1995年1月,http://images.huanqiu.com/sarons/2013/12/b214369f6cdc4444f2ac27bb58583a26.jpg,2426千米,NULL,19.8米,NULL,加拿大,12888千克,飞行器,加拿大庞巴迪公司,通用飞机,亚音速,庞巴迪 Canadair 415 双发涡桨水陆两用飞机,376千米每小时,NULL,19890千克,{'$oid': '5cc9312c831b973d657f12ff'},16人,1993年12月6日,9米,平直翼,NULL,双发,28.6米
1×普惠PT6A-34，560 kW (750 hp),NULL,http://images.huanqiu.com/sarons/2013/12/74ec781c90e03d4b32fba2944210e4c4.jpg,1100千米,NULL,11.84米,NULL,新西兰,1410千克,飞行器,NULL,通用飞机,亚音速,太平洋宇航750XL单发涡轮螺旋桨轻型通用飞机,287千米每小时,NULL,3395千克,{'$oid': '5cc9312c831b973d657f1300'},18人,2001年9月5日,4.04米,平直翼,"
750XL飞机由cresco农业及通用涡轮螺旋桨飞机发展而来，是一种宽体飞机，装载普-惠加拿大公司PT6A-34发动机。750XL的研制工作始于2000年1月，原型机于2001年9月5日首飞。2003年8月20日获得新西兰民用航空管理局颁发的型号合格证，2004年3月获得美国联邦航空管理局颁发的型号合格证，750XL飞机由此成为第一个由新西兰设计和制造并在美国被采用的机型。
",单发,12.8米
NULL,1993年3月30日,http://images.huanqiu.com/sarons/2013/12/d13e9b1ad3353be739a89f41330a1d46.jpg,2408千米,NULL,12.98米,NULL,美国,3069千克,飞行器,赛斯纳飞行器公司（Cessna）,通用飞机,亚音速,塞斯纳525CitationJet 双发涡轮风扇小型公务机,902千米每小时,NULL,4853千克,{'$oid': '5cc9312c831b973d657f1301'},10人,1991年4月29日,4.19米,平直翼,NULL,双发,14.3米
1×普拉特＆惠特尼加拿大公司PT6A -27 涡轮螺旋桨发动机,NULL,http://images.huanqiu.com/sarons/2013/12/cd358ede31f79fffab35dbae39ff100e.jpg,1612千米,瑞士派士公司,11米,NULL,瑞士,1270千克,飞行器,NULL,通用飞机,亚音速,PC-6“搬运工”／涡轮“搬运工”单发活塞式／涡轮螺旋桨轻型短距起降飞机,232千米每小时,NULL,2800千克,{'$oid': '5cc9312c831b973d657f1302'},11人,1959年5月4日,3.2米,平直翼,"
作为一种具有短距起降能力的单发活塞式通用飞机，PC-6的设计工作自1957年开始。研制成功的“搬运工”飞机于1959年5月4日首飞，该机型采用斜撑杆式上单翼，后三点式尾轮(橇)起落架。“搬运工”飞机大约制造了45架，后来被性能大大提高的涡轮“搬运工”机型所取代。仙童公司获准在美国生产PC-6飞机。共计交付了534架。
",单发,15.87米
2×加拿大普惠PW615F,2007年年初,http://images.huanqiu.com/sarons/2013/12/57b8a1078b810fab41aaece646ebe601.jpg,2161千米,NULL,12.37米,NULL,美国,2522千克,飞行器,赛斯纳飞行器公司（Cessna）,通用飞机,亚音速,塞斯纳510“野马”双发涡轮风扇甚轻型公务机,771.8千米每小时,NULL,3930千克,{'$oid': '5cc9312c831b973d657f1303'},7人,2005年8月29日,4.09米,后掠翼,NULL,双发,13.16米
